stat, rank, value, (percentage) 
minecraft.picked_up.diamond_chestplate: #3, 32(13%)
minecraft.used.orange_wool: #2, 757(11%)
minecraft.custom.interact_with_stonecutter: #3, 988(12%)
minecraft.picked_up.magenta_wool: #2, 787(11%)
minecraft.used.polished_andesite_slab: #3, 2516(12%)
minecraft.used.red_glazed_terracotta: #2, 321(28%)
minecraft.used.fishing_rod: #2, 1623(8%)
minecraft.used.brown_wool: #3, 1019(13%)
minecraft.picked_up.black_glazed_terracotta: #2, 141(14%)
minecraft.crafted.yellow_glazed_terracotta: #2, 305(24%)
minecraft.custom.interact_with_blast_furnace: #3, 237(11%)
minecraft.custom.interact_with_grindstone: #3, 297(12%)
minecraft.killed.llama: #2, 65(26%)
minecraft.picked_up.cyan_glazed_terracotta: #2, 66(31%)
minecraft.dropped.wheat: #3, 729(13%)
minecraft.picked_up.white_glazed_terracotta: #2, 68(26%)
minecraft.picked_up.gold_nugget: #2, 36721(7%)
minecraft.picked_up.fern: #3, 1011(11%)
minecraft.mined.oak_button: #3, 21(18%)
minecraft.mined.blue_terracotta: #2, 430(16%)
minecraft.crafted.cracked_polished_blackstone_bricks: #2, 128(18%)
minecraft.mined.black_glazed_terracotta: #2, 74(16%)
minecraft.mined.wheat: #3, 6379(10%)
minecraft.mined.potted_dead_bush: #2, 5(18%)
minecraft.dropped.yellow_dye: #2, 60(13%)
minecraft.picked_up.acacia_door: #2, 19(16%)
minecraft.picked_up.magma_cream: #3, 515(10%)
minecraft.dropped.smoker: #2, 2(15%)
minecraft.used.magenta_banner: #2, 6(27%)
minecraft.dropped.warped_wart_block: #3, 887(12%)
minecraft.used.white_glazed_terracotta: #2, 154(17%)
minecraft.used.mossy_stone_brick_wall: #2, 20(27%)
minecraft.mined.white_glazed_terracotta: #2, 46(19%)
minecraft.crafted.magenta_concrete_powder: #3, 3528(19%)
minecraft.killed.magma_cube: #2, 1842(6%)
minecraft.mined.birch_trapdoor: #3, 123(11%)
minecraft.crafted.birch_fence: #3, 468(13%)
minecraft.broken.shield: #2, 4(21%)
minecraft.picked_up.yellow_banner: #2, 11(10%)
minecraft.mined.smooth_sandstone_slab: #3, 654(12%)
minecraft.dropped.blast_furnace: #2, 2(20%)
minecraft.used.smooth_sandstone: #3, 9272(11%)
minecraft.mined.snow: #3, 32954(10%)
