stat, rank, value, (percentage) 
minecraft.crafted.purpur_block: #7, 4(0%)
minecraft.picked_up.warped_stem: #8, 1835(4%)
minecraft.crafted.cyan_concrete_powder: #8, 2424(5%)
minecraft.mined.acacia_log: #8, 1415(4%)
minecraft.picked_up.polished_blackstone: #8, 317(4%)
minecraft.mined.daylight_detector: #8, 10(4%)
minecraft.picked_up.birch_stairs: #8, 72(5%)
minecraft.picked_up.leather_helmet: #8, 54(4%)
minecraft.picked_up.oak_pressure_plate: #8, 5(5%)
minecraft.picked_up.piston: #8, 255(4%)
minecraft.used.redstone_lamp: #8, 196(4%)
minecraft.picked_up.acacia_sapling: #8, 354(4%)
minecraft.picked_up.acacia_log: #8, 1423(4%)
minecraft.crafted.diamond_chestplate: #8, 4(4%)
minecraft.mined.poppy: #8, 238(3%)
minecraft.crafted.magenta_dye: #8, 489(4%)
minecraft.picked_up.nautilus_shell: #8, 18(4%)
minecraft.used.wooden_pickaxe: #8, 23(4%)
minecraft.used.iron_sword: #8, 1512(3%)
minecraft.used.stone_pressure_plate: #8, 76(4%)
minecraft.mined.jungle_planks: #8, 143(4%)
minecraft.picked_up.polished_blackstone_bricks: #8, 1548(3%)
minecraft.crafted.fishing_rod: #8, 11(4%)
minecraft.used.oak_fence: #8, 547(3%)
minecraft.mined.cyan_carpet: #8, 42(4%)
minecraft.dropped.iron_shovel: #8, 6(4%)
minecraft.picked_up.flint_and_steel: #8, 11(3%)
minecraft.picked_up.warped_nylium: #8, 279(3%)
minecraft.picked_up.gold_block: #8, 352(3%)
minecraft.custom.horse_one_cm: #8, 367801(3%)
minecraft.mined.warped_trapdoor: #8, 28(3%)
minecraft.used.iron_axe: #8, 1423(3%)
minecraft.crafted.nether_bricks: #8, 1616(3%)
minecraft.picked_up.orange_carpet: #8, 64(4%)
minecraft.crafted.spruce_sign: #8, 69(3%)
minecraft.picked_up.black_wool: #8, 460(3%)
minecraft.picked_up.daylight_detector: #8, 10(3%)
minecraft.used.birch_slab: #8, 324(3%)
minecraft.used.cyan_carpet: #8, 287(3%)
minecraft.picked_up.smooth_quartz: #8, 388(3%)
minecraft.mined.spruce_sign: #8, 7(3%)
minecraft.used.andesite_wall: #8, 376(3%)
minecraft.dropped.golden_sword: #8, 103(3%)
minecraft.picked_up.gray_shulker_box: #8, 113(2%)
minecraft.mined.gray_shulker_box: #8, 117(3%)
minecraft.used.gray_shulker_box: #8, 120(3%)
minecraft.mined.jungle_leaves: #8, 2296(2%)
minecraft.mined.end_rod: #8, 325(3%)
minecraft.used.jungle_log: #8, 499(3%)
minecraft.used.white_wool: #8, 877(2%)
minecraft.used.cactus: #8, 201(2%)
minecraft.mined.brown_concrete: #8, 144(3%)
minecraft.mined.spruce_button: #8, 9(3%)
minecraft.mined.sea_pickle: #8, 31(3%)
minecraft.mined.polished_granite: #8, 80(3%)
minecraft.used.blast_furnace: #8, 30(2%)
minecraft.used.crimson_stem: #8, 188(2%)
minecraft.used.lilac: #8, 15(2%)
minecraft.mined.cracked_polished_blackstone_bricks: #8, 376(2%)
minecraft.used.stripped_oak_log: #8, 84(2%)
minecraft.mined.crimson_trapdoor: #8, 24(3%)
minecraft.picked_up.saddle: #8, 8(2%)
minecraft.picked_up.gray_concrete: #8, 2770(2%)
minecraft.dropped.lapis_lazuli: #8, 89(2%)
minecraft.used.nether_brick_fence: #8, 54(3%)
minecraft.picked_up.smoker: #8, 12(3%)
minecraft.mined.quartz_block: #8, 148(2%)
minecraft.picked_up.bowl: #8, 4(3%)
minecraft.picked_up.blackstone_wall: #8, 49(2%)
minecraft.dropped.charcoal: #8, 2(3%)
minecraft.killed.wolf: #8, 2(3%)
minecraft.crafted.smooth_quartz_slab: #8, 602(2%)
minecraft.used.red_wool: #8, 227(2%)
minecraft.picked_up.tropical_fish: #8, 36(1%)
minecraft.broken.leather_helmet: #8, 1(3%)
minecraft.picked_up.polished_blackstone_button: #8, 7(2%)
minecraft.mined.crimson_slab: #8, 26(2%)
minecraft.mined.gray_concrete: #8, 2715(1%)
minecraft.crafted.brown_terracotta: #8, 696(2%)
minecraft.used.brown_mushroom_block: #8, 228(2%)
minecraft.picked_up.polished_blackstone_pressure_plate: #8, 8(2%)
minecraft.picked_up.spruce_leaves: #8, 1870(2%)
minecraft.used.acacia_boat: #8, 3(2%)
minecraft.killed_by.piglin: #8, 1(2%)
minecraft.crafted.acacia_boat: #8, 1(2%)
minecraft.dropped.book: #8, 12(2%)
minecraft.crafted.flower_pot: #8, 73(1%)
minecraft.used.acacia_button: #8, 4(2%)
minecraft.picked_up.acacia_boat: #8, 2(2%)
minecraft.picked_up.oak_wood: #8, 51(2%)
minecraft.killed.turtle: #8, 1(2%)
minecraft.used.light_blue_wool: #8, 115(1%)
minecraft.mined.stripped_spruce_wood: #8, 20(2%)
minecraft.used.birch_door: #8, 8(2%)
minecraft.picked_up.light_blue_stained_glass_pane: #8, 42(1%)
minecraft.picked_up.birch_pressure_plate: #8, 3(2%)
minecraft.mined.smoker: #8, 6(1%)
minecraft.picked_up.brain_coral: #8, 3(2%)
minecraft.dropped.tnt: #8, 38(1%)
minecraft.picked_up.suspicious_stew: #8, 1(2%)
minecraft.crafted.blue_terracotta: #8, 272(2%)
minecraft.dropped.jungle_boat: #8, 1(2%)
minecraft.killed.piglin: #9, 101(5%)
minecraft.mined.cyan_stained_glass_pane: #8, 13(1%)
minecraft.picked_up.horn_coral: #8, 3(1%)
minecraft.used.spruce_wood: #8, 53(1%)
minecraft.picked_up.end_crystal: #8, 2(1%)
minecraft.picked_up.purple_stained_glass: #8, 29(1%)
minecraft.crafted.red_bed: #8, 1(1%)
minecraft.mined.soul_campfire: #8, 1(1%)
minecraft.mined.red_stained_glass_pane: #8, 7(1%)
minecraft.crafted.fermented_spider_eye: #8, 58(1%)
minecraft.used.ladder: #9, 485(5%)
minecraft.mined.brain_coral: #8, 4(1%)
minecraft.used.pink_carpet: #8, 25(1%)
minecraft.crafted.green_stained_glass_pane: #8, 16(1%)
minecraft.picked_up.horn_coral_block: #8, 12(1%)
minecraft.picked_up.brown_banner: #8, 1(1%)
minecraft.picked_up.fire_coral: #8, 2(1%)
minecraft.used.oxeye_daisy: #8, 2(1%)
minecraft.mined.yellow_stained_glass: #8, 12(1%)
minecraft.picked_up.magenta_carpet: #8, 5(1%)
minecraft.used.dispenser: #9, 184(5%)
minecraft.picked_up.brain_coral_block: #8, 12(1%)
minecraft.dropped.nether_brick_stairs: #8, 2(1%)
minecraft.picked_up.rabbit_hide: #8, 16(0%)
minecraft.picked_up.orange_concrete_powder: #8, 94(1%)
minecraft.used.smooth_red_sandstone_stairs: #8, 5(1%)
minecraft.mined.fire_coral: #8, 4(1%)
minecraft.used.stripped_oak_wood: #8, 25(1%)
minecraft.killed.hoglin: #8, 27(0%)
minecraft.picked_up.turtle_egg: #8, 25(0%)
minecraft.dropped.composter: #8, 1(1%)
minecraft.dropped.bell: #8, 1(1%)
minecraft.crafted.suspicious_stew: #8, 1(1%)
minecraft.crafted.end_rod: #8, 64(0%)
minecraft.dropped.cyan_stained_glass_pane: #8, 2(1%)
minecraft.mined.red_nether_brick_stairs: #8, 2(1%)
minecraft.dropped.dark_oak_fence: #8, 7(0%)
minecraft.picked_up.fire_coral_block: #8, 9(0%)
minecraft.used.beetroot_seeds: #8, 15(0%)
minecraft.mined.oak_fence: #9, 268(4%)
minecraft.picked_up.leather: #9, 1842(4%)
minecraft.mined.fire_coral_block: #8, 9(0%)
minecraft.dropped.wet_sponge: #8, 1(0%)
minecraft.used.orange_tulip: #8, 2(1%)
minecraft.picked_up.chorus_flower: #8, 16(0%)
minecraft.picked_up.blue_stained_glass_pane: #8, 1(0%)
minecraft.mined.chipped_anvil: #9, 19(5%)
minecraft.dropped.cyan_dye: #8, 10(0%)
minecraft.used.lime_banner: #8, 1(0%)
minecraft.used.white_tulip: #8, 2(0%)
minecraft.dropped.light_blue_wool: #8, 2(0%)
minecraft.crafted.polished_granite_stairs: #8, 1(0%)
minecraft.dropped.blue_wool: #8, 1(0%)
minecraft.used.purple_stained_glass_pane: #8, 8(0%)
minecraft.dropped.blue_dye: #8, 4(0%)
minecraft.used.stone_axe: #9, 253(4%)
minecraft.picked_up.diamond_shovel: #9, 38(4%)
minecraft.used.glass: #9, 3265(4%)
minecraft.picked_up.smooth_stone_slab: #9, 1188(4%)
minecraft.crafted.oak_pressure_plate: #9, 7(5%)
minecraft.used.trident: #9, 305(5%)
minecraft.picked_up.smooth_quartz_slab: #9, 533(4%)
minecraft.picked_up.ladder: #9, 264(3%)
minecraft.mined.spruce_log: #9, 4778(3%)
minecraft.used.cobblestone_stairs: #9, 142(4%)
minecraft.dropped.grass_block: #9, 1078(4%)
minecraft.used.oak_sign: #9, 249(3%)
minecraft.used.iron_bars: #9, 930(3%)
minecraft.picked_up.stone_pickaxe: #9, 5(5%)
minecraft.crafted.redstone_lamp: #9, 185(3%)
minecraft.dropped.golden_leggings: #9, 15(3%)
minecraft.dropped.diamond_leggings: #9, 4(4%)
minecraft.used.milk_bucket: #9, 5(3%)
minecraft.used.nether_bricks: #9, 1075(3%)
minecraft.used.tripwire_hook: #9, 22(3%)
minecraft.picked_up.jungle_planks: #9, 199(3%)
minecraft.picked_up.orange_concrete: #9, 348(3%)
minecraft.picked_up.red_concrete: #9, 539(3%)
minecraft.picked_up.yellow_dye: #9, 60(5%)
minecraft.used.oak_fence_gate: #9, 68(3%)
minecraft.crafted.crimson_trapdoor: #9, 138(4%)
minecraft.picked_up.sugar_cane: #9, 8414(2%)
minecraft.picked_up.white_wool: #9, 640(2%)
minecraft.picked_up.poppy: #9, 1204(2%)
minecraft.crafted.netherite_scrap: #9, 84(3%)
minecraft.dropped.basalt: #9, 248(3%)
minecraft.used.polished_blackstone_brick_wall: #9, 44(3%)
minecraft.picked_up.fire_charge: #9, 66(4%)
minecraft.mined.birch_wall_sign: #9, 40(2%)
minecraft.mined.polished_blackstone_wall: #9, 48(3%)
minecraft.crafted.cyan_carpet: #9, 285(3%)
minecraft.used.brown_terracotta: #9, 1013(3%)
minecraft.used.nether_brick_stairs: #9, 219(3%)
minecraft.used.smooth_quartz_stairs: #9, 454(2%)
minecraft.crafted.polished_basalt: #9, 528(2%)
minecraft.used.lime_wool: #9, 119(2%)
minecraft.dropped.filled_map: #9, 22(2%)
minecraft.picked_up.stripped_birch_wood: #9, 36(3%)
minecraft.picked_up.blue_concrete: #9, 249(2%)
minecraft.picked_up.iron_horse_armor: #9, 1(3%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #9, 331(2%)
minecraft.picked_up.flower_pot: #9, 50(2%)
minecraft.used.birch_sign: #9, 137(2%)
minecraft.crafted.jungle_slab: #9, 582(2%)
minecraft.used.cooked_porkchop: #9, 269(2%)
minecraft.used.light_gray_terracotta: #9, 722(2%)
minecraft.mined.stripped_birch_wood: #9, 34(3%)
minecraft.picked_up.black_stained_glass_pane: #9, 73(2%)
minecraft.mined.granite_stairs: #9, 5(3%)
minecraft.picked_up.polished_blackstone_wall: #9, 49(2%)
minecraft.used.dragon_head: #9, 1(3%)
minecraft.mined.spruce_leaves: #9, 2454(2%)
minecraft.used.stone_stairs: #9, 213(2%)
minecraft.used.gray_concrete_powder: #9, 4863(2%)
minecraft.used.smooth_quartz: #9, 622(2%)
minecraft.picked_up.lapis_block: #9, 70(2%)
minecraft.picked_up.lava_bucket: #9, 4(2%)
minecraft.crafted.orange_shulker_box: #9, 6(2%)
minecraft.used.mossy_cobblestone_stairs: #9, 7(3%)
minecraft.used.orange_bed: #9, 5(3%)
minecraft.crafted.birch_trapdoor: #9, 136(2%)
minecraft.used.warped_sign: #9, 8(2%)
minecraft.used.bricks: #9, 883(2%)
minecraft.picked_up.charcoal: #9, 14(1%)
minecraft.crafted.oak_button: #9, 20(2%)
minecraft.picked_up.red_dye: #9, 65(2%)
minecraft.mined.chiseled_polished_blackstone: #9, 17(2%)
minecraft.used.terracotta: #9, 575(1%)
minecraft.crafted.light_blue_bed: #9, 1(2%)
minecraft.used.sea_pickle: #9, 58(2%)
minecraft.picked_up.chiseled_polished_blackstone: #9, 17(2%)
minecraft.crafted.dark_oak_door: #9, 12(2%)
minecraft.broken.golden_shovel: #9, 2(2%)
minecraft.used.green_terracotta: #9, 161(1%)
minecraft.used.red_bed: #9, 8(2%)
minecraft.picked_up.bubble_coral_fan: #9, 16(2%)
minecraft.mined.red_tulip: #9, 12(2%)
minecraft.dropped.cobblestone_slab: #9, 60(1%)
minecraft.picked_up.red_bed: #9, 7(2%)
minecraft.used.green_concrete: #9, 152(1%)
minecraft.picked_up.polished_granite: #9, 79(1%)
minecraft.picked_up.beehive: #9, 15(1%)
minecraft.dropped.green_concrete: #9, 6(2%)
minecraft.picked_up.dark_oak_leaves: #9, 124(2%)
minecraft.crafted.light_blue_terracotta: #9, 216(2%)
minecraft.mined.brick_stairs: #9, 9(2%)
minecraft.mined.birch_pressure_plate: #9, 3(2%)
minecraft.picked_up.brick_stairs: #9, 14(2%)
minecraft.picked_up.warped_sign: #9, 4(2%)
minecraft.dropped.cookie: #9, 39(1%)
minecraft.mined.beehive: #9, 11(1%)
minecraft.mined.fire_coral_wall_fan: #9, 13(1%)
minecraft.used.brown_stained_glass: #9, 41(2%)
minecraft.picked_up.fire_coral_fan: #9, 11(1%)
minecraft.picked_up.tube_coral: #9, 3(2%)
minecraft.used.orange_concrete_powder: #9, 249(1%)
minecraft.crafted.brown_stained_glass_pane: #9, 16(2%)
minecraft.mined.barrel: #10, 192(5%)
minecraft.crafted.warped_sign: #9, 6(1%)
minecraft.dropped.birch_slab: #9, 8(1%)
minecraft.crafted.brown_stained_glass: #9, 48(1%)
minecraft.killed.parrot: #9, 1(2%)
minecraft.mined.horn_coral_fan: #9, 5(1%)
minecraft.crafted.brick: #9, 2674(1%)
minecraft.picked_up.oak_sign: #10, 222(5%)
minecraft.picked_up.phantom_membrane: #9, 37(1%)
minecraft.picked_up.lily_of_the_valley: #9, 39(1%)
minecraft.used.yellow_bed: #9, 4(1%)
minecraft.crafted.birch_pressure_plate: #9, 2(1%)
minecraft.dropped.heavy_weighted_pressure_plate: #9, 2(1%)
minecraft.crafted.light_blue_stained_glass_pane: #9, 48(1%)
minecraft.picked_up.bread: #9, 60(1%)
minecraft.mined.spawner: #9, 1(1%)
minecraft.crafted.andesite_slab: #9, 120(1%)
minecraft.mined.purple_wool: #9, 7(1%)
minecraft.picked_up.diamond_pickaxe: #10, 59(4%)
minecraft.mined.horn_coral_block: #9, 12(1%)
minecraft.picked_up.brick_slab: #9, 6(1%)
minecraft.used.purpur_pillar: #9, 25(1%)
minecraft.mined.horn_coral: #9, 4(1%)
minecraft.dropped.light_gray_wool: #9, 55(1%)
minecraft.mined.stripped_oak_wood: #9, 28(1%)
minecraft.picked_up.yellow_stained_glass: #9, 18(1%)
minecraft.crafted.jungle_fence_gate: #9, 20(1%)
minecraft.picked_up.stripped_oak_wood: #9, 30(1%)
minecraft.mined.brain_coral_block: #9, 12(1%)
minecraft.mined.pink_concrete: #9, 78(1%)
minecraft.picked_up.oak_fence: #10, 309(4%)
minecraft.picked_up.beetroot: #9, 12(1%)
minecraft.used.rose_bush: #9, 11(0%)
minecraft.used.dark_oak_leaves: #9, 23(0%)
minecraft.dropped.nether_brick: #9, 24(0%)
minecraft.crafted.red_stained_glass_pane: #9, 16(0%)
minecraft.used.pink_concrete: #9, 38(0%)
minecraft.mined.fire_coral_fan: #9, 2(0%)
minecraft.crafted.warped_fence_gate: #9, 2(0%)
minecraft.dropped.black_dye: #9, 4(0%)
minecraft.used.cyan_banner: #9, 1(0%)
minecraft.dropped.cauldron: #9, 1(0%)
minecraft.picked_up.dispenser: #10, 112(5%)
minecraft.picked_up.diorite_slab: #9, 6(0%)
minecraft.picked_up.red_nether_brick_stairs: #9, 2(0%)
minecraft.used.dark_prismarine_stairs: #9, 6(0%)
minecraft.used.yellow_stained_glass: #9, 16(0%)
minecraft.picked_up.light_blue_concrete_powder: #9, 19(0%)
minecraft.crafted.written_book: #9, 4(0%)
minecraft.crafted.lime_banner: #9, 1(0%)
minecraft.dropped.light_gray_dye: #9, 4(0%)
minecraft.dropped.andesite_stairs: #9, 1(0%)
minecraft.mined.composter: #10, 42(4%)
minecraft.picked_up.spruce_sapling: #10, 695(4%)
minecraft.used.netherrack: #10, 9464(4%)
minecraft.custom.walk_one_cm: #11, 167097619(4%)
minecraft.mined.rail: #10, 1081(3%)
minecraft.mined.warped_fungus: #10, 78(4%)
minecraft.mined.oak_slab: #10, 166(3%)
minecraft.picked_up.iron_bars: #10, 346(3%)
minecraft.picked_up.warped_trapdoor: #10, 35(4%)
minecraft.picked_up.basalt: #10, 3936(3%)
minecraft.picked_up.cobblestone_stairs: #10, 66(3%)
minecraft.picked_up.lapis_lazuli: #10, 4149(3%)
minecraft.mined.lantern: #10, 74(3%)
minecraft.picked_up.warped_planks: #10, 52(4%)
minecraft.dropped.iron_sword: #10, 8(3%)
minecraft.mined.andesite_wall: #10, 66(4%)
minecraft.picked_up.compass: #10, 29(3%)
minecraft.picked_up.jungle_sign: #10, 23(3%)
minecraft.used.acacia_fence: #10, 28(5%)
minecraft.mined.oak_fence_gate: #10, 25(3%)
minecraft.used.jungle_sign: #10, 38(3%)
minecraft.picked_up.dragon_head: #10, 11(3%)
minecraft.custom.eat_cake_slice: #10, 7(3%)
minecraft.used.stone_brick_slab: #10, 1504(3%)
minecraft.mined.red_concrete: #10, 539(3%)
minecraft.picked_up.spruce_log: #10, 4751(2%)
minecraft.used.poppy: #10, 12(3%)
minecraft.custom.sprint_one_cm: #11, 125178735(4%)
minecraft.used.warped_nylium: #10, 98(3%)
minecraft.crafted.oak_fence_gate: #10, 44(2%)
minecraft.mined.polished_andesite_stairs: #10, 105(3%)
minecraft.used.daylight_detector: #10, 28(2%)
minecraft.mined.iron_trapdoor: #10, 122(2%)
minecraft.picked_up.pumpkin_pie: #10, 80(2%)
minecraft.picked_up.iron_boots: #10, 16(2%)
minecraft.mined.light_gray_terracotta: #10, 1336(2%)
minecraft.mined.smooth_stone: #10, 665(2%)
minecraft.dropped.diamond_helmet: #10, 3(3%)
minecraft.picked_up.oak_fence_gate: #10, 27(2%)
minecraft.used.oak_door: #10, 10(2%)
minecraft.mined.orange_concrete: #10, 347(2%)
minecraft.picked_up.green_concrete: #10, 240(2%)
minecraft.mined.dead_bush: #10, 119(2%)
minecraft.picked_up.light_gray_terracotta: #10, 1332(2%)
minecraft.picked_up.granite_stairs: #10, 5(3%)
minecraft.crafted.oak_door: #10, 9(2%)
minecraft.mined.wither_rose: #10, 27(2%)
minecraft.crafted.birch_stairs: #10, 132(2%)
minecraft.used.map: #10, 12(2%)
minecraft.dropped.iron_chestplate: #10, 3(3%)
minecraft.crafted.jungle_trapdoor: #10, 136(2%)
minecraft.crafted.wooden_hoe: #10, 1(3%)
minecraft.crafted.oak_fence: #10, 267(2%)
minecraft.broken.iron_shovel: #10, 7(2%)
minecraft.dropped.blackstone: #10, 246(2%)
minecraft.picked_up.cobblestone_slab: #10, 164(2%)
minecraft.dropped.mycelium: #10, 498(2%)
minecraft.crafted.leather_leggings: #10, 25(2%)
minecraft.used.birch_button: #10, 14(2%)
minecraft.mined.jungle_wall_sign: #10, 5(2%)
minecraft.used.polished_blackstone_stairs: #10, 175(2%)
minecraft.picked_up.light_gray_carpet: #10, 219(1%)
minecraft.crafted.magenta_carpet: #10, 63(2%)
minecraft.dropped.smooth_stone_slab: #10, 93(2%)
minecraft.crafted.birch_button: #10, 14(2%)
minecraft.mined.dark_oak_door: #10, 5(3%)
minecraft.picked_up.brown_stained_glass: #10, 12(2%)
minecraft.crafted.quartz_block: #10, 2754(1%)
minecraft.mined.red_bed: #10, 7(2%)
minecraft.crafted.light_gray_shulker_box: #10, 4(2%)
minecraft.picked_up.crimson_trapdoor: #10, 28(2%)
minecraft.killed.phantom: #10, 41(1%)
minecraft.used.blue_concrete_powder: #10, 264(1%)
minecraft.used.birch_pressure_plate: #10, 5(2%)
minecraft.picked_up.netherite_ingot: #10, 2(2%)
minecraft.picked_up.crimson_slab: #10, 26(2%)
minecraft.crafted.gray_concrete_powder: #10, 3688(1%)
minecraft.mined.grass_path: #10, 189(1%)
minecraft.used.polished_blackstone_brick_slab: #10, 297(1%)
minecraft.used.jungle_planks: #10, 143(1%)
minecraft.picked_up.gray_dye: #10, 48(2%)
minecraft.mined.birch_planks: #10, 105(1%)
minecraft.picked_up.cooked_cod: #10, 23(1%)
minecraft.killed.bee: #10, 5(1%)
minecraft.used.lily_pad: #10, 2(2%)
minecraft.mined.brain_coral_wall_fan: #10, 13(1%)
minecraft.used.purple_wool: #10, 24(1%)
minecraft.mined.bubble_coral_wall_fan: #10, 11(1%)
minecraft.picked_up.red_sand: #10, 1314(1%)
minecraft.dropped.orange_terracotta: #10, 36(1%)
minecraft.picked_up.brain_coral_fan: #10, 11(1%)
minecraft.dropped.nether_wart_block: #10, 76(1%)
minecraft.dropped.jungle_button: #10, 1(1%)
minecraft.mined.red_sand: #10, 1315(1%)
minecraft.crafted.orange_stained_glass_pane: #10, 48(1%)
minecraft.mined.end_stone: #10, 482(1%)
minecraft.used.crimson_fungus: #10, 24(1%)
minecraft.crafted.bread: #10, 216(1%)
minecraft.mined.mossy_cobblestone_stairs: #10, 1(1%)
minecraft.used.weeping_vines: #10, 9(1%)
minecraft.mined.gray_stained_glass_pane: #10, 6(1%)
minecraft.picked_up.yellow_terracotta: #10, 579(1%)
minecraft.picked_up.end_stone: #10, 481(1%)
minecraft.used.melon: #10, 17(1%)
minecraft.mined.black_concrete_powder: #10, 47(1%)
minecraft.mined.brick_slab: #10, 6(1%)
minecraft.crafted.yellow_stained_glass_pane: #10, 32(1%)
minecraft.crafted.polished_blackstone_stairs: #10, 55(1%)
minecraft.mined.yellow_terracotta: #10, 525(1%)
minecraft.used.bone_block: #10, 277(1%)
minecraft.used.brown_concrete: #10, 72(1%)
minecraft.mined.spruce_sapling: #10, 6(1%)
minecraft.picked_up.pink_tulip: #10, 37(1%)
minecraft.used.orange_stained_glass_pane: #10, 30(1%)
minecraft.used.quartz_block: #10, 176(1%)
minecraft.used.soul_campfire: #10, 3(1%)
minecraft.crafted.light_gray_terracotta: #10, 184(1%)
minecraft.used.warped_planks: #10, 52(1%)
minecraft.crafted.lime_terracotta: #10, 96(1%)
minecraft.picked_up.yellow_concrete_powder: #10, 89(1%)
minecraft.dropped.iron_bars: #10, 32(1%)
minecraft.picked_up.pink_concrete: #10, 78(1%)
minecraft.picked_up.cyan_stained_glass_pane: #10, 12(1%)
minecraft.crafted.purple_stained_glass: #10, 96(1%)
minecraft.used.crimson_roots: #10, 1(0%)
minecraft.used.purple_stained_glass: #10, 67(0%)
minecraft.mined.tube_coral: #10, 3(1%)
minecraft.picked_up.sweet_berries: #10, 203(0%)
minecraft.picked_up.blue_stained_glass: #10, 10(0%)
minecraft.crafted.gray_wool: #10, 15(0%)
minecraft.mined.beetroots: #10, 6(0%)
minecraft.picked_up.barrel: #11, 208(4%)
minecraft.picked_up.bubble_coral: #10, 1(1%)
minecraft.mined.brown_stained_glass: #10, 2(1%)
minecraft.used.podzol: #10, 134(0%)
minecraft.mined.polished_blackstone_pressure_plate: #10, 1(0%)
minecraft.used.light_gray_banner: #10, 1(1%)
minecraft.mined.magenta_carpet: #10, 2(0%)
minecraft.picked_up.mossy_cobblestone_stairs: #10, 1(0%)
minecraft.crafted.cyan_banner: #10, 1(0%)
minecraft.mined.red_nether_brick_slab: #10, 5(0%)
minecraft.used.brown_stained_glass_pane: #10, 2(0%)
minecraft.crafted.fletching_table: #10, 2(0%)
minecraft.used.pink_concrete_powder: #10, 47(0%)
minecraft.picked_up.cyan_concrete_powder: #10, 42(0%)
minecraft.crafted.soul_campfire: #10, 3(0%)
minecraft.killed.pillager: #10, 53(0%)
minecraft.killed.rabbit: #10, 4(0%)
minecraft.used.rail: #11, 2310(4%)
minecraft.mined.tube_coral_fan: #10, 1(0%)
minecraft.picked_up.red_nether_brick_slab: #10, 8(0%)
minecraft.mined.brain_coral_fan: #10, 1(0%)
minecraft.dropped.jungle_fence: #10, 1(0%)
minecraft.dropped.blackstone_slab: #10, 3(0%)
minecraft.mined.bubble_coral: #10, 1(0%)
minecraft.used.prismarine_brick_stairs: #10, 4(0%)
minecraft.used.azure_bluet: #10, 1(0%)
minecraft.dropped.beetroot_seeds: #10, 1(0%)
minecraft.mined.yellow_stained_glass_pane: #10, 3(0%)
minecraft.used.blue_orchid: #10, 1(0%)
minecraft.dropped.quartz_block: #10, 7(0%)
minecraft.dropped.pink_concrete: #10, 1(0%)
minecraft.dropped.diamond_ore: #10, 1(0%)
minecraft.used.blue_stained_glass: #10, 11(0%)
minecraft.picked_up.blue_dye: #10, 6(0%)
minecraft.picked_up.dried_kelp_block: #10, 1(0%)
minecraft.used.diamond_axe: #11, 27663(4%)
minecraft.used.minecart: #11, 134(4%)
minecraft.picked_up.chipped_anvil: #11, 19(4%)
minecraft.used.player_head: #11, 131(3%)
minecraft.used.cobblestone: #11, 6730(3%)
minecraft.mined.oak_sign: #11, 23(3%)
minecraft.mined.mossy_cobblestone: #11, 80(3%)
minecraft.crafted.rail: #11, 1184(3%)
minecraft.picked_up.composter: #11, 42(3%)
minecraft.mined.spruce_wall_sign: #11, 13(3%)
minecraft.used.bow: #11, 3583(3%)
minecraft.used.stone_bricks: #11, 7515(3%)
minecraft.crafted.iron_chestplate: #11, 5(3%)
minecraft.dropped.light_gray_concrete: #11, 52(5%)
minecraft.dropped.diamond_block: #11, 88(3%)
minecraft.crafted.warped_planks: #11, 1308(3%)
minecraft.used.dark_oak_trapdoor: #11, 375(3%)
minecraft.used.polished_blackstone: #11, 1219(3%)
minecraft.mined.smooth_stone_slab: #11, 820(3%)
minecraft.picked_up.black_concrete: #11, 1198(3%)
minecraft.mined.jungle_log: #11, 3611(3%)
minecraft.crafted.white_stained_glass_pane: #11, 432(3%)
minecraft.picked_up.jungle_log: #11, 3604(3%)
minecraft.picked_up.shears: #11, 25(2%)
minecraft.mined.bone_block: #11, 205(3%)
minecraft.used.crimson_nylium: #11, 99(3%)
minecraft.mined.stone_brick_slab: #11, 312(2%)
minecraft.mined.nether_brick_slab: #11, 99(2%)
minecraft.mined.note_block: #11, 32(3%)
minecraft.mined.terracotta: #11, 8714(2%)
minecraft.picked_up.terracotta: #11, 8916(2%)
minecraft.crafted.campfire: #11, 81(2%)
minecraft.mined.white_tulip: #11, 21(3%)
minecraft.dropped.golden_chestplate: #11, 9(2%)
minecraft.mined.basalt: #11, 4108(2%)
minecraft.picked_up.birch_sign: #11, 102(2%)
minecraft.crafted.dispenser: #11, 84(2%)
minecraft.picked_up.mycelium: #11, 4252(2%)
minecraft.custom.fill_cauldron: #11, 5(2%)
minecraft.picked_up.ink_sac: #11, 879(2%)
minecraft.crafted.leather_boots: #11, 17(2%)
minecraft.picked_up.cracked_stone_bricks: #11, 81(2%)
minecraft.dropped.redstone_block: #11, 46(2%)
minecraft.mined.red_mushroom: #11, 18(2%)
minecraft.used.oak_slab: #11, 302(2%)
minecraft.crafted.polished_andesite: #11, 1750(2%)
minecraft.used.birch_stairs: #11, 130(2%)
minecraft.picked_up.honey_block: #11, 129(2%)
minecraft.crafted.lapis_lazuli: #11, 1094(2%)
minecraft.mined.bricks: #11, 201(2%)
minecraft.picked_up.campfire: #11, 50(2%)
minecraft.mined.light_gray_carpet: #11, 79(2%)
minecraft.used.gray_carpet: #11, 635(2%)
minecraft.used.nether_quartz_ore: #11, 368(2%)
minecraft.mined.green_concrete: #11, 222(2%)
minecraft.crafted.stone_axe: #11, 5(1%)
minecraft.used.orange_concrete: #11, 278(2%)
