stat, rank, value, (percentage) 
minecraft.picked_up.rabbit: #2, 86(3%)
minecraft.dropped.brown_stained_glass: #2, 8(11%)
minecraft.used.white_carpet: #4, 4246(11%)
minecraft.used.glass_pane: #4, 873(11%)
minecraft.crafted.lapis_block: #3, 1140(6%)
minecraft.mined.fire_coral_wall_fan: #3, 87(10%)
minecraft.picked_up.brown_banner: #3, 15(18%)
minecraft.crafted.birch_planks: #4, 21212(10%)
minecraft.picked_up.horn_coral: #3, 29(11%)
minecraft.mined.clay: #4, 2543(10%)
minecraft.crafted.smooth_stone_slab: #4, 12374(10%)
minecraft.crafted.white_carpet: #4, 3858(10%)
minecraft.mined.birch_pressure_plate: #3, 18(12%)
minecraft.dropped.jungle_button: #3, 8(12%)
minecraft.picked_up.diamond_horse_armor: #3, 5(12%)
minecraft.mined.seagrass: #3, 1718(6%)
minecraft.picked_up.chainmail_leggings: #4, 12(10%)
minecraft.dropped.tipped_arrow: #3, 151(15%)
minecraft.dropped.spruce_planks: #4, 517(10%)
minecraft.picked_up.tube_coral_block: #3, 199(13%)
minecraft.used.prismarine_slab: #3, 134(12%)
minecraft.used.emerald_block: #4, 1652(14%)
minecraft.mined.tube_coral_block: #3, 199(13%)
minecraft.dropped.brown_glazed_terracotta: #2, 7(9%)
minecraft.crafted.fletching_table: #3, 65(10%)
minecraft.mined.birch_sapling: #4, 77(12%)
minecraft.picked_up.porkchop: #4, 211(9%)
minecraft.used.salmon: #2, 1(10%)
minecraft.picked_up.bubble_coral: #3, 19(12%)
minecraft.picked_up.jungle_fence_gate: #3, 36(10%)
minecraft.used.black_stained_glass_pane: #4, 2084(11%)
minecraft.mined.soul_fire: #4, 138(10%)
minecraft.crafted.apple: #3, 688(10%)
minecraft.used.conduit: #3, 7(16%)
minecraft.used.prismarine: #3, 2288(6%)
minecraft.killed.zombie_villager: #4, 41(9%)
minecraft.custom.swim_one_cm: #4, 8929749(8%)
minecraft.crafted.beehive: #3, 256(11%)
minecraft.dropped.gold_block: #3, 96(6%)
minecraft.picked_up.phantom_membrane: #3, 274(5%)
minecraft.picked_up.music_disc_mall: #3, 3(10%)
minecraft.used.magma_block: #4, 5430(9%)
minecraft.mined.cracked_polished_blackstone_bricks: #4, 1604(9%)
minecraft.picked_up.ender_pearl: #4, 34384(8%)
minecraft.crafted.dark_oak_trapdoor: #4, 1016(9%)
minecraft.mined.birch_trapdoor: #4, 103(10%)
minecraft.crafted.smoker: #3, 64(5%)
minecraft.crafted.tipped_arrow: #3, 180(15%)
minecraft.picked_up.lapis_ore: #4, 678(8%)
minecraft.custom.enchant_item: #4, 298(9%)
minecraft.picked_up.trapped_chest: #3, 2(13%)
minecraft.picked_up.conduit: #3, 3(10%)
minecraft.mined.wheat: #4, 4541(7%)
minecraft.dropped.clock: #3, 6(6%)
minecraft.used.white_concrete_powder: #4, 22119(7%)
minecraft.custom.interact_with_brewingstand: #4, 631(7%)
minecraft.mined.conduit: #3, 3(10%)
minecraft.killed.sheep: #4, 187(8%)
minecraft.used.bubble_coral: #3, 5(14%)
minecraft.custom.walk_on_water_one_cm: #5, 10080928(5%)
minecraft.mined.horn_coral: #3, 29(5%)
minecraft.mined.orange_banner: #3, 2(17%)
minecraft.picked_up.lapis_lazuli: #4, 9897(7%)
minecraft.crafted.white_concrete_powder: #4, 22024(7%)
minecraft.mined.oak_pressure_plate: #4, 6(11%)
minecraft.picked_up.blackstone_stairs: #4, 171(9%)
minecraft.picked_up.rotten_flesh: #4, 16248(6%)
minecraft.mined.white_shulker_box: #4, 371(7%)
minecraft.crafted.mossy_stone_bricks: #4, 384(9%)
minecraft.used.dead_bush: #4, 103(10%)
minecraft.dropped.arrow: #4, 6901(7%)
minecraft.picked_up.white_shulker_box: #4, 374(7%)
minecraft.used.white_shulker_box: #4, 371(7%)
minecraft.mined.gold_ore: #4, 1783(6%)
minecraft.picked_up.rabbit_hide: #3, 100(3%)
minecraft.dropped.cooked_chicken: #4, 70(7%)
minecraft.mined.bubble_coral: #3, 19(4%)
minecraft.picked_up.prismarine_bricks: #3, 714(2%)
minecraft.dropped.golden_helmet: #4, 24(7%)
minecraft.dropped.yellow_stained_glass: #3, 8(9%)
minecraft.crafted.bell: #3, 35(4%)
minecraft.mined.prismarine_bricks: #3, 721(2%)
minecraft.mined.brain_coral_fan: #3, 14(3%)
minecraft.dropped.porkchop: #3, 91(3%)
minecraft.mined.chiseled_red_sandstone: #3, 8(10%)
minecraft.killed.rabbit: #3, 46(2%)
minecraft.used.horn_coral: #3, 4(4%)
minecraft.picked_up.chainmail_chestplate: #4, 9(7%)
minecraft.crafted.gold_ingot: #5, 88054(10%)
minecraft.mined.birch_planks: #4, 623(6%)
minecraft.mined.emerald_ore: #4, 45(9%)
minecraft.picked_up.rabbit_foot: #3, 8(2%)
minecraft.picked_up.bow: #5, 570(8%)
minecraft.killed.villager: #4, 42(7%)
minecraft.mined.gold_block: #4, 383(5%)
minecraft.picked_up.tube_coral: #4, 17(9%)
minecraft.mined.birch_log: #5, 6798(9%)
minecraft.crafted.pink_glazed_terracotta: #3, 7(1%)
minecraft.crafted.cod_bucket: #3, 10(1%)
minecraft.crafted.brewing_stand: #4, 64(5%)
