stat, rank, value, (percentage) 
minecraft.used.stone_shovel: #1, 28130(76%)
minecraft.used.pink_banner: #1, 23(40%)
minecraft.used.dark_oak_fence: #2, 1552(18%)
minecraft.mined.scaffolding: #1, 10721(12%)
minecraft.used.fern: #2, 951(21%)
minecraft.picked_up.spruce_fence: #2, 1778(16%)
minecraft.mined.stripped_acacia_log: #2, 100(22%)
minecraft.mined.cut_red_sandstone_slab: #1, 16(89%)
minecraft.used.wooden_pickaxe: #2, 103(16%)
minecraft.used.rabbit_stew: #1, 13(87%)
minecraft.crafted.mossy_cobblestone: #2, 1241(24%)
minecraft.picked_up.smooth_red_sandstone_stairs: #1, 48(32%)
minecraft.used.stripped_dark_oak_log: #2, 1128(20%)
minecraft.mined.crafting_table: #2, 994(15%)
minecraft.crafted.pink_banner: #1, 22(42%)
minecraft.mined.smooth_red_sandstone_stairs: #1, 48(30%)
minecraft.mined.stripped_dark_oak_log: #2, 1216(18%)
minecraft.picked_up.stripped_spruce_log: #2, 569(15%)
minecraft.picked_up.stripped_dark_oak_log: #2, 1224(18%)
minecraft.picked_up.grass: #2, 3488(15%)
minecraft.used.white_banner: #2, 154(15%)
minecraft.used.dandelion: #2, 67(18%)
minecraft.picked_up.brick: #2, 453(20%)
minecraft.crafted.acacia_wood: #2, 2871(37%)
minecraft.picked_up.crafting_table: #2, 1054(14%)
minecraft.dropped.spruce_log: #2, 2230(17%)
minecraft.picked_up.painting: #2, 523(14%)
minecraft.broken.wooden_shovel: #1, 19(76%)
minecraft.dropped.name_tag: #2, 92(15%)
minecraft.mined.potted_pink_tulip: #1, 6(75%)
minecraft.mined.stripped_spruce_log: #2, 501(14%)
minecraft.mined.warped_wart_block: #2, 9745(14%)
minecraft.used.andesite: #2, 11174(13%)
minecraft.crafted.white_carpet: #2, 5054(14%)
minecraft.mined.acacia_fence_gate: #1, 19(31%)
minecraft.used.cut_red_sandstone_slab: #1, 18(53%)
minecraft.picked_up.stripped_acacia_log: #2, 100(22%)
minecraft.custom.sneak_time: #3, 8372356(8%)
minecraft.used.crimson_roots: #2, 38(18%)
minecraft.used.crafting_table: #2, 1020(13%)
minecraft.used.lava_bucket: #2, 2919(13%)
minecraft.used.spruce_fence_gate: #2, 345(14%)
minecraft.used.stripped_birch_log: #2, 471(17%)
minecraft.crafted.lime_carpet: #2, 1827(17%)
minecraft.broken.iron_pickaxe: #2, 42(12%)
minecraft.dropped.spruce_sapling: #2, 155(15%)
minecraft.dropped.sand: #2, 8187(13%)
minecraft.dropped.item_frame: #2, 125(15%)
minecraft.picked_up.dark_oak_door: #2, 87(19%)
minecraft.used.spruce_door: #2, 87(14%)
minecraft.used.cobblestone: #2, 22806(11%)
minecraft.used.spruce_leaves: #2, 8486(14%)
minecraft.mined.potted_oak_sapling: #1, 3(33%)
minecraft.custom.sleep_in_bed: #2, 3749(10%)
minecraft.mined.farmland: #2, 372(12%)
minecraft.picked_up.shears: #2, 115(11%)
minecraft.picked_up.gray_shulker_box: #3, 706(15%)
minecraft.mined.potted_red_tulip: #1, 3(75%)
minecraft.picked_up.vine: #2, 1725(11%)
minecraft.crafted.dark_oak_fence: #3, 1515(17%)
minecraft.used.granite_stairs: #2, 153(22%)
minecraft.crafted.white_banner: #2, 174(14%)
minecraft.picked_up.gunpowder: #2, 15909(9%)
minecraft.used.granite_slab: #2, 184(24%)
minecraft.dropped.golden_pickaxe: #1, 2(67%)
minecraft.picked_up.purple_concrete: #3, 703(17%)
minecraft.picked_up.stripped_birch_wood: #2, 190(18%)
minecraft.mined.gray_shulker_box: #3, 694(16%)
minecraft.mined.stripped_birch_wood: #2, 190(18%)
minecraft.used.granite: #2, 3820(10%)
minecraft.used.dark_oak_log: #3, 4185(15%)
minecraft.killed.sheep: #2, 242(10%)
minecraft.crafted.sandstone: #2, 2081(11%)
minecraft.used.gray_shulker_box: #3, 691(15%)
minecraft.picked_up.acacia_log: #3, 5332(14%)
minecraft.mined.acacia_log: #3, 4861(14%)
minecraft.picked_up.diorite_wall: #2, 145(16%)
minecraft.used.iron_pickaxe: #2, 13047(8%)
minecraft.used.pink_terracotta: #2, 244(21%)
minecraft.picked_up.acacia_sapling: #3, 1274(15%)
minecraft.mined.peony: #2, 30(12%)
minecraft.used.light_blue_banner: #2, 86(29%)
minecraft.used.acacia_log: #3, 1667(14%)
minecraft.used.lime_banner: #2, 76(25%)
minecraft.used.white_carpet: #3, 5077(13%)
minecraft.broken.wooden_hoe: #1, 1(100%)
minecraft.dropped.music_disc_11: #1, 1(100%)
minecraft.dropped.diorite_stairs: #1, 2(100%)
minecraft.mined.potted_orange_tulip: #1, 6(100%)
minecraft.mined.potted_white_tulip: #1, 3(100%)
minecraft.used.lime_carpet: #3, 1852(17%)
minecraft.used.diorite_wall: #2, 301(15%)
minecraft.used.brick_wall: #2, 430(18%)
minecraft.used.polished_granite_slab: #2, 144(16%)
minecraft.used.warped_fence: #2, 223(13%)
minecraft.custom.pot_flower: #3, 222(13%)
minecraft.used.stripped_warped_stem: #2, 178(16%)
minecraft.crafted.wooden_hoe: #2, 5(17%)
minecraft.mined.pink_terracotta: #2, 118(17%)
minecraft.crafted.stone_pickaxe: #3, 105(13%)
minecraft.dropped.diorite_wall: #2, 30(19%)
minecraft.picked_up.cactus: #3, 2917(11%)
minecraft.used.purple_concrete: #3, 854(17%)
minecraft.crafted.light_blue_banner: #2, 81(23%)
minecraft.used.pink_shulker_box: #3, 227(14%)
minecraft.mined.large_fern: #3, 486(17%)
minecraft.picked_up.acacia_wood: #2, 169(20%)
minecraft.picked_up.pink_shulker_box: #3, 233(14%)
minecraft.used.birch_wood: #2, 261(15%)
minecraft.mined.tall_grass: #3, 1101(12%)
minecraft.crafted.green_dye: #3, 2173(13%)
minecraft.used.flower_pot: #3, 269(12%)
minecraft.used.stripped_birch_wood: #2, 193(14%)
minecraft.mined.green_wool: #3, 225(17%)
minecraft.crafted.green_bed: #2, 10(18%)
minecraft.mined.pink_shulker_box: #3, 228(14%)
minecraft.used.dark_oak_sign: #3, 124(12%)
minecraft.crafted.warped_fence: #2, 216(11%)
minecraft.used.black_carpet: #3, 21135(13%)
minecraft.used.wooden_hoe: #3, 128(19%)
minecraft.mined.activator_rail: #2, 10(17%)
minecraft.dropped.wooden_hoe: #2, 4(19%)
minecraft.used.cyan_carpet: #3, 1179(14%)
minecraft.used.dark_oak_stairs: #3, 1824(12%)
minecraft.used.birch_trapdoor: #3, 877(11%)
minecraft.picked_up.nether_sprouts: #2, 495(36%)
minecraft.used.rose_bush: #2, 227(6%)
minecraft.killed_by.magma_cube: #2, 4(24%)
minecraft.crafted.light_gray_terracotta: #2, 2408(11%)
minecraft.crafted.cooked_mutton: #3, 445(16%)
minecraft.used.red_nether_brick_stairs: #2, 117(13%)
minecraft.mined.azure_bluet: #3, 190(12%)
minecraft.used.granite_wall: #2, 450(17%)
minecraft.dropped.kelp: #3, 2230(11%)
minecraft.used.acacia_sapling: #2, 757(12%)
minecraft.used.azure_bluet: #2, 70(10%)
minecraft.crafted.lime_banner: #2, 74(15%)
minecraft.mined.dark_oak_sapling: #3, 72(21%)
minecraft.used.polished_diorite: #3, 1519(11%)
minecraft.picked_up.warped_wart_block: #3, 9925(10%)
minecraft.crafted.cyan_carpet: #3, 1167(13%)
minecraft.used.lime_wool: #3, 602(12%)
minecraft.picked_up.grass_block: #3, 56559(8%)
minecraft.crafted.light_gray_bed: #2, 19(13%)
minecraft.used.stone_stairs: #3, 1235(10%)
minecraft.picked_up.smooth_red_sandstone_slab: #2, 30(16%)
minecraft.dropped.stripped_acacia_log: #2, 2(18%)
minecraft.crafted.spruce_fence_gate: #3, 290(10%)
minecraft.mined.dark_oak_log: #4, 10469(13%)
minecraft.used.cooked_mutton: #3, 439(11%)
minecraft.crafted.stripped_dark_oak_wood: #2, 15(17%)
minecraft.broken.netherite_shovel: #2, 1(25%)
minecraft.picked_up.golden_pickaxe: #2, 1(50%)
minecraft.broken.chainmail_leggings: #2, 1(50%)
minecraft.dropped.pink_terracotta: #2, 34(20%)
minecraft.killed_by.cave_spider: #2, 1(33%)
minecraft.custom.interact_with_furnace: #3, 4665(8%)
minecraft.dropped.dried_kelp: #3, 1200(18%)
minecraft.broken.golden_helmet: #2, 3(8%)
minecraft.crafted.diamond_shovel: #3, 30(8%)
minecraft.crafted.dark_oak_fence_gate: #3, 432(10%)
minecraft.killed_by.vex: #3, 7(11%)
minecraft.used.green_wool: #3, 650(12%)
minecraft.picked_up.snowball: #3, 24218(10%)
minecraft.mined.grass: #3, 6422(8%)
minecraft.used.green_banner: #2, 35(23%)
minecraft.used.light_gray_glazed_terracotta: #2, 181(10%)
minecraft.picked_up.lime_banner: #3, 69(16%)
minecraft.killed_by.drowned: #2, 2(11%)
minecraft.used.cracked_stone_bricks: #3, 601(8%)
minecraft.dropped.orange_carpet: #2, 66(9%)
minecraft.mined.stripped_acacia_wood: #2, 16(12%)
minecraft.used.sandstone_wall: #3, 1310(11%)
minecraft.crafted.smooth_sandstone: #3, 3328(11%)
minecraft.used.lime_terracotta: #3, 594(11%)
minecraft.mined.potted_jungle_sapling: #2, 2(12%)
minecraft.dropped.pink_concrete_powder: #2, 7(25%)
minecraft.crafted.dark_oak_door: #3, 72(12%)
minecraft.picked_up.leather_leggings: #3, 33(7%)
minecraft.crafted.snow_block: #3, 6010(10%)
minecraft.picked_up.pink_wool: #3, 965(9%)
minecraft.picked_up.stripped_acacia_wood: #2, 16(12%)
minecraft.used.andesite_wall: #3, 1078(10%)
minecraft.used.chain: #3, 928(7%)
minecraft.crafted.iron_pickaxe: #3, 45(7%)
minecraft.mined.green_banner: #2, 3(33%)
minecraft.mined.spruce_door: #3, 11(10%)
minecraft.picked_up.dark_oak_sapling: #4, 1456(13%)
minecraft.used.polished_granite: #3, 858(8%)
minecraft.mined.spruce_fence_gate: #4, 56(14%)
minecraft.mined.stripped_spruce_wood: #3, 148(16%)
minecraft.used.gilded_blackstone: #3, 55(11%)
minecraft.crafted.light_blue_glazed_terracotta: #2, 24(14%)
minecraft.used.stripped_acacia_wood: #2, 15(19%)
minecraft.mined.light_gray_glazed_terracotta: #2, 35(9%)
minecraft.broken.shears: #3, 179(7%)
minecraft.used.stripped_spruce_wood: #3, 141(17%)
minecraft.picked_up.warped_roots: #3, 2439(7%)
minecraft.used.birch_button: #3, 63(10%)
minecraft.used.light_gray_terracotta: #3, 2597(8%)
minecraft.picked_up.polished_diorite_stairs: #3, 185(15%)
minecraft.used.terracotta: #4, 4740(11%)
minecraft.picked_up.stripped_spruce_wood: #3, 148(14%)
minecraft.crafted.dark_oak_stairs: #4, 1660(12%)
minecraft.picked_up.pink_terracotta: #3, 290(11%)
minecraft.picked_up.spruce_leaves: #3, 8409(7%)
minecraft.mined.birch_door: #3, 4(17%)
minecraft.picked_up.blue_orchid: #3, 393(6%)
minecraft.used.smooth_red_sandstone_stairs: #3, 86(15%)
minecraft.mined.purple_concrete: #4, 597(12%)
minecraft.used.red_nether_brick_wall: #3, 131(19%)
minecraft.dropped.warped_roots: #4, 345(13%)
minecraft.dropped.beef: #4, 128(15%)
minecraft.killed.player: #3, 6(12%)
minecraft.used.stripped_jungle_wood: #2, 21(8%)
minecraft.mined.mossy_cobblestone_slab: #3, 12(12%)
minecraft.dropped.orange_wool: #3, 68(11%)
minecraft.used.black_wool: #4, 3568(10%)
minecraft.mined.red_wool: #4, 296(11%)
minecraft.picked_up.clay_ball: #4, 3960(9%)
minecraft.mined.lilac: #4, 23(12%)
minecraft.mined.pink_concrete_powder: #3, 14(13%)
minecraft.mined.orange_wool: #3, 171(9%)
minecraft.dropped.green_bed: #2, 2(8%)
minecraft.mined.dark_oak_wall_sign: #3, 14(6%)
minecraft.mined.lily_of_the_valley: #3, 48(6%)
minecraft.mined.spruce_log: #4, 12380(9%)
minecraft.mined.acacia_door: #3, 5(19%)
minecraft.crafted.birch_trapdoor: #4, 834(10%)
minecraft.mined.andesite_slab: #3, 355(5%)
minecraft.used.orange_banner: #3, 14(18%)
minecraft.used.oak_leaves: #4, 19182(9%)
minecraft.mined.potted_allium: #3, 5(26%)
minecraft.picked_up.purple_wool: #3, 624(7%)
minecraft.used.golden_pickaxe: #2, 4(1%)
minecraft.broken.wooden_pickaxe: #3, 1(33%)
minecraft.mined.mossy_stone_brick_slab: #3, 3(12%)
minecraft.dropped.stripped_dark_oak_log: #3, 9(12%)
minecraft.used.dark_oak_slab: #4, 3253(9%)
minecraft.crafted.acacia_fence_gate: #3, 46(10%)
minecraft.picked_up.stripped_birch_log: #4, 485(10%)
minecraft.used.dark_oak_fence_gate: #4, 474(10%)
minecraft.used.warped_hyphae: #4, 1382(14%)
minecraft.picked_up.dark_oak_log: #5, 13016(13%)
minecraft.mined.nether_wart_block: #4, 4781(8%)
minecraft.used.gray_bed: #3, 54(6%)
minecraft.custom.jump: #5, 578761(7%)
minecraft.used.mutton: #3, 2(29%)
minecraft.used.acacia_fence_gate: #3, 44(11%)
minecraft.mined.dispenser: #4, 135(8%)
minecraft.mined.furnace: #4, 259(7%)
minecraft.picked_up.leather_chestplate: #4, 37(8%)
minecraft.dropped.lime_carpet: #3, 86(8%)
minecraft.picked_up.birch_door: #3, 20(6%)
minecraft.picked_up.lime_wool: #4, 1098(10%)
minecraft.used.tropical_fish: #3, 3(14%)
minecraft.crafted.green_banner: #3, 33(20%)
minecraft.broken.iron_axe: #4, 11(9%)
minecraft.used.activator_rail: #4, 14(13%)
minecraft.mined.mossy_cobblestone_stairs: #3, 5(7%)
minecraft.used.light_gray_stained_glass_pane: #4, 810(9%)
minecraft.picked_up.red_sandstone_stairs: #3, 31(16%)
minecraft.mined.black_wool: #4, 180(9%)
minecraft.mined.gray_bed: #3, 51(6%)
minecraft.killed_by.hoglin: #3, 4(10%)
minecraft.picked_up.leather_boots: #4, 34(7%)
minecraft.dropped.light_gray_bed: #3, 1(25%)
minecraft.used.blue_wool: #4, 206(10%)
minecraft.crafted.smooth_red_sandstone: #3, 114(15%)
minecraft.mined.grass_block: #4, 73451(7%)
minecraft.used.netherite_axe: #4, 49722(9%)
minecraft.mined.red_nether_brick_stairs: #3, 30(8%)
minecraft.crafted.orange_banner: #3, 14(12%)
minecraft.picked_up.writable_book: #4, 31(7%)
minecraft.killed_by.zoglin: #3, 4(17%)
minecraft.dropped.blue_orchid: #3, 16(8%)
minecraft.picked_up.stripped_warped_stem: #4, 242(10%)
minecraft.used.lead: #3, 4(7%)
minecraft.dropped.green_shulker_box: #3, 1(17%)
minecraft.mined.stripped_oak_wood: #3, 205(5%)
minecraft.dropped.netherite_axe: #4, 7(9%)
minecraft.picked_up.lilac: #4, 301(7%)
minecraft.mined.oak_sapling: #4, 52(7%)
minecraft.mined.spruce_sapling: #4, 73(9%)
minecraft.crafted.cracked_stone_bricks: #4, 535(12%)
minecraft.mined.smooth_red_sandstone_slab: #3, 15(10%)
minecraft.used.nether_gold_ore: #4, 48(12%)
minecraft.crafted.stone_hoe: #4, 28(8%)
minecraft.mined.stripped_jungle_wood: #3, 36(12%)
minecraft.picked_up.stripped_oak_wood: #3, 204(5%)
minecraft.used.stripped_oak_wood: #3, 199(5%)
minecraft.dropped.stripped_crimson_hyphae: #3, 1(14%)
minecraft.used.snow_block: #4, 5361(8%)
minecraft.picked_up.quartz_stairs: #3, 216(3%)
minecraft.mined.stripped_warped_stem: #4, 235(10%)
minecraft.crafted.yellow_carpet: #3, 708(3%)
minecraft.picked_up.stripped_jungle_wood: #3, 34(11%)
minecraft.used.mossy_cobblestone_wall: #3, 25(6%)
minecraft.crafted.golden_sword: #3, 2(12%)
minecraft.dropped.stripped_acacia_wood: #3, 1(17%)
minecraft.mined.quartz_stairs: #3, 208(2%)
minecraft.mined.acacia_leaves: #4, 2406(7%)
minecraft.picked_up.warped_fungus_on_a_stick: #3, 2(8%)
minecraft.used.warped_button: #3, 10(5%)
minecraft.picked_up.light_gray_glazed_terracotta: #3, 35(8%)
minecraft.crafted.warped_hyphae: #4, 1320(13%)
minecraft.picked_up.gray_bed: #3, 50(4%)
minecraft.used.magenta_glazed_terracotta: #3, 13(11%)
minecraft.mined.cyan_wool: #4, 54(8%)
minecraft.dropped.netherite_helmet: #4, 5(12%)
minecraft.used.oak_wood: #3, 1353(3%)
minecraft.used.cyan_bed: #3, 31(3%)
minecraft.used.red_sandstone_wall: #3, 19(6%)
minecraft.mined.cyan_bed: #3, 27(2%)
minecraft.crafted.oak_wood: #3, 1260(2%)
minecraft.dropped.red_wool: #4, 125(11%)
minecraft.used.cauldron: #4, 61(6%)
minecraft.crafted.warped_button: #3, 9(3%)
minecraft.used.andesite_slab: #4, 1472(6%)
minecraft.crafted.dark_oak_planks: #5, 20168(10%)
minecraft.dropped.polished_diorite_slab: #3, 2(5%)
minecraft.picked_up.light_blue_wool: #4, 872(8%)
minecraft.mined.potted_fern: #4, 3(14%)
minecraft.picked_up.spruce_sapling: #5, 1712(10%)
minecraft.picked_up.granite_stairs: #4, 15(10%)
minecraft.dropped.orange_bed: #3, 1(8%)
minecraft.used.oak_button: #4, 75(7%)
minecraft.picked_up.tnt: #4, 1130(6%)
minecraft.picked_up.netherite_ingot: #4, 10(9%)
minecraft.picked_up.lodestone: #3, 5(4%)
minecraft.mined.lodestone: #3, 5(4%)
minecraft.used.lodestone: #3, 6(3%)
minecraft.used.polished_granite_stairs: #4, 91(11%)
minecraft.killed.zoglin: #3, 1(5%)
minecraft.dropped.mossy_cobblestone_slab: #3, 3(5%)
minecraft.used.shears: #4, 36649(5%)
minecraft.picked_up.flower_pot: #4, 141(6%)
minecraft.picked_up.green_banner: #3, 3(4%)
minecraft.used.nether_sprouts: #3, 5(5%)
minecraft.crafted.dark_oak_slab: #5, 3534(9%)
minecraft.dropped.granite_stairs: #3, 1(5%)
minecraft.used.coarse_dirt: #4, 4110(5%)
minecraft.used.dark_oak_wood: #4, 435(8%)
minecraft.picked_up.wooden_shovel: #3, 3(2%)
minecraft.mined.magenta_glazed_terracotta: #3, 3(4%)
minecraft.crafted.oak_button: #4, 72(6%)
minecraft.picked_up.wooden_pickaxe: #4, 2(11%)
minecraft.broken.flint_and_steel: #4, 5(8%)
minecraft.dropped.nether_brick_slab: #3, 25(1%)
minecraft.used.mossy_stone_brick_slab: #4, 28(11%)
minecraft.mined.granite_stairs: #4, 14(9%)
minecraft.mined.red_nether_bricks: #4, 121(10%)
minecraft.crafted.birch_wood: #4, 270(9%)
minecraft.picked_up.lime_carpet: #4, 188(6%)
minecraft.picked_up.bowl: #4, 11(8%)
minecraft.mined.birch_button: #4, 6(9%)
minecraft.dropped.cyan_wool: #4, 64(12%)
minecraft.used.spruce_stairs: #5, 1248(8%)
minecraft.mined.blue_orchid: #5, 83(11%)
minecraft.used.diamond_hoe: #5, 15043(10%)
minecraft.used.yellow_wool: #4, 315(6%)
minecraft.dropped.grass: #4, 82(6%)
minecraft.mined.white_bed: #4, 150(4%)
minecraft.dropped.weeping_vines: #4, 94(6%)
minecraft.crafted.prismarine_bricks: #3, 21(0%)
minecraft.mined.polished_diorite_stairs: #4, 154(13%)
minecraft.picked_up.white_bed: #4, 153(4%)
minecraft.killed_by.slime: #4, 1(20%)
minecraft.dropped.golden_shovel: #4, 2(11%)
minecraft.dropped.pink_wool: #4, 123(9%)
minecraft.used.stripped_dark_oak_wood: #4, 64(7%)
minecraft.dropped.stripped_warped_stem: #4, 5(10%)
minecraft.mined.red_nether_brick_wall: #4, 10(16%)
minecraft.crafted.spruce_door: #4, 63(5%)
minecraft.used.clay: #4, 406(5%)
minecraft.picked_up.diorite_slab: #4, 156(10%)
minecraft.used.brown_carpet: #5, 598(10%)
minecraft.picked_up.birch_slab: #4, 212(4%)
minecraft.picked_up.red_nether_brick_wall: #4, 10(11%)
minecraft.mined.red_wall_banner: #4, 4(10%)
minecraft.crafted.dark_oak_wood: #4, 468(7%)
minecraft.crafted.orange_bed: #4, 10(7%)
minecraft.used.warped_fence_gate: #4, 23(7%)
minecraft.picked_up.stripped_dark_oak_wood: #4, 65(5%)
minecraft.mined.dark_oak_fence_gate: #4, 45(5%)
minecraft.used.diorite: #5, 1761(7%)
minecraft.mined.poppy: #5, 519(8%)
minecraft.mined.stripped_birch_log: #5, 485(9%)
minecraft.used.mushroom_stem: #4, 307(4%)
minecraft.dropped.spruce_fence: #4, 192(5%)
minecraft.used.acacia_button: #4, 13(8%)
minecraft.mined.polished_granite_slab: #4, 10(7%)
minecraft.picked_up.spruce_log: #5, 15531(7%)
minecraft.picked_up.lead: #5, 311(7%)
minecraft.mined.stripped_dark_oak_wood: #4, 64(5%)
minecraft.used.prismarine_brick_stairs: #4, 136(6%)
minecraft.used.dark_oak_sapling: #5, 1035(11%)
minecraft.picked_up.yellow_wool: #4, 500(4%)
minecraft.crafted.andesite: #4, 2510(11%)
minecraft.used.mossy_stone_brick_wall: #4, 11(15%)
minecraft.used.oak_trapdoor: #5, 604(8%)
minecraft.dropped.dark_oak_boat: #4, 1(10%)
minecraft.picked_up.cyan_wool: #4, 269(4%)
minecraft.dropped.netherite_boots: #5, 7(11%)
minecraft.dropped.brown_shulker_box: #4, 2(8%)
minecraft.crafted.yellow_banner: #4, 11(8%)
minecraft.used.magenta_banner: #4, 3(14%)
minecraft.picked_up.weeping_vines: #5, 367(8%)
minecraft.dropped.sea_pickle: #4, 27(7%)
minecraft.picked_up.netherite_axe: #5, 40(7%)
minecraft.picked_up.oak_wood: #4, 142(5%)
minecraft.used.birch_door: #4, 24(5%)
minecraft.used.spruce_wood: #4, 230(4%)
minecraft.used.polished_diorite_stairs: #4, 216(7%)
minecraft.killed_by.endermite: #4, 1(12%)
minecraft.used.yellow_carpet: #4, 730(3%)
minecraft.mined.crimson_sign: #4, 2(9%)
minecraft.mined.red_sandstone_stairs: #4, 16(12%)
minecraft.used.mossy_stone_bricks: #5, 221(8%)
minecraft.mined.diorite_slab: #4, 81(7%)
minecraft.crafted.smooth_quartz: #5, 1086(9%)
minecraft.mined.warped_sign: #4, 1(8%)
minecraft.mined.potted_lily_of_the_valley: #4, 1(8%)
minecraft.mined.snow: #5, 23990(7%)
minecraft.crafted.warped_fence_gate: #4, 23(4%)
minecraft.dropped.warped_sign: #4, 6(7%)
minecraft.mined.birch_sapling: #5, 54(9%)
minecraft.crafted.magenta_banner: #4, 3(13%)
minecraft.used.spruce_log: #5, 1856(7%)
minecraft.crafted.cyan_wool: #4, 18(5%)
minecraft.mined.cobblestone: #5, 4080(6%)
minecraft.used.purple_banner: #4, 2(12%)
minecraft.dropped.sandstone_stairs: #4, 19(6%)
