stat, rank, value, (percentage) 
minecraft.picked_up.cyan_glazed_terracotta: #1, 68(32%)
minecraft.crafted.gold_block: #3, 8064(15%)
minecraft.mined.bricks: #2, 1304(16%)
minecraft.dropped.bone_block: #2, 385(16%)
minecraft.crafted.spruce_door: #2, 165(13%)
minecraft.crafted.jungle_pressure_plate: #2, 52(25%)
minecraft.dropped.pink_bed: #1, 4(50%)
minecraft.picked_up.melon: #2, 2053(13%)
minecraft.dropped.magenta_concrete: #2, 57(35%)
minecraft.used.bricks: #2, 6623(16%)
minecraft.dropped.netherrack: #2, 37818(10%)
minecraft.dropped.white_concrete: #2, 373(12%)
minecraft.crafted.crafting_table: #2, 263(10%)
minecraft.picked_up.oak_fence_gate: #3, 208(16%)
minecraft.picked_up.green_concrete: #2, 1329(12%)
minecraft.mined.repeater: #2, 554(10%)
minecraft.dropped.acacia_log: #2, 160(14%)
minecraft.picked_up.beacon: #2, 126(10%)
minecraft.dropped.tube_coral_fan: #1, 2(22%)
minecraft.dropped.end_stone_brick_stairs: #1, 2(67%)
minecraft.mined.honey_block: #3, 772(16%)
minecraft.crafted.gray_stained_glass: #2, 7288(16%)
minecraft.used.pink_concrete: #2, 1618(15%)
minecraft.used.cyan_glazed_terracotta: #2, 83(28%)
minecraft.mined.lime_terracotta: #3, 169(19%)
minecraft.picked_up.oak_trapdoor: #2, 293(10%)
minecraft.picked_up.chainmail_chestplate: #2, 15(11%)
minecraft.picked_up.tipped_arrow: #2, 253(22%)
minecraft.mined.ancient_debris: #2, 689(10%)
minecraft.crafted.blue_shulker_box: #2, 13(17%)
minecraft.dropped.shulker_box: #3, 239(13%)
minecraft.mined.redstone_wall_torch: #2, 164(9%)
minecraft.crafted.polished_blackstone_button: #2, 242(14%)
minecraft.mined.shroomlight: #2, 824(10%)
minecraft.used.oak_door: #3, 71(16%)
minecraft.picked_up.fire_charge: #2, 247(14%)
minecraft.used.green_glazed_terracotta: #2, 80(35%)
minecraft.mined.stripped_oak_log: #3, 765(13%)
minecraft.mined.stone_slab: #3, 1726(13%)
minecraft.dropped.diorite_slab: #2, 219(29%)
minecraft.crafted.blackstone_slab: #2, 1268(12%)
minecraft.crafted.netherite_ingot: #3, 167(13%)
minecraft.dropped.music_disc_blocks: #1, 1(100%)
minecraft.dropped.netherite_block: #1, 17(100%)
minecraft.dropped.jungle_pressure_plate: #1, 1(50%)
minecraft.picked_up.stripped_oak_log: #3, 739(12%)
minecraft.broken.iron_sword: #2, 9(15%)
minecraft.dropped.oak_wood: #2, 69(39%)
minecraft.mined.stripped_warped_stem: #3, 442(18%)
minecraft.picked_up.stripped_warped_stem: #3, 420(18%)
minecraft.crafted.oak_pressure_plate: #2, 15(10%)
minecraft.picked_up.poisonous_potato: #2, 28(11%)
minecraft.killed.shulker: #2, 815(10%)
minecraft.crafted.diamond_hoe: #2, 8(9%)
minecraft.used.netherite_block: #2, 41(26%)
minecraft.mined.fire: #3, 1741(12%)
minecraft.picked_up.honey_bottle: #2, 96(12%)
minecraft.dropped.poisonous_potato: #2, 14(15%)
minecraft.mined.rail: #3, 3560(11%)
minecraft.mined.netherite_block: #2, 31(25%)
minecraft.dropped.granite_slab: #2, 23(28%)
minecraft.crafted.gold_nugget: #2, 16337(8%)
