stat, rank, value, (percentage) 
minecraft.mined.brick_slab: #7, 8(2%)
minecraft.mined.wither_rose: #8, 79(7%)
minecraft.picked_up.respawn_anchor: #7, 2(2%)
minecraft.crafted.black_stained_glass_pane: #8, 1310(6%)
minecraft.dropped.red_dye: #7, 28(1%)
minecraft.dropped.gray_stained_glass_pane: #7, 15(2%)
minecraft.dropped.snow: #7, 139(1%)
minecraft.dropped.tipped_arrow: #7, 20(2%)
minecraft.picked_up.andesite_stairs: #7, 30(1%)
minecraft.picked_up.green_wool: #7, 133(1%)
minecraft.dropped.yellow_concrete: #7, 11(1%)
minecraft.dropped.acacia_slab: #7, 5(2%)
minecraft.dropped.note_block: #7, 7(2%)
minecraft.picked_up.pufferfish_bucket: #7, 1(2%)
minecraft.used.sandstone_slab: #7, 333(1%)
minecraft.crafted.fermented_spider_eye: #7, 69(1%)
minecraft.used.tube_coral_block: #7, 5(1%)
minecraft.mined.respawn_anchor: #7, 1(1%)
minecraft.crafted.prismarine_slab: #7, 12(1%)
minecraft.used.honeycomb_block: #7, 80(1%)
minecraft.crafted.stone_pressure_plate: #8, 146(5%)
minecraft.crafted.sandstone_slab: #7, 258(1%)
minecraft.dropped.glass: #8, 458(5%)
minecraft.dropped.melon_slice: #7, 164(1%)
minecraft.used.dark_oak_sign: #8, 52(5%)
minecraft.mined.honeycomb_block: #7, 10(1%)
minecraft.mined.oak_pressure_plate: #8, 4(7%)
minecraft.dropped.flower_pot: #7, 9(1%)
minecraft.crafted.stick: #8, 28626(4%)
minecraft.picked_up.map: #7, 3(0%)
minecraft.mined.redstone_ore: #8, 4715(4%)
minecraft.dropped.quartz_bricks: #7, 2(1%)
minecraft.used.purpur_slab: #7, 6(0%)
minecraft.dropped.quartz_slab: #7, 11(0%)
minecraft.dropped.oak_fence_gate: #7, 1(0%)
minecraft.mined.diorite_slab: #7, 5(0%)
minecraft.crafted.respawn_anchor: #7, 2(0%)
minecraft.used.potato: #8, 358(5%)
minecraft.custom.trigger_trapped_chest: #7, 1(0%)
minecraft.dropped.blackstone_wall: #7, 2(0%)
minecraft.mined.blue_bed: #7, 1(0%)
minecraft.dropped.orange_dye: #7, 1(0%)
minecraft.dropped.mushroom_stem: #7, 5(0%)
minecraft.picked_up.redstone_ore: #8, 1811(4%)
minecraft.dropped.stone_bricks: #8, 677(5%)
minecraft.crafted.polished_blackstone_bricks: #8, 1348(5%)
minecraft.picked_up.diamond_chestplate: #8, 11(5%)
minecraft.mined.iron_bars: #8, 225(4%)
minecraft.picked_up.smooth_stone_slab: #8, 1215(4%)
minecraft.dropped.netherite_axe: #8, 4(5%)
minecraft.picked_up.gravel: #8, 29525(3%)
minecraft.crafted.stone: #8, 2183(4%)
minecraft.crafted.diamond_helmet: #8, 6(4%)
minecraft.mined.white_concrete: #8, 8125(4%)
minecraft.picked_up.basalt: #8, 5056(4%)
minecraft.crafted.dispenser: #8, 164(4%)
minecraft.picked_up.dark_oak_slab: #8, 538(4%)
minecraft.mined.lime_shulker_box: #8, 108(5%)
minecraft.custom.interact_with_cartography_table: #8, 22(5%)
minecraft.dropped.diamond_boots: #8, 8(4%)
minecraft.dropped.firework_rocket: #8, 1131(4%)
minecraft.dropped.jungle_button: #8, 5(7%)
minecraft.dropped.dark_oak_log: #8, 132(6%)
minecraft.picked_up.purpur_slab: #8, 49(4%)
minecraft.mined.stone_button: #8, 78(4%)
minecraft.dropped.oak_boat: #8, 6(5%)
minecraft.picked_up.white_bed: #8, 129(3%)
minecraft.used.brown_shulker_box: #8, 154(4%)
minecraft.mined.bone_block: #8, 301(4%)
minecraft.mined.lapis_ore: #8, 625(3%)
minecraft.dropped.leather_boots: #8, 16(4%)
minecraft.picked_up.oak_leaves: #8, 28926(4%)
minecraft.mined.enchanting_table: #8, 4(5%)
minecraft.crafted.heavy_weighted_pressure_plate: #8, 33(4%)
minecraft.picked_up.brown_shulker_box: #8, 144(4%)
minecraft.mined.brown_bed: #8, 12(5%)
minecraft.mined.brown_shulker_box: #8, 141(4%)
minecraft.mined.spruce_trapdoor: #8, 461(3%)
minecraft.crafted.dark_oak_sign: #8, 48(4%)
minecraft.mined.dragon_wall_head: #8, 11(4%)
minecraft.crafted.oak_trapdoor: #8, 270(3%)
minecraft.used.warped_nylium: #8, 136(4%)
minecraft.mined.dark_oak_trapdoor: #8, 106(3%)
minecraft.custom.eat_cake_slice: #8, 9(4%)
minecraft.picked_up.blackstone: #8, 8507(3%)
minecraft.picked_up.jungle_boat: #8, 19(4%)
minecraft.mined.blackstone: #8, 8299(3%)
minecraft.dropped.crafting_table: #8, 19(3%)
minecraft.crafted.cyan_terracotta: #8, 7680(3%)
minecraft.picked_up.purpur_stairs: #8, 67(4%)
minecraft.dropped.flint: #8, 364(3%)
minecraft.dropped.blackstone: #8, 468(3%)
minecraft.dropped.bone_meal: #8, 714(3%)
minecraft.mined.stone_pressure_plate: #8, 17(3%)
minecraft.dropped.wooden_pickaxe: #8, 1(5%)
minecraft.picked_up.green_terracotta: #8, 106(3%)
minecraft.crafted.lime_stained_glass: #8, 1280(3%)
minecraft.used.stripped_birch_log: #8, 100(4%)
minecraft.mined.campfire: #8, 44(3%)
minecraft.picked_up.cartography_table: #8, 7(3%)
minecraft.picked_up.bee_nest: #8, 16(3%)
minecraft.used.magenta_shulker_box: #8, 44(4%)
minecraft.killed.endermite: #8, 9(3%)
minecraft.dropped.ladder: #8, 36(3%)
minecraft.used.pink_terracotta: #8, 70(6%)
minecraft.used.dark_oak_planks: #8, 1004(3%)
minecraft.mined.pink_bed: #8, 3(4%)
minecraft.used.brown_terracotta: #8, 1081(3%)
minecraft.picked_up.spider_eye: #8, 734(2%)
minecraft.used.polished_blackstone_brick_wall: #8, 45(3%)
minecraft.picked_up.polished_blackstone_brick_stairs: #8, 70(3%)
minecraft.used.stripped_spruce_log: #8, 61(3%)
minecraft.mined.light_gray_stained_glass_pane: #8, 46(3%)
minecraft.used.polished_granite: #8, 282(3%)
minecraft.mined.polished_blackstone_brick_stairs: #8, 66(2%)
minecraft.mined.bookshelf: #8, 243(2%)
minecraft.crafted.white_stained_glass: #8, 2112(2%)
minecraft.used.lapis_ore: #8, 128(2%)
minecraft.picked_up.granite_stairs: #8, 6(4%)
minecraft.used.basalt: #8, 985(2%)
minecraft.picked_up.mossy_cobblestone_slab: #8, 10(4%)
minecraft.used.birch_sign: #8, 158(2%)
minecraft.mined.mossy_cobblestone_stairs: #8, 3(4%)
minecraft.crafted.glass_bottle: #8, 663(2%)
minecraft.used.red_mushroom: #8, 20(3%)
minecraft.used.green_concrete_powder: #8, 1200(2%)
minecraft.mined.sea_lantern: #8, 239(2%)
minecraft.crafted.stone_slab: #9, 4050(6%)
minecraft.used.birch_pressure_plate: #8, 8(3%)
minecraft.picked_up.warped_fungus: #8, 170(2%)
minecraft.picked_up.green_carpet: #8, 94(2%)
minecraft.mined.black_stained_glass: #8, 112(2%)
minecraft.crafted.mossy_cobblestone: #8, 141(3%)
minecraft.used.pufferfish_bucket: #8, 5(3%)
minecraft.used.orange_wool: #8, 168(3%)
minecraft.dropped.egg: #8, 346(2%)
minecraft.crafted.warped_door: #8, 3(3%)
minecraft.crafted.green_concrete_powder: #8, 1152(2%)
minecraft.picked_up.dead_bush: #8, 71(2%)
minecraft.picked_up.stone_sword: #8, 20(2%)
minecraft.dropped.warped_wart_block: #8, 136(2%)
minecraft.crafted.white_wool: #8, 669(2%)
minecraft.picked_up.gray_stained_glass_pane: #8, 44(2%)
minecraft.used.purple_wool: #8, 40(2%)
minecraft.crafted.black_terracotta: #8, 688(2%)
minecraft.crafted.snow: #8, 90(3%)
minecraft.dropped.netherite_ingot: #8, 3(3%)
minecraft.used.stone_brick_wall: #8, 230(2%)
minecraft.picked_up.grindstone: #8, 35(1%)
minecraft.custom.traded_with_villager: #8, 16569(1%)
minecraft.used.bone_block: #8, 640(2%)
minecraft.dropped.rabbit: #8, 4(2%)
minecraft.picked_up.melon_slice: #8, 746(1%)
minecraft.picked_up.diamond_pickaxe: #9, 70(5%)
minecraft.used.redstone: #9, 4033(5%)
minecraft.mined.potted_dead_bush: #8, 1(4%)
minecraft.mined.jungle_slab: #8, 104(1%)
minecraft.used.stone_button: #8, 686(1%)
minecraft.dropped.glowstone_dust: #8, 24(1%)
minecraft.dropped.stone_sword: #8, 22(1%)
minecraft.crafted.golden_leggings: #8, 2(2%)
minecraft.used.hopper: #9, 2182(5%)
minecraft.used.yellow_terracotta: #8, 161(2%)
minecraft.crafted.polished_blackstone_brick_wall: #8, 36(2%)
minecraft.dropped.cobblestone_stairs: #8, 8(2%)
minecraft.used.cooked_salmon: #8, 21(2%)
minecraft.used.rotten_flesh: #8, 11(1%)
minecraft.used.sandstone: #8, 1437(1%)
minecraft.crafted.dropper: #9, 467(5%)
minecraft.dropped.nether_wart_block: #8, 94(1%)
minecraft.crafted.enchanted_book: #8, 94(1%)
minecraft.custom.interact_with_anvil: #9, 521(4%)
minecraft.crafted.redstone: #9, 14398(5%)
minecraft.dropped.polished_blackstone: #8, 9(1%)
minecraft.used.green_bed: #8, 10(2%)
minecraft.killed.blaze: #8, 365(1%)
minecraft.dropped.jungle_fence: #8, 7(2%)
minecraft.crafted.blue_bed: #8, 1(2%)
minecraft.crafted.glowstone: #8, 340(1%)
minecraft.mined.stripped_crimson_stem: #8, 10(2%)
minecraft.crafted.bookshelf: #8, 176(1%)
minecraft.custom.aviate_one_cm: #9, 865065162(5%)
minecraft.picked_up.snow: #8, 553(1%)
minecraft.used.music_disc_cat: #8, 2(1%)
minecraft.mined.lime_stained_glass_pane: #8, 14(1%)
minecraft.used.brick_stairs: #8, 34(1%)
minecraft.picked_up.mossy_cobblestone_stairs: #8, 3(1%)
minecraft.mined.orange_bed: #8, 1(1%)
minecraft.used.torch: #9, 16001(4%)
minecraft.dropped.azure_bluet: #8, 15(1%)
minecraft.dropped.lime_concrete: #8, 8(1%)
minecraft.dropped.dark_oak_slab: #8, 53(1%)
minecraft.picked_up.orange_bed: #8, 1(1%)
minecraft.dropped.brown_mushroom: #9, 148(5%)
minecraft.dropped.rose_bush: #8, 49(1%)
minecraft.dropped.chicken: #8, 31(1%)
minecraft.picked_up.chiseled_nether_bricks: #8, 5(1%)
minecraft.picked_up.redstone_block: #9, 524(5%)
minecraft.used.jungle_wood: #8, 74(1%)
minecraft.used.brain_coral_block: #8, 3(1%)
minecraft.crafted.polished_granite_slab: #8, 6(1%)
minecraft.dropped.sticky_piston: #8, 4(1%)
minecraft.mined.quartz_bricks: #8, 36(1%)
minecraft.killed.snow_golem: #8, 6(1%)
minecraft.mined.spruce_pressure_plate: #8, 2(1%)
minecraft.picked_up.leather_boots: #9, 21(5%)
minecraft.picked_up.black_carpet: #8, 415(0%)
minecraft.picked_up.brown_concrete_powder: #8, 40(0%)
minecraft.mined.soul_wall_torch: #8, 1(1%)
minecraft.mined.tube_coral_fan: #8, 2(0%)
minecraft.used.redstone_ore: #9, 1216(5%)
minecraft.dropped.dark_oak_stairs: #8, 14(0%)
minecraft.dropped.acacia_leaves: #8, 11(1%)
minecraft.mined.cyan_stained_glass: #8, 68(0%)
minecraft.killed.ocelot: #8, 2(0%)
minecraft.dropped.red_carpet: #8, 2(0%)
minecraft.mined.acacia_wood: #8, 3(1%)
minecraft.used.mossy_cobblestone_wall: #8, 2(0%)
minecraft.dropped.spruce_fence_gate: #8, 1(0%)
minecraft.dropped.nether_brick_slab: #8, 8(0%)
minecraft.used.honey_bottle: #8, 2(0%)
minecraft.picked_up.light_blue_concrete_powder: #8, 27(0%)
minecraft.dropped.red_tulip: #8, 5(0%)
minecraft.crafted.beehive: #8, 6(0%)
minecraft.used.blue_bed: #8, 2(0%)
minecraft.picked_up.blue_bed: #8, 2(0%)
minecraft.picked_up.purple_concrete_powder: #8, 13(0%)
minecraft.dropped.cyan_concrete: #8, 1(0%)
minecraft.used.mushroom_stew: #8, 1(0%)
minecraft.crafted.iron_chestplate: #9, 7(5%)
minecraft.dropped.brick: #8, 2(0%)
minecraft.dropped.crimson_trapdoor: #8, 1(0%)
minecraft.crafted.jungle_planks: #9, 13748(4%)
minecraft.picked_up.blue_ice: #8, 4(0%)
minecraft.picked_up.magenta_concrete_powder: #8, 3(0%)
minecraft.picked_up.granite: #9, 14198(4%)
minecraft.used.damaged_anvil: #9, 9(5%)
minecraft.picked_up.chainmail_leggings: #9, 5(4%)
minecraft.picked_up.nether_bricks: #9, 1716(4%)
minecraft.used.stone_brick_stairs: #9, 753(4%)
minecraft.used.diamond_shovel: #9, 154147(4%)
minecraft.mined.mossy_cobblestone: #9, 93(4%)
minecraft.picked_up.iron_ore: #9, 4051(4%)
minecraft.mined.warped_fungus: #9, 89(4%)
minecraft.picked_up.lapis_lazuli: #9, 5516(4%)
minecraft.picked_up.stone_bricks: #9, 3329(4%)
minecraft.mined.cobblestone_slab: #9, 150(4%)
minecraft.used.iron_trapdoor: #9, 1068(4%)
minecraft.custom.enchant_item: #9, 133(4%)
minecraft.crafted.iron_trapdoor: #9, 1085(4%)
minecraft.used.splash_potion: #9, 56(4%)
minecraft.crafted.green_dye: #9, 640(4%)
minecraft.mined.poppy: #9, 229(3%)
minecraft.custom.talked_to_villager: #9, 3823(3%)
minecraft.dropped.diamond: #9, 444(4%)
minecraft.used.stone_pressure_plate: #9, 76(4%)
minecraft.picked_up.firework_rocket: #9, 3963(3%)
minecraft.used.spruce_trapdoor: #9, 1449(3%)
minecraft.killed.wandering_trader: #9, 9(4%)
minecraft.crafted.magenta_dye: #9, 450(4%)
minecraft.crafted.cobblestone_slab: #9, 954(3%)
minecraft.crafted.iron_axe: #9, 9(3%)
minecraft.dropped.smooth_stone: #9, 109(4%)
minecraft.used.mycelium: #9, 1176(3%)
minecraft.dropped.redstone: #9, 386(3%)
minecraft.mined.cartography_table: #9, 6(4%)
minecraft.crafted.painting: #9, 32(3%)
minecraft.dropped.leather_leggings: #9, 12(3%)
minecraft.picked_up.note_block: #9, 86(4%)
minecraft.dropped.pumpkin_pie: #9, 54(4%)
minecraft.dropped.golden_chestplate: #9, 13(3%)
minecraft.picked_up.enchanting_table: #9, 4(4%)
minecraft.mined.smooth_stone_slab: #9, 866(3%)
minecraft.mined.spruce_fence: #9, 143(3%)
minecraft.crafted.netherite_leggings: #9, 1(5%)
minecraft.mined.crimson_roots: #9, 110(3%)
minecraft.used.crimson_nylium: #9, 119(3%)
minecraft.used.stonecutter: #9, 90(3%)
minecraft.mined.oak_stairs: #9, 57(3%)
minecraft.used.shroomlight: #9, 254(3%)
minecraft.custom.sprint_one_cm: #10, 136551990(5%)
minecraft.used.mossy_cobblestone: #9, 96(4%)
minecraft.dropped.mycelium: #9, 952(3%)
minecraft.used.polished_blackstone_bricks: #9, 1098(3%)
minecraft.picked_up.dragon_head: #9, 12(3%)
minecraft.mined.warped_nylium: #9, 232(3%)
minecraft.mined.basalt: #9, 5088(3%)
minecraft.crafted.gray_dye: #9, 1646(3%)
minecraft.picked_up.iron_pickaxe: #9, 8(3%)
minecraft.killed.skeleton: #9, 3944(2%)
minecraft.used.cartography_table: #9, 9(3%)
minecraft.mined.green_carpet: #9, 75(3%)
minecraft.picked_up.pink_bed: #9, 3(4%)
minecraft.picked_up.chain: #9, 208(2%)
minecraft.mined.red_mushroom: #9, 23(2%)
minecraft.killed_by.skeleton: #9, 3(3%)
minecraft.mined.crimson_nylium: #9, 233(2%)
minecraft.picked_up.gilded_blackstone: #9, 42(3%)
minecraft.mined.end_rod: #9, 315(2%)
minecraft.mined.purpur_pillar: #9, 79(3%)
minecraft.mined.lime_carpet: #9, 52(3%)
minecraft.mined.andesite_stairs: #9, 15(3%)
minecraft.crafted.birch_sign: #9, 138(2%)
minecraft.picked_up.enchanted_book: #9, 45(2%)
minecraft.used.jungle_button: #9, 18(3%)
minecraft.picked_up.purpur_pillar: #9, 70(2%)
minecraft.crafted.stonecutter: #9, 35(2%)
minecraft.mined.grindstone: #9, 25(2%)
minecraft.custom.damage_taken: #10, 410296(5%)
minecraft.crafted.andesite_stairs: #9, 64(3%)
minecraft.used.sea_lantern: #9, 1180(2%)
minecraft.mined.rose_bush: #9, 24(2%)
minecraft.crafted.green_shulker_box: #9, 3(3%)
minecraft.used.jungle_log: #9, 392(2%)
minecraft.mined.yellow_carpet: #9, 39(2%)
minecraft.used.smooth_stone: #9, 2289(2%)
minecraft.picked_up.magenta_shulker_box: #9, 28(2%)
minecraft.picked_up.cobblestone_slab: #9, 179(2%)
minecraft.used.spruce_fence: #9, 395(2%)
minecraft.used.black_stained_glass_pane: #9, 366(2%)
minecraft.mined.magenta_shulker_box: #9, 27(2%)
minecraft.crafted.jukebox: #9, 2(2%)
minecraft.mined.light_blue_carpet: #9, 19(2%)
minecraft.used.light_blue_shulker_box: #9, 98(2%)
minecraft.dropped.jungle_sign: #9, 6(3%)
minecraft.picked_up.blackstone_wall: #9, 45(2%)
minecraft.mined.crimson_door: #9, 1(4%)
minecraft.dropped.nether_bricks: #9, 73(2%)
minecraft.crafted.emerald: #9, 10888(1%)
minecraft.dropped.iron_block: #9, 189(2%)
minecraft.used.tropical_fish_bucket: #9, 7(3%)
minecraft.crafted.anvil: #9, 65(1%)
minecraft.dropped.packed_ice: #9, 62(2%)
minecraft.picked_up.light_blue_shulker_box: #9, 85(1%)
minecraft.used.bookshelf: #9, 236(1%)
minecraft.dropped.twisting_vines: #9, 11(2%)
minecraft.dropped.cooked_chicken: #9, 14(1%)
minecraft.mined.light_blue_shulker_box: #9, 82(1%)
minecraft.dropped.fishing_rod: #9, 3(2%)
minecraft.crafted.activator_rail: #9, 6(3%)
minecraft.used.lime_carpet: #9, 174(2%)
minecraft.mined.infested_stone: #9, 21(2%)
minecraft.killed.slime: #9, 742(1%)
minecraft.picked_up.heavy_weighted_pressure_plate: #9, 11(1%)
minecraft.dropped.lapis_ore: #9, 11(2%)
minecraft.crafted.snow_block: #9, 931(2%)
minecraft.mined.jungle_button: #9, 2(2%)
minecraft.used.activator_rail: #9, 2(2%)
minecraft.dropped.end_stone: #9, 36(1%)
minecraft.picked_up.tube_coral_fan: #9, 11(1%)
minecraft.used.stone: #10, 42259(4%)
minecraft.crafted.stone_button: #9, 636(1%)
minecraft.dropped.iron_boots: #9, 33(1%)
minecraft.picked_up.music_disc_cat: #9, 3(1%)
minecraft.dropped.andesite_wall: #9, 14(2%)
minecraft.dropped.magenta_stained_glass: #9, 2(2%)
minecraft.mined.tube_coral_wall_fan: #9, 9(1%)
minecraft.picked_up.magenta_concrete: #9, 90(1%)
minecraft.crafted.light_blue_stained_glass: #9, 488(1%)
minecraft.crafted.light_gray_stained_glass: #9, 552(1%)
minecraft.mined.green_bed: #9, 9(1%)
minecraft.dropped.black_shulker_box: #9, 1(2%)
minecraft.used.light_blue_terracotta: #9, 121(2%)
minecraft.used.cooked_chicken: #9, 46(1%)
minecraft.picked_up.stripped_crimson_stem: #9, 10(2%)
minecraft.picked_up.green_bed: #9, 9(1%)
minecraft.used.lime_concrete_powder: #9, 391(1%)
minecraft.dropped.dead_bush: #9, 1(1%)
minecraft.mined.brick_wall: #9, 14(1%)
minecraft.crafted.green_bed: #9, 1(2%)
minecraft.used.brain_coral_fan: #9, 3(1%)
minecraft.mined.cut_sandstone_slab: #9, 11(1%)
minecraft.used.brick_slab: #9, 39(1%)
minecraft.used.wither_rose: #9, 66(1%)
minecraft.dropped.stripped_jungle_log: #9, 1(1%)
minecraft.picked_up.leather_leggings: #10, 22(5%)
minecraft.dropped.chipped_anvil: #9, 1(2%)
minecraft.picked_up.yellow_concrete_powder: #9, 126(1%)
minecraft.mined.soul_campfire: #9, 1(1%)
minecraft.dropped.iron_nugget: #9, 107(1%)
minecraft.mined.orange_concrete_powder: #9, 2(1%)
minecraft.crafted.smooth_sandstone: #9, 225(1%)
minecraft.crafted.pink_terracotta: #9, 64(1%)
minecraft.picked_up.golden_helmet: #10, 29(5%)
minecraft.picked_up.quartz_bricks: #9, 36(1%)
minecraft.dropped.crimson_planks: #9, 8(1%)
minecraft.crafted.cartography_table: #9, 6(1%)
minecraft.picked_up.dark_oak_button: #9, 5(1%)
minecraft.used.quartz_bricks: #9, 84(1%)
minecraft.dropped.bricks: #9, 49(1%)
minecraft.used.red_sand: #9, 259(1%)
minecraft.mined.dark_prismarine_slab: #9, 9(1%)
minecraft.picked_up.barrel: #10, 213(5%)
minecraft.crafted.light_blue_wool: #9, 16(1%)
minecraft.killed.mooshroom: #9, 11(1%)
minecraft.mined.pink_concrete_powder: #9, 1(1%)
minecraft.mined.chiseled_nether_bricks: #9, 4(1%)
minecraft.dropped.spruce_sign: #9, 7(0%)
minecraft.picked_up.red_nether_bricks: #9, 16(1%)
minecraft.dropped.polished_blackstone_brick_stairs: #9, 1(1%)
minecraft.picked_up.cyan_stained_glass: #9, 89(0%)
minecraft.dropped.saddle: #9, 1(0%)
minecraft.used.turtle_egg: #9, 8(0%)
minecraft.used.light_blue_stained_glass: #9, 122(0%)
minecraft.crafted.cake: #9, 2(0%)
minecraft.mined.light_blue_stained_glass: #9, 26(0%)
minecraft.used.stripped_oak_wood: #9, 18(0%)
minecraft.crafted.chest: #10, 3056(4%)
minecraft.dropped.stone_brick_stairs: #9, 12(0%)
minecraft.picked_up.pink_terracotta: #9, 9(0%)
minecraft.dropped.crimson_stem: #9, 12(0%)
minecraft.mined.turtle_egg: #9, 9(0%)
minecraft.crafted.purple_bed: #9, 1(0%)
minecraft.crafted.lime_wool: #9, 3(0%)
minecraft.dropped.cocoa_beans: #9, 31(0%)
minecraft.dropped.purple_carpet: #9, 1(0%)
minecraft.picked_up.emerald_block: #9, 16(0%)
minecraft.dropped.stone_stairs: #9, 10(0%)
minecraft.mined.red_nether_bricks: #9, 4(0%)
minecraft.crafted.light_gray_wool: #9, 16(0%)
minecraft.picked_up.tube_coral_block: #9, 5(0%)
minecraft.mined.tube_coral_block: #9, 5(0%)
minecraft.picked_up.acacia_wood: #9, 3(0%)
minecraft.used.ancient_debris: #9, 6(0%)
minecraft.dropped.cyan_stained_glass_pane: #9, 1(0%)
minecraft.mined.blue_ice: #9, 4(0%)
minecraft.used.respawn_anchor: #9, 1(0%)
minecraft.mined.stripped_warped_hyphae: #9, 6(0%)
minecraft.dropped.andesite_slab: #9, 11(0%)
minecraft.dropped.piston: #9, 1(0%)
minecraft.picked_up.prismarine_shard: #9, 64(0%)
minecraft.used.stripped_warped_hyphae: #9, 5(0%)
minecraft.dropped.dried_kelp: #9, 5(0%)
minecraft.dropped.tropical_fish: #9, 7(0%)
minecraft.killed.witch: #9, 17(0%)
minecraft.used.dispenser: #10, 167(4%)
minecraft.picked_up.andesite: #10, 15356(4%)
minecraft.mined.spruce_planks: #10, 775(4%)
minecraft.mined.dirt: #10, 44369(4%)
minecraft.used.cobblestone: #10, 7444(4%)
minecraft.custom.interact_with_grindstone: #10, 101(4%)
minecraft.mined.iron_ore: #10, 3689(4%)
minecraft.used.chipped_anvil: #10, 14(4%)
minecraft.picked_up.chipped_anvil: #10, 20(4%)
minecraft.picked_up.dirt: #10, 51935(3%)
minecraft.picked_up.spruce_planks: #10, 1013(4%)
minecraft.mined.brewing_stand: #10, 21(4%)
minecraft.used.dirt: #10, 28491(3%)
minecraft.dropped.player_head: #10, 70(3%)
minecraft.picked_up.smooth_stone: #10, 1505(3%)
minecraft.mined.crimson_fungus: #10, 37(4%)
minecraft.used.netherite_axe: #10, 23068(4%)
minecraft.crafted.spruce_trapdoor: #10, 1252(3%)
minecraft.used.sand: #10, 11857(3%)
minecraft.picked_up.iron_leggings: #10, 7(3%)
minecraft.used.brewing_stand: #10, 24(3%)
minecraft.dropped.golden_carrot: #10, 352(3%)
minecraft.mined.gravel: #10, 26176(3%)
minecraft.used.stone_bricks: #10, 7534(3%)
minecraft.custom.boat_one_cm: #10, 7331993(3%)
minecraft.crafted.emerald_block: #10, 540(3%)
minecraft.used.white_concrete: #10, 8080(3%)
minecraft.picked_up.stripped_spruce_log: #10, 109(3%)
minecraft.used.ender_pearl: #10, 444(3%)
minecraft.crafted.cyan_dye: #10, 1504(3%)
minecraft.used.bone_meal: #10, 8826(3%)
minecraft.crafted.black_dye: #10, 3434(3%)
minecraft.mined.lectern: #10, 190(3%)
minecraft.used.bread: #10, 126(3%)
minecraft.picked_up.red_concrete: #10, 515(3%)
minecraft.picked_up.spruce_trapdoor: #10, 562(3%)
minecraft.crafted.smooth_stone_slab: #10, 3112(3%)
minecraft.mined.stonecutter: #10, 69(3%)
minecraft.mined.stripped_spruce_log: #10, 95(3%)
minecraft.picked_up.warped_nylium: #10, 241(3%)
minecraft.dropped.diamond_sword: #10, 7(2%)
minecraft.used.end_rod: #10, 373(3%)
minecraft.crafted.white_shulker_box: #10, 7(3%)
minecraft.crafted.iron_hoe: #10, 3(3%)
minecraft.dropped.diamond_shovel: #10, 7(3%)
minecraft.picked_up.crimson_nylium: #10, 235(2%)
minecraft.picked_up.stonecutter: #10, 69(3%)
minecraft.picked_up.black_stained_glass: #10, 229(3%)
minecraft.mined.birch_wall_sign: #10, 40(2%)
minecraft.picked_up.brown_mushroom: #10, 297(2%)
minecraft.mined.bamboo: #10, 398(2%)
minecraft.dropped.spruce_planks: #10, 122(2%)
minecraft.used.green_carpet: #10, 275(2%)
minecraft.picked_up.oak_stairs: #10, 57(2%)
minecraft.dropped.iron_leggings: #10, 5(3%)
minecraft.picked_up.birch_sign: #10, 108(2%)
minecraft.crafted.stone_stairs: #10, 164(2%)
minecraft.custom.play_one_minute: #11, 68234648(3%)
minecraft.picked_up.peony: #10, 86(2%)
minecraft.mined.cracked_stone_bricks: #10, 38(2%)
minecraft.crafted.polished_basalt: #10, 500(2%)
minecraft.used.andesite_stairs: #10, 53(3%)
minecraft.mined.crying_obsidian: #10, 24(2%)
minecraft.dropped.shears: #10, 16(2%)
minecraft.used.lime_stained_glass: #10, 722(2%)
minecraft.picked_up.nautilus_shell: #10, 9(2%)
minecraft.crafted.polished_blackstone: #10, 1860(2%)
minecraft.crafted.jungle_button: #10, 18(3%)
minecraft.dropped.spruce_door: #10, 6(3%)
minecraft.crafted.spruce_fence: #10, 399(2%)
minecraft.picked_up.lime_stained_glass: #10, 121(2%)
minecraft.used.birch_slab: #10, 199(2%)
minecraft.dropped.red_sand: #10, 62(2%)
minecraft.crafted.lime_dye: #10, 442(2%)
minecraft.dropped.warped_planks: #10, 6(3%)
minecraft.used.mossy_cobblestone_stairs: #10, 7(3%)
minecraft.picked_up.lapis_block: #10, 67(2%)
minecraft.dropped.birch_sign: #10, 22(2%)
minecraft.dropped.oak_leaves: #10, 181(2%)
minecraft.mined.red_mushroom_block: #10, 555(2%)
minecraft.crafted.brown_dye: #10, 223(2%)
minecraft.picked_up.warped_roots: #10, 541(1%)
minecraft.mined.stone_brick_wall: #10, 44(2%)
minecraft.crafted.pink_dye: #10, 162(2%)
minecraft.dropped.lily_of_the_valley: #10, 2(2%)
minecraft.used.red_concrete: #10, 449(1%)
minecraft.killed.horse: #10, 4(3%)
minecraft.used.polished_blackstone_brick_stairs: #10, 106(1%)
minecraft.dropped.birch_leaves: #10, 87(1%)
minecraft.mined.chiseled_polished_blackstone: #10, 15(2%)
minecraft.used.brown_concrete_powder: #10, 281(1%)
minecraft.dropped.snowball: #10, 100(1%)
minecraft.used.horn_coral_fan: #10, 3(2%)
minecraft.used.netherite_sword: #10, 7623(1%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #10, 188(1%)
minecraft.crafted.orange_concrete_powder: #10, 328(1%)
minecraft.used.prismarine_slab: #10, 21(2%)
minecraft.dropped.enchanted_book: #10, 25(1%)
minecraft.mined.green_wool: #10, 16(1%)
minecraft.crafted.birch_wood: #10, 48(2%)
