stat, rank, value, (percentage) 
minecraft.killed.wither: #4, 18(6%)
minecraft.killed_by.player: #5, 100(8%)
minecraft.used.warped_slab: #5, 621(11%)
minecraft.crafted.magenta_shulker_box: #4, 5(8%)
minecraft.mined.jungle_fence: #5, 56(11%)
minecraft.picked_up.dark_oak_sapling: #5, 1053(10%)
minecraft.picked_up.nether_brick_fence: #5, 141(10%)
minecraft.crafted.brown_concrete_powder: #4, 1664(5%)
minecraft.crafted.crimson_pressure_plate: #4, 17(11%)
minecraft.used.cooked_salmon: #4, 76(6%)
minecraft.crafted.quartz_block: #5, 17952(8%)
minecraft.dropped.acacia_trapdoor: #4, 34(7%)
minecraft.picked_up.orange_terracotta: #5, 12084(8%)
minecraft.crafted.gray_terracotta: #4, 1524(6%)
minecraft.custom.clean_shulker_box: #4, 11(13%)
minecraft.dropped.brick_slab: #4, 19(16%)
minecraft.dropped.magenta_stained_glass: #4, 7(6%)
minecraft.dropped.stripped_dark_oak_log: #4, 7(9%)
minecraft.used.shulker_box: #5, 5559(7%)
minecraft.mined.jungle_planks: #5, 320(8%)
minecraft.picked_up.cod: #4, 1096(3%)
minecraft.dropped.smooth_sandstone_slab: #4, 43(7%)
minecraft.killed.endermite: #5, 26(9%)
minecraft.mined.dark_prismarine_stairs: #4, 35(9%)
minecraft.crafted.ender_chest: #5, 67(8%)
minecraft.mined.repeater: #5, 405(8%)
minecraft.picked_up.glass: #5, 5806(7%)
minecraft.picked_up.spruce_stairs: #5, 486(7%)
minecraft.crafted.warped_slab: #5, 604(10%)
minecraft.picked_up.barrel: #5, 337(7%)
minecraft.mined.snow_block: #4, 1316(4%)
minecraft.picked_up.cooked_rabbit: #4, 17(9%)
minecraft.mined.shulker_box: #5, 5535(7%)
minecraft.crafted.acacia_wood: #4, 609(8%)
minecraft.picked_up.glowstone_dust: #5, 847(7%)
minecraft.crafted.dark_oak_trapdoor: #5, 894(8%)
minecraft.picked_up.brown_concrete_powder: #4, 406(3%)
minecraft.used.red_glazed_terracotta: #4, 132(12%)
minecraft.mined.stripped_jungle_log: #5, 70(10%)
minecraft.crafted.spruce_button: #4, 117(3%)
minecraft.picked_up.yellow_terracotta: #5, 6514(8%)
minecraft.used.red_sandstone: #4, 19(7%)
minecraft.used.enchanting_table: #5, 9(8%)
minecraft.picked_up.acacia_stairs: #4, 73(5%)
minecraft.picked_up.dark_prismarine_stairs: #4, 30(8%)
minecraft.picked_up.redstone_ore: #5, 2975(7%)
minecraft.custom.interact_with_beacon: #5, 113(7%)
minecraft.used.pink_shulker_box: #5, 130(8%)
minecraft.used.netherite_axe: #5, 47141(9%)
minecraft.picked_up.light_blue_concrete_powder: #4, 531(5%)
minecraft.picked_up.netherite_hoe: #5, 19(12%)
minecraft.crafted.stripped_dark_oak_wood: #4, 9(10%)
minecraft.picked_up.cocoa_beans: #5, 4078(8%)
minecraft.dropped.purple_concrete: #4, 18(6%)
minecraft.mined.red_glazed_terracotta: #4, 73(10%)
minecraft.picked_up.cut_red_sandstone: #4, 4(10%)
minecraft.mined.polished_basalt: #5, 521(7%)
minecraft.picked_up.granite: #5, 22666(7%)
minecraft.used.stripped_jungle_log: #4, 17(5%)
minecraft.used.soul_sand: #5, 1569(7%)
minecraft.killed.creeper: #5, 624(6%)
minecraft.used.acacia_stairs: #4, 129(4%)
minecraft.picked_up.pink_shulker_box: #5, 132(8%)
minecraft.used.orange_concrete_powder: #5, 2186(9%)
minecraft.mined.trapped_chest: #4, 1(11%)
minecraft.dropped.crimson_door: #4, 2(9%)
minecraft.dropped.stripped_acacia_log: #4, 1(9%)
minecraft.picked_up.sweet_berries: #4, 1498(2%)
minecraft.picked_up.fire_charge: #5, 181(10%)
minecraft.picked_up.mycelium: #5, 13944(7%)
minecraft.picked_up.red_concrete_powder: #4, 629(3%)
minecraft.dropped.stonecutter: #4, 6(7%)
minecraft.dropped.crimson_sign: #4, 4(7%)
minecraft.mined.brown_terracotta: #5, 2089(8%)
minecraft.used.acacia_wood: #4, 308(5%)
minecraft.dropped.orange_tulip: #4, 14(10%)
minecraft.crafted.warped_planks: #5, 2908(7%)
minecraft.mined.crimson_button: #4, 2(10%)
minecraft.dropped.item_frame: #5, 67(8%)
minecraft.picked_up.soul_sand: #5, 3662(7%)
minecraft.mined.pink_shulker_box: #5, 130(8%)
minecraft.picked_up.cartography_table: #5, 17(8%)
minecraft.picked_up.netherrack: #5, 69136(6%)
minecraft.dropped.cod: #4, 754(3%)
minecraft.dropped.shears: #5, 56(7%)
minecraft.crafted.lantern: #5, 1052(7%)
minecraft.picked_up.acacia_planks: #5, 165(8%)
minecraft.mined.spruce_pressure_plate: #4, 11(4%)
minecraft.picked_up.magenta_shulker_box: #5, 105(9%)
minecraft.picked_up.crimson_sign: #4, 7(3%)
minecraft.picked_up.lapis_lazuli: #5, 8911(6%)
minecraft.picked_up.brown_terracotta: #5, 2679(8%)
minecraft.dropped.gold_ingot: #5, 325(6%)
minecraft.dropped.spruce_sign: #4, 38(2%)
minecraft.dropped.light_blue_bed: #4, 1(6%)
minecraft.picked_up.fletching_table: #4, 16(3%)
minecraft.dropped.spider_eye: #4, 350(2%)
minecraft.used.wither_skeleton_skull: #4, 30(3%)
minecraft.used.damaged_anvil: #5, 13(7%)
minecraft.crafted.crimson_slab: #5, 484(8%)
minecraft.picked_up.bricks: #5, 1259(9%)
minecraft.mined.brick_stairs: #5, 54(9%)
minecraft.mined.purpur_pillar: #5, 212(7%)
minecraft.picked_up.chorus_flower: #4, 162(3%)
minecraft.mined.enchanting_table: #5, 7(8%)
minecraft.used.polished_diorite: #5, 923(7%)
minecraft.crafted.red_shulker_box: #5, 17(6%)
minecraft.used.honeycomb_block: #4, 291(3%)
minecraft.dropped.chiseled_polished_blackstone: #4, 5(6%)
minecraft.crafted.diamond_helmet: #5, 9(7%)
minecraft.dropped.chiseled_quartz_block: #4, 6(8%)
minecraft.used.dead_bush: #5, 91(9%)
minecraft.crafted.diamond_sword: #5, 10(6%)
minecraft.crafted.warped_pressure_plate: #4, 7(4%)
minecraft.used.wet_sponge: #5, 505(9%)
minecraft.dropped.lever: #5, 71(7%)
minecraft.used.stripped_crimson_hyphae: #4, 6(6%)
minecraft.picked_up.warped_planks: #5, 105(7%)
minecraft.mined.stripped_crimson_hyphae: #4, 7(5%)
minecraft.killed.spider: #5, 219(6%)
minecraft.used.crying_obsidian: #5, 1308(8%)
minecraft.picked_up.stripped_crimson_hyphae: #4, 7(5%)
minecraft.picked_up.ender_chest: #5, 900(6%)
minecraft.mined.fletching_table: #4, 13(2%)
minecraft.crafted.oak_sign: #5, 375(6%)
minecraft.mined.polished_blackstone_brick_wall: #5, 38(8%)
minecraft.crafted.arrow: #4, 664(3%)
minecraft.picked_up.purpur_pillar: #5, 204(7%)
minecraft.mined.ender_chest: #5, 839(6%)
minecraft.dropped.warped_nylium: #5, 29(9%)
minecraft.used.ender_chest: #5, 855(6%)
minecraft.crafted.green_carpet: #5, 804(7%)
minecraft.picked_up.warped_button: #4, 2(5%)
minecraft.dropped.smithing_table: #4, 6(5%)
minecraft.dropped.yellow_stained_glass: #4, 6(6%)
minecraft.broken.shield: #4, 1(5%)
minecraft.crafted.lime_dye: #5, 1576(7%)
minecraft.mined.pink_tulip: #5, 45(7%)
minecraft.mined.spruce_fence: #5, 266(6%)
minecraft.dropped.gray_banner: #4, 1(7%)
minecraft.mined.damaged_anvil: #5, 14(6%)
minecraft.dropped.brain_coral_fan: #4, 1(7%)
minecraft.used.chicken: #4, 1(7%)
minecraft.mined.cocoa: #5, 455(6%)
minecraft.crafted.black_terracotta: #5, 2504(8%)
minecraft.mined.lapis_ore: #5, 939(5%)
minecraft.used.music_disc_ward: #4, 1(4%)
minecraft.picked_up.polished_blackstone_brick_wall: #5, 39(8%)
minecraft.dropped.gray_terracotta: #4, 51(4%)
minecraft.mined.warped_trapdoor: #5, 53(7%)
minecraft.dropped.note_block: #4, 12(3%)
minecraft.crafted.purpur_block: #4, 256(3%)
minecraft.used.magenta_bed: #4, 3(3%)
minecraft.dropped.chiseled_nether_bricks: #4, 5(3%)
minecraft.crafted.blaze_powder: #4, 724(1%)
minecraft.used.honey_bottle: #4, 14(3%)
minecraft.used.honey_block: #5, 849(6%)
minecraft.dropped.mossy_stone_brick_wall: #4, 1(6%)
minecraft.dropped.warped_trapdoor: #4, 3(3%)
minecraft.dropped.spruce_fence_gate: #4, 6(2%)
minecraft.mined.stripped_jungle_wood: #4, 13(4%)
minecraft.dropped.iron_shovel: #5, 10(6%)
minecraft.picked_up.ender_eye: #4, 18(2%)
minecraft.picked_up.acacia_leaves: #5, 726(8%)
minecraft.dropped.wither_skeleton_skull: #4, 3(3%)
minecraft.dropped.jungle_sapling: #5, 31(9%)
minecraft.picked_up.iron_pickaxe: #5, 16(6%)
minecraft.used.apple: #5, 52(8%)
minecraft.dropped.brick_wall: #4, 19(4%)
minecraft.used.jungle_stairs: #5, 253(8%)
minecraft.dropped.saddle: #4, 3(1%)
minecraft.dropped.red_glazed_terracotta: #4, 4(3%)
minecraft.dropped.warped_fence: #4, 2(3%)
minecraft.mined.quartz_block: #5, 440(6%)
minecraft.picked_up.damaged_anvil: #5, 14(6%)
minecraft.mined.brown_glazed_terracotta: #4, 8(3%)
minecraft.used.potato: #5, 407(6%)
minecraft.used.smooth_sandstone: #5, 4934(6%)
minecraft.mined.dead_fire_coral_block: #4, 1(4%)
minecraft.picked_up.stripped_jungle_wood: #4, 10(3%)
minecraft.mined.stripped_acacia_wood: #4, 3(2%)
minecraft.mined.smooth_sandstone_slab: #5, 343(6%)
minecraft.picked_up.red_sandstone_slab: #4, 1(4%)
minecraft.crafted.warped_sign: #5, 42(8%)
minecraft.dropped.polished_blackstone_wall: #4, 8(1%)
minecraft.crafted.acacia_fence: #5, 72(9%)
minecraft.crafted.light_blue_glazed_terracotta: #4, 6(3%)
minecraft.crafted.bread: #5, 1534(5%)
minecraft.killed.turtle: #5, 5(11%)
minecraft.crafted.yellow_stained_glass: #5, 1016(8%)
minecraft.used.brick_wall: #5, 247(10%)
minecraft.custom.raid_win: #4, 3(1%)
minecraft.dropped.purple_terracotta: #4, 4(2%)
minecraft.dropped.jungle_trapdoor: #4, 14(1%)
minecraft.picked_up.rabbit_foot: #4, 5(1%)
minecraft.dropped.warped_hyphae: #4, 3(2%)
minecraft.dropped.shulker_box: #5, 83(5%)
minecraft.killed_by.vex: #5, 4(7%)
minecraft.picked_up.green_banner: #4, 2(3%)
minecraft.dropped.horn_coral: #4, 1(3%)
minecraft.dropped.dark_oak_pressure_plate: #4, 1(3%)
minecraft.picked_up.jungle_slab: #5, 482(6%)
minecraft.picked_up.blue_glazed_terracotta: #4, 3(2%)
minecraft.used.fire_coral_block: #4, 8(1%)
minecraft.picked_up.rabbit: #4, 17(0%)
minecraft.picked_up.pink_stained_glass: #4, 7(1%)
minecraft.dropped.purple_concrete_powder: #4, 3(3%)
minecraft.crafted.light_blue_stained_glass_pane: #5, 464(7%)
minecraft.picked_up.brown_concrete: #5, 250(7%)
minecraft.crafted.chiseled_sandstone: #4, 63(1%)
minecraft.dropped.polished_blackstone_pressure_plate: #4, 3(1%)
minecraft.crafted.hopper_minecart: #5, 57(5%)
minecraft.dropped.lime_concrete_powder: #4, 3(1%)
minecraft.dropped.purpur_slab: #5, 22(6%)
minecraft.crafted.leather_chestplate: #5, 76(5%)
minecraft.picked_up.dragon_breath: #4, 2(1%)
minecraft.mined.white_tulip: #5, 45(7%)
minecraft.picked_up.seagrass: #5, 591(6%)
minecraft.dropped.magenta_wool: #4, 3(1%)
minecraft.used.mushroom_stew: #4, 4(1%)
minecraft.dropped.filled_map: #5, 53(5%)
minecraft.dropped.oak_trapdoor: #5, 38(6%)
minecraft.dropped.cyan_concrete_powder: #4, 3(1%)
minecraft.used.green_banner: #4, 2(1%)
minecraft.dropped.fire_coral_block: #4, 1(1%)
minecraft.crafted.green_banner: #4, 2(1%)
minecraft.dropped.red_sandstone: #4, 3(1%)
minecraft.picked_up.dark_oak_wood: #5, 83(7%)
minecraft.dropped.light_blue_concrete_powder: #4, 5(1%)
minecraft.mined.glass_pane: #5, 76(5%)
minecraft.picked_up.gold_block: #5, 546(5%)
minecraft.picked_up.brown_glazed_terracotta: #4, 9(1%)
minecraft.dropped.green_terracotta: #4, 3(0%)
minecraft.used.brown_glazed_terracotta: #4, 8(1%)
minecraft.used.red_sandstone_slab: #4, 1(1%)
minecraft.crafted.chiseled_stone_bricks: #5, 808(7%)
minecraft.used.jungle_log: #5, 952(5%)
minecraft.picked_up.purple_glazed_terracotta: #4, 1(1%)
minecraft.picked_up.honey_block: #5, 325(5%)
minecraft.mined.kelp_plant: #5, 951(4%)
minecraft.dropped.turtle_egg: #4, 1(0%)
minecraft.crafted.prismarine: #4, 9(0%)
minecraft.dropped.activator_rail: #5, 2(11%)
minecraft.picked_up.polished_andesite: #6, 2000(8%)
minecraft.mined.lily_of_the_valley: #5, 42(5%)
minecraft.used.golden_apple: #5, 11(6%)
minecraft.dropped.lilac: #5, 6(6%)
minecraft.picked_up.egg: #5, 871(4%)
minecraft.picked_up.light_gray_stained_glass_pane: #5, 679(4%)
minecraft.picked_up.gray_stained_glass: #5, 376(6%)
minecraft.custom.damage_taken: #6, 553021(7%)
minecraft.dropped.jungle_slab: #5, 139(7%)
minecraft.dropped.barrel: #5, 22(7%)
minecraft.picked_up.flower_pot: #5, 113(5%)
minecraft.crafted.lime_terracotta: #5, 836(7%)
minecraft.mined.purpur_stairs: #5, 92(5%)
minecraft.mined.birch_leaves: #5, 5159(4%)
minecraft.crafted.compass: #5, 205(5%)
minecraft.mined.jukebox: #5, 6(7%)
minecraft.picked_up.blackstone_slab: #6, 522(10%)
minecraft.custom.drop: #6, 18072(7%)
minecraft.crafted.purple_concrete_powder: #5, 856(5%)
minecraft.mined.acacia_sapling: #5, 27(8%)
minecraft.picked_up.spruce_pressure_plate: #5, 24(6%)
minecraft.crafted.green_terracotta: #5, 832(5%)
minecraft.crafted.crimson_door: #5, 6(8%)
minecraft.used.cut_red_sandstone: #5, 33(10%)
minecraft.mined.dark_oak_wood: #5, 43(6%)
minecraft.picked_up.bone_meal: #6, 3809(8%)
minecraft.mined.polished_blackstone_brick_slab: #5, 220(4%)
minecraft.crafted.white_banner: #5, 62(5%)
minecraft.used.prismarine: #5, 1771(5%)
minecraft.used.sea_pickle: #5, 169(4%)
minecraft.mined.stripped_birch_wood: #5, 68(6%)
minecraft.mined.dark_oak_sapling: #5, 25(7%)
minecraft.killed_by.wither_skeleton: #5, 1(10%)
minecraft.picked_up.jukebox: #5, 6(6%)
minecraft.picked_up.polished_blackstone_brick_slab: #5, 232(4%)
minecraft.crafted.cyan_carpet: #6, 903(10%)
minecraft.crafted.polished_basalt: #6, 1968(8%)
minecraft.crafted.light_gray_dye: #6, 2534(8%)
minecraft.used.quartz_block: #5, 1208(4%)
minecraft.used.bubble_coral_fan: #5, 8(6%)
minecraft.used.lilac: #5, 24(4%)
minecraft.dropped.spruce_slab: #5, 239(4%)
minecraft.mined.bookshelf: #5, 342(3%)
minecraft.dropped.polished_blackstone: #5, 32(5%)
minecraft.used.barrel: #6, 694(8%)
minecraft.mined.polished_granite: #5, 113(4%)
minecraft.mined.magma_block: #6, 6438(7%)
minecraft.used.powered_rail: #6, 1920(7%)
minecraft.picked_up.dark_oak_leaves: #5, 358(5%)
minecraft.picked_up.vine: #6, 1180(8%)
minecraft.dropped.dark_oak_boat: #5, 1(10%)
minecraft.crafted.netherite_axe: #5, 1(8%)
minecraft.mined.crimson_door: #5, 2(8%)
minecraft.dropped.weeping_vines: #5, 63(4%)
minecraft.custom.trigger_trapped_chest: #5, 41(8%)
minecraft.custom.interact_with_stonecutter: #6, 596(7%)
minecraft.used.dark_oak_leaves: #5, 226(5%)
minecraft.picked_up.rose_bush: #6, 2067(7%)
minecraft.mined.wheat: #6, 4332(7%)
minecraft.crafted.firework_rocket: #5, 29283(3%)
minecraft.crafted.pink_concrete_powder: #5, 896(4%)
minecraft.crafted.golden_apple: #5, 151(4%)
minecraft.used.brain_coral_fan: #5, 12(5%)
minecraft.used.brewing_stand: #6, 52(7%)
minecraft.picked_up.magma_block: #6, 5992(7%)
minecraft.mined.acacia_wood: #5, 42(7%)
minecraft.dropped.lapis_lazuli: #5, 130(4%)
minecraft.mined.allium: #5, 23(6%)
minecraft.dropped.jungle_door: #5, 4(7%)
minecraft.dropped.warped_planks: #5, 10(5%)
minecraft.mined.redstone_wire: #6, 1185(6%)
minecraft.dropped.stripped_warped_stem: #5, 3(6%)
minecraft.picked_up.coal_block: #6, 566(7%)
minecraft.dropped.jungle_fence: #5, 22(5%)
minecraft.used.blue_shulker_box: #5, 59(3%)
minecraft.picked_up.blue_shulker_box: #5, 58(3%)
minecraft.mined.spruce_slab: #6, 928(7%)
minecraft.used.netherite_hoe: #5, 25107(4%)
minecraft.mined.blue_shulker_box: #5, 59(3%)
minecraft.dropped.spruce_stairs: #5, 77(4%)
minecraft.used.dark_prismarine_stairs: #5, 105(6%)
minecraft.dropped.glass_bottle: #5, 168(3%)
minecraft.picked_up.cobblestone: #6, 120371(6%)
minecraft.used.beacon: #6, 89(7%)
minecraft.used.oak_trapdoor: #6, 538(7%)
minecraft.killed.dolphin: #5, 3(4%)
minecraft.picked_up.iron_leggings: #6, 14(7%)
minecraft.picked_up.emerald: #6, 1097(6%)
minecraft.dropped.diamond_pickaxe: #6, 22(7%)
minecraft.used.polished_blackstone_pressure_plate: #5, 28(4%)
minecraft.picked_up.flint: #6, 1625(6%)
minecraft.mined.honeycomb_block: #5, 58(5%)
minecraft.picked_up.potion: #6, 221(7%)
minecraft.picked_up.arrow: #6, 5443(6%)
minecraft.crafted.lime_concrete_powder: #5, 1280(3%)
minecraft.picked_up.stripped_crimson_stem: #5, 26(4%)
minecraft.crafted.painting: #6, 66(7%)
minecraft.picked_up.glass_bottle: #5, 305(2%)
minecraft.used.warped_pressure_plate: #5, 7(5%)
minecraft.used.crimson_sign: #5, 15(3%)
minecraft.dropped.spruce_wood: #5, 3(7%)
minecraft.picked_up.dark_prismarine_slab: #5, 190(4%)
minecraft.picked_up.stripped_dark_oak_wood: #5, 35(3%)
minecraft.used.dark_oak_sign: #6, 69(7%)
minecraft.killed_by.pillager: #5, 1(9%)
minecraft.picked_up.prismarine: #5, 694(2%)
minecraft.killed.parrot: #5, 3(5%)
minecraft.dropped.snow: #5, 342(3%)
minecraft.dropped.jungle_stairs: #5, 4(5%)
minecraft.picked_up.red_sand: #6, 9988(6%)
minecraft.used.acacia_button: #5, 7(4%)
minecraft.mined.sticky_piston: #6, 262(6%)
minecraft.used.water_bucket: #6, 3981(6%)
minecraft.used.light_blue_stained_glass: #5, 928(2%)
minecraft.mined.wither_rose: #6, 94(8%)
minecraft.mined.bamboo: #6, 1025(6%)
minecraft.mined.gray_terracotta: #5, 145(4%)
minecraft.mined.crimson_fence_gate: #5, 4(5%)
minecraft.mined.stripped_dark_oak_wood: #5, 33(3%)
minecraft.picked_up.red_glazed_terracotta: #5, 72(6%)
minecraft.picked_up.blue_banner: #5, 2(6%)
minecraft.picked_up.trapped_chest: #5, 1(7%)
minecraft.picked_up.honeycomb_block: #5, 59(3%)
minecraft.used.stripped_dark_oak_wood: #5, 26(3%)
minecraft.dropped.melon: #5, 117(3%)
minecraft.dropped.orange_stained_glass: #5, 8(5%)
minecraft.used.redstone_torch: #6, 753(5%)
minecraft.picked_up.suspicious_stew: #5, 2(3%)
minecraft.mined.prismarine: #5, 621(2%)
minecraft.picked_up.music_disc_ward: #5, 2(3%)
minecraft.crafted.cut_red_sandstone: #5, 32(5%)
minecraft.mined.orange_stained_glass_pane: #5, 33(3%)
minecraft.dropped.bread: #5, 582(2%)
minecraft.mined.chorus_plant: #5, 88(2%)
minecraft.killed.ghast: #6, 199(6%)
minecraft.picked_up.end_crystal: #5, 5(3%)
minecraft.used.fletching_table: #5, 14(2%)
minecraft.crafted.stone_pressure_plate: #6, 177(6%)
minecraft.mined.red_sand: #6, 10178(7%)
minecraft.dropped.composter: #5, 5(3%)
minecraft.mined.cut_red_sandstone: #5, 2(5%)
minecraft.used.mycelium: #6, 2086(6%)
minecraft.mined.tripwire_hook: #6, 9(7%)
minecraft.mined.brown_stained_glass_pane: #5, 3(4%)
minecraft.crafted.oak_wood: #5, 1035(2%)
minecraft.used.stripped_crimson_stem: #5, 18(4%)
minecraft.killed_by.wither: #5, 1(5%)
minecraft.crafted.end_crystal: #5, 40(4%)
minecraft.dropped.chipped_anvil: #5, 2(3%)
minecraft.crafted.cooked_rabbit: #5, 2(6%)
minecraft.used.magma_block: #6, 3573(6%)
minecraft.picked_up.magenta_stained_glass: #5, 11(1%)
minecraft.crafted.pumpkin_pie: #5, 364(2%)
minecraft.dropped.flower_pot: #5, 36(2%)
minecraft.dropped.birch_fence_gate: #5, 3(5%)
minecraft.used.warped_button: #5, 6(3%)
minecraft.used.tropical_fish: #5, 1(5%)
minecraft.dropped.ladder: #6, 77(7%)
minecraft.picked_up.orange_concrete_powder: #5, 319(2%)
minecraft.used.oak_sign: #6, 385(5%)
minecraft.dropped.smooth_sandstone_stairs: #5, 20(3%)
minecraft.mined.warped_button: #5, 1(4%)
minecraft.mined.lime_wall_banner: #5, 2(3%)
minecraft.mined.dark_oak_stairs: #6, 262(6%)
minecraft.mined.tnt: #5, 88(1%)
minecraft.picked_up.golden_apple: #6, 37(6%)
minecraft.crafted.ender_eye: #6, 117(5%)
minecraft.mined.sweet_berry_bush: #5, 82(1%)
minecraft.crafted.quartz_pillar: #5, 526(1%)
minecraft.dropped.beacon: #5, 2(2%)
minecraft.dropped.dark_oak_trapdoor: #5, 25(1%)
minecraft.picked_up.oak_pressure_plate: #6, 7(7%)
minecraft.dropped.redstone_block: #6, 127(7%)
minecraft.mined.end_stone_bricks: #5, 326(1%)
minecraft.picked_up.magenta_glazed_terracotta: #5, 3(4%)
minecraft.dropped.cyan_carpet: #5, 11(1%)
minecraft.dropped.birch_wood: #5, 3(3%)
minecraft.dropped.quartz_stairs: #5, 3(2%)
minecraft.dropped.light_blue_terracotta: #5, 5(3%)
minecraft.crafted.gold_ingot: #6, 44858(5%)
minecraft.dropped.pink_tulip: #5, 2(2%)
minecraft.dropped.bell: #5, 3(2%)
minecraft.crafted.white_shulker_box: #6, 14(5%)
minecraft.used.lectern: #6, 368(5%)
minecraft.mined.lectern: #6, 347(5%)
minecraft.picked_up.mossy_stone_brick_wall: #5, 1(3%)
minecraft.picked_up.painting: #6, 183(5%)
minecraft.picked_up.spruce_fence: #6, 550(5%)
minecraft.mined.cyan_stained_glass: #5, 191(1%)
minecraft.used.crafting_table: #6, 389(5%)
minecraft.mined.magenta_bed: #5, 2(3%)
minecraft.used.red_sandstone_stairs: #5, 8(2%)
minecraft.picked_up.magenta_bed: #5, 2(3%)
minecraft.picked_up.potato: #6, 1704(5%)
minecraft.mined.dark_oak_log: #6, 3912(5%)
minecraft.dropped.warped_slab: #5, 9(2%)
minecraft.picked_up.cyan_stained_glass: #5, 192(1%)
minecraft.dropped.acacia_button: #5, 1(3%)
minecraft.picked_up.stripped_acacia_wood: #5, 3(2%)
minecraft.mined.turtle_egg: #5, 28(1%)
minecraft.mined.prismarine_bricks: #5, 222(1%)
minecraft.crafted.diamond_leggings: #6, 6(5%)
minecraft.killed.wandering_trader: #6, 13(6%)
minecraft.mined.coal_ore: #6, 11401(5%)
minecraft.picked_up.chiseled_red_sandstone: #5, 2(2%)
minecraft.picked_up.warped_door: #6, 6(9%)
minecraft.picked_up.mushroom_stew: #5, 2(2%)
minecraft.used.polished_andesite_slab: #6, 1034(5%)
minecraft.used.lodestone: #5, 3(1%)
minecraft.dropped.polished_blackstone_stairs: #5, 2(2%)
minecraft.used.spruce_door: #6, 35(6%)
minecraft.dropped.dark_oak_wood: #5, 6(2%)
minecraft.dropped.diamond_boots: #6, 10(5%)
minecraft.crafted.dark_oak_sign: #6, 69(5%)
minecraft.dropped.armor_stand: #6, 14(6%)
minecraft.crafted.spruce_pressure_plate: #6, 42(7%)
minecraft.dropped.pink_terracotta: #5, 3(2%)
minecraft.dropped.acacia_planks: #6, 44(6%)
minecraft.dropped.bubble_coral: #5, 1(2%)
minecraft.used.carved_pumpkin: #6, 32(7%)
minecraft.mined.pink_stained_glass: #5, 1(1%)
minecraft.used.spruce_trapdoor: #6, 1995(5%)
minecraft.dropped.nether_brick_slab: #5, 16(0%)
minecraft.dropped.crying_obsidian: #5, 5(1%)
minecraft.mined.purpur_block: #6, 374(6%)
minecraft.picked_up.mossy_cobblestone_wall: #5, 1(1%)
minecraft.dropped.brown_concrete_powder: #5, 4(1%)
minecraft.killed.pillager: #5, 78(0%)
minecraft.dropped.acacia_fence: #5, 1(1%)
minecraft.dropped.yellow_concrete_powder: #5, 5(1%)
minecraft.broken.leather_helmet: #6, 3(10%)
minecraft.dropped.red_nether_bricks: #5, 13(1%)
minecraft.used.jukebox: #6, 7(6%)
minecraft.picked_up.purpur_block: #6, 372(5%)
minecraft.picked_up.basalt: #6, 5570(4%)
minecraft.dropped.blackstone_wall: #5, 3(0%)
minecraft.killed.vindicator: #5, 27(0%)
minecraft.dropped.green_concrete_powder: #5, 3(0%)
minecraft.crafted.purple_stained_glass: #6, 1144(6%)
minecraft.crafted.stone_sword: #6, 4(6%)
minecraft.crafted.mossy_stone_bricks: #6, 244(6%)
minecraft.used.sunflower: #6, 8(6%)
minecraft.mined.clay: #6, 991(4%)
minecraft.mined.smithing_table: #6, 33(4%)
minecraft.dropped.twisting_vines: #6, 35(7%)
minecraft.dropped.chainmail_leggings: #6, 6(5%)
minecraft.dropped.apple: #6, 66(4%)
minecraft.dropped.iron_sword: #6, 11(4%)
minecraft.mined.oak_door: #6, 6(6%)
minecraft.used.spruce_fence: #6, 927(4%)
minecraft.crafted.red_concrete_powder: #6, 2048(4%)
minecraft.mined.bamboo_sapling: #6, 15(5%)
minecraft.used.crimson_door: #6, 6(9%)
minecraft.dropped.totem_of_undying: #6, 6(5%)
minecraft.dropped.oak_fence: #6, 38(4%)
minecraft.mined.infested_cracked_stone_bricks: #6, 1(14%)
minecraft.used.jungle_button: #6, 32(5%)
minecraft.picked_up.acacia_wood: #6, 79(9%)
minecraft.used.golden_carrot: #7, 5951(7%)
minecraft.used.quartz_slab: #6, 942(4%)
minecraft.used.melon_slice: #6, 52(5%)
minecraft.dropped.blackstone: #6, 568(4%)
minecraft.mined.smooth_sandstone: #6, 854(4%)
minecraft.crafted.birch_sign: #6, 228(4%)
minecraft.used.dark_prismarine_slab: #6, 605(7%)
minecraft.dropped.golden_sword: #6, 143(4%)
minecraft.used.brown_concrete_powder: #6, 857(4%)
minecraft.used.iron_shovel: #6, 4460(3%)
minecraft.mined.spruce_fence_gate: #6, 17(4%)
minecraft.crafted.brown_shulker_box: #6, 8(4%)
minecraft.picked_up.stripped_birch_wood: #6, 63(6%)
minecraft.crafted.green_concrete_powder: #6, 2320(4%)
minecraft.crafted.dark_oak_boat: #6, 2(8%)
minecraft.picked_up.apple: #6, 253(3%)
minecraft.custom.open_barrel: #7, 12585(7%)
minecraft.broken.iron_shovel: #6, 14(3%)
minecraft.crafted.light_blue_concrete_powder: #6, 1824(5%)
minecraft.picked_up.activator_rail: #6, 10(5%)
minecraft.picked_up.grass: #6, 743(3%)
minecraft.picked_up.acacia_button: #6, 2(6%)
minecraft.crafted.pumpkin_seeds: #6, 128(5%)
minecraft.used.mushroom_stem: #6, 263(4%)
minecraft.crafted.mossy_cobblestone: #6, 236(5%)
minecraft.mined.coarse_dirt: #6, 864(3%)
minecraft.crafted.blue_stained_glass: #6, 832(5%)
minecraft.dropped.tube_coral_fan: #6, 1(11%)
