stat, rank, value, (percentage) 
minecraft.dropped.quartz_block: #2, 1796(26%)
minecraft.picked_up.golden_horse_armor: #1, 10(23%)
minecraft.picked_up.warped_stairs: #2, 146(19%)
minecraft.mined.dead_bush: #2, 988(15%)
minecraft.picked_up.birch_sapling: #2, 2396(15%)
minecraft.used.acacia_planks: #2, 497(22%)
minecraft.picked_up.acacia_trapdoor: #2, 457(21%)
minecraft.picked_up.diamond_horse_armor: #1, 9(22%)
minecraft.custom.pot_flower: #2, 263(16%)
minecraft.picked_up.fire_coral_block: #2, 674(29%)
minecraft.used.acacia_log: #2, 1896(16%)
minecraft.crafted.cod_bucket: #1, 1283(80%)
minecraft.crafted.dried_kelp: #2, 5259(21%)
minecraft.crafted.magenta_terracotta: #2, 1848(28%)
minecraft.dropped.iron_boots: #3, 627(23%)
minecraft.mined.red_mushroom: #2, 144(15%)
minecraft.used.crimson_hyphae: #2, 1023(26%)
minecraft.picked_up.red_wool: #2, 3522(16%)
minecraft.used.warped_fungus: #2, 1385(19%)
minecraft.crafted.bow: #2, 855(14%)
minecraft.used.light_gray_terracotta: #2, 5861(17%)
minecraft.crafted.pink_terracotta: #2, 1792(30%)
minecraft.mined.crying_obsidian: #2, 183(17%)
minecraft.mined.acacia_trapdoor: #2, 328(19%)
minecraft.picked_up.poppy: #2, 6680(13%)
minecraft.picked_up.iron_helmet: #1, 44(10%)
minecraft.picked_up.salmon: #2, 211(16%)
minecraft.mined.white_terracotta: #2, 8762(16%)
minecraft.picked_up.polished_blackstone_brick_stairs: #2, 409(15%)
minecraft.crafted.snow: #2, 870(25%)
minecraft.used.lily_pad: #1, 21(16%)
minecraft.dropped.lapis_ore: #2, 130(25%)
minecraft.picked_up.fire_coral: #2, 68(33%)
minecraft.mined.fire_coral_block: #2, 680(29%)
minecraft.picked_up.white_terracotta: #2, 10109(15%)
minecraft.picked_up.spruce_sapling: #2, 2449(14%)
minecraft.picked_up.tube_coral: #2, 51(27%)
minecraft.picked_up.soul_soil: #2, 4593(14%)
minecraft.custom.interact_with_furnace: #1, 5112(8%)
minecraft.dropped.flint_and_steel: #2, 30(17%)
minecraft.picked_up.horn_coral: #2, 63(24%)
minecraft.killed.piglin: #2, 273(13%)
minecraft.crafted.oak_trapdoor: #2, 1162(14%)
minecraft.mined.crimson_pressure_plate: #1, 5(36%)
minecraft.picked_up.crimson_pressure_plate: #1, 7(30%)
minecraft.picked_up.acacia_sapling: #2, 1303(16%)
minecraft.picked_up.jungle_fence: #2, 149(17%)
minecraft.mined.smooth_stone_slab: #2, 3855(15%)
minecraft.dropped.brick_stairs: #2, 88(44%)
minecraft.crafted.redstone_torch: #2, 9434(13%)
minecraft.dropped.spruce_button: #2, 99(19%)
minecraft.crafted.light_blue_dye: #2, 2939(13%)
minecraft.picked_up.weeping_vines: #2, 675(14%)
minecraft.crafted.beacon: #2, 89(18%)
minecraft.custom.walk_on_water_one_cm: #2, 11481444(6%)
minecraft.used.stripped_acacia_log: #2, 83(33%)
minecraft.custom.deaths: #2, 353(11%)
minecraft.dropped.blue_ice: #1, 804(50%)
minecraft.crafted.magenta_dye: #2, 1774(15%)
minecraft.picked_up.cod_bucket: #1, 1742(99%)
minecraft.picked_up.birch_log: #2, 10827(12%)
minecraft.picked_up.nether_sprouts: #1, 676(50%)
minecraft.killed.drowned: #3, 2205(17%)
minecraft.used.black_shulker_box: #2, 664(13%)
minecraft.used.beetroot_seeds: #2, 966(23%)
minecraft.used.music_disc_mellohi: #1, 5(38%)
minecraft.picked_up.hopper_minecart: #1, 25(96%)
minecraft.broken.leather_leggings: #1, 6(24%)
minecraft.mined.gray_wall_banner: #1, 10(48%)
minecraft.crafted.anvil: #3, 804(16%)
minecraft.custom.traded_with_villager: #3, 202248(17%)
minecraft.picked_up.crimson_trapdoor: #2, 297(18%)
minecraft.crafted.chiseled_red_sandstone: #1, 30(47%)
minecraft.picked_up.bubble_coral_block: #3, 675(28%)
minecraft.dropped.red_concrete: #2, 134(20%)
minecraft.crafted.jungle_planks: #2, 38963(12%)
minecraft.used.jungle_fence: #2, 278(17%)
minecraft.killed.wither_skeleton: #2, 5766(14%)
minecraft.crafted.jungle_trapdoor: #2, 1020(18%)
minecraft.crafted.flint_and_steel: #2, 39(12%)
minecraft.custom.open_shulker_box: #2, 93150(10%)
minecraft.crafted.magenta_stained_glass: #2, 640(22%)
minecraft.picked_up.mushroom_stem: #2, 2950(13%)
minecraft.mined.note_block: #2, 170(15%)
minecraft.picked_up.crimson_stairs: #2, 201(20%)
minecraft.dropped.blast_furnace: #1, 3(30%)
minecraft.used.salmon: #1, 9(90%)
minecraft.picked_up.shroomlight: #2, 1408(13%)
minecraft.mined.crimson_trapdoor: #2, 147(19%)
minecraft.crafted.bubble_coral_block: #1, 8(44%)
minecraft.crafted.horn_coral_block: #1, 8(44%)
minecraft.picked_up.spider_eye: #3, 4769(16%)
minecraft.mined.birch_log: #2, 9134(12%)
minecraft.picked_up.diamond_boots: #2, 105(11%)
minecraft.used.crimson_trapdoor: #2, 450(18%)
minecraft.crafted.clock: #2, 25(17%)
minecraft.dropped.coal: #2, 728(12%)
minecraft.mined.potted_dark_oak_sapling: #1, 4(57%)
minecraft.custom.swim_one_cm: #2, 11774437(10%)
minecraft.picked_up.brown_stained_glass_pane: #1, 25(34%)
minecraft.used.birch_sapling: #2, 1643(14%)
minecraft.crafted.soul_torch: #2, 1468(16%)
minecraft.picked_up.spruce_door: #2, 69(12%)
minecraft.crafted.powered_rail: #2, 2298(12%)
minecraft.mined.crimson_hyphae: #2, 112(30%)
minecraft.broken.iron_chestplate: #1, 2(33%)
minecraft.mined.nether_brick_fence: #2, 151(13%)
minecraft.dropped.cod_bucket: #1, 335(55%)
minecraft.used.tube_coral_fan: #2, 17(20%)
minecraft.picked_up.dark_oak_log: #3, 16384(16%)
minecraft.used.nether_brick_wall: #2, 793(19%)
minecraft.dropped.blaze_rod: #2, 192(19%)
minecraft.dropped.bricks: #2, 1241(26%)
minecraft.dropped.warped_wart_block: #2, 980(14%)
minecraft.mined.bubble_coral_block: #3, 679(28%)
minecraft.crafted.gray_shulker_box: #3, 46(19%)
minecraft.crafted.jungle_fence: #2, 309(16%)
minecraft.dropped.written_book: #2, 90(12%)
minecraft.dropped.mycelium: #3, 5137(17%)
minecraft.broken.leather_chestplate: #1, 4(22%)
minecraft.used.dark_oak_sapling: #2, 1498(16%)
minecraft.picked_up.pink_glazed_terracotta: #1, 16(52%)
minecraft.crafted.spruce_stairs: #2, 1504(11%)
minecraft.dropped.bowl: #2, 13(17%)
minecraft.used.cartography_table: #2, 39(15%)
minecraft.picked_up.nether_brick_wall: #2, 502(16%)
minecraft.mined.green_shulker_box: #2, 237(11%)
minecraft.custom.interact_with_brewingstand: #2, 924(10%)
minecraft.used.warped_stem: #3, 3797(16%)
minecraft.picked_up.green_shulker_box: #2, 236(11%)
minecraft.crafted.emerald: #3, 113144(15%)
minecraft.used.crimson_stairs: #2, 300(16%)
minecraft.dropped.iron_pickaxe: #2, 16(16%)
minecraft.mined.pink_glazed_terracotta: #1, 13(48%)
minecraft.crafted.polished_andesite: #3, 14464(14%)
minecraft.crafted.cooked_salmon: #2, 82(19%)
minecraft.crafted.redstone_block: #2, 5148(10%)
minecraft.picked_up.white_wool: #3, 3641(14%)
minecraft.custom.sprint_one_cm: #2, 196662027(7%)
minecraft.killed.wolf: #2, 13(17%)
minecraft.dropped.brown_stained_glass_pane: #1, 30(68%)
minecraft.mined.crimson_stem: #3, 2562(15%)
minecraft.dropped.cut_red_sandstone: #1, 2(67%)
minecraft.dropped.chiseled_red_sandstone: #1, 2(67%)
minecraft.crafted.red_sandstone: #2, 1956(15%)
minecraft.used.shroomlight: #2, 884(11%)
minecraft.crafted.stick: #2, 62132(9%)
minecraft.dropped.spruce_boat: #2, 9(19%)
minecraft.mined.fern: #3, 888(14%)
minecraft.crafted.baked_potato: #2, 367(21%)
minecraft.dropped.beetroot_seeds: #2, 128(23%)
minecraft.dropped.light_blue_dye: #2, 110(25%)
minecraft.dropped.crafting_table: #2, 61(11%)
minecraft.mined.gilded_blackstone: #3, 190(18%)
minecraft.picked_up.wither_rose: #2, 699(11%)
minecraft.dropped.clock: #2, 19(19%)
minecraft.custom.eat_cake_slice: #2, 28(12%)
minecraft.crafted.spruce_slab: #3, 12846(14%)
minecraft.picked_up.cobweb: #2, 592(12%)
minecraft.dropped.hopper_minecart: #1, 12(40%)
minecraft.dropped.bone: #3, 5616(13%)
minecraft.used.purple_bed: #2, 80(17%)
minecraft.picked_up.coal: #2, 31606(9%)
minecraft.dropped.hay_block: #2, 321(19%)
minecraft.picked_up.snow: #3, 10660(16%)
minecraft.crafted.red_dye: #3, 6926(14%)
minecraft.killed.ravager: #2, 7(23%)
minecraft.mined.oak_trapdoor: #2, 190(9%)
