stat, rank, value, (percentage) 
minecraft.dropped.jungle_slab: #1, 768(37%)
minecraft.dropped.purple_dye: #1, 1114(87%)
minecraft.dropped.white_bed: #1, 31(40%)
minecraft.dropped.gilded_blackstone: #1, 224(75%)
minecraft.used.wooden_sword: #1, 118(29%)
minecraft.dropped.smooth_quartz: #1, 529(37%)
minecraft.dropped.podzol: #1, 1618(43%)
minecraft.dropped.lava_bucket: #1, 52(57%)
minecraft.dropped.armor_stand: #1, 65(27%)
minecraft.dropped.lime_terracotta: #1, 672(73%)
minecraft.dropped.lapis_ore: #1, 202(39%)
minecraft.picked_up.lantern: #1, 2128(21%)
minecraft.dropped.chipped_anvil: #1, 34(56%)
minecraft.picked_up.weeping_vines: #1, 1106(23%)
minecraft.dropped.crimson_trapdoor: #1, 415(62%)
minecraft.picked_up.purple_carpet: #1, 473(26%)
minecraft.picked_up.light_gray_wool: #2, 10459(28%)
minecraft.dropped.nether_brick_wall: #1, 1044(81%)
minecraft.dropped.pink_dye: #1, 110(60%)
minecraft.used.chest_minecart: #1, 65(32%)
minecraft.dropped.prismarine_bricks: #1, 241(44%)
minecraft.dropped.spruce_leaves: #1, 1035(32%)
minecraft.dropped.player_head: #2, 498(23%)
minecraft.picked_up.spruce_stairs: #1, 1347(20%)
minecraft.dropped.map: #1, 368(80%)
minecraft.dropped.hay_block: #1, 716(43%)
minecraft.picked_up.red_nether_bricks: #1, 1162(40%)
minecraft.dropped.diamond_pickaxe: #1, 69(21%)
minecraft.dropped.sandstone_slab: #1, 1063(47%)
minecraft.picked_up.cauldron: #2, 209(29%)
minecraft.dropped.lime_dye: #1, 706(47%)
minecraft.picked_up.cocoa_beans: #1, 11896(22%)
minecraft.dropped.leather: #2, 2922(30%)
minecraft.picked_up.gray_carpet: #1, 2534(21%)
minecraft.crafted.chest_minecart: #1, 66(31%)
minecraft.dropped.gray_concrete_powder: #1, 1190(30%)
minecraft.dropped.composter: #1, 72(41%)
minecraft.dropped.pink_tulip: #1, 51(50%)
minecraft.dropped.hopper: #1, 141(25%)
minecraft.picked_up.hay_block: #1, 855(20%)
minecraft.picked_up.tipped_arrow: #1, 506(45%)
minecraft.dropped.gray_terracotta: #1, 927(74%)
minecraft.dropped.black_concrete: #1, 974(32%)
minecraft.dropped.brown_carpet: #1, 527(49%)
minecraft.dropped.black_stained_glass_pane: #1, 524(54%)
minecraft.dropped.chorus_fruit: #1, 742(24%)
minecraft.dropped.iron_bars: #1, 1568(27%)
minecraft.dropped.note_block: #1, 215(48%)
minecraft.dropped.blackstone_stairs: #1, 136(48%)
minecraft.dropped.dark_oak_button: #1, 255(39%)
minecraft.dropped.oak_sign: #1, 229(22%)
minecraft.dropped.kelp: #1, 4027(20%)
minecraft.dropped.acacia_sapling: #1, 214(32%)
minecraft.dropped.quartz_block: #1, 2095(30%)
minecraft.used.horn_coral_block: #1, 72(38%)
minecraft.picked_up.brewing_stand: #1, 152(20%)
minecraft.picked_up.warped_fungus_on_a_stick: #1, 17(68%)
minecraft.dropped.birch_sign: #2, 327(25%)
minecraft.dropped.furnace: #1, 92(27%)
minecraft.picked_up.emerald_ore: #1, 148(37%)
minecraft.dropped.purple_carpet: #1, 108(40%)
minecraft.used.green_stained_glass: #2, 3302(31%)
minecraft.dropped.turtle_egg: #1, 1950(99%)
minecraft.dropped.twisting_vines: #1, 147(28%)
minecraft.picked_up.dark_oak_pressure_plate: #1, 26(49%)
minecraft.picked_up.bone_meal: #1, 7931(16%)
minecraft.dropped.white_shulker_box: #1, 18(49%)
minecraft.picked_up.crimson_stairs: #1, 276(28%)
minecraft.picked_up.gilded_blackstone: #1, 307(21%)
minecraft.picked_up.iron_chestplate: #1, 36(17%)
minecraft.picked_up.crimson_slab: #1, 411(25%)
minecraft.dropped.spruce_button: #1, 122(24%)
minecraft.picked_up.ladder: #1, 1199(16%)
minecraft.dropped.diamond_boots: #1, 34(19%)
minecraft.picked_up.bell: #2, 159(21%)
minecraft.dropped.black_terracotta: #1, 590(41%)
minecraft.used.tropical_fish_bucket: #1, 80(31%)
minecraft.picked_up.prismarine_crystals: #2, 7579(20%)
minecraft.mined.enchanting_table: #1, 18(21%)
minecraft.dropped.polished_blackstone_slab: #1, 120(26%)
minecraft.dropped.purple_wool: #1, 495(40%)
minecraft.dropped.cornflower: #2, 798(27%)
minecraft.used.poppy: #1, 80(19%)
minecraft.picked_up.brick: #1, 479(21%)
minecraft.dropped.smooth_sandstone: #2, 644(30%)
minecraft.picked_up.brown_carpet: #2, 690(24%)
minecraft.used.enchanting_table: #1, 19(17%)
minecraft.dropped.smooth_quartz_stairs: #1, 233(35%)
minecraft.dropped.pink_terracotta: #1, 120(71%)
minecraft.picked_up.blaze_powder: #2, 577(25%)
minecraft.picked_up.bucket: #2, 471(20%)
minecraft.dropped.nether_star: #1, 14(70%)
minecraft.picked_up.iron_leggings: #1, 32(15%)
minecraft.picked_up.leather: #1, 6000(14%)
minecraft.picked_up.nether_brick_fence: #1, 250(17%)
minecraft.picked_up.dragon_breath: #1, 97(56%)
minecraft.picked_up.dark_oak_button: #2, 209(25%)
minecraft.dropped.sponge: #1, 147(37%)
minecraft.dropped.red_sand: #2, 721(25%)
minecraft.dropped.white_terracotta: #2, 382(22%)
minecraft.dropped.warped_fungus_on_a_stick: #1, 17(81%)
minecraft.dropped.rail: #2, 1039(18%)
minecraft.picked_up.chicken: #2, 1136(18%)
minecraft.picked_up.pufferfish_bucket: #1, 23(35%)
minecraft.picked_up.enchanting_table: #1, 18(20%)
minecraft.used.green_carpet: #2, 2135(19%)
minecraft.dropped.iron_ingot: #2, 7171(17%)
minecraft.dropped.stripped_warped_hyphae: #1, 129(77%)
minecraft.dropped.nether_wart: #2, 726(27%)
minecraft.dropped.lever: #2, 212(20%)
minecraft.picked_up.oak_pressure_plate: #1, 18(19%)
minecraft.picked_up.blue_terracotta: #1, 1136(23%)
minecraft.dropped.pink_wool: #2, 496(37%)
minecraft.dropped.crimson_stem: #2, 1086(33%)
minecraft.dropped.polished_granite_slab: #1, 280(50%)
minecraft.picked_up.spruce_trapdoor: #2, 3629(17%)
minecraft.mined.oak_pressure_plate: #1, 11(20%)
minecraft.dropped.bone_block: #1, 443(18%)
minecraft.dropped.book: #2, 169(22%)
minecraft.dropped.lingering_potion: #1, 66(97%)
minecraft.dropped.red_nether_bricks: #1, 1097(58%)
minecraft.dropped.gold_ore: #1, 98(16%)
minecraft.dropped.light_blue_dye: #1, 140(32%)
minecraft.broken.iron_helmet: #1, 5(36%)
minecraft.picked_up.black_stained_glass_pane: #2, 686(21%)
minecraft.dropped.nether_bricks: #2, 807(21%)
minecraft.dropped.mossy_cobblestone: #2, 208(24%)
minecraft.dropped.shulker_shell: #2, 268(34%)
minecraft.dropped.loom: #1, 80(92%)
minecraft.dropped.iron_sword: #2, 45(18%)
minecraft.picked_up.observer: #1, 974(12%)
minecraft.dropped.iron_trapdoor: #2, 279(25%)
minecraft.dropped.jungle_fence: #2, 139(33%)
minecraft.picked_up.green_stained_glass: #2, 728(28%)
minecraft.picked_up.ghast_tear: #2, 337(16%)
minecraft.dropped.dark_oak_pressure_plate: #1, 24(65%)
minecraft.dropped.red_terracotta: #2, 350(19%)
minecraft.picked_up.mossy_stone_brick_slab: #1, 23(32%)
minecraft.picked_up.loom: #2, 82(20%)
minecraft.used.end_stone: #2, 2628(22%)
minecraft.picked_up.oak_sign: #1, 492(10%)
minecraft.picked_up.spruce_slab: #2, 3160(15%)
minecraft.mined.andesite_stairs: #2, 106(19%)
minecraft.dropped.clay: #2, 148(27%)
minecraft.dropped.quartz_bricks: #1, 97(31%)
minecraft.used.lingering_potion: #1, 14(82%)
minecraft.dropped.blue_terracotta: #2, 740(43%)
minecraft.custom.strider_one_cm: #2, 262456(25%)
minecraft.dropped.gray_concrete: #2, 1045(18%)
minecraft.mined.cactus: #2, 341(15%)
minecraft.picked_up.nether_brick: #2, 1739(20%)
minecraft.dropped.nether_brick: #2, 1299(24%)
minecraft.dropped.emerald_ore: #1, 78(60%)
minecraft.dropped.diamond_horse_armor: #1, 7(58%)
minecraft.dropped.stone_pressure_plate: #2, 156(17%)
minecraft.picked_up.shield: #2, 53(17%)
minecraft.dropped.sticky_piston: #2, 137(28%)
minecraft.dropped.smooth_sandstone_stairs: #2, 272(37%)
minecraft.dropped.dragon_head: #1, 6(75%)
minecraft.dropped.iron_nugget: #2, 2651(16%)
minecraft.dropped.cobblestone_slab: #2, 724(17%)
