stat, rank, value, (percentage) 
minecraft.crafted.light_gray_wool: #6, 40(1%)
minecraft.mined.lapis_block: #6, 7(1%)
minecraft.dropped.cyan_bed: #6, 1(1%)
minecraft.crafted.beehive: #6, 17(1%)
minecraft.dropped.experience_bottle: #6, 20(1%)
minecraft.picked_up.lapis_lazuli: #7, 6448(4%)
minecraft.crafted.stripped_warped_hyphae: #6, 6(1%)
minecraft.picked_up.fermented_spider_eye: #6, 1(1%)
minecraft.used.orange_glazed_terracotta: #6, 3(0%)
minecraft.dropped.oak_slab: #7, 69(5%)
minecraft.mined.orange_glazed_terracotta: #6, 1(0%)
minecraft.mined.jungle_sapling: #6, 1(0%)
minecraft.picked_up.dried_kelp: #6, 118(0%)
minecraft.used.lapis_block: #6, 10(0%)
minecraft.mined.polished_blackstone: #7, 292(4%)
minecraft.picked_up.polished_blackstone_stairs: #7, 115(5%)
minecraft.picked_up.piston: #7, 292(4%)
minecraft.mined.oak_planks: #7, 451(4%)
minecraft.dropped.iron_shovel: #7, 8(5%)
minecraft.mined.tripwire: #7, 98(4%)
minecraft.picked_up.warped_planks: #7, 70(5%)
minecraft.dropped.shroomlight: #7, 86(6%)
minecraft.picked_up.vine: #7, 615(4%)
minecraft.picked_up.dark_oak_planks: #7, 733(4%)
minecraft.mined.smoker: #7, 25(6%)
minecraft.picked_up.smoker: #7, 25(5%)
minecraft.used.hopper_minecart: #7, 41(4%)
minecraft.mined.blast_furnace: #7, 22(4%)
minecraft.crafted.glass_bottle: #7, 1068(3%)
minecraft.picked_up.andesite_wall: #7, 154(5%)
minecraft.killed.pig: #7, 33(3%)
minecraft.used.iron_pickaxe: #7, 4698(3%)
minecraft.mined.dark_oak_wall_sign: #7, 9(4%)
minecraft.mined.bamboo: #7, 530(3%)
minecraft.used.smoker: #7, 25(5%)
minecraft.picked_up.warped_nylium: #7, 289(3%)
minecraft.used.honey_block: #7, 497(3%)
minecraft.crafted.netherite_shovel: #7, 2(7%)
minecraft.killed_by.phantom: #7, 1(10%)
minecraft.mined.green_wool: #7, 58(4%)
minecraft.picked_up.jungle_door: #7, 14(6%)
minecraft.dropped.dirt: #8, 6783(7%)
minecraft.picked_up.acacia_button: #7, 2(6%)
minecraft.picked_up.birch_leaves: #7, 2513(3%)
minecraft.picked_up.cyan_wool: #7, 236(3%)
minecraft.picked_up.birch_slab: #7, 143(3%)
minecraft.dropped.brown_bed: #7, 1(8%)
minecraft.picked_up.podzol: #7, 1911(3%)
minecraft.killed.wolf: #7, 3(4%)
minecraft.crafted.golden_boots: #7, 4(3%)
minecraft.mined.purple_carpet: #7, 23(3%)
minecraft.killed.cave_spider: #7, 921(2%)
minecraft.picked_up.music_disc_cat: #7, 7(3%)
minecraft.mined.mossy_cobblestone_slab: #7, 5(5%)
minecraft.picked_up.snow: #7, 1769(3%)
minecraft.mined.grindstone: #7, 28(2%)
minecraft.used.lead: #7, 3(6%)
minecraft.used.sticky_piston: #8, 680(6%)
minecraft.mined.potted_bamboo: #7, 2(5%)
minecraft.mined.red_bed: #7, 12(3%)
minecraft.dropped.pumpkin: #7, 358(3%)
minecraft.picked_up.ancient_debris: #7, 154(2%)
minecraft.mined.activator_rail: #7, 3(5%)
minecraft.used.fishing_rod: #7, 440(2%)
minecraft.picked_up.horn_coral: #7, 9(3%)
minecraft.picked_up.green_concrete_powder: #7, 417(3%)
minecraft.picked_up.iron_axe: #7, 7(3%)
minecraft.picked_up.diamond_helmet: #8, 29(6%)
minecraft.picked_up.brick_stairs: #7, 25(3%)
minecraft.mined.infested_mossy_stone_bricks: #7, 1(6%)
minecraft.picked_up.sandstone_wall: #7, 85(2%)
minecraft.mined.pumpkin_stem: #7, 8(3%)
minecraft.used.oak_sapling: #7, 749(2%)
minecraft.picked_up.quartz_bricks: #7, 129(2%)
minecraft.dropped.glass_bottle: #7, 111(2%)
minecraft.picked_up.crimson_stem: #8, 1437(6%)
minecraft.used.redstone: #8, 4145(5%)
minecraft.crafted.andesite_slab: #7, 342(2%)
minecraft.killed.salmon: #7, 14(2%)
minecraft.used.repeater: #8, 1044(5%)
minecraft.crafted.cooked_mutton: #7, 53(2%)
minecraft.picked_up.glass_bottle: #7, 169(1%)
minecraft.dropped.crimson_sign: #7, 2(4%)
minecraft.dropped.brown_mushroom: #8, 165(6%)
minecraft.crafted.cooked_cod: #7, 55(2%)
minecraft.mined.cyan_bed: #7, 17(1%)
minecraft.picked_up.dispenser: #8, 133(5%)
minecraft.picked_up.pink_tulip: #7, 68(1%)
minecraft.picked_up.cyan_bed: #7, 17(1%)
minecraft.crafted.leather_helmet: #7, 11(1%)
minecraft.mined.horn_coral: #7, 9(1%)
minecraft.picked_up.experience_bottle: #7, 20(2%)
minecraft.picked_up.nether_quartz_ore: #8, 1844(5%)
minecraft.broken.stone_shovel: #7, 4(2%)
minecraft.crafted.pink_concrete_powder: #7, 224(1%)
minecraft.dropped.oak_log: #8, 263(5%)
minecraft.dropped.warped_stem: #7, 12(1%)
minecraft.mined.light_blue_stained_glass: #7, 64(1%)
minecraft.crafted.quartz_stairs: #7, 106(1%)
minecraft.mined.stripped_warped_hyphae: #7, 32(1%)
minecraft.picked_up.slime_ball: #8, 2372(5%)
minecraft.picked_up.spruce_sapling: #8, 853(5%)
minecraft.mined.lime_wall_banner: #7, 1(2%)
minecraft.picked_up.clay_ball: #8, 2020(5%)
minecraft.crafted.blaze_powder: #7, 358(1%)
minecraft.used.stripped_warped_hyphae: #7, 34(1%)
minecraft.dropped.stonecutter: #7, 1(1%)
minecraft.mined.purple_stained_glass: #7, 15(1%)
minecraft.picked_up.yellow_carpet: #7, 80(0%)
minecraft.picked_up.blue_bed: #7, 6(1%)
minecraft.used.mossy_cobblestone_wall: #7, 3(1%)
minecraft.dropped.diamond_leggings: #8, 6(5%)
minecraft.broken.diamond_shovel: #8, 3(8%)
minecraft.dropped.polished_diorite: #7, 6(1%)
minecraft.dropped.magenta_concrete: #7, 1(1%)
minecraft.picked_up.purple_terracotta: #7, 16(1%)
minecraft.picked_up.chainmail_helmet: #8, 6(5%)
minecraft.dropped.mycelium: #8, 1491(5%)
minecraft.crafted.iron_helmet: #8, 10(4%)
minecraft.used.white_glazed_terracotta: #7, 3(0%)
minecraft.dropped.lime_concrete_powder: #7, 1(0%)
minecraft.crafted.honey_block: #7, 23(0%)
minecraft.picked_up.pink_concrete_powder: #7, 4(0%)
minecraft.crafted.sea_lantern: #7, 11(0%)
minecraft.picked_up.andesite: #8, 16146(4%)
minecraft.crafted.cobblestone_wall: #8, 513(5%)
minecraft.crafted.furnace: #8, 392(4%)
minecraft.picked_up.yellow_concrete: #8, 809(4%)
minecraft.mined.oak_wall_sign: #8, 61(4%)
minecraft.custom.interact_with_grindstone: #8, 108(4%)
minecraft.used.bell: #8, 15(5%)
minecraft.dropped.redstone_block: #8, 96(5%)
minecraft.crafted.oak_sign: #8, 249(4%)
minecraft.picked_up.iron_boots: #8, 29(4%)
minecraft.used.oak_sign: #8, 268(4%)
minecraft.mined.cobblestone_wall: #8, 82(4%)
minecraft.killed_by.wither_skeleton: #8, 1(10%)
minecraft.crafted.hopper_minecart: #8, 42(4%)
minecraft.used.tripwire_hook: #8, 25(4%)
minecraft.mined.cobblestone_stairs: #8, 54(4%)
minecraft.dropped.stone_button: #8, 87(4%)
minecraft.picked_up.smithing_table: #8, 36(3%)
minecraft.crafted.iron_pickaxe: #8, 20(3%)
minecraft.crafted.dark_oak_pressure_plate: #8, 4(5%)
minecraft.killed_by.skeleton: #8, 4(4%)
minecraft.picked_up.potato: #8, 1030(3%)
minecraft.used.daylight_detector: #8, 38(3%)
minecraft.picked_up.sea_lantern: #8, 609(3%)
minecraft.dropped.magma_block: #8, 75(4%)
minecraft.dropped.birch_planks: #8, 69(3%)
minecraft.picked_up.cooked_porkchop: #8, 337(3%)
minecraft.dropped.sea_lantern: #8, 84(4%)
minecraft.mined.dark_oak_planks: #8, 266(3%)
minecraft.picked_up.azure_bluet: #8, 633(3%)
minecraft.dropped.red_wool: #8, 52(5%)
minecraft.picked_up.red_carpet: #8, 96(3%)
minecraft.used.ice: #8, 1059(3%)
minecraft.dropped.oak_trapdoor: #8, 20(3%)
minecraft.picked_up.nether_gold_ore: #8, 173(2%)
minecraft.mined.yellow_carpet: #8, 51(3%)
minecraft.crafted.spruce_boat: #8, 6(3%)
minecraft.picked_up.red_bed: #8, 14(3%)
minecraft.picked_up.brick_slab: #8, 33(5%)
minecraft.crafted.lapis_lazuli: #8, 1439(2%)
minecraft.picked_up.snowball: #8, 6633(3%)
minecraft.picked_up.golden_horse_armor: #8, 2(5%)
minecraft.mined.large_fern: #8, 88(3%)
minecraft.mined.green_shulker_box: #8, 48(2%)
minecraft.picked_up.green_shulker_box: #8, 48(2%)
minecraft.picked_up.clock: #8, 6(3%)
minecraft.dropped.damaged_anvil: #8, 1(6%)
minecraft.used.cooked_porkchop: #8, 287(2%)
minecraft.mined.purple_concrete: #8, 111(2%)
minecraft.mined.spruce_fence_gate: #8, 9(2%)
minecraft.dropped.emerald: #8, 147(2%)
minecraft.used.cooked_mutton: #8, 86(2%)
minecraft.crafted.target: #8, 72(2%)
minecraft.dropped.crimson_roots: #8, 43(2%)
minecraft.mined.white_stained_glass: #8, 195(2%)
minecraft.picked_up.jungle_leaves: #8, 1001(2%)
minecraft.picked_up.nether_wart: #8, 2566(2%)
minecraft.dropped.gold_block: #8, 34(2%)
minecraft.used.purple_concrete: #8, 98(2%)
minecraft.dropped.potato: #8, 171(2%)
minecraft.crafted.light_blue_terracotta: #8, 280(2%)
minecraft.killed.cat: #8, 3(2%)
minecraft.dropped.cooked_mutton: #8, 15(2%)
minecraft.picked_up.chest: #9, 1409(5%)
minecraft.used.light_gray_carpet: #8, 581(1%)
minecraft.used.crimson_roots: #8, 3(1%)
minecraft.picked_up.yellow_wool: #8, 150(1%)
minecraft.used.comparator: #9, 482(5%)
minecraft.picked_up.honey_bottle: #8, 12(1%)
minecraft.dropped.stripped_dark_oak_log: #8, 2(3%)
minecraft.picked_up.poisonous_potato: #9, 18(7%)
minecraft.used.cyan_bed: #8, 16(1%)
minecraft.dropped.white_concrete: #9, 184(6%)
minecraft.picked_up.respawn_anchor: #8, 2(2%)
minecraft.crafted.acacia_door: #8, 6(2%)
minecraft.dropped.yellow_carpet: #8, 6(2%)
minecraft.mined.light_blue_concrete_powder: #8, 5(2%)
minecraft.mined.orange_carpet: #8, 9(1%)
minecraft.dropped.golden_apple: #8, 4(1%)
minecraft.picked_up.player_head: #9, 701(4%)
minecraft.mined.nether_wart: #8, 506(1%)
minecraft.crafted.green_wool: #8, 22(1%)
minecraft.picked_up.oak_slab: #9, 361(5%)
minecraft.crafted.cooked_salmon: #8, 4(1%)
minecraft.used.bee_nest: #8, 4(1%)
minecraft.mined.light_weighted_pressure_plate: #8, 6(1%)
minecraft.used.yellow_stained_glass_pane: #8, 24(1%)
minecraft.dropped.lime_stained_glass: #8, 9(1%)
minecraft.mined.orange_stained_glass: #8, 26(1%)
minecraft.picked_up.warped_hyphae: #8, 6(1%)
minecraft.used.snow: #8, 213(0%)
minecraft.picked_up.chiseled_stone_bricks: #9, 133(5%)
minecraft.picked_up.bow: #9, 285(4%)
minecraft.crafted.wooden_pickaxe: #9, 2(5%)
minecraft.crafted.brick_wall: #8, 12(1%)
minecraft.used.stripped_acacia_log: #8, 2(1%)
minecraft.dropped.quartz_pillar: #8, 3(1%)
minecraft.dropped.light_weighted_pressure_plate: #8, 2(1%)
minecraft.dropped.purple_concrete: #8, 2(1%)
minecraft.used.magenta_concrete_powder: #8, 67(0%)
minecraft.picked_up.cyan_stained_glass: #8, 91(0%)
minecraft.picked_up.elytra: #9, 69(4%)
minecraft.custom.fish_caught: #8, 22(0%)
minecraft.custom.inspect_dropper: #9, 1236(4%)
minecraft.picked_up.chainmail_chestplate: #9, 7(5%)
minecraft.dropped.black_concrete_powder: #8, 12(0%)
minecraft.dropped.polished_basalt: #8, 3(0%)
minecraft.mined.yellow_glazed_terracotta: #8, 3(0%)
minecraft.dropped.sandstone_stairs: #8, 1(0%)
minecraft.dropped.sugar: #8, 13(0%)
minecraft.used.yellow_glazed_terracotta: #8, 3(0%)
minecraft.dropped.green_terracotta: #8, 1(0%)
minecraft.mined.purple_terracotta: #8, 3(0%)
minecraft.picked_up.polished_blackstone_slab: #9, 318(5%)
minecraft.used.spider_eye: #8, 1(0%)
minecraft.picked_up.wheat: #9, 3299(4%)
minecraft.killed.trader_llama: #9, 22(5%)
minecraft.crafted.oak_planks: #9, 14620(4%)
minecraft.mined.wheat: #9, 2523(4%)
minecraft.crafted.sticky_piston: #9, 364(4%)
minecraft.used.mossy_stone_bricks: #9, 131(5%)
minecraft.crafted.diamond_pickaxe: #9, 19(4%)
minecraft.crafted.diamond_leggings: #9, 5(4%)
minecraft.picked_up.magma_cream: #9, 198(4%)
minecraft.picked_up.bamboo: #9, 7518(4%)
minecraft.killed.husk: #9, 34(5%)
minecraft.mined.crafting_table: #9, 254(4%)
minecraft.crafted.oak_slab: #9, 960(4%)
minecraft.picked_up.polished_blackstone: #9, 306(4%)
minecraft.mined.soul_fire: #9, 54(4%)
minecraft.used.poisonous_potato: #9, 1(9%)
minecraft.picked_up.glowstone_dust: #9, 396(3%)
minecraft.picked_up.pumpkin: #9, 1073(3%)
minecraft.dropped.bow: #9, 266(3%)
minecraft.crafted.iron_hoe: #9, 4(4%)
minecraft.picked_up.iron_door: #9, 20(4%)
minecraft.picked_up.black_concrete: #9, 1468(3%)
minecraft.picked_up.compass: #9, 35(3%)
minecraft.picked_up.obsidian: #9, 879(3%)
minecraft.crafted.iron_boots: #9, 7(3%)
minecraft.picked_up.brown_bed: #9, 11(5%)
minecraft.used.wooden_pickaxe: #9, 21(3%)
minecraft.picked_up.purple_concrete: #9, 156(4%)
minecraft.mined.polished_andesite_slab: #9, 182(3%)
minecraft.crafted.bucket: #9, 182(3%)
minecraft.dropped.chainmail_helmet: #9, 5(4%)
minecraft.dropped.smoker: #9, 1(8%)
minecraft.crafted.netherite_axe: #9, 1(8%)
minecraft.picked_up.lime_concrete: #9, 408(3%)
minecraft.crafted.lead: #9, 34(4%)
minecraft.picked_up.kelp: #9, 6095(3%)
minecraft.picked_up.mossy_stone_bricks: #9, 49(3%)
minecraft.picked_up.blackstone: #9, 7721(3%)
minecraft.dropped.oak_fence: #9, 28(3%)
minecraft.dropped.iron_leggings: #9, 6(4%)
minecraft.mined.brown_bed: #9, 9(4%)
minecraft.used.warped_nylium: #9, 110(3%)
minecraft.picked_up.clay: #9, 418(3%)
minecraft.used.vine: #9, 73(3%)
minecraft.picked_up.lilac: #9, 104(3%)
minecraft.crafted.dispenser: #9, 97(2%)
minecraft.picked_up.nautilus_shell: #9, 12(3%)
minecraft.picked_up.green_terracotta: #9, 88(3%)
minecraft.used.green_shulker_box: #9, 50(2%)
minecraft.used.iron_axe: #9, 1122(2%)
minecraft.used.bamboo: #9, 308(2%)
minecraft.dropped.shears: #9, 19(3%)
minecraft.used.blast_furnace: #9, 30(2%)
minecraft.crafted.lectern: #9, 26(2%)
minecraft.mined.carrots: #9, 481(2%)
minecraft.picked_up.smooth_sandstone: #9, 782(2%)
minecraft.picked_up.birch_button: #9, 4(3%)
minecraft.picked_up.dark_oak_boat: #9, 2(4%)
minecraft.mined.potted_fern: #9, 1(5%)
minecraft.crafted.oak_fence: #9, 312(2%)
minecraft.picked_up.white_stained_glass: #9, 275(2%)
minecraft.dropped.cactus: #9, 161(2%)
minecraft.mined.red_carpet: #9, 35(2%)
minecraft.dropped.brown_shulker_box: #9, 1(4%)
minecraft.mined.mossy_stone_bricks: #9, 24(2%)
minecraft.dropped.iron_door: #9, 2(2%)
minecraft.picked_up.acacia_sign: #9, 16(1%)
minecraft.used.brown_bed: #9, 11(2%)
minecraft.used.orange_stained_glass: #9, 275(2%)
minecraft.picked_up.melon: #9, 220(1%)
minecraft.dropped.glowstone: #9, 48(2%)
minecraft.picked_up.spruce_leaves: #9, 1428(1%)
minecraft.dropped.dandelion: #9, 60(1%)
minecraft.used.stone_button: #9, 578(1%)
minecraft.used.red_nether_brick_stairs: #9, 20(2%)
minecraft.crafted.polished_andesite_stairs: #9, 80(1%)
minecraft.crafted.yellow_carpet: #9, 231(1%)
minecraft.crafted.daylight_detector: #9, 21(1%)
minecraft.mined.brick_slab: #9, 7(2%)
minecraft.used.clay: #9, 70(1%)
minecraft.mined.magenta_concrete: #9, 75(1%)
minecraft.killed_by.ravager: #10, 7(6%)
minecraft.used.yellow_carpet: #9, 170(1%)
minecraft.mined.tnt: #9, 56(1%)
minecraft.used.brick_wall: #9, 28(1%)
minecraft.picked_up.purple_stained_glass: #9, 26(1%)
minecraft.used.light_gray_banner: #9, 2(1%)
minecraft.custom.play_noteblock: #9, 53(1%)
minecraft.dropped.jungle_stairs: #9, 1(1%)
minecraft.picked_up.orange_carpet: #9, 11(1%)
minecraft.dropped.black_carpet: #9, 6(1%)
minecraft.dropped.beehive: #9, 1(1%)
minecraft.picked_up.stone: #10, 148621(4%)
minecraft.dropped.porkchop: #9, 19(1%)
minecraft.dropped.diamond_ore: #9, 7(1%)
minecraft.mined.yellow_stained_glass: #9, 10(1%)
minecraft.used.red_sandstone: #9, 2(1%)
minecraft.custom.interact_with_campfire: #9, 1(1%)
minecraft.mined.orange_stained_glass_pane: #9, 6(1%)
minecraft.mined.black_carpet: #9, 122(0%)
minecraft.picked_up.flint: #10, 1153(4%)
minecraft.used.experience_bottle: #9, 20(0%)
minecraft.crafted.magenta_concrete_powder: #9, 64(0%)
minecraft.dropped.beetroot_seeds: #9, 2(0%)
minecraft.picked_up.red_shulker_box: #10, 361(4%)
minecraft.mined.cyan_stained_glass: #9, 34(0%)
minecraft.crafted.brown_bed: #9, 1(0%)
minecraft.mined.red_shulker_box: #10, 352(4%)
minecraft.mined.yellow_stained_glass_pane: #9, 4(0%)
minecraft.mined.purple_stained_glass_pane: #9, 2(0%)
minecraft.crafted.pink_wool: #9, 1(0%)
minecraft.crafted.purple_stained_glass_pane: #9, 16(0%)
minecraft.picked_up.purple_stained_glass_pane: #9, 2(0%)
minecraft.used.redstone_ore: #10, 1162(4%)
minecraft.used.purple_stained_glass_pane: #9, 8(0%)
minecraft.picked_up.magenta_concrete_powder: #9, 3(0%)
minecraft.crafted.firework_star: #9, 2(0%)
minecraft.used.red_shulker_box: #10, 348(4%)
minecraft.mined.redstone_wall_torch: #10, 74(4%)
minecraft.used.spruce_sign: #10, 85(4%)
minecraft.picked_up.lectern: #10, 268(4%)
minecraft.used.dropper: #10, 280(3%)
minecraft.mined.potatoes: #10, 185(5%)
minecraft.crafted.netherite_pickaxe: #10, 3(5%)
minecraft.picked_up.spruce_door: #10, 19(3%)
minecraft.used.cobblestone_wall: #10, 329(3%)
minecraft.picked_up.slime_block: #10, 458(3%)
minecraft.mined.nether_quartz_ore: #10, 3436(3%)
minecraft.crafted.stone_slab: #10, 2026(3%)
minecraft.dropped.jungle_log: #10, 78(4%)
minecraft.dropped.wheat_seeds: #10, 3034(3%)
minecraft.picked_up.shears: #10, 29(3%)
minecraft.broken.iron_axe: #10, 4(3%)
minecraft.mined.lime_shulker_box: #10, 77(3%)
minecraft.picked_up.lime_shulker_box: #10, 78(3%)
minecraft.crafted.enchanting_table: #10, 2(3%)
minecraft.picked_up.sea_pickle: #10, 139(3%)
minecraft.crafted.golden_helmet: #10, 4(3%)
minecraft.picked_up.brown_mushroom_block: #10, 1575(3%)
minecraft.used.lime_shulker_box: #10, 78(3%)
minecraft.picked_up.cookie: #10, 55(3%)
minecraft.dropped.netherite_helmet: #10, 2(5%)
minecraft.dropped.compass: #10, 24(3%)
minecraft.mined.warped_stairs: #10, 15(3%)
minecraft.crafted.spruce_sign: #10, 60(2%)
minecraft.dropped.bone: #10, 950(2%)
minecraft.picked_up.bricks: #10, 469(3%)
minecraft.crafted.mossy_stone_bricks: #10, 125(3%)
minecraft.used.iron_door: #10, 24(2%)
minecraft.mined.cobblestone_slab: #10, 86(2%)
minecraft.used.sunflower: #10, 4(3%)
minecraft.mined.campfire: #10, 34(2%)
minecraft.picked_up.light_blue_concrete: #10, 452(2%)
minecraft.picked_up.tnt: #10, 422(2%)
minecraft.dropped.jungle_planks: #10, 51(2%)
minecraft.used.sponge: #10, 274(2%)
minecraft.crafted.iron_door: #10, 21(2%)
minecraft.custom.target_hit: #10, 279(2%)
minecraft.picked_up.wet_sponge: #10, 282(2%)
minecraft.picked_up.mutton: #10, 99(2%)
minecraft.picked_up.stone_hoe: #10, 3(3%)
minecraft.mined.warped_nylium: #10, 157(2%)
minecraft.dropped.chainmail_chestplate: #10, 3(3%)
minecraft.mined.melon_stem: #10, 5(2%)
minecraft.mined.yellow_concrete: #10, 416(2%)
minecraft.used.potion: #10, 40(2%)
minecraft.mined.wet_sponge: #10, 266(2%)
minecraft.custom.interact_with_furnace: #11, 3195(5%)
minecraft.mined.birch_button: #10, 2(3%)
minecraft.dropped.acacia_planks: #10, 14(2%)
minecraft.mined.infested_stone_bricks: #10, 2(3%)
minecraft.used.andesite_slab: #10, 375(2%)
minecraft.dropped.end_stone_bricks: #10, 20(2%)
minecraft.crafted.cyan_bed: #10, 3(3%)
minecraft.picked_up.music_disc_mall: #10, 1(3%)
minecraft.crafted.mossy_cobblestone_stairs: #10, 4(3%)
minecraft.mined.lily_pad: #10, 27(2%)
minecraft.mined.iron_door: #10, 5(2%)
minecraft.used.apple: #10, 12(2%)
minecraft.dropped.warped_wart_block: #10, 103(1%)
minecraft.picked_up.smooth_sandstone_slab: #10, 101(1%)
minecraft.used.yellow_concrete: #10, 377(1%)
minecraft.picked_up.stone_shovel: #10, 2(2%)
minecraft.picked_up.gray_wool: #10, 367(1%)
minecraft.used.purple_carpet: #10, 60(1%)
minecraft.mined.polished_granite_slab: #10, 3(2%)
minecraft.mined.lime_wool: #10, 24(1%)
minecraft.mined.dark_prismarine: #10, 60(1%)
minecraft.picked_up.cod: #10, 333(1%)
minecraft.picked_up.spruce_pressure_plate: #10, 6(2%)
minecraft.crafted.smooth_stone: #10, 717(1%)
minecraft.picked_up.light_gray_banner: #10, 2(2%)
minecraft.picked_up.light_blue_dye: #10, 15(2%)
minecraft.dropped.stripped_warped_stem: #10, 1(2%)
minecraft.mined.brown_wool: #10, 16(1%)
minecraft.crafted.snow_block: #10, 647(1%)
minecraft.dropped.cobblestone_stairs: #10, 6(1%)
minecraft.crafted.gold_nugget: #10, 1701(1%)
minecraft.dropped.crimson_fungus: #10, 8(1%)
minecraft.crafted.slime_ball: #10, 509(1%)
minecraft.picked_up.book: #10, 361(1%)
minecraft.crafted.dried_kelp: #10, 212(1%)
minecraft.crafted.sponge: #10, 72(1%)
minecraft.used.nether_wart: #10, 578(1%)
minecraft.dropped.warped_fungus: #10, 5(1%)
minecraft.mined.yellow_concrete_powder: #10, 4(1%)
minecraft.used.lime_concrete_powder: #10, 296(1%)
minecraft.mined.heavy_weighted_pressure_plate: #10, 3(1%)
minecraft.picked_up.phantom_membrane: #10, 32(1%)
minecraft.dropped.crossbow: #10, 10(0%)
minecraft.crafted.melon_seeds: #10, 15(1%)
minecraft.mined.brick_wall: #10, 8(1%)
minecraft.mined.snow_block: #10, 169(1%)
minecraft.used.light_blue_concrete_powder: #10, 213(1%)
minecraft.used.brick_slab: #10, 22(1%)
minecraft.used.purple_concrete_powder: #10, 72(1%)
minecraft.mined.spruce_pressure_plate: #10, 2(1%)
minecraft.picked_up.allium: #10, 12(0%)
minecraft.crafted.brick_stairs: #10, 8(1%)
minecraft.mined.dark_oak_sapling: #10, 2(1%)
minecraft.mined.purple_wool: #10, 4(0%)
minecraft.used.red_stained_glass_pane: #10, 10(0%)
minecraft.used.soul_torch: #10, 4(0%)
minecraft.picked_up.light_weighted_pressure_plate: #10, 8(0%)
minecraft.mined.stripped_dark_oak_wood: #10, 4(0%)
minecraft.picked_up.red_sandstone: #10, 2(0%)
minecraft.picked_up.yellow_stained_glass: #10, 9(0%)
minecraft.crafted.melon: #10, 395(0%)
minecraft.picked_up.yellow_glazed_terracotta: #10, 3(0%)
minecraft.crafted.crimson_hyphae: #10, 6(0%)
minecraft.crafted.glistering_melon_slice: #10, 13(0%)
minecraft.used.purple_terracotta: #10, 3(0%)
minecraft.mined.oak_fence: #11, 254(4%)
minecraft.mined.wall_torch: #11, 664(4%)
minecraft.picked_up.redstone: #11, 15671(4%)
minecraft.mined.hay_block: #11, 67(4%)
minecraft.mined.anvil: #11, 38(4%)
minecraft.picked_up.birch_trapdoor: #11, 60(4%)
minecraft.dropped.netherrack: #11, 13066(3%)
minecraft.picked_up.soul_sand: #11, 1995(4%)
minecraft.picked_up.scaffolding: #11, 8093(4%)
minecraft.mined.hopper: #11, 403(3%)
minecraft.used.coal_ore: #11, 1701(3%)
minecraft.mined.slime_block: #11, 258(3%)
minecraft.picked_up.wheat_seeds: #11, 9863(3%)
minecraft.crafted.diamond_axe: #11, 6(3%)
minecraft.mined.polished_andesite: #11, 573(3%)
minecraft.killed.wandering_trader: #11, 8(3%)
minecraft.crafted.repeater: #11, 476(3%)
minecraft.crafted.green_dye: #11, 524(3%)
minecraft.picked_up.oak_trapdoor: #11, 84(3%)
minecraft.used.observer: #11, 633(3%)
minecraft.picked_up.melon_seeds: #11, 27(3%)
minecraft.custom.interact_with_lectern: #11, 242(2%)
minecraft.mined.chain: #11, 71(2%)
minecraft.picked_up.netherite_helmet: #11, 12(3%)
minecraft.mined.warped_planks: #11, 29(3%)
minecraft.used.potato: #11, 190(3%)
minecraft.used.slime_block: #11, 399(2%)
minecraft.crafted.stone_sword: #11, 2(3%)
minecraft.crafted.lapis_block: #11, 380(2%)
minecraft.dropped.spruce_planks: #11, 108(2%)
minecraft.picked_up.spruce_boat: #11, 12(2%)
minecraft.crafted.cobblestone_slab: #11, 546(2%)
minecraft.used.pumpkin_seeds: #11, 40(2%)
minecraft.used.snowball: #11, 258(2%)
minecraft.picked_up.redstone_lamp: #11, 46(2%)
minecraft.mined.crying_obsidian: #11, 23(2%)
minecraft.used.obsidian: #11, 590(2%)
minecraft.crafted.hay_block: #11, 136(2%)
minecraft.dropped.lilac: #11, 2(2%)
minecraft.mined.snow: #11, 4868(1%)
minecraft.picked_up.cobweb: #11, 82(2%)
minecraft.mined.lily_of_the_valley: #11, 13(2%)
minecraft.dropped.purpur_slab: #11, 6(2%)
minecraft.crafted.green_shulker_box: #11, 2(2%)
minecraft.dropped.red_concrete: #11, 13(2%)
minecraft.used.cornflower: #11, 5(2%)
minecraft.picked_up.gray_concrete_powder: #11, 1391(1%)
minecraft.mined.brick_stairs: #11, 9(2%)
minecraft.crafted.anvil: #11, 48(1%)
minecraft.picked_up.grass: #11, 237(1%)
minecraft.mined.cyan_carpet: #11, 13(1%)
minecraft.used.dark_oak_boat: #11, 1(2%)
minecraft.used.spruce_sapling: #11, 167(1%)
minecraft.mined.blackstone_stairs: #11, 17(1%)
minecraft.used.melon_seeds: #11, 19(1%)
minecraft.picked_up.polished_granite: #11, 55(1%)
minecraft.picked_up.fern: #11, 70(1%)
minecraft.picked_up.magenta_concrete: #11, 76(1%)
minecraft.used.spruce_button: #11, 25(1%)
minecraft.crafted.stone_button: #11, 440(1%)
minecraft.crafted.mossy_cobblestone: #11, 56(1%)
minecraft.mined.orange_bed: #11, 1(1%)
minecraft.mined.tall_seagrass: #11, 78(1%)
minecraft.picked_up.red_wool: #11, 155(1%)
minecraft.crafted.yellow_stained_glass_pane: #11, 32(1%)
minecraft.broken.stone_pickaxe: #11, 2(1%)
minecraft.picked_up.baked_potato: #11, 8(1%)
minecraft.crafted.stone_shovel: #11, 5(1%)
minecraft.dropped.rabbit_hide: #11, 2(1%)
