stat, rank, value, (percentage) 
minecraft.picked_up.beetroot_seeds: #9, 48(1%)
minecraft.picked_up.ender_pearl: #10, 19780(5%)
minecraft.picked_up.yellow_banner: #9, 1(1%)
minecraft.crafted.polished_granite_slab: #9, 6(1%)
minecraft.crafted.black_bed: #9, 1(1%)
minecraft.picked_up.polished_granite_slab: #9, 4(1%)
minecraft.used.light_gray_wool: #9, 66(0%)
minecraft.mined.red_nether_brick_stairs: #9, 2(1%)
minecraft.used.beetroot_seeds: #9, 12(0%)
minecraft.crafted.torch: #10, 11244(4%)
minecraft.mined.smooth_red_sandstone: #9, 1(0%)
minecraft.used.dark_oak_sign: #10, 40(4%)
minecraft.used.wheat_seeds: #10, 3108(3%)
minecraft.mined.white_stained_glass_pane: #10, 78(4%)
minecraft.used.white_stained_glass_pane: #10, 432(4%)
minecraft.mined.lapis_ore: #10, 551(3%)
minecraft.picked_up.coal_block: #10, 260(3%)
minecraft.broken.iron_pickaxe: #10, 10(3%)
minecraft.mined.dark_oak_sign: #10, 2(5%)
minecraft.used.flower_pot: #10, 68(3%)
minecraft.custom.pot_flower: #10, 50(3%)
minecraft.mined.nether_gold_ore: #10, 263(3%)
minecraft.crafted.white_concrete_powder: #10, 8592(3%)
minecraft.crafted.redstone_lamp: #10, 146(3%)
minecraft.crafted.dark_oak_sign: #10, 36(3%)
minecraft.used.spruce_door: #10, 18(3%)
minecraft.mined.jungle_sign: #10, 3(3%)
minecraft.mined.blue_orchid: #10, 23(3%)
minecraft.used.birch_stairs: #10, 150(3%)
minecraft.picked_up.brick: #10, 64(3%)
minecraft.picked_up.white_carpet: #10, 255(2%)
minecraft.mined.spruce_button: #10, 7(2%)
minecraft.crafted.cracked_stone_bricks: #10, 128(3%)
minecraft.picked_up.spruce_button: #10, 21(2%)
minecraft.crafted.purple_dye: #10, 384(2%)
minecraft.mined.ancient_debris: #10, 99(1%)
minecraft.mined.seagrass: #10, 375(1%)
minecraft.used.glowstone: #10, 254(1%)
minecraft.picked_up.white_stained_glass_pane: #10, 78(1%)
minecraft.picked_up.iron_hoe: #10, 1(2%)
minecraft.crafted.flower_pot: #10, 63(1%)
minecraft.crafted.bone_block: #10, 1731(1%)
minecraft.used.smooth_sandstone: #10, 958(1%)
minecraft.crafted.sandstone_wall: #10, 114(1%)
minecraft.mined.mossy_cobblestone_slab: #10, 2(2%)
minecraft.mined.red_tulip: #10, 9(1%)
minecraft.dropped.black_shulker_box: #10, 1(2%)
