stat, rank, value, (percentage) 
minecraft.crafted.white_shulker_box: #22, 1(0%)
minecraft.crafted.red_shulker_box: #22, 1(0%)
minecraft.used.redstone_ore: #22, 90(0%)
minecraft.picked_up.stone_bricks: #22, 282(0%)
minecraft.used.spruce_sign: #22, 7(0%)
minecraft.mined.cactus: #22, 7(0%)
minecraft.used.anvil: #22, 11(0%)
minecraft.used.andesite: #22, 227(0%)
minecraft.used.brewing_stand: #22, 2(0%)
minecraft.picked_up.sugar_cane: #22, 866(0%)
minecraft.custom.player_kills: #22, 3(0%)
minecraft.used.coal_ore: #22, 132(0%)
minecraft.mined.oak_fence: #22, 15(0%)
minecraft.crafted.oak_trapdoor: #22, 20(0%)
minecraft.mined.dropper: #22, 6(0%)
minecraft.picked_up.cracked_stone_bricks: #22, 9(0%)
minecraft.used.bow: #22, 231(0%)
minecraft.custom.inspect_dropper: #22, 56(0%)
minecraft.killed.pig: #22, 2(0%)
minecraft.crafted.writable_book: #22, 6(0%)
minecraft.used.observer: #22, 41(0%)
minecraft.mined.observer: #22, 11(0%)
minecraft.used.jungle_leaves: #22, 46(0%)
minecraft.dropped.stick: #22, 70(0%)
minecraft.mined.tall_grass: #22, 13(0%)
minecraft.picked_up.observer: #22, 11(0%)
minecraft.crafted.dark_oak_slab: #22, 48(0%)
minecraft.crafted.minecart: #22, 5(0%)
minecraft.crafted.iron_block: #22, 235(0%)
minecraft.picked_up.egg: #22, 21(0%)
minecraft.picked_up.name_tag: #22, 1(0%)
minecraft.mined.dark_oak_planks: #22, 10(0%)
minecraft.crafted.red_carpet: #22, 21(0%)
minecraft.picked_up.armor_stand: #22, 4(0%)
minecraft.picked_up.mycelium: #22, 200(0%)
minecraft.used.white_banner: #22, 1(0%)
minecraft.crafted.glass_bottle: #22, 27(0%)
minecraft.picked_up.dispenser: #22, 2(0%)
minecraft.picked_up.crying_obsidian: #22, 2(0%)
minecraft.mined.dead_bush: #22, 5(0%)
minecraft.used.ender_pearl: #22, 12(0%)
minecraft.picked_up.dark_oak_planks: #22, 14(0%)
minecraft.picked_up.peony: #22, 3(0%)
minecraft.picked_up.nether_quartz_ore: #22, 23(0%)
minecraft.mined.birch_wall_sign: #22, 1(0%)
minecraft.mined.polished_blackstone_wall: #22, 1(0%)
minecraft.picked_up.paper: #22, 65(0%)
minecraft.crafted.smithing_table: #22, 1(0%)
minecraft.mined.magma_block: #22, 42(0%)
minecraft.custom.interact_with_blast_furnace: #22, 1(0%)
minecraft.crafted.birch_sign: #22, 3(0%)
minecraft.picked_up.dark_oak_log: #22, 47(0%)
minecraft.picked_up.diamond_ore: #22, 9(0%)
minecraft.mined.stone_brick_stairs: #22, 2(0%)
minecraft.picked_up.polished_blackstone_brick_stairs: #22, 1(0%)
minecraft.mined.polished_blackstone_brick_stairs: #22, 1(0%)
minecraft.picked_up.iron_ingot: #22, 255(0%)
minecraft.killed.phantom: #22, 1(0%)
minecraft.picked_up.cyan_terracotta: #22, 18(0%)
minecraft.mined.stripped_spruce_log: #22, 1(0%)
minecraft.picked_up.stripped_spruce_log: #22, 1(0%)
minecraft.mined.sticky_piston: #22, 1(0%)
minecraft.picked_up.nether_brick_slab: #22, 2(0%)
minecraft.picked_up.stone_brick_stairs: #22, 2(0%)
minecraft.used.crossbow: #22, 1(0%)
minecraft.dropped.oak_planks: #22, 1(0%)
minecraft.mined.nether_wart: #22, 20(0%)
minecraft.crafted.grindstone: #22, 1(0%)
minecraft.crafted.blaze_powder: #22, 14(0%)
minecraft.picked_up.nether_wart: #22, 31(0%)
minecraft.picked_up.carved_pumpkin: #22, 1(0%)
minecraft.picked_up.sticky_piston: #22, 1(0%)
minecraft.picked_up.book: #22, 9(0%)
minecraft.mined.polished_blackstone_bricks: #22, 8(0%)
minecraft.dropped.oak_leaves: #22, 2(0%)
minecraft.used.stone_brick_slab: #22, 10(0%)
minecraft.dropped.gunpowder: #22, 5(0%)
minecraft.picked_up.white_stained_glass: #22, 2(0%)
minecraft.used.stone_brick_stairs: #22, 2(0%)
minecraft.picked_up.orange_terracotta: #22, 17(0%)
minecraft.picked_up.fern: #22, 1(0%)
minecraft.picked_up.carrot: #22, 11(0%)
minecraft.used.basalt: #22, 4(0%)
minecraft.used.mycelium: #22, 3(0%)
minecraft.used.cyan_terracotta: #22, 18(0%)
minecraft.mined.red_concrete: #22, 1(0%)
minecraft.mined.carrots: #22, 1(0%)
minecraft.custom.sprint_one_cm: #23, 43779553(2%)
minecraft.custom.jump: #23, 87109(1%)
minecraft.custom.walk_one_cm: #23, 34654419(1%)
minecraft.custom.interact_with_anvil: #23, 97(1%)
minecraft.custom.open_shulker_box: #23, 6450(1%)
minecraft.custom.damage_taken: #23, 54101(1%)
minecraft.crafted.diamond_leggings: #23, 1(1%)
minecraft.used.water_bucket: #23, 508(1%)
minecraft.custom.sneak_time: #23, 355858(0%)
minecraft.custom.interact_with_crafting_table: #23, 642(1%)
minecraft.crafted.iron_ingot: #23, 3918(1%)
minecraft.custom.crouch_one_cm: #23, 1372930(0%)
minecraft.used.oak_boat: #23, 7(0%)
minecraft.mined.dandelion: #23, 25(1%)
minecraft.crafted.diamond_axe: #23, 1(0%)
minecraft.picked_up.golden_helmet: #23, 3(0%)
minecraft.used.red_shulker_box: #23, 37(0%)
minecraft.mined.red_shulker_box: #23, 36(0%)
minecraft.used.repeater: #23, 83(0%)
minecraft.picked_up.red_shulker_box: #23, 36(0%)
minecraft.custom.swim_one_cm: #23, 431148(0%)
minecraft.picked_up.golden_leggings: #23, 2(0%)
minecraft.used.dirt: #23, 3170(0%)
minecraft.picked_up.water_bucket: #23, 3(0%)
minecraft.used.comparator: #23, 35(0%)
minecraft.crafted.hopper: #23, 118(0%)
minecraft.dropped.diamond_sword: #23, 1(0%)
minecraft.dropped.diorite: #23, 256(0%)
minecraft.used.writable_book: #23, 15(0%)
minecraft.used.diamond_axe: #23, 2429(0%)
minecraft.killed_by.player: #23, 4(0%)
minecraft.picked_up.diamond_shovel: #23, 3(0%)
minecraft.picked_up.written_book: #23, 5(0%)
minecraft.custom.open_barrel: #23, 489(0%)
minecraft.custom.boat_one_cm: #23, 672636(0%)
minecraft.picked_up.redstone_torch: #23, 25(0%)
minecraft.mined.lever: #23, 4(0%)
minecraft.picked_up.wheat_seeds: #23, 772(0%)
minecraft.crafted.spruce_sign: #23, 6(0%)
minecraft.picked_up.golden_chestplate: #23, 1(0%)
minecraft.killed.magma_cube: #23, 77(0%)
minecraft.mined.redstone_wall_torch: #23, 4(0%)
minecraft.picked_up.redstone_ore: #23, 90(0%)
minecraft.mined.poppy: #23, 13(0%)
minecraft.picked_up.black_shulker_box: #23, 10(0%)
minecraft.used.iron_axe: #23, 95(0%)
minecraft.crafted.rail: #23, 64(0%)
minecraft.mined.black_shulker_box: #23, 9(0%)
minecraft.picked_up.lead: #23, 7(0%)
minecraft.crafted.dark_oak_planks: #23, 336(0%)
minecraft.used.bone_meal: #23, 503(0%)
minecraft.picked_up.ink_sac: #23, 70(0%)
minecraft.mined.sea_lantern: #23, 20(0%)
minecraft.picked_up.dropper: #23, 6(0%)
minecraft.picked_up.enchanted_book: #23, 3(0%)
minecraft.picked_up.porkchop: #23, 3(0%)
minecraft.picked_up.feather: #23, 16(0%)
minecraft.mined.mossy_cobblestone: #23, 3(0%)
minecraft.mined.tripwire: #23, 3(0%)
minecraft.used.sea_lantern: #23, 78(0%)
minecraft.killed.chicken: #23, 5(0%)
minecraft.mined.kelp: #23, 13(0%)
minecraft.mined.dispenser: #23, 2(0%)
minecraft.mined.chain: #23, 3(0%)
minecraft.picked_up.brown_mushroom: #23, 13(0%)
minecraft.picked_up.white_wool: #23, 25(0%)
minecraft.used.shears: #23, 721(0%)
minecraft.used.black_shulker_box: #23, 5(0%)
minecraft.picked_up.minecart: #23, 4(0%)
minecraft.mined.repeater: #23, 5(0%)
minecraft.picked_up.sea_lantern: #23, 20(0%)
minecraft.mined.comparator: #23, 2(0%)
minecraft.picked_up.potion: #23, 3(0%)
minecraft.crafted.iron_nugget: #23, 162(0%)
minecraft.picked_up.cactus: #23, 20(0%)
minecraft.crafted.anvil: #23, 4(0%)
minecraft.picked_up.birch_sign: #23, 4(0%)
minecraft.used.composter: #23, 2(0%)
minecraft.picked_up.poppy: #23, 37(0%)
minecraft.picked_up.dandelion: #23, 27(0%)
minecraft.crafted.lectern: #23, 1(0%)
minecraft.dropped.stone: #23, 229(0%)
minecraft.mined.mycelium: #23, 165(0%)
minecraft.mined.kelp_plant: #23, 15(0%)
minecraft.used.birch_sign: #23, 5(0%)
minecraft.crafted.composter: #23, 2(0%)
minecraft.used.flint_and_steel: #23, 4(0%)
minecraft.mined.spruce_log: #23, 85(0%)
minecraft.used.smithing_table: #23, 1(0%)
minecraft.crafted.shulker_box: #23, 4(0%)
minecraft.used.egg: #23, 6(0%)
minecraft.used.pumpkin: #23, 4(0%)
minecraft.used.bamboo: #23, 8(0%)
minecraft.custom.damage_resisted: #23, 172(0%)
minecraft.crafted.shears: #23, 9(0%)
minecraft.picked_up.lapis_ore: #23, 4(0%)
minecraft.dropped.netherrack: #23, 170(0%)
minecraft.used.diamond_ore: #23, 9(0%)
minecraft.crafted.acacia_planks: #23, 32(0%)
minecraft.mined.redstone_torch: #23, 1(0%)
minecraft.used.grindstone: #23, 2(0%)
minecraft.mined.brown_mushroom: #23, 1(0%)
minecraft.used.soul_sand: #23, 10(0%)
minecraft.mined.powered_rail: #23, 4(0%)
minecraft.picked_up.gold_block: #23, 5(0%)
minecraft.crafted.cooked_beef: #23, 6(0%)
minecraft.picked_up.grindstone: #23, 1(0%)
minecraft.dropped.dirt: #23, 36(0%)
minecraft.crafted.stone_pressure_plate: #23, 1(0%)
minecraft.picked_up.gold_ingot: #23, 4(0%)
minecraft.picked_up.pumpkin_seeds: #23, 8(0%)
minecraft.used.lectern: #23, 2(0%)
minecraft.mined.grass_path: #23, 5(0%)
minecraft.dropped.iron_ingot: #23, 10(0%)
minecraft.mined.bamboo: #23, 4(0%)
minecraft.killed.drowned: #23, 3(0%)
minecraft.picked_up.chain: #23, 2(0%)
minecraft.picked_up.pumpkin: #23, 6(0%)
minecraft.dropped.rail: #23, 1(0%)
minecraft.used.string: #23, 3(0%)
minecraft.dropped.flint: #23, 2(0%)
minecraft.mined.fern: #23, 1(0%)
minecraft.mined.lectern: #23, 1(0%)
minecraft.picked_up.lectern: #23, 1(0%)
minecraft.dropped.bow: #23, 1(0%)
minecraft.mined.dark_oak_log: #23, 9(0%)
minecraft.picked_up.smooth_stone: #23, 4(0%)
minecraft.used.written_book: #23, 4(0%)
minecraft.dropped.torch: #23, 2(0%)
minecraft.used.lava_bucket: #23, 2(0%)
minecraft.mined.pumpkin: #23, 1(0%)
minecraft.crafted.yellow_dye: #23, 2(0%)
minecraft.mined.stone_brick_slab: #23, 1(0%)
minecraft.mined.nether_bricks: #23, 2(0%)
minecraft.picked_up.red_concrete: #23, 1(0%)
minecraft.picked_up.nether_bricks: #23, 2(0%)
minecraft.picked_up.slime_ball: #23, 2(0%)
minecraft.picked_up.stone_brick_slab: #23, 1(0%)
minecraft.dropped.wheat_seeds: #23, 4(0%)
minecraft.custom.talked_to_villager: #23, 4(0%)
minecraft.mined.smooth_stone: #23, 1(0%)
minecraft.picked_up.gray_wool: #23, 1(0%)
minecraft.used.nether_bricks: #23, 1(0%)
minecraft.crafted.emerald: #23, 18(0%)
minecraft.dropped.arrow: #23, 2(0%)
minecraft.picked_up.jungle_log: #23, 2(0%)
minecraft.used.smooth_stone: #23, 1(0%)
minecraft.custom.traded_with_villager: #23, 3(0%)
minecraft.custom.interact_with_furnace: #24, 345(1%)
minecraft.used.bucket: #24, 559(1%)
minecraft.picked_up.diamond_sword: #24, 4(0%)
minecraft.picked_up.stick: #24, 371(0%)
minecraft.picked_up.oak_fence: #24, 20(0%)
minecraft.custom.climb_one_cm: #24, 227123(0%)
minecraft.picked_up.wheat: #24, 162(0%)
minecraft.picked_up.player_head: #24, 28(0%)
minecraft.used.firework_rocket: #24, 47(0%)
minecraft.crafted.white_bed: #24, 1(0%)
minecraft.mined.wheat: #24, 112(0%)
minecraft.picked_up.rail: #24, 83(0%)
minecraft.dropped.gravel: #24, 52(0%)
minecraft.picked_up.pufferfish: #24, 1(0%)
minecraft.dropped.player_head: #24, 2(0%)
minecraft.crafted.glass: #24, 320(0%)
minecraft.picked_up.bamboo: #24, 137(0%)
minecraft.picked_up.flint: #24, 17(0%)
minecraft.custom.time_since_rest: #24, 89704(0%)
minecraft.used.rail: #24, 22(0%)
minecraft.crafted.gold_ingot: #24, 372(0%)
minecraft.picked_up.soul_lantern: #24, 1(0%)
minecraft.picked_up.spruce_sign: #24, 1(0%)
minecraft.mined.stripped_oak_log: #24, 2(0%)
minecraft.used.sticky_piston: #24, 3(0%)
minecraft.used.player_head: #24, 1(0%)
minecraft.picked_up.ladder: #24, 2(0%)
minecraft.mined.rail: #24, 7(0%)
minecraft.mined.piston: #24, 1(0%)
minecraft.picked_up.stripped_oak_log: #24, 1(0%)
minecraft.picked_up.piston: #24, 1(0%)
minecraft.used.stone_button: #24, 7(0%)
minecraft.picked_up.emerald: #24, 2(0%)
minecraft.dropped.andesite: #24, 5(0%)
minecraft.crafted.gold_block: #24, 5(0%)
minecraft.custom.minecart_one_cm: #24, 13850(0%)
minecraft.dropped.bone: #24, 3(0%)
minecraft.mined.glass: #24, 1(0%)
minecraft.dropped.rotten_flesh: #24, 19(0%)
minecraft.picked_up.glass: #24, 2(0%)
minecraft.crafted.jungle_planks: #24, 4(0%)
minecraft.used.glass: #24, 1(0%)
minecraft.picked_up.firework_rocket: #25, 162(0%)
minecraft.dropped.firework_rocket: #25, 33(0%)
minecraft.custom.walk_under_water_one_cm: #28, 1104950(0%)
minecraft.custom.leave_game: #32, 265(1%)
minecraft.custom.play_one_minute: #33, 13368740(1%)
minecraft.custom.fly_one_cm: #35, 25194813(1%)
minecraft.custom.time_since_death: #38, 205165(0%)
