stat, rank, value, (percentage) 
minecraft.used.hopper_minecart: #4, 123(11%)
minecraft.crafted.redstone_lamp: #4, 615(11%)
minecraft.picked_up.crimson_door: #3, 6(13%)
minecraft.picked_up.hay_block: #4, 468(11%)
minecraft.mined.dandelion: #4, 525(11%)
minecraft.crafted.jungle_boat: #3, 18(9%)
minecraft.used.redstone_torch: #4, 1299(9%)
minecraft.dropped.purpur_pillar: #3, 27(9%)
minecraft.broken.diamond_shovel: #3, 4(10%)
minecraft.dropped.smooth_stone: #4, 349(12%)
minecraft.mined.blue_concrete: #4, 1947(11%)
minecraft.crafted.coal: #4, 11502(10%)
minecraft.crafted.jungle_stairs: #3, 404(10%)
minecraft.picked_up.gold_nugget: #3, 31085(6%)
minecraft.picked_up.tnt: #3, 1160(6%)
minecraft.picked_up.stone_hoe: #3, 9(8%)
minecraft.used.filled_map: #3, 24(21%)
minecraft.crafted.acacia_sign: #3, 111(8%)
minecraft.dropped.prismarine_brick_stairs: #2, 3(8%)
minecraft.killed.zombified_piglin: #3, 34717(6%)
minecraft.dropped.dirt: #4, 8897(9%)
minecraft.picked_up.spruce_slab: #4, 1993(9%)
minecraft.dropped.blast_furnace: #3, 2(20%)
minecraft.dropped.diamond: #4, 1235(10%)
minecraft.mined.diorite: #4, 34198(9%)
minecraft.mined.jungle_stairs: #4, 147(11%)
minecraft.dropped.iron_leggings: #4, 21(13%)
minecraft.used.observer: #4, 2124(9%)
minecraft.dropped.cyan_concrete_powder: #2, 8(4%)
minecraft.dropped.light_blue_stained_glass: #3, 70(13%)
minecraft.used.smooth_stone: #4, 12188(9%)
minecraft.mined.jungle_sign: #4, 11(11%)
minecraft.used.jungle_log: #4, 1802(9%)
minecraft.crafted.jungle_planks: #4, 26480(8%)
minecraft.used.light_weighted_pressure_plate: #3, 883(6%)
minecraft.mined.pink_stained_glass_pane: #3, 18(15%)
minecraft.dropped.granite: #4, 4573(8%)
minecraft.dropped.brain_coral_fan: #3, 3(20%)
minecraft.crafted.oak_pressure_plate: #4, 14(9%)
minecraft.picked_up.dandelion: #4, 2622(8%)
minecraft.killed.guardian: #3, 2463(6%)
minecraft.dropped.polished_blackstone_pressure_plate: #3, 24(10%)
minecraft.dropped.stone_bricks: #4, 1201(9%)
minecraft.mined.smooth_stone: #4, 2399(7%)
minecraft.broken.bow: #3, 1(14%)
minecraft.picked_up.slime_block: #4, 1081(8%)
minecraft.mined.dirt: #4, 82378(7%)
minecraft.mined.cyan_stained_glass_pane: #3, 58(5%)
minecraft.mined.chest: #4, 1417(7%)
minecraft.dropped.yellow_stained_glass_pane: #3, 18(11%)
minecraft.picked_up.cyan_concrete_powder: #3, 741(4%)
minecraft.dropped.iron_ore: #4, 719(8%)
minecraft.dropped.prismarine_shard: #3, 969(5%)
minecraft.used.white_concrete: #4, 19875(7%)
minecraft.used.piston: #4, 1003(7%)
minecraft.picked_up.blast_furnace: #4, 49(7%)
minecraft.used.jungle_wood: #3, 416(4%)
minecraft.dropped.white_terracotta: #4, 143(8%)
minecraft.dropped.prismarine_crystals: #3, 638(3%)
minecraft.used.cyan_concrete: #4, 2331(7%)
minecraft.picked_up.light_weighted_pressure_plate: #3, 91(5%)
minecraft.picked_up.iron_block: #4, 6428(7%)
minecraft.dropped.diorite: #4, 4677(7%)
minecraft.mined.magenta_wool: #3, 37(5%)
minecraft.picked_up.dead_horn_coral: #3, 1(17%)
minecraft.mined.dead_horn_coral: #3, 1(17%)
minecraft.crafted.mossy_stone_brick_stairs: #3, 4(12%)
minecraft.dropped.wooden_shovel: #3, 9(4%)
minecraft.crafted.jungle_door: #3, 48(4%)
minecraft.crafted.light_blue_dye: #4, 1389(6%)
minecraft.picked_up.yellow_concrete: #5, 2018(11%)
minecraft.dropped.cyan_stained_glass_pane: #4, 56(16%)
minecraft.dropped.cauldron: #3, 9(4%)
minecraft.picked_up.stone_brick_stairs: #4, 516(6%)
minecraft.used.music_disc_blocks: #3, 1(9%)
minecraft.mined.lapis_ore: #4, 1023(6%)
minecraft.crafted.piston: #5, 1871(9%)
minecraft.mined.heavy_weighted_pressure_plate: #3, 9(2%)
minecraft.dropped.oak_fence: #4, 60(6%)
minecraft.used.jungle_door: #3, 33(3%)
minecraft.crafted.stone_shovel: #4, 54(8%)
minecraft.used.stripped_spruce_wood: #4, 125(15%)
minecraft.mined.jungle_wall_sign: #4, 20(9%)
minecraft.dropped.minecart: #4, 54(7%)
minecraft.crafted.warped_stairs: #4, 176(7%)
minecraft.used.redstone_block: #5, 964(9%)
minecraft.picked_up.music_disc_far: #3, 3(5%)
minecraft.dropped.glistering_melon_slice: #3, 21(5%)
minecraft.mined.pink_stained_glass: #3, 3(4%)
minecraft.crafted.light_blue_bed: #4, 4(10%)
minecraft.dropped.white_stained_glass: #4, 65(7%)
minecraft.used.mossy_cobblestone: #4, 166(6%)
minecraft.mined.wither_skeleton_wall_skull: #3, 1(4%)
minecraft.used.rail: #5, 4667(8%)
minecraft.crafted.golden_shovel: #3, 2(1%)
minecraft.picked_up.beehive: #4, 64(6%)
minecraft.mined.crimson_door: #4, 3(12%)
minecraft.crafted.white_bed: #5, 47(8%)
minecraft.crafted.polished_basalt: #5, 2267(9%)
minecraft.dropped.firework_star: #3, 1(1%)
minecraft.used.lime_wool: #4, 278(6%)
minecraft.crafted.redstone: #5, 24027(8%)
minecraft.used.purple_terracotta: #4, 650(9%)
minecraft.mined.andesite: #5, 34446(8%)
minecraft.mined.observer: #5, 556(9%)
minecraft.dropped.pumpkin_seeds: #4, 609(5%)
minecraft.used.spruce_slab: #5, 4183(9%)
minecraft.picked_up.smooth_stone: #5, 3544(8%)
minecraft.used.wither_rose: #4, 363(5%)
minecraft.dropped.stone_pickaxe: #4, 26(5%)
minecraft.used.heavy_weighted_pressure_plate: #4, 27(5%)
minecraft.mined.oak_stairs: #5, 158(8%)
minecraft.picked_up.observer: #5, 661(8%)
minecraft.mined.comparator: #5, 178(8%)
minecraft.picked_up.diamond: #5, 4967(8%)
minecraft.crafted.observer: #5, 1571(8%)
minecraft.used.diamond_pickaxe: #5, 649285(7%)
minecraft.crafted.light_gray_dye: #5, 2573(8%)
minecraft.picked_up.pink_stained_glass_pane: #4, 18(13%)
minecraft.used.magma_block: #5, 4917(8%)
minecraft.dropped.sticky_piston: #4, 32(6%)
minecraft.picked_up.birch_boat: #5, 36(9%)
minecraft.dropped.observer: #4, 50(6%)
minecraft.dropped.stripped_jungle_log: #4, 5(6%)
minecraft.mined.polished_blackstone_pressure_plate: #4, 13(6%)
minecraft.used.magenta_concrete: #4, 361(5%)
minecraft.mined.iron_block: #5, 5197(7%)
minecraft.picked_up.oak_stairs: #5, 184(7%)
minecraft.mined.redstone_wall_torch: #5, 127(7%)
minecraft.mined.bamboo: #5, 1215(7%)
minecraft.used.birch_boat: #5, 33(9%)
minecraft.mined.glass: #5, 1513(7%)
minecraft.used.white_concrete_powder: #5, 21402(7%)
minecraft.dropped.polished_basalt: #4, 47(6%)
minecraft.used.cod_bucket: #4, 4(9%)
minecraft.picked_up.diamond_block: #5, 787(7%)
minecraft.crafted.chainmail_boots: #4, 7(9%)
minecraft.dropped.azure_bluet: #4, 65(4%)
minecraft.picked_up.cyan_stained_glass_pane: #4, 86(4%)
minecraft.used.blackstone_stairs: #4, 282(3%)
minecraft.crafted.white_concrete_powder: #5, 21432(7%)
minecraft.dropped.polished_granite: #4, 54(4%)
minecraft.used.netherite_sword: #4, 17720(3%)
minecraft.dropped.sunflower: #4, 14(6%)
minecraft.dropped.red_concrete_powder: #4, 44(6%)
minecraft.mined.piston_head: #5, 20(8%)
minecraft.used.blue_concrete_powder: #5, 1538(8%)
minecraft.used.polished_blackstone_pressure_plate: #4, 29(4%)
minecraft.used.pink_concrete: #4, 351(3%)
minecraft.crafted.jungle_wood: #4, 402(4%)
minecraft.dropped.orange_terracotta: #5, 297(7%)
minecraft.dropped.stone_brick_slab: #4, 238(3%)
minecraft.dropped.chest: #5, 110(7%)
minecraft.picked_up.oxeye_daisy: #5, 1225(7%)
minecraft.dropped.wheat_seeds: #5, 6550(6%)
minecraft.dropped.crimson_slab: #4, 22(8%)
minecraft.crafted.stone_pressure_plate: #5, 187(6%)
minecraft.dropped.cobblestone_stairs: #4, 13(3%)
minecraft.used.magenta_stained_glass_pane: #4, 20(3%)
minecraft.picked_up.map: #4, 16(3%)
minecraft.dropped.white_tulip: #4, 3(3%)
minecraft.mined.honey_block: #5, 298(6%)
minecraft.dropped.smooth_stone_slab: #5, 379(7%)
minecraft.used.blast_furnace: #5, 80(6%)
minecraft.dropped.polished_blackstone_slab: #5, 42(9%)
minecraft.mined.piston: #5, 242(5%)
minecraft.mined.emerald_ore: #5, 45(9%)
minecraft.used.fire_charge: #4, 6(5%)
minecraft.dropped.lime_stained_glass_pane: #4, 12(3%)
minecraft.mined.pink_concrete: #4, 232(2%)
minecraft.picked_up.pink_concrete: #4, 201(1%)
minecraft.dropped.jungle_button: #5, 7(10%)
minecraft.mined.stone_brick_stairs: #5, 274(5%)
minecraft.mined.light_blue_wool: #5, 80(8%)
minecraft.dropped.cut_sandstone_slab: #4, 11(2%)
minecraft.crafted.white_wool: #5, 2163(6%)
minecraft.dropped.end_stone_bricks: #5, 68(7%)
minecraft.used.pink_stained_glass_pane: #4, 41(2%)
minecraft.mined.diamond_ore: #5, 2171(5%)
minecraft.dropped.pink_stained_glass: #4, 3(2%)
minecraft.picked_up.azure_bluet: #5, 1170(5%)
minecraft.dropped.purple_stained_glass_pane: #4, 8(2%)
minecraft.dropped.green_stained_glass: #4, 2(1%)
minecraft.picked_up.target: #5, 67(7%)
minecraft.picked_up.jungle_button: #5, 11(7%)
minecraft.picked_up.polished_blackstone_pressure_plate: #5, 26(7%)
minecraft.dropped.gray_bed: #4, 1(0%)
minecraft.dropped.end_rod: #5, 149(5%)
minecraft.used.crimson_door: #5, 7(10%)
minecraft.dropped.golden_shovel: #5, 2(11%)
minecraft.crafted.green_wool: #5, 175(8%)
minecraft.mined.jungle_leaves: #5, 4097(4%)
minecraft.dropped.lime_wool: #5, 129(8%)
minecraft.dropped.golden_sword: #5, 162(5%)
minecraft.dropped.jungle_leaves: #5, 185(6%)
minecraft.mined.yellow_concrete: #6, 2050(10%)
minecraft.mined.red_concrete_powder: #5, 32(5%)
minecraft.broken.shears: #5, 104(4%)
minecraft.used.spruce_boat: #5, 19(5%)
minecraft.mined.purple_terracotta: #5, 235(11%)
minecraft.dropped.jungle_boat: #5, 5(8%)
minecraft.mined.hopper: #6, 933(8%)
minecraft.dropped.fern: #5, 29(5%)
minecraft.mined.jungle_slab: #5, 284(4%)
minecraft.used.beehive: #5, 99(5%)
minecraft.crafted.chest_minecart: #5, 11(5%)
minecraft.dropped.cactus: #5, 336(3%)
minecraft.used.target: #5, 104(5%)
minecraft.used.chest_minecart: #5, 10(5%)
minecraft.crafted.shears: #5, 524(3%)
minecraft.mined.furnace: #6, 236(7%)
minecraft.crafted.blue_carpet: #5, 264(6%)
minecraft.mined.jungle_button: #5, 5(5%)
minecraft.picked_up.purple_terracotta: #5, 235(8%)
minecraft.used.polished_basalt: #6, 2117(7%)
minecraft.used.dispenser: #6, 271(7%)
minecraft.crafted.activator_rail: #5, 12(5%)
minecraft.picked_up.repeater: #6, 647(7%)
minecraft.mined.trapped_chest: #5, 1(11%)
minecraft.picked_up.chest: #6, 1726(6%)
minecraft.used.light_blue_shulker_box: #6, 421(7%)
minecraft.picked_up.light_blue_shulker_box: #6, 415(7%)
minecraft.used.pink_carpet: #5, 121(3%)
minecraft.crafted.dark_oak_pressure_plate: #6, 8(11%)
minecraft.mined.jungle_log: #6, 8804(7%)
minecraft.mined.light_blue_shulker_box: #6, 413(7%)
minecraft.crafted.iron_ingot: #6, 34568(6%)
minecraft.used.purple_shulker_box: #5, 21(3%)
minecraft.picked_up.jungle_log: #6, 8920(6%)
minecraft.mined.jungle_wood: #5, 53(4%)
minecraft.custom.open_enderchest: #6, 5762(6%)
minecraft.picked_up.yellow_terracotta: #6, 5566(7%)
minecraft.picked_up.purple_shulker_box: #5, 21(4%)
minecraft.picked_up.prismarine_shard: #5, 1342(2%)
minecraft.crafted.blue_concrete_powder: #6, 1624(7%)
minecraft.dropped.redstone: #6, 737(6%)
minecraft.dropped.yellow_dye: #5, 17(4%)
minecraft.picked_up.jungle_wood: #5, 44(3%)
minecraft.dropped.stripped_oak_log: #5, 6(3%)
minecraft.mined.light_gray_shulker_box: #6, 179(7%)
minecraft.mined.purple_shulker_box: #5, 21(4%)
minecraft.crafted.diamond_sword: #6, 10(6%)
minecraft.mined.cobblestone_slab: #6, 246(6%)
minecraft.used.light_gray_shulker_box: #6, 186(7%)
minecraft.dropped.smithing_table: #5, 6(5%)
minecraft.mined.grass: #6, 4445(6%)
minecraft.mined.light_weighted_pressure_plate: #5, 19(3%)
minecraft.mined.magenta_concrete: #5, 152(2%)
minecraft.picked_up.emerald_block: #5, 122(1%)
minecraft.crafted.jungle_fence_gate: #5, 64(2%)
