stat, rank, value, (percentage) 
minecraft.used.rail: #1, 9151(16%)
minecraft.used.light_blue_concrete: #2, 9223(25%)
minecraft.crafted.golden_apple: #1, 948(24%)
minecraft.used.red_carpet: #2, 4741(22%)
minecraft.dropped.stone: #1, 54065(18%)
minecraft.crafted.rail: #1, 6192(17%)
minecraft.picked_up.chipped_anvil: #1, 93(18%)
minecraft.mined.dropper: #1, 456(17%)
minecraft.mined.sugar_cane: #1, 14650(17%)
minecraft.used.white_carpet: #1, 6773(17%)
minecraft.picked_up.polished_blackstone_stairs: #1, 464(20%)
minecraft.picked_up.damaged_anvil: #1, 48(20%)
minecraft.mined.crimson_sign: #1, 13(57%)
minecraft.dropped.crimson_sign: #1, 31(56%)
minecraft.used.repeater: #1, 3166(15%)
minecraft.crafted.book: #1, 1961(18%)
minecraft.dropped.sticky_piston: #1, 163(33%)
minecraft.used.cracked_polished_blackstone_bricks: #2, 1409(27%)
minecraft.used.green_wool: #1, 1319(24%)
minecraft.used.soul_torch: #1, 287(35%)
minecraft.crafted.magma_block: #1, 1376(77%)
minecraft.picked_up.dispenser: #1, 414(17%)
minecraft.dropped.yellow_concrete_powder: #1, 443(55%)
minecraft.crafted.nether_bricks: #1, 9730(18%)
minecraft.picked_up.iron_horse_armor: #1, 9(27%)
minecraft.dropped.beacon: #1, 39(42%)
minecraft.picked_up.repeater: #1, 1581(17%)
minecraft.picked_up.lodestone: #1, 86(76%)
minecraft.mined.lodestone: #1, 86(76%)
minecraft.picked_up.blue_shulker_box: #2, 486(25%)
minecraft.crafted.blue_shulker_box: #1, 22(29%)
minecraft.used.glass_bottle: #2, 2894(21%)
minecraft.picked_up.redstone_torch: #1, 1558(15%)
minecraft.dropped.andesite: #1, 7382(15%)
minecraft.picked_up.blackstone_slab: #1, 992(19%)
minecraft.mined.soul_lantern: #1, 93(17%)
minecraft.dropped.polished_blackstone_stairs: #1, 72(61%)
minecraft.used.dropper: #1, 1217(15%)
minecraft.mined.oak_door: #1, 24(24%)
minecraft.crafted.red_shulker_box: #2, 56(21%)
minecraft.picked_up.magenta_carpet: #2, 256(29%)
minecraft.used.cooked_chicken: #2, 1098(25%)
minecraft.dropped.granite: #1, 8877(15%)
minecraft.mined.blue_shulker_box: #2, 483(25%)
minecraft.picked_up.light_blue_wool: #2, 3062(28%)
minecraft.crafted.blue_terracotta: #1, 5632(35%)
minecraft.broken.fishing_rod: #1, 10(25%)
minecraft.mined.light_gray_wall_banner: #1, 18(58%)
minecraft.dropped.blaze_rod: #1, 256(25%)
minecraft.crafted.cooked_cod: #2, 994(28%)
minecraft.picked_up.comparator: #1, 708(15%)
minecraft.picked_up.lime_wool: #2, 2649(25%)
minecraft.used.light_blue_concrete_powder: #2, 10397(28%)
minecraft.mined.iron_door: #2, 78(26%)
minecraft.mined.polished_blackstone_slab: #2, 1059(20%)
minecraft.picked_up.red_banner: #1, 21(24%)
minecraft.crafted.dark_oak_boat: #1, 9(38%)
minecraft.mined.rail: #1, 4375(14%)
minecraft.crafted.hopper: #1, 4560(14%)
minecraft.dropped.paper: #2, 5822(20%)
minecraft.picked_up.birch_trapdoor: #1, 237(16%)
minecraft.crafted.light_blue_concrete_powder: #2, 10880(27%)
minecraft.dropped.cracked_stone_bricks: #2, 146(33%)
minecraft.used.chiseled_stone_bricks: #2, 884(24%)
minecraft.mined.lever: #1, 235(14%)
minecraft.crafted.lever: #1, 744(14%)
minecraft.mined.coal_block: #2, 506(24%)
minecraft.dropped.water_bucket: #2, 80(21%)
minecraft.picked_up.red_nether_brick_slab: #2, 1175(36%)
minecraft.picked_up.nether_brick_slab: #2, 1567(19%)
minecraft.dropped.smooth_red_sandstone: #1, 26(81%)
minecraft.mined.blackstone_wall: #1, 138(18%)
minecraft.picked_up.light_gray_banner: #1, 29(29%)
minecraft.dropped.golden_horse_armor: #1, 9(64%)
minecraft.mined.cobblestone_slab: #2, 749(19%)
minecraft.dropped.oak_trapdoor: #2, 150(23%)
minecraft.used.dispenser: #1, 536(14%)
minecraft.used.pufferfish_bucket: #1, 39(24%)
minecraft.used.sugar_cane: #1, 1959(13%)
minecraft.picked_up.red_concrete: #2, 3379(18%)
minecraft.crafted.jungle_fence_gate: #2, 926(31%)
minecraft.killed.iron_golem: #2, 133(22%)
minecraft.picked_up.lava_bucket: #2, 45(20%)
minecraft.mined.purple_concrete: #2, 1045(21%)
minecraft.used.comparator: #2, 1586(17%)
minecraft.mined.cobblestone_stairs: #2, 275(20%)
minecraft.crafted.yellow_dye: #2, 4114(17%)
minecraft.dropped.iron_bars: #2, 1447(25%)
minecraft.crafted.red_nether_brick_stairs: #1, 192(50%)
minecraft.used.purple_concrete: #2, 1198(23%)
minecraft.mined.twisting_vines: #2, 175(23%)
minecraft.dropped.coal_ore: #1, 1113(15%)
minecraft.dropped.smithing_table: #1, 55(42%)
minecraft.picked_up.golden_apple: #2, 121(20%)
minecraft.used.wither_skeleton_skull: #2, 280(25%)
minecraft.dropped.diamond_axe: #1, 20(15%)
minecraft.picked_up.crimson_button: #1, 22(49%)
minecraft.used.light_blue_terracotta: #2, 2433(30%)
minecraft.dropped.polished_blackstone_bricks: #1, 388(22%)
minecraft.used.jungle_fence_gate: #2, 870(30%)
minecraft.used.magenta_wool: #2, 400(26%)
minecraft.crafted.cauldron: #2, 349(19%)
minecraft.used.mossy_stone_bricks: #1, 399(15%)
minecraft.dropped.dragon_breath: #1, 95(58%)
minecraft.dropped.jungle_boat: #1, 17(26%)
minecraft.mined.red_wool: #2, 520(19%)
minecraft.mined.red_carpet: #2, 373(18%)
minecraft.picked_up.minecart: #1, 519(11%)
minecraft.crafted.diorite_stairs: #1, 80(40%)
minecraft.crafted.green_concrete_powder: #2, 11784(20%)
minecraft.crafted.fire_charge: #1, 1986(70%)
minecraft.custom.pig_one_cm: #1, 110842(70%)
minecraft.picked_up.white_shulker_box: #2, 917(17%)
minecraft.mined.white_shulker_box: #2, 899(17%)
minecraft.dropped.barrel: #2, 88(27%)
minecraft.used.white_shulker_box: #2, 919(17%)
minecraft.picked_up.lingering_potion: #1, 63(93%)
minecraft.dropped.iron_ore: #2, 1630(18%)
minecraft.picked_up.iron_door: #2, 97(18%)
minecraft.dropped.polished_blackstone: #2, 164(27%)
minecraft.used.yellow_concrete: #2, 5224(19%)
minecraft.dropped.jungle_door: #1, 18(30%)
minecraft.mined.weeping_vines_plant: #2, 238(18%)
minecraft.mined.cartography_table: #1, 22(14%)
minecraft.used.magenta_concrete_powder: #2, 3882(24%)
minecraft.mined.wither_skeleton_wall_skull: #1, 23(88%)
minecraft.used.chiseled_polished_blackstone: #2, 905(20%)
minecraft.used.purple_shulker_box: #2, 170(28%)
minecraft.dropped.nether_brick_stairs: #1, 65(33%)
minecraft.mined.oak_trapdoor: #1, 242(12%)
minecraft.dropped.red_banner: #1, 5(24%)
minecraft.mined.orange_concrete: #2, 2860(19%)
minecraft.mined.anvil: #1, 114(11%)
minecraft.picked_up.tripwire_hook: #2, 196(16%)
minecraft.mined.blue_wool: #2, 182(20%)
minecraft.picked_up.chorus_fruit: #2, 4553(17%)
minecraft.crafted.orange_concrete_powder: #2, 5424(21%)
minecraft.mined.polished_blackstone_brick_wall: #2, 100(22%)
minecraft.broken.shield: #1, 8(42%)
minecraft.picked_up.bamboo: #2, 28641(15%)
minecraft.crafted.purple_shulker_box: #1, 10(28%)
minecraft.mined.crimson_button: #1, 10(50%)
minecraft.custom.play_one_minute: #2, 162956425(7%)
minecraft.dropped.end_stone: #2, 497(21%)
minecraft.dropped.redstone_lamp: #1, 27(42%)
minecraft.mined.red_concrete: #2, 3416(16%)
minecraft.picked_up.purple_shulker_box: #2, 173(29%)
minecraft.dropped.warped_slab: #1, 166(41%)
minecraft.crafted.purple_concrete_powder: #2, 3232(20%)
minecraft.picked_up.oak_trapdoor: #1, 316(11%)
minecraft.dropped.jungle_button: #1, 14(20%)
minecraft.used.glass: #2, 11855(14%)
minecraft.picked_up.polished_blackstone_slab: #2, 1069(15%)
minecraft.used.yellow_concrete_powder: #2, 5574(19%)
minecraft.used.crimson_stem: #2, 1344(16%)
minecraft.crafted.yellow_concrete_powder: #2, 6832(21%)
minecraft.mined.pink_stained_glass_pane: #1, 48(39%)
minecraft.dropped.stone_bricks: #2, 2302(17%)
minecraft.crafted.tipped_arrow: #1, 472(39%)
minecraft.crafted.red_dye: #2, 7376(14%)
minecraft.killed.ender_dragon: #1, 5(38%)
minecraft.mined.redstone_block: #2, 582(14%)
minecraft.picked_up.chiseled_nether_bricks: #2, 148(21%)
minecraft.picked_up.magenta_concrete: #2, 1420(20%)
minecraft.crafted.oak_fence_gate: #2, 275(15%)
minecraft.dropped.warped_stairs: #1, 68(45%)
minecraft.crafted.spruce_boat: #2, 36(19%)
minecraft.dropped.cornflower: #3, 735(25%)
minecraft.used.orange_concrete_powder: #2, 4467(19%)
minecraft.used.nether_bricks: #2, 4948(14%)
minecraft.picked_up.iron_chestplate: #2, 30(14%)
minecraft.dropped.scaffolding: #2, 1715(16%)
minecraft.dropped.diorite: #2, 9770(14%)
minecraft.crafted.crimson_fence_gate: #2, 84(29%)
minecraft.dropped.crimson_planks: #2, 245(23%)
minecraft.mined.lime_carpet: #2, 316(19%)
minecraft.crafted.chiseled_stone_bricks: #2, 2475(23%)
minecraft.dropped.repeater: #2, 204(21%)
minecraft.mined.cracked_nether_bricks: #1, 143(43%)
minecraft.mined.purple_shulker_box: #2, 169(29%)
minecraft.mined.stone_slab: #2, 1772(14%)
minecraft.dropped.iron_horse_armor: #1, 9(53%)
minecraft.mined.chiseled_nether_bricks: #2, 152(21%)
minecraft.dropped.iron_hoe: #2, 8(22%)
minecraft.used.lime_stained_glass: #2, 5438(16%)
minecraft.dropped.sea_lantern: #2, 425(19%)
minecraft.dropped.dark_oak_boat: #1, 3(30%)
minecraft.used.crimson_fence_gate: #2, 56(28%)
minecraft.crafted.gold_ingot: #3, 154994(17%)
minecraft.picked_up.polished_blackstone_brick_wall: #2, 96(19%)
minecraft.mined.glass: #2, 2773(13%)
minecraft.picked_up.iron_leggings: #2, 28(13%)
minecraft.dropped.cooked_beef: #2, 494(14%)
minecraft.dropped.splash_potion: #2, 194(20%)
minecraft.dropped.hopper: #2, 95(17%)
minecraft.used.magenta_concrete: #2, 1492(22%)
minecraft.killed.wandering_trader: #2, 35(15%)
minecraft.picked_up.chicken: #3, 1085(17%)
minecraft.picked_up.red_nether_bricks: #2, 737(25%)
minecraft.used.minecart: #2, 429(12%)
minecraft.picked_up.diamond_chestplate: #2, 34(14%)
minecraft.dropped.green_shulker_box: #1, 3(50%)
minecraft.dropped.crimson_button: #1, 25(50%)
minecraft.dropped.mossy_stone_brick_wall: #1, 9(50%)
minecraft.dropped.wheat_seeds: #2, 13690(12%)
minecraft.picked_up.crimson_roots: #2, 3079(13%)
minecraft.mined.orange_carpet: #2, 178(19%)
minecraft.used.red_shulker_box: #2, 1042(12%)
minecraft.mined.red_shulker_box: #2, 1025(12%)
minecraft.picked_up.red_shulker_box: #2, 1042(12%)
