stat, rank, value, (percentage) 
minecraft.crafted.warped_slab: #1, 1056(17%)
minecraft.used.green_glazed_terracotta: #1, 116(50%)
minecraft.picked_up.white_concrete: #1, 15492(13%)
minecraft.picked_up.carved_pumpkin: #2, 935(18%)
minecraft.used.carved_pumpkin: #1, 89(20%)
minecraft.used.barrel: #1, 1200(13%)
minecraft.picked_up.honeycomb_block: #2, 588(27%)
minecraft.dropped.rabbit_hide: #2, 66(27%)
minecraft.crafted.honey_bottle: #1, 80(74%)
minecraft.picked_up.sunflower: #1, 919(16%)
minecraft.crafted.brown_concrete_powder: #2, 7304(23%)
minecraft.picked_up.golden_helmet: #1, 76(12%)
minecraft.mined.yellow_carpet: #2, 366(23%)
minecraft.crafted.cracked_polished_blackstone_bricks: #1, 256(36%)
minecraft.used.powered_rail: #1, 3243(12%)
minecraft.mined.lime_concrete: #2, 2844(19%)
minecraft.crafted.powered_rail: #1, 2460(12%)
minecraft.picked_up.barrel: #1, 560(12%)
minecraft.crafted.pink_concrete_powder: #2, 5328(24%)
minecraft.dropped.tropical_fish_bucket: #1, 626(95%)
minecraft.used.orange_stained_glass: #2, 3861(26%)
minecraft.crafted.gray_concrete_powder: #2, 59328(18%)
minecraft.dropped.dried_kelp: #2, 2318(35%)
minecraft.dropped.honeycomb: #1, 833(71%)
minecraft.used.brain_coral: #1, 15(41%)
minecraft.crafted.red_banner: #2, 128(27%)
minecraft.picked_up.bone: #2, 18224(15%)
minecraft.picked_up.gray_glazed_terracotta: #1, 59(35%)
minecraft.crafted.slime_ball: #2, 12211(22%)
minecraft.crafted.dispenser: #2, 674(16%)
minecraft.used.prismarine_wall: #1, 590(39%)
minecraft.crafted.bucket: #2, 959(16%)
minecraft.crafted.chest_minecart: #2, 54(25%)
minecraft.crafted.golden_sword: #1, 11(69%)
minecraft.picked_up.gray_shulker_box: #2, 740(16%)
minecraft.picked_up.kelp: #2, 34419(16%)
minecraft.mined.iron_bars: #2, 858(16%)
minecraft.crafted.white_dye: #2, 23834(15%)
minecraft.mined.ender_chest: #2, 2304(15%)
minecraft.mined.green_glazed_terracotta: #1, 34(53%)
minecraft.custom.interact_with_beacon: #1, 182(11%)
minecraft.used.ender_chest: #2, 2338(15%)
minecraft.mined.gilded_blackstone: #2, 212(20%)
minecraft.picked_up.pink_concrete_powder: #2, 6116(33%)
minecraft.picked_up.horn_coral_block: #2, 433(30%)
minecraft.mined.horn_coral_block: #2, 435(30%)
minecraft.picked_up.ender_chest: #2, 2369(15%)
minecraft.mined.birch_sapling: #2, 122(20%)
minecraft.crafted.crimson_sign: #2, 108(24%)
minecraft.mined.magenta_glazed_terracotta: #1, 63(84%)
minecraft.dropped.chainmail_helmet: #2, 25(22%)
minecraft.mined.gray_shulker_box: #2, 732(17%)
minecraft.mined.jungle_log: #2, 20611(16%)
minecraft.crafted.purple_wool: #1, 197(41%)
minecraft.dropped.cooked_rabbit: #1, 18(49%)
minecraft.mined.lime_terracotta: #2, 177(20%)
minecraft.mined.smooth_stone: #2, 4728(15%)
minecraft.dropped.fire_charge: #2, 261(31%)
minecraft.used.gray_shulker_box: #2, 737(16%)
minecraft.used.cocoa_beans: #2, 3380(19%)
minecraft.crafted.gray_dye: #2, 9250(15%)
minecraft.used.dead_bush: #2, 221(21%)
minecraft.used.honey_bottle: #2, 204(37%)
minecraft.picked_up.brain_coral_block: #2, 477(30%)
