stat, rank, value, (percentage) 
minecraft.custom.inspect_dropper: #5, 2128(7%)
minecraft.mined.terracotta: #5, 30460(8%)
minecraft.mined.orange_terracotta: #5, 10848(8%)
minecraft.used.yellow_stained_glass_pane: #4, 194(5%)
minecraft.dropped.cyan_terracotta: #4, 296(4%)
minecraft.mined.dark_prismarine_slab: #4, 70(8%)
minecraft.mined.red_shulker_box: #5, 609(7%)
minecraft.mined.chiseled_polished_blackstone: #4, 42(5%)
minecraft.dropped.warped_stem: #4, 64(7%)
minecraft.picked_up.cyan_banner: #4, 14(13%)
minecraft.crafted.wooden_hoe: #4, 2(7%)
minecraft.picked_up.birch_door: #4, 18(6%)
minecraft.picked_up.red_shulker_box: #5, 613(7%)
minecraft.used.red_shulker_box: #5, 610(7%)
minecraft.picked_up.terracotta: #5, 30283(8%)
minecraft.crafted.netherite_helmet: #4, 1(7%)
minecraft.mined.warped_slab: #5, 89(9%)
minecraft.mined.stripped_spruce_wood: #4, 67(7%)
minecraft.picked_up.golden_leggings: #5, 36(7%)
minecraft.mined.potted_blue_orchid: #4, 2(12%)
minecraft.mined.cartography_table: #5, 14(9%)
minecraft.used.netherite_pickaxe: #5, 499194(8%)
minecraft.picked_up.leather_boots: #5, 33(7%)
minecraft.picked_up.birch_sapling: #5, 1165(7%)
minecraft.picked_up.red_mushroom: #5, 390(7%)
minecraft.used.azure_bluet: #4, 36(5%)
minecraft.used.flower_pot: #5, 167(8%)
minecraft.mined.stone_bricks: #5, 5351(7%)
minecraft.picked_up.golden_chestplate: #5, 31(7%)
minecraft.mined.cyan_stained_glass_pane: #4, 55(5%)
minecraft.crafted.birch_door: #4, 21(5%)
minecraft.killed.husk: #5, 61(8%)
minecraft.used.detector_rail: #5, 39(8%)
minecraft.picked_up.light_blue_banner: #4, 13(7%)
minecraft.picked_up.red_carpet: #5, 280(7%)
minecraft.mined.sugar_cane: #5, 5965(7%)
minecraft.crafted.bow: #5, 419(7%)
minecraft.killed.piglin: #5, 140(6%)
minecraft.picked_up.stick: #5, 8014(7%)
minecraft.dropped.stone_shovel: #4, 22(5%)
minecraft.mined.redstone_block: #5, 280(7%)
minecraft.dropped.purple_bed: #4, 1(8%)
minecraft.used.green_stained_glass: #4, 386(4%)
minecraft.used.shroomlight: #5, 603(7%)
minecraft.broken.iron_helmet: #4, 1(7%)
minecraft.crafted.pink_banner: #4, 5(9%)
minecraft.dropped.gray_stained_glass_pane: #4, 47(5%)
minecraft.picked_up.birch_stairs: #5, 130(9%)
minecraft.picked_up.dead_horn_coral_fan: #4, 5(8%)
minecraft.picked_up.golden_boots: #5, 31(6%)
minecraft.mined.cake: #4, 2(7%)
minecraft.mined.lime_carpet: #5, 155(9%)
minecraft.crafted.gray_wool: #4, 127(4%)
minecraft.picked_up.iron_trapdoor: #5, 465(7%)
minecraft.picked_up.gravel: #5, 48766(6%)
minecraft.mined.glowstone: #5, 686(6%)
minecraft.used.black_concrete_powder: #5, 9886(7%)
minecraft.picked_up.piston: #5, 456(6%)
minecraft.picked_up.conduit: #4, 2(6%)
minecraft.dropped.beehive: #4, 5(6%)
minecraft.crafted.jukebox: #5, 8(9%)
minecraft.used.lantern: #5, 822(6%)
minecraft.mined.kelp: #5, 686(7%)
minecraft.crafted.nether_brick_fence: #4, 102(4%)
minecraft.used.nether_brick_stairs: #5, 612(9%)
minecraft.dropped.netherite_shovel: #5, 6(9%)
minecraft.mined.conduit: #4, 2(7%)
minecraft.used.poppy: #5, 33(8%)
minecraft.crafted.smithing_table: #5, 131(6%)
minecraft.used.terracotta: #5, 2816(7%)
minecraft.custom.damage_absorbed: #5, 676(8%)
minecraft.killed.ender_dragon: #4, 1(8%)
minecraft.used.light_blue_stained_glass: #4, 1019(3%)
minecraft.picked_up.pumpkin_seeds: #5, 1829(6%)
minecraft.mined.horn_coral: #4, 19(3%)
minecraft.dropped.allium: #4, 9(5%)
minecraft.mined.brain_coral: #4, 17(3%)
minecraft.dropped.brown_mushroom: #5, 189(7%)
minecraft.mined.light_blue_stained_glass_pane: #4, 78(3%)
minecraft.crafted.green_shulker_box: #5, 10(10%)
minecraft.used.polished_blackstone_brick_wall: #5, 111(8%)
minecraft.mined.tube_coral_fan: #4, 14(3%)
minecraft.mined.birch_trapdoor: #5, 77(7%)
minecraft.mined.bubble_coral_fan: #4, 15(4%)
minecraft.used.smooth_sandstone_stairs: #4, 1712(2%)
minecraft.crafted.nether_wart_block: #4, 4(5%)
minecraft.mined.oak_slab: #5, 299(6%)
minecraft.crafted.light_blue_dye: #5, 1340(6%)
minecraft.used.ender_pearl: #5, 949(6%)
minecraft.mined.purple_stained_glass: #4, 69(3%)
minecraft.crafted.brick: #5, 25634(7%)
minecraft.used.tripwire_hook: #5, 44(6%)
minecraft.mined.warped_planks: #5, 72(8%)
minecraft.mined.brain_coral_fan: #4, 13(3%)
minecraft.mined.potted_jungle_sapling: #4, 1(6%)
minecraft.dropped.light_blue_shulker_box: #4, 3(4%)
minecraft.dropped.seagrass: #4, 38(3%)
minecraft.picked_up.andesite: #5, 22304(5%)
minecraft.used.light_gray_stained_glass: #5, 2293(9%)
minecraft.mined.crimson_fungus: #5, 63(6%)
minecraft.used.lever: #5, 387(6%)
minecraft.dropped.orange_shulker_box: #4, 4(3%)
minecraft.dropped.cocoa_beans: #4, 285(2%)
minecraft.used.purple_carpet: #5, 339(7%)
minecraft.picked_up.green_bed: #4, 17(3%)
minecraft.mined.netherrack: #5, 125788(6%)
minecraft.used.egg: #5, 590(6%)
minecraft.mined.bubble_coral: #4, 14(3%)
minecraft.crafted.oak_fence_gate: #5, 112(6%)
minecraft.crafted.iron_nugget: #5, 10568(6%)
minecraft.mined.birch_stairs: #5, 103(8%)
minecraft.mined.red_mushroom: #5, 55(6%)
minecraft.crafted.cooked_rabbit: #4, 2(6%)
minecraft.used.shield: #4, 27(3%)
minecraft.dropped.birch_fence_gate: #4, 3(5%)
minecraft.mined.light_gray_glazed_terracotta: #4, 19(5%)
minecraft.picked_up.yellow_stained_glass: #5, 263(9%)
minecraft.crafted.black_carpet: #5, 3927(6%)
minecraft.dropped.pink_tulip: #4, 3(3%)
minecraft.mined.warped_fungus: #5, 125(6%)
minecraft.crafted.black_dye: #5, 6761(5%)
minecraft.mined.dead_bush: #5, 354(5%)
minecraft.picked_up.cyan_glazed_terracotta: #4, 10(5%)
minecraft.crafted.red_carpet: #5, 1155(5%)
minecraft.picked_up.dead_horn_coral_block: #4, 1(4%)
minecraft.crafted.bowl: #4, 8(2%)
minecraft.picked_up.sea_pickle: #5, 270(6%)
minecraft.mined.spruce_door: #5, 8(8%)
minecraft.picked_up.quartz: #5, 8860(5%)
minecraft.mined.dead_horn_coral_block: #4, 1(3%)
minecraft.crafted.gray_carpet: #5, 2193(6%)
minecraft.used.oak_log: #5, 2774(5%)
minecraft.used.light_gray_glazed_terracotta: #4, 35(2%)
minecraft.dropped.quartz_slab: #4, 42(1%)
minecraft.dropped.netherite_axe: #5, 5(6%)
minecraft.mined.redstone_torch: #5, 112(5%)
minecraft.crafted.spruce_pressure_plate: #5, 45(7%)
minecraft.used.stone_axe: #5, 308(5%)
minecraft.picked_up.chicken: #6, 584(9%)
minecraft.picked_up.stone_slab: #5, 1665(5%)
minecraft.mined.prismarine_wall: #4, 6(3%)
minecraft.crafted.smooth_stone: #5, 3704(5%)
minecraft.used.lapis_block: #4, 124(1%)
minecraft.mined.pink_stained_glass: #4, 2(2%)
minecraft.picked_up.nether_sprouts: #4, 49(4%)
minecraft.mined.smooth_sandstone: #5, 1199(5%)
minecraft.crafted.golden_carrot: #5, 9664(6%)
minecraft.crafted.iron_helmet: #5, 11(5%)
minecraft.picked_up.shulker_shell: #5, 1159(6%)
minecraft.dropped.orange_dye: #4, 16(1%)
minecraft.used.oak_button: #5, 68(6%)
minecraft.mined.purpur_slab: #5, 61(6%)
minecraft.picked_up.red_nether_brick_slab: #4, 33(1%)
minecraft.picked_up.glistering_melon_slice: #4, 2(2%)
minecraft.used.snowball: #5, 674(6%)
minecraft.used.dark_oak_door: #5, 39(7%)
minecraft.picked_up.warped_door: #5, 6(9%)
minecraft.picked_up.prismarine_wall: #4, 5(2%)
minecraft.picked_up.gray_concrete: #5, 6956(5%)
minecraft.crafted.oak_button: #5, 71(6%)
minecraft.picked_up.acacia_trapdoor: #5, 143(6%)
minecraft.used.cactus: #5, 417(5%)
minecraft.picked_up.end_rod: #5, 841(5%)
minecraft.dropped.magenta_concrete: #4, 2(1%)
minecraft.used.armor_stand: #5, 225(5%)
minecraft.dropped.diorite_slab: #4, 8(1%)
minecraft.picked_up.glowstone: #5, 604(4%)
minecraft.crafted.stone_slab: #6, 5874(9%)
minecraft.dropped.light_gray_shulker_box: #4, 1(1%)
minecraft.mined.white_wool: #5, 200(5%)
minecraft.dropped.brown_concrete: #4, 1(1%)
minecraft.dropped.acacia_fence: #4, 1(1%)
minecraft.dropped.purple_stained_glass: #4, 1(1%)
minecraft.crafted.stonecutter: #5, 81(5%)
minecraft.picked_up.nether_brick_wall: #5, 208(7%)
minecraft.mined.dead_brain_coral_wall_fan: #4, 1(1%)
minecraft.crafted.golden_shovel: #4, 1(1%)
minecraft.used.warped_nylium: #5, 194(5%)
minecraft.used.birch_wood: #5, 155(9%)
minecraft.picked_up.birch_wood: #5, 13(10%)
minecraft.crafted.magma_block: #4, 3(0%)
minecraft.picked_up.orange_tulip: #5, 132(8%)
minecraft.crafted.light_blue_banner: #5, 44(12%)
minecraft.mined.cyan_terracotta: #6, 4321(9%)
minecraft.used.black_glazed_terracotta: #5, 126(11%)
minecraft.crafted.purple_carpet: #5, 309(6%)
minecraft.crafted.blue_wool: #5, 103(7%)
minecraft.dropped.potion: #5, 201(5%)
minecraft.used.sandstone_stairs: #5, 1026(5%)
minecraft.crafted.brown_shulker_box: #5, 10(5%)
minecraft.mined.yellow_wool: #5, 117(7%)
minecraft.used.red_stained_glass_pane: #5, 175(7%)
minecraft.used.brown_stained_glass_pane: #5, 48(9%)
minecraft.mined.red_terracotta: #6, 5953(9%)
minecraft.used.written_book: #5, 1716(4%)
minecraft.picked_up.light_blue_carpet: #5, 97(5%)
minecraft.used.warped_door: #5, 8(8%)
minecraft.broken.flint_and_steel: #5, 4(6%)
minecraft.picked_up.green_terracotta: #5, 147(5%)
minecraft.crafted.blue_stained_glass: #5, 1072(6%)
minecraft.crafted.yellow_stained_glass_pane: #5, 192(5%)
minecraft.crafted.brewing_stand: #5, 54(4%)
minecraft.picked_up.diamond_horse_armor: #5, 3(8%)
minecraft.crafted.red_bed: #5, 6(6%)
minecraft.picked_up.gold_ingot: #6, 1082(8%)
minecraft.mined.pink_bed: #5, 4(6%)
minecraft.picked_up.spruce_sign: #5, 96(3%)
minecraft.dropped.spruce_boat: #5, 3(6%)
minecraft.dropped.wooden_hoe: #5, 2(10%)
minecraft.picked_up.pink_bed: #5, 4(6%)
minecraft.dropped.cooked_mutton: #5, 42(5%)
minecraft.mined.slime_block: #6, 634(8%)
minecraft.picked_up.turtle_egg: #5, 280(5%)
minecraft.crafted.polished_blackstone: #6, 7832(8%)
minecraft.picked_up.cobweb: #5, 188(4%)
minecraft.used.mushroom_stem: #5, 271(4%)
minecraft.mined.infested_stone: #5, 53(5%)
minecraft.used.ice: #5, 1331(3%)
minecraft.used.sand: #6, 26275(7%)
minecraft.used.magenta_terracotta: #5, 98(10%)
minecraft.used.sandstone_slab: #5, 1685(4%)
minecraft.crafted.polished_granite_slab: #5, 42(6%)
minecraft.dropped.wet_sponge: #5, 16(7%)
minecraft.crafted.jack_o_lantern: #5, 152(5%)
minecraft.mined.comparator: #6, 163(7%)
minecraft.dropped.dead_bush: #5, 4(5%)
minecraft.picked_up.cyan_terracotta: #6, 4603(7%)
minecraft.picked_up.dark_oak_boat: #5, 3(7%)
minecraft.picked_up.orange_terracotta: #6, 10861(7%)
minecraft.mined.black_carpet: #5, 1164(3%)
minecraft.used.chest: #6, 2994(7%)
minecraft.crafted.red_dye: #6, 3641(7%)
minecraft.used.polished_blackstone_wall: #5, 461(3%)
minecraft.picked_up.black_glazed_terracotta: #5, 53(5%)
minecraft.used.orange_stained_glass_pane: #5, 154(4%)
minecraft.crafted.nether_brick_wall: #5, 240(5%)
minecraft.crafted.quartz_bricks: #5, 528(5%)
minecraft.custom.pot_flower: #6, 122(7%)
minecraft.dropped.spectral_arrow: #5, 127(4%)
minecraft.picked_up.wooden_hoe: #5, 1(7%)
minecraft.crafted.redstone_lamp: #6, 393(7%)
minecraft.used.chiseled_sandstone: #5, 374(4%)
minecraft.dropped.pink_dye: #5, 13(7%)
minecraft.mined.sandstone_slab: #5, 273(4%)
minecraft.dropped.observer: #5, 37(5%)
minecraft.used.twisting_vines: #5, 56(3%)
minecraft.custom.interact_with_crafting_table: #6, 6041(6%)
minecraft.crafted.chiseled_nether_bricks: #5, 60(6%)
minecraft.crafted.green_stained_glass_pane: #5, 88(7%)
minecraft.picked_up.grass_block: #6, 39707(6%)
minecraft.dropped.written_book: #6, 54(7%)
minecraft.crafted.ender_pearl: #5, 10(7%)
minecraft.used.crimson_pressure_plate: #5, 7(7%)
minecraft.dropped.birch_button: #5, 5(6%)
minecraft.picked_up.grindstone: #5, 58(2%)
minecraft.dropped.red_banner: #5, 1(5%)
minecraft.picked_up.music_disc_13: #5, 2(3%)
minecraft.used.cyan_glazed_terracotta: #5, 19(7%)
minecraft.picked_up.warped_sign: #5, 9(4%)
minecraft.mined.pink_concrete_powder: #5, 6(6%)
minecraft.picked_up.ladder: #6, 481(6%)
minecraft.crafted.piston: #6, 1190(6%)
minecraft.dropped.wooden_axe: #5, 1(7%)
minecraft.picked_up.jungle_planks: #6, 449(7%)
minecraft.used.conduit: #5, 3(7%)
minecraft.crafted.magenta_terracotta: #5, 264(4%)
minecraft.dropped.black_dye: #5, 40(3%)
minecraft.crafted.granite_stairs: #5, 37(5%)
minecraft.mined.light_blue_concrete: #6, 1611(7%)
minecraft.mined.grass_path: #5, 368(2%)
minecraft.crafted.redstone_torch: #6, 4456(6%)
minecraft.crafted.light_blue_stained_glass: #5, 1064(3%)
minecraft.mined.iron_block: #6, 4426(6%)
minecraft.crafted.ladder: #6, 720(6%)
minecraft.used.blackstone_stairs: #5, 215(2%)
minecraft.crafted.smoker: #5, 32(3%)
minecraft.mined.diamond_block: #6, 499(6%)
minecraft.picked_up.stone_bricks: #6, 5371(6%)
minecraft.crafted.polished_granite: #5, 629(2%)
minecraft.dropped.cod: #5, 650(2%)
minecraft.picked_up.dropper: #6, 237(6%)
minecraft.mined.spruce_stairs: #6, 246(6%)
minecraft.mined.polished_basalt: #6, 461(6%)
minecraft.dropped.black_shulker_box: #5, 2(4%)
minecraft.crafted.comparator: #6, 539(6%)
minecraft.mined.orange_concrete_powder: #5, 6(4%)
minecraft.mined.acacia_button: #5, 1(4%)
minecraft.used.crimson_fungus: #5, 56(2%)
minecraft.used.birch_leaves: #5, 858(2%)
minecraft.picked_up.black_carpet: #5, 1879(2%)
minecraft.used.jungle_fence: #6, 131(8%)
minecraft.picked_up.dark_prismarine_stairs: #5, 16(4%)
minecraft.dropped.black_wool: #5, 82(2%)
minecraft.mined.gravel: #6, 48025(5%)
minecraft.dropped.tripwire_hook: #5, 10(2%)
minecraft.mined.dark_prismarine_stairs: #5, 16(4%)
minecraft.used.chiseled_nether_bricks: #5, 49(2%)
minecraft.mined.purple_carpet: #6, 56(7%)
minecraft.used.diamond_block: #6, 581(6%)
minecraft.dropped.soul_torch: #5, 3(2%)
minecraft.dropped.sticky_piston: #5, 13(3%)
minecraft.crafted.sandstone_slab: #5, 788(2%)
minecraft.mined.redstone_lamp: #6, 110(6%)
minecraft.mined.brown_wall_banner: #5, 2(4%)
minecraft.picked_up.ghast_tear: #6, 120(6%)
minecraft.mined.lime_banner: #5, 2(4%)
minecraft.mined.magenta_terracotta: #5, 11(5%)
minecraft.mined.polished_blackstone_slab: #6, 306(6%)
minecraft.picked_up.warped_slab: #6, 93(7%)
minecraft.crafted.shield: #6, 18(7%)
minecraft.used.gray_carpet: #6, 2236(6%)
minecraft.used.torch: #6, 17446(5%)
minecraft.picked_up.black_stained_glass: #6, 510(6%)
minecraft.crafted.purple_bed: #5, 6(3%)
minecraft.picked_up.cartography_table: #6, 14(6%)
minecraft.dropped.shears: #6, 46(6%)
minecraft.crafted.respawn_anchor: #5, 20(3%)
minecraft.picked_up.netherite_scrap: #5, 1(3%)
minecraft.crafted.warped_pressure_plate: #5, 4(2%)
minecraft.crafted.polished_diorite_stairs: #5, 55(3%)
minecraft.crafted.lime_dye: #6, 1459(6%)
minecraft.crafted.crimson_pressure_plate: #5, 4(3%)
minecraft.used.yellow_banner: #5, 4(3%)
minecraft.mined.chorus_flower: #5, 107(2%)
minecraft.crafted.orange_banner: #5, 4(3%)
minecraft.dropped.note_block: #5, 10(2%)
minecraft.mined.soul_wall_torch: #5, 3(2%)
minecraft.picked_up.brown_banner: #5, 2(2%)
minecraft.picked_up.chainmail_chestplate: #6, 8(6%)
minecraft.dropped.honey_bottle: #5, 2(2%)
minecraft.crafted.armor_stand: #5, 308(1%)
minecraft.mined.nether_wart_block: #6, 2996(5%)
minecraft.used.white_stained_glass_pane: #6, 656(6%)
minecraft.dropped.mycelium: #6, 1667(6%)
minecraft.picked_up.tripwire_hook: #6, 63(5%)
minecraft.mined.ice: #5, 3866(1%)
minecraft.crafted.granite_wall: #5, 31(2%)
minecraft.crafted.diorite_stairs: #5, 4(2%)
minecraft.used.polished_diorite_stairs: #5, 47(2%)
minecraft.dropped.black_banner: #5, 8(1%)
minecraft.picked_up.crimson_button: #5, 1(2%)
minecraft.mined.red_glazed_terracotta: #5, 16(2%)
minecraft.mined.cyan_wall_banner: #5, 1(3%)
minecraft.picked_up.smooth_sandstone_slab: #6, 418(6%)
minecraft.crafted.packed_ice: #5, 178(1%)
minecraft.used.smooth_sandstone: #6, 4766(6%)
minecraft.picked_up.yellow_banner: #5, 1(1%)
minecraft.dropped.crimson_fence: #5, 1(2%)
minecraft.picked_up.light_gray_bed: #5, 5(1%)
minecraft.used.red_glazed_terracotta: #5, 20(2%)
minecraft.used.cartography_table: #6, 17(6%)
minecraft.dropped.purple_concrete: #5, 3(1%)
minecraft.crafted.netherite_block: #5, 1(2%)
minecraft.mined.gray_concrete_powder: #6, 409(5%)
minecraft.crafted.lodestone: #5, 1(1%)
minecraft.picked_up.black_wool: #6, 804(5%)
minecraft.picked_up.acacia_fence_gate: #5, 1(1%)
minecraft.used.ancient_debris: #5, 18(1%)
minecraft.used.dead_brain_coral_fan: #5, 1(1%)
minecraft.crafted.bricks: #6, 5154(6%)
minecraft.used.chorus_flower: #5, 49(1%)
minecraft.used.wooden_sword: #6, 24(6%)
minecraft.crafted.acacia_fence: #6, 66(8%)
minecraft.dropped.chiseled_nether_bricks: #5, 1(1%)
minecraft.crafted.oak_fence: #6, 765(5%)
minecraft.picked_up.fermented_spider_eye: #5, 1(1%)
minecraft.mined.purpur_pillar: #6, 156(5%)
minecraft.mined.glass_pane: #6, 75(5%)
minecraft.picked_up.white_stained_glass_pane: #6, 280(5%)
minecraft.dropped.blue_concrete: #5, 4(0%)
minecraft.mined.cocoa: #6, 365(5%)
minecraft.dropped.bone_block: #6, 153(6%)
minecraft.picked_up.feather: #6, 527(4%)
minecraft.mined.nether_brick_fence: #6, 57(5%)
minecraft.mined.brown_mushroom_block: #6, 2372(4%)
minecraft.picked_up.composter: #6, 54(4%)
minecraft.used.polished_granite: #6, 529(5%)
minecraft.picked_up.brown_stained_glass: #6, 39(7%)
minecraft.mined.crimson_slab: #6, 78(7%)
minecraft.crafted.jungle_fence: #6, 117(6%)
minecraft.picked_up.nether_brick_slab: #6, 358(4%)
minecraft.crafted.smooth_quartz_slab: #6, 1590(6%)
minecraft.mined.cyan_wool: #6, 36(6%)
minecraft.mined.cyan_concrete: #6, 1539(5%)
minecraft.dropped.pumpkin_pie: #6, 72(6%)
minecraft.used.nether_brick_wall: #6, 280(7%)
minecraft.mined.bricks: #6, 466(6%)
minecraft.killed.shulker: #6, 409(5%)
minecraft.picked_up.warped_planks: #6, 70(5%)
minecraft.used.orange_wool: #6, 369(6%)
minecraft.crafted.birch_boat: #6, 8(5%)
minecraft.mined.light_gray_concrete: #6, 2291(4%)
minecraft.picked_up.lime_carpet: #6, 153(5%)
minecraft.mined.detector_rail: #6, 12(5%)
minecraft.picked_up.lily_pad: #6, 133(4%)
minecraft.crafted.diorite_wall: #6, 123(8%)
minecraft.crafted.light_gray_stained_glass: #6, 2288(6%)
minecraft.used.gray_stained_glass: #6, 2196(5%)
minecraft.used.andesite_wall: #6, 523(5%)
minecraft.used.sea_lantern: #6, 2162(4%)
minecraft.used.rail: #7, 4022(7%)
minecraft.dropped.grass: #6, 63(4%)
minecraft.used.cyan_stained_glass_pane: #6, 127(5%)
minecraft.mined.activator_rail: #6, 5(8%)
minecraft.mined.polished_blackstone_brick_slab: #6, 193(4%)
minecraft.crafted.quartz_block: #6, 7347(3%)
minecraft.used.smithing_table: #6, 53(3%)
minecraft.picked_up.emerald_ore: #6, 27(7%)
minecraft.crafted.orange_stained_glass_pane: #6, 216(5%)
minecraft.crafted.cyan_shulker_box: #6, 7(5%)
minecraft.picked_up.crimson_slab: #6, 79(5%)
minecraft.crafted.blast_furnace: #6, 64(3%)
minecraft.used.lilac: #6, 23(4%)
minecraft.dropped.white_stained_glass: #6, 40(4%)
minecraft.picked_up.brown_mushroom_block: #6, 1850(4%)
minecraft.mined.granite_stairs: #6, 9(6%)
minecraft.picked_up.chiseled_polished_blackstone: #6, 41(4%)
minecraft.crafted.netherite_boots: #6, 1(5%)
minecraft.picked_up.smooth_sandstone: #6, 1238(3%)
minecraft.mined.sea_lantern: #6, 387(3%)
minecraft.crafted.light_blue_carpet: #6, 342(4%)
minecraft.crafted.netherite_leggings: #6, 1(5%)
minecraft.dropped.oak_sapling: #6, 220(3%)
minecraft.dropped.piston: #6, 33(7%)
minecraft.used.dark_oak_boat: #6, 3(6%)
minecraft.used.cake: #6, 8(4%)
minecraft.crafted.red_stained_glass_pane: #6, 192(5%)
minecraft.picked_up.polished_blackstone_brick_slab: #6, 200(3%)
minecraft.picked_up.blackstone_stairs: #6, 71(4%)
minecraft.used.bubble_coral_fan: #6, 7(5%)
minecraft.used.lava_bucket: #6, 635(3%)
minecraft.crafted.green_terracotta: #6, 616(4%)
minecraft.crafted.yellow_shulker_box: #6, 11(3%)
minecraft.dropped.iron_boots: #6, 92(3%)
minecraft.dropped.obsidian: #6, 85(4%)
minecraft.mined.brick_stairs: #6, 24(4%)
minecraft.used.repeater: #7, 1298(6%)
minecraft.crafted.cut_sandstone: #6, 1072(4%)
minecraft.used.rose_bush: #6, 97(3%)
minecraft.picked_up.gray_dye: #6, 128(4%)
minecraft.picked_up.red_wool: #6, 630(3%)
minecraft.mined.dirt: #7, 76844(6%)
minecraft.dropped.jungle_log: #7, 174(9%)
minecraft.used.black_carpet: #6, 4634(3%)
minecraft.crafted.stone_shovel: #6, 23(3%)
minecraft.crafted.gray_shulker_box: #6, 7(3%)
minecraft.custom.inspect_dispenser: #7, 1129(7%)
minecraft.used.birch_door: #6, 20(4%)
minecraft.crafted.writable_book: #6, 75(2%)
minecraft.used.purple_bed: #6, 19(4%)
minecraft.crafted.blue_shulker_box: #6, 3(4%)
minecraft.picked_up.golden_horse_armor: #6, 2(5%)
minecraft.crafted.light_gray_terracotta: #6, 872(4%)
minecraft.picked_up.sandstone_slab: #6, 306(3%)
minecraft.used.lead: #6, 3(6%)
minecraft.used.red_mushroom_block: #6, 244(3%)
minecraft.picked_up.birch_pressure_plate: #6, 7(4%)
minecraft.crafted.andesite_wall: #6, 222(3%)
minecraft.used.pufferfish_bucket: #6, 6(4%)
minecraft.mined.ancient_debris: #6, 147(2%)
minecraft.dropped.damaged_anvil: #6, 1(6%)
minecraft.crafted.white_wool: #6, 894(2%)
minecraft.crafted.polished_blackstone_brick_slab: #6, 224(3%)
minecraft.mined.birch_pressure_plate: #6, 6(4%)
minecraft.custom.sleep_in_bed: #7, 2074(5%)
minecraft.crafted.anvil: #6, 95(2%)
minecraft.mined.granite: #7, 22693(6%)
minecraft.picked_up.written_book: #7, 99(6%)
minecraft.mined.light_gray_terracotta: #7, 3988(7%)
minecraft.dropped.white_concrete_powder: #6, 292(3%)
minecraft.mined.torch: #7, 3188(6%)
minecraft.crafted.filled_map: #6, 68(2%)
minecraft.mined.lime_wool: #6, 41(2%)
minecraft.mined.light_gray_stained_glass: #6, 136(2%)
minecraft.dropped.feather: #6, 163(2%)
minecraft.crafted.warped_door: #6, 3(3%)
minecraft.mined.sticky_piston: #7, 255(6%)
minecraft.used.acacia_slab: #6, 108(3%)
minecraft.picked_up.iron_block: #7, 5733(6%)
minecraft.mined.cactus: #7, 137(6%)
minecraft.mined.gray_stained_glass: #6, 88(2%)
minecraft.used.respawn_anchor: #6, 15(4%)
minecraft.mined.sandstone_stairs: #6, 100(2%)
minecraft.mined.red_nether_brick_stairs: #6, 15(4%)
minecraft.used.polished_andesite: #7, 4993(6%)
minecraft.used.prismarine_bricks: #6, 763(2%)
minecraft.picked_up.poisonous_potato: #7, 20(8%)
minecraft.dropped.netherite_hoe: #6, 1(4%)
minecraft.mined.blue_stained_glass: #6, 43(2%)
minecraft.mined.respawn_anchor: #6, 3(4%)
minecraft.used.blue_carpet: #6, 167(3%)
minecraft.crafted.bookshelf: #6, 310(1%)
minecraft.picked_up.orange_stained_glass_pane: #6, 47(2%)
minecraft.mined.potted_birch_sapling: #6, 1(5%)
minecraft.crafted.pink_terracotta: #6, 160(3%)
minecraft.custom.jump: #8, 464098(5%)
minecraft.crafted.cooked_mutton: #6, 54(2%)
minecraft.picked_up.respawn_anchor: #6, 3(3%)
minecraft.crafted.activator_rail: #6, 6(3%)
minecraft.crafted.charcoal: #6, 66(2%)
minecraft.crafted.iron_leggings: #7, 9(5%)
minecraft.used.brown_concrete: #6, 146(2%)
minecraft.dropped.detector_rail: #6, 1(3%)
minecraft.used.light_gray_carpet: #6, 647(1%)
minecraft.picked_up.soul_lantern: #7, 151(5%)
minecraft.used.grass: #6, 238(1%)
minecraft.picked_up.soul_sand: #7, 3098(6%)
minecraft.picked_up.chorus_flower: #6, 107(2%)
minecraft.dropped.diamond_block: #7, 163(6%)
minecraft.dropped.grass_block: #7, 1688(6%)
minecraft.crafted.jungle_wood: #6, 213(2%)
minecraft.picked_up.writable_book: #7, 23(5%)
minecraft.used.jungle_wood: #6, 182(2%)
minecraft.crafted.cartography_table: #6, 15(2%)
minecraft.picked_up.powered_rail: #7, 881(5%)
minecraft.picked_up.light_gray_terracotta: #7, 3975(6%)
minecraft.used.warped_roots: #6, 18(2%)
minecraft.used.blue_terracotta: #6, 262(3%)
minecraft.picked_up.light_gray_glazed_terracotta: #6, 19(4%)
minecraft.used.sponge: #7, 767(7%)
minecraft.mined.dandelion: #7, 269(5%)
minecraft.picked_up.chiseled_nether_bricks: #6, 11(2%)
minecraft.picked_up.diorite: #7, 18080(5%)
minecraft.mined.lever: #7, 88(5%)
minecraft.mined.chiseled_nether_bricks: #6, 11(2%)
minecraft.crafted.brown_dye: #7, 824(6%)
minecraft.used.gray_banner: #6, 3(3%)
minecraft.dropped.stripped_dark_oak_log: #6, 2(3%)
minecraft.mined.jungle_wood: #6, 25(2%)
minecraft.picked_up.packed_ice: #6, 1494(1%)
minecraft.used.cooked_rabbit: #6, 2(3%)
minecraft.picked_up.red_tulip: #6, 102(1%)
minecraft.used.oak_slab: #7, 860(5%)
minecraft.crafted.diamond: #7, 3078(5%)
minecraft.used.diamond_pickaxe: #7, 433571(5%)
minecraft.picked_up.suspicious_stew: #6, 1(2%)
