stat, rank, value, (percentage) 
minecraft.mined.chain: #8, 104(4%)
minecraft.used.smooth_sandstone: #8, 3539(4%)
minecraft.dropped.oak_planks: #8, 159(4%)
minecraft.used.dark_oak_stairs: #8, 576(4%)
minecraft.crafted.white_stained_glass_pane: #8, 576(4%)
minecraft.used.oak_stairs: #8, 116(3%)
minecraft.used.nether_brick_slab: #8, 694(3%)
minecraft.crafted.blue_wool: #8, 78(5%)
minecraft.crafted.lantern: #8, 520(4%)
minecraft.used.map: #8, 23(4%)
minecraft.picked_up.note_block: #8, 87(4%)
minecraft.crafted.dark_oak_stairs: #8, 480(3%)
minecraft.picked_up.potion: #8, 102(3%)
minecraft.used.gray_carpet: #8, 1202(3%)
minecraft.picked_up.jungle_sapling: #8, 183(3%)
minecraft.used.oak_fence_gate: #8, 72(3%)
minecraft.picked_up.gray_stained_glass: #8, 259(4%)
minecraft.picked_up.yellow_shulker_box: #8, 142(3%)
minecraft.killed.pufferfish: #8, 13(4%)
minecraft.killed.player: #8, 3(6%)
minecraft.picked_up.birch_fence_gate: #8, 14(4%)
minecraft.custom.damage_dealt: #8, 1760294(2%)
minecraft.mined.smooth_stone: #8, 871(3%)
minecraft.mined.red_mushroom: #8, 26(3%)
minecraft.mined.yellow_shulker_box: #8, 138(3%)
minecraft.used.sunflower: #8, 5(4%)
minecraft.used.yellow_shulker_box: #8, 138(3%)
minecraft.picked_up.oak_sapling: #8, 1556(2%)
minecraft.used.black_concrete: #8, 2293(3%)
minecraft.picked_up.birch_slab: #8, 136(3%)
minecraft.crafted.shield: #8, 8(3%)
minecraft.mined.cyan_wool: #8, 21(3%)
minecraft.picked_up.pumpkin_seeds: #8, 702(2%)
minecraft.mined.acacia_planks: #8, 47(4%)
minecraft.crafted.coarse_dirt: #8, 1680(2%)
minecraft.picked_up.jungle_stairs: #8, 69(3%)
minecraft.crafted.dark_oak_door: #8, 21(4%)
minecraft.picked_up.activator_rail: #8, 7(3%)
minecraft.crafted.polished_diorite: #8, 524(2%)
minecraft.used.oak_leaves: #8, 4579(2%)
minecraft.dropped.netherite_shovel: #8, 2(3%)
minecraft.mined.sandstone: #8, 9844(2%)
minecraft.used.smooth_quartz_slab: #8, 1069(2%)
minecraft.used.spruce_sapling: #8, 343(2%)
minecraft.picked_up.cobweb: #8, 122(3%)
minecraft.picked_up.brown_terracotta: #8, 828(2%)
minecraft.mined.nether_brick_wall: #8, 39(3%)
minecraft.crafted.yellow_carpet: #8, 534(3%)
minecraft.used.armor_stand: #8, 86(2%)
minecraft.crafted.golden_boots: #8, 3(3%)
minecraft.picked_up.blackstone_stairs: #8, 44(2%)
minecraft.crafted.chiseled_polished_blackstone: #8, 72(4%)
minecraft.used.weeping_vines: #8, 23(3%)
minecraft.crafted.birch_slab: #8, 558(2%)
minecraft.picked_up.brown_carpet: #8, 60(2%)
minecraft.dropped.birch_sign: #8, 25(2%)
minecraft.crafted.crimson_fence: #8, 60(3%)
minecraft.dropped.grass: #8, 29(2%)
minecraft.crafted.light_gray_stained_glass: #8, 992(2%)
minecraft.crafted.glass: #8, 5877(2%)
minecraft.crafted.golden_chestplate: #8, 3(2%)
minecraft.used.acacia_log: #8, 193(2%)
minecraft.mined.crimson_door: #8, 1(4%)
minecraft.crafted.pumpkin_seeds: #8, 64(2%)
minecraft.picked_up.warped_sign: #8, 6(3%)
minecraft.picked_up.crimson_stairs: #8, 24(2%)
minecraft.used.cobweb: #8, 47(2%)
minecraft.mined.yellow_wool: #8, 40(2%)
minecraft.crafted.sandstone_wall: #8, 168(2%)
minecraft.used.acacia_planks: #8, 45(2%)
minecraft.picked_up.arrow: #9, 4800(5%)
minecraft.mined.green_wool: #8, 26(2%)
minecraft.picked_up.heavy_weighted_pressure_plate: #8, 12(2%)
minecraft.dropped.wheat: #8, 86(2%)
minecraft.mined.gray_stained_glass: #8, 74(2%)
minecraft.crafted.orange_carpet: #8, 325(2%)
minecraft.crafted.gold_nugget: #8, 2581(1%)
minecraft.used.birch_leaves: #8, 636(1%)
minecraft.mined.jungle_button: #8, 2(2%)
minecraft.mined.blackstone_stairs: #8, 24(1%)
minecraft.mined.barrel: #9, 207(5%)
minecraft.picked_up.stripped_crimson_stem: #8, 13(2%)
minecraft.mined.torch: #9, 2763(5%)
minecraft.used.cyan_wool: #8, 51(1%)
minecraft.crafted.polished_blackstone_button: #8, 25(1%)
minecraft.crafted.cut_sandstone_slab: #8, 72(2%)
minecraft.custom.inspect_dispenser: #9, 888(5%)
minecraft.dropped.slime_block: #8, 45(1%)
minecraft.picked_up.cyan_bed: #8, 16(1%)
minecraft.used.grass: #8, 185(1%)
minecraft.used.coal_block: #8, 54(1%)
minecraft.used.black_carpet: #8, 1680(1%)
minecraft.killed_by.hoglin: #8, 1(2%)
minecraft.picked_up.pink_terracotta: #8, 38(1%)
minecraft.picked_up.cyan_dye: #8, 74(1%)
minecraft.used.crimson_fungus: #8, 25(1%)
minecraft.mined.cyan_bed: #8, 12(1%)
minecraft.used.orange_stained_glass_pane: #8, 42(1%)
minecraft.crafted.pink_terracotta: #8, 88(1%)
minecraft.used.light_blue_stained_glass: #8, 359(1%)
minecraft.mined.chorus_plant: #8, 37(1%)
minecraft.crafted.light_blue_stained_glass_pane: #8, 64(1%)
minecraft.picked_up.orange_wool: #8, 118(1%)
minecraft.crafted.magenta_stained_glass: #8, 32(1%)
minecraft.used.warped_roots: #8, 10(1%)
minecraft.picked_up.sandstone_slab: #8, 84(1%)
minecraft.mined.purple_wool: #8, 9(1%)
minecraft.mined.granite_wall: #8, 7(1%)
minecraft.picked_up.granite_wall: #8, 7(1%)
minecraft.mined.pink_wool: #8, 16(1%)
minecraft.mined.acacia_sapling: #8, 3(1%)
minecraft.used.cyan_stained_glass: #8, 423(0%)
minecraft.picked_up.red_tulip: #8, 49(1%)
minecraft.dropped.honey_bottle: #8, 1(1%)
minecraft.mined.warped_hyphae: #8, 5(1%)
minecraft.crafted.black_bed: #8, 1(1%)
minecraft.used.sandstone_slab: #8, 211(1%)
minecraft.custom.sneak_time: #10, 4336683(4%)
minecraft.crafted.purple_terracotta: #8, 64(1%)
minecraft.mined.prismarine_bricks: #8, 142(0%)
minecraft.mined.light_blue_stained_glass_pane: #8, 14(1%)
minecraft.picked_up.green_stained_glass: #8, 15(1%)
minecraft.dropped.glass_pane: #8, 15(0%)
minecraft.mined.magenta_wool: #8, 5(1%)
minecraft.dropped.blackstone_slab: #8, 8(1%)
minecraft.crafted.smooth_sandstone_stairs: #8, 44(0%)
minecraft.picked_up.dispenser: #9, 115(5%)
minecraft.crafted.gray_banner: #8, 1(1%)
minecraft.crafted.cooked_porkchop: #8, 31(0%)
minecraft.crafted.cake: #8, 2(0%)
minecraft.picked_up.dried_kelp_block: #8, 14(0%)
minecraft.picked_up.spruce_sapling: #9, 791(5%)
minecraft.mined.blue_stained_glass_pane: #8, 1(0%)
minecraft.crafted.firework_star: #8, 85(0%)
minecraft.picked_up.black_bed: #8, 2(0%)
minecraft.dropped.baked_potato: #8, 1(0%)
minecraft.used.respawn_anchor: #8, 1(0%)
minecraft.picked_up.ender_eye: #8, 2(0%)
minecraft.dropped.brown_dye: #8, 2(0%)
minecraft.used.stripped_warped_hyphae: #8, 5(0%)
minecraft.mined.black_bed: #8, 1(0%)
minecraft.crafted.respawn_anchor: #8, 1(0%)
minecraft.dropped.lime_dye: #8, 1(0%)
minecraft.killed.vindicator: #8, 4(0%)
minecraft.used.sand: #9, 15100(4%)
minecraft.picked_up.cactus: #9, 988(4%)
minecraft.custom.interact_with_grindstone: #9, 107(4%)
minecraft.killed.sheep: #9, 104(4%)
minecraft.mined.hopper: #9, 480(4%)
minecraft.mined.iron_bars: #9, 214(4%)
minecraft.used.white_stained_glass_pane: #9, 486(4%)
minecraft.mined.bone_block: #9, 289(4%)
minecraft.mined.crimson_fungus: #9, 37(4%)
minecraft.picked_up.stone_brick_slab: #9, 905(3%)
minecraft.dropped.armor_stand: #9, 10(4%)
minecraft.mined.stone_bricks: #9, 2441(3%)
minecraft.mined.warped_planks: #9, 40(4%)
minecraft.picked_up.lantern: #9, 312(3%)
minecraft.picked_up.netherite_boots: #9, 18(3%)
minecraft.crafted.oak_sign: #9, 198(3%)
minecraft.picked_up.redstone_lamp: #9, 76(3%)
minecraft.used.firework_rocket: #9, 732(3%)
minecraft.crafted.brown_carpet: #9, 267(3%)
minecraft.used.warped_trapdoor: #9, 131(4%)
minecraft.used.spruce_stairs: #9, 409(3%)
minecraft.crafted.oak_fence_gate: #9, 56(3%)
minecraft.mined.note_block: #9, 39(3%)
minecraft.picked_up.birch_stairs: #9, 53(4%)
minecraft.picked_up.melon_seeds: #9, 27(3%)
minecraft.mined.oak_fence_gate: #9, 26(3%)
minecraft.used.birch_sapling: #9, 355(3%)
minecraft.picked_up.porkchop: #9, 55(2%)
minecraft.picked_up.apple: #9, 195(2%)
minecraft.used.warped_slab: #9, 178(3%)
minecraft.picked_up.polished_andesite_slab: #9, 280(2%)
minecraft.crafted.dark_oak_fence: #9, 237(3%)
minecraft.picked_up.stripped_warped_stem: #9, 77(3%)
minecraft.picked_up.milk_bucket: #9, 6(3%)
minecraft.mined.polished_andesite_stairs: #9, 110(3%)
minecraft.picked_up.nether_brick_wall: #9, 104(3%)
minecraft.mined.stripped_warped_stem: #9, 77(3%)
minecraft.crafted.orange_dye: #9, 349(2%)
minecraft.picked_up.sandstone: #9, 10113(2%)
minecraft.crafted.paper: #9, 17218(2%)
minecraft.crafted.clock: #9, 4(3%)
minecraft.used.warped_wart_block: #9, 301(2%)
minecraft.mined.light_gray_stained_glass_pane: #9, 34(2%)
minecraft.picked_up.nether_brick: #9, 202(2%)
minecraft.dropped.iron_hoe: #9, 1(3%)
minecraft.mined.pink_bed: #9, 2(3%)
minecraft.crafted.lime_dye: #9, 464(2%)
minecraft.picked_up.crimson_slab: #9, 40(2%)
minecraft.dropped.netherite_leggings: #9, 1(3%)
minecraft.used.stripped_warped_stem: #9, 33(3%)
minecraft.dropped.peony: #9, 3(3%)
minecraft.broken.fishing_rod: #9, 1(2%)
minecraft.custom.open_chest: #10, 34037(4%)
minecraft.picked_up.splash_potion: #9, 14(2%)
minecraft.killed_by.vindicator: #9, 1(3%)
minecraft.used.polished_blackstone_button: #9, 26(2%)
minecraft.picked_up.polished_blackstone_pressure_plate: #9, 8(2%)
minecraft.picked_up.polished_andesite_stairs: #9, 110(2%)
minecraft.used.beehive: #9, 38(2%)
minecraft.custom.crouch_one_cm: #10, 13719660(4%)
minecraft.crafted.acacia_boat: #9, 1(2%)
minecraft.used.cooked_cod: #9, 24(1%)
minecraft.used.polished_blackstone_pressure_plate: #9, 15(2%)
minecraft.used.light_gray_stained_glass: #9, 453(2%)
minecraft.crafted.bone_block: #9, 1974(1%)
minecraft.custom.interact_with_crafting_table: #10, 4866(5%)
minecraft.picked_up.spectral_arrow: #9, 90(1%)
minecraft.crafted.brown_wool: #9, 26(2%)
minecraft.dropped.egg: #9, 206(1%)
minecraft.mined.lime_wool: #9, 24(1%)
minecraft.mined.crimson_slab: #9, 18(2%)
minecraft.picked_up.nether_wart: #9, 1483(1%)
minecraft.custom.minecart_one_cm: #9, 1406014(1%)
minecraft.custom.damage_blocked_by_shield: #9, 2175(1%)
minecraft.crafted.stone_shovel: #9, 8(1%)
minecraft.used.crying_obsidian: #9, 186(1%)
minecraft.picked_up.cut_sandstone_slab: #9, 18(1%)
minecraft.mined.acacia_leaves: #9, 281(1%)
minecraft.used.lead: #9, 1(2%)
minecraft.dropped.book: #9, 7(1%)
minecraft.used.blackstone: #9, 837(1%)
minecraft.picked_up.seagrass: #9, 86(1%)
minecraft.crafted.ladder: #10, 570(5%)
minecraft.mined.redstone_wire: #10, 851(5%)
minecraft.crafted.red_bed: #9, 1(1%)
minecraft.used.cooked_salmon: #9, 12(1%)
minecraft.picked_up.black_concrete_powder: #9, 420(1%)
minecraft.used.prismarine_bricks: #9, 247(1%)
minecraft.mined.cobblestone: #10, 3021(5%)
minecraft.mined.lime_bed: #9, 5(1%)
minecraft.mined.nether_wart: #9, 425(0%)
minecraft.mined.brown_stained_glass: #9, 3(1%)
minecraft.picked_up.prismarine_bricks: #9, 142(0%)
minecraft.crafted.cooked_salmon: #9, 3(1%)
minecraft.used.prismarine: #9, 180(0%)
minecraft.crafted.light_gray_dye: #10, 1559(5%)
minecraft.used.warped_fence_gate: #9, 2(1%)
minecraft.crafted.quartz_stairs: #9, 61(0%)
minecraft.picked_up.warped_hyphae: #9, 5(1%)
minecraft.crafted.pink_bed: #9, 1(1%)
minecraft.crafted.warped_hyphae: #9, 60(1%)
minecraft.mined.dark_oak_sapling: #9, 2(1%)
minecraft.killed.hoglin: #9, 25(0%)
minecraft.picked_up.honeycomb_block: #9, 9(0%)
minecraft.used.chiseled_nether_bricks: #9, 9(0%)
minecraft.mined.honeycomb_block: #9, 7(1%)
minecraft.crafted.fletching_table: #9, 3(0%)
minecraft.mined.sandstone_slab: #9, 27(0%)
minecraft.used.bee_nest: #9, 2(0%)
minecraft.dropped.wooden_shovel: #9, 1(0%)
minecraft.crafted.crimson_hyphae: #9, 24(0%)
minecraft.mined.lever: #10, 75(4%)
minecraft.used.tube_coral_block: #9, 2(1%)
minecraft.used.warped_hyphae: #9, 36(0%)
minecraft.used.crimson_hyphae: #9, 13(0%)
minecraft.dropped.wet_sponge: #9, 1(0%)
minecraft.crafted.acacia_fence_gate: #9, 2(0%)
minecraft.used.acacia_sapling: #9, 15(0%)
minecraft.picked_up.stripped_warped_hyphae: #9, 5(0%)
minecraft.dropped.polished_basalt: #9, 1(0%)
minecraft.crafted.bell: #9, 1(0%)
minecraft.used.blue_stained_glass_pane: #9, 1(0%)
minecraft.picked_up.dried_kelp: #9, 63(0%)
minecraft.dropped.brown_terracotta: #9, 2(0%)
minecraft.used.purple_terracotta: #9, 3(0%)
minecraft.crafted.blue_dye: #10, 2295(4%)
minecraft.used.oak_slab: #10, 629(4%)
minecraft.picked_up.writable_book: #10, 16(4%)
minecraft.used.grass_block: #10, 13238(3%)
minecraft.crafted.oak_stairs: #10, 120(4%)
minecraft.used.crossbow: #10, 161(4%)
minecraft.dropped.writable_book: #10, 8(4%)
minecraft.killed_by.zombie: #10, 3(4%)
minecraft.custom.interact_with_cartography_table: #10, 20(4%)
minecraft.killed.enderman: #10, 23531(3%)
minecraft.picked_up.firework_rocket: #10, 3832(3%)
minecraft.crafted.crimson_stairs: #10, 112(5%)
minecraft.picked_up.twisting_vines: #10, 113(3%)
minecraft.used.milk_bucket: #10, 5(3%)
minecraft.mined.polished_andesite_slab: #10, 175(3%)
minecraft.picked_up.polished_blackstone_stairs: #10, 80(3%)
minecraft.picked_up.black_concrete: #10, 1302(3%)
minecraft.picked_up.blackstone: #10, 7669(3%)
minecraft.used.white_carpet: #10, 1084(3%)
minecraft.mined.dark_oak_stairs: #10, 136(3%)
minecraft.mined.blackstone: #10, 7307(3%)
minecraft.crafted.nether_bricks: #10, 1554(3%)
minecraft.mined.crimson_roots: #10, 99(3%)
minecraft.mined.acacia_trapdoor: #10, 60(4%)
minecraft.custom.interact_with_lectern: #10, 248(2%)
minecraft.mined.cyan_shulker_box: #10, 67(3%)
minecraft.picked_up.acacia_trapdoor: #10, 76(3%)
minecraft.picked_up.cyan_shulker_box: #10, 67(3%)
minecraft.picked_up.smooth_quartz_slab: #10, 365(3%)
minecraft.crafted.yellow_dye: #10, 586(2%)
minecraft.picked_up.poppy: #10, 1108(2%)
minecraft.used.redstone_lamp: #10, 126(2%)
minecraft.mined.polished_blackstone_wall: #10, 46(2%)
minecraft.mined.basalt: #10, 4377(2%)
minecraft.broken.shears: #10, 58(2%)
minecraft.picked_up.lilac: #10, 88(2%)
minecraft.used.jungle_leaves: #10, 587(2%)
minecraft.used.pumpkin_seeds: #10, 40(2%)
minecraft.mined.lily_of_the_valley: #10, 18(2%)
minecraft.mined.blackstone_wall: #10, 18(2%)
minecraft.used.obsidian: #10, 616(2%)
minecraft.picked_up.dark_oak_stairs: #10, 170(2%)
minecraft.mined.nether_wart_block: #10, 1065(2%)
minecraft.mined.smooth_quartz_slab: #10, 180(2%)
minecraft.crafted.nether_brick_wall: #10, 156(3%)
minecraft.used.lava_bucket: #10, 381(2%)
minecraft.crafted.spruce_pressure_plate: #10, 15(2%)
minecraft.dropped.oak_sapling: #10, 124(2%)
minecraft.crafted.black_wool: #10, 100(2%)
minecraft.used.peony: #10, 7(2%)
minecraft.picked_up.pink_bed: #10, 2(3%)
minecraft.dropped.milk_bucket: #10, 2(3%)
minecraft.used.white_terracotta: #10, 366(2%)
minecraft.mined.cocoa: #10, 129(2%)
minecraft.used.spruce_pressure_plate: #10, 12(2%)
minecraft.used.jungle_boat: #10, 9(2%)
minecraft.used.birch_log: #10, 289(2%)
minecraft.picked_up.polished_blackstone_wall: #10, 43(2%)
minecraft.picked_up.cooked_mutton: #10, 67(2%)
minecraft.mined.light_blue_wool: #10, 22(2%)
minecraft.picked_up.baked_potato: #10, 17(2%)
minecraft.dropped.shroomlight: #10, 28(2%)
minecraft.broken.golden_shovel: #10, 2(2%)
minecraft.used.gray_concrete: #10, 2956(1%)
minecraft.crafted.white_wool: #10, 510(1%)
minecraft.picked_up.quartz_slab: #10, 84(1%)
minecraft.killed.magma_cube: #10, 374(1%)
minecraft.picked_up.gray_concrete_powder: #10, 1468(1%)
minecraft.picked_up.crimson_door: #10, 1(2%)
minecraft.mined.oak_button: #10, 2(2%)
minecraft.crafted.gray_stained_glass: #10, 720(2%)
minecraft.mined.quartz_block: #10, 84(1%)
minecraft.picked_up.fire_charge: #10, 26(1%)
minecraft.used.gray_stained_glass: #10, 582(1%)
minecraft.used.gold_block: #10, 163(1%)
minecraft.mined.melon: #10, 106(1%)
minecraft.crafted.iron_block: #10, 2015(1%)
minecraft.picked_up.beehive: #10, 12(1%)
minecraft.used.twisting_vines: #10, 19(1%)
minecraft.picked_up.green_dye: #10, 214(1%)
minecraft.crafted.detector_rail: #10, 12(1%)
minecraft.used.polished_diorite: #10, 124(1%)
minecraft.picked_up.paper: #10, 1029(1%)
minecraft.mined.white_banner: #10, 1(1%)
minecraft.crafted.polished_blackstone_pressure_plate: #10, 13(1%)
minecraft.picked_up.light_gray_wool: #10, 290(1%)
minecraft.crafted.warped_sign: #10, 6(1%)
minecraft.crafted.purple_concrete_powder: #10, 128(1%)
minecraft.picked_up.lime_bed: #10, 6(1%)
minecraft.picked_up.cornflower: #10, 150(1%)
minecraft.picked_up.crimson_sign: #10, 2(1%)
minecraft.picked_up.sugar: #10, 31(1%)
minecraft.mined.stripped_crimson_stem: #10, 7(1%)
minecraft.used.blackstone_stairs: #10, 59(1%)
minecraft.used.fletching_table: #10, 5(1%)
minecraft.crafted.leather_helmet: #10, 6(1%)
minecraft.crafted.birch_pressure_plate: #10, 2(1%)
minecraft.picked_up.orange_stained_glass_pane: #10, 16(1%)
minecraft.custom.play_noteblock: #10, 48(1%)
minecraft.dropped.smooth_sandstone: #10, 14(1%)
minecraft.used.light_blue_wool: #10, 50(1%)
minecraft.crafted.orange_bed: #10, 1(1%)
minecraft.crafted.polished_blackstone_brick_wall: #10, 12(1%)
minecraft.mined.magenta_stained_glass_pane: #10, 1(1%)
minecraft.mined.acacia_wall_sign: #10, 4(0%)
minecraft.used.green_stained_glass: #10, 53(0%)
minecraft.mined.birch_pressure_plate: #10, 1(1%)
minecraft.picked_up.birch_pressure_plate: #10, 1(1%)
minecraft.mined.smoker: #10, 2(0%)
minecraft.picked_up.smoker: #10, 2(0%)
minecraft.mined.chiseled_nether_bricks: #10, 3(0%)
minecraft.crafted.cooked_cod: #10, 13(0%)
minecraft.dropped.lily_pad: #10, 1(1%)
minecraft.picked_up.magenta_wool: #10, 22(0%)
minecraft.dropped.cauldron: #10, 1(0%)
minecraft.dropped.crimson_stem: #10, 8(0%)
minecraft.crafted.warped_fence_gate: #10, 1(0%)
minecraft.used.black_bed: #10, 2(0%)
minecraft.mined.stripped_warped_hyphae: #10, 5(0%)
minecraft.mined.red_nether_bricks: #10, 2(0%)
minecraft.crafted.red_nether_bricks: #10, 32(0%)
minecraft.dropped.podzol: #10, 5(0%)
minecraft.mined.gray_terracotta: #10, 5(0%)
minecraft.crafted.crafting_table: #11, 110(4%)
minecraft.picked_up.tube_coral_block: #10, 2(0%)
minecraft.mined.tube_coral_block: #10, 2(0%)
minecraft.picked_up.sand: #11, 96111(4%)
minecraft.custom.raid_trigger: #10, 1(0%)
minecraft.dropped.hay_block: #10, 1(0%)
minecraft.picked_up.bow: #11, 257(4%)
minecraft.mined.damaged_anvil: #11, 10(5%)
minecraft.used.dispenser: #11, 154(4%)
minecraft.picked_up.bone: #11, 4202(3%)
minecraft.mined.furnace: #11, 123(4%)
minecraft.mined.redstone_torch: #11, 78(4%)
minecraft.mined.repeater: #11, 188(3%)
minecraft.mined.glowstone: #11, 335(3%)
minecraft.used.hopper: #11, 1253(3%)
minecraft.picked_up.stone_button: #11, 158(3%)
minecraft.mined.soul_fire: #11, 45(3%)
minecraft.picked_up.stick: #11, 3405(3%)
minecraft.mined.spruce_stairs: #11, 117(3%)
minecraft.mined.cobweb: #11, 220(3%)
minecraft.picked_up.hay_block: #11, 122(3%)
minecraft.mined.nether_bricks: #11, 951(3%)
minecraft.picked_up.glowstone: #11, 360(3%)
minecraft.picked_up.compass: #11, 29(3%)
minecraft.crafted.glass_pane: #11, 464(3%)
minecraft.crafted.iron_helmet: #11, 6(3%)
minecraft.picked_up.leather_helmet: #11, 38(3%)
minecraft.crafted.bow: #11, 152(2%)
minecraft.used.nether_bricks: #11, 908(3%)
minecraft.picked_up.stone_bricks: #11, 2142(2%)
minecraft.used.cyan_shulker_box: #11, 66(3%)
minecraft.picked_up.water_bucket: #11, 18(2%)
minecraft.mined.dark_oak_fence: #11, 40(3%)
minecraft.crafted.chain: #11, 365(2%)
minecraft.used.iron_bars: #11, 638(2%)
minecraft.used.redstone: #11, 1591(2%)
minecraft.mined.cobblestone_stairs: #11, 34(2%)
minecraft.crafted.iron_bars: #11, 768(2%)
minecraft.used.andesite: #11, 1741(2%)
minecraft.mined.tripwire: #11, 50(2%)
minecraft.picked_up.warped_nylium: #11, 190(2%)
minecraft.picked_up.andesite_wall: #11, 94(3%)
minecraft.picked_up.cobblestone_wall: #11, 102(2%)
minecraft.picked_up.nether_wart_block: #11, 1261(2%)
minecraft.used.lapis_ore: #11, 111(2%)
minecraft.mined.bamboo: #11, 319(2%)
minecraft.picked_up.chain: #11, 166(2%)
minecraft.used.carrot: #11, 580(2%)
minecraft.used.coarse_dirt: #11, 1583(2%)
minecraft.mined.crimson_stem: #11, 333(2%)
minecraft.picked_up.peony: #11, 80(2%)
minecraft.mined.dark_oak_planks: #11, 185(2%)
minecraft.dropped.smooth_stone: #11, 60(2%)
minecraft.mined.warped_nylium: #11, 147(2%)
minecraft.picked_up.jungle_boat: #11, 10(2%)
minecraft.used.dark_oak_fence: #11, 150(2%)
minecraft.crafted.spruce_button: #11, 59(2%)
minecraft.used.andesite_slab: #11, 373(2%)
minecraft.crafted.oak_fence: #11, 243(1%)
minecraft.dropped.oak_leaves: #11, 176(1%)
minecraft.picked_up.nautilus_shell: #11, 7(2%)
minecraft.crafted.crimson_planks: #11, 740(1%)
minecraft.mined.polished_blackstone_bricks: #11, 622(1%)
minecraft.picked_up.dark_oak_fence: #11, 62(1%)
minecraft.crafted.leather_chestplate: #11, 21(1%)
minecraft.used.smooth_sandstone_slab: #11, 421(2%)
minecraft.crafted.light_blue_bed: #11, 1(2%)
minecraft.picked_up.jungle_button: #11, 3(2%)
minecraft.used.warped_stem: #11, 308(1%)
minecraft.killed_by.vex: #11, 1(2%)
minecraft.picked_up.white_stained_glass_pane: #11, 72(1%)
minecraft.used.blue_wool: #11, 31(1%)
minecraft.used.smooth_quartz_stairs: #11, 242(1%)
minecraft.used.nether_brick_wall: #11, 78(2%)
minecraft.used.acacia_sign: #11, 17(1%)
minecraft.used.light_blue_concrete: #11, 448(1%)
minecraft.used.glowstone: #11, 212(1%)
minecraft.crafted.gray_shulker_box: #11, 3(1%)
minecraft.dropped.crimson_roots: #11, 26(1%)
minecraft.picked_up.cocoa_beans: #11, 570(1%)
minecraft.used.quartz_slab: #11, 255(1%)
minecraft.crafted.gray_concrete_powder: #11, 3408(1%)
minecraft.used.lilac: #11, 7(1%)
minecraft.used.totem_of_undying: #11, 3(1%)
minecraft.dropped.gray_concrete: #11, 63(1%)
minecraft.picked_up.melon_slice: #11, 484(1%)
minecraft.mined.blue_wool: #11, 10(1%)
minecraft.crafted.red_sandstone: #11, 162(1%)
minecraft.mined.birch_planks: #11, 91(1%)
minecraft.picked_up.blackstone_wall: #11, 24(1%)
minecraft.crafted.dark_oak_pressure_plate: #11, 1(1%)
minecraft.used.golden_shovel: #11, 33(1%)
minecraft.used.pink_bed: #11, 3(1%)
minecraft.used.chiseled_polished_blackstone: #11, 42(1%)
minecraft.crafted.name_tag: #11, 25(1%)
minecraft.crafted.stonecutter: #11, 13(1%)
minecraft.used.cocoa_beans: #11, 161(1%)
minecraft.used.birch_pressure_plate: #11, 3(1%)
minecraft.used.fishing_rod: #11, 150(1%)
minecraft.used.quartz_stairs: #11, 219(1%)
minecraft.dropped.totem_of_undying: #11, 1(1%)
minecraft.used.lime_bed: #11, 6(1%)
minecraft.dropped.sweet_berries: #11, 17(1%)
minecraft.crafted.acacia_sign: #11, 12(1%)
minecraft.crafted.quartz_slab: #11, 174(1%)
minecraft.crafted.light_gray_stained_glass_pane: #11, 216(1%)
minecraft.picked_up.polished_blackstone_brick_wall: #11, 4(1%)
minecraft.dropped.cyan_stained_glass: #11, 3(1%)
minecraft.used.nether_wart: #11, 457(1%)
minecraft.mined.polished_blackstone_brick_wall: #11, 3(1%)
minecraft.dropped.soul_torch: #11, 1(1%)
minecraft.crafted.cyan_stained_glass: #11, 336(0%)
minecraft.crafted.light_blue_stained_glass: #11, 200(0%)
minecraft.dropped.white_stained_glass: #11, 4(0%)
minecraft.used.prismarine_slab: #11, 7(1%)
minecraft.picked_up.chiseled_nether_bricks: #11, 3(0%)
minecraft.picked_up.andesite_stairs: #11, 10(0%)
minecraft.mined.fletching_table: #11, 2(0%)
minecraft.used.dark_oak_sapling: #11, 30(0%)
minecraft.picked_up.magenta_stained_glass_pane: #11, 1(0%)
minecraft.crafted.chiseled_stone_bricks: #11, 38(0%)
minecraft.dropped.feather: #11, 20(0%)
minecraft.dropped.polished_blackstone: #11, 2(0%)
minecraft.crafted.diorite_wall: #11, 6(0%)
minecraft.crafted.gray_wool: #11, 8(0%)
minecraft.dropped.rose_bush: #11, 14(0%)
minecraft.used.azure_bluet: #11, 1(0%)
minecraft.picked_up.pink_dye: #11, 1(0%)
minecraft.dropped.spectral_arrow: #11, 3(0%)
minecraft.used.honeycomb_block: #11, 8(0%)
minecraft.picked_up.red_nether_bricks: #11, 2(0%)
minecraft.crafted.arrow: #11, 4(0%)
minecraft.used.acacia_wood: #11, 1(0%)
minecraft.used.polished_andesite_slab: #12, 847(4%)
minecraft.picked_up.damaged_anvil: #12, 10(4%)
minecraft.used.writable_book: #12, 130(3%)
minecraft.used.bow: #12, 3347(3%)
minecraft.mined.redstone_wall_torch: #12, 52(3%)
minecraft.mined.glass: #12, 593(3%)
minecraft.picked_up.bone_block: #12, 405(3%)
minecraft.picked_up.shield: #12, 10(3%)
minecraft.picked_up.pufferfish: #12, 20(2%)
minecraft.used.netherrack: #12, 6366(2%)
minecraft.picked_up.iron_bars: #12, 271(2%)
minecraft.crafted.hopper: #12, 778(2%)
minecraft.picked_up.nether_bricks: #12, 996(2%)
minecraft.crafted.white_bed: #12, 13(2%)
