stat, rank, value, (percentage) 
minecraft.used.warped_stairs: #2, 403(15%)
minecraft.used.mossy_stone_bricks: #2, 397(15%)
minecraft.mined.jungle_pressure_plate: #1, 4(27%)
minecraft.picked_up.mossy_stone_bricks: #2, 214(13%)
minecraft.used.trident: #2, 1021(16%)
minecraft.mined.yellow_stained_glass: #2, 372(20%)
minecraft.mined.dandelion: #2, 600(12%)
minecraft.used.warped_pressure_plate: #2, 41(31%)
minecraft.used.beetroot_soup: #1, 7(88%)
minecraft.crafted.beetroot_soup: #1, 7(88%)
minecraft.picked_up.chainmail_leggings: #2, 14(11%)
minecraft.crafted.polished_diorite_slab: #2, 790(34%)
minecraft.picked_up.smooth_stone: #2, 5045(11%)
minecraft.picked_up.magenta_bed: #1, 24(34%)
minecraft.crafted.granite_stairs: #2, 212(27%)
minecraft.crafted.warped_stairs: #2, 372(14%)
minecraft.picked_up.oak_door: #2, 74(13%)
minecraft.broken.golden_boots: #1, 5(42%)
minecraft.used.golden_apple: #2, 30(17%)
minecraft.mined.blue_orchid: #2, 108(14%)
minecraft.mined.magenta_bed: #1, 23(33%)
minecraft.used.jungle_stairs: #2, 564(18%)
minecraft.crafted.magenta_shulker_box: #2, 14(24%)
minecraft.used.birch_sign: #3, 1167(15%)
minecraft.crafted.wheat: #2, 2918(13%)
minecraft.used.podzol: #2, 5606(14%)
minecraft.picked_up.orange_carpet: #2, 255(15%)
minecraft.mined.warped_fence: #2, 52(17%)
minecraft.picked_up.golden_helmet: #2, 65(10%)
minecraft.used.green_shulker_box: #2, 240(11%)
minecraft.picked_up.oak_planks: #2, 1863(10%)
minecraft.broken.bow: #1, 2(29%)
minecraft.crafted.jungle_slab: #3, 4838(17%)
minecraft.picked_up.lime_stained_glass: #3, 1092(19%)
minecraft.crafted.blue_carpet: #2, 947(20%)
minecraft.used.black_banner: #2, 148(17%)
minecraft.used.slime_block: #3, 2581(15%)
minecraft.mined.allium: #2, 88(24%)
minecraft.crafted.gunpowder: #1, 16(67%)
minecraft.crafted.warped_door: #2, 18(19%)
minecraft.mined.cornflower: #2, 138(10%)
minecraft.picked_up.warped_fence: #2, 48(14%)
minecraft.picked_up.wheat_seeds: #2, 31492(9%)
minecraft.mined.warped_fungus: #2, 222(10%)
minecraft.used.sandstone_wall: #2, 1604(13%)
minecraft.picked_up.warped_door: #2, 12(18%)
minecraft.picked_up.brown_wool: #3, 2309(16%)
minecraft.used.magenta_shulker_box: #2, 158(13%)
minecraft.mined.magenta_shulker_box: #2, 155(13%)
minecraft.custom.walk_under_water_one_cm: #3, 22765173(6%)
minecraft.picked_up.leather_boots: #2, 42(9%)
minecraft.used.pumpkin_pie: #3, 721(16%)
minecraft.picked_up.leather_chestplate: #2, 43(9%)
minecraft.custom.animals_bred: #2, 2644(9%)
minecraft.used.brown_stained_glass_pane: #2, 107(21%)
minecraft.picked_up.slime_block: #2, 1320(9%)
minecraft.mined.sugar_cane: #3, 11184(13%)
minecraft.mined.white_tulip: #2, 87(13%)
minecraft.custom.interact_with_furnace: #2, 4798(8%)
minecraft.crafted.brown_stained_glass_pane: #2, 184(19%)
minecraft.mined.birch_wall_sign: #3, 217(13%)
minecraft.used.polished_blackstone_slab: #2, 3869(10%)
minecraft.picked_up.yellow_dye: #2, 192(15%)
minecraft.crafted.pink_carpet: #2, 531(13%)
minecraft.used.pink_carpet: #2, 500(13%)
minecraft.picked_up.golden_pickaxe: #1, 1(50%)
minecraft.broken.iron_leggings: #1, 1(25%)
minecraft.broken.chainmail_leggings: #1, 1(50%)
minecraft.broken.chainmail_boots: #1, 3(100%)
minecraft.broken.chainmail_helmet: #1, 1(100%)
minecraft.broken.chainmail_chestplate: #1, 1(100%)
minecraft.broken.golden_chestplate: #1, 3(100%)
minecraft.broken.golden_axe: #1, 1(100%)
minecraft.broken.golden_pickaxe: #1, 14(100%)
minecraft.crafted.golden_axe: #1, 1(100%)
minecraft.crafted.sea_pickle: #1, 5(50%)
minecraft.crafted.diorite: #1, 30(100%)
minecraft.used.golden_axe: #1, 49(100%)
minecraft.killed_by.cave_spider: #1, 1(33%)
minecraft.broken.wooden_pickaxe: #1, 1(33%)
minecraft.dropped.jukebox: #1, 1(33%)
minecraft.crafted.iron_sword: #3, 47(12%)
minecraft.crafted.writable_book: #2, 275(9%)
minecraft.broken.iron_axe: #3, 18(15%)
minecraft.picked_up.magenta_shulker_box: #2, 137(11%)
minecraft.picked_up.magenta_carpet: #3, 162(18%)
minecraft.mined.soul_wall_torch: #2, 29(21%)
minecraft.picked_up.red_carpet: #3, 490(13%)
minecraft.picked_up.acacia_stairs: #3, 319(22%)
minecraft.picked_up.crimson_fence: #3, 84(18%)
minecraft.crafted.birch_planks: #3, 24359(12%)
minecraft.mined.red_glazed_terracotta: #2, 218(29%)
minecraft.used.acacia_slab: #2, 515(13%)
minecraft.crafted.crimson_door: #2, 12(16%)
minecraft.mined.acacia_sign: #2, 5(22%)
minecraft.picked_up.polished_blackstone_slab: #3, 862(12%)
minecraft.mined.mossy_cobblestone: #2, 176(8%)
minecraft.picked_up.ladder: #3, 871(11%)
minecraft.picked_up.sea_pickle: #3, 607(14%)
minecraft.used.lime_stained_glass_pane: #3, 908(16%)
minecraft.crafted.red_glazed_terracotta: #2, 399(24%)
minecraft.killed_by.ravager: #2, 10(9%)
minecraft.broken.stone_axe: #2, 3(14%)
minecraft.mined.player_head: #3, 162(11%)
minecraft.crafted.birch_boat: #3, 24(16%)
minecraft.used.cut_red_sandstone: #2, 61(18%)
minecraft.crafted.yellow_stained_glass: #3, 2328(17%)
minecraft.mined.kelp_plant: #2, 1503(7%)
minecraft.killed.endermite: #3, 38(13%)
minecraft.picked_up.mossy_cobblestone_stairs: #2, 30(14%)
minecraft.crafted.light_blue_carpet: #2, 757(10%)
minecraft.picked_up.blue_concrete_powder: #3, 1850(15%)
minecraft.mined.green_shulker_box: #3, 236(11%)
minecraft.picked_up.black_banner: #2, 116(9%)
minecraft.picked_up.sandstone_stairs: #3, 713(14%)
minecraft.used.orange_stained_glass: #3, 2461(16%)
minecraft.picked_up.green_shulker_box: #3, 233(11%)
minecraft.mined.orange_tulip: #3, 120(19%)
minecraft.used.blue_stained_glass: #3, 2563(17%)
minecraft.dropped.warped_roots: #3, 367(13%)
minecraft.mined.blue_concrete: #3, 1994(12%)
minecraft.crafted.red_sandstone_slab: #2, 90(23%)
minecraft.picked_up.polished_diorite_slab: #2, 171(13%)
minecraft.used.orange_tulip: #2, 67(17%)
minecraft.dropped.packed_ice: #3, 472(14%)
minecraft.crafted.oak_planks: #3, 35907(9%)
