stat, rank, value, (percentage) 
minecraft.killed.pillager: #1, 33729(96%)
minecraft.crafted.light_blue_dye: #1, 8506(38%)
minecraft.mined.quartz_slab: #1, 1438(42%)
minecraft.killed.wither: #1, 164(54%)
minecraft.dropped.prismarine_crystals: #1, 9515(51%)
minecraft.picked_up.chorus_flower: #1, 3480(66%)
minecraft.crafted.quartz_stairs: #1, 7196(51%)
minecraft.picked_up.iron_axe: #1, 139(50%)
minecraft.crafted.birch_sign: #1, 2401(37%)
minecraft.used.birch_slab: #1, 4336(39%)
minecraft.picked_up.birch_planks: #1, 5614(35%)
minecraft.used.sea_pickle: #1, 1609(43%)
minecraft.used.acacia_slab: #1, 2325(57%)
minecraft.mined.piston: #1, 1544(33%)
minecraft.used.wither_skeleton_skull: #1, 562(50%)
minecraft.picked_up.nether_star: #1, 340(44%)
minecraft.crafted.sea_lantern: #1, 60707(98%)
minecraft.crafted.lime_dye: #1, 9462(39%)
minecraft.used.quartz_bricks: #1, 6274(51%)
minecraft.crafted.chiseled_quartz_block: #1, 1871(55%)
minecraft.used.light_blue_stained_glass_pane: #1, 2868(48%)
minecraft.used.piston: #1, 4691(31%)
minecraft.used.purpur_stairs: #1, 1468(63%)
minecraft.picked_up.yellow_stained_glass_pane: #1, 1455(62%)
minecraft.used.polished_blackstone_slab: #1, 14173(35%)
minecraft.used.birch_sign: #1, 2435(32%)
minecraft.picked_up.melon_slice: #1, 17550(33%)
minecraft.crafted.acacia_slab: #1, 2685(46%)
minecraft.used.ice: #1, 13860(35%)
minecraft.used.yellow_stained_glass_pane: #1, 1773(48%)
minecraft.used.lime_stained_glass_pane: #1, 2341(41%)
minecraft.crafted.lime_stained_glass: #1, 14176(37%)
minecraft.mined.sponge: #1, 2406(43%)
minecraft.used.light_blue_concrete: #1, 12417(34%)
minecraft.crafted.tripwire_hook: #1, 1038(31%)
minecraft.picked_up.mycelium: #1, 61246(29%)
minecraft.crafted.oak_fence_gate: #1, 567(32%)
minecraft.used.chiseled_stone_bricks: #1, 1370(37%)
minecraft.used.birch_stairs: #1, 2100(37%)
minecraft.crafted.quartz_bricks: #1, 5756(51%)
minecraft.picked_up.smooth_stone: #1, 12289(27%)
minecraft.crafted.lime_stained_glass_pane: #1, 2480(36%)
minecraft.mined.lime_concrete_powder: #1, 637(59%)
minecraft.used.lime_stained_glass: #1, 11374(34%)
minecraft.used.wet_sponge: #1, 2395(43%)
minecraft.mined.cyan_terracotta: #1, 13854(28%)
minecraft.used.yellow_bed: #1, 214(53%)
minecraft.crafted.iron_sword: #1, 100(26%)
minecraft.used.polished_blackstone_stairs: #1, 3383(32%)
minecraft.picked_up.bell: #1, 214(29%)
minecraft.mined.oak_fence_gate: #1, 274(30%)
minecraft.crafted.quartz_pillar: #1, 16945(39%)
minecraft.crafted.pink_dye: #1, 3324(32%)
minecraft.picked_up.sea_lantern: #1, 5851(27%)
minecraft.picked_up.sponge: #1, 2406(36%)
minecraft.mined.pink_carpet: #1, 321(56%)
minecraft.picked_up.pink_carpet: #1, 395(56%)
minecraft.used.oak_fence_gate: #1, 669(31%)
minecraft.dropped.player_head: #1, 529(25%)
minecraft.crafted.light_blue_stained_glass_pane: #1, 2585(38%)
minecraft.used.chorus_flower: #1, 4494(77%)
minecraft.crafted.orange_dye: #1, 4250(28%)
minecraft.mined.lime_stained_glass: #1, 1143(36%)
minecraft.picked_up.chorus_fruit: #1, 7748(29%)
minecraft.mined.yellow_bed: #1, 213(55%)
minecraft.mined.mycelium: #1, 62624(26%)
minecraft.crafted.iron_shovel: #2, 233(29%)
minecraft.crafted.orange_terracotta: #1, 1968(59%)
minecraft.crafted.dried_kelp: #1, 9116(37%)
minecraft.mined.smooth_stone_slab: #1, 7351(28%)
minecraft.used.birch_fence_gate: #1, 727(35%)
minecraft.picked_up.yellow_bed: #1, 214(54%)
minecraft.used.pumpkin_seeds: #1, 543(28%)
minecraft.crafted.birch_fence_gate: #1, 785(34%)
minecraft.crafted.birch_stairs: #1, 1920(32%)
minecraft.mined.cyan_stained_glass_pane: #1, 471(44%)
minecraft.crafted.magenta_dye: #1, 3292(28%)
minecraft.dropped.totem_of_undying: #1, 38(34%)
minecraft.picked_up.obsidian: #1, 6396(23%)
minecraft.crafted.blue_dye: #1, 14035(22%)
minecraft.dropped.iron_sword: #1, 65(26%)
minecraft.used.lever: #1, 1519(22%)
minecraft.crafted.polished_blackstone: #1, 23872(24%)
minecraft.used.totem_of_undying: #1, 76(27%)
minecraft.picked_up.orange_stained_glass_pane: #1, 805(37%)
minecraft.used.sand: #1, 79931(21%)
minecraft.dropped.sea_pickle: #1, 213(52%)
minecraft.used.smooth_quartz_stairs: #1, 4749(24%)
minecraft.used.melon_seeds: #1, 534(28%)
minecraft.used.light_blue_concrete_powder: #1, 11841(31%)
minecraft.used.acacia_planks: #1, 710(31%)
minecraft.crafted.end_rod: #1, 6184(45%)
minecraft.crafted.light_blue_concrete_powder: #1, 12432(31%)
minecraft.picked_up.lever: #1, 1063(21%)
minecraft.used.prismarine_bricks: #2, 12794(37%)
minecraft.crafted.brown_wool: #1, 511(32%)
minecraft.used.beacon: #1, 282(21%)
minecraft.crafted.purpur_block: #1, 5232(69%)
minecraft.crafted.purpur_slab: #1, 7006(80%)
minecraft.crafted.yellow_dye: #1, 4961(21%)
minecraft.picked_up.golden_apple: #1, 145(24%)
minecraft.mined.cobblestone_slab: #1, 847(22%)
minecraft.picked_up.allium: #1, 781(30%)
minecraft.dropped.carrot: #2, 18863(27%)
minecraft.dropped.orange_concrete: #1, 95(47%)
minecraft.crafted.andesite_slab: #2, 6378(32%)
minecraft.crafted.quartz_slab: #2, 7513(27%)
minecraft.picked_up.cyan_terracotta: #1, 13086(20%)
minecraft.mined.glass: #1, 4147(19%)
minecraft.mined.birch_fence_gate: #1, 109(31%)
minecraft.picked_up.chiseled_stone_bricks: #1, 562(23%)
minecraft.mined.dark_oak_trapdoor: #1, 664(21%)
minecraft.mined.prismarine_bricks: #2, 9676(32%)
minecraft.killed_by.vex: #1, 16(26%)
minecraft.custom.sneak_time: #1, 9249548(9%)
minecraft.dropped.cactus: #2, 2391(23%)
minecraft.used.glass: #1, 15081(18%)
minecraft.crafted.polished_blackstone_wall: #1, 2382(31%)
minecraft.picked_up.smooth_quartz: #2, 3410(25%)
minecraft.picked_up.red_tulip: #2, 2673(31%)
minecraft.used.smooth_stone: #2, 30635(22%)
minecraft.mined.polished_andesite: #1, 3527(19%)
minecraft.mined.soul_sand: #1, 9833(19%)
minecraft.crafted.stone_hoe: #2, 92(26%)
minecraft.picked_up.lime_stained_glass: #1, 1351(24%)
minecraft.used.soul_sand: #2, 5222(22%)
minecraft.mined.birch_stairs: #1, 331(25%)
minecraft.used.birch_planks: #2, 8112(23%)
minecraft.picked_up.wither_rose: #1, 1310(21%)
minecraft.used.cooked_cod: #2, 451(26%)
minecraft.used.smooth_quartz_slab: #2, 11811(26%)
minecraft.broken.iron_shovel: #2, 99(24%)
minecraft.crafted.smooth_quartz_slab: #1, 6852(26%)
minecraft.picked_up.beacon: #1, 219(17%)
minecraft.mined.andesite_slab: #2, 1635(25%)
minecraft.mined.stone_slab: #1, 2276(17%)
minecraft.picked_up.prismarine_bricks: #2, 7962(28%)
minecraft.picked_up.lily_of_the_valley: #2, 1563(28%)
minecraft.killed.endermite: #1, 59(21%)
minecraft.dropped.brown_mushroom: #1, 519(19%)
minecraft.crafted.prismarine: #1, 34335(98%)
minecraft.picked_up.blue_glazed_terracotta: #1, 111(78%)
minecraft.used.target: #2, 678(33%)
minecraft.used.warped_fungus_on_a_stick: #1, 114(64%)
minecraft.crafted.golden_chestplate: #1, 33(28%)
minecraft.dropped.quartz_stairs: #1, 63(48%)
minecraft.picked_up.birch_stairs: #1, 321(23%)
minecraft.mined.crimson_trapdoor: #1, 202(25%)
minecraft.dropped.lime_stained_glass_pane: #1, 192(55%)
minecraft.used.packed_ice: #2, 7114(23%)
minecraft.crafted.cyan_dye: #1, 8756(17%)
minecraft.dropped.cooked_cod: #1, 297(29%)
minecraft.crafted.iron_hoe: #1, 19(18%)
minecraft.crafted.quartz_block: #2, 45745(20%)
minecraft.crafted.yellow_stained_glass: #1, 3280(24%)
minecraft.dropped.light_blue_stained_glass: #1, 226(40%)
minecraft.mined.orange_concrete_powder: #1, 57(36%)
minecraft.used.crimson_trapdoor: #1, 590(24%)
minecraft.crafted.chiseled_stone_bricks: #1, 2812(26%)
minecraft.crafted.cut_sandstone_slab: #1, 1152(35%)
minecraft.crafted.observer: #1, 3068(16%)
minecraft.crafted.golden_leggings: #1, 25(27%)
minecraft.mined.smooth_quartz_slab: #2, 1948(22%)
minecraft.mined.beacon: #1, 151(15%)
minecraft.used.iron_shovel: #2, 24907(18%)
minecraft.custom.damage_absorbed: #1, 1562(19%)
minecraft.crafted.stone_shovel: #2, 178(26%)
minecraft.used.polished_blackstone_wall: #2, 3195(22%)
minecraft.mined.blue_glazed_terracotta: #1, 101(83%)
minecraft.mined.soul_campfire: #1, 25(33%)
minecraft.dropped.stone_hoe: #2, 104(31%)
minecraft.mined.prismarine: #2, 6902(25%)
minecraft.mined.purpur_pillar: #2, 643(22%)
minecraft.crafted.iron_boots: #2, 40(19%)
minecraft.used.ender_pearl: #2, 2896(18%)
minecraft.picked_up.birch_fence_gate: #1, 72(20%)
minecraft.dropped.dark_prismarine: #1, 416(27%)
minecraft.crafted.polished_blackstone_slab: #1, 3862(18%)
minecraft.picked_up.lime_concrete: #2, 2511(19%)
minecraft.used.carrot: #2, 5447(18%)
minecraft.crafted.yellow_stained_glass_pane: #2, 925(26%)
minecraft.picked_up.purpur_pillar: #2, 630(21%)
minecraft.picked_up.conduit: #1, 12(39%)
minecraft.broken.iron_hoe: #1, 10(38%)
minecraft.crafted.pumpkin_seeds: #2, 756(27%)
minecraft.crafted.iron_chestplate: #1, 21(14%)
minecraft.used.purpur_block: #2, 446(22%)
minecraft.dropped.melon_slice: #2, 6647(29%)
minecraft.crafted.target: #2, 734(25%)
minecraft.mined.purple_stained_glass: #2, 714(31%)
minecraft.mined.nether_brick_slab: #2, 738(18%)
minecraft.picked_up.quartz_block: #2, 3513(18%)
minecraft.crafted.prismarine_bricks: #1, 23497(99%)
minecraft.picked_up.pufferfish: #2, 135(17%)
minecraft.used.note_block: #2, 932(21%)
minecraft.used.brewing_stand: #1, 92(13%)
minecraft.crafted.smooth_stone: #2, 12545(16%)
minecraft.dropped.red_mushroom: #1, 147(14%)
minecraft.crafted.purpur_stairs: #1, 1412(95%)
minecraft.mined.obsidian: #2, 6288(16%)
minecraft.dropped.target: #1, 64(47%)
minecraft.picked_up.quartz_slab: #2, 1234(17%)
minecraft.used.sponge: #2, 2353(20%)
minecraft.used.observer: #2, 3783(17%)
minecraft.crafted.dark_prismarine: #1, 43789(94%)
minecraft.crafted.purpur_pillar: #1, 3439(94%)
minecraft.dropped.stone_pickaxe: #2, 114(20%)
minecraft.picked_up.cooked_cod: #2, 401(20%)
minecraft.picked_up.oak_fence_gate: #2, 232(18%)
minecraft.mined.smooth_quartz_stairs: #2, 847(18%)
minecraft.mined.conduit: #1, 12(40%)
minecraft.crafted.polished_andesite_slab: #2, 2754(19%)
minecraft.picked_up.crossbow: #2, 166(16%)
minecraft.used.quartz_slab: #2, 4250(18%)
minecraft.picked_up.wet_sponge: #2, 2452(19%)
minecraft.mined.brewing_stand: #1, 68(13%)
minecraft.crafted.apple: #2, 2176(31%)
minecraft.used.cactus: #2, 1399(17%)
minecraft.used.purple_stained_glass: #2, 3099(23%)
minecraft.crafted.brown_dye: #2, 2448(18%)
minecraft.crafted.experience_bottle: #1, 5122(33%)
minecraft.crafted.golden_apple: #2, 844(21%)
minecraft.crafted.emerald_block: #2, 2950(17%)
minecraft.dropped.stone_shovel: #2, 134(33%)
minecraft.used.obsidian: #2, 5186(15%)
minecraft.crafted.melon_seeds: #2, 549(24%)
minecraft.mined.dispenser: #1, 185(11%)
minecraft.mined.polished_andesite_slab: #2, 899(15%)
minecraft.picked_up.soul_campfire: #1, 25(25%)
minecraft.picked_up.emerald: #2, 2500(14%)
minecraft.mined.wet_sponge: #2, 2408(19%)
minecraft.used.smooth_quartz: #2, 5736(16%)
minecraft.dropped.redstone_block: #2, 357(19%)
minecraft.picked_up.orange_concrete: #2, 1763(15%)
minecraft.mined.brown_stained_glass_pane: #1, 23(33%)
minecraft.picked_up.soul_sand: #2, 8131(14%)
minecraft.crafted.brown_stained_glass_pane: #1, 208(21%)
minecraft.crafted.birch_planks: #2, 28543(14%)
minecraft.picked_up.light_blue_concrete: #3, 4065(20%)
minecraft.picked_up.smooth_quartz_stairs: #2, 869(16%)
minecraft.mined.polished_blackstone_stairs: #2, 334(16%)
minecraft.used.orange_stained_glass_pane: #2, 825(23%)
minecraft.dropped.golden_apple: #2, 91(25%)
minecraft.crafted.note_block: #2, 877(17%)
minecraft.picked_up.orange_tulip: #2, 415(24%)
minecraft.crafted.brown_stained_glass: #2, 960(24%)
minecraft.used.brown_concrete: #2, 1641(24%)
minecraft.killed.pufferfish: #2, 63(18%)
minecraft.picked_up.cactus: #2, 3200(12%)
minecraft.used.conduit: #1, 13(30%)
minecraft.picked_up.prismarine: #2, 4785(16%)
minecraft.crafted.cobblestone_slab: #2, 3936(14%)
minecraft.mined.brown_stained_glass: #2, 101(26%)
minecraft.mined.gray_stained_glass: #2, 762(19%)
minecraft.used.oak_trapdoor: #2, 1092(14%)
minecraft.mined.brown_mushroom: #2, 297(13%)
minecraft.custom.crouch_one_cm: #2, 32676952(10%)
minecraft.crafted.stone_pickaxe: #2, 111(13%)
minecraft.used.tnt: #3, 11561(18%)
minecraft.crafted.iron_trapdoor: #2, 4041(14%)
minecraft.used.brown_stained_glass: #2, 578(25%)
minecraft.picked_up.cyan_stained_glass_pane: #2, 420(21%)
minecraft.picked_up.bowl: #2, 31(21%)
minecraft.used.iron_trapdoor: #2, 3792(13%)
minecraft.picked_up.smooth_quartz_slab: #2, 1890(15%)
minecraft.crafted.cyan_stained_glass_pane: #2, 704(18%)
minecraft.crafted.nether_brick_slab: #2, 1692(15%)
minecraft.used.milk_bucket: #2, 21(13%)
minecraft.mined.dark_oak_planks: #2, 1295(13%)
minecraft.used.diamond_pickaxe: #2, 1037584(11%)
minecraft.crafted.birch_slab: #2, 4038(14%)
minecraft.used.cyan_stained_glass_pane: #2, 471(19%)
minecraft.picked_up.carrot: #2, 13942(12%)
minecraft.used.chiseled_quartz_block: #2, 1785(16%)
minecraft.crafted.bowl: #2, 104(31%)
minecraft.used.crossbow: #2, 521(13%)
minecraft.picked_up.diamond_pickaxe: #2, 148(11%)
minecraft.dropped.popped_chorus_fruit: #1, 128(86%)
minecraft.used.lime_glazed_terracotta: #1, 79(43%)
minecraft.crafted.diamond_pickaxe: #2, 55(11%)
minecraft.used.crying_obsidian: #2, 2623(17%)
minecraft.crafted.purple_stained_glass: #2, 3080(17%)
minecraft.used.hopper_minecart: #2, 131(12%)
minecraft.used.horn_coral_block: #2, 47(24%)
minecraft.mined.acacia_planks: #2, 242(21%)
minecraft.crafted.stone_slab: #2, 7658(12%)
minecraft.mined.chiseled_quartz_block: #2, 224(16%)
minecraft.used.cyan_terracotta: #3, 37916(16%)
minecraft.dropped.wither_skeleton_skull: #2, 40(44%)
minecraft.crafted.lever: #2, 602(11%)
minecraft.dropped.armor_stand: #2, 34(14%)
minecraft.dropped.lime_stained_glass: #2, 263(24%)
minecraft.mined.lime_glazed_terracotta: #1, 30(41%)
minecraft.picked_up.purple_stained_glass: #2, 564(18%)
minecraft.mined.pink_concrete_powder: #2, 31(29%)
minecraft.mined.light_blue_stained_glass_pane: #2, 474(17%)
minecraft.picked_up.light_blue_stained_glass_pane: #2, 521(16%)
minecraft.picked_up.sand: #2, 245006(11%)
minecraft.picked_up.quartz_pillar: #3, 931(18%)
minecraft.mined.orange_stained_glass: #2, 743(21%)
minecraft.used.quartz_pillar: #2, 2990(13%)
minecraft.picked_up.dark_oak_trapdoor: #2, 694(11%)
minecraft.mined.bubble_column: #1, 2(50%)
minecraft.mined.iron_trapdoor: #2, 624(12%)
minecraft.custom.interact_with_beacon: #2, 171(10%)
minecraft.dropped.yellow_concrete_powder: #2, 286(35%)
minecraft.mined.mushroom_stem: #3, 1783(15%)
minecraft.mined.red_nether_brick_slab: #2, 296(22%)
minecraft.mined.wither_rose: #2, 161(14%)
minecraft.used.respawn_anchor: #2, 99(26%)
minecraft.mined.lime_concrete: #3, 2456(16%)
minecraft.mined.pink_bed: #2, 12(18%)
minecraft.crafted.armor_stand: #2, 3812(10%)
minecraft.picked_up.light_blue_dye: #2, 160(16%)
minecraft.picked_up.lime_stained_glass_pane: #2, 219(13%)
minecraft.used.oak_boat: #2, 133(9%)
minecraft.dropped.dispenser: #2, 147(19%)
minecraft.picked_up.pink_bed: #2, 12(17%)
minecraft.picked_up.salmon: #3, 208(15%)
minecraft.picked_up.oak_boat: #2, 130(9%)
minecraft.mined.cobblestone_wall: #3, 314(15%)
minecraft.crafted.polished_blackstone_bricks: #2, 3060(12%)
minecraft.picked_up.acacia_planks: #2, 245(12%)
minecraft.crafted.dried_kelp_block: #2, 16088(16%)
minecraft.dropped.pufferfish: #2, 22(12%)
minecraft.crafted.golden_boots: #3, 23(20%)
minecraft.used.soul_campfire: #2, 59(16%)
minecraft.mined.light_blue_concrete: #3, 3443(16%)
minecraft.used.wither_rose: #2, 859(13%)
minecraft.used.cocoa_beans: #3, 3083(17%)
minecraft.used.crimson_planks: #3, 1784(17%)
minecraft.picked_up.stone_hoe: #2, 15(13%)
minecraft.mined.potatoes: #2, 467(12%)
minecraft.used.mycelium: #2, 3261(9%)
minecraft.crafted.purple_dye: #3, 3596(14%)
minecraft.dropped.powered_rail: #2, 156(11%)
minecraft.dropped.prismarine_brick_slab: #1, 57(100%)
minecraft.mined.potted_brown_mushroom: #1, 1(100%)
minecraft.crafted.lily_pad: #1, 2(100%)
minecraft.picked_up.wither_skeleton_skull: #2, 87(12%)
minecraft.picked_up.brown_stained_glass: #2, 79(14%)
minecraft.used.yellow_concrete: #3, 4205(16%)
minecraft.mined.light_blue_concrete_powder: #2, 63(20%)
minecraft.picked_up.red_mushroom: #3, 685(13%)
minecraft.dropped.dragon_breath: #2, 64(39%)
minecraft.picked_up.cocoa_beans: #3, 7407(14%)
minecraft.picked_up.blue_stained_glass_pane: #2, 48(24%)
minecraft.crafted.smooth_stone_slab: #3, 14886(13%)
minecraft.dropped.redstone_torch: #2, 106(11%)
minecraft.crafted.orange_stained_glass_pane: #3, 843(19%)
minecraft.mined.blue_stained_glass_pane: #2, 48(23%)
minecraft.picked_up.yellow_concrete: #3, 2388(13%)
minecraft.used.red_nether_brick_slab: #2, 638(16%)
minecraft.crafted.red_nether_brick_slab: #2, 576(21%)
minecraft.crafted.cyan_banner: #2, 37(17%)
minecraft.used.yellow_stained_glass: #3, 1882(19%)
minecraft.killed.skeleton: #2, 12165(7%)
minecraft.crafted.light_gray_dye: #3, 4062(12%)
minecraft.crafted.acacia_fence: #2, 114(14%)
minecraft.killed.witch: #2, 7428(9%)
minecraft.used.chest: #2, 3286(7%)
minecraft.dropped.glass_bottle: #2, 565(9%)
minecraft.mined.white_stained_glass: #3, 1411(13%)
minecraft.used.cyan_banner: #2, 37(18%)
minecraft.crafted.golden_helmet: #3, 18(13%)
minecraft.picked_up.target: #2, 111(12%)
minecraft.picked_up.brown_mushroom: #3, 1477(11%)
minecraft.picked_up.orange_stained_glass: #3, 802(16%)
minecraft.crafted.brown_carpet: #3, 1071(14%)
minecraft.mined.end_stone: #2, 5189(9%)
minecraft.crafted.tnt: #3, 12848(13%)
minecraft.used.orange_concrete_powder: #3, 3726(16%)
minecraft.crafted.lime_glazed_terracotta: #2, 12(33%)
minecraft.mined.pink_stained_glass_pane: #2, 34(28%)
minecraft.dropped.crossbow: #3, 254(12%)
minecraft.used.tropical_fish: #2, 6(27%)
minecraft.picked_up.acacia_boat: #3, 22(20%)
minecraft.crafted.polished_blackstone_stairs: #3, 1008(19%)
minecraft.crafted.orange_concrete_powder: #3, 3968(15%)
minecraft.used.water_bucket: #3, 7244(10%)
minecraft.used.yellow_concrete_powder: #3, 4256(14%)
minecraft.picked_up.brown_stained_glass_pane: #2, 23(32%)
minecraft.crafted.piston: #3, 2027(10%)
minecraft.used.kelp: #3, 2918(12%)
minecraft.mined.yellow_concrete: #3, 2758(13%)
minecraft.used.polished_blackstone: #3, 4654(11%)
minecraft.picked_up.brown_concrete: #2, 344(10%)
minecraft.crafted.hopper_minecart: #3, 132(11%)
minecraft.used.blue_glazed_terracotta: #2, 101(30%)
minecraft.used.brown_carpet: #3, 780(12%)
minecraft.crafted.oak_trapdoor: #3, 918(11%)
minecraft.used.purpur_slab: #2, 184(13%)
minecraft.used.iron_hoe: #2, 2606(7%)
minecraft.custom.damage_taken: #3, 692018(8%)
minecraft.mined.yellow_stained_glass: #3, 323(17%)
minecraft.dropped.blaze_rod: #3, 178(17%)
minecraft.crafted.orange_stained_glass: #3, 2536(14%)
minecraft.mined.potted_blue_orchid: #2, 4(24%)
minecraft.custom.swim_one_cm: #3, 10370526(9%)
minecraft.used.netherrack: #3, 25851(10%)
minecraft.mined.kelp: #3, 1076(10%)
minecraft.dropped.cod_bucket: #2, 272(45%)
minecraft.picked_up.red_sandstone_slab: #2, 9(33%)
minecraft.picked_up.tropical_fish: #2, 138(6%)
minecraft.picked_up.polished_blackstone_stairs: #3, 270(12%)
minecraft.picked_up.lime_glazed_terracotta: #2, 27(26%)
minecraft.used.scaffolding: #3, 22413(10%)
minecraft.dropped.sea_lantern: #3, 313(14%)
minecraft.crafted.prismarine_brick_stairs: #2, 228(13%)
minecraft.mined.quartz_pillar: #3, 449(11%)
minecraft.mined.red_nether_brick_stairs: #2, 53(14%)
minecraft.picked_up.scaffolding: #3, 22293(10%)
minecraft.killed_by.player: #3, 114(9%)
minecraft.used.prismarine_brick_stairs: #2, 215(10%)
minecraft.mined.potted_birch_sapling: #2, 4(20%)
minecraft.used.stripped_jungle_log: #2, 35(11%)
minecraft.mined.dark_oak_stairs: #3, 465(10%)
minecraft.used.light_gray_carpet: #2, 2738(5%)
minecraft.used.acacia_boat: #3, 21(17%)
minecraft.mined.orange_concrete: #3, 1713(11%)
minecraft.crafted.end_stone_brick_wall: #2, 12(29%)
minecraft.custom.mob_kills: #3, 181338(8%)
minecraft.crafted.yellow_concrete_powder: #3, 4328(13%)
minecraft.picked_up.gray_stained_glass: #3, 838(14%)
minecraft.picked_up.pink_tulip: #2, 339(6%)
minecraft.picked_up.oak_trapdoor: #3, 273(10%)
minecraft.crafted.crimson_trapdoor: #3, 474(14%)
minecraft.crafted.mushroom_stew: #2, 14(27%)
minecraft.used.music_disc_pigstep: #2, 5(22%)
minecraft.mined.prismarine_brick_slab: #2, 193(12%)
minecraft.mined.observer: #3, 595(9%)
minecraft.used.orange_concrete: #3, 1773(10%)
minecraft.dropped.prismarine_bricks: #3, 103(19%)
minecraft.mined.red_sandstone_slab: #2, 9(35%)
minecraft.used.stone_button: #3, 4887(8%)
minecraft.picked_up.white_stained_glass: #3, 1291(9%)
minecraft.picked_up.brewing_stand: #3, 73(9%)
minecraft.picked_up.popped_chorus_fruit: #2, 182(31%)
minecraft.crafted.stone_button: #3, 5208(8%)
minecraft.dropped.gray_stained_glass: #2, 95(9%)
minecraft.mined.light_gray_carpet: #3, 426(8%)
minecraft.picked_up.crimson_trapdoor: #3, 199(12%)
minecraft.picked_up.yellow_stained_glass: #3, 391(13%)
minecraft.dropped.piston: #3, 92(19%)
minecraft.dropped.horn_coral_block: #2, 16(30%)
minecraft.mined.purpur_slab: #3, 99(10%)
minecraft.mined.cauldron: #3, 24(9%)
minecraft.picked_up.sugar: #3, 438(11%)
minecraft.crafted.red_dye: #4, 6162(12%)
minecraft.crafted.white_dye: #4, 18062(12%)
minecraft.mined.dirt: #3, 83173(7%)
minecraft.dropped.cocoa_beans: #2, 580(4%)
minecraft.dropped.golden_horse_armor: #2, 2(14%)
minecraft.dropped.salmon: #3, 62(9%)
minecraft.dropped.wet_sponge: #3, 40(19%)
minecraft.picked_up.dead_horn_coral_block: #2, 3(11%)
minecraft.dropped.quartz_slab: #2, 158(5%)
minecraft.picked_up.nether_brick_slab: #3, 603(7%)
minecraft.picked_up.polished_blackstone_wall: #3, 207(8%)
minecraft.used.dead_horn_coral_block: #2, 2(15%)
minecraft.used.cyan_stained_glass: #3, 6828(8%)
minecraft.picked_up.green_bed: #2, 29(4%)
minecraft.crafted.cod_bucket: #2, 305(19%)
