stat, rank, value, (percentage) 
minecraft.used.stone_brick_stairs: #2, 1807(11%)
minecraft.dropped.warped_fence_gate: #1, 2(67%)
minecraft.crafted.oak_sign: #2, 645(10%)
minecraft.picked_up.diorite: #2, 33347(9%)
minecraft.picked_up.cyan_stained_glass: #2, 3322(10%)
minecraft.mined.black_wool: #2, 231(12%)
minecraft.crafted.stripped_warped_hyphae: #2, 258(38%)
minecraft.crafted.chiseled_polished_blackstone: #2, 402(21%)
minecraft.mined.carrots: #2, 2397(10%)
minecraft.mined.white_terracotta: #3, 8712(15%)
minecraft.picked_up.lime_terracotta: #3, 513(18%)
minecraft.used.bubble_coral_fan: #2, 24(19%)
minecraft.mined.grass_block: #2, 96212(9%)
minecraft.crafted.acacia_boat: #2, 8(19%)
minecraft.dropped.smooth_stone_slab: #2, 646(11%)
minecraft.mined.dead_bush: #3, 890(14%)
minecraft.picked_up.granite: #2, 30738(9%)
minecraft.mined.crimson_wall_sign: #2, 25(21%)
minecraft.dropped.nether_brick_stairs: #2, 52(26%)
minecraft.used.andesite: #3, 10978(13%)
minecraft.picked_up.green_terracotta: #3, 512(16%)
minecraft.picked_up.gravel: #3, 95286(11%)
minecraft.dropped.wooden_axe: #2, 4(29%)
minecraft.dropped.dead_horn_coral_fan: #1, 1(100%)
minecraft.crafted.nautilus_shell: #1, 5(50%)
minecraft.used.dark_prismarine: #2, 3531(10%)
minecraft.mined.warped_hyphae: #2, 112(22%)
minecraft.picked_up.magenta_dye: #2, 175(32%)
minecraft.used.dead_brain_coral_fan: #2, 25(32%)
minecraft.mined.cyan_wall_banner: #2, 15(38%)
minecraft.dropped.black_wool: #2, 459(13%)
minecraft.dropped.birch_sign: #3, 183(14%)
minecraft.picked_up.crimson_sign: #2, 28(13%)
minecraft.mined.green_concrete_powder: #2, 783(11%)
minecraft.used.dead_horn_coral_fan: #2, 13(26%)
minecraft.picked_up.light_blue_banner: #2, 36(20%)
minecraft.mined.coal_ore: #2, 18040(7%)
minecraft.crafted.cyan_terracotta: #3, 30584(14%)
minecraft.custom.bell_ring: #2, 137(8%)
minecraft.mined.black_stained_glass: #3, 753(14%)
minecraft.picked_up.black_stained_glass: #3, 1112(13%)
minecraft.picked_up.dead_brain_coral_fan: #2, 30(25%)
minecraft.crafted.gray_stained_glass_pane: #3, 1232(19%)
minecraft.mined.twisting_vines: #3, 116(16%)
minecraft.crafted.brown_glazed_terracotta: #2, 64(23%)
minecraft.picked_up.pink_dye: #3, 148(22%)
minecraft.picked_up.soul_soil: #3, 3711(11%)
minecraft.used.spruce_slab: #3, 5668(12%)
minecraft.picked_up.dead_horn_coral_fan: #2, 14(22%)
minecraft.crafted.activator_rail: #3, 54(23%)
minecraft.mined.warped_wart_block: #3, 7826(11%)
minecraft.used.coal_ore: #3, 5560(11%)
minecraft.dropped.azure_bluet: #3, 256(15%)
minecraft.picked_up.cobblestone: #3, 192333(9%)
minecraft.crafted.light_gray_concrete_powder: #3, 11864(11%)
minecraft.used.white_stained_glass_pane: #3, 1367(12%)
minecraft.dropped.stone_pressure_plate: #3, 114(12%)
minecraft.mined.dead_brain_coral_wall_fan: #2, 33(28%)
minecraft.crafted.brown_terracotta: #3, 5144(17%)
minecraft.dropped.trident: #2, 6(11%)
minecraft.dropped.paper: #3, 3196(11%)
minecraft.used.warped_nylium: #3, 444(12%)
minecraft.used.sponge: #3, 1435(12%)
minecraft.broken.leather_boots: #2, 4(19%)
minecraft.crafted.crimson_fence: #2, 213(12%)
minecraft.used.detector_rail: #3, 55(11%)
minecraft.dropped.gray_concrete_powder: #3, 600(15%)
minecraft.picked_up.warped_hyphae: #3, 160(21%)
minecraft.used.light_gray_concrete: #3, 7056(10%)
minecraft.broken.leather_leggings: #2, 4(16%)
minecraft.picked_up.netherite_scrap: #2, 6(18%)
minecraft.picked_up.furnace: #3, 486(9%)
minecraft.mined.dead_bubble_coral_fan: #2, 4(31%)
minecraft.custom.player_kills: #3, 108(10%)
minecraft.picked_up.wet_sponge: #3, 1443(11%)
minecraft.used.crimson_hyphae: #3, 659(17%)
