stat, rank, value, (percentage) 
minecraft.picked_up.blue_terracotta: #5, 12(6%)
minecraft.picked_up.smooth_quartz: #5, 59(4%)
minecraft.crafted.birch_button: #5, 6(5%)
minecraft.picked_up.sugar_cane: #6, 6211(6%)
minecraft.killed.enderman: #6, 24406(7%)
minecraft.mined.chiseled_stone_bricks: #5, 9(8%)
minecraft.picked_up.grass_block: #6, 19085(5%)
minecraft.crafted.brown_carpet: #5, 129(4%)
minecraft.crafted.torch: #6, 7640(6%)
minecraft.custom.interact_with_blast_furnace: #6, 193(6%)
minecraft.picked_up.ender_pearl: #6, 9297(5%)
minecraft.used.potato: #6, 870(7%)
minecraft.used.stone: #6, 26488(5%)
minecraft.used.redstone_torch: #6, 272(5%)
minecraft.crafted.dark_oak_slab: #6, 774(6%)
minecraft.used.brown_carpet: #5, 78(3%)
minecraft.picked_up.light_gray_wool: #5, 63(2%)
minecraft.crafted.bow: #6, 85(5%)
minecraft.crafted.cracked_deepslate_bricks: #5, 112(3%)
minecraft.crafted.firework_rocket: #6, 21591(7%)
minecraft.crafted.birch_planks: #6, 4268(5%)
minecraft.mined.cracked_deepslate_tiles: #5, 4(3%)
minecraft.dropped.light_gray_wool: #5, 36(3%)
minecraft.killed.wither: #5, 2(2%)
minecraft.picked_up.cyan_wool: #5, 29(3%)
minecraft.mined.oak_sign: #6, 9(6%)
minecraft.used.wooden_pickaxe: #6, 26(5%)
minecraft.mined.chiseled_quartz_block: #5, 1(4%)
minecraft.crafted.light_blue_carpet: #5, 3(3%)
minecraft.used.lime_wool: #5, 15(2%)
minecraft.used.prismarine_brick_stairs: #5, 10(2%)
minecraft.crafted.orange_wool: #5, 1(3%)
minecraft.crafted.pink_concrete_powder: #5, 8(2%)
minecraft.mined.prismarine_bricks: #5, 66(1%)
minecraft.crafted.purple_stained_glass: #5, 32(1%)
minecraft.crafted.orange_carpet: #5, 3(2%)
minecraft.used.pink_carpet: #5, 1(2%)
minecraft.picked_up.lime_wool: #5, 25(1%)
minecraft.picked_up.chiseled_quartz_block: #5, 1(2%)
minecraft.picked_up.magenta_dye: #5, 4(1%)
minecraft.crafted.chiseled_quartz_block: #5, 1(1%)
minecraft.picked_up.melon_seeds: #6, 13(6%)
minecraft.picked_up.orange_dye: #5, 2(1%)
minecraft.used.cactus: #6, 257(5%)
minecraft.picked_up.raw_iron: #6, 5036(4%)
minecraft.crafted.diamond_leggings: #6, 3(4%)
minecraft.used.powered_rail: #6, 576(4%)
minecraft.crafted.dark_prismarine_slab: #5, 2(0%)
minecraft.used.pink_concrete_powder: #5, 1(0%)
minecraft.mined.pink_concrete: #5, 1(0%)
minecraft.picked_up.pink_concrete: #5, 1(0%)
minecraft.used.purple_concrete_powder: #5, 9(0%)
minecraft.used.lime_carpet: #5, 1(0%)
minecraft.used.cyan_concrete_powder: #5, 1(0%)
minecraft.picked_up.prismarine_shard: #5, 18(0%)
minecraft.mined.warped_trapdoor: #6, 12(7%)
minecraft.used.deepslate_tile_wall: #6, 362(5%)
minecraft.used.netherite_pickaxe: #6, 138325(6%)
minecraft.crafted.coal_block: #6, 506(4%)
minecraft.picked_up.gray_carpet: #6, 53(5%)
minecraft.mined.cyan_terracotta: #6, 87(5%)
minecraft.picked_up.azure_bluet: #6, 57(4%)
minecraft.picked_up.brown_wool: #6, 117(7%)
minecraft.dropped.minecart: #6, 4(4%)
minecraft.mined.cobblestone_wall: #6, 43(3%)
minecraft.used.netherite_axe: #6, 8528(6%)
minecraft.used.quartz_block: #6, 237(4%)
minecraft.picked_up.carved_pumpkin: #7, 261(6%)
minecraft.mined.black_carpet: #6, 17(6%)
minecraft.picked_up.slime_ball: #6, 516(2%)
minecraft.used.stone_brick_slab: #7, 1959(8%)
minecraft.killed.magma_cube: #7, 515(6%)
minecraft.used.cyan_terracotta: #6, 929(3%)
minecraft.mined.slime_block: #6, 115(2%)
minecraft.used.birch_button: #6, 6(4%)
minecraft.used.enchanting_table: #7, 4(7%)
minecraft.crafted.spruce_planks: #7, 17516(5%)
minecraft.used.netherite_hoe: #6, 3096(6%)
minecraft.used.basalt: #7, 1304(6%)
minecraft.crafted.cooked_beef: #7, 470(6%)
minecraft.used.mossy_stone_bricks: #6, 110(3%)
minecraft.killed.husk: #7, 11(7%)
minecraft.picked_up.quartz_block: #6, 76(2%)
minecraft.picked_up.black_carpet: #6, 17(3%)
minecraft.crafted.diamond_pickaxe: #7, 14(5%)
minecraft.picked_up.lilac: #7, 92(6%)
minecraft.crafted.pink_carpet: #6, 3(4%)
minecraft.mined.shulker_box: #7, 1228(5%)
minecraft.used.ice: #6, 291(1%)
minecraft.crafted.smooth_quartz_stairs: #6, 14(2%)
minecraft.used.pink_wool: #6, 16(2%)
minecraft.broken.iron_pickaxe: #7, 15(5%)
minecraft.dropped.ender_pearl: #7, 7187(5%)
minecraft.used.bookshelf: #7, 331(5%)
minecraft.mined.cyan_wool: #6, 1(2%)
minecraft.crafted.pink_wool: #6, 1(2%)
minecraft.mined.purple_wool: #6, 2(2%)
minecraft.mined.warped_fence_gate: #6, 1(2%)
minecraft.used.polished_blackstone_brick_slab: #6, 106(1%)
minecraft.picked_up.light_blue_dye: #6, 2(1%)
