stat, rank, value, (percentage) 
minecraft.picked_up.brown_concrete_powder: #4, 5(2%)
minecraft.mined.brown_bed: #4, 1(2%)
minecraft.picked_up.brown_bed: #4, 1(2%)
minecraft.mined.bubble_coral_block: #4, 79(1%)
minecraft.picked_up.blue_ice: #4, 15(1%)
minecraft.picked_up.bubble_coral_block: #4, 78(1%)
minecraft.crafted.acacia_button: #4, 6(1%)
minecraft.dropped.dark_oak_wood: #4, 2(1%)
minecraft.mined.jack_o_lantern: #5, 36(7%)
minecraft.used.acacia_button: #4, 4(1%)
minecraft.used.honeycomb: #5, 401(7%)
minecraft.mined.quartz_stairs: #5, 19(7%)
minecraft.picked_up.warped_hyphae: #4, 1(1%)
minecraft.dropped.light_blue_stained_glass: #4, 1(0%)
minecraft.killed.zombified_piglin: #4, 77(0%)
minecraft.picked_up.lime_concrete_powder: #4, 6(0%)
minecraft.mined.heavy_weighted_pressure_plate: #5, 2(14%)
minecraft.mined.sticky_piston: #6, 93(9%)
minecraft.crafted.black_stained_glass: #5, 5288(5%)
minecraft.used.red_bed: #5, 48(5%)
minecraft.used.birch_fence: #5, 62(6%)
minecraft.used.warped_sign: #5, 46(8%)
minecraft.crafted.sandstone: #5, 265(6%)
minecraft.custom.aviate_one_cm: #6, 483800531(7%)
minecraft.mined.brick_slab: #5, 6(11%)
minecraft.crafted.raw_iron: #5, 1296(5%)
minecraft.used.netherite_axe: #5, 11945(8%)
minecraft.dropped.stick: #6, 1021(7%)
minecraft.dropped.kelp: #5, 313(5%)
minecraft.crafted.lead: #5, 24(5%)
minecraft.used.netherite_sword: #5, 3504(9%)
minecraft.mined.soul_campfire: #5, 1(17%)
minecraft.picked_up.iron_trapdoor: #5, 42(4%)
minecraft.custom.interact_with_smoker: #6, 69(10%)
minecraft.mined.redstone_block: #5, 60(3%)
minecraft.used.stone_slab: #6, 1786(8%)
minecraft.crafted.red_bed: #5, 5(5%)
minecraft.killed.iron_golem: #5, 13(9%)
minecraft.picked_up.vine: #5, 461(4%)
minecraft.mined.light_gray_wool: #5, 13(10%)
minecraft.custom.inspect_dispenser: #6, 466(6%)
minecraft.used.jukebox: #5, 2(11%)
minecraft.used.lilac: #5, 8(4%)
minecraft.picked_up.clay_ball: #6, 984(7%)
minecraft.mined.spruce_pressure_plate: #5, 2(7%)
minecraft.mined.black_banner: #5, 2(14%)
minecraft.crafted.netherite_hoe: #5, 1(14%)
minecraft.dropped.diamond_horse_armor: #5, 1(14%)
minecraft.crafted.diamond: #6, 756(7%)
minecraft.custom.open_barrel: #6, 3776(6%)
minecraft.used.polished_deepslate: #6, 2992(6%)
minecraft.picked_up.baked_potato: #6, 828(7%)
minecraft.used.jungle_button: #5, 6(10%)
minecraft.used.rail: #6, 1689(7%)
minecraft.dropped.diamond_block: #5, 8(7%)
minecraft.picked_up.crimson_fungus: #6, 45(8%)
minecraft.crafted.tnt: #6, 1643(9%)
minecraft.crafted.copper_ingot: #6, 2970(6%)
minecraft.mined.torch: #6, 1442(6%)
minecraft.picked_up.oak_boat: #6, 73(7%)
minecraft.dropped.magma_block: #5, 20(4%)
minecraft.used.blackstone_slab: #5, 181(5%)
minecraft.picked_up.blackstone: #6, 3326(7%)
minecraft.used.crimson_fence: #5, 8(8%)
minecraft.picked_up.firework_rocket: #6, 2832(7%)
minecraft.picked_up.brown_carpet: #5, 34(6%)
minecraft.custom.damage_taken: #6, 205663(4%)
minecraft.mined.crafting_table: #6, 186(6%)
minecraft.custom.interact_with_anvil: #6, 260(5%)
minecraft.mined.jungle_leaves: #5, 732(3%)
minecraft.crafted.writable_book: #6, 15(7%)
minecraft.picked_up.iron_block: #6, 2536(6%)
minecraft.used.spruce_pressure_plate: #5, 4(4%)
minecraft.picked_up.activator_rail: #5, 6(6%)
minecraft.used.netherite_boots: #5, 3(9%)
minecraft.picked_up.gray_dye: #5, 9(6%)
minecraft.dropped.furnace: #5, 2(6%)
minecraft.used.black_stained_glass: #5, 3634(4%)
minecraft.mined.gray_wool: #5, 9(4%)
minecraft.used.grindstone: #5, 58(2%)
minecraft.picked_up.cooked_salmon: #5, 2(7%)
minecraft.mined.anvil: #6, 19(6%)
minecraft.picked_up.crafting_table: #6, 193(6%)
minecraft.mined.jungle_planks: #5, 56(3%)
minecraft.crafted.gray_terracotta: #5, 192(5%)
minecraft.picked_up.raw_gold: #6, 1213(6%)
minecraft.used.oxidized_cut_copper: #5, 60(5%)
minecraft.used.netherite_helmet: #5, 2(8%)
minecraft.crafted.cookie: #5, 296(5%)
minecraft.mined.polished_blackstone_wall: #5, 6(5%)
minecraft.used.red_stained_glass: #5, 65(4%)
minecraft.picked_up.cooked_chicken: #5, 36(3%)
minecraft.crafted.jungle_planks: #5, 1772(2%)
minecraft.used.iron_door: #6, 23(7%)
minecraft.used.warped_hyphae: #5, 86(6%)
minecraft.used.cracked_stone_bricks: #5, 127(3%)
minecraft.mined.polished_blackstone: #6, 150(7%)
minecraft.used.netherrack: #6, 2921(5%)
minecraft.crafted.stone_stairs: #5, 120(2%)
minecraft.mined.oak_trapdoor: #6, 75(6%)
minecraft.dropped.cooked_salmon: #5, 2(8%)
minecraft.crafted.pink_stained_glass: #5, 48(4%)
minecraft.dropped.bow: #6, 101(5%)
minecraft.crafted.cyan_stained_glass: #5, 64(3%)
minecraft.picked_up.rooted_dirt: #5, 68(2%)
minecraft.used.smooth_stone: #6, 1600(8%)
minecraft.mined.white_concrete_powder: #5, 67(2%)
minecraft.used.writable_book: #6, 87(6%)
minecraft.mined.chiseled_deepslate: #5, 19(2%)
minecraft.dropped.packed_ice: #5, 24(4%)
minecraft.used.cobblestone: #6, 4905(5%)
minecraft.picked_up.beacon: #6, 20(6%)
minecraft.used.purple_bed: #5, 2(7%)
minecraft.killed_by.ravager: #5, 1(7%)
minecraft.mined.beehive: #5, 17(3%)
minecraft.picked_up.dead_bubble_coral_block: #5, 25(6%)
minecraft.picked_up.emerald_block: #5, 108(3%)
minecraft.picked_up.purple_bed: #5, 2(7%)
minecraft.picked_up.polished_deepslate_slab: #6, 257(7%)
minecraft.mined.purpur_pillar: #6, 42(8%)
minecraft.used.beacon: #6, 19(6%)
minecraft.dropped.lantern: #5, 11(3%)
minecraft.crafted.activator_rail: #5, 6(5%)
minecraft.used.crimson_roots: #5, 8(4%)
minecraft.mined.jungle_sapling: #5, 6(3%)
minecraft.mined.potted_flowering_azalea_bush: #5, 1(6%)
minecraft.mined.acacia_planks: #5, 39(3%)
minecraft.mined.acacia_slab: #5, 16(3%)
minecraft.used.bamboo: #6, 160(6%)
minecraft.picked_up.beehive: #5, 17(2%)
minecraft.used.red_mushroom_block: #5, 46(3%)
minecraft.picked_up.orange_stained_glass_pane: #5, 1(6%)
minecraft.picked_up.warped_roots: #6, 257(6%)
minecraft.dropped.sea_lantern: #5, 8(4%)
minecraft.mined.wither_skeleton_skull: #5, 2(6%)
minecraft.used.polished_granite: #6, 146(7%)
minecraft.used.dispenser: #6, 92(5%)
minecraft.mined.grass_block: #6, 24000(4%)
minecraft.used.white_tulip: #5, 3(3%)
minecraft.mined.brown_mushroom: #6, 51(6%)
minecraft.picked_up.dead_fire_coral_block: #5, 4(3%)
minecraft.picked_up.item_frame: #6, 137(5%)
minecraft.crafted.granite_slab: #5, 16(4%)
minecraft.picked_up.red_terracotta: #5, 117(1%)
minecraft.mined.light_gray_stained_glass_pane: #5, 9(3%)
minecraft.used.diorite_slab: #5, 16(3%)
minecraft.mined.polished_andesite_slab: #5, 3(3%)
minecraft.crafted.blue_stained_glass: #5, 32(2%)
minecraft.used.birch_sign: #6, 77(5%)
minecraft.dropped.golden_helmet: #6, 17(6%)
minecraft.used.diorite_stairs: #5, 4(3%)
minecraft.dropped.orange_tulip: #5, 1(4%)
minecraft.mined.cut_sandstone: #5, 37(2%)
minecraft.used.kelp: #6, 506(6%)
minecraft.killed.snow_golem: #5, 1(4%)
minecraft.crafted.birch_sign: #6, 75(5%)
minecraft.picked_up.wither_skeleton_skull: #5, 7(1%)
minecraft.mined.jungle_slab: #6, 67(9%)
minecraft.crafted.netherite_ingot: #6, 21(8%)
minecraft.custom.interact_with_smithing_table: #6, 21(5%)
minecraft.used.stripped_acacia_log: #5, 4(2%)
minecraft.used.jungle_log: #6, 278(5%)
minecraft.picked_up.red_nether_bricks: #5, 4(2%)
minecraft.picked_up.iron_pickaxe: #6, 10(6%)
minecraft.picked_up.nether_sprouts: #5, 9(3%)
minecraft.mined.magenta_stained_glass: #5, 5(1%)
minecraft.mined.exposed_cut_copper_stairs: #5, 2(2%)
minecraft.picked_up.exposed_cut_copper_stairs: #5, 2(2%)
minecraft.crafted.polished_blackstone_brick_wall: #5, 1(2%)
minecraft.mined.polished_blackstone_pressure_plate: #5, 1(2%)
minecraft.crafted.slime_ball: #6, 414(7%)
minecraft.picked_up.red_sandstone_slab: #5, 9(2%)
minecraft.picked_up.clay: #6, 246(6%)
minecraft.mined.wither_rose: #5, 3(1%)
minecraft.mined.oxidized_cut_copper_slab: #5, 10(1%)
minecraft.mined.spruce_fence_gate: #6, 35(6%)
minecraft.picked_up.smooth_red_sandstone: #5, 25(1%)
minecraft.crafted.birch_door: #5, 3(1%)
minecraft.mined.wet_sponge: #6, 642(10%)
minecraft.used.magenta_stained_glass: #5, 11(1%)
minecraft.dropped.red_tulip: #5, 1(1%)
minecraft.dropped.raw_iron: #6, 119(7%)
minecraft.dropped.cookie: #5, 19(1%)
minecraft.used.jungle_slab: #6, 204(7%)
minecraft.picked_up.wet_sponge: #6, 642(10%)
minecraft.dropped.lime_concrete: #5, 1(1%)
minecraft.used.wither_rose: #5, 5(0%)
minecraft.dropped.iron_leggings: #6, 5(6%)
minecraft.mined.deepslate_brick_slab: #6, 75(6%)
minecraft.used.birch_door: #5, 1(1%)
minecraft.picked_up.spruce_fence: #6, 175(4%)
minecraft.used.bubble_coral_block: #5, 25(0%)
minecraft.dropped.dried_kelp: #5, 4(0%)
minecraft.used.purple_stained_glass: #5, 5(0%)
minecraft.mined.potted_cornflower: #6, 1(17%)
minecraft.picked_up.quartz_slab: #6, 36(7%)
minecraft.crafted.ladder: #6, 333(4%)
minecraft.mined.polished_blackstone_button: #6, 16(6%)
minecraft.mined.obsidian: #6, 637(4%)
minecraft.picked_up.smooth_sandstone_stairs: #6, 78(4%)
minecraft.mined.smooth_sandstone_stairs: #6, 73(4%)
minecraft.picked_up.polished_andesite_stairs: #6, 18(7%)
minecraft.custom.target_hit: #6, 35(7%)
minecraft.mined.light_gray_carpet: #6, 29(6%)
minecraft.dropped.flint: #6, 94(3%)
minecraft.picked_up.porkchop: #6, 52(3%)
minecraft.mined.spruce_sign: #6, 6(7%)
minecraft.crafted.blast_furnace: #6, 14(4%)
minecraft.picked_up.dragon_egg: #6, 5(6%)
minecraft.dropped.iron_horse_armor: #6, 1(12%)
minecraft.crafted.crimson_door: #6, 3(12%)
minecraft.picked_up.spruce_fence_gate: #6, 38(4%)
minecraft.crafted.polished_blackstone_stairs: #6, 76(7%)
minecraft.dropped.iron_shovel: #6, 5(4%)
minecraft.picked_up.chainmail_helmet: #6, 4(5%)
minecraft.picked_up.magma_cream: #7, 225(7%)
minecraft.used.blast_furnace: #6, 15(3%)
minecraft.dropped.paper: #6, 87(3%)
minecraft.picked_up.arrow: #7, 3539(6%)
minecraft.used.warped_fungus: #6, 24(6%)
minecraft.picked_up.granite_wall: #6, 5(8%)
minecraft.mined.birch_fence: #6, 23(5%)
minecraft.crafted.grindstone: #6, 59(3%)
minecraft.crafted.polished_granite: #7, 412(9%)
minecraft.used.sandstone: #6, 738(3%)
minecraft.dropped.beacon: #6, 1(10%)
minecraft.mined.potted_poppy: #6, 1(10%)
minecraft.used.firework_rocket: #7, 15492(6%)
minecraft.mined.stone_brick_slab: #6, 116(3%)
minecraft.dropped.gold_ingot: #6, 96(3%)
minecraft.dropped.poppy: #6, 1003(2%)
minecraft.mined.carrots: #7, 1167(7%)
minecraft.mined.weathered_copper: #6, 31(3%)
minecraft.picked_up.weathered_copper: #6, 31(3%)
minecraft.dropped.chainmail_helmet: #6, 4(5%)
minecraft.used.oak_fence_gate: #6, 16(3%)
minecraft.mined.oak_fence_gate: #6, 8(4%)
minecraft.used.deepslate_tile_slab: #7, 1775(7%)
minecraft.custom.walk_one_cm: #8, 86203351(5%)
minecraft.dropped.deepslate_tile_slab: #6, 20(4%)
minecraft.picked_up.red_banner: #6, 3(8%)
minecraft.dropped.oxeye_daisy: #6, 5(5%)
minecraft.mined.twisting_vines_plant: #6, 23(3%)
minecraft.mined.crimson_nylium: #6, 49(2%)
minecraft.picked_up.heavy_weighted_pressure_plate: #6, 2(7%)
minecraft.dropped.orange_terracotta: #6, 37(4%)
minecraft.killed.piglin: #6, 20(2%)
minecraft.mined.dark_oak_fence: #6, 23(3%)
minecraft.used.string: #6, 549(2%)
minecraft.picked_up.cobblestone_wall: #6, 34(2%)
minecraft.dropped.end_stone: #6, 12(4%)
minecraft.crafted.raw_iron_block: #6, 158(2%)
minecraft.used.azure_bluet: #6, 6(4%)
minecraft.crafted.red_stained_glass_pane: #6, 32(7%)
minecraft.dropped.chainmail_chestplate: #6, 3(4%)
minecraft.crafted.polished_deepslate_slab: #6, 130(2%)
minecraft.broken.stone_shovel: #6, 4(3%)
minecraft.mined.brown_stained_glass: #6, 8(6%)
minecraft.mined.iron_door: #7, 13(8%)
minecraft.used.stone_stairs: #7, 253(7%)
minecraft.mined.dark_oak_trapdoor: #7, 47(6%)
minecraft.picked_up.amethyst_cluster: #6, 140(2%)
minecraft.used.baked_potato: #7, 576(6%)
minecraft.crafted.smooth_sandstone: #6, 342(4%)
minecraft.custom.interact_with_blast_furnace: #7, 193(6%)
minecraft.crafted.jungle_boat: #6, 2(5%)
minecraft.dropped.cooked_chicken: #6, 10(3%)
minecraft.crafted.jungle_button: #6, 3(6%)
minecraft.picked_up.phantom_membrane: #7, 50(5%)
minecraft.mined.cauldron: #6, 9(2%)
minecraft.used.rotten_flesh: #6, 7(3%)
minecraft.dropped.cocoa_beans: #6, 6(4%)
minecraft.mined.large_amethyst_bud: #6, 28(2%)
minecraft.mined.twisting_vines: #6, 27(2%)
minecraft.mined.black_stained_glass_pane: #6, 12(3%)
minecraft.used.crafting_table: #7, 195(5%)
minecraft.crafted.crimson_sign: #6, 3(6%)
minecraft.crafted.red_stained_glass: #6, 104(3%)
minecraft.picked_up.cobbled_deepslate_stairs: #6, 15(2%)
minecraft.used.barrel: #7, 213(5%)
minecraft.picked_up.iron_door: #7, 13(7%)
minecraft.used.crimson_door: #6, 1(5%)
minecraft.crafted.smooth_quartz_slab: #6, 44(3%)
minecraft.used.horn_coral_block: #6, 15(3%)
minecraft.mined.beacon: #7, 17(6%)
minecraft.picked_up.stripped_acacia_log: #6, 9(2%)
minecraft.dropped.cobbled_deepslate_wall: #6, 5(4%)
minecraft.killed.spider: #7, 126(5%)
minecraft.picked_up.grass_block: #7, 16750(5%)
minecraft.picked_up.bone: #7, 2143(5%)
minecraft.mined.dirt: #7, 20139(5%)
minecraft.mined.cracked_deepslate_tiles: #6, 4(3%)
minecraft.mined.acacia_fence: #6, 4(3%)
minecraft.picked_up.black_stained_glass: #6, 88(2%)
minecraft.used.twisting_vines: #6, 31(2%)
minecraft.crafted.blackstone_slab: #6, 48(2%)
minecraft.crafted.birch_boat: #6, 4(2%)
minecraft.mined.deepslate_gold_ore: #7, 156(5%)
minecraft.used.brain_coral_block: #6, 30(2%)
minecraft.picked_up.acacia_sign: #6, 2(4%)
minecraft.mined.dead_fire_coral_block: #6, 4(4%)
minecraft.crafted.granite_stairs: #6, 6(4%)
minecraft.used.coal_ore: #7, 972(5%)
minecraft.mined.stripped_acacia_log: #6, 7(2%)
minecraft.dropped.black_stained_glass: #6, 8(2%)
minecraft.dropped.acacia_log: #6, 10(3%)
minecraft.picked_up.brown_stained_glass: #6, 8(3%)
minecraft.picked_up.cut_sandstone: #6, 36(2%)
minecraft.used.cooked_chicken: #6, 25(1%)
minecraft.used.sandstone_stairs: #6, 41(2%)
minecraft.used.crimson_hyphae: #6, 8(2%)
minecraft.dropped.dropper: #6, 3(3%)
minecraft.mined.black_stained_glass: #6, 74(2%)
minecraft.dropped.raw_gold: #6, 6(2%)
minecraft.picked_up.diamond_chestplate: #7, 7(6%)
minecraft.crafted.anvil: #7, 59(5%)
minecraft.picked_up.deepslate: #7, 5529(5%)
minecraft.picked_up.large_amethyst_bud: #6, 18(2%)
minecraft.picked_up.oak_sapling: #7, 831(4%)
minecraft.crafted.hay_block: #7, 299(6%)
minecraft.mined.brain_coral_block: #6, 55(1%)
minecraft.crafted.white_bed: #7, 21(5%)
minecraft.picked_up.brain_coral_block: #6, 54(1%)
minecraft.mined.chiseled_polished_blackstone: #6, 1(2%)
minecraft.picked_up.chiseled_polished_blackstone: #6, 1(2%)
minecraft.crafted.honeycomb_block: #6, 196(2%)
minecraft.crafted.birch_fence_gate: #6, 1(2%)
minecraft.picked_up.polished_andesite_slab: #6, 5(2%)
minecraft.crafted.rail: #7, 992(5%)
minecraft.mined.orange_tulip: #6, 3(1%)
minecraft.crafted.purple_stained_glass: #6, 32(1%)
minecraft.used.crimson_sign: #6, 1(2%)
minecraft.picked_up.polished_blackstone_pressure_plate: #6, 1(2%)
minecraft.dropped.stone_stairs: #6, 2(1%)
minecraft.mined.amethyst_cluster: #7, 632(5%)
minecraft.picked_up.pink_stained_glass: #6, 2(1%)
minecraft.crafted.campfire: #7, 74(5%)
minecraft.crafted.magenta_stained_glass: #6, 32(1%)
minecraft.picked_up.oxidized_cut_copper_slab: #6, 11(1%)
minecraft.mined.blast_furnace: #7, 8(5%)
minecraft.used.pink_stained_glass: #6, 11(2%)
minecraft.mined.netherrack: #7, 21145(4%)
minecraft.dropped.brick: #6, 12(1%)
minecraft.crafted.terracotta: #6, 2(2%)
minecraft.used.horn_coral_fan: #6, 4(1%)
minecraft.crafted.lime_concrete_powder: #6, 72(1%)
minecraft.used.weathered_cut_copper_stairs: #6, 2(1%)
minecraft.mined.granite_slab: #6, 1(1%)
minecraft.dropped.oak_boat: #6, 4(0%)
minecraft.dropped.wheat_seeds: #7, 3242(4%)
minecraft.crafted.cut_sandstone: #6, 12(1%)
minecraft.used.fire_coral_fan: #6, 5(1%)
minecraft.crafted.polished_blackstone_brick_stairs: #6, 4(1%)
minecraft.dropped.glowstone: #6, 3(1%)
minecraft.picked_up.jungle_wood: #6, 1(1%)
minecraft.picked_up.lime_concrete: #6, 21(0%)
minecraft.dropped.iron_helmet: #7, 4(7%)
minecraft.mined.pink_stained_glass: #6, 2(0%)
minecraft.mined.lime_concrete: #6, 23(0%)
minecraft.picked_up.white_tulip: #6, 6(0%)
minecraft.picked_up.waxed_cut_copper_slab: #6, 1(0%)
minecraft.mined.tinted_glass: #7, 100(5%)
minecraft.used.stripped_acacia_wood: #6, 1(0%)
minecraft.used.stripped_warped_hyphae: #6, 2(0%)
minecraft.used.lime_concrete: #6, 19(0%)
minecraft.used.wooden_shovel: #6, 8(0%)
minecraft.used.raw_copper_block: #6, 4(0%)
minecraft.mined.stripped_acacia_wood: #6, 1(0%)
minecraft.used.spruce_log: #7, 563(4%)
minecraft.picked_up.stripped_acacia_wood: #6, 1(0%)
minecraft.used.stripped_warped_stem: #6, 1(0%)
minecraft.picked_up.shield: #7, 8(5%)
minecraft.dropped.cooked_beef: #7, 77(5%)
minecraft.crafted.birch_slab: #7, 444(5%)
minecraft.picked_up.golden_chestplate: #7, 15(4%)
minecraft.picked_up.polished_blackstone_stairs: #7, 63(7%)
minecraft.used.diamond_boots: #7, 4(7%)
minecraft.used.deepslate_gold_ore: #7, 39(6%)
minecraft.picked_up.bone_block: #7, 297(4%)
minecraft.dropped.golden_boots: #7, 15(5%)
minecraft.dropped.bone: #7, 1178(4%)
minecraft.picked_up.blast_furnace: #7, 8(5%)
minecraft.mined.red_wool: #7, 310(6%)
minecraft.used.dark_oak_trapdoor: #7, 175(4%)
minecraft.crafted.brewing_stand: #7, 7(5%)
minecraft.mined.birch_slab: #7, 31(4%)
minecraft.mined.lightning_rod: #7, 29(5%)
minecraft.dropped.leather_chestplate: #7, 12(5%)
minecraft.picked_up.light_gray_stained_glass: #7, 48(5%)
minecraft.mined.weeping_vines: #7, 13(5%)
minecraft.dropped.golden_chestplate: #7, 14(4%)
minecraft.crafted.dark_oak_trapdoor: #7, 164(4%)
minecraft.used.dandelion: #7, 11(5%)
minecraft.picked_up.jack_o_lantern: #7, 36(6%)
minecraft.used.cut_copper_slab: #7, 93(7%)
minecraft.mined.stone_brick_stairs: #7, 53(4%)
minecraft.dropped.item_frame: #7, 4(6%)
minecraft.dropped.white_bed: #7, 6(6%)
minecraft.dropped.chainmail_boots: #7, 5(4%)
minecraft.picked_up.bee_nest: #7, 6(5%)
minecraft.picked_up.lightning_rod: #7, 30(3%)
minecraft.picked_up.purpur_stairs: #7, 9(5%)
minecraft.used.stone_shovel: #7, 527(3%)
minecraft.used.warped_roots: #7, 6(6%)
minecraft.used.chest_minecart: #7, 2(6%)
minecraft.crafted.chest_minecart: #7, 2(6%)
minecraft.picked_up.obsidian: #7, 694(2%)
minecraft.mined.end_rod: #7, 100(3%)
minecraft.picked_up.tripwire_hook: #7, 5(4%)
minecraft.picked_up.jungle_sapling: #7, 74(3%)
minecraft.used.moss_block: #8, 3996(6%)
minecraft.dropped.white_carpet: #7, 6(4%)
minecraft.crafted.jack_o_lantern: #7, 82(4%)
minecraft.picked_up.deepslate_tiles: #8, 498(6%)
minecraft.crafted.netherite_helmet: #7, 1(7%)
minecraft.dropped.white_tulip: #7, 1(7%)
minecraft.dropped.yellow_bed: #7, 1(7%)
minecraft.mined.honey_block: #7, 12(4%)
minecraft.picked_up.raw_copper_block: #7, 11(4%)
minecraft.picked_up.birch_fence: #7, 22(3%)
minecraft.mined.bricks: #7, 16(4%)
minecraft.picked_up.polished_diorite: #7, 45(2%)
minecraft.crafted.glistering_melon_slice: #7, 15(3%)
minecraft.dropped.diamond: #8, 120(6%)
minecraft.mined.deepslate_tiles: #8, 372(6%)
minecraft.picked_up.light_gray_carpet: #7, 32(2%)
minecraft.mined.waxed_copper_block: #7, 5(4%)
minecraft.custom.interact_with_brewingstand: #8, 260(5%)
minecraft.crafted.raw_copper_block: #7, 109(2%)
minecraft.mined.black_concrete_powder: #7, 12(3%)
minecraft.dropped.iron_ingot: #7, 127(2%)
minecraft.mined.brick_wall: #7, 2(5%)
minecraft.picked_up.spruce_pressure_plate: #7, 2(4%)
minecraft.dropped.quartz: #7, 48(2%)
minecraft.custom.fly_one_cm: #9, 56107162(4%)
minecraft.used.tripwire_hook: #7, 7(2%)
minecraft.picked_up.stone_brick_slab: #7, 132(1%)
minecraft.mined.fire: #8, 368(5%)
minecraft.used.jack_o_lantern: #7, 39(2%)
minecraft.picked_up.twisting_vines: #7, 88(2%)
minecraft.picked_up.nether_brick: #7, 102(2%)
minecraft.custom.jump: #9, 247464(5%)
minecraft.dropped.stone_slab: #7, 49(2%)
minecraft.crafted.andesite_wall: #7, 30(2%)
minecraft.used.netherite_hoe: #7, 2014(4%)
minecraft.dropped.clock: #7, 8(3%)
minecraft.picked_up.red_mushroom_block: #7, 134(2%)
minecraft.picked_up.birch_button: #7, 2(4%)
minecraft.picked_up.stone_stairs: #7, 53(1%)
minecraft.mined.cobblestone: #8, 1808(5%)
minecraft.used.crimson_stem: #7, 30(2%)
minecraft.picked_up.crying_obsidian: #7, 43(2%)
minecraft.dropped.torch: #8, 281(5%)
minecraft.mined.mossy_cobblestone_stairs: #7, 3(3%)
minecraft.custom.fill_cauldron: #7, 7(1%)
minecraft.used.moss_carpet: #8, 929(5%)
minecraft.picked_up.acacia_fence: #7, 4(3%)
minecraft.mined.clay: #8, 327(5%)
minecraft.mined.cut_sandstone_slab: #7, 10(2%)
minecraft.custom.open_enderchest: #8, 1549(4%)
minecraft.used.chiseled_deepslate: #7, 51(1%)
minecraft.crafted.acacia_wood: #7, 60(2%)
minecraft.used.cut_sandstone_slab: #7, 72(2%)
minecraft.picked_up.polished_blackstone_wall: #7, 4(2%)
minecraft.mined.cracked_stone_bricks: #7, 15(2%)
minecraft.picked_up.pink_tulip: #7, 8(2%)
minecraft.picked_up.bowl: #7, 1(3%)
minecraft.used.light_gray_terracotta: #7, 89(2%)
minecraft.crafted.cut_copper_stairs: #7, 10(2%)
minecraft.picked_up.carved_pumpkin: #8, 192(5%)
minecraft.mined.birch_button: #7, 1(3%)
minecraft.mined.farmland: #8, 114(5%)
minecraft.dropped.snowball: #7, 66(1%)
minecraft.picked_up.warped_button: #7, 1(2%)
minecraft.used.spruce_slab: #8, 882(5%)
minecraft.dropped.soul_soil: #7, 7(2%)
minecraft.used.iron_bars: #8, 259(5%)
minecraft.crafted.smooth_sandstone_slab: #7, 24(2%)
minecraft.picked_up.red_stained_glass: #7, 2(1%)
minecraft.mined.warped_button: #7, 1(2%)
minecraft.used.orange_tulip: #7, 2(2%)
minecraft.mined.brown_wool: #7, 4(2%)
minecraft.picked_up.horn_coral_block: #7, 29(1%)
minecraft.picked_up.fire_charge: #7, 18(1%)
minecraft.picked_up.oak_sign: #8, 42(4%)
minecraft.dropped.cod: #7, 20(1%)
minecraft.mined.cartography_table: #7, 2(1%)
minecraft.picked_up.cartography_table: #7, 2(1%)
minecraft.used.jungle_wood: #7, 8(2%)
minecraft.killed.shulker: #8, 195(6%)
minecraft.picked_up.rail: #8, 856(4%)
minecraft.crafted.jungle_wood: #7, 9(1%)
minecraft.picked_up.flint: #8, 415(4%)
minecraft.crafted.brick_slab: #7, 6(1%)
minecraft.dropped.ice: #7, 5(1%)
minecraft.picked_up.oak_trapdoor: #8, 75(4%)
minecraft.crafted.clock: #7, 5(1%)
minecraft.dropped.glowstone_dust: #7, 24(1%)
minecraft.used.snowball: #8, 228(5%)
minecraft.picked_up.light_gray_stained_glass_pane: #7, 6(1%)
minecraft.used.pumpkin: #8, 128(5%)
minecraft.dropped.white_banner: #7, 1(1%)
minecraft.dropped.jungle_sapling: #7, 1(1%)
minecraft.used.fire_coral_block: #7, 4(1%)
minecraft.used.lime_concrete_powder: #7, 37(0%)
minecraft.dropped.cut_sandstone: #7, 1(1%)
minecraft.mined.green_bed: #7, 1(1%)
minecraft.dropped.amethyst_cluster: #7, 1(1%)
minecraft.mined.rail: #8, 582(4%)
minecraft.crafted.mossy_cobblestone_stairs: #7, 2(0%)
minecraft.used.polished_diorite_slab: #7, 6(0%)
minecraft.picked_up.green_bed: #7, 1(0%)
minecraft.used.brain_coral_fan: #7, 2(0%)
minecraft.used.daylight_detector: #7, 6(0%)
minecraft.picked_up.stripped_warped_hyphae: #7, 3(0%)
minecraft.custom.use_cauldron: #7, 17(0%)
minecraft.crafted.warped_button: #7, 2(0%)
minecraft.killed.creeper: #8, 230(4%)
minecraft.mined.gold_ore: #8, 438(4%)
minecraft.mined.sea_lantern: #8, 51(4%)
minecraft.mined.lilac: #8, 9(4%)
minecraft.crafted.redstone_block: #8, 696(4%)
minecraft.mined.deepslate_redstone_ore: #8, 388(4%)
minecraft.used.diamond_leggings: #8, 3(5%)
minecraft.picked_up.podzol: #8, 270(5%)
minecraft.used.spruce_trapdoor: #8, 506(4%)
minecraft.mined.podzol: #8, 350(4%)
minecraft.crafted.diamond_helmet: #8, 3(4%)
minecraft.mined.carved_pumpkin: #8, 130(4%)
minecraft.used.golden_carrot: #9, 2545(7%)
minecraft.picked_up.purpur_pillar: #8, 22(5%)
minecraft.used.deepslate_coal_ore: #8, 89(4%)
minecraft.mined.purpur_stairs: #8, 12(6%)
minecraft.picked_up.quartz: #8, 1590(3%)
minecraft.broken.iron_sword: #8, 2(6%)
minecraft.crafted.stick: #8, 9829(3%)
