stat, rank, value, (percentage) 
minecraft.used.granite_wall: #2, 93(13%)
minecraft.custom.open_barrel: #3, 5435(8%)
minecraft.dropped.brown_concrete: #2, 22(36%)
minecraft.mined.stripped_dark_oak_log: #3, 502(14%)
minecraft.used.diamond_axe: #3, 36597(8%)
minecraft.custom.interact_with_blast_furnace: #3, 334(11%)
minecraft.dropped.fire_coral_fan: #2, 10(29%)
minecraft.used.apple: #3, 45(13%)
minecraft.crafted.acacia_door: #2, 9(18%)
minecraft.used.iron_boots: #2, 2(12%)
minecraft.picked_up.stripped_dark_oak_log: #3, 528(14%)
minecraft.picked_up.nether_sprouts: #2, 98(28%)
minecraft.used.green_candle: #2, 9(23%)
minecraft.crafted.light_gray_banner: #2, 9(35%)
minecraft.used.dark_oak_planks: #3, 919(12%)
minecraft.used.granite: #3, 1870(9%)
minecraft.dropped.tropical_fish: #2, 7(23%)
minecraft.used.jungle_door: #2, 24(27%)
minecraft.mined.dark_oak_fence_gate: #3, 19(16%)
minecraft.picked_up.oak_pressure_plate: #2, 4(27%)
minecraft.mined.crimson_planks: #2, 13(27%)
minecraft.mined.grass_block: #3, 44218(8%)
minecraft.used.spruce_fence: #3, 1118(10%)
minecraft.dropped.white_terracotta: #2, 65(16%)
minecraft.picked_up.gray_wool: #3, 512(13%)
minecraft.picked_up.iron_horse_armor: #3, 5(16%)
minecraft.used.deepslate_redstone_ore: #3, 182(12%)
minecraft.used.brain_coral_block: #3, 277(22%)
minecraft.used.stone_axe: #3, 542(9%)
minecraft.mined.spruce_log: #3, 9487(9%)
minecraft.picked_up.warped_fungus: #3, 93(11%)
minecraft.used.dead_brain_coral_block: #2, 89(17%)
minecraft.killed.cow: #3, 591(9%)
minecraft.mined.oak_planks: #3, 1214(8%)
minecraft.picked_up.dead_brain_coral_block: #2, 92(14%)
minecraft.used.orange_terracotta: #2, 215(6%)
minecraft.mined.pink_candle: #2, 3(38%)
minecraft.mined.large_fern: #3, 236(13%)
minecraft.dropped.brain_coral: #2, 4(36%)
minecraft.mined.oak_pressure_plate: #2, 3(27%)
minecraft.used.spruce_fence_gate: #3, 206(9%)
minecraft.used.waxed_weathered_cut_copper: #2, 10(36%)
minecraft.dropped.stonecutter: #2, 2(13%)
minecraft.mined.dead_brain_coral_block: #2, 92(15%)
minecraft.crafted.orange_carpet: #2, 30(21%)
minecraft.dropped.crimson_trapdoor: #2, 1(50%)
minecraft.mined.birch_pressure_plate: #2, 1(33%)
minecraft.broken.stone_axe: #3, 4(12%)
minecraft.picked_up.gray_shulker_box: #3, 126(20%)
minecraft.dropped.jungle_sign: #2, 10(16%)
minecraft.used.cyan_stained_glass_pane: #2, 60(19%)
minecraft.used.stripped_spruce_log: #2, 168(6%)
minecraft.used.wooden_hoe: #3, 173(19%)
minecraft.crafted.spruce_fence: #3, 933(9%)
minecraft.used.stripped_dark_oak_wood: #3, 464(17%)
minecraft.mined.prismarine_stairs: #2, 4(44%)
minecraft.picked_up.prismarine_stairs: #2, 4(44%)
minecraft.picked_up.orange_banner: #2, 8(44%)
minecraft.mined.acacia_trapdoor: #3, 89(16%)
minecraft.picked_up.pink_tulip: #2, 35(8%)
minecraft.dropped.bubble_coral_fan: #2, 3(43%)
minecraft.used.cut_red_sandstone_slab: #2, 8(42%)
minecraft.crafted.cyan_stained_glass_pane: #2, 64(16%)
minecraft.dropped.birch_log: #3, 134(11%)
minecraft.mined.potted_dandelion: #2, 2(40%)
minecraft.mined.crimson_pressure_plate: #2, 2(40%)
minecraft.used.lodestone: #2, 4(27%)
minecraft.dropped.fire_coral: #2, 2(40%)
minecraft.used.acacia_sapling: #3, 376(12%)
minecraft.mined.red_sandstone: #2, 16(16%)
minecraft.picked_up.red_sandstone_stairs: #2, 23(26%)
minecraft.used.cobbled_deepslate: #4, 2974(10%)
minecraft.mined.pink_tulip: #2, 13(8%)
minecraft.picked_up.nether_wart: #4, 2934(12%)
minecraft.picked_up.acacia_sign: #2, 6(12%)
minecraft.picked_up.jungle_door: #2, 6(12%)
minecraft.dropped.acacia_sign: #2, 7(23%)
minecraft.mined.crying_obsidian: #3, 87(15%)
minecraft.broken.chainmail_leggings: #2, 1(33%)
minecraft.mined.smooth_red_sandstone_stairs: #2, 5(13%)
minecraft.picked_up.acacia_trapdoor: #3, 91(14%)
minecraft.picked_up.orange_carpet: #2, 11(22%)
minecraft.crafted.cut_red_sandstone_slab: #2, 8(31%)
minecraft.mined.oak_trapdoor: #4, 139(10%)
minecraft.picked_up.smooth_red_sandstone_stairs: #2, 5(14%)
minecraft.dropped.candle: #2, 11(14%)
minecraft.dropped.jungle_planks: #3, 60(16%)
minecraft.mined.damaged_anvil: #3, 9(10%)
minecraft.used.damaged_anvil: #3, 8(9%)
minecraft.dropped.polished_andesite_stairs: #2, 3(27%)
minecraft.picked_up.glistering_melon_slice: #2, 12(18%)
minecraft.picked_up.damaged_anvil: #3, 9(9%)
minecraft.used.chicken: #2, 1(17%)
minecraft.mined.birch_wood: #3, 48(21%)
minecraft.crafted.light_gray_bed: #2, 1(17%)
minecraft.used.fishing_rod: #3, 130(11%)
minecraft.custom.fish_caught: #3, 97(12%)
minecraft.mined.jungle_door: #2, 5(12%)
minecraft.crafted.pink_carpet: #3, 15(21%)
minecraft.mined.jungle_pressure_plate: #2, 1(20%)
minecraft.mined.crimson_fence_gate: #2, 1(20%)
minecraft.used.golden_leggings: #2, 1(20%)
minecraft.mined.spruce_fence_gate: #3, 45(7%)
minecraft.dropped.warped_fungus: #2, 4(10%)
minecraft.used.candle: #3, 91(9%)
minecraft.used.acacia_fence_gate: #3, 19(15%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #2, 13(11%)
minecraft.picked_up.yellow_shulker_box: #3, 139(12%)
minecraft.mined.yellow_shulker_box: #3, 137(12%)
minecraft.picked_up.stripped_spruce_log: #3, 295(6%)
minecraft.picked_up.cyan_banner: #2, 12(17%)
minecraft.picked_up.birch_wood: #3, 47(19%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #2, 13(11%)
minecraft.dropped.stripped_jungle_log: #2, 1(17%)
minecraft.mined.tuff: #4, 3353(9%)
minecraft.used.yellow_shulker_box: #3, 137(12%)
minecraft.picked_up.smooth_red_sandstone: #2, 103(5%)
