stat, rank, value, (percentage) 
minecraft.mined.chest: #6, 363(4%)
minecraft.crafted.oxidized_cut_copper: #5, 34(2%)
minecraft.dropped.string: #6, 240(5%)
minecraft.dropped.golden_leggings: #6, 18(6%)
minecraft.picked_up.tube_coral_fan: #5, 17(1%)
minecraft.picked_up.smooth_basalt: #6, 922(5%)
minecraft.used.tropical_fish_bucket: #5, 1(3%)
minecraft.mined.player_wall_head: #6, 10(6%)
minecraft.dropped.snow_block: #5, 68(1%)
minecraft.dropped.birch_boat: #5, 3(1%)
minecraft.mined.spawner: #5, 1(1%)
minecraft.mined.tall_seagrass: #6, 142(4%)
minecraft.picked_up.orange_stained_glass: #5, 2(2%)
minecraft.dropped.glowstone_dust: #5, 46(1%)
minecraft.dropped.slime_ball: #5, 45(1%)
minecraft.dropped.coarse_dirt: #6, 112(8%)
minecraft.dropped.stone: #6, 8271(5%)
minecraft.mined.deepslate_redstone_ore: #6, 446(4%)
minecraft.picked_up.golden_helmet: #6, 14(5%)
minecraft.mined.rose_bush: #6, 9(5%)
minecraft.mined.stripped_warped_hyphae: #5, 12(1%)
minecraft.picked_up.brain_coral_fan: #5, 14(1%)
minecraft.mined.hopper: #6, 215(4%)
minecraft.mined.soul_fire: #5, 3(1%)
minecraft.dropped.lilac: #5, 2(1%)
minecraft.picked_up.spruce_boat: #6, 45(6%)
minecraft.dropped.tinted_glass: #5, 1(1%)
minecraft.used.petrified_oak_slab: #5, 4(1%)
minecraft.picked_up.waxed_weathered_copper: #5, 2(1%)
minecraft.picked_up.iron_leggings: #6, 8(5%)
minecraft.dropped.pumpkin_pie: #5, 4(1%)
minecraft.used.potion: #6, 35(5%)
minecraft.dropped.shulker_box: #6, 15(5%)
minecraft.crafted.mossy_cobblestone_stairs: #5, 4(1%)
minecraft.dropped.gravel: #6, 706(4%)
minecraft.used.white_concrete_powder: #6, 5871(5%)
minecraft.used.red_mushroom: #5, 2(1%)
minecraft.crafted.light_weighted_pressure_plate: #5, 2(1%)
minecraft.crafted.iron_block: #6, 3055(4%)
minecraft.dropped.prismarine_crystals: #5, 6(0%)
minecraft.dropped.anvil: #5, 1(1%)
minecraft.picked_up.waxed_cut_copper_slab: #5, 2(1%)
minecraft.used.exposed_cut_copper_stairs: #5, 1(1%)
minecraft.mined.light_blue_terracotta: #5, 1(1%)
minecraft.mined.purpur_stairs: #6, 16(7%)
minecraft.dropped.chicken: #6, 15(6%)
minecraft.dropped.emerald_block: #5, 1(0%)
minecraft.picked_up.end_stone: #6, 381(5%)
minecraft.picked_up.bubble_coral_block: #5, 17(0%)
minecraft.dropped.glass_pane: #5, 16(0%)
minecraft.mined.end_stone: #6, 373(5%)
minecraft.picked_up.iron_boots: #6, 14(5%)
minecraft.picked_up.magma_block: #6, 911(4%)
minecraft.picked_up.potion: #6, 41(4%)
minecraft.dropped.diamond_boots: #6, 4(5%)
minecraft.picked_up.sea_lantern: #6, 90(4%)
minecraft.picked_up.acacia_trapdoor: #6, 52(8%)
minecraft.used.spore_blossom: #6, 19(5%)
minecraft.used.birch_fence: #6, 59(6%)
minecraft.dropped.spruce_fence: #6, 19(7%)
minecraft.dropped.diamond_helmet: #6, 3(6%)
minecraft.crafted.stone_pressure_plate: #6, 40(4%)
minecraft.dropped.observer: #6, 22(6%)
minecraft.picked_up.white_concrete: #6, 1535(4%)
minecraft.mined.exposed_copper: #6, 27(5%)
minecraft.used.cooked_beef: #7, 980(7%)
minecraft.used.diamond_block: #6, 60(4%)
minecraft.used.weathered_copper: #6, 26(5%)
minecraft.mined.bone_block: #6, 94(4%)
minecraft.used.axolotl_bucket: #6, 18(4%)
minecraft.picked_up.sponge: #6, 293(6%)
minecraft.picked_up.oak_leaves: #6, 2659(3%)
minecraft.crafted.wooden_pickaxe: #6, 1(3%)
minecraft.killed.skeleton: #7, 2016(7%)
minecraft.crafted.repeater: #7, 432(7%)
minecraft.dropped.birch_planks: #6, 40(4%)
minecraft.dropped.netherrack: #6, 4944(3%)
minecraft.mined.damaged_anvil: #6, 4(4%)
minecraft.mined.stonecutter: #7, 70(7%)
minecraft.used.cooked_cod: #6, 37(5%)
minecraft.picked_up.stonecutter: #7, 71(7%)
minecraft.crafted.note_block: #6, 89(4%)
minecraft.picked_up.damaged_anvil: #6, 4(4%)
minecraft.mined.stone: #7, 168961(6%)
minecraft.used.stonecutter: #7, 73(7%)
minecraft.used.shulker_box: #7, 1628(6%)
minecraft.crafted.oak_trapdoor: #7, 228(6%)
minecraft.used.nether_brick_fence: #6, 32(5%)
minecraft.dropped.amethyst_shard: #6, 18(4%)
minecraft.mined.andesite: #7, 10511(6%)
minecraft.dropped.netherite_sword: #6, 2(6%)
minecraft.used.damaged_anvil: #6, 3(3%)
minecraft.picked_up.andesite_slab: #6, 27(3%)
minecraft.crafted.red_terracotta: #6, 128(4%)
minecraft.crafted.polished_blackstone_slab: #6, 52(5%)
minecraft.picked_up.spider_eye: #7, 367(6%)
minecraft.used.armor_stand: #6, 24(3%)
minecraft.picked_up.diamond_hoe: #7, 15(9%)
minecraft.picked_up.blackstone_slab: #6, 25(5%)
minecraft.dropped.glow_berries: #6, 5(4%)
minecraft.picked_up.netherite_ingot: #6, 4(5%)
minecraft.used.warped_planks: #6, 162(4%)
minecraft.mined.heavy_weighted_pressure_plate: #6, 1(7%)
minecraft.picked_up.calcite: #7, 2166(6%)
minecraft.picked_up.ender_chest: #7, 326(6%)
minecraft.mined.calcite: #7, 1996(6%)
minecraft.used.iron_block: #7, 2819(6%)
minecraft.mined.granite: #7, 8921(6%)
minecraft.killed.goat: #6, 7(6%)
minecraft.picked_up.dark_oak_pressure_plate: #6, 2(6%)
minecraft.picked_up.iron_horse_armor: #6, 1(3%)
minecraft.used.blue_shulker_box: #6, 19(5%)
minecraft.mined.iron_block: #7, 1645(6%)
minecraft.used.white_concrete: #6, 1216(2%)
minecraft.picked_up.coal: #7, 9763(5%)
minecraft.used.light_blue_shulker_box: #6, 24(3%)
minecraft.mined.jungle_planks: #6, 41(2%)
minecraft.mined.stripped_oak_wood: #6, 27(2%)
minecraft.picked_up.light_gray_carpet: #6, 32(2%)
minecraft.crafted.oak_boat: #6, 19(2%)
minecraft.crafted.lime_dye: #6, 130(2%)
minecraft.crafted.golden_chestplate: #6, 1(4%)
minecraft.mined.spruce_pressure_plate: #6, 1(4%)
minecraft.picked_up.iron_block: #7, 2160(5%)
minecraft.dropped.elytra: #7, 9(7%)
minecraft.picked_up.cooked_beef: #7, 672(5%)
minecraft.killed_by.player: #7, 9(6%)
minecraft.picked_up.stripped_oak_wood: #6, 22(2%)
minecraft.crafted.dropper: #7, 156(7%)
minecraft.picked_up.polished_blackstone_button: #7, 66(6%)
minecraft.picked_up.blackstone_wall: #6, 5(4%)
minecraft.mined.target: #6, 3(3%)
minecraft.mined.lily_pad: #6, 18(2%)
minecraft.dropped.stone_bricks: #6, 40(1%)
minecraft.custom.interact_with_beacon: #7, 28(5%)
minecraft.mined.jungle_fence_gate: #6, 2(3%)
minecraft.used.tinted_glass: #7, 948(6%)
minecraft.picked_up.golden_leggings: #7, 17(5%)
minecraft.mined.chain: #7, 69(6%)
minecraft.picked_up.shulker_box: #7, 1249(5%)
minecraft.dropped.nether_gold_ore: #6, 3(2%)
minecraft.crafted.lever: #7, 138(5%)
minecraft.picked_up.jungle_fence_gate: #6, 2(3%)
minecraft.crafted.oak_button: #7, 22(7%)
minecraft.crafted.black_shulker_box: #6, 1(2%)
minecraft.picked_up.iron_chestplate: #7, 10(5%)
minecraft.used.andesite: #7, 1900(4%)
minecraft.used.cartography_table: #6, 4(2%)
minecraft.crafted.oak_planks: #7, 7920(5%)
minecraft.mined.horn_coral_wall_fan: #6, 14(1%)
minecraft.dropped.birch_slab: #6, 5(2%)
minecraft.mined.piston_head: #7, 5(6%)
minecraft.mined.tube_coral_wall_fan: #6, 14(1%)
minecraft.picked_up.mossy_stone_bricks: #6, 67(1%)
minecraft.mined.polished_blackstone_brick_stairs: #6, 4(2%)
minecraft.dropped.black_dye: #6, 4(2%)
minecraft.mined.black_concrete: #7, 1062(5%)
minecraft.picked_up.horn_coral_fan: #6, 11(1%)
minecraft.used.mossy_stone_brick_stairs: #6, 10(1%)
minecraft.picked_up.hopper: #7, 256(4%)
minecraft.mined.horn_coral: #6, 4(1%)
minecraft.mined.bubble_coral_wall_fan: #6, 9(1%)
minecraft.picked_up.bubble_coral_fan: #6, 10(1%)
minecraft.crafted.dispenser: #7, 72(4%)
minecraft.mined.player_head: #7, 16(5%)
minecraft.dropped.gray_dye: #6, 1(1%)
minecraft.mined.exposed_cut_copper_stairs: #6, 1(1%)
minecraft.picked_up.exposed_cut_copper_stairs: #6, 1(1%)
minecraft.used.stone_sword: #7, 60(6%)
minecraft.mined.dead_horn_coral_block: #6, 1(1%)
minecraft.dropped.acacia_leaves: #6, 1(1%)
minecraft.dropped.brown_mushroom_block: #6, 1(1%)
minecraft.picked_up.dead_horn_coral_block: #6, 1(0%)
minecraft.mined.bubble_coral_block: #6, 20(0%)
minecraft.mined.spruce_fence_gate: #7, 33(5%)
minecraft.used.warped_trapdoor: #7, 69(7%)
minecraft.crafted.redstone_lamp: #7, 153(5%)
minecraft.picked_up.orange_bed: #6, 1(0%)
minecraft.picked_up.mossy_stone_brick_stairs: #6, 1(0%)
minecraft.picked_up.cobweb: #7, 134(6%)
minecraft.picked_up.iron_nugget: #7, 328(4%)
minecraft.used.birch_planks: #7, 277(4%)
minecraft.used.jungle_slab: #7, 178(6%)
minecraft.crafted.cobbled_deepslate_slab: #7, 124(5%)
minecraft.crafted.white_stained_glass_pane: #7, 192(5%)
minecraft.crafted.sandstone: #7, 244(6%)
minecraft.dropped.coal: #7, 104(3%)
minecraft.picked_up.exposed_copper: #7, 27(5%)
minecraft.used.white_stained_glass_pane: #7, 152(5%)
minecraft.picked_up.black_wool: #7, 75(4%)
minecraft.dropped.firework_rocket: #7, 413(4%)
minecraft.used.sponge: #7, 388(7%)
minecraft.picked_up.warped_trapdoor: #7, 16(5%)
minecraft.dropped.polished_blackstone_button: #7, 5(5%)
minecraft.crafted.firework_rocket: #7, 12222(4%)
minecraft.picked_up.bow: #8, 158(6%)
minecraft.mined.dragon_wall_head: #7, 4(4%)
minecraft.crafted.deepslate_tile_slab: #7, 216(3%)
minecraft.mined.spruce_button: #7, 3(4%)
minecraft.crafted.cauldron: #7, 119(3%)
minecraft.picked_up.light_gray_concrete_powder: #7, 54(4%)
minecraft.crafted.deepslate_tile_stairs: #7, 39(3%)
minecraft.dropped.leather_helmet: #7, 7(3%)
minecraft.picked_up.arrow: #8, 3312(6%)
minecraft.dropped.oak_leaves: #7, 109(3%)
minecraft.picked_up.powder_snow_bucket: #7, 2(4%)
minecraft.dropped.flint: #7, 69(2%)
minecraft.used.blast_furnace: #7, 12(3%)
minecraft.used.note_block: #7, 72(3%)
minecraft.picked_up.cooked_cod: #7, 16(4%)
minecraft.dropped.minecart: #7, 3(3%)
minecraft.used.green_carpet: #7, 33(4%)
minecraft.dropped.shears: #7, 11(3%)
minecraft.picked_up.milk_bucket: #7, 2(6%)
minecraft.picked_up.netherite_shovel: #7, 4(3%)
minecraft.killed.hoglin: #7, 4(3%)
minecraft.dropped.gold_ingot: #7, 79(3%)
minecraft.used.nether_quartz_ore: #7, 162(3%)
minecraft.crafted.wooden_hoe: #7, 1(5%)
minecraft.picked_up.minecart: #8, 85(6%)
minecraft.mined.birch_sign: #7, 3(3%)
minecraft.dropped.netherite_axe: #7, 2(4%)
minecraft.used.grindstone: #7, 47(2%)
minecraft.crafted.charcoal: #7, 24(3%)
minecraft.dropped.iron_boots: #7, 6(2%)
minecraft.dropped.flint_and_steel: #7, 1(3%)
minecraft.used.calcite: #8, 855(6%)
minecraft.used.water_bucket: #8, 1295(5%)
minecraft.crafted.light_blue_stained_glass: #7, 192(3%)
minecraft.dropped.dark_oak_trapdoor: #7, 3(2%)
minecraft.picked_up.water_bucket: #8, 21(5%)
minecraft.dropped.oxeye_daisy: #7, 3(3%)
minecraft.dropped.chainmail_chestplate: #7, 2(2%)
minecraft.picked_up.wither_rose: #7, 17(2%)
minecraft.used.ladder: #8, 238(5%)
minecraft.used.oxeye_daisy: #7, 4(2%)
minecraft.picked_up.honey_block: #7, 16(2%)
minecraft.picked_up.heavy_weighted_pressure_plate: #7, 1(3%)
minecraft.mined.shulker_box: #8, 1220(5%)
minecraft.picked_up.red_bed: #7, 12(1%)
minecraft.crafted.orange_shulker_box: #7, 1(3%)
minecraft.mined.red_bed: #7, 11(1%)
minecraft.used.dark_oak_pressure_plate: #7, 2(3%)
minecraft.crafted.cooked_cod: #7, 14(2%)
minecraft.used.target: #7, 15(2%)
minecraft.used.gray_concrete_powder: #7, 427(2%)
minecraft.dropped.stone_button: #7, 26(1%)
minecraft.dropped.spider_eye: #7, 151(1%)
minecraft.crafted.gray_concrete_powder: #7, 512(1%)
minecraft.mined.beacon: #8, 16(6%)
minecraft.mined.coal_ore: #8, 5251(5%)
minecraft.crafted.cake: #7, 2(2%)
minecraft.crafted.blackstone_slab: #7, 36(2%)
minecraft.picked_up.black_stained_glass_pane: #7, 15(2%)
minecraft.crafted.black_terracotta: #7, 64(2%)
minecraft.dropped.diamond_block: #7, 2(2%)
minecraft.dropped.redstone_ore: #7, 2(2%)
minecraft.crafted.heavy_weighted_pressure_plate: #7, 2(1%)
minecraft.crafted.polished_blackstone_brick_slab: #7, 20(1%)
minecraft.used.cracked_deepslate_tiles: #7, 37(1%)
minecraft.used.rooted_dirt: #7, 26(1%)
minecraft.crafted.mossy_stone_bricks: #7, 199(1%)
minecraft.crafted.cracked_deepslate_tiles: #7, 36(1%)
minecraft.killed.villager: #7, 1(1%)
minecraft.mined.dropper: #8, 37(6%)
minecraft.mined.cracked_deepslate_bricks: #7, 5(1%)
minecraft.mined.tube_coral: #7, 3(1%)
minecraft.used.bow: #8, 1753(4%)
minecraft.mined.horn_coral_fan: #7, 2(1%)
minecraft.picked_up.player_head: #8, 384(4%)
minecraft.mined.stripped_warped_stem: #7, 14(1%)
minecraft.crafted.cartography_table: #7, 1(1%)
minecraft.mined.sponge: #7, 24(1%)
minecraft.mined.bubble_coral_fan: #7, 2(1%)
minecraft.mined.bubble_coral: #7, 4(1%)
minecraft.picked_up.string: #8, 811(4%)
minecraft.used.glow_berries: #8, 157(5%)
minecraft.mined.chorus_flower: #7, 1(1%)
minecraft.mined.acacia_fence: #7, 1(1%)
minecraft.picked_up.stripped_warped_stem: #7, 11(1%)
minecraft.used.trident: #7, 31(1%)
minecraft.dropped.polished_basalt: #7, 1(1%)
minecraft.mined.dark_prismarine: #7, 7(1%)
minecraft.dropped.white_concrete: #7, 7(0%)
minecraft.picked_up.target: #7, 2(0%)
minecraft.dropped.spruce_boat: #7, 2(0%)
minecraft.used.end_crystal: #7, 2(0%)
minecraft.dropped.sunflower: #7, 1(0%)
minecraft.picked_up.bubble_coral: #7, 2(0%)
minecraft.picked_up.horn_coral: #7, 2(0%)
minecraft.picked_up.brain_coral: #7, 2(0%)
minecraft.dropped.light_gray_concrete_powder: #7, 1(0%)
minecraft.used.warped_fence_gate: #7, 1(0%)
minecraft.crafted.warped_fence_gate: #7, 1(0%)
minecraft.crafted.mossy_stone_brick_stairs: #7, 14(0%)
minecraft.mined.fire_coral_block: #7, 6(0%)
minecraft.picked_up.fire_coral_block: #7, 6(0%)
minecraft.crafted.black_wool: #7, 8(0%)
minecraft.crafted.warped_hyphae: #7, 3(0%)
minecraft.dropped.white_concrete_powder: #7, 2(0%)
minecraft.mined.warped_stem: #8, 393(5%)
minecraft.dropped.green_wool: #7, 1(0%)
minecraft.picked_up.chain: #8, 108(4%)
minecraft.picked_up.phantom_membrane: #8, 36(4%)
minecraft.used.stone_brick_wall: #8, 97(5%)
minecraft.dropped.crafting_table: #8, 5(4%)
minecraft.picked_up.copper_block: #8, 267(5%)
minecraft.picked_up.nether_quartz_ore: #8, 417(4%)
minecraft.used.glowstone: #8, 301(4%)
minecraft.crafted.stone: #8, 832(4%)
minecraft.crafted.shield: #8, 3(4%)
minecraft.crafted.furnace: #8, 96(3%)
minecraft.killed.wandering_trader: #8, 4(5%)
minecraft.picked_up.anvil: #8, 16(4%)
minecraft.mined.anvil: #8, 10(3%)
minecraft.picked_up.slime_block: #8, 253(4%)
minecraft.used.milk_bucket: #8, 8(4%)
minecraft.crafted.writable_book: #8, 7(3%)
minecraft.crafted.mossy_cobblestone: #8, 325(5%)
minecraft.picked_up.warped_stem: #8, 414(3%)
minecraft.mined.gravel: #8, 6558(3%)
minecraft.used.cooked_mutton: #8, 12(4%)
minecraft.used.granite: #8, 544(3%)
minecraft.used.amethyst_block: #8, 234(3%)
minecraft.crafted.jungle_slab: #8, 174(4%)
minecraft.picked_up.pumpkin_seeds: #8, 423(3%)
minecraft.picked_up.wet_sponge: #8, 386(6%)
minecraft.picked_up.smooth_stone_slab: #8, 118(3%)
minecraft.used.end_stone: #8, 83(3%)
minecraft.mined.wet_sponge: #8, 366(6%)
minecraft.picked_up.white_banner: #8, 12(3%)
minecraft.dropped.iron_ore: #8, 33(3%)
minecraft.crafted.enchanting_table: #8, 1(3%)
minecraft.crafted.red_shulker_box: #8, 2(3%)
minecraft.crafted.grindstone: #8, 47(2%)
minecraft.crafted.dark_oak_trapdoor: #8, 104(2%)
minecraft.crafted.light_gray_dye: #8, 178(2%)
minecraft.mined.white_stained_glass_pane: #8, 10(3%)
minecraft.dropped.birch_sapling: #8, 24(3%)
minecraft.picked_up.netherite_pickaxe: #8, 9(2%)
minecraft.crafted.light_gray_concrete_powder: #8, 512(3%)
minecraft.mined.polished_blackstone_button: #8, 8(3%)
minecraft.mined.black_wool: #8, 13(3%)
minecraft.crafted.redstone_torch: #9, 1517(6%)
minecraft.picked_up.birch_leaves: #8, 478(2%)
minecraft.picked_up.bone_meal: #8, 1900(2%)
minecraft.mined.cut_copper_slab: #8, 7(3%)
minecraft.dropped.glass: #8, 132(2%)
minecraft.picked_up.netherite_axe: #8, 3(2%)
minecraft.used.heavy_weighted_pressure_plate: #8, 3(3%)
minecraft.used.cake: #8, 2(3%)
minecraft.dropped.pumpkin_seeds: #8, 56(2%)
minecraft.custom.interact_with_brewingstand: #9, 247(5%)
minecraft.dropped.chainmail_helmet: #8, 2(3%)
minecraft.mined.tripwire_hook: #8, 1(3%)
minecraft.dropped.grass_block: #8, 563(1%)
minecraft.crafted.andesite_slab: #8, 32(2%)
minecraft.dropped.warped_sign: #8, 1(2%)
minecraft.used.red_bed: #8, 12(1%)
minecraft.crafted.stone_stairs: #8, 64(1%)
minecraft.used.red_stained_glass: #8, 30(2%)
minecraft.custom.interact_with_anvil: #9, 198(4%)
minecraft.mined.oak_fence_gate: #8, 3(1%)
minecraft.dropped.enchanted_book: #8, 5(1%)
minecraft.picked_up.rooted_dirt: #8, 35(1%)
minecraft.crafted.glistering_melon_slice: #8, 7(1%)
minecraft.killed.enderman: #9, 19130(5%)
minecraft.picked_up.spruce_pressure_plate: #8, 1(2%)
minecraft.dropped.flowering_azalea: #8, 4(1%)
minecraft.used.light_gray_wool: #8, 92(1%)
minecraft.used.cut_sandstone_slab: #8, 51(1%)
minecraft.picked_up.prismarine_bricks: #8, 64(1%)
minecraft.mined.light_gray_wool: #8, 2(1%)
minecraft.picked_up.cracked_stone_bricks: #8, 21(1%)
minecraft.crafted.jungle_sign: #8, 3(1%)
minecraft.crafted.polished_blackstone_wall: #8, 9(1%)
minecraft.picked_up.golden_carrot: #9, 978(4%)
minecraft.picked_up.polished_blackstone_brick_stairs: #8, 4(1%)
minecraft.picked_up.glow_ink_sac: #9, 195(4%)
minecraft.crafted.wooden_shovel: #8, 1(1%)
minecraft.mined.oak_fence: #9, 122(4%)
minecraft.picked_up.polished_blackstone_brick_slab: #8, 12(1%)
minecraft.mined.brain_coral_wall_fan: #8, 7(1%)
minecraft.dropped.glass_bottle: #8, 41(0%)
minecraft.mined.iron_bars: #9, 44(5%)
minecraft.used.powder_snow_bucket: #8, 5(0%)
minecraft.dropped.mutton: #8, 1(1%)
minecraft.dropped.crimson_roots: #8, 2(0%)
minecraft.dropped.beef: #8, 4(1%)
minecraft.mined.beehive: #8, 3(0%)
minecraft.used.cobblestone: #9, 3821(4%)
minecraft.picked_up.snow_block: #8, 69(0%)
minecraft.picked_up.blue_candle: #8, 1(1%)
minecraft.mined.brain_coral: #8, 2(0%)
minecraft.picked_up.dark_prismarine: #8, 5(0%)
minecraft.picked_up.gray_concrete_powder: #8, 4(0%)
minecraft.used.ender_chest: #9, 205(4%)
minecraft.used.horn_coral_block: #8, 1(0%)
minecraft.picked_up.birch_planks: #9, 140(4%)
minecraft.used.tube_coral_fan: #8, 1(0%)
minecraft.picked_up.cracked_deepslate_bricks: #8, 4(0%)
minecraft.picked_up.horn_coral_block: #8, 2(0%)
minecraft.mined.blue_ice: #8, 2(0%)
minecraft.crafted.polished_blackstone_bricks: #8, 8(0%)
minecraft.picked_up.redstone_torch: #9, 134(4%)
minecraft.used.fern: #8, 1(0%)
minecraft.used.lime_stained_glass: #8, 1(0%)
minecraft.mined.redstone_wall_torch: #9, 25(4%)
minecraft.used.kelp: #9, 406(5%)
minecraft.mined.deepslate_lapis_ore: #9, 50(4%)
minecraft.used.pumpkin: #9, 115(5%)
minecraft.broken.shears: #9, 13(4%)
minecraft.mined.lever: #9, 26(4%)
minecraft.picked_up.kelp: #9, 1422(4%)
minecraft.mined.copper_ore: #9, 1164(3%)
minecraft.mined.tinted_glass: #9, 87(5%)
minecraft.mined.ender_chest: #9, 178(3%)
minecraft.picked_up.end_rod: #9, 181(4%)
minecraft.used.oak_boat: #9, 35(3%)
minecraft.crafted.deepslate_brick_slab: #9, 49(5%)
minecraft.mined.glass: #9, 377(3%)
minecraft.mined.carved_pumpkin: #9, 119(4%)
minecraft.used.mossy_cobblestone: #9, 204(5%)
minecraft.used.spruce_fence_gate: #9, 77(4%)
minecraft.crafted.diamond_axe: #9, 4(3%)
minecraft.picked_up.dropper: #9, 38(4%)
minecraft.crafted.tinted_glass: #9, 974(5%)
minecraft.used.dark_oak_fence: #9, 108(4%)
minecraft.mined.purpur_pillar: #9, 20(4%)
minecraft.picked_up.lever: #9, 53(2%)
minecraft.crafted.diamond_helmet: #9, 2(3%)
minecraft.killed.bat: #9, 8(3%)
minecraft.used.anvil: #9, 30(2%)
minecraft.used.wooden_pickaxe: #9, 12(3%)
minecraft.crafted.spruce_fence_gate: #9, 52(3%)
minecraft.crafted.cobblestone_stairs: #9, 60(2%)
minecraft.mined.redstone_lamp: #9, 9(3%)
minecraft.used.egg: #9, 114(2%)
minecraft.broken.stone_axe: #9, 1(3%)
minecraft.used.dark_oak_trapdoor: #9, 96(2%)
minecraft.used.exposed_copper: #9, 13(3%)
minecraft.mined.birch_sapling: #9, 5(3%)
minecraft.mined.weathered_copper: #9, 25(3%)
minecraft.picked_up.weathered_copper: #9, 25(3%)
minecraft.broken.stone_pickaxe: #9, 2(3%)
minecraft.used.oak_button: #9, 6(3%)
minecraft.mined.end_rod: #9, 80(2%)
minecraft.picked_up.warped_roots: #9, 89(2%)
minecraft.mined.purpur_block: #9, 43(2%)
minecraft.used.light_gray_concrete_powder: #9, 314(2%)
minecraft.picked_up.cobblestone_wall: #9, 26(2%)
minecraft.picked_up.spruce_fence_gate: #9, 19(2%)
minecraft.mined.birch_leaves: #9, 726(1%)
minecraft.used.lead: #9, 2(2%)
minecraft.used.black_concrete_powder: #9, 689(2%)
minecraft.mined.birch_trapdoor: #9, 6(2%)
minecraft.picked_up.white_stained_glass_pane: #9, 10(3%)
minecraft.crafted.stone_sword: #9, 1(1%)
minecraft.crafted.black_concrete_powder: #9, 688(2%)
minecraft.picked_up.dark_oak_fence: #9, 22(2%)
minecraft.picked_up.lapis_block: #9, 16(2%)
minecraft.used.red_terracotta: #9, 51(2%)
minecraft.crafted.target: #9, 15(2%)
minecraft.mined.grindstone: #9, 8(1%)
minecraft.used.hay_block: #9, 24(1%)
minecraft.picked_up.cod: #9, 113(1%)
minecraft.dropped.redstone_torch: #9, 4(1%)
minecraft.mined.andesite_wall: #9, 10(2%)
minecraft.picked_up.cut_copper_slab: #9, 5(2%)
minecraft.used.cracked_deepslate_bricks: #9, 67(1%)
minecraft.crafted.dark_oak_pressure_plate: #9, 1(1%)
minecraft.crafted.jungle_fence_gate: #9, 2(1%)
minecraft.used.spruce_pressure_plate: #9, 1(1%)
minecraft.dropped.cooked_cod: #9, 1(1%)
minecraft.dropped.brown_mushroom: #9, 2(1%)
minecraft.mined.pointed_dripstone: #9, 53(0%)
minecraft.crafted.lime_shulker_box: #9, 5(1%)
minecraft.mined.stone_pressure_plate: #9, 1(1%)
minecraft.dropped.dark_oak_slab: #9, 1(1%)
minecraft.used.cracked_stone_bricks: #9, 24(1%)
minecraft.mined.hanging_roots: #9, 12(1%)
minecraft.dropped.iron_block: #9, 23(0%)
minecraft.mined.cracked_deepslate_tiles: #9, 1(1%)
minecraft.picked_up.tube_coral: #9, 2(1%)
minecraft.mined.polished_diorite: #9, 5(0%)
minecraft.picked_up.acacia_fence: #9, 1(1%)
minecraft.used.snow_block: #9, 209(0%)
minecraft.picked_up.beehive: #9, 3(0%)
minecraft.crafted.snow_block: #9, 181(0%)
minecraft.crafted.smithing_table: #9, 2(0%)
minecraft.dropped.lantern: #9, 1(0%)
minecraft.picked_up.prismarine_crystals: #9, 15(0%)
minecraft.used.orange_shulker_box: #9, 2(0%)
minecraft.picked_up.emerald_block: #9, 3(0%)
minecraft.picked_up.orange_shulker_box: #9, 1(0%)
minecraft.mined.orange_shulker_box: #9, 1(0%)
minecraft.mined.stripped_dark_oak_wood: #9, 1(0%)
minecraft.picked_up.stripped_dark_oak_wood: #9, 1(0%)
minecraft.used.stripped_dark_oak_wood: #9, 1(0%)
minecraft.picked_up.lime_concrete: #9, 2(0%)
minecraft.mined.lime_concrete: #9, 1(0%)
minecraft.crafted.light_blue_dye: #10, 128(4%)
minecraft.mined.cave_vines: #10, 27(4%)
minecraft.crafted.comparator: #10, 137(4%)
minecraft.crafted.diamond: #10, 414(4%)
minecraft.picked_up.deepslate: #10, 3708(3%)
minecraft.picked_up.birch_sapling: #10, 259(3%)
minecraft.dropped.ender_pearl: #10, 4769(3%)
minecraft.crafted.paper: #10, 5257(3%)
minecraft.picked_up.carved_pumpkin: #10, 120(3%)
minecraft.mined.composter: #10, 24(4%)
minecraft.picked_up.dragon_head: #10, 5(4%)
minecraft.dropped.filled_map: #10, 3(4%)
minecraft.picked_up.glow_berries: #10, 184(2%)
minecraft.used.basalt: #10, 539(2%)
minecraft.picked_up.shears: #10, 15(3%)
minecraft.picked_up.dark_oak_planks: #10, 135(3%)
minecraft.dropped.wheat_seeds: #10, 1590(2%)
minecraft.dropped.chainmail_leggings: #10, 3(3%)
minecraft.dropped.leather_boots: #10, 7(2%)
minecraft.picked_up.lantern: #10, 69(2%)
minecraft.dropped.chainmail_boots: #10, 3(3%)
minecraft.mined.dark_oak_sign: #10, 1(2%)
minecraft.mined.dark_oak_slab: #10, 22(2%)
minecraft.killed_by.zombie: #10, 2(2%)
minecraft.picked_up.cooked_mutton: #10, 5(2%)
minecraft.picked_up.purpur_block: #10, 38(2%)
minecraft.picked_up.seagrass: #10, 45(3%)
minecraft.crafted.wheat: #10, 189(2%)
minecraft.used.tnt: #10, 140(2%)
minecraft.dropped.gunpowder: #10, 137(1%)
minecraft.used.quartz_stairs: #10, 21(2%)
minecraft.custom.play_noteblock: #10, 25(2%)
minecraft.crafted.polished_deepslate_wall: #10, 26(2%)
minecraft.mined.polished_basalt: #10, 21(1%)
minecraft.picked_up.spruce_button: #10, 4(1%)
minecraft.custom.open_chest: #11, 15910(4%)
