stat, rank, value, (percentage) 
minecraft.mined.jungle_slab: #1, 174(24%)
minecraft.dropped.leather: #2, 316(23%)
minecraft.picked_up.chest: #2, 1763(15%)
minecraft.dropped.axolotl_bucket: #1, 10(33%)
minecraft.killed.stray: #1, 309577(100%)
minecraft.used.cobbled_deepslate_wall: #2, 837(24%)
minecraft.crafted.sticky_piston: #2, 451(17%)
minecraft.mined.polished_deepslate_slab: #2, 534(20%)
minecraft.dropped.soul_soil: #1, 128(30%)
minecraft.picked_up.feather: #2, 315(17%)
minecraft.picked_up.ghast_tear: #2, 130(22%)
minecraft.picked_up.chorus_fruit: #2, 1060(23%)
minecraft.picked_up.dark_oak_boat: #2, 64(20%)
minecraft.used.diamond_pickaxe: #1, 364073(10%)
minecraft.used.deepslate_tiles: #2, 6324(16%)
minecraft.mined.waxed_oxidized_copper: #1, 105(96%)
minecraft.picked_up.waxed_oxidized_copper: #1, 97(96%)
minecraft.used.detector_rail: #2, 35(30%)
minecraft.picked_up.polished_deepslate: #2, 1232(15%)
minecraft.crafted.magenta_stained_glass: #1, 896(35%)
minecraft.mined.deepslate_tiles: #2, 1025(16%)
minecraft.used.deepslate_brick_wall: #2, 485(25%)
minecraft.crafted.birch_slab: #2, 1686(18%)
minecraft.picked_up.waxed_exposed_cut_copper_slab: #1, 28(68%)
minecraft.picked_up.magma_cream: #1, 357(11%)
minecraft.custom.climb_one_cm: #2, 5899139(12%)
minecraft.picked_up.fire_charge: #2, 445(31%)
minecraft.picked_up.weathered_cut_copper_slab: #1, 20(44%)
minecraft.mined.diorite_wall: #1, 29(44%)
minecraft.picked_up.diorite_wall: #1, 30(38%)
minecraft.crafted.minecart: #2, 174(14%)
minecraft.dropped.red_terracotta: #1, 97(33%)
minecraft.used.dark_prismarine: #1, 202(32%)
minecraft.mined.chiseled_deepslate: #2, 188(24%)
minecraft.dropped.sticky_piston: #1, 32(43%)
minecraft.mined.repeater: #2, 319(15%)
minecraft.dropped.light_blue_stained_glass: #1, 128(63%)
minecraft.picked_up.gray_stained_glass: #2, 226(22%)
minecraft.used.dead_tube_coral_block: #1, 99(84%)
minecraft.picked_up.diorite_slab: #1, 57(42%)
minecraft.picked_up.deepslate_tiles: #2, 1141(15%)
minecraft.killed.blaze: #2, 274(16%)
minecraft.mined.chorus_plant: #2, 95(20%)
minecraft.dropped.jungle_planks: #1, 95(25%)
minecraft.picked_up.orange_stained_glass_pane: #1, 8(47%)
minecraft.dropped.mossy_cobblestone_stairs: #1, 14(78%)
minecraft.dropped.polished_blackstone: #2, 57(33%)
minecraft.crafted.warped_planks: #2, 8336(18%)
minecraft.used.blackstone_slab: #2, 943(28%)
minecraft.dropped.cobbled_deepslate: #2, 965(13%)
minecraft.picked_up.sticky_piston: #2, 225(14%)
minecraft.picked_up.jungle_boat: #1, 17(21%)
minecraft.used.birch_boat: #2, 36(16%)
minecraft.used.observer: #2, 844(13%)
minecraft.picked_up.blackstone: #2, 6625(13%)
minecraft.used.chorus_flower: #1, 22(28%)
minecraft.crafted.diorite_slab: #1, 60(56%)
minecraft.crafted.scaffolding: #2, 2236(15%)
minecraft.crafted.dark_oak_boat: #2, 30(21%)
minecraft.used.diorite_wall: #1, 58(20%)
minecraft.crafted.purple_stained_glass_pane: #1, 256(73%)
minecraft.mined.stone_slab: #2, 717(15%)
minecraft.used.cobweb: #1, 71(16%)
minecraft.dropped.rotten_flesh: #2, 13339(13%)
minecraft.broken.diamond_pickaxe: #1, 4(31%)
minecraft.picked_up.chiseled_deepslate: #2, 176(20%)
minecraft.dropped.clay: #1, 10(36%)
minecraft.picked_up.netherite_boots: #2, 30(20%)
minecraft.mined.waxed_exposed_cut_copper_slab: #1, 27(71%)
minecraft.used.purple_stained_glass_pane: #1, 159(71%)
minecraft.picked_up.diamond_pickaxe: #2, 105(11%)
minecraft.used.diorite: #2, 1252(12%)
minecraft.used.end_rod: #3, 1034(18%)
minecraft.custom.boat_one_cm: #2, 12388809(11%)
minecraft.picked_up.black_stained_glass: #2, 1089(22%)
minecraft.used.redstone: #2, 2909(12%)
minecraft.dropped.soul_sand: #2, 228(17%)
minecraft.mined.black_stained_glass: #2, 1171(25%)
minecraft.dropped.spectral_arrow: #2, 251(33%)
minecraft.used.waxed_oxidized_copper: #1, 322(99%)
minecraft.mined.oak_trapdoor: #2, 158(12%)
minecraft.custom.tune_noteblock: #2, 823(16%)
minecraft.dropped.deepslate_tiles: #2, 104(29%)
minecraft.crafted.iron_nugget: #2, 10341(12%)
minecraft.custom.interact_with_grindstone: #2, 149(12%)
minecraft.crafted.end_rod: #2, 1204(26%)
minecraft.mined.gray_stained_glass: #2, 259(24%)
minecraft.dropped.cobbled_deepslate_stairs: #1, 145(95%)
minecraft.crafted.waxed_exposed_cut_copper_slab: #1, 17(63%)
minecraft.dropped.black_concrete: #2, 76(32%)
