stat, rank, value, (percentage) 
minecraft.mined.warped_wart_block: #5, 1713(9%)
minecraft.picked_up.white_bed: #4, 116(5%)
minecraft.dropped.iron_helmet: #4, 5(9%)
minecraft.picked_up.stone_hoe: #4, 3(14%)
minecraft.dropped.bread: #5, 930(12%)
minecraft.dropped.warped_nylium: #3, 2(6%)
minecraft.dropped.light_gray_terracotta: #4, 45(15%)
minecraft.picked_up.stone_brick_slab: #4, 496(6%)
minecraft.crafted.netherite_boots: #4, 2(11%)
minecraft.crafted.golden_chestplate: #4, 3(12%)
minecraft.used.lilac: #4, 12(6%)
minecraft.dropped.rabbit_foot: #3, 2(1%)
minecraft.mined.magenta_terracotta: #3, 3(1%)
minecraft.crafted.target: #4, 64(7%)
minecraft.killed.ghast: #4, 25(5%)
minecraft.picked_up.wheat_seeds: #5, 20902(7%)
minecraft.picked_up.wheat: #5, 7372(8%)
minecraft.mined.lilac: #5, 18(9%)
minecraft.mined.nether_wart_block: #4, 266(4%)
minecraft.picked_up.nether_wart_block: #4, 266(4%)
minecraft.used.cut_sandstone_slab: #4, 322(7%)
minecraft.used.cooked_beef: #5, 1034(8%)
minecraft.crafted.dispenser: #5, 125(8%)
minecraft.dropped.iron_trapdoor: #4, 7(9%)
minecraft.dropped.hopper: #4, 8(5%)
minecraft.picked_up.bowl: #4, 4(11%)
minecraft.mined.chorus_flower: #4, 11(9%)
minecraft.crafted.wooden_shovel: #4, 9(8%)
minecraft.picked_up.leather_boots: #5, 25(7%)
minecraft.crafted.apple: #4, 192(6%)
minecraft.picked_up.cooked_beef: #5, 848(6%)
minecraft.crafted.cooked_beef: #5, 563(7%)
minecraft.crafted.raw_iron_block: #4, 208(3%)
minecraft.dropped.warped_wart_block: #4, 194(5%)
minecraft.picked_up.gold_block: #5, 221(7%)
minecraft.picked_up.chainmail_chestplate: #5, 6(8%)
minecraft.killed.silverfish: #5, 40(10%)
minecraft.killed.axolotl: #4, 3(6%)
minecraft.dropped.yellow_bed: #4, 1(7%)
minecraft.dropped.jungle_sign: #4, 5(8%)
minecraft.dropped.lever: #5, 17(8%)
minecraft.crafted.stone_brick_slab: #5, 1074(8%)
minecraft.crafted.book: #5, 257(6%)
minecraft.dropped.twisting_vines: #4, 42(4%)
minecraft.used.diorite_slab: #4, 28(5%)
minecraft.dropped.acacia_boat: #4, 1(9%)
minecraft.crafted.stone: #5, 1168(5%)
minecraft.dropped.string: #5, 268(5%)
minecraft.picked_up.rabbit_hide: #4, 22(2%)
minecraft.crafted.magenta_terracotta: #4, 64(4%)
minecraft.mined.azalea_leaves: #5, 3487(6%)
minecraft.mined.flowering_azalea_leaves: #5, 1152(6%)
minecraft.dropped.orange_terracotta: #5, 91(10%)
minecraft.used.iron_trapdoor: #5, 229(6%)
minecraft.dropped.netherrack: #5, 9084(5%)
minecraft.used.spruce_log: #5, 706(6%)
minecraft.used.white_tulip: #4, 3(3%)
minecraft.used.stone_pickaxe: #5, 524(5%)
minecraft.mined.end_rod: #5, 211(6%)
minecraft.used.tnt: #5, 534(6%)
minecraft.killed.piglin_brute: #4, 2(4%)
minecraft.picked_up.dark_oak_fence_gate: #5, 21(7%)
minecraft.crafted.netherite_scrap: #5, 73(9%)
minecraft.dropped.gold_nugget: #4, 95(1%)
minecraft.mined.jungle_wall_sign: #4, 2(2%)
minecraft.dropped.end_stone_bricks: #5, 27(10%)
minecraft.picked_up.shroomlight: #5, 217(4%)
minecraft.used.bow: #6, 3397(8%)
minecraft.dropped.chainmail_chestplate: #5, 7(9%)
minecraft.mined.deepslate_brick_slab: #5, 80(7%)
minecraft.picked_up.rabbit_foot: #4, 3(2%)
minecraft.picked_up.magenta_terracotta: #4, 3(1%)
minecraft.dropped.oak_door: #5, 2(14%)
minecraft.dropped.blackstone: #5, 316(5%)
minecraft.picked_up.arrow: #6, 4114(7%)
minecraft.broken.stone_pickaxe: #5, 4(6%)
minecraft.used.quartz_stairs: #5, 69(7%)
minecraft.killed.slime: #5, 330(4%)
minecraft.used.black_carpet: #5, 246(9%)
minecraft.dropped.chainmail_boots: #5, 6(5%)
minecraft.mined.wheat: #6, 5676(7%)
minecraft.dropped.chainmail_leggings: #5, 5(5%)
minecraft.used.smoker: #5, 6(5%)
minecraft.crafted.raw_copper: #5, 1197(5%)
minecraft.crafted.white_carpet: #5, 234(4%)
minecraft.killed.skeleton: #6, 2045(7%)
minecraft.crafted.jungle_fence_gate: #5, 10(7%)
minecraft.picked_up.chorus_flower: #5, 11(6%)
minecraft.mined.birch_log: #6, 2311(7%)
minecraft.dropped.copper_block: #5, 87(8%)
minecraft.crafted.bread: #6, 1051(8%)
minecraft.mined.cobbled_deepslate_slab: #5, 33(4%)
minecraft.dropped.iron_door: #5, 2(11%)
minecraft.crafted.netherite_chestplate: #5, 1(11%)
minecraft.picked_up.slime_ball: #5, 569(3%)
minecraft.mined.ladder: #6, 67(6%)
minecraft.crafted.jukebox: #5, 1(10%)
minecraft.dropped.deepslate_gold_ore: #5, 2(7%)
minecraft.mined.oak_fence: #6, 176(6%)
minecraft.crafted.stripped_spruce_wood: #5, 3(11%)
minecraft.dropped.white_dye: #5, 67(4%)
minecraft.used.jungle_fence_gate: #5, 8(5%)
minecraft.picked_up.cobblestone_stairs: #6, 57(7%)
minecraft.used.glow_lichen: #5, 823(2%)
minecraft.mined.enchanting_table: #6, 3(10%)
minecraft.crafted.raw_copper_block: #5, 133(2%)
minecraft.used.brown_mushroom: #5, 35(3%)
minecraft.mined.spruce_wood: #5, 9(5%)
minecraft.picked_up.cut_sandstone_slab: #5, 18(3%)
minecraft.crafted.jungle_button: #5, 3(6%)
minecraft.mined.jungle_fence_gate: #5, 3(5%)
minecraft.crafted.black_carpet: #5, 192(4%)
minecraft.picked_up.spruce_wood: #5, 9(5%)
minecraft.crafted.ender_pearl: #5, 24(5%)
minecraft.mined.end_stone_bricks: #6, 56(8%)
minecraft.mined.diamond_block: #5, 25(2%)
minecraft.mined.twisting_vines: #5, 27(2%)
minecraft.dropped.nether_quartz_ore: #5, 11(3%)
minecraft.picked_up.jungle_fence_gate: #5, 3(5%)
minecraft.dropped.leather_boots: #6, 19(7%)
minecraft.picked_up.enchanting_table: #6, 3(9%)
minecraft.custom.fill_cauldron: #5, 8(1%)
minecraft.dropped.bone: #6, 1638(5%)
minecraft.dropped.black_stained_glass: #5, 9(3%)
minecraft.crafted.hay_block: #6, 320(6%)
minecraft.dropped.wheat_seeds: #6, 3787(5%)
minecraft.killed.shulker: #6, 215(7%)
minecraft.picked_up.ancient_debris: #6, 73(6%)
minecraft.mined.birch_wall_sign: #6, 21(5%)
minecraft.crafted.light_gray_terracotta: #5, 32(2%)
minecraft.dropped.birch_slab: #5, 6(2%)
minecraft.picked_up.rabbit: #5, 17(2%)
minecraft.dropped.arrow: #6, 3175(5%)
minecraft.picked_up.end_stone_bricks: #6, 56(7%)
minecraft.mined.blue_bed: #5, 3(2%)
minecraft.mined.ancient_debris: #6, 73(6%)
minecraft.dropped.dark_oak_fence: #5, 2(2%)
minecraft.killed.rabbit: #5, 10(1%)
minecraft.used.deepslate_brick_slab: #6, 435(6%)
minecraft.used.jungle_leaves: #5, 13(1%)
minecraft.dropped.cyan_dye: #5, 1(2%)
minecraft.picked_up.leather_chestplate: #6, 14(5%)
minecraft.mined.brown_mushroom_block: #6, 1367(7%)
minecraft.dropped.leather_leggings: #6, 12(5%)
minecraft.killed.wither_skeleton: #5, 76(0%)
minecraft.dropped.polished_deepslate_slab: #5, 4(1%)
minecraft.dropped.chiseled_deepslate: #5, 1(2%)
minecraft.picked_up.chainmail_boots: #6, 6(6%)
minecraft.mined.infested_stone: #6, 28(7%)
minecraft.picked_up.brown_mushroom_block: #6, 963(8%)
minecraft.dropped.cooked_beef: #6, 79(5%)
minecraft.dropped.golden_chestplate: #6, 17(5%)
minecraft.picked_up.gunpowder: #6, 703(4%)
minecraft.dropped.leather_chestplate: #6, 13(5%)
minecraft.crafted.netherite_shovel: #6, 2(9%)
minecraft.dropped.rail: #6, 28(4%)
minecraft.dropped.kelp: #6, 293(5%)
minecraft.crafted.jungle_sign: #6, 21(6%)
minecraft.picked_up.light_gray_concrete_powder: #6, 64(5%)
minecraft.killed_by.spider: #6, 1(12%)
minecraft.dropped.white_bed: #6, 6(6%)
minecraft.dropped.bowl: #6, 3(8%)
minecraft.crafted.red_bed: #6, 4(4%)
minecraft.used.wheat_seeds: #7, 7549(7%)
minecraft.crafted.golden_boots: #6, 2(7%)
minecraft.mined.glow_lichen: #6, 698(2%)
minecraft.picked_up.shulker_shell: #6, 255(3%)
minecraft.used.cooked_porkchop: #6, 64(2%)
minecraft.picked_up.smooth_sandstone_slab: #6, 40(3%)
minecraft.mined.crafting_table: #7, 172(5%)
minecraft.picked_up.dispenser: #7, 46(6%)
minecraft.used.jungle_sign: #6, 18(4%)
minecraft.crafted.wooden_sword: #6, 1(6%)
minecraft.used.spruce_wood: #6, 117(3%)
minecraft.picked_up.crafting_table: #7, 181(5%)
minecraft.custom.animals_bred: #7, 607(6%)
minecraft.used.carved_pumpkin: #6, 8(2%)
minecraft.dropped.wooden_sword: #6, 1(6%)
minecraft.used.netherite_sword: #6, 1511(4%)
minecraft.dropped.gunpowder: #6, 172(1%)
minecraft.picked_up.netherrack: #7, 15273(5%)
minecraft.dropped.jungle_slab: #6, 2(4%)
minecraft.used.brown_mushroom_block: #6, 200(2%)
minecraft.used.white_dye: #7, 36(6%)
minecraft.picked_up.warped_wart_block: #7, 888(5%)
minecraft.mined.white_terracotta: #6, 101(1%)
minecraft.dropped.deepslate_tiles: #6, 6(2%)
