stat, rank, value, (percentage) 
minecraft.dropped.stone_axe: #15, 1(1%)
minecraft.mined.dragon_wall_head: #15, 1(1%)
minecraft.dropped.iron_nugget: #15, 22(1%)
minecraft.used.spore_blossom: #15, 3(1%)
minecraft.dropped.oak_sapling: #15, 7(1%)
minecraft.crafted.dark_oak_sign: #15, 15(1%)
minecraft.used.ender_pearl: #15, 46(1%)
minecraft.dropped.potion: #15, 3(1%)
minecraft.mined.dark_oak_fence: #15, 5(1%)
minecraft.dropped.stone_shovel: #15, 1(1%)
minecraft.mined.dead_bush: #15, 18(0%)
minecraft.dropped.iron_ore: #15, 5(0%)
minecraft.picked_up.wither_skeleton_skull: #15, 3(0%)
minecraft.used.grindstone: #15, 7(0%)
minecraft.picked_up.polished_deepslate_slab: #15, 10(0%)
minecraft.used.jungle_sapling: #15, 4(0%)
minecraft.mined.polished_blackstone_stairs: #15, 3(0%)
minecraft.dropped.smooth_basalt: #15, 3(0%)
minecraft.crafted.glowstone: #15, 26(0%)
minecraft.dropped.enchanted_book: #15, 1(0%)
minecraft.dropped.stone_slab: #15, 7(0%)
minecraft.crafted.dark_oak_button: #15, 1(0%)
minecraft.picked_up.cooked_chicken: #15, 2(0%)
minecraft.dropped.baked_potato: #15, 4(0%)
minecraft.mined.chiseled_deepslate: #15, 1(0%)
minecraft.used.jungle_slab: #15, 3(0%)
minecraft.used.jungle_planks: #15, 7(0%)
minecraft.dropped.wheat: #15, 4(0%)
minecraft.used.light_gray_carpet: #15, 3(0%)
minecraft.used.prismarine_bricks: #15, 1(0%)
minecraft.used.dripstone_block: #15, 9(0%)
minecraft.dropped.emerald: #15, 1(0%)
minecraft.used.spruce_leaves: #15, 2(0%)
minecraft.picked_up.diamond: #16, 357(2%)
minecraft.used.water_bucket: #16, 603(2%)
minecraft.mined.andesite: #16, 4128(2%)
minecraft.picked_up.granite: #16, 3048(2%)
minecraft.picked_up.andesite: #16, 3311(2%)
minecraft.dropped.diamond_sword: #16, 3(2%)
minecraft.crafted.barrel: #16, 64(2%)
minecraft.mined.barrel: #16, 28(2%)
minecraft.crafted.comparator: #16, 68(2%)
minecraft.crafted.copper_ingot: #16, 794(2%)
minecraft.dropped.diorite: #16, 375(2%)
minecraft.mined.soul_sand: #16, 163(2%)
minecraft.mined.dark_oak_sign: #16, 1(2%)
minecraft.crafted.redstone: #16, 1744(1%)
minecraft.picked_up.tuff: #16, 535(1%)
minecraft.picked_up.mossy_cobblestone: #16, 54(2%)
minecraft.picked_up.observer: #16, 46(1%)
minecraft.picked_up.kelp: #16, 502(1%)
minecraft.crafted.repeater: #16, 78(1%)
minecraft.picked_up.stone_brick_stairs: #16, 27(1%)
minecraft.mined.calcite: #16, 373(1%)
minecraft.used.soul_sand: #16, 58(1%)
minecraft.killed.glow_squid: #16, 2(1%)
minecraft.picked_up.calcite: #16, 368(1%)
minecraft.killed.husk: #16, 2(1%)
minecraft.used.dark_oak_trapdoor: #16, 49(1%)
minecraft.picked_up.white_wool: #16, 106(1%)
minecraft.custom.walk_one_cm: #17, 40642235(3%)
minecraft.crafted.scaffolding: #16, 138(1%)
minecraft.mined.crimson_nylium: #16, 16(1%)
minecraft.used.glass_bottle: #16, 48(1%)
minecraft.used.iron_shovel: #16, 599(1%)
minecraft.crafted.iron_shovel: #16, 4(1%)
minecraft.picked_up.slime_block: #16, 45(1%)
minecraft.dropped.firework_rocket: #16, 75(1%)
minecraft.mined.hay_block: #16, 14(1%)
minecraft.mined.warped_nylium: #16, 10(1%)
minecraft.picked_up.spruce_stairs: #16, 15(1%)
minecraft.used.poppy: #16, 2(1%)
minecraft.crafted.dropper: #16, 13(1%)
minecraft.picked_up.weeping_vines: #16, 4(0%)
minecraft.picked_up.crossbow: #16, 1(0%)
minecraft.mined.tripwire: #16, 9(0%)
minecraft.used.armor_stand: #16, 3(0%)
minecraft.dropped.chicken: #16, 1(0%)
minecraft.picked_up.bread: #16, 10(0%)
minecraft.picked_up.armor_stand: #16, 2(0%)
minecraft.crafted.armor_stand: #16, 3(0%)
minecraft.crafted.quartz_block: #16, 68(0%)
minecraft.picked_up.warped_nylium: #16, 4(0%)
minecraft.used.polished_basalt: #16, 21(0%)
minecraft.mined.stripped_spruce_log: #16, 7(0%)
minecraft.mined.warped_roots: #16, 3(0%)
minecraft.mined.melon: #16, 4(0%)
minecraft.crafted.dark_oak_fence_gate: #16, 1(0%)
minecraft.picked_up.chiseled_deepslate: #16, 1(0%)
minecraft.picked_up.polished_diorite: #16, 1(0%)
minecraft.used.smooth_sandstone: #16, 10(0%)
minecraft.mined.white_concrete_powder: #16, 1(0%)
minecraft.used.stripped_spruce_log: #16, 1(0%)
minecraft.picked_up.allium: #16, 1(0%)
minecraft.used.cobblestone: #17, 2248(2%)
minecraft.picked_up.lapis_lazuli: #17, 1102(2%)
minecraft.crafted.iron_ingot: #17, 5437(2%)
minecraft.mined.torch: #17, 488(2%)
minecraft.mined.iron_ore: #17, 1758(2%)
minecraft.crafted.diamond_sword: #17, 2(2%)
minecraft.mined.gold_ore: #17, 205(2%)
minecraft.picked_up.furnace: #17, 30(2%)
minecraft.used.bucket: #17, 772(2%)
minecraft.mined.tall_grass: #17, 203(2%)
minecraft.crafted.bow: #17, 26(2%)
minecraft.picked_up.stonecutter: #17, 16(2%)
minecraft.mined.tuff: #17, 540(1%)
minecraft.mined.stonecutter: #17, 15(1%)
minecraft.mined.dandelion: #17, 27(1%)
minecraft.used.observer: #17, 83(1%)
minecraft.picked_up.elytra: #17, 10(1%)
minecraft.picked_up.blackstone: #17, 596(1%)
minecraft.mined.obsidian: #17, 188(1%)
minecraft.crafted.piston: #17, 73(1%)
minecraft.used.rose_bush: #17, 2(1%)
minecraft.crafted.stone_hoe: #17, 1(1%)
minecraft.dropped.diamond_leggings: #17, 1(1%)
minecraft.picked_up.deepslate_redstone_ore: #17, 40(1%)
minecraft.used.writable_book: #17, 15(1%)
minecraft.crafted.oak_sign: #17, 21(1%)
minecraft.used.spruce_sapling: #17, 56(1%)
minecraft.crafted.dark_oak_fence: #17, 33(1%)
minecraft.used.dark_oak_fence: #17, 29(1%)
minecraft.crafted.birch_sign: #17, 12(1%)
minecraft.used.spruce_fence: #17, 90(1%)
minecraft.mined.sticky_piston: #17, 8(1%)
minecraft.mined.spruce_fence: #17, 19(1%)
minecraft.picked_up.potion: #17, 7(1%)
minecraft.picked_up.sticky_piston: #17, 11(1%)
minecraft.dropped.iron_shovel: #17, 1(1%)
minecraft.custom.inspect_dropper: #17, 36(1%)
minecraft.dropped.bucket: #17, 2(1%)
minecraft.crafted.glass: #17, 1344(0%)
minecraft.mined.cornflower: #17, 4(1%)
minecraft.dropped.deepslate: #17, 27(1%)
minecraft.mined.brown_mushroom: #17, 5(1%)
minecraft.mined.stone_brick_wall: #17, 2(1%)
minecraft.mined.birch_planks: #17, 7(0%)
minecraft.used.dark_oak_stairs: #17, 26(1%)
minecraft.crafted.dark_oak_stairs: #17, 28(1%)
minecraft.picked_up.spore_blossom: #17, 1(0%)
minecraft.killed.chicken: #17, 4(0%)
minecraft.picked_up.birch_stairs: #17, 1(0%)
minecraft.mined.birch_stairs: #17, 1(0%)
minecraft.mined.weeping_vines_plant: #17, 1(0%)
minecraft.dropped.egg: #17, 9(0%)
minecraft.crafted.sugar: #17, 21(0%)
minecraft.crafted.smooth_stone: #17, 32(0%)
minecraft.used.deepslate_iron_ore: #17, 3(0%)
minecraft.used.tinted_glass: #17, 32(0%)
minecraft.used.axolotl_bucket: #17, 1(0%)
minecraft.used.birch_slab: #17, 6(0%)
minecraft.picked_up.exposed_copper: #17, 1(0%)
minecraft.mined.exposed_copper: #17, 1(0%)
minecraft.picked_up.pointed_dripstone: #17, 37(0%)
minecraft.killed.cod: #17, 2(0%)
minecraft.picked_up.stripped_spruce_log: #17, 6(0%)
minecraft.dropped.white_wool: #17, 1(0%)
minecraft.mined.cocoa: #17, 2(0%)
minecraft.picked_up.amethyst_cluster: #17, 7(0%)
minecraft.used.dark_oak_sapling: #17, 4(0%)
minecraft.crafted.smithing_table: #17, 1(0%)
minecraft.used.sandstone: #17, 17(0%)
minecraft.crafted.stone_stairs: #17, 4(0%)
minecraft.dropped.azalea: #17, 1(0%)
minecraft.picked_up.birch_leaves: #17, 11(0%)
minecraft.used.note_block: #17, 1(0%)
minecraft.crafted.note_block: #17, 1(0%)
minecraft.mined.soul_soil: #17, 4(0%)
minecraft.dropped.iron_block: #17, 2(0%)
minecraft.picked_up.stripped_birch_log: #17, 1(0%)
minecraft.mined.stripped_birch_log: #17, 1(0%)
minecraft.used.pointed_dripstone: #17, 9(0%)
minecraft.used.white_stained_glass: #17, 3(0%)
minecraft.dropped.carrot: #17, 5(0%)
minecraft.dropped.potato: #17, 5(0%)
minecraft.mined.snow: #17, 10(0%)
minecraft.crafted.wooden_pickaxe: #18, 1(3%)
minecraft.used.torch: #18, 3894(2%)
minecraft.killed.magma_cube: #18, 161(2%)
minecraft.picked_up.barrel: #18, 29(2%)
minecraft.used.furnace: #18, 36(1%)
minecraft.picked_up.blaze_rod: #18, 42(2%)
minecraft.picked_up.raw_iron: #18, 1770(1%)
minecraft.used.stonecutter: #18, 16(1%)
minecraft.crafted.spruce_planks: #18, 4192(1%)
minecraft.picked_up.dandelion: #18, 32(1%)
minecraft.picked_up.glow_ink_sac: #18, 59(1%)
minecraft.crafted.observer: #18, 66(1%)
minecraft.crafted.item_frame: #18, 57(1%)
minecraft.mined.amethyst_block: #18, 249(1%)
minecraft.mined.spruce_log: #18, 1288(1%)
minecraft.picked_up.moss_block: #18, 867(1%)
minecraft.picked_up.spruce_log: #18, 1363(1%)
minecraft.mined.moss_carpet: #18, 82(1%)
minecraft.mined.repeater: #18, 18(1%)
minecraft.used.chipped_anvil: #18, 1(1%)
minecraft.picked_up.firework_rocket: #18, 309(1%)
minecraft.crafted.dark_oak_trapdoor: #18, 34(1%)
minecraft.broken.iron_axe: #18, 1(1%)
minecraft.mined.redstone_block: #18, 11(1%)
minecraft.picked_up.oak_slab: #18, 13(1%)
minecraft.picked_up.diamond_ore: #18, 11(1%)
minecraft.used.egg: #18, 27(0%)
minecraft.mined.iron_door: #18, 1(1%)
minecraft.picked_up.iron_door: #18, 1(1%)
minecraft.custom.horse_one_cm: #18, 454423(0%)
minecraft.custom.minecart_one_cm: #18, 58905(0%)
minecraft.picked_up.spruce_trapdoor: #18, 17(0%)
minecraft.used.dark_oak_log: #18, 66(0%)
minecraft.crafted.gray_dye: #18, 36(0%)
minecraft.picked_up.dark_oak_fence: #18, 5(0%)
minecraft.picked_up.stone_brick_wall: #18, 2(0%)
minecraft.mined.bookshelf: #18, 17(0%)
minecraft.used.bookshelf: #18, 17(0%)
minecraft.killed.witch: #18, 2(0%)
minecraft.used.apple: #18, 1(0%)
minecraft.used.obsidian: #18, 93(0%)
minecraft.dropped.magma_cream: #18, 2(0%)
minecraft.used.deepslate_diamond_ore: #18, 2(0%)
minecraft.used.stone_shovel: #18, 38(0%)
minecraft.used.calcite: #18, 24(0%)
minecraft.crafted.glass_bottle: #18, 42(0%)
minecraft.used.jungle_log: #18, 7(0%)
minecraft.dropped.calcite: #18, 1(0%)
minecraft.picked_up.black_wool: #18, 2(0%)
minecraft.picked_up.warped_roots: #18, 4(0%)
minecraft.mined.copper_block: #18, 2(0%)
minecraft.mined.weathered_copper: #18, 1(0%)
minecraft.picked_up.weathered_copper: #18, 1(0%)
minecraft.dropped.dark_oak_log: #18, 1(0%)
minecraft.dropped.dark_oak_planks: #18, 1(0%)
minecraft.mined.large_amethyst_bud: #18, 1(0%)
minecraft.picked_up.cocoa_beans: #18, 6(0%)
minecraft.dropped.stone_button: #18, 1(0%)
minecraft.dropped.glass_bottle: #18, 4(0%)
minecraft.crafted.polished_blackstone: #18, 9(0%)
minecraft.mined.oxidized_copper: #18, 1(0%)
minecraft.picked_up.oxidized_copper: #18, 1(0%)
minecraft.custom.sprint_one_cm: #19, 27120391(2%)
minecraft.used.ladder: #19, 96(2%)
minecraft.crafted.torch: #19, 2784(2%)
minecraft.custom.damage_taken: #19, 58129(1%)
minecraft.picked_up.writable_book: #19, 3(2%)
minecraft.mined.deepslate_coal_ore: #19, 200(2%)
minecraft.used.diamond_shovel: #19, 18188(1%)
minecraft.mined.copper_ore: #19, 483(1%)
minecraft.used.item_frame: #19, 59(1%)
minecraft.picked_up.amethyst_block: #19, 250(1%)
minecraft.picked_up.spruce_sapling: #19, 157(1%)
minecraft.picked_up.iron_leggings: #19, 2(1%)
minecraft.crafted.white_dye: #19, 398(1%)
minecraft.used.spruce_slab: #19, 185(1%)
minecraft.dropped.diamond_boots: #19, 1(1%)
minecraft.mined.nether_quartz_ore: #19, 319(1%)
minecraft.crafted.spruce_slab: #19, 270(1%)
minecraft.mined.iron_block: #19, 217(1%)
minecraft.crafted.stonecutter: #19, 2(1%)
minecraft.picked_up.diamond_chestplate: #19, 1(1%)
minecraft.crafted.minecart: #19, 8(1%)
minecraft.used.iron_block: #19, 305(1%)
minecraft.custom.player_kills: #19, 1(1%)
minecraft.custom.damage_dealt: #19, 206805(0%)
minecraft.killed.player: #19, 1(1%)
minecraft.mined.spruce_slab: #19, 26(1%)
minecraft.dropped.stick: #19, 74(1%)
minecraft.used.bamboo: #19, 16(1%)
minecraft.dropped.tuff: #19, 8(0%)
minecraft.mined.oak_stairs: #19, 4(0%)
minecraft.picked_up.spruce_fence: #19, 19(0%)
minecraft.used.redstone_ore: #19, 21(0%)
minecraft.crafted.spruce_fence_gate: #19, 9(0%)
minecraft.used.spruce_fence_gate: #19, 9(0%)
minecraft.used.diamond_ore: #19, 6(0%)
minecraft.broken.iron_shovel: #19, 1(0%)
minecraft.used.iron_door: #19, 1(0%)
minecraft.mined.crimson_fungus: #19, 1(0%)
minecraft.crafted.polished_deepslate: #19, 76(0%)
minecraft.mined.pumpkin: #19, 8(0%)
minecraft.used.smooth_basalt: #19, 8(0%)
minecraft.dropped.moss_carpet: #19, 2(0%)
minecraft.used.smithing_table: #19, 1(0%)
minecraft.mined.crimson_roots: #19, 1(0%)
minecraft.used.amethyst_block: #19, 5(0%)
minecraft.picked_up.pumpkin: #19, 8(0%)
minecraft.used.hay_block: #19, 1(0%)
minecraft.picked_up.copper_block: #19, 2(0%)
minecraft.used.birch_log: #19, 2(0%)
minecraft.custom.tune_noteblock: #19, 1(0%)
minecraft.picked_up.spruce_leaves: #19, 2(0%)
minecraft.custom.open_chest: #20, 7724(2%)
minecraft.crafted.diamond_pickaxe: #20, 4(2%)
minecraft.crafted.coal_block: #20, 210(1%)
minecraft.picked_up.magma_cream: #20, 46(1%)
minecraft.custom.open_barrel: #20, 692(1%)
minecraft.mined.redstone_wire: #20, 64(1%)
minecraft.crafted.furnace: #20, 32(1%)
minecraft.picked_up.diamond_sword: #20, 6(1%)
minecraft.used.oak_sign: #20, 20(1%)
minecraft.picked_up.quartz: #20, 464(1%)
minecraft.picked_up.lead: #20, 20(1%)
minecraft.used.sticky_piston: #20, 25(1%)
minecraft.mined.chipped_anvil: #20, 1(1%)
minecraft.dropped.dirt: #20, 293(1%)
minecraft.mined.chest: #20, 48(1%)
minecraft.picked_up.chipped_anvil: #20, 1(1%)
minecraft.picked_up.obsidian: #20, 181(1%)
minecraft.used.flint_and_steel: #20, 34(1%)
minecraft.picked_up.iron_boots: #20, 2(1%)
minecraft.mined.oak_sign: #20, 1(1%)
minecraft.used.lantern: #20, 23(1%)
minecraft.picked_up.iron_block: #20, 190(0%)
minecraft.mined.lantern: #20, 3(1%)
minecraft.picked_up.hay_block: #20, 14(0%)
minecraft.picked_up.redstone_block: #20, 20(0%)
minecraft.crafted.powered_rail: #20, 30(0%)
minecraft.crafted.copper_block: #20, 87(0%)
minecraft.picked_up.dark_oak_sapling: #20, 22(0%)
minecraft.crafted.stone_shovel: #20, 1(0%)
minecraft.used.redstone_lamp: #20, 6(0%)
minecraft.mined.dark_oak_leaves: #20, 46(0%)
minecraft.picked_up.deepslate_diamond_ore: #20, 3(0%)
minecraft.mined.bamboo: #20, 19(0%)
minecraft.crafted.redstone_lamp: #20, 8(0%)
minecraft.picked_up.crimson_fungus: #20, 1(0%)
minecraft.crafted.stone_brick_stairs: #20, 4(0%)
minecraft.mined.warped_fungus: #20, 1(0%)
minecraft.picked_up.warped_fungus: #20, 1(0%)
minecraft.crafted.grindstone: #20, 2(0%)
minecraft.used.basalt: #20, 18(0%)
minecraft.picked_up.cornflower: #20, 4(0%)
minecraft.picked_up.sunflower: #20, 2(0%)
minecraft.picked_up.glass_bottle: #20, 1(0%)
minecraft.used.nether_bricks: #20, 1(0%)
minecraft.used.snowball: #20, 1(0%)
minecraft.killed.drowned: #20, 5(0%)
minecraft.crafted.air: #20, 0(0%)
minecraft.custom.walk_on_water_one_cm: #21, 925520(1%)
minecraft.custom.sleep_in_bed: #21, 313(2%)
minecraft.custom.interact_with_anvil: #21, 83(2%)
minecraft.picked_up.torch: #21, 1581(2%)
minecraft.used.stone_axe: #21, 104(2%)
minecraft.mined.coal_ore: #21, 1765(2%)
minecraft.custom.open_shulker_box: #21, 3769(1%)
minecraft.mined.deepslate_gold_ore: #21, 46(1%)
minecraft.crafted.iron_chestplate: #21, 1(1%)
minecraft.picked_up.diamond_pickaxe: #21, 9(1%)
minecraft.picked_up.cobblestone: #21, 7651(1%)
minecraft.used.stone: #21, 4613(1%)
minecraft.crafted.iron_leggings: #21, 1(1%)
minecraft.mined.grass_block: #21, 4489(1%)
minecraft.dropped.cobblestone: #21, 703(1%)
minecraft.used.barrel: #21, 28(1%)
minecraft.mined.oak_wall_sign: #21, 2(1%)
minecraft.mined.beacon: #21, 2(1%)
minecraft.used.beacon: #21, 2(1%)
minecraft.picked_up.beacon: #21, 2(1%)
minecraft.dropped.lead: #21, 1(1%)
minecraft.crafted.sticky_piston: #21, 14(1%)
minecraft.used.coal_ore: #21, 98(0%)
minecraft.picked_up.iron_chestplate: #21, 1(1%)
minecraft.picked_up.chest: #21, 49(0%)
minecraft.mined.glowstone: #21, 22(0%)
minecraft.mined.poppy: #21, 11(0%)
minecraft.picked_up.birch_sapling: #21, 36(0%)
minecraft.crafted.diamond: #21, 45(0%)
minecraft.picked_up.spruce_slab: #21, 24(0%)
minecraft.picked_up.oak_stairs: #21, 4(0%)
minecraft.used.diamond_sword: #21, 2012(0%)
minecraft.picked_up.bucket: #21, 3(0%)
minecraft.picked_up.lantern: #21, 6(0%)
minecraft.picked_up.shears: #21, 1(0%)
minecraft.mined.smooth_basalt: #21, 18(0%)
minecraft.crafted.composter: #21, 2(0%)
minecraft.picked_up.iron_ingot: #21, 113(0%)
minecraft.crafted.birch_slab: #21, 12(0%)
minecraft.used.diamond_hoe: #21, 369(0%)
minecraft.dropped.oak_log: #21, 2(0%)
minecraft.picked_up.crimson_roots: #21, 2(0%)
minecraft.mined.deepslate_bricks: #21, 3(0%)
minecraft.used.campfire: #21, 1(0%)
minecraft.used.diamond_block: #21, 1(0%)
minecraft.dropped.spruce_planks: #21, 1(0%)
minecraft.picked_up.potato: #21, 17(0%)
minecraft.used.stone_stairs: #21, 1(0%)
minecraft.crafted.deepslate_tiles: #21, 1(0%)
minecraft.picked_up.emerald: #21, 1(0%)
minecraft.custom.fall_one_cm: #22, 1448860(1%)
minecraft.used.diamond_axe: #22, 5939(1%)
minecraft.used.diamond_pickaxe: #22, 48923(1%)
minecraft.crafted.diamond_axe: #22, 2(2%)
minecraft.picked_up.raw_gold: #22, 249(1%)
minecraft.crafted.iron_boots: #22, 1(1%)
minecraft.custom.swim_one_cm: #22, 488550(1%)
minecraft.crafted.ladder: #22, 72(1%)
minecraft.mined.oak_log: #22, 547(1%)
minecraft.crafted.stone_axe: #22, 1(1%)
minecraft.mined.oak_leaves: #22, 815(1%)
minecraft.used.player_head: #22, 7(1%)
minecraft.picked_up.diamond_boots: #22, 3(1%)
minecraft.picked_up.diamond_helmet: #22, 2(1%)
minecraft.used.wooden_pickaxe: #22, 3(1%)
minecraft.mined.player_head: #22, 2(1%)
minecraft.crafted.oak_planks: #22, 832(0%)
minecraft.picked_up.dark_oak_log: #22, 296(0%)
minecraft.crafted.dark_oak_planks: #22, 356(0%)
minecraft.used.iron_bars: #22, 20(0%)
minecraft.mined.dark_oak_log: #22, 208(0%)
minecraft.picked_up.spruce_sign: #22, 4(0%)
minecraft.used.deepslate: #22, 110(0%)
minecraft.dropped.flint: #22, 7(0%)
minecraft.picked_up.bamboo: #22, 225(0%)
minecraft.crafted.lantern: #22, 12(0%)
minecraft.mined.spruce_trapdoor: #22, 5(0%)
minecraft.picked_up.smooth_basalt: #22, 15(0%)
minecraft.used.oak_slab: #22, 5(0%)
minecraft.crafted.campfire: #22, 1(0%)
minecraft.killed.pillager: #22, 2(0%)
minecraft.picked_up.deepslate_bricks: #22, 3(0%)
minecraft.picked_up.baked_potato: #22, 5(0%)
minecraft.crafted.stone_slab: #22, 6(0%)
minecraft.dropped.iron_ingot: #22, 2(0%)
minecraft.used.stone_button: #22, 4(0%)
minecraft.crafted.stone_button: #22, 3(0%)
minecraft.picked_up.snowball: #22, 1(0%)
minecraft.mined.deepslate_iron_ore: #23, 105(1%)
minecraft.mined.deepslate_redstone_ore: #23, 120(1%)
minecraft.mined.deepslate_copper_ore: #23, 15(1%)
minecraft.mined.deepslate_lapis_ore: #23, 15(1%)
minecraft.picked_up.coal: #23, 1892(1%)
minecraft.picked_up.cobbled_deepslate: #23, 3240(1%)
minecraft.picked_up.stick: #23, 409(1%)
minecraft.picked_up.oak_log: #23, 545(1%)
minecraft.picked_up.raw_copper: #23, 839(1%)
minecraft.crafted.stick: #23, 2172(1%)
minecraft.custom.interact_with_beacon: #23, 3(1%)
minecraft.used.diorite: #23, 55(1%)
minecraft.picked_up.diamond_leggings: #23, 2(1%)
minecraft.mined.moss_block: #23, 141(0%)
minecraft.used.shears: #23, 291(0%)
minecraft.crafted.bucket: #23, 11(0%)
minecraft.used.redstone_block: #23, 7(0%)
minecraft.dropped.torch: #23, 12(0%)
minecraft.crafted.flint_and_steel: #23, 1(0%)
minecraft.dropped.redstone: #23, 5(0%)
minecraft.picked_up.chicken: #23, 2(0%)
minecraft.picked_up.oak_trapdoor: #23, 2(0%)
minecraft.crafted.chain: #23, 9(0%)
minecraft.crafted.oak_boat: #23, 1(0%)
minecraft.used.gravel: #23, 13(0%)
minecraft.used.oak_log: #23, 7(0%)
minecraft.mined.birch_leaves: #23, 20(0%)
minecraft.used.oak_leaves: #23, 3(0%)
minecraft.custom.jump: #24, 65095(1%)
minecraft.custom.deaths: #24, 12(1%)
minecraft.custom.boat_one_cm: #24, 1005590(1%)
minecraft.mined.redstone_ore: #24, 240(1%)
minecraft.used.dirt: #24, 2794(1%)
minecraft.picked_up.redstone: #24, 1342(1%)
minecraft.crafted.redstone_block: #24, 160(1%)
minecraft.mined.deepslate_diamond_ore: #24, 20(1%)
minecraft.mined.diamond_ore: #24, 43(1%)
minecraft.crafted.crafting_table: #24, 10(1%)
minecraft.picked_up.oak_sapling: #24, 102(1%)
minecraft.picked_up.oak_sign: #24, 4(0%)
minecraft.custom.time_since_rest: #24, 256480(0%)
minecraft.picked_up.diamond_shovel: #24, 2(0%)
minecraft.crafted.iron_bars: #24, 32(0%)
minecraft.used.oak_sapling: #24, 21(0%)
minecraft.picked_up.birch_planks: #24, 6(0%)
minecraft.mined.oak_trapdoor: #24, 2(0%)
minecraft.mined.farmland: #24, 3(0%)
minecraft.used.oak_trapdoor: #24, 4(0%)
minecraft.picked_up.cactus: #24, 19(0%)
minecraft.crafted.iron_nugget: #24, 72(0%)
minecraft.mined.cactus: #24, 3(0%)
minecraft.crafted.oak_trapdoor: #24, 2(0%)
minecraft.picked_up.stone_button: #24, 2(0%)
minecraft.crafted.blue_dye: #24, 1(0%)
minecraft.picked_up.coarse_dirt: #24, 1(0%)
minecraft.picked_up.oak_leaves: #24, 3(0%)
minecraft.used.deepslate_bricks: #24, 1(0%)
minecraft.custom.interact_with_furnace: #25, 318(1%)
minecraft.crafted.diamond_shovel: #25, 1(1%)
minecraft.crafted.oak_slab: #25, 30(0%)
minecraft.picked_up.flint: #25, 17(0%)
minecraft.picked_up.diamond_axe: #25, 1(0%)
minecraft.picked_up.iron_nugget: #25, 14(0%)
minecraft.picked_up.apple: #25, 7(0%)
minecraft.picked_up.golden_carrot: #25, 26(0%)
minecraft.used.andesite: #25, 29(0%)
minecraft.picked_up.paper: #25, 3(0%)
minecraft.crafted.shears: #25, 1(0%)
minecraft.used.chain: #25, 3(0%)
minecraft.crafted.diamond_boots: #26, 1(1%)
minecraft.used.cobbled_deepslate: #26, 84(0%)
minecraft.used.granite: #26, 6(0%)
minecraft.picked_up.carrot: #26, 20(0%)
minecraft.custom.fly_one_cm: #28, 16408825(1%)
minecraft.custom.time_since_death: #28, 682044(0%)
minecraft.custom.leave_game: #29, 182(1%)
