stat, rank, value, (percentage) 
minecraft.crafted.leather_leggings: #2, 27(16%)
minecraft.picked_up.spruce_leaves: #2, 9990(10%)
minecraft.crafted.yellow_wool: #2, 66(27%)
minecraft.mined.stripped_acacia_wood: #2, 153(32%)
minecraft.used.black_bed: #2, 102(26%)
minecraft.picked_up.nether_brick_slab: #2, 24(18%)
minecraft.crafted.warped_fence_gate: #2, 64(20%)
minecraft.dropped.diamond_helmet: #2, 6(13%)
minecraft.mined.green_concrete_powder: #2, 44(25%)
minecraft.crafted.diamond_helmet: #3, 9(11%)
minecraft.used.tropical_fish_bucket: #2, 10(29%)
minecraft.dropped.book: #2, 84(28%)
minecraft.picked_up.stripped_acacia_wood: #2, 150(28%)
minecraft.mined.birch_leaves: #3, 5433(11%)
minecraft.mined.tripwire_hook: #2, 6(18%)
minecraft.used.pink_carpet: #2, 17(33%)
minecraft.crafted.mossy_cobblestone_slab: #2, 234(16%)
minecraft.used.jungle_wood: #2, 103(20%)
minecraft.mined.warped_sign: #2, 6(20%)
minecraft.used.lily_of_the_valley: #3, 62(26%)
minecraft.mined.mossy_cobblestone_wall: #2, 15(39%)
minecraft.picked_up.lightning_rod: #2, 68(8%)
minecraft.used.granite_slab: #2, 148(19%)
minecraft.crafted.acacia_wood: #2, 432(16%)
minecraft.mined.vine: #3, 1453(12%)
minecraft.mined.granite_wall: #2, 8(22%)
minecraft.picked_up.dark_prismarine_slab: #2, 11(31%)
minecraft.crafted.cake: #3, 27(23%)
minecraft.dropped.blue_orchid: #2, 23(38%)
minecraft.dropped.enchanted_book: #3, 61(17%)
minecraft.crafted.glass_pane: #3, 34273(16%)
minecraft.picked_up.acacia_door: #2, 5(25%)
minecraft.crafted.jungle_door: #2, 18(30%)
minecraft.crafted.deepslate_brick_stairs: #3, 118(14%)
minecraft.used.acacia_wood: #2, 409(16%)
minecraft.crafted.stone_brick_wall: #3, 192(15%)
minecraft.picked_up.oak_fence: #3, 343(9%)
minecraft.dropped.shroomlight: #2, 22(18%)
minecraft.crafted.green_wool: #2, 67(16%)
minecraft.used.acacia_fence_gate: #2, 20(16%)
minecraft.crafted.jungle_wood: #2, 141(18%)
minecraft.crafted.ender_pearl: #2, 88(20%)
minecraft.mined.green_wool: #2, 18(14%)
minecraft.used.lead: #2, 8(9%)
minecraft.crafted.gray_wool: #3, 392(17%)
minecraft.used.jungle_fence_gate: #2, 21(14%)
