stat, rank, value, (percentage) 
minecraft.used.red_dye: #9, 2(2%)
minecraft.dropped.player_head: #9, 38(1%)
minecraft.used.barrel: #10, 194(5%)
minecraft.dropped.polished_granite: #9, 4(2%)
minecraft.used.warped_roots: #9, 2(2%)
minecraft.picked_up.smooth_quartz: #9, 22(1%)
minecraft.picked_up.jungle_slab: #9, 14(1%)
minecraft.used.leather_boots: #9, 1(2%)
minecraft.used.polished_blackstone_slab: #9, 55(1%)
minecraft.picked_up.daylight_detector: #9, 1(2%)
minecraft.used.chiseled_deepslate: #9, 31(1%)
minecraft.crafted.red_stained_glass: #9, 40(1%)
minecraft.used.granite_wall: #9, 8(1%)
minecraft.used.yellow_wool: #9, 27(1%)
minecraft.mined.yellow_shulker_box: #9, 12(1%)
minecraft.crafted.light_blue_stained_glass: #9, 64(1%)
minecraft.used.yellow_shulker_box: #9, 12(1%)
minecraft.killed.player: #10, 8(6%)
minecraft.picked_up.yellow_shulker_box: #9, 11(1%)
minecraft.mined.brown_carpet: #9, 2(1%)
minecraft.used.polished_granite_slab: #9, 4(1%)
minecraft.crafted.apple: #9, 28(1%)
minecraft.mined.rooted_dirt: #9, 18(0%)
minecraft.used.diamond_axe: #10, 16470(4%)
minecraft.mined.warped_wall_sign: #9, 1(1%)
minecraft.mined.jungle_slab: #9, 5(1%)
minecraft.mined.beetroots: #9, 6(0%)
minecraft.mined.fire_coral_fan: #9, 2(1%)
minecraft.mined.snow_block: #9, 31(0%)
minecraft.picked_up.end_crystal: #9, 6(1%)
minecraft.picked_up.diamond_shovel: #10, 24(4%)
minecraft.dropped.amethyst_block: #9, 4(0%)
minecraft.used.acacia_fence: #9, 5(1%)
minecraft.mined.allium: #9, 3(0%)
minecraft.dropped.lilac: #9, 1(1%)
minecraft.mined.tube_coral_wall_fan: #9, 4(0%)
minecraft.dropped.jungle_fence: #9, 1(0%)
minecraft.picked_up.tube_coral_fan: #9, 4(0%)
minecraft.picked_up.brown_carpet: #9, 2(0%)
minecraft.mined.stripped_spruce_wood: #9, 2(0%)
minecraft.used.lantern: #10, 182(4%)
minecraft.mined.polished_blackstone_brick_slab: #9, 3(0%)
minecraft.picked_up.glow_ink_sac: #10, 184(4%)
minecraft.used.jungle_leaves: #9, 2(0%)
minecraft.picked_up.fire_coral: #9, 1(0%)
minecraft.crafted.slime_block: #9, 24(0%)
minecraft.crafted.cookie: #9, 8(0%)
minecraft.used.honeycomb_block: #9, 1(0%)
minecraft.crafted.spruce_slab: #10, 1122(4%)
minecraft.crafted.birch_planks: #10, 3200(4%)
minecraft.picked_up.spruce_planks: #10, 606(4%)
minecraft.used.golden_carrot: #10, 1326(4%)
minecraft.mined.spruce_planks: #10, 443(4%)
minecraft.used.sticky_piston: #10, 119(4%)
minecraft.crafted.chain: #10, 292(3%)
minecraft.mined.soul_sand: #10, 321(3%)
minecraft.picked_up.weeping_vines: #10, 35(4%)
minecraft.crafted.dark_oak_sign: #10, 87(4%)
minecraft.mined.dark_oak_log: #10, 1953(3%)
minecraft.crafted.spruce_trapdoor: #10, 410(3%)
minecraft.killed_by.enderman: #10, 1(6%)
minecraft.crafted.spruce_fence: #10, 330(3%)
minecraft.dropped.redstone: #10, 102(3%)
minecraft.dropped.firework_rocket: #10, 345(3%)
minecraft.used.dark_oak_fence: #10, 90(3%)
minecraft.dropped.bucket: #10, 8(3%)
minecraft.picked_up.polished_blackstone_stairs: #10, 37(4%)
minecraft.crafted.lectern: #10, 10(3%)
minecraft.crafted.netherite_boots: #10, 1(6%)
minecraft.picked_up.spruce_door: #10, 11(3%)
minecraft.mined.acacia_log: #10, 534(3%)
minecraft.crafted.flower_pot: #10, 33(3%)
minecraft.crafted.spruce_fence_gate: #10, 51(2%)
minecraft.mined.lily_of_the_valley: #10, 7(3%)
minecraft.picked_up.iron_axe: #10, 6(3%)
minecraft.picked_up.tnt: #10, 37(3%)
minecraft.picked_up.oak_leaves: #10, 1790(2%)
minecraft.used.spruce_fence_gate: #10, 49(2%)
minecraft.crafted.cobblestone_slab: #10, 174(2%)
minecraft.crafted.cut_copper: #10, 48(3%)
minecraft.mined.deepslate_tile_stairs: #10, 74(2%)
minecraft.picked_up.anvil: #10, 8(2%)
minecraft.mined.gray_carpet: #10, 17(3%)
minecraft.dropped.iron_ore: #10, 23(2%)
minecraft.used.dropper: #10, 46(2%)
minecraft.picked_up.emerald: #10, 239(2%)
minecraft.picked_up.red_wool: #10, 238(2%)
minecraft.mined.black_concrete: #10, 372(2%)
minecraft.used.bone_block: #10, 92(2%)
minecraft.mined.infested_stone: #10, 10(2%)
minecraft.mined.white_concrete: #10, 979(2%)
minecraft.crafted.birch_sign: #10, 24(2%)
minecraft.picked_up.end_stone_bricks: #10, 18(2%)
minecraft.mined.cave_vines_plant: #10, 10(2%)
minecraft.dropped.carved_pumpkin: #10, 14(2%)
minecraft.used.white_concrete: #10, 955(2%)
minecraft.dropped.chainmail_chestplate: #10, 2(2%)
minecraft.mined.nether_brick_fence: #10, 8(2%)
minecraft.picked_up.white_banner: #10, 6(1%)
minecraft.picked_up.nether_brick_fence: #10, 8(2%)
minecraft.dropped.netherite_sword: #10, 1(3%)
minecraft.crafted.acacia_trapdoor: #10, 84(2%)
minecraft.crafted.smooth_stone: #10, 208(1%)
minecraft.dropped.phantom_membrane: #10, 5(2%)
minecraft.picked_up.yellow_terracotta: #10, 7(2%)
minecraft.used.black_concrete_powder: #10, 515(1%)
minecraft.mined.stripped_dark_oak_log: #10, 49(1%)
minecraft.used.polished_deepslate_slab: #10, 274(1%)
minecraft.crafted.oak_fence_gate: #10, 6(1%)
minecraft.mined.lime_shulker_box: #10, 44(1%)
minecraft.picked_up.bucket: #10, 14(1%)
minecraft.used.lava_bucket: #10, 122(1%)
minecraft.picked_up.stripped_dark_oak_log: #10, 43(1%)
minecraft.used.lime_shulker_box: #10, 47(1%)
minecraft.crafted.black_concrete_powder: #10, 424(1%)
minecraft.used.deepslate_brick_slab: #10, 62(1%)
minecraft.mined.light_gray_concrete: #10, 43(1%)
minecraft.picked_up.light_gray_concrete: #10, 40(1%)
minecraft.picked_up.cut_copper_slab: #10, 4(1%)
minecraft.dropped.saddle: #10, 1(1%)
minecraft.crafted.deepslate_tiles: #10, 71(1%)
minecraft.dropped.cooked_chicken: #10, 3(1%)
minecraft.used.bricks: #10, 55(1%)
minecraft.crafted.nether_bricks: #10, 56(1%)
minecraft.mined.polished_blackstone: #10, 11(1%)
minecraft.picked_up.lectern: #10, 26(0%)
minecraft.mined.lectern: #10, 26(0%)
minecraft.mined.horn_coral_fan: #10, 2(1%)
minecraft.mined.smooth_quartz_slab: #10, 6(1%)
minecraft.dropped.poppy: #10, 153(0%)
minecraft.used.lectern: #10, 23(0%)
minecraft.mined.honeycomb_block: #10, 1(1%)
minecraft.mined.cartography_table: #10, 1(1%)
minecraft.mined.stripped_acacia_log: #10, 2(1%)
minecraft.used.stripped_dark_oak_log: #10, 8(0%)
minecraft.mined.black_stained_glass_pane: #10, 2(1%)
minecraft.crafted.red_sandstone: #10, 59(0%)
minecraft.picked_up.smooth_quartz_slab: #10, 6(0%)
minecraft.dropped.polished_basalt: #10, 1(1%)
minecraft.mined.acacia_stairs: #10, 1(0%)
minecraft.mined.acacia_planks: #10, 5(0%)
minecraft.picked_up.red_sand: #10, 282(0%)
minecraft.mined.red_sand: #10, 292(0%)
minecraft.picked_up.polished_blackstone_brick_slab: #10, 5(0%)
minecraft.dropped.nether_quartz_ore: #10, 1(0%)
minecraft.picked_up.beetroot: #10, 6(0%)
minecraft.picked_up.honeycomb_block: #10, 1(0%)
minecraft.crafted.barrel: #11, 130(4%)
minecraft.used.acacia_stairs: #10, 2(0%)
minecraft.picked_up.bubble_coral_fan: #10, 2(0%)
minecraft.mined.prismarine: #10, 6(0%)
minecraft.used.light_blue_concrete_powder: #10, 2(0%)
minecraft.dropped.brick: #10, 1(0%)
minecraft.mined.stripped_warped_stem: #10, 1(0%)
minecraft.picked_up.stripped_warped_stem: #10, 1(0%)
minecraft.picked_up.golden_carrot: #11, 899(4%)
minecraft.used.sea_pickle: #10, 4(0%)
minecraft.picked_up.leather_boots: #11, 14(4%)
minecraft.crafted.iron_ingot: #11, 8268(3%)
minecraft.mined.oak_fence: #11, 97(4%)
minecraft.mined.oak_trapdoor: #11, 44(3%)
minecraft.picked_up.birch_planks: #11, 106(3%)
minecraft.used.iron_block: #11, 1431(3%)
minecraft.picked_up.enchanted_book: #11, 18(3%)
minecraft.custom.swim_one_cm: #11, 1434276(3%)
minecraft.dropped.diamond_boots: #11, 3(4%)
minecraft.picked_up.cobblestone_slab: #11, 64(2%)
minecraft.dropped.spruce_planks: #11, 71(3%)
minecraft.picked_up.white_wool: #11, 287(2%)
minecraft.used.lever: #11, 69(2%)
minecraft.crafted.lantern: #11, 145(2%)
minecraft.picked_up.glow_berries: #11, 175(2%)
minecraft.crafted.spruce_door: #11, 12(3%)
minecraft.picked_up.birch_sapling: #11, 183(2%)
minecraft.custom.horse_one_cm: #11, 2705039(2%)
minecraft.picked_up.oak_stairs: #11, 24(2%)
minecraft.picked_up.white_concrete: #11, 975(3%)
minecraft.crafted.bow: #11, 34(2%)
minecraft.dropped.sand: #11, 218(2%)
minecraft.dropped.lapis_lazuli: #11, 19(3%)
minecraft.crafted.paper: #11, 3534(2%)
minecraft.picked_up.acacia_log: #11, 522(3%)
minecraft.dropped.leather_boots: #11, 7(2%)
minecraft.mined.stone_bricks: #11, 509(2%)
minecraft.mined.candle: #11, 5(3%)
minecraft.dropped.birch_planks: #11, 23(2%)
minecraft.mined.dark_oak_fence_gate: #11, 3(2%)
minecraft.crafted.light_gray_dye: #11, 124(1%)
minecraft.mined.warped_stem: #11, 121(1%)
minecraft.dropped.rotten_flesh: #11, 1231(1%)
minecraft.dropped.dark_oak_planks: #11, 20(2%)
minecraft.used.white_shulker_box: #11, 35(2%)
minecraft.picked_up.jungle_planks: #11, 39(1%)
minecraft.crafted.white_carpet: #11, 78(1%)
minecraft.dropped.lever: #11, 3(1%)
minecraft.mined.fern: #11, 33(1%)
minecraft.used.diamond_sword: #11, 5628(1%)
minecraft.mined.stone_brick_wall: #11, 4(1%)
minecraft.dropped.netherite_axe: #11, 1(2%)
minecraft.dropped.oak_slab: #11, 6(1%)
minecraft.picked_up.gray_concrete: #11, 128(1%)
minecraft.mined.crimson_roots: #11, 15(1%)
minecraft.dropped.stone_slab: #11, 36(1%)
minecraft.picked_up.lime_shulker_box: #11, 44(1%)
minecraft.used.white_concrete_powder: #11, 1092(1%)
minecraft.crafted.white_concrete_powder: #11, 1288(1%)
minecraft.used.oak_fence_gate: #11, 5(1%)
minecraft.used.polished_blackstone_stairs: #11, 65(1%)
minecraft.dropped.iron_nugget: #11, 24(1%)
minecraft.crafted.yellow_shulker_box: #11, 1(1%)
minecraft.dropped.stone_pressure_plate: #11, 1(1%)
minecraft.killed.cave_spider: #11, 61(1%)
minecraft.picked_up.dark_oak_button: #11, 1(1%)
minecraft.used.acacia_sapling: #11, 19(1%)
minecraft.crafted.birch_button: #11, 1(1%)
minecraft.custom.open_barrel: #12, 2397(4%)
minecraft.used.birch_button: #11, 1(1%)
minecraft.used.warped_planks: #11, 21(1%)
minecraft.picked_up.cartography_table: #11, 1(1%)
minecraft.mined.blackstone_slab: #11, 1(1%)
minecraft.crafted.light_gray_stained_glass: #11, 40(0%)
minecraft.picked_up.sea_pickle: #11, 53(0%)
minecraft.mined.jungle_sapling: #11, 1(0%)
minecraft.used.white_stained_glass: #11, 32(0%)
minecraft.picked_up.acacia_stairs: #11, 1(0%)
minecraft.picked_up.red_carpet: #11, 1(0%)
minecraft.mined.beehive: #11, 2(0%)
minecraft.mined.acacia_slab: #11, 2(0%)
minecraft.crafted.acacia_stairs: #11, 4(0%)
minecraft.dropped.copper_ingot: #11, 2(0%)
minecraft.picked_up.pink_wool: #11, 3(0%)
minecraft.used.warped_stairs: #11, 6(0%)
minecraft.crafted.black_stained_glass: #11, 112(0%)
minecraft.dropped.red_wool: #11, 1(0%)
minecraft.picked_up.acacia_slab: #11, 1(0%)
minecraft.dropped.stone_brick_slab: #11, 1(0%)
minecraft.mined.brain_coral_block: #11, 3(0%)
minecraft.used.polished_blackstone_brick_slab: #11, 5(0%)
minecraft.used.black_stained_glass: #11, 19(0%)
minecraft.picked_up.lead: #12, 89(4%)
minecraft.picked_up.diamond_sword: #12, 21(4%)
minecraft.dropped.writable_book: #12, 3(5%)
minecraft.used.bow: #12, 1269(3%)
minecraft.picked_up.dark_oak_log: #12, 2047(3%)
minecraft.used.diamond_leggings: #12, 2(4%)
minecraft.picked_up.iron_sword: #12, 5(3%)
minecraft.dropped.diorite: #12, 507(2%)
minecraft.used.deepslate: #12, 897(2%)
minecraft.mined.blackstone: #12, 859(2%)
minecraft.mined.spruce_wall_sign: #12, 7(2%)
minecraft.custom.inspect_dropper: #12, 112(2%)
minecraft.picked_up.iron_pickaxe: #12, 4(2%)
minecraft.dropped.elytra: #12, 3(2%)
minecraft.crafted.black_dye: #12, 629(2%)
minecraft.mined.seagrass: #12, 89(2%)
minecraft.used.damaged_anvil: #12, 2(2%)
minecraft.crafted.dropper: #12, 46(2%)
minecraft.picked_up.paper: #12, 85(2%)
minecraft.mined.damaged_anvil: #12, 2(2%)
minecraft.crafted.moss_carpet: #12, 168(1%)
minecraft.picked_up.netherite_pickaxe: #12, 5(1%)
minecraft.mined.cobblestone_wall: #12, 16(1%)
minecraft.mined.crimson_fungus: #12, 4(1%)
minecraft.mined.cocoa: #12, 20(1%)
minecraft.crafted.magenta_dye: #12, 20(1%)
minecraft.dropped.apple: #12, 10(1%)
minecraft.picked_up.warped_stem: #12, 119(1%)
minecraft.picked_up.quartz_slab: #12, 7(1%)
minecraft.crafted.soul_torch: #12, 36(1%)
minecraft.crafted.polished_deepslate_wall: #12, 19(1%)
minecraft.mined.polished_basalt: #12, 15(1%)
minecraft.dropped.dark_oak_log: #12, 11(1%)
minecraft.picked_up.dark_oak_fence_gate: #12, 3(1%)
minecraft.used.crimson_fungus: #12, 2(1%)
minecraft.mined.light_gray_stained_glass: #12, 9(1%)
minecraft.crafted.deepslate_bricks: #12, 150(1%)
minecraft.used.shield: #12, 42(1%)
minecraft.mined.gray_concrete: #12, 128(1%)
minecraft.mined.emerald_ore: #12, 4(1%)
minecraft.dropped.deepslate_coal_ore: #12, 1(1%)
minecraft.used.polished_deepslate_wall: #12, 45(1%)
minecraft.picked_up.polished_deepslate_wall: #12, 11(1%)
minecraft.picked_up.acacia_sapling: #12, 36(1%)
minecraft.picked_up.saddle: #12, 3(1%)
minecraft.custom.interact_with_smoker: #12, 4(1%)
minecraft.mined.polished_deepslate_slab: #12, 13(0%)
minecraft.used.string: #12, 106(0%)
minecraft.used.polished_deepslate_stairs: #12, 55(0%)
minecraft.used.purpur_block: #12, 8(1%)
minecraft.dropped.blackstone: #12, 27(0%)
minecraft.mined.bricks: #12, 3(1%)
minecraft.mined.big_dripleaf_stem: #12, 1(1%)
minecraft.used.smooth_sandstone: #12, 89(0%)
minecraft.used.black_stained_glass_pane: #12, 23(0%)
minecraft.used.hanging_roots: #12, 2(0%)
minecraft.used.diamond_block: #12, 4(0%)
minecraft.used.cut_copper: #12, 3(0%)
minecraft.crafted.warped_stairs: #12, 8(0%)
minecraft.picked_up.stripped_acacia_log: #12, 1(0%)
minecraft.picked_up.white_stained_glass_pane: #12, 1(0%)
minecraft.picked_up.jungle_leaves: #12, 4(0%)
minecraft.used.red_stained_glass: #12, 3(0%)
minecraft.custom.damage_resisted: #12, 16(0%)
minecraft.used.stripped_spruce_wood: #12, 1(0%)
minecraft.picked_up.dark_oak_leaves: #12, 6(0%)
minecraft.picked_up.stripped_spruce_wood: #12, 1(0%)
minecraft.used.polished_blackstone: #12, 11(0%)
minecraft.picked_up.cookie: #12, 2(0%)
minecraft.mined.brain_coral_wall_fan: #12, 1(0%)
minecraft.used.gray_concrete: #12, 12(0%)
minecraft.mined.warped_planks: #12, 1(0%)
minecraft.picked_up.prismarine: #12, 4(0%)
minecraft.used.blackstone_slab: #12, 2(0%)
minecraft.picked_up.brain_coral_block: #12, 2(0%)
minecraft.crafted.dark_oak_planks: #13, 2888(3%)
minecraft.mined.birch_log: #13, 1084(3%)
minecraft.custom.interact_with_beacon: #13, 17(3%)
minecraft.used.item_frame: #13, 142(3%)
minecraft.mined.spruce_log: #13, 3163(3%)
minecraft.picked_up.minecart: #13, 39(3%)
minecraft.mined.farmland: #13, 64(3%)
minecraft.mined.lilac: #13, 6(3%)
minecraft.dropped.diamond_axe: #13, 4(3%)
minecraft.crafted.ender_chest: #13, 7(2%)
minecraft.crafted.dark_oak_slab: #13, 324(3%)
minecraft.mined.warped_fungus: #13, 15(3%)
minecraft.picked_up.oak_trapdoor: #13, 37(2%)
minecraft.crafted.blue_dye: #13, 178(2%)
minecraft.mined.oak_sapling: #13, 10(2%)
minecraft.used.oak_sign: #13, 35(2%)
minecraft.mined.oak_leaves: #13, 2187(2%)
minecraft.mined.chain: #13, 24(2%)
minecraft.crafted.oak_sign: #13, 39(2%)
minecraft.used.dark_oak_slab: #13, 184(2%)
minecraft.picked_up.azalea: #13, 195(2%)
minecraft.mined.sea_lantern: #13, 19(2%)
minecraft.mined.cornflower: #13, 12(2%)
minecraft.picked_up.glowstone_dust: #13, 65(2%)
minecraft.picked_up.flower_pot: #13, 9(2%)
minecraft.picked_up.damaged_anvil: #13, 2(2%)
minecraft.used.birch_sign: #13, 21(1%)
minecraft.picked_up.soul_sand: #13, 225(1%)
minecraft.dropped.golden_helmet: #13, 4(1%)
minecraft.dropped.ender_chest: #13, 2(2%)
minecraft.dropped.tuff: #13, 19(1%)
minecraft.used.deepslate_diamond_ore: #13, 10(1%)
minecraft.mined.spruce_fence_gate: #13, 8(1%)
minecraft.used.stone_slab: #13, 242(1%)
minecraft.used.kelp: #13, 102(1%)
minecraft.picked_up.slime_block: #13, 73(1%)
minecraft.killed.silverfish: #13, 6(1%)
minecraft.mined.spore_blossom: #13, 1(2%)
minecraft.crafted.white_stained_glass: #13, 152(1%)
minecraft.crafted.polished_granite: #13, 48(1%)
minecraft.picked_up.candle: #13, 11(1%)
minecraft.used.glowstone: #13, 58(1%)
minecraft.crafted.dark_oak_door: #13, 3(1%)
minecraft.used.end_stone: #13, 21(1%)
minecraft.mined.white_shulker_box: #13, 18(1%)
minecraft.used.tinted_glass: #13, 102(1%)
minecraft.crafted.tripwire_hook: #13, 6(1%)
minecraft.crafted.ender_eye: #13, 8(1%)
minecraft.used.shroomlight: #13, 33(1%)
minecraft.dropped.white_dye: #13, 13(1%)
minecraft.mined.diamond_block: #13, 7(1%)
minecraft.picked_up.rooted_dirt: #13, 18(0%)
minecraft.picked_up.crimson_roots: #13, 11(0%)
minecraft.picked_up.polished_blackstone: #13, 11(0%)
minecraft.picked_up.polished_deepslate_slab: #13, 16(0%)
minecraft.mined.cauldron: #13, 2(0%)
minecraft.mined.stripped_spruce_log: #13, 19(0%)
minecraft.picked_up.stripped_spruce_log: #13, 17(0%)
minecraft.used.dark_oak_door: #13, 1(1%)
minecraft.used.gray_concrete_powder: #13, 128(0%)
minecraft.picked_up.copper_ingot: #13, 87(0%)
minecraft.mined.red_bed: #13, 3(0%)
minecraft.dropped.crossbow: #13, 1(0%)
minecraft.crafted.brown_dye: #13, 19(0%)
minecraft.used.deepslate_brick_wall: #13, 8(0%)
minecraft.crafted.gray_concrete_powder: #13, 128(0%)
minecraft.crafted.acacia_slab: #13, 18(0%)
minecraft.dropped.bone_meal: #13, 237(0%)
minecraft.dropped.wheat: #13, 20(0%)
minecraft.picked_up.beetroot_seeds: #13, 16(0%)
minecraft.mined.white_concrete_powder: #13, 8(0%)
minecraft.dropped.snowball: #13, 16(0%)
minecraft.mined.chiseled_deepslate: #13, 2(0%)
minecraft.picked_up.beehive: #13, 2(0%)
minecraft.used.warped_nylium: #13, 1(0%)
minecraft.picked_up.red_concrete: #13, 21(0%)
minecraft.picked_up.big_dripleaf: #13, 18(0%)
minecraft.used.stripped_spruce_log: #13, 4(0%)
minecraft.used.light_gray_stained_glass: #13, 10(0%)
minecraft.dropped.orange_terracotta: #13, 1(0%)
minecraft.used.acacia_log: #13, 4(0%)
minecraft.used.polished_andesite_stairs: #13, 2(0%)
minecraft.used.red_carpet: #13, 1(0%)
minecraft.mined.fire_coral_wall_fan: #13, 1(0%)
minecraft.used.dripstone_block: #13, 22(0%)
minecraft.picked_up.allium: #13, 2(0%)
minecraft.custom.damage_taken: #14, 102747(2%)
minecraft.dropped.diamond_sword: #14, 4(3%)
minecraft.picked_up.birch_log: #14, 1069(3%)
minecraft.picked_up.spruce_log: #14, 3247(3%)
minecraft.dropped.torch: #14, 133(2%)
minecraft.picked_up.writable_book: #14, 4(3%)
minecraft.custom.interact_with_stonecutter: #14, 129(2%)
minecraft.used.andesite: #14, 871(2%)
minecraft.picked_up.blackstone: #14, 978(2%)
minecraft.mined.redstone_wall_torch: #14, 12(2%)
minecraft.used.splash_potion: #14, 14(2%)
minecraft.used.chain: #14, 138(2%)
minecraft.mined.stonecutter: #14, 18(2%)
minecraft.used.white_bed: #14, 40(2%)
minecraft.picked_up.dark_oak_sign: #14, 22(2%)
minecraft.mined.spruce_stairs: #14, 32(2%)
minecraft.mined.white_bed: #14, 34(2%)
minecraft.crafted.diamond_block: #14, 28(2%)
minecraft.dropped.netherite_shovel: #14, 1(2%)
minecraft.picked_up.ink_sac: #14, 162(1%)
minecraft.picked_up.crimson_fungus: #14, 8(1%)
minecraft.mined.carrots: #14, 211(1%)
minecraft.crafted.dark_oak_fence: #14, 48(1%)
minecraft.used.grass_block: #14, 1869(1%)
minecraft.picked_up.iron_nugget: #14, 90(1%)
minecraft.dropped.oak_fence: #14, 5(1%)
minecraft.picked_up.rotten_flesh: #14, 848(1%)
minecraft.custom.jump: #15, 133698(3%)
minecraft.used.white_carpet: #14, 31(1%)
minecraft.dropped.iron_ingot: #14, 77(1%)
minecraft.dropped.golden_leggings: #14, 3(1%)
minecraft.mined.deepslate_bricks: #14, 37(1%)
minecraft.dropped.potion: #14, 5(1%)
minecraft.used.jungle_sapling: #14, 15(1%)
minecraft.mined.dark_oak_fence: #14, 8(1%)
minecraft.used.elytra: #14, 2(1%)
minecraft.picked_up.white_shulker_box: #14, 19(1%)
minecraft.picked_up.spruce_fence_gate: #14, 7(1%)
minecraft.picked_up.netherite_helmet: #14, 1(1%)
minecraft.picked_up.polished_basalt: #14, 13(1%)
minecraft.picked_up.netherite_sword: #14, 1(1%)
minecraft.mined.stone_button: #14, 8(1%)
minecraft.mined.terracotta: #14, 860(1%)
minecraft.custom.damage_blocked_by_shield: #14, 1480(1%)
minecraft.mined.white_stained_glass_pane: #14, 2(1%)
minecraft.used.smooth_stone_slab: #14, 84(1%)
minecraft.picked_up.cocoa_beans: #14, 48(0%)
minecraft.crafted.raw_iron: #14, 126(1%)
minecraft.used.white_stained_glass_pane: #14, 16(0%)
minecraft.picked_up.gray_wool: #14, 15(0%)
minecraft.dropped.brown_mushroom: #14, 1(0%)
minecraft.dropped.basalt: #14, 26(0%)
minecraft.custom.interact_with_blast_furnace: #14, 7(0%)
minecraft.used.cauldron: #14, 9(0%)
minecraft.crafted.birch_fence: #14, 3(0%)
minecraft.picked_up.warped_planks: #14, 6(0%)
minecraft.picked_up.cornflower: #14, 9(0%)
minecraft.picked_up.cooked_chicken: #14, 3(0%)
minecraft.mined.birch_fence: #14, 1(0%)
minecraft.used.stripped_oak_log: #14, 4(0%)
minecraft.used.birch_fence: #14, 1(0%)
minecraft.used.gold_block: #14, 4(0%)
minecraft.used.light_gray_carpet: #14, 4(0%)
minecraft.crafted.green_stained_glass: #14, 8(0%)
minecraft.picked_up.ice: #14, 3(0%)
minecraft.crafted.diamond_shovel: #15, 4(3%)
minecraft.mined.oak_log: #15, 1869(3%)
minecraft.dropped.diamond_pickaxe: #15, 5(3%)
minecraft.custom.boat_one_cm: #15, 2562288(2%)
minecraft.used.water_bucket: #15, 605(2%)
minecraft.picked_up.iron_chestplate: #15, 5(3%)
minecraft.used.shears: #15, 2348(2%)
minecraft.crafted.lever: #15, 63(2%)
minecraft.picked_up.golden_helmet: #15, 7(2%)
minecraft.mined.tall_grass: #15, 239(2%)
minecraft.dropped.diamond: #15, 41(2%)
minecraft.mined.moss_carpet: #15, 147(2%)
minecraft.killed.squid: #15, 48(2%)
minecraft.picked_up.stonecutter: #15, 18(2%)
minecraft.crafted.lapis_lazuli: #15, 204(2%)
minecraft.dropped.oak_planks: #15, 27(2%)
minecraft.picked_up.moss_block: #15, 1217(1%)
minecraft.picked_up.deepslate_bricks: #15, 96(2%)
minecraft.dropped.shield: #15, 1(2%)
minecraft.dropped.granite: #15, 294(1%)
minecraft.picked_up.gold_ore: #15, 46(1%)
minecraft.crafted.sticky_piston: #15, 37(1%)
minecraft.dropped.stick: #15, 177(1%)
minecraft.crafted.spruce_stairs: #15, 120(1%)
minecraft.crafted.red_dye: #15, 135(1%)
minecraft.picked_up.deepslate_gold_ore: #15, 14(1%)
minecraft.picked_up.phantom_membrane: #15, 10(1%)
minecraft.used.ender_chest: #15, 55(1%)
minecraft.mined.ender_chest: #15, 55(1%)
minecraft.picked_up.shears: #15, 7(1%)
minecraft.killed.phantom: #15, 12(1%)
minecraft.crafted.acacia_planks: #15, 536(1%)
minecraft.crafted.polished_deepslate: #15, 428(1%)
minecraft.picked_up.gunpowder: #15, 187(1%)
minecraft.used.spruce_stairs: #15, 91(1%)
minecraft.picked_up.grass_block: #15, 3286(1%)
minecraft.used.gravel: #15, 164(1%)
minecraft.picked_up.cobblestone_wall: #15, 12(1%)
minecraft.mined.end_stone: #15, 60(1%)
minecraft.picked_up.end_stone: #15, 60(1%)
minecraft.used.calcite: #15, 96(1%)
minecraft.crafted.composter: #15, 9(1%)
minecraft.picked_up.jungle_sapling: #15, 17(1%)
minecraft.picked_up.peony: #15, 8(1%)
minecraft.mined.gold_block: #15, 10(1%)
minecraft.used.cobblestone_slab: #15, 33(0%)
minecraft.picked_up.terracotta: #15, 851(1%)
minecraft.picked_up.armor_stand: #15, 4(1%)
minecraft.crafted.dark_oak_boat: #15, 1(1%)
minecraft.picked_up.netherite_boots: #15, 1(1%)
minecraft.dropped.hopper: #15, 1(1%)
minecraft.used.cobbled_deepslate_slab: #15, 36(0%)
minecraft.crafted.spruce_sign: #15, 15(0%)
minecraft.used.deepslate_gold_ore: #15, 4(1%)
minecraft.dropped.bone: #15, 124(0%)
minecraft.dropped.birch_log: #15, 7(1%)
minecraft.used.sweet_berries: #15, 8(1%)
minecraft.mined.grindstone: #15, 3(0%)
minecraft.used.warped_stem: #15, 16(0%)
minecraft.mined.oak_fence_gate: #15, 1(0%)
minecraft.used.obsidian: #15, 109(0%)
minecraft.mined.polished_deepslate_stairs: #15, 5(0%)
minecraft.picked_up.chiseled_deepslate: #15, 3(0%)
minecraft.picked_up.polished_deepslate_stairs: #15, 5(0%)
minecraft.picked_up.oak_fence_gate: #15, 1(0%)
minecraft.picked_up.red_bed: #15, 2(0%)
minecraft.picked_up.lily_of_the_valley: #15, 5(0%)
minecraft.dropped.deepslate_tile_slab: #15, 1(0%)
minecraft.dropped.kelp: #15, 9(0%)
minecraft.used.spyglass: #15, 5(0%)
minecraft.crafted.polished_blackstone: #15, 32(0%)
minecraft.used.red_wool: #15, 17(0%)
minecraft.picked_up.cauldron: #15, 2(0%)
minecraft.used.crimson_nylium: #15, 1(0%)
minecraft.custom.walk_under_water_one_cm: #16, 1987142(2%)
minecraft.crafted.light_gray_carpet: #15, 6(0%)
minecraft.dropped.glass_bottle: #15, 8(0%)
minecraft.used.glow_lichen: #15, 24(0%)
