stat, rank, value, (percentage) 
minecraft.dropped.tropical_fish: #3, 5(16%)
minecraft.mined.dark_oak_fence_gate: #4, 16(13%)
minecraft.dropped.phantom_membrane: #3, 17(6%)
minecraft.dropped.soul_sand: #3, 66(5%)
minecraft.used.polished_deepslate_wall: #4, 665(10%)
minecraft.custom.interact_with_smoker: #4, 70(10%)
minecraft.mined.stone_bricks: #4, 2079(8%)
minecraft.mined.diorite_wall: #3, 9(14%)
minecraft.mined.deepslate_brick_stairs: #4, 108(11%)
minecraft.dropped.glass: #4, 642(9%)
minecraft.mined.chiseled_stone_bricks: #3, 14(13%)
minecraft.dropped.birch_button: #3, 3(19%)
minecraft.mined.crimson_nylium: #4, 156(7%)
minecraft.crafted.netherite_chestplate: #3, 1(11%)
minecraft.dropped.loom: #3, 1(17%)
minecraft.used.red_mushroom_block: #3, 103(6%)
minecraft.picked_up.stone: #4, 111448(6%)
minecraft.used.map: #4, 23(11%)
minecraft.crafted.oak_planks: #4, 10856(6%)
minecraft.mined.blue_concrete_powder: #3, 1(20%)
minecraft.mined.peony: #4, 10(8%)
minecraft.crafted.chainmail_leggings: #3, 1(14%)
minecraft.crafted.diamond_sword: #4, 6(6%)
minecraft.used.chiseled_quartz_block: #3, 26(11%)
minecraft.picked_up.suspicious_stew: #3, 1(11%)
minecraft.mined.birch_button: #3, 3(8%)
minecraft.picked_up.dark_oak_slab: #4, 163(7%)
minecraft.killed.bat: #4, 21(7%)
minecraft.mined.spawner: #3, 3(4%)
minecraft.used.orange_concrete: #3, 109(8%)
minecraft.dropped.nether_quartz_ore: #3, 12(4%)
minecraft.crafted.compass: #4, 47(9%)
minecraft.mined.chiseled_quartz_block: #3, 2(7%)
minecraft.dropped.netherrack: #4, 9683(6%)
minecraft.used.stone_slab: #5, 2322(10%)
minecraft.mined.raw_copper_block: #3, 4(4%)
minecraft.picked_up.crimson_nylium: #4, 148(7%)
minecraft.used.smoker: #4, 9(8%)
minecraft.used.cut_copper: #4, 112(10%)
minecraft.dropped.lilac: #3, 4(2%)
minecraft.mined.prismarine_brick_stairs: #3, 6(3%)
minecraft.used.prismarine: #4, 531(10%)
minecraft.picked_up.chiseled_quartz_block: #3, 2(3%)
minecraft.picked_up.prismarine_brick_stairs: #3, 6(2%)
minecraft.picked_up.nether_quartz_ore: #5, 927(10%)
minecraft.killed.wither_skeleton: #3, 106(1%)
minecraft.dropped.cobblestone_stairs: #4, 16(12%)
minecraft.used.deepslate_tile_stairs: #5, 1444(9%)
minecraft.dropped.oxeye_daisy: #4, 10(11%)
minecraft.dropped.peony: #3, 2(1%)
minecraft.mined.polished_blackstone_wall: #4, 13(10%)
minecraft.crafted.black_stained_glass_pane: #4, 480(8%)
minecraft.crafted.grindstone: #4, 90(5%)
minecraft.mined.stone_slab: #4, 220(5%)
minecraft.mined.glow_lichen: #4, 1228(4%)
minecraft.picked_up.sand: #5, 56198(8%)
minecraft.picked_up.dirt: #5, 38954(7%)
minecraft.mined.smooth_sandstone_slab: #4, 68(6%)
minecraft.mined.smooth_stone: #5, 471(10%)
minecraft.picked_up.red_carpet: #4, 20(8%)
minecraft.crafted.netherite_shovel: #4, 2(9%)
minecraft.mined.light_gray_concrete: #5, 515(11%)
minecraft.dropped.nether_brick_fence: #4, 3(18%)
minecraft.used.soul_campfire: #4, 26(13%)
minecraft.used.black_wool: #4, 570(5%)
minecraft.used.gray_terracotta: #4, 138(11%)
minecraft.used.heavy_weighted_pressure_plate: #4, 8(7%)
minecraft.mined.soul_campfire: #4, 1(17%)
minecraft.picked_up.diorite_wall: #4, 9(11%)
minecraft.mined.stone: #5, 183830(7%)
minecraft.crafted.black_dye: #5, 2541(7%)
minecraft.mined.deepslate_copper_ore: #5, 91(7%)
minecraft.picked_up.coal_ore: #5, 2666(7%)
minecraft.picked_up.oak_stairs: #5, 81(8%)
minecraft.used.deepslate_tile_slab: #5, 2000(8%)
minecraft.crafted.spruce_fence_gate: #5, 170(8%)
minecraft.used.smooth_sandstone_stairs: #5, 949(9%)
minecraft.picked_up.glow_item_frame: #5, 14(8%)
minecraft.mined.glass: #5, 772(7%)
minecraft.picked_up.purple_candle: #4, 4(14%)
minecraft.killed.wolf: #4, 1(14%)
minecraft.used.stone_bricks: #5, 6453(7%)
minecraft.picked_up.ender_pearl: #5, 11378(7%)
minecraft.mined.shroomlight: #5, 183(7%)
minecraft.picked_up.blue_concrete_powder: #4, 1(17%)
minecraft.dropped.brown_mushroom: #4, 11(4%)
minecraft.mined.potatoes: #5, 735(7%)
minecraft.mined.player_wall_head: #5, 14(8%)
minecraft.dropped.dark_oak_leaves: #4, 6(11%)
minecraft.picked_up.iron_block: #5, 2618(7%)
minecraft.dropped.stone_button: #4, 65(3%)
minecraft.dropped.stone: #5, 11741(6%)
minecraft.used.moss_carpet: #5, 1211(7%)
minecraft.used.deepslate_bricks: #6, 4149(11%)
minecraft.dropped.deepslate_gold_ore: #4, 2(7%)
minecraft.dropped.ender_pearl: #5, 9960(7%)
minecraft.crafted.netherite_leggings: #4, 1(7%)
minecraft.mined.dark_oak_wall_sign: #5, 35(7%)
minecraft.picked_up.light_gray_concrete: #5, 423(9%)
minecraft.mined.campfire: #5, 39(9%)
minecraft.used.deepslate_iron_ore: #5, 108(8%)
minecraft.picked_up.birch_button: #4, 4(7%)
minecraft.dropped.tuff: #5, 104(6%)
minecraft.dropped.filled_map: #5, 7(8%)
minecraft.crafted.small_dripleaf: #4, 71(6%)
minecraft.used.smooth_stone: #5, 1749(8%)
minecraft.crafted.dark_oak_fence_gate: #5, 68(9%)
minecraft.dropped.stone_sword: #4, 14(2%)
minecraft.dropped.dark_oak_sapling: #4, 5(4%)
minecraft.crafted.stone_stairs: #4, 126(2%)
minecraft.mined.purple_candle: #4, 1(10%)
minecraft.crafted.iron_door: #5, 36(8%)
minecraft.killed.dolphin: #4, 1(6%)
minecraft.broken.iron_pickaxe: #5, 18(6%)
minecraft.picked_up.campfire: #5, 39(8%)
minecraft.picked_up.polished_deepslate: #5, 426(5%)
minecraft.mined.prismarine: #4, 129(2%)
minecraft.dropped.slime_ball: #4, 89(2%)
minecraft.mined.sand: #6, 57455(9%)
minecraft.used.cyan_bed: #4, 7(3%)
minecraft.custom.interact_with_stonecutter: #6, 525(9%)
minecraft.used.chiseled_stone_bricks: #4, 62(4%)
minecraft.picked_up.soul_campfire: #4, 1(5%)
minecraft.used.oak_stairs: #5, 174(7%)
minecraft.mined.weathered_cut_copper: #4, 1(4%)
minecraft.picked_up.weathered_cut_copper: #4, 1(4%)
minecraft.used.polished_blackstone_brick_slab: #4, 223(2%)
minecraft.dropped.rose_bush: #4, 3(2%)
minecraft.mined.polished_andesite_stairs: #5, 19(11%)
minecraft.mined.lever: #5, 33(5%)
minecraft.picked_up.dark_oak_sign: #5, 61(5%)
minecraft.killed.squid: #5, 129(5%)
minecraft.used.birch_slab: #5, 201(7%)
minecraft.mined.glass_pane: #5, 58(8%)
