stat, rank, value, (percentage) 
minecraft.picked_up.composter: #1, 119(16%)
minecraft.dropped.spruce_fence_gate: #1, 40(68%)
minecraft.dropped.birch_sign: #1, 34(24%)
minecraft.dropped.lime_wool: #1, 1986(84%)
minecraft.crafted.observer: #1, 693(13%)
minecraft.dropped.green_bed: #1, 20(83%)
minecraft.picked_up.jungle_wood: #1, 86(55%)
minecraft.used.end_rod: #2, 1100(20%)
minecraft.dropped.lightning_rod: #1, 14(82%)
minecraft.used.lantern: #1, 580(14%)
minecraft.dropped.green_terracotta: #1, 40(82%)
minecraft.dropped.flower_pot: #1, 33(46%)
minecraft.picked_up.brick_stairs: #1, 32(41%)
minecraft.crafted.cobbled_deepslate_slab: #2, 578(21%)
minecraft.crafted.brick_stairs: #1, 92(46%)
minecraft.picked_up.purple_stained_glass: #1, 43(64%)
minecraft.picked_up.blackstone_wall: #1, 55(46%)
minecraft.dropped.iron_axe: #2, 73(23%)
minecraft.mined.red_wool: #1, 1100(21%)
minecraft.dropped.weeping_vines: #1, 11(39%)
minecraft.used.stone: #1, 59419(12%)
minecraft.picked_up.minecart: #1, 181(12%)
minecraft.killed.dolphin: #1, 8(44%)
minecraft.used.dark_oak_planks: #2, 1595(21%)
minecraft.picked_up.spruce_wood: #1, 72(39%)
minecraft.dropped.quartz: #2, 583(29%)
minecraft.used.diamond_boots: #1, 13(22%)
minecraft.crafted.smooth_quartz_slab: #1, 462(34%)
minecraft.dropped.nether_wart_block: #1, 24(31%)
minecraft.picked_up.cobbled_deepslate_slab: #2, 325(23%)
minecraft.dropped.oak_sign: #1, 23(14%)
minecraft.dropped.note_block: #1, 34(61%)
minecraft.crafted.green_bed: #1, 20(61%)
minecraft.crafted.iron_axe: #2, 64(15%)
minecraft.used.crimson_sign: #1, 26(50%)
minecraft.crafted.crimson_sign: #1, 27(50%)
minecraft.crafted.stone_hoe: #1, 12(16%)
minecraft.crafted.repeater: #1, 738(12%)
minecraft.used.purple_terracotta: #1, 87(74%)
minecraft.used.lectern: #2, 1010(18%)
minecraft.mined.emerald_block: #2, 987(36%)
minecraft.dropped.slime_block: #1, 521(32%)
minecraft.used.iron_hoe: #1, 827(15%)
minecraft.dropped.blackstone_slab: #1, 21(72%)
minecraft.picked_up.diamond_hoe: #1, 28(16%)
minecraft.crafted.diamond_axe: #2, 20(16%)
minecraft.dropped.warped_stem: #1, 61(72%)
minecraft.picked_up.end_crystal: #1, 301(32%)
minecraft.used.elytra: #1, 35(18%)
minecraft.dropped.orange_wool: #1, 323(47%)
minecraft.used.blue_wool: #1, 65(47%)
minecraft.picked_up.bone: #2, 6415(14%)
minecraft.used.spyglass: #2, 751(21%)
minecraft.dropped.end_crystal: #1, 132(46%)
minecraft.dropped.bread: #2, 1542(20%)
minecraft.picked_up.music_disc_cat: #1, 5(25%)
minecraft.dropped.golden_carrot: #2, 883(15%)
minecraft.crafted.sponge: #1, 502(34%)
minecraft.picked_up.redstone_lamp: #2, 130(21%)
minecraft.dropped.jungle_boat: #1, 19(90%)
minecraft.crafted.paper: #2, 26170(15%)
minecraft.picked_up.iron_horse_armor: #1, 6(19%)
minecraft.picked_up.magenta_terracotta: #1, 291(54%)
minecraft.mined.brown_concrete_powder: #1, 57(54%)
minecraft.dropped.bookshelf: #1, 77(90%)
minecraft.picked_up.lectern: #2, 1009(19%)
minecraft.picked_up.purple_terracotta: #1, 102(89%)
minecraft.dropped.diamond_leggings: #1, 11(15%)
minecraft.picked_up.diamond_helmet: #1, 34(11%)
minecraft.picked_up.cyan_carpet: #1, 25(66%)
minecraft.mined.oak_planks: #2, 2051(14%)
minecraft.crafted.flower_pot: #2, 227(19%)
minecraft.picked_up.white_stained_glass_pane: #1, 84(22%)
minecraft.used.crossbow: #1, 87(37%)
minecraft.dropped.diamond_boots: #2, 15(19%)
minecraft.crafted.jungle_boat: #1, 13(32%)
minecraft.crafted.iron_boots: #2, 13(14%)
minecraft.picked_up.green_terracotta: #2, 902(40%)
minecraft.picked_up.firework_rocket: #2, 6178(14%)
minecraft.picked_up.cooked_mutton: #2, 48(21%)
minecraft.mined.smooth_quartz_stairs: #1, 186(32%)
minecraft.picked_up.cobblestone: #1, 72305(9%)
minecraft.dropped.diamond_hoe: #1, 10(36%)
minecraft.mined.green_concrete_powder: #1, 61(35%)
minecraft.mined.lectern: #2, 994(18%)
minecraft.mined.end_rod: #2, 603(16%)
minecraft.crafted.item_frame: #2, 623(14%)
minecraft.dropped.repeater: #1, 65(22%)
minecraft.picked_up.spruce_sign: #2, 181(15%)
minecraft.used.crimson_stairs: #1, 144(27%)
minecraft.crafted.blue_shulker_box: #1, 4(27%)
minecraft.crafted.pink_shulker_box: #1, 4(27%)
minecraft.dropped.minecart: #2, 19(19%)
minecraft.dropped.warped_planks: #1, 105(22%)
minecraft.picked_up.golden_horse_armor: #1, 5(24%)
minecraft.dropped.spruce_button: #2, 27(31%)
minecraft.crafted.crimson_stairs: #1, 148(24%)
minecraft.dropped.redstone: #2, 522(14%)
minecraft.picked_up.smooth_quartz_stairs: #1, 177(26%)
minecraft.picked_up.redstone_block: #2, 623(13%)
minecraft.mined.cave_vines_plant: #2, 91(19%)
minecraft.picked_up.stone_sword: #2, 69(14%)
minecraft.dropped.poisonous_potato: #2, 34(23%)
minecraft.picked_up.end_rod: #2, 673(15%)
minecraft.used.waxed_weathered_copper: #1, 40(44%)
minecraft.crafted.pink_bed: #1, 4(44%)
minecraft.picked_up.rail: #2, 2459(12%)
minecraft.crafted.oak_planks: #2, 21376(12%)
minecraft.picked_up.cooked_cod: #2, 94(21%)
minecraft.dropped.black_concrete_powder: #1, 80(54%)
minecraft.dropped.gold_ingot: #2, 515(19%)
minecraft.used.firework_rocket: #2, 30482(13%)
minecraft.used.tuff: #2, 1999(13%)
minecraft.dropped.redstone_block: #2, 112(24%)
minecraft.dropped.spyglass: #1, 4(21%)
minecraft.used.crimson_hyphae: #2, 125(39%)
minecraft.dropped.lapis_block: #1, 68(52%)
minecraft.killed.cow: #2, 840(13%)
minecraft.dropped.paper: #3, 502(18%)
minecraft.picked_up.golden_carrot: #2, 2722(12%)
minecraft.used.chest_minecart: #1, 7(23%)
minecraft.crafted.chest_minecart: #1, 7(23%)
minecraft.picked_up.diamond_shovel: #2, 69(12%)
minecraft.dropped.white_bed: #2, 25(25%)
minecraft.mined.crimson_stairs: #1, 17(25%)
minecraft.crafted.map: #2, 755(20%)
minecraft.crafted.dark_oak_slab: #2, 1740(14%)
minecraft.picked_up.oak_sign: #2, 110(12%)
minecraft.dropped.fire_coral_fan: #1, 14(40%)
minecraft.dropped.campfire: #1, 8(50%)
minecraft.dropped.iron_door: #1, 6(33%)
minecraft.dropped.brick_wall: #1, 12(67%)
minecraft.custom.jump: #2, 318092(7%)
minecraft.crafted.crafting_table: #2, 159(11%)
minecraft.picked_up.diamond_horse_armor: #1, 7(24%)
minecraft.used.quartz_bricks: #1, 888(97%)
minecraft.crafted.quartz_bricks: #1, 884(97%)
minecraft.dropped.tnt: #2, 109(41%)
minecraft.custom.player_kills: #2, 18(14%)
minecraft.used.oak_planks: #3, 5942(16%)
minecraft.picked_up.diamond_leggings: #2, 46(12%)
minecraft.mined.composter: #2, 93(14%)
minecraft.picked_up.magenta_glazed_terracotta: #1, 12(92%)
