stat, rank, value, (percentage) 
minecraft.used.sand: #25, 51(0%)
minecraft.picked_up.bone: #25, 14(0%)
minecraft.crafted.hopper: #25, 4(0%)
minecraft.custom.inspect_dropper: #25, 2(0%)
minecraft.picked_up.cooked_beef: #25, 4(0%)
minecraft.killed.zombie: #25, 8(0%)
minecraft.mined.hopper: #25, 1(0%)
minecraft.picked_up.hopper: #25, 1(0%)
minecraft.killed.skeleton: #25, 4(0%)
minecraft.dropped.dirt: #25, 6(0%)
minecraft.picked_up.potato: #25, 8(0%)
minecraft.used.diamond_sword: #25, 60(0%)
minecraft.used.oak_log: #25, 1(0%)
minecraft.mined.birch_leaves: #25, 1(0%)
minecraft.custom.horse_one_cm: #25, 700(0%)
minecraft.custom.time_since_death: #26, 922952(1%)
minecraft.picked_up.dirt: #26, 4292(1%)
minecraft.crafted.diamond_shovel: #26, 1(1%)
minecraft.mined.torch: #26, 165(1%)
minecraft.picked_up.torch: #26, 589(1%)
minecraft.custom.walk_one_cm: #26, 5831065(0%)
minecraft.mined.dirt: #26, 2204(0%)
minecraft.picked_up.granite: #26, 733(1%)
minecraft.custom.interact_with_anvil: #26, 22(0%)
minecraft.used.diamond_pickaxe: #26, 16320(0%)
minecraft.picked_up.andesite: #26, 737(0%)
minecraft.mined.granite: #26, 733(0%)
minecraft.mined.andesite: #26, 741(0%)
minecraft.custom.interact_with_crafting_table: #26, 169(0%)
minecraft.mined.stone: #26, 9812(0%)
minecraft.custom.open_chest: #26, 1215(0%)
minecraft.custom.interact_with_furnace: #26, 93(0%)
minecraft.mined.diorite: #26, 415(0%)
minecraft.picked_up.diorite: #26, 420(0%)
minecraft.used.white_bed: #26, 6(0%)
minecraft.picked_up.dandelion: #26, 6(0%)
minecraft.used.crafting_table: #26, 9(0%)
minecraft.mined.white_bed: #26, 5(0%)
minecraft.custom.sprint_one_cm: #26, 1892674(0%)
minecraft.picked_up.white_bed: #26, 5(0%)
minecraft.crafted.crafting_table: #26, 3(0%)
minecraft.picked_up.crafting_table: #26, 7(0%)
minecraft.mined.crafting_table: #26, 6(0%)
minecraft.picked_up.gravel: #26, 424(0%)
minecraft.picked_up.lever: #26, 4(0%)
minecraft.used.chest: #26, 37(0%)
minecraft.picked_up.glow_ink_sac: #26, 8(0%)
minecraft.custom.swim_one_cm: #26, 79833(0%)
minecraft.custom.sleep_in_bed: #26, 23(0%)
minecraft.mined.cobbled_deepslate: #26, 9(0%)
minecraft.mined.gravel: #26, 355(0%)
minecraft.custom.boat_one_cm: #26, 148932(0%)
minecraft.custom.open_enderchest: #26, 44(0%)
minecraft.custom.open_barrel: #26, 73(0%)
minecraft.crafted.chest: #26, 37(0%)
minecraft.crafted.iron_ingot: #26, 236(0%)
minecraft.custom.jump: #26, 2640(0%)
minecraft.used.furnace: #26, 2(0%)
minecraft.crafted.anvil: #26, 1(0%)
minecraft.mined.chest: #26, 6(0%)
minecraft.used.anvil: #26, 1(0%)
minecraft.picked_up.string: #26, 14(0%)
minecraft.crafted.furnace: #26, 2(0%)
minecraft.picked_up.oak_planks: #26, 10(0%)
minecraft.picked_up.ender_chest: #26, 3(0%)
minecraft.custom.open_shulker_box: #26, 126(0%)
minecraft.mined.dandelion: #26, 1(0%)
minecraft.used.diamond_shovel: #26, 566(0%)
minecraft.picked_up.birch_sapling: #26, 4(0%)
minecraft.mined.grass: #26, 21(0%)
minecraft.mined.oak_planks: #26, 6(0%)
minecraft.mined.poppy: #26, 1(0%)
minecraft.crafted.lever: #26, 1(0%)
minecraft.picked_up.gunpowder: #26, 6(0%)
minecraft.used.hopper: #26, 5(0%)
minecraft.picked_up.egg: #26, 2(0%)
minecraft.crafted.bucket: #26, 1(0%)
minecraft.picked_up.rotten_flesh: #26, 17(0%)
