stat, rank, value, (percentage) 
minecraft.picked_up.oak_fence_gate: #9, 3(1%)
minecraft.picked_up.cobblestone: #10, 31965(4%)
minecraft.custom.fly_one_cm: #11, 51156398(4%)
minecraft.mined.nether_brick_slab: #9, 1(1%)
minecraft.crafted.quartz_slab: #9, 12(1%)
minecraft.used.stripped_spruce_log: #9, 18(1%)
minecraft.crafted.cooked_cod: #9, 5(1%)
minecraft.used.wooden_hoe: #9, 8(1%)
minecraft.mined.polished_blackstone_bricks: #9, 8(1%)
minecraft.crafted.light_gray_stained_glass_pane: #9, 24(1%)
minecraft.crafted.gold_block: #9, 41(0%)
minecraft.used.nether_brick_fence: #9, 4(1%)
minecraft.picked_up.polished_blackstone_brick_slab: #9, 10(0%)
minecraft.used.weeping_vines: #9, 9(1%)
minecraft.dropped.name_tag: #9, 1(1%)
minecraft.crafted.gray_stained_glass_pane: #9, 16(1%)
minecraft.used.cyan_dye: #9, 1(1%)
minecraft.used.netherite_sword: #9, 179(0%)
minecraft.used.end_stone_bricks: #9, 1(0%)
minecraft.crafted.candle: #9, 6(0%)
minecraft.picked_up.diamond_helmet: #10, 13(4%)
minecraft.picked_up.pumpkin_pie: #9, 1(0%)
minecraft.used.lime_stained_glass: #9, 1(0%)
minecraft.killed.cow: #10, 272(4%)
minecraft.used.netherrack: #10, 2009(4%)
minecraft.crafted.cooked_beef: #10, 324(4%)
minecraft.picked_up.mossy_cobblestone: #10, 145(5%)
minecraft.mined.deepslate_lapis_ore: #10, 45(3%)
minecraft.used.shears: #10, 3449(3%)
minecraft.picked_up.lapis_ore: #10, 56(4%)
minecraft.custom.interact_with_grindstone: #10, 43(3%)
minecraft.picked_up.enchanted_book: #10, 20(3%)
minecraft.picked_up.cobblestone_stairs: #10, 32(4%)
minecraft.mined.basalt: #10, 4007(3%)
minecraft.dropped.oak_sign: #10, 6(4%)
minecraft.picked_up.rail: #10, 602(3%)
minecraft.custom.play_time: #11, 31483904(3%)
minecraft.custom.total_world_time: #11, 31483904(3%)
minecraft.mined.potatoes: #10, 336(3%)
minecraft.picked_up.flint: #10, 280(3%)
minecraft.mined.oak_wall_sign: #10, 9(3%)
minecraft.used.stone_bricks: #10, 2654(3%)
minecraft.picked_up.oak_trapdoor: #10, 48(3%)
minecraft.used.potato: #10, 413(3%)
minecraft.crafted.lead: #10, 18(4%)
minecraft.picked_up.sugar_cane: #10, 2550(2%)
minecraft.crafted.stone_bricks: #10, 3260(2%)
minecraft.mined.smooth_basalt: #10, 344(2%)
minecraft.used.nether_wart: #10, 175(3%)
minecraft.picked_up.exposed_copper: #10, 18(3%)
minecraft.mined.exposed_copper: #10, 18(3%)
minecraft.picked_up.deepslate_copper_ore: #10, 13(3%)
minecraft.mined.quartz_slab: #10, 11(4%)
minecraft.used.spruce_planks: #10, 1001(2%)
minecraft.used.poppy: #10, 8(2%)
minecraft.picked_up.salmon: #10, 11(2%)
minecraft.used.oak_button: #10, 6(3%)
minecraft.picked_up.deepslate_gold_ore: #10, 22(2%)
minecraft.picked_up.potato: #10, 1232(2%)
minecraft.mined.budding_amethyst: #10, 11(2%)
minecraft.picked_up.smooth_basalt: #10, 328(2%)
minecraft.used.deepslate_gold_ore: #10, 17(3%)
minecraft.picked_up.warped_roots: #10, 82(2%)
minecraft.crafted.smooth_stone_slab: #10, 126(2%)
minecraft.used.vine: #10, 47(2%)
minecraft.picked_up.poisonous_potato: #10, 8(2%)
minecraft.picked_up.copper_block: #10, 104(2%)
minecraft.picked_up.chainmail_helmet: #10, 2(3%)
minecraft.used.spruce_sign: #10, 51(2%)
minecraft.dropped.grass: #10, 7(2%)
minecraft.used.end_stone: #10, 41(2%)
minecraft.picked_up.powder_snow_bucket: #10, 1(2%)
minecraft.used.map: #10, 4(2%)
minecraft.used.white_dye: #10, 8(1%)
minecraft.used.birch_fence: #10, 17(2%)
minecraft.picked_up.polished_deepslate_slab: #10, 49(1%)
minecraft.used.polished_deepslate_wall: #10, 87(1%)
minecraft.dropped.netherite_axe: #10, 1(2%)
minecraft.picked_up.pufferfish: #10, 4(2%)
minecraft.mined.spruce_button: #10, 1(1%)
minecraft.used.yellow_bed: #10, 3(1%)
minecraft.picked_up.netherite_boots: #10, 2(1%)
minecraft.mined.yellow_bed: #10, 3(1%)
minecraft.dropped.blackstone: #10, 65(1%)
minecraft.used.white_terracotta: #10, 16(1%)
minecraft.crafted.oak_boat: #10, 8(1%)
minecraft.used.light_blue_shulker_box: #10, 9(1%)
minecraft.mined.light_blue_shulker_box: #10, 8(1%)
minecraft.picked_up.light_blue_shulker_box: #10, 8(1%)
minecraft.picked_up.book: #10, 109(1%)
minecraft.crafted.crimson_planks: #10, 152(1%)
minecraft.used.purpur_block: #10, 10(1%)
minecraft.used.nether_wart_block: #10, 7(1%)
minecraft.dropped.end_stone_bricks: #10, 2(1%)
minecraft.used.barrel: #11, 174(4%)
minecraft.picked_up.snowball: #10, 384(0%)
minecraft.used.granite_wall: #10, 4(1%)
minecraft.crafted.loom: #10, 1(0%)
minecraft.crafted.brick: #10, 190(0%)
minecraft.used.cooked_chicken: #10, 5(0%)
minecraft.mined.soul_fire: #10, 1(0%)
minecraft.picked_up.bricks: #10, 6(0%)
minecraft.mined.gray_stained_glass: #10, 2(0%)
minecraft.picked_up.light_gray_dye: #10, 1(0%)
minecraft.picked_up.brown_wool: #10, 3(0%)
minecraft.used.pumpkin_pie: #10, 1(0%)
minecraft.used.cut_sandstone_slab: #10, 6(0%)
minecraft.picked_up.orange_shulker_box: #10, 1(0%)
minecraft.picked_up.lime_concrete: #10, 1(0%)
minecraft.mined.lime_concrete: #10, 1(0%)
minecraft.picked_up.calcite: #11, 1443(4%)
minecraft.picked_up.granite: #11, 5035(4%)
minecraft.killed.spider: #11, 89(4%)
minecraft.mined.barrel: #11, 51(4%)
minecraft.mined.birch_planks: #11, 56(4%)
minecraft.crafted.light_blue_dye: #11, 114(4%)
minecraft.picked_up.leather: #11, 683(3%)
minecraft.mined.shulker_box: #11, 810(3%)
minecraft.used.shulker_box: #11, 832(3%)
minecraft.picked_up.shulker_box: #11, 840(3%)
minecraft.mined.spruce_slab: #11, 148(3%)
minecraft.mined.copper_ore: #11, 985(3%)
minecraft.picked_up.spruce_slab: #11, 196(3%)
minecraft.picked_up.spruce_sapling: #11, 430(3%)
minecraft.picked_up.dispenser: #11, 23(3%)
minecraft.picked_up.furnace: #11, 48(3%)
minecraft.mined.iron_ore: #11, 2245(3%)
minecraft.mined.cobblestone_stairs: #11, 17(3%)
minecraft.mined.rail: #11, 389(3%)
minecraft.killed.blaze: #11, 51(3%)
minecraft.dropped.cooked_beef: #11, 49(3%)
minecraft.mined.dispenser: #11, 16(3%)
minecraft.custom.inspect_dispenser: #11, 159(2%)
minecraft.mined.furnace: #11, 34(2%)
minecraft.used.chipped_anvil: #11, 3(3%)
minecraft.used.gold_ore: #11, 71(3%)
minecraft.crafted.book: #11, 105(2%)
minecraft.used.birch_boat: #11, 6(3%)
minecraft.mined.chipped_anvil: #11, 3(3%)
minecraft.used.minecart: #11, 30(2%)
minecraft.crafted.iron_nugget: #11, 1815(2%)
minecraft.picked_up.egg: #11, 133(2%)
minecraft.picked_up.shears: #11, 13(2%)
minecraft.crafted.birch_slab: #11, 216(2%)
minecraft.used.milk_bucket: #11, 5(3%)
minecraft.dropped.wheat_seeds: #11, 1359(2%)
minecraft.picked_up.nether_wart: #11, 467(2%)
minecraft.dropped.scaffolding: #11, 76(2%)
minecraft.used.dark_oak_trapdoor: #11, 80(2%)
minecraft.mined.copper_block: #11, 40(2%)
minecraft.crafted.powered_rail: #11, 132(2%)
minecraft.crafted.deepslate_tile_stairs: #11, 24(2%)
minecraft.killed_by.magma_cube: #11, 1(3%)
minecraft.dropped.azalea_leaves: #11, 33(3%)
minecraft.picked_up.peony: #11, 21(2%)
minecraft.picked_up.quartz_slab: #11, 11(2%)
minecraft.crafted.white_stained_glass_pane: #11, 64(2%)
minecraft.mined.campfire: #11, 7(2%)
minecraft.used.acacia_trapdoor: #11, 69(2%)
minecraft.picked_up.netherite_shovel: #11, 2(1%)
minecraft.crafted.blaze_powder: #11, 26(1%)
minecraft.used.diamond_boots: #11, 1(2%)
minecraft.crafted.iron_door: #11, 6(1%)
minecraft.mined.nether_brick_fence: #11, 6(1%)
minecraft.picked_up.yellow_bed: #11, 3(1%)
minecraft.crafted.cut_copper: #11, 20(1%)
minecraft.picked_up.warped_planks: #11, 27(1%)
minecraft.picked_up.chicken: #11, 12(1%)
minecraft.picked_up.stone_brick_slab: #11, 80(1%)
minecraft.mined.oak_wood: #11, 10(1%)
minecraft.picked_up.painting: #11, 30(1%)
minecraft.picked_up.bucket: #11, 11(1%)
minecraft.mined.white_stained_glass_pane: #11, 3(1%)
minecraft.dropped.warped_planks: #11, 6(1%)
minecraft.mined.spruce_sign: #11, 1(1%)
minecraft.picked_up.chiseled_deepslate: #11, 7(1%)
minecraft.picked_up.crimson_stem: #11, 38(1%)
minecraft.mined.white_stained_glass: #11, 10(1%)
minecraft.crafted.dark_oak_wood: #11, 54(1%)
minecraft.used.warped_slab: #11, 16(1%)
minecraft.dropped.stone_shovel: #11, 1(1%)
minecraft.picked_up.cooked_porkchop: #11, 8(1%)
minecraft.crafted.cooked_chicken: #11, 4(1%)
minecraft.picked_up.clock: #11, 2(0%)
minecraft.picked_up.polished_blackstone_bricks: #11, 8(0%)
minecraft.used.mushroom_stem: #11, 8(0%)
minecraft.mined.twisting_vines: #11, 3(0%)
minecraft.picked_up.splash_potion: #11, 2(0%)
minecraft.crafted.beehive: #11, 3(0%)
minecraft.used.fishing_rod: #11, 2(0%)
minecraft.crafted.gold_nugget: #11, 63(0%)
minecraft.crafted.lime_shulker_box: #11, 1(0%)
minecraft.dropped.oak_boat: #11, 1(0%)
minecraft.custom.fish_caught: #11, 1(0%)
minecraft.mined.prismarine_bricks: #11, 6(0%)
minecraft.mined.green_stained_glass: #11, 1(0%)
minecraft.picked_up.green_stained_glass: #11, 1(0%)
minecraft.picked_up.acacia_leaves: #11, 1(0%)
minecraft.mined.diorite: #12, 5367(3%)
minecraft.mined.dirt: #12, 13945(3%)
minecraft.mined.sand: #12, 22041(3%)
minecraft.custom.interact_with_anvil: #12, 141(3%)
minecraft.picked_up.diorite: #12, 5265(3%)
minecraft.mined.oak_trapdoor: #12, 42(3%)
minecraft.picked_up.moss_carpet: #12, 767(3%)
minecraft.crafted.blue_dye: #12, 249(3%)
minecraft.picked_up.diamond_axe: #12, 17(3%)
minecraft.picked_up.cooked_beef: #12, 354(3%)
minecraft.mined.gold_ore: #12, 307(3%)
minecraft.mined.netherrack: #12, 13093(3%)
minecraft.mined.diamond_ore: #12, 148(3%)
minecraft.crafted.acacia_planks: #12, 1348(3%)
minecraft.used.coal_ore: #12, 508(3%)
minecraft.crafted.writable_book: #12, 6(3%)
minecraft.mined.deepslate_tile_slab: #12, 112(3%)
minecraft.picked_up.gold_ore: #12, 80(2%)
minecraft.crafted.enchanting_table: #12, 1(3%)
minecraft.mined.spruce_sapling: #12, 9(3%)
minecraft.dropped.iron_chestplate: #12, 2(3%)
minecraft.dropped.shulker_box: #12, 8(3%)
minecraft.picked_up.raw_gold: #12, 461(2%)
minecraft.crafted.bucket: #12, 100(2%)
minecraft.dropped.oak_planks: #12, 36(2%)
minecraft.picked_up.chipped_anvil: #12, 3(2%)
minecraft.dropped.golden_carrot: #12, 107(2%)
minecraft.picked_up.potion: #12, 18(2%)
minecraft.picked_up.dragon_head: #12, 3(2%)
minecraft.picked_up.redstone_ore: #12, 148(2%)
minecraft.killed.glow_squid: #12, 3(2%)
minecraft.crafted.cobbled_deepslate_slab: #12, 54(2%)
minecraft.crafted.bone_meal: #12, 13150(1%)
minecraft.picked_up.glowstone_dust: #12, 67(2%)
minecraft.crafted.spruce_fence_gate: #12, 32(2%)
minecraft.dropped.basalt: #12, 128(1%)
minecraft.mined.deepslate_bricks: #12, 54(1%)
minecraft.crafted.dark_oak_trapdoor: #12, 54(1%)
minecraft.dropped.iron_helmet: #12, 1(2%)
minecraft.used.iron_door: #12, 4(1%)
minecraft.dropped.iron_pickaxe: #12, 1(2%)
minecraft.used.deepslate_coal_ore: #12, 27(1%)
minecraft.crafted.polished_deepslate_slab: #12, 66(1%)
minecraft.picked_up.netherite_axe: #12, 2(1%)
minecraft.picked_up.stone_brick_wall: #12, 7(1%)
minecraft.dropped.flint: #12, 25(1%)
minecraft.used.dragon_egg: #12, 1(1%)
minecraft.picked_up.nether_brick_fence: #12, 5(1%)
minecraft.dropped.minecart: #12, 1(1%)
minecraft.picked_up.cobbled_deepslate_slab: #12, 14(1%)
minecraft.mined.purpur_slab: #12, 2(1%)
minecraft.used.cobbled_deepslate_slab: #12, 54(1%)
minecraft.picked_up.end_stone_bricks: #12, 7(1%)
minecraft.picked_up.netherite_leggings: #12, 1(1%)
minecraft.crafted.acacia_trapdoor: #12, 40(1%)
minecraft.dropped.obsidian: #12, 10(1%)
minecraft.crafted.raw_copper: #12, 189(1%)
minecraft.picked_up.netherite_sword: #12, 1(1%)
minecraft.used.quartz_slab: #12, 11(1%)
minecraft.mined.smooth_stone_slab: #12, 15(0%)
minecraft.crafted.cobbled_deepslate_stairs: #12, 4(1%)
minecraft.picked_up.white_stained_glass: #12, 9(1%)
minecraft.dropped.gold_ingot: #12, 12(0%)
minecraft.used.deepslate_brick_wall: #12, 8(0%)
minecraft.crafted.pumpkin_seeds: #12, 4(0%)
minecraft.dropped.sugar_cane: #12, 7(0%)
minecraft.picked_up.cobbled_deepslate_stairs: #12, 1(0%)
minecraft.dropped.spruce_leaves: #12, 2(0%)
minecraft.used.netherite_shovel: #12, 967(0%)
minecraft.dropped.warped_roots: #12, 1(0%)
minecraft.used.clay: #12, 1(0%)
minecraft.crafted.slime_block: #12, 11(0%)
minecraft.used.green_stained_glass: #12, 1(0%)
minecraft.custom.interact_with_crafting_table: #13, 1480(3%)
minecraft.mined.granite: #13, 5326(3%)
minecraft.picked_up.leather_leggings: #13, 9(3%)
minecraft.picked_up.sand: #13, 21112(3%)
minecraft.picked_up.andesite: #13, 4436(3%)
minecraft.mined.stone: #13, 75558(3%)
minecraft.crafted.birch_planks: #13, 2372(3%)
minecraft.mined.redstone_wire: #13, 156(3%)
minecraft.picked_up.barrel: #13, 50(3%)
minecraft.custom.animals_bred: #13, 288(3%)
minecraft.picked_up.golden_boots: #13, 9(3%)
minecraft.used.diamond_ore: #13, 43(3%)
minecraft.picked_up.deepslate_bricks: #13, 151(2%)
minecraft.picked_up.iron_ore: #13, 561(2%)
minecraft.crafted.stone: #13, 429(2%)
minecraft.picked_up.copper_ore: #13, 207(2%)
minecraft.used.redstone: #13, 448(2%)
minecraft.used.iron_bars: #13, 103(2%)
minecraft.crafted.bow: #13, 29(2%)
minecraft.dropped.filled_map: #13, 2(2%)
minecraft.used.spruce_stairs: #13, 156(2%)
minecraft.dropped.stick: #13, 215(2%)
minecraft.picked_up.deepslate_coal_ore: #13, 71(2%)
minecraft.crafted.brewing_stand: #13, 3(2%)
minecraft.mined.warped_nylium: #13, 29(2%)
minecraft.picked_up.dark_oak_boat: #13, 6(2%)
minecraft.mined.carrots: #13, 271(2%)
minecraft.used.iron_shovel: #13, 1354(2%)
minecraft.crafted.spruce_stairs: #13, 128(2%)
minecraft.picked_up.oak_wood: #13, 32(2%)
minecraft.crafted.diamond_hoe: #13, 1(2%)
minecraft.mined.iron_bars: #13, 13(1%)
minecraft.picked_up.end_stone: #13, 116(1%)
minecraft.mined.repeater: #13, 27(1%)
minecraft.dropped.elytra: #13, 2(2%)
minecraft.used.cooked_mutton: #13, 5(2%)
minecraft.picked_up.cobblestone_slab: #13, 30(1%)
minecraft.picked_up.smooth_stone_slab: #13, 52(1%)
minecraft.mined.end_stone: #13, 99(1%)
minecraft.used.powered_rail: #13, 150(1%)
minecraft.picked_up.chainmail_chestplate: #13, 1(1%)
minecraft.used.smooth_basalt: #13, 63(1%)
minecraft.used.white_carpet: #13, 34(1%)
minecraft.picked_up.melon_seeds: #13, 3(1%)
minecraft.picked_up.stone_sword: #13, 5(1%)
minecraft.custom.interact_with_loom: #13, 2(1%)
minecraft.used.sea_lantern: #13, 73(1%)
minecraft.crafted.smoker: #13, 1(1%)
minecraft.broken.iron_shovel: #13, 3(1%)
minecraft.used.polished_basalt: #13, 109(1%)
minecraft.picked_up.oak_button: #13, 1(1%)
minecraft.mined.stone_brick_stairs: #13, 13(1%)
minecraft.picked_up.white_dye: #13, 15(1%)
minecraft.picked_up.netherite_pickaxe: #13, 3(1%)
minecraft.custom.mob_kills: #13, 22176(1%)
minecraft.mined.end_stone_bricks: #13, 6(1%)
minecraft.dropped.polished_blackstone_button: #13, 1(1%)
minecraft.picked_up.spruce_fence_gate: #13, 7(1%)
minecraft.used.nether_quartz_ore: #13, 42(1%)
minecraft.crafted.glass_bottle: #13, 150(1%)
minecraft.crafted.compass: #13, 4(1%)
minecraft.picked_up.bee_nest: #13, 1(1%)
minecraft.dropped.azalea: #13, 8(1%)
minecraft.dropped.egg: #13, 17(0%)
minecraft.used.birch_planks: #13, 26(0%)
minecraft.used.string: #13, 95(0%)
minecraft.used.warped_stem: #13, 18(1%)
minecraft.used.axolotl_bucket: #13, 2(0%)
minecraft.mined.warped_trapdoor: #13, 1(1%)
minecraft.used.dandelion: #13, 1(0%)
minecraft.mined.polished_blackstone_stairs: #13, 4(0%)
minecraft.mined.cobbled_deepslate_stairs: #13, 1(0%)
minecraft.picked_up.warped_trapdoor: #13, 1(0%)
minecraft.picked_up.nether_gold_ore: #13, 4(0%)
minecraft.used.diamond_block: #13, 3(0%)
minecraft.picked_up.white_terracotta: #13, 21(0%)
minecraft.used.cobweb: #13, 1(0%)
minecraft.crafted.glistering_melon_slice: #13, 1(0%)
minecraft.used.beehive: #13, 3(0%)
minecraft.dropped.iron_block: #13, 8(0%)
minecraft.mined.white_terracotta: #13, 10(0%)
minecraft.mined.large_fern: #13, 2(0%)
minecraft.crafted.light_gray_wool: #13, 4(0%)
minecraft.crafted.map: #13, 4(0%)
minecraft.crafted.gray_stained_glass: #13, 16(0%)
minecraft.crafted.light_gray_carpet: #13, 6(0%)
minecraft.dropped.pointed_dripstone: #13, 1(0%)
minecraft.used.light_gray_carpet: #13, 4(0%)
minecraft.used.orange_terracotta: #13, 2(0%)
minecraft.used.rooted_dirt: #13, 2(0%)
minecraft.dropped.emerald: #13, 2(0%)
minecraft.custom.use_cauldron: #13, 3(0%)
minecraft.used.gray_stained_glass: #13, 2(0%)
minecraft.mined.deepslate_iron_ore: #14, 250(3%)
minecraft.mined.andesite: #14, 4769(3%)
minecraft.picked_up.diamond_boots: #14, 13(3%)
minecraft.picked_up.spider_eye: #14, 160(3%)
minecraft.crafted.oak_planks: #14, 4556(3%)
minecraft.mined.iron_block: #14, 775(3%)
minecraft.picked_up.stone: #14, 44309(3%)
minecraft.picked_up.minecart: #14, 38(3%)
minecraft.picked_up.diamond_ore: #14, 47(2%)
minecraft.mined.moss_block: #14, 965(2%)
minecraft.picked_up.diamond_leggings: #14, 8(2%)
minecraft.used.furnace: #14, 48(2%)
minecraft.killed_by.creeper: #14, 3(2%)
minecraft.used.dispenser: #14, 34(2%)
minecraft.picked_up.deepslate_tile_slab: #14, 106(2%)
minecraft.used.golden_carrot: #14, 587(2%)
minecraft.picked_up.chain: #14, 44(2%)
minecraft.mined.anvil: #14, 5(2%)
minecraft.dropped.lead: #14, 3(2%)
minecraft.used.brewing_stand: #14, 5(2%)
minecraft.picked_up.deepslate_redstone_ore: #14, 57(1%)
minecraft.mined.obsidian: #14, 231(1%)
minecraft.used.spruce_fence_gate: #14, 33(2%)
minecraft.used.cobbled_deepslate: #14, 342(1%)
minecraft.used.anvil: #14, 16(1%)
minecraft.mined.sea_lantern: #14, 14(1%)
minecraft.used.glass: #14, 336(1%)
minecraft.picked_up.brewing_stand: #14, 3(1%)
minecraft.mined.glass: #14, 97(1%)
minecraft.killed_by.zombie: #14, 1(1%)
minecraft.picked_up.coal_block: #14, 41(1%)
minecraft.used.deepslate_diamond_ore: #14, 7(1%)
minecraft.mined.powered_rail: #14, 29(1%)
minecraft.dropped.apple: #14, 7(1%)
minecraft.used.bone_block: #14, 34(1%)
minecraft.used.smoker: #14, 1(1%)
minecraft.dropped.iron_boots: #14, 2(1%)
minecraft.killed.chicken: #14, 7(1%)
minecraft.picked_up.spruce_button: #14, 2(1%)
minecraft.crafted.quartz_block: #14, 151(0%)
minecraft.mined.white_shulker_box: #14, 13(1%)
minecraft.crafted.sugar: #14, 41(0%)
minecraft.used.loom: #14, 1(1%)
minecraft.dropped.spruce_log: #14, 26(0%)
minecraft.used.netherite_pickaxe: #14, 13728(1%)
minecraft.crafted.bookshelf: #14, 27(0%)
minecraft.crafted.golden_apple: #14, 4(1%)
minecraft.used.stone_pressure_plate: #14, 3(0%)
minecraft.picked_up.campfire: #14, 2(0%)
minecraft.picked_up.glass_bottle: #14, 10(0%)
minecraft.dropped.smooth_basalt: #14, 4(0%)
minecraft.used.exposed_copper: #14, 1(0%)
minecraft.used.slime_block: #14, 13(0%)
minecraft.used.cobbled_deepslate_stairs: #14, 5(0%)
minecraft.mined.diamond_block: #14, 2(0%)
minecraft.dropped.mossy_cobblestone: #14, 1(0%)
minecraft.dropped.wheat: #14, 8(0%)
minecraft.used.white_stained_glass: #14, 10(0%)
minecraft.picked_up.gray_stained_glass: #14, 1(0%)
minecraft.mined.lily_pad: #14, 1(0%)
minecraft.used.crafting_table: #15, 113(3%)
minecraft.custom.open_enderchest: #15, 936(3%)
minecraft.picked_up.lead: #15, 65(3%)
minecraft.mined.coal_ore: #15, 3041(3%)
minecraft.mined.lapis_ore: #15, 103(2%)
minecraft.mined.deepslate_gold_ore: #15, 71(2%)
minecraft.picked_up.blaze_rod: #15, 61(2%)
minecraft.picked_up.golden_carrot: #15, 471(2%)
minecraft.picked_up.quartz: #15, 1056(2%)
minecraft.used.rail: #15, 503(2%)
minecraft.picked_up.iron_block: #15, 799(2%)
minecraft.dropped.cobblestone: #15, 1456(2%)
minecraft.used.stonecutter: #15, 19(2%)
minecraft.dropped.water_bucket: #15, 1(2%)
minecraft.dropped.dirt: #15, 722(2%)
minecraft.mined.nether_quartz_ore: #15, 500(1%)
minecraft.crafted.dispenser: #15, 25(2%)
minecraft.crafted.chain: #15, 119(1%)
minecraft.crafted.iron_bars: #15, 128(1%)
minecraft.mined.spruce_planks: #15, 162(1%)
minecraft.used.diorite: #15, 128(1%)
minecraft.picked_up.gravel: #15, 2673(1%)
minecraft.picked_up.anvil: #15, 5(1%)
minecraft.used.glow_item_frame: #15, 7(1%)
minecraft.crafted.glow_item_frame: #15, 6(1%)
minecraft.mined.bone_block: #15, 30(1%)
minecraft.picked_up.white_wool: #15, 115(1%)
minecraft.mined.warped_fungus: #15, 6(1%)
minecraft.used.egg: #15, 49(1%)
minecraft.picked_up.feather: #15, 17(1%)
minecraft.dropped.ender_pearl: #15, 1291(1%)
minecraft.picked_up.obsidian: #15, 239(1%)
minecraft.picked_up.iron_trapdoor: #15, 10(1%)
minecraft.custom.damage_dealt: #15, 262255(1%)
minecraft.crafted.blast_furnace: #15, 3(1%)
minecraft.crafted.cooked_mutton: #15, 4(1%)
minecraft.mined.azalea_leaves: #15, 392(1%)
minecraft.picked_up.vine: #15, 86(1%)
minecraft.picked_up.deepslate_diamond_ore: #15, 7(1%)
minecraft.picked_up.nether_quartz_ore: #15, 52(1%)
minecraft.used.oak_planks: #15, 181(0%)
minecraft.picked_up.bone_meal: #15, 569(0%)
minecraft.used.deepslate_bricks: #15, 183(0%)
minecraft.picked_up.stone_pressure_plate: #15, 2(1%)
minecraft.picked_up.white_shulker_box: #15, 14(1%)
minecraft.crafted.player_head: #15, 16(1%)
minecraft.used.white_shulker_box: #15, 13(1%)
minecraft.crafted.deepslate_bricks: #15, 81(0%)
minecraft.crafted.raw_iron: #15, 117(0%)
minecraft.used.elytra: #15, 1(1%)
minecraft.used.stone_brick_wall: #15, 8(0%)
minecraft.picked_up.red_wool: #15, 48(0%)
minecraft.used.white_stained_glass_pane: #15, 15(0%)
minecraft.picked_up.cooked_mutton: #15, 1(0%)
minecraft.crafted.raw_copper_block: #15, 21(0%)
minecraft.mined.tnt: #15, 2(0%)
minecraft.custom.fill_cauldron: #15, 2(0%)
minecraft.mined.redstone_lamp: #15, 1(0%)
minecraft.mined.weeping_vines_plant: #15, 1(0%)
minecraft.crafted.painting: #15, 3(0%)
minecraft.killed.shulker: #15, 8(0%)
minecraft.used.deepslate_brick_slab: #15, 16(0%)
minecraft.mined.polished_blackstone: #15, 4(0%)
minecraft.crafted.spruce_boat: #15, 1(0%)
minecraft.dropped.lapis_lazuli: #15, 1(0%)
minecraft.used.magma_block: #15, 17(0%)
minecraft.mined.slime_block: #15, 5(0%)
minecraft.used.stone_brick_slab: #15, 25(0%)
minecraft.dropped.birch_sapling: #15, 1(0%)
minecraft.dropped.white_dye: #15, 2(0%)
minecraft.picked_up.polished_blackstone_stairs: #15, 1(0%)
minecraft.crafted.light_gray_stained_glass: #15, 8(0%)
minecraft.crafted.emerald: #15, 144(0%)
minecraft.used.light_gray_stained_glass: #15, 2(0%)
minecraft.custom.interact_with_furnace: #16, 923(3%)
minecraft.custom.open_shulker_box: #16, 6022(2%)
minecraft.picked_up.coal: #16, 4165(2%)
minecraft.mined.deepslate: #16, 7210(2%)
minecraft.mined.chest: #16, 145(2%)
minecraft.picked_up.coal_ore: #16, 644(2%)
minecraft.custom.inspect_hopper: #16, 322(2%)
minecraft.used.iron_block: #16, 781(2%)
minecraft.used.spruce_slab: #16, 293(2%)
minecraft.killed.zombie_villager: #16, 4(2%)
minecraft.mined.farmland: #16, 37(2%)
minecraft.crafted.lapis_block: #16, 68(2%)
minecraft.picked_up.string: #16, 276(1%)
minecraft.crafted.lever: #16, 41(1%)
minecraft.mined.stonecutter: #16, 15(1%)
minecraft.picked_up.moss_block: #16, 982(1%)
minecraft.used.granite: #16, 222(1%)
minecraft.mined.blast_furnace: #16, 2(1%)
minecraft.picked_up.firework_rocket: #16, 455(1%)
minecraft.picked_up.end_rod: #16, 54(1%)
minecraft.picked_up.carrot: #16, 1047(1%)
minecraft.dropped.diamond_boots: #16, 1(1%)
minecraft.picked_up.white_carpet: #16, 12(1%)
minecraft.mined.player_wall_head: #16, 2(1%)
minecraft.custom.leave_game: #17, 371(2%)
minecraft.used.flowering_azalea_leaves: #16, 26(1%)
minecraft.dropped.iron_leggings: #16, 1(1%)
minecraft.mined.vine: #16, 117(1%)
minecraft.crafted.polished_deepslate: #16, 332(1%)
minecraft.picked_up.leather_helmet: #16, 2(1%)
minecraft.used.end_rod: #16, 46(1%)
minecraft.mined.polished_deepslate: #16, 46(1%)
minecraft.killed.phantom: #16, 8(1%)
minecraft.picked_up.smooth_stone: #16, 54(1%)
minecraft.mined.hopper: #16, 33(1%)
minecraft.mined.brewing_stand: #16, 2(1%)
minecraft.mined.flowering_azalea_leaves: #16, 144(1%)
minecraft.crafted.anvil: #16, 8(1%)
minecraft.mined.purpur_block: #16, 17(1%)
minecraft.dropped.diamond_shovel: #16, 1(1%)
minecraft.mined.spruce_fence_gate: #16, 5(1%)
minecraft.picked_up.diamond_block: #16, 9(1%)
minecraft.used.polished_deepslate: #16, 252(1%)
minecraft.picked_up.flowering_azalea_leaves: #16, 93(1%)
minecraft.crafted.white_carpet: #16, 36(1%)
minecraft.picked_up.composter: #16, 4(1%)
minecraft.picked_up.azalea_leaves: #16, 210(0%)
minecraft.picked_up.red_shulker_box: #16, 10(0%)
minecraft.mined.composter: #16, 3(0%)
minecraft.crafted.spruce_sign: #16, 12(0%)
minecraft.dropped.potion: #16, 2(0%)
