stat, rank, value, (percentage) 
minecraft.used.sea_pickle: #2, 1563(12%)
minecraft.killed.tropical_fish: #2, 13(23%)
minecraft.picked_up.birch_button: #2, 14(26%)
minecraft.used.dripstone_block: #2, 4473(9%)
minecraft.picked_up.cut_copper_stairs: #2, 36(16%)
minecraft.picked_up.sandstone: #3, 13653(11%)
minecraft.mined.sandstone_slab: #2, 64(12%)
minecraft.picked_up.glow_ink_sac: #3, 486(10%)
minecraft.picked_up.jack_o_lantern: #2, 76(12%)
minecraft.picked_up.weeping_vines: #3, 116(12%)
minecraft.crafted.tinted_glass: #2, 2162(12%)
minecraft.used.birch_sapling: #3, 524(12%)
minecraft.picked_up.blue_stained_glass: #2, 7(32%)
minecraft.picked_up.yellow_stained_glass_pane: #2, 24(39%)
minecraft.picked_up.wooden_pickaxe: #2, 4(14%)
minecraft.dropped.glow_ink_sac: #3, 209(14%)
minecraft.picked_up.tripwire_hook: #2, 14(11%)
minecraft.custom.horse_one_cm: #3, 13294945(10%)
minecraft.used.warped_fence: #3, 92(20%)
minecraft.crafted.flower_pot: #3, 160(13%)
minecraft.picked_up.andesite_slab: #3, 119(15%)
minecraft.crafted.lime_bed: #2, 21(26%)
minecraft.crafted.charcoal: #2, 83(10%)
minecraft.mined.brown_mushroom_block: #3, 3094(16%)
minecraft.custom.walk_on_water_one_cm: #4, 4269569(7%)
minecraft.broken.iron_pickaxe: #3, 32(11%)
minecraft.used.tuff: #3, 1575(10%)
minecraft.crafted.golden_chestplate: #2, 4(16%)
minecraft.picked_up.iron_leggings: #3, 18(11%)
minecraft.crafted.iron_leggings: #3, 10(10%)
minecraft.picked_up.oak_sapling: #3, 1734(9%)
minecraft.used.iron_axe: #3, 4533(9%)
minecraft.dropped.birch_sign: #3, 24(17%)
minecraft.mined.stone_bricks: #3, 2619(10%)
minecraft.killed.cave_spider: #3, 998(11%)
minecraft.used.stripped_birch_wood: #2, 71(26%)
minecraft.used.sunflower: #2, 13(9%)
minecraft.crafted.birch_wood: #2, 198(12%)
minecraft.mined.exposed_cut_copper_stairs: #2, 21(18%)
minecraft.picked_up.exposed_cut_copper_stairs: #2, 21(18%)
minecraft.dropped.sunflower: #2, 32(16%)
minecraft.mined.birch_button: #2, 7(18%)
minecraft.crafted.light_blue_terracotta: #3, 488(21%)
minecraft.picked_up.poppy: #3, 899(9%)
minecraft.picked_up.yellow_carpet: #2, 6(21%)
minecraft.mined.glass_pane: #3, 113(16%)
minecraft.dropped.ender_chest: #3, 16(12%)
minecraft.crafted.amethyst_block: #2, 178(15%)
minecraft.picked_up.glow_berries: #3, 690(9%)
minecraft.mined.lantern: #3, 57(10%)
minecraft.crafted.sandstone_slab: #3, 380(17%)
minecraft.dropped.ancient_debris: #2, 4(40%)
minecraft.picked_up.dark_oak_sign: #3, 114(9%)
minecraft.mined.cobbled_deepslate_wall: #3, 74(18%)
minecraft.picked_up.iron_hoe: #2, 2(12%)
minecraft.mined.blue_orchid: #3, 89(17%)
minecraft.picked_up.dark_oak_button: #3, 21(19%)
minecraft.used.amethyst_block: #4, 1054(14%)
minecraft.used.iron_sword: #3, 1758(9%)
minecraft.crafted.brown_stained_glass_pane: #2, 128(35%)
minecraft.crafted.lime_stained_glass_pane: #2, 32(25%)
minecraft.mined.potted_cornflower: #2, 1(17%)
minecraft.used.dark_oak_fence: #3, 302(10%)
minecraft.used.warped_fungus: #3, 70(16%)
minecraft.killed.player: #3, 14(10%)
minecraft.mined.dirt_path: #4, 1057(11%)
minecraft.crafted.polished_deepslate_wall: #2, 98(6%)
minecraft.mined.acacia_door: #2, 2(18%)
minecraft.used.white_tulip: #2, 11(11%)
minecraft.crafted.sandstone: #3, 554(13%)
minecraft.mined.redstone_wall_torch: #3, 49(9%)
minecraft.used.light_blue_concrete_powder: #3, 305(17%)
minecraft.custom.interact_with_smithing_table: #3, 34(9%)
minecraft.mined.warped_stem: #3, 729(9%)
minecraft.mined.dark_oak_button: #2, 2(11%)
minecraft.used.brown_stained_glass_pane: #2, 42(28%)
minecraft.mined.potted_cactus: #2, 1(17%)
minecraft.used.ladder: #3, 335(7%)
minecraft.used.lime_bed: #2, 21(10%)
minecraft.picked_up.tropical_fish: #3, 22(13%)
minecraft.crafted.oak_door: #3, 9(11%)
minecraft.mined.cave_vines_plant: #3, 50(11%)
minecraft.picked_up.spore_blossom: #3, 23(10%)
minecraft.used.orange_tulip: #2, 10(11%)
minecraft.crafted.cut_sandstone: #3, 409(25%)
minecraft.crafted.andesite_stairs: #3, 84(16%)
minecraft.used.leather_chestplate: #2, 1(25%)
minecraft.killed_by.shulker: #2, 1(25%)
minecraft.mined.magenta_candle: #2, 1(25%)
minecraft.used.allium: #3, 50(19%)
minecraft.used.sandstone_stairs: #3, 350(19%)
minecraft.mined.potted_lily_of_the_valley: #2, 1(33%)
minecraft.mined.potted_red_tulip: #2, 1(33%)
minecraft.crafted.warped_fence: #3, 99(13%)
minecraft.used.writable_book: #4, 163(11%)
minecraft.picked_up.cyan_candle: #2, 8(18%)
minecraft.mined.acacia_slab: #3, 81(14%)
minecraft.used.netherite_chestplate: #2, 2(13%)
minecraft.used.purple_candle: #3, 24(26%)
minecraft.picked_up.iron_axe: #3, 18(8%)
minecraft.used.basalt: #4, 2323(10%)
minecraft.dropped.deepslate_gold_ore: #3, 5(19%)
minecraft.crafted.leather_leggings: #3, 20(12%)
minecraft.mined.oak_door: #3, 6(12%)
minecraft.crafted.oak_fence: #3, 264(7%)
minecraft.crafted.crimson_stairs: #3, 88(14%)
minecraft.used.diamond_axe: #4, 35975(8%)
minecraft.crafted.ladder: #3, 477(5%)
minecraft.dropped.raw_iron_block: #2, 47(12%)
minecraft.used.red_tulip: #2, 6(18%)
minecraft.mined.flower_pot: #4, 14(13%)
minecraft.dropped.oxidized_copper: #2, 126(9%)
minecraft.picked_up.oxeye_daisy: #3, 175(7%)
minecraft.mined.light_blue_carpet: #2, 3(11%)
minecraft.mined.beetroots: #3, 122(9%)
minecraft.mined.birch_leaves: #4, 4718(9%)
minecraft.picked_up.deepslate_brick_wall: #3, 35(9%)
minecraft.mined.deepslate_tiles: #4, 615(9%)
minecraft.mined.cyan_bed: #2, 8(3%)
minecraft.dropped.oak_sapling: #4, 107(10%)
minecraft.picked_up.cyan_bed: #2, 8(3%)
minecraft.dropped.azure_bluet: #3, 9(11%)
minecraft.picked_up.birch_sapling: #4, 750(9%)
minecraft.picked_up.scaffolding: #4, 9374(9%)
minecraft.used.blue_candle: #3, 18(20%)
minecraft.crafted.golden_boots: #3, 4(13%)
minecraft.used.raw_iron_block: #2, 69(2%)
minecraft.mined.oak_stairs: #4, 77(10%)
minecraft.mined.dandelion: #4, 169(8%)
minecraft.used.scaffolding: #4, 9399(9%)
minecraft.crafted.birch_boat: #3, 19(7%)
minecraft.picked_up.iron_helmet: #4, 14(10%)
minecraft.custom.damage_absorbed: #3, 236(9%)
minecraft.crafted.chiseled_sandstone: #2, 1(6%)
minecraft.dropped.peony: #2, 4(2%)
minecraft.used.golden_apple: #3, 8(12%)
minecraft.picked_up.smithing_table: #3, 16(8%)
minecraft.picked_up.oak_planks: #4, 1225(8%)
minecraft.used.baked_potato: #4, 847(9%)
minecraft.picked_up.magenta_candle: #2, 4(2%)
minecraft.used.dark_oak_button: #3, 23(6%)
minecraft.used.cooked_rabbit: #2, 1(2%)
minecraft.dropped.cobweb: #2, 1(2%)
minecraft.custom.interact_with_brewingstand: #4, 385(8%)
minecraft.mined.raw_iron_block: #2, 3(0%)
minecraft.picked_up.cornflower: #3, 227(5%)
minecraft.dropped.warped_wart_block: #3, 328(9%)
minecraft.used.leather_helmet: #3, 1(14%)
minecraft.killed_by.ender_dragon: #3, 2(25%)
minecraft.used.podzol: #4, 361(12%)
minecraft.dropped.red_mushroom_block: #3, 37(19%)
minecraft.mined.birch_trapdoor: #3, 18(6%)
minecraft.used.magenta_candle: #3, 4(22%)
minecraft.mined.yellow_carpet: #3, 4(17%)
minecraft.picked_up.stone_bricks: #4, 2241(8%)
minecraft.picked_up.netherite_chestplate: #3, 1(14%)
minecraft.custom.interact_with_beacon: #4, 41(8%)
minecraft.crafted.iron_axe: #4, 29(7%)
minecraft.picked_up.iron_pickaxe: #4, 16(10%)
minecraft.used.torch: #4, 11810(6%)
minecraft.picked_up.oak_stairs: #4, 82(8%)
minecraft.mined.light_gray_shulker_box: #3, 42(13%)
minecraft.picked_up.light_gray_shulker_box: #3, 43(13%)
minecraft.used.exposed_cut_copper_stairs: #3, 21(13%)
minecraft.dropped.smooth_sandstone: #3, 36(9%)
minecraft.dropped.iron_horse_armor: #3, 1(12%)
minecraft.mined.oak_sapling: #4, 36(8%)
minecraft.crafted.diamond_shovel: #4, 9(7%)
minecraft.used.light_gray_shulker_box: #3, 43(12%)
minecraft.picked_up.birch_trapdoor: #3, 22(5%)
minecraft.mined.dark_oak_pressure_plate: #3, 2(9%)
minecraft.mined.spruce_door: #4, 23(10%)
minecraft.mined.oak_planks: #4, 974(7%)
minecraft.mined.large_amethyst_bud: #3, 57(4%)
minecraft.used.wheat: #3, 13(10%)
minecraft.used.smooth_sandstone_slab: #4, 798(11%)
minecraft.mined.oak_log: #4, 4822(7%)
minecraft.picked_up.deepslate_tile_wall: #4, 114(11%)
minecraft.crafted.iron_shovel: #3, 18(3%)
minecraft.crafted.dark_oak_fence: #4, 288(9%)
minecraft.picked_up.iron_chestplate: #4, 14(8%)
minecraft.picked_up.blue_orchid: #4, 88(13%)
minecraft.killed_by.zombified_piglin: #3, 1(17%)
minecraft.crafted.sandstone_stairs: #3, 56(11%)
minecraft.used.sandstone_slab: #4, 265(10%)
minecraft.used.andesite_stairs: #4, 116(12%)
minecraft.used.birch_button: #4, 21(15%)
minecraft.killed_by.piglin: #3, 1(20%)
minecraft.broken.bow: #3, 1(20%)
minecraft.mined.potted_poppy: #3, 1(10%)
minecraft.picked_up.basalt: #4, 5137(6%)
minecraft.used.cooked_porkchop: #4, 192(7%)
minecraft.crafted.stripped_oak_wood: #3, 69(14%)
minecraft.picked_up.warped_nylium: #4, 135(8%)
minecraft.mined.cobweb: #4, 257(7%)
minecraft.picked_up.bread: #4, 241(7%)
minecraft.crafted.spore_blossom: #3, 48(6%)
minecraft.dropped.brown_mushroom_block: #3, 16(8%)
minecraft.crafted.iron_hoe: #4, 3(8%)
minecraft.used.golden_chestplate: #3, 1(17%)
minecraft.used.spruce_log: #4, 830(6%)
minecraft.mined.deepslate_tile_wall: #4, 89(11%)
minecraft.picked_up.golden_leggings: #4, 20(6%)
minecraft.used.blue_dye: #3, 1(8%)
minecraft.crafted.leather_chestplate: #4, 19(12%)
minecraft.picked_up.flint_and_steel: #4, 10(7%)
minecraft.picked_up.large_amethyst_bud: #3, 45(4%)
minecraft.used.cyan_candle: #3, 8(8%)
minecraft.used.dark_oak_fence_gate: #4, 52(9%)
minecraft.used.deepslate_lapis_ore: #4, 16(10%)
minecraft.crafted.stone_shovel: #4, 21(7%)
minecraft.mined.dark_oak_planks: #4, 108(7%)
minecraft.custom.fall_one_cm: #6, 9094010(8%)
minecraft.used.medium_amethyst_bud: #3, 43(4%)
minecraft.used.cyan_bed: #3, 9(4%)
minecraft.mined.cyan_candle: #3, 2(11%)
minecraft.picked_up.glass_pane: #3, 210(2%)
minecraft.picked_up.chiseled_stone_bricks: #3, 48(4%)
minecraft.mined.lightning_rod: #4, 44(7%)
minecraft.mined.candle: #4, 15(10%)
minecraft.dropped.orange_shulker_box: #3, 1(7%)
minecraft.used.large_amethyst_bud: #3, 33(4%)
minecraft.dropped.tnt: #3, 10(4%)
minecraft.used.dark_oak_door: #4, 17(10%)
minecraft.mined.infested_stone: #4, 33(8%)
minecraft.used.light_blue_bed: #3, 42(6%)
minecraft.picked_up.iron_boots: #4, 17(6%)
minecraft.crafted.birch_button: #4, 14(11%)
minecraft.mined.black_candle: #3, 1(5%)
minecraft.used.birch_door: #3, 6(4%)
minecraft.dropped.rose_bush: #3, 3(2%)
minecraft.crafted.filled_map: #3, 6(5%)
minecraft.crafted.light_blue_wool: #4, 25(13%)
minecraft.crafted.birch_stairs: #4, 108(8%)
minecraft.used.crimson_fungus: #4, 14(10%)
minecraft.crafted.birch_door: #3, 6(3%)
minecraft.mined.red_mushroom_block: #4, 611(6%)
minecraft.picked_up.flower_pot: #4, 29(5%)
minecraft.picked_up.armor_stand: #4, 40(6%)
minecraft.used.small_amethyst_bud: #3, 48(2%)
minecraft.used.cooked_salmon: #4, 11(11%)
minecraft.mined.birch_door: #3, 3(4%)
minecraft.picked_up.birch_door: #3, 3(3%)
minecraft.used.candle: #4, 72(7%)
minecraft.used.oxeye_daisy: #4, 15(8%)
minecraft.used.cut_copper_stairs: #4, 262(8%)
minecraft.picked_up.clay_ball: #5, 1173(9%)
minecraft.picked_up.black_stained_glass: #4, 369(7%)
minecraft.used.red_dye: #4, 9(9%)
minecraft.mined.amethyst_cluster: #5, 1157(10%)
minecraft.dropped.stone_axe: #4, 6(7%)
minecraft.picked_up.dark_oak_sapling: #5, 543(9%)
minecraft.mined.dark_oak_leaves: #4, 801(4%)
minecraft.dropped.golden_apple: #4, 11(11%)
minecraft.mined.torch: #5, 1669(7%)
minecraft.dropped.diamond_block: #4, 11(10%)
minecraft.mined.moss_carpet: #5, 646(8%)
minecraft.crafted.oak_wood: #4, 411(6%)
minecraft.mined.oak_leaves: #5, 9061(7%)
minecraft.crafted.dark_oak_planks: #5, 6752(8%)
minecraft.mined.fire: #5, 536(7%)
minecraft.used.weathered_copper: #4, 30(6%)
minecraft.picked_up.red_mushroom_block: #4, 440(7%)
minecraft.picked_up.charcoal: #4, 22(6%)
minecraft.picked_up.deepslate_tiles: #5, 585(7%)
minecraft.killed_by.player: #5, 12(8%)
minecraft.mined.cocoa: #5, 151(10%)
minecraft.crafted.dark_oak_boat: #4, 7(5%)
minecraft.killed_by.drowned: #4, 1(12%)
minecraft.picked_up.oak_log: #5, 5336(6%)
minecraft.used.birch_leaves: #4, 439(4%)
minecraft.dropped.amethyst_cluster: #4, 20(10%)
minecraft.crafted.cartography_table: #4, 9(7%)
minecraft.picked_up.oak_sign: #5, 63(7%)
minecraft.custom.walk_one_cm: #6, 92138531(6%)
minecraft.used.glass_bottle: #4, 202(3%)
minecraft.dropped.dragon_head: #4, 1(14%)
minecraft.picked_up.smooth_sandstone_stairs: #5, 148(8%)
minecraft.used.written_book: #4, 312(3%)
minecraft.crafted.torch: #5, 8982(7%)
minecraft.mined.weathered_copper: #4, 34(4%)
minecraft.used.dark_oak_log: #5, 1587(8%)
minecraft.picked_up.blue_shulker_box: #4, 24(7%)
minecraft.picked_up.lily_of_the_valley: #4, 79(3%)
minecraft.mined.smooth_sandstone_stairs: #5, 133(8%)
minecraft.picked_up.acacia_door: #4, 2(10%)
minecraft.picked_up.beetroot: #4, 140(4%)
minecraft.broken.stone_shovel: #4, 5(4%)
minecraft.picked_up.trident: #5, 13(10%)
minecraft.dropped.pink_tulip: #4, 1(11%)
minecraft.crafted.stripped_spruce_wood: #4, 3(11%)
minecraft.used.blue_shulker_box: #4, 24(7%)
minecraft.mined.black_stained_glass: #4, 213(5%)
minecraft.used.redstone_torch: #5, 312(6%)
minecraft.mined.blue_shulker_box: #4, 23(7%)
minecraft.used.black_candle: #4, 16(6%)
minecraft.picked_up.apple: #5, 295(6%)
minecraft.mined.polished_blackstone_brick_stairs: #4, 14(5%)
minecraft.picked_up.blue_candle: #4, 10(6%)
minecraft.used.amethyst_cluster: #4, 111(3%)
