stat, rank, value, (percentage) 
minecraft.used.wither_rose: #1, 654(59%)
minecraft.picked_up.dirt: #1, 93738(16%)
minecraft.picked_up.activator_rail: #1, 49(52%)
minecraft.picked_up.mossy_stone_brick_slab: #1, 3209(93%)
minecraft.picked_up.soul_torch: #1, 141(58%)
minecraft.crafted.jungle_planks: #2, 22504(31%)
minecraft.picked_up.bone: #1, 7811(17%)
minecraft.picked_up.deepslate_bricks: #1, 1175(18%)
minecraft.mined.mossy_stone_bricks: #1, 426(33%)
minecraft.dropped.dried_kelp: #1, 845(92%)
minecraft.dropped.grass: #1, 97(31%)
minecraft.mined.observer: #1, 452(18%)
minecraft.picked_up.jungle_fence_gate: #1, 41(65%)
minecraft.picked_up.big_dripleaf: #2, 4356(34%)
minecraft.picked_up.oak_door: #1, 24(26%)
minecraft.picked_up.red_concrete_powder: #1, 814(44%)
minecraft.picked_up.netherite_boots: #1, 42(27%)
minecraft.crafted.stone_brick_wall: #1, 342(27%)
minecraft.picked_up.lectern: #1, 1197(23%)
minecraft.mined.polished_blackstone_bricks: #1, 412(33%)
minecraft.mined.lime_bed: #1, 141(87%)
minecraft.picked_up.glass: #1, 4964(17%)
minecraft.used.cobblestone: #1, 15540(16%)
minecraft.dropped.totem_of_undying: #1, 48(72%)
minecraft.mined.activator_rail: #1, 46(61%)
minecraft.picked_up.emerald: #2, 3142(25%)
minecraft.dropped.mossy_stone_bricks: #1, 102(85%)
minecraft.picked_up.end_stone_bricks: #1, 202(26%)
minecraft.crafted.lime_wool: #1, 55(71%)
minecraft.crafted.polished_blackstone_brick_slab: #1, 600(42%)
minecraft.dropped.nether_gold_ore: #1, 56(42%)
minecraft.used.oak_fence_gate: #2, 147(31%)
minecraft.dropped.jungle_leaves: #1, 101(70%)
minecraft.dropped.suspicious_stew: #1, 37(60%)
minecraft.mined.kelp_plant: #1, 667(16%)
minecraft.mined.lectern: #1, 1198(22%)
minecraft.mined.stone_brick_stairs: #2, 368(26%)
minecraft.dropped.netherite_sword: #1, 14(41%)
minecraft.picked_up.purple_concrete: #1, 1178(69%)
minecraft.picked_up.green_stained_glass: #2, 1023(39%)
minecraft.picked_up.green_concrete: #1, 217(58%)
minecraft.used.lime_wool: #1, 400(51%)
minecraft.picked_up.blackstone: #1, 8241(16%)
minecraft.crafted.jungle_fence_gate: #1, 55(40%)
minecraft.used.oak_sign: #1, 297(16%)
minecraft.used.furnace: #1, 390(15%)
minecraft.dropped.deepslate: #2, 1103(24%)
minecraft.dropped.cut_sandstone: #1, 92(57%)
minecraft.used.shears: #1, 16233(16%)
minecraft.picked_up.end_stone: #2, 1870(24%)
minecraft.dropped.wither_skeleton_skull: #1, 483(99%)
minecraft.used.nether_brick_wall: #1, 97(66%)
minecraft.mined.iron_block: #1, 4515(16%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #1, 514(56%)
minecraft.killed.blaze: #1, 305(18%)
minecraft.dropped.deepslate_brick_slab: #1, 110(35%)
minecraft.used.purple_concrete: #1, 1142(77%)
minecraft.mined.end_stone: #2, 1787(23%)
minecraft.used.oak_door: #1, 18(22%)
minecraft.dropped.netherite_leggings: #1, 8(38%)
minecraft.mined.green_concrete: #1, 186(54%)
minecraft.crafted.netherite_pickaxe: #1, 13(29%)
minecraft.used.writable_book: #1, 239(16%)
minecraft.used.minecart: #1, 217(15%)
minecraft.used.diorite: #1, 1511(14%)
minecraft.used.rail: #1, 3751(15%)
minecraft.picked_up.bell: #1, 51(31%)
minecraft.crafted.netherite_scrap: #1, 228(28%)
minecraft.custom.interact_with_brewingstand: #1, 700(15%)
minecraft.mined.pumpkin: #1, 726(18%)
minecraft.picked_up.granite: #1, 19867(14%)
minecraft.killed.piglin: #2, 180(22%)
minecraft.used.dandelion: #1, 50(24%)
minecraft.dropped.jungle_sign: #1, 37(61%)
minecraft.mined.spore_blossom: #1, 17(28%)
minecraft.dropped.netherite_boots: #1, 8(40%)
minecraft.mined.green_stained_glass: #2, 918(38%)
minecraft.used.netherrack: #1, 7458(14%)
minecraft.used.oak_log: #1, 2223(14%)
minecraft.used.sandstone_stairs: #1, 740(40%)
minecraft.dropped.pumpkin_seeds: #2, 831(30%)
minecraft.mined.purple_wool: #1, 69(59%)
minecraft.dropped.soul_torch: #1, 47(89%)
minecraft.dropped.tuff: #2, 312(18%)
minecraft.mined.netherrack: #2, 87677(17%)
minecraft.used.spore_blossom: #1, 71(20%)
minecraft.mined.oak_door: #1, 15(29%)
minecraft.picked_up.repeater: #1, 551(15%)
minecraft.dropped.netherite_helmet: #1, 7(44%)
minecraft.dropped.white_banner: #1, 65(50%)
minecraft.mined.lime_wool: #1, 106(70%)
minecraft.mined.cobblestone: #1, 5001(13%)
minecraft.crafted.chest: #1, 4289(13%)
minecraft.crafted.andesite_slab: #2, 570(28%)
minecraft.dropped.packed_ice: #1, 226(38%)
minecraft.mined.sticky_piston: #1, 159(15%)
minecraft.dropped.book: #1, 170(57%)
minecraft.mined.tall_seagrass: #2, 538(17%)
minecraft.used.netherite_pickaxe: #1, 522950(23%)
minecraft.killed.slime: #2, 1638(18%)
minecraft.dropped.netherite_axe: #1, 15(31%)
minecraft.used.netherite_sword: #1, 13654(34%)
minecraft.mined.attached_melon_stem: #1, 19(56%)
minecraft.used.cracked_deepslate_bricks: #1, 1371(30%)
minecraft.dropped.cookie: #1, 1056(42%)
minecraft.dropped.firework_rocket: #2, 2300(21%)
minecraft.used.bamboo: #2, 530(19%)
minecraft.crafted.deepslate_brick_wall: #1, 128(25%)
minecraft.picked_up.deepslate_brick_slab: #2, 414(22%)
minecraft.picked_up.splash_potion: #2, 218(35%)
minecraft.crafted.diamond: #1, 1431(14%)
minecraft.mined.cracked_deepslate_bricks: #1, 156(32%)
minecraft.used.totem_of_undying: #1, 18(64%)
minecraft.used.cobblestone_wall: #2, 671(20%)
minecraft.dropped.paper: #2, 522(18%)
minecraft.mined.deepslate_brick_stairs: #2, 255(26%)
minecraft.dropped.dead_fire_coral_block: #1, 12(80%)
minecraft.picked_up.lime_carpet: #1, 140(80%)
minecraft.picked_up.spectral_arrow: #2, 2862(32%)
minecraft.mined.dark_oak_trapdoor: #1, 106(14%)
minecraft.used.green_concrete: #1, 276(79%)
minecraft.killed.enderman: #1, 51429(14%)
minecraft.dropped.iron_ore: #2, 230(22%)
minecraft.dropped.lime_shulker_box: #1, 22(79%)
minecraft.used.activator_rail: #1, 48(45%)
minecraft.dropped.polished_blackstone_bricks: #1, 444(63%)
minecraft.used.lily_of_the_valley: #1, 75(31%)
minecraft.picked_up.pumpkin_seeds: #2, 2642(20%)
minecraft.used.lime_dye: #1, 14(52%)
minecraft.dropped.raw_iron: #1, 349(21%)
minecraft.used.splash_potion: #1, 94(16%)
minecraft.mined.polished_blackstone_brick_stairs: #1, 88(34%)
minecraft.crafted.powered_rail: #1, 1044(14%)
minecraft.picked_up.purple_wool: #1, 469(34%)
minecraft.custom.interact_with_furnace: #1, 4032(12%)
minecraft.picked_up.observer: #2, 560(16%)
minecraft.picked_up.enchanted_book: #2, 96(17%)
minecraft.crafted.netherite_helmet: #1, 6(43%)
minecraft.dropped.cracked_stone_bricks: #1, 17(50%)
minecraft.dropped.stripped_oak_wood: #1, 6(60%)
