stat, rank, value, (percentage) 
minecraft.picked_up.waxed_weathered_copper: #1, 70(49%)
minecraft.used.cyan_candle: #1, 57(59%)
minecraft.crafted.chiseled_polished_blackstone: #1, 18(42%)
minecraft.crafted.light_blue_wool: #1, 62(32%)
minecraft.used.dragon_head: #1, 7(29%)
minecraft.picked_up.bubble_coral_fan: #2, 493(35%)
minecraft.picked_up.deepslate_redstone_ore: #2, 652(16%)
minecraft.mined.polished_blackstone_stairs: #1, 175(19%)
minecraft.picked_up.blue_shulker_box: #1, 112(32%)
minecraft.used.polished_blackstone_stairs: #1, 1063(19%)
minecraft.mined.player_head: #2, 58(17%)
minecraft.used.shears: #2, 15787(16%)
minecraft.picked_up.polished_deepslate_stairs: #2, 395(19%)
minecraft.mined.bubble_coral_wall_fan: #2, 400(35%)
minecraft.used.gravel: #2, 2642(15%)
minecraft.mined.waxed_copper_block: #1, 38(28%)
minecraft.used.deepslate_diamond_ore: #2, 150(20%)
minecraft.crafted.pink_wool: #1, 22(47%)
minecraft.dropped.chicken: #2, 55(21%)
minecraft.picked_up.soul_campfire: #1, 13(68%)
minecraft.mined.waxed_weathered_copper: #1, 71(55%)
minecraft.dropped.glow_lichen: #1, 55(39%)
minecraft.used.amethyst_block: #2, 1274(17%)
minecraft.mined.fire: #2, 1051(14%)
minecraft.picked_up.birch_fence: #2, 192(28%)
minecraft.used.deepslate: #2, 6474(14%)
minecraft.picked_up.polished_blackstone_stairs: #1, 172(18%)
minecraft.used.deepslate_brick_slab: #2, 1390(18%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #1, 103(88%)
minecraft.crafted.firework_star: #1, 497(44%)
minecraft.mined.birch_fence: #2, 127(26%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #1, 100(88%)
minecraft.crafted.copper_ingot: #2, 6468(14%)
minecraft.mined.brain_coral_block: #2, 1295(30%)
minecraft.mined.cobbled_deepslate_wall: #1, 90(22%)
minecraft.used.weathered_cut_copper_stairs: #1, 69(44%)
minecraft.used.purple_shulker_box: #1, 99(37%)
minecraft.dropped.written_book: #2, 16(26%)
minecraft.mined.soul_lantern: #2, 98(30%)
minecraft.picked_up.light_gray_concrete_powder: #2, 302(22%)
minecraft.mined.glow_lichen: #2, 4518(14%)
minecraft.dropped.warped_roots: #2, 425(27%)
minecraft.mined.dark_oak_pressure_plate: #1, 7(32%)
minecraft.used.blue_stained_glass_pane: #1, 39(85%)
minecraft.mined.deepslate_tile_wall: #2, 214(25%)
minecraft.picked_up.twisting_vines: #3, 1368(25%)
minecraft.used.birch_pressure_plate: #1, 6(50%)
minecraft.picked_up.gray_carpet: #2, 225(23%)
minecraft.picked_up.ender_pearl: #2, 23191(13%)
minecraft.mined.blue_shulker_box: #1, 106(31%)
minecraft.crafted.light_gray_dye: #2, 1206(14%)
minecraft.used.oxidized_copper: #2, 1759(20%)
minecraft.used.yellow_candle: #1, 25(41%)
minecraft.used.blue_shulker_box: #1, 107(31%)
minecraft.picked_up.glow_lichen: #2, 4694(16%)
minecraft.crafted.light_gray_wool: #2, 810(25%)
minecraft.picked_up.raw_copper: #2, 16132(13%)
minecraft.picked_up.dark_oak_sapling: #2, 936(15%)
minecraft.used.waxed_exposed_copper: #1, 65(60%)
minecraft.dropped.milk_bucket: #1, 8(80%)
minecraft.used.gray_bed: #1, 272(80%)
minecraft.picked_up.cactus: #2, 2881(14%)
minecraft.used.dark_oak_sapling: #2, 729(19%)
minecraft.crafted.coal_block: #2, 1977(14%)
minecraft.dropped.oak_button: #1, 16(34%)
minecraft.picked_up.brain_coral_block: #2, 1222(28%)
minecraft.picked_up.deepslate_coal_ore: #2, 601(15%)
minecraft.dropped.ender_pearl: #2, 21112(14%)
minecraft.picked_up.cobbled_deepslate: #2, 40611(12%)
minecraft.killed.pufferfish: #1, 21(29%)
minecraft.picked_up.oak_boat: #2, 147(14%)
minecraft.crafted.polished_blackstone_brick_wall: #1, 20(47%)
minecraft.picked_up.birch_stairs: #2, 51(18%)
minecraft.custom.interact_with_campfire: #1, 36(46%)
minecraft.used.twisting_vines: #2, 416(30%)
minecraft.picked_up.purple_shulker_box: #1, 101(38%)
minecraft.dropped.coal: #3, 540(17%)
minecraft.used.writable_book: #2, 209(14%)
minecraft.crafted.birch_pressure_plate: #1, 5(45%)
minecraft.crafted.netherite_shovel: #1, 5(23%)
minecraft.mined.purple_shulker_box: #1, 98(38%)
minecraft.mined.copper_ore: #2, 4109(12%)
minecraft.mined.waxed_exposed_copper: #1, 40(55%)
minecraft.custom.swim_one_cm: #2, 6243935(12%)
