stat, rank, value, (percentage) 
minecraft.picked_up.red_candle: #4, 10(3%)
minecraft.picked_up.red_tulip: #4, 33(1%)
minecraft.crafted.cooked_porkchop: #5, 35(5%)
minecraft.mined.cut_copper_slab: #5, 21(10%)
minecraft.mined.blue_carpet: #4, 3(3%)
minecraft.picked_up.blue_carpet: #4, 3(3%)
minecraft.mined.exposed_cut_copper_stairs: #4, 2(2%)
minecraft.picked_up.yellow_candle: #4, 4(2%)
minecraft.crafted.purple_concrete_powder: #4, 128(2%)
minecraft.used.blue_carpet: #4, 7(2%)
minecraft.picked_up.cut_copper_slab: #5, 32(10%)
minecraft.dropped.glass: #5, 398(5%)
minecraft.picked_up.quartz_slab: #5, 40(7%)
minecraft.used.redstone_block: #5, 134(4%)
minecraft.mined.birch_sign: #5, 7(6%)
minecraft.dropped.oxidized_copper: #4, 29(2%)
minecraft.dropped.diamond_shovel: #5, 7(6%)
minecraft.picked_up.deepslate_brick_wall: #5, 29(8%)
minecraft.mined.spore_blossom: #5, 5(8%)
minecraft.picked_up.lime_stained_glass_pane: #4, 1(1%)
minecraft.dropped.jungle_sapling: #4, 1(1%)
minecraft.crafted.bone_meal: #6, 73660(8%)
minecraft.used.melon_slice: #4, 6(1%)
minecraft.picked_up.dark_oak_boat: #5, 17(5%)
minecraft.picked_up.melon_seeds: #5, 13(6%)
minecraft.picked_up.orange_tulip: #4, 19(0%)
minecraft.used.orange_concrete_powder: #4, 159(1%)
minecraft.picked_up.lime_stained_glass: #4, 8(0%)
minecraft.mined.deepslate_brick_wall: #5, 11(9%)
minecraft.dropped.polished_deepslate_stairs: #4, 1(1%)
minecraft.picked_up.copper_ingot: #5, 1277(5%)
minecraft.dropped.rabbit_foot: #4, 1(1%)
minecraft.mined.magenta_shulker_box: #5, 29(13%)
minecraft.crafted.snow: #4, 66(0%)
minecraft.crafted.air: #4, 0(0%)
minecraft.picked_up.magenta_shulker_box: #5, 29(12%)
minecraft.crafted.cut_copper: #5, 96(7%)
minecraft.used.crimson_stem: #5, 116(7%)
minecraft.mined.polished_blackstone_bricks: #5, 92(7%)
minecraft.mined.green_shulker_box: #5, 42(10%)
minecraft.used.warped_planks: #5, 297(7%)
minecraft.picked_up.green_shulker_box: #5, 43(9%)
minecraft.used.crimson_trapdoor: #5, 62(8%)
minecraft.crafted.diamond_chestplate: #5, 2(5%)
minecraft.used.acacia_door: #5, 4(10%)
minecraft.crafted.cake: #5, 9(8%)
minecraft.crafted.brown_shulker_box: #5, 6(9%)
minecraft.used.dark_oak_boat: #5, 14(4%)
minecraft.crafted.acacia_fence_gate: #5, 14(9%)
minecraft.used.soul_campfire: #5, 23(11%)
minecraft.crafted.white_shulker_box: #5, 10(6%)
minecraft.dropped.white_bed: #5, 6(6%)
minecraft.crafted.polished_blackstone_slab: #5, 68(6%)
minecraft.crafted.nether_brick: #5, 573(8%)
minecraft.crafted.red_dye: #6, 728(7%)
minecraft.crafted.cobblestone_wall: #5, 123(3%)
minecraft.dropped.white_carpet: #5, 8(6%)
minecraft.dropped.cooked_cod: #5, 5(6%)
minecraft.picked_up.wheat_seeds: #6, 17903(6%)
minecraft.custom.walk_under_water_one_cm: #7, 5243391(5%)
minecraft.dropped.netherite_shovel: #5, 2(5%)
minecraft.dropped.phantom_membrane: #5, 12(4%)
minecraft.crafted.dark_oak_boat: #5, 6(4%)
minecraft.mined.rooted_dirt: #5, 109(3%)
minecraft.killed.goat: #5, 9(8%)
minecraft.used.horn_coral_block: #5, 31(7%)
minecraft.used.glowstone: #6, 505(7%)
minecraft.mined.oak_stairs: #6, 56(7%)
minecraft.mined.iron_block: #6, 1811(7%)
minecraft.used.armor_stand: #5, 25(3%)
minecraft.crafted.wooden_shovel: #5, 7(6%)
minecraft.crafted.diamond_shovel: #6, 8(6%)
minecraft.picked_up.polished_blackstone_bricks: #5, 87(4%)
minecraft.dropped.oxeye_daisy: #5, 5(5%)
minecraft.mined.dark_oak_fence: #5, 24(3%)
minecraft.mined.warped_sign: #5, 2(7%)
minecraft.dropped.cobblestone: #6, 5199(6%)
minecraft.used.nether_brick_stairs: #5, 17(9%)
minecraft.mined.warped_stem: #6, 591(7%)
minecraft.crafted.orange_shulker_box: #5, 2(5%)
minecraft.crafted.orange_dye: #5, 148(3%)
minecraft.picked_up.black_stained_glass: #5, 176(4%)
minecraft.dropped.netherite_leggings: #5, 1(5%)
minecraft.dropped.acacia_log: #5, 22(6%)
minecraft.mined.black_stained_glass: #5, 185(4%)
minecraft.picked_up.yellow_terracotta: #5, 12(3%)
minecraft.crafted.quartz_stairs: #5, 25(4%)
minecraft.crafted.nether_bricks: #5, 246(4%)
minecraft.picked_up.bricks: #5, 105(4%)
minecraft.dropped.netherite_boots: #5, 1(5%)
minecraft.used.mossy_cobblestone_slab: #5, 79(4%)
minecraft.mined.warped_wall_sign: #5, 5(5%)
minecraft.crafted.diamond_pickaxe: #6, 15(6%)
minecraft.picked_up.brick_wall: #5, 4(5%)
minecraft.dropped.clay: #5, 2(7%)
minecraft.custom.leave_game: #7, 735(4%)
minecraft.crafted.brick_stairs: #5, 12(6%)
minecraft.picked_up.cobbled_deepslate_stairs: #5, 19(3%)
minecraft.used.brick_wall: #5, 36(5%)
minecraft.picked_up.dandelion: #6, 134(5%)
minecraft.custom.interact_with_beacon: #6, 31(6%)
minecraft.mined.soul_sand: #6, 546(6%)
minecraft.used.cut_sandstone_slab: #5, 128(3%)
minecraft.dropped.sand: #6, 579(5%)
minecraft.picked_up.gold_ore: #6, 183(5%)
minecraft.crafted.nether_brick_slab: #5, 64(4%)
minecraft.mined.white_wall_banner: #5, 1(4%)
minecraft.mined.brick_stairs: #5, 3(4%)
minecraft.custom.interact_with_lectern: #6, 85(5%)
minecraft.picked_up.lapis_ore: #6, 89(6%)
minecraft.picked_up.oak_pressure_plate: #5, 1(7%)
minecraft.picked_up.warped_fungus: #6, 56(7%)
minecraft.used.warped_stairs: #5, 79(3%)
minecraft.crafted.oxidized_cut_copper_slab: #5, 26(3%)
minecraft.mined.spruce_trapdoor: #6, 200(5%)
minecraft.crafted.polished_blackstone_wall: #5, 29(3%)
minecraft.dropped.deepslate_iron_ore: #5, 2(5%)
minecraft.picked_up.blue_candle: #5, 6(3%)
minecraft.picked_up.netherite_helmet: #5, 2(2%)
minecraft.picked_up.weathered_cut_copper_slab: #5, 2(4%)
minecraft.used.gold_ore: #6, 155(6%)
minecraft.dropped.lapis_ore: #5, 1(4%)
minecraft.picked_up.magenta_stained_glass: #5, 3(2%)
minecraft.dropped.jungle_slab: #5, 2(4%)
minecraft.used.orange_stained_glass_pane: #5, 2(4%)
minecraft.used.wither_skeleton_skull: #5, 6(2%)
minecraft.crafted.bone_block: #6, 4445(6%)
minecraft.crafted.stone_hoe: #6, 5(6%)
minecraft.picked_up.purpur_pillar: #6, 33(7%)
minecraft.dropped.cod: #5, 32(1%)
minecraft.killed_by.zombie_villager: #5, 1(5%)
minecraft.crafted.terracotta: #5, 5(4%)
minecraft.picked_up.yellow_carpet: #5, 1(3%)
minecraft.mined.cobbled_deepslate_stairs: #6, 21(9%)
minecraft.dropped.sunflower: #5, 5(2%)
minecraft.picked_up.bread: #6, 190(5%)
minecraft.used.yellow_concrete: #5, 47(2%)
minecraft.crafted.yellow_carpet: #5, 24(2%)
minecraft.picked_up.nether_star: #5, 2(1%)
minecraft.dropped.gray_stained_glass: #5, 3(2%)
minecraft.mined.dead_fire_coral_fan: #5, 1(3%)
minecraft.mined.purple_carpet: #5, 1(3%)
minecraft.mined.cornflower: #6, 38(6%)
minecraft.crafted.dark_oak_fence: #6, 198(6%)
minecraft.used.leather_boots: #5, 1(2%)
minecraft.mined.weathered_cut_copper_slab: #5, 1(3%)
minecraft.picked_up.blue_bed: #5, 3(2%)
minecraft.dropped.amethyst_cluster: #5, 4(2%)
minecraft.picked_up.filled_map: #6, 48(5%)
minecraft.picked_up.flint_and_steel: #6, 8(5%)
minecraft.used.weeping_vines: #5, 20(1%)
minecraft.picked_up.blast_furnace: #6, 10(6%)
minecraft.picked_up.chest: #6, 489(4%)
minecraft.picked_up.jungle_sign: #5, 4(1%)
minecraft.mined.gold_ore: #6, 496(4%)
minecraft.used.nether_brick_wall: #5, 3(2%)
minecraft.picked_up.warped_stem: #6, 638(5%)
minecraft.used.waxed_exposed_cut_copper_slab: #5, 1(2%)
minecraft.dropped.totem_of_undying: #5, 1(1%)
minecraft.picked_up.mossy_cobblestone_slab: #5, 10(1%)
minecraft.dropped.dark_oak_boat: #5, 1(1%)
minecraft.dropped.sugar: #5, 74(1%)
minecraft.used.quartz_slab: #6, 119(7%)
minecraft.mined.lime_stained_glass: #5, 18(1%)
minecraft.crafted.green_dye: #6, 412(5%)
minecraft.used.dead_bubble_coral_block: #5, 4(1%)
minecraft.picked_up.popped_chorus_fruit: #5, 14(1%)
minecraft.picked_up.golden_boots: #6, 15(5%)
minecraft.picked_up.soul_sand: #6, 755(4%)
minecraft.mined.exposed_cut_copper_slab: #5, 1(1%)
minecraft.picked_up.pumpkin_pie: #5, 13(1%)
minecraft.dropped.crimson_planks: #5, 1(1%)
minecraft.used.emerald_block: #5, 15(0%)
minecraft.dropped.light_blue_dye: #5, 1(1%)
minecraft.mined.emerald_block: #5, 11(0%)
minecraft.crafted.orange_concrete_powder: #5, 160(1%)
minecraft.mined.crimson_stem: #6, 233(5%)
minecraft.dropped.magenta_dye: #5, 1(1%)
minecraft.mined.mossy_cobblestone_slab: #5, 3(0%)
minecraft.used.dead_horn_coral_block: #5, 1(0%)
minecraft.mined.white_shulker_box: #6, 121(6%)
minecraft.picked_up.mutton: #6, 35(4%)
minecraft.mined.polished_deepslate_wall: #6, 44(5%)
minecraft.used.white_shulker_box: #6, 127(6%)
minecraft.picked_up.white_shulker_box: #6, 121(6%)
minecraft.crafted.black_stained_glass_pane: #6, 448(7%)
minecraft.crafted.oak_stairs: #6, 132(5%)
minecraft.mined.candle: #6, 11(7%)
minecraft.dropped.writable_book: #6, 3(5%)
minecraft.dropped.birch_log: #6, 68(5%)
minecraft.picked_up.mossy_cobblestone_stairs: #6, 19(9%)
minecraft.mined.dark_oak_sapling: #6, 9(7%)
minecraft.used.deepslate_lapis_ore: #6, 10(6%)
minecraft.mined.cut_copper_stairs: #6, 17(8%)
minecraft.used.cut_copper: #6, 77(7%)
minecraft.mined.terracotta: #6, 5993(4%)
minecraft.used.green_shulker_box: #6, 43(8%)
minecraft.dropped.firework_rocket: #6, 438(4%)
minecraft.crafted.spruce_pressure_plate: #6, 5(5%)
minecraft.used.netherite_shovel: #6, 57863(7%)
minecraft.picked_up.terracotta: #6, 5956(4%)
minecraft.crafted.red_shulker_box: #6, 3(4%)
minecraft.used.vine: #6, 97(5%)
minecraft.mined.vine: #6, 456(4%)
minecraft.crafted.dark_oak_pressure_plate: #6, 5(7%)
minecraft.crafted.acacia_trapdoor: #6, 228(6%)
minecraft.picked_up.seagrass: #6, 102(6%)
minecraft.used.snowball: #7, 373(9%)
minecraft.mined.hay_block: #6, 78(3%)
minecraft.used.podzol: #6, 131(4%)
minecraft.used.map: #6, 10(5%)
minecraft.crafted.stonecutter: #6, 8(3%)
minecraft.used.warped_nylium: #6, 20(5%)
minecraft.crafted.iron_boots: #7, 6(7%)
minecraft.used.warped_door: #6, 4(8%)
minecraft.used.lilac: #6, 7(4%)
minecraft.dropped.blackstone: #6, 201(3%)
minecraft.picked_up.cobbled_deepslate_slab: #6, 50(3%)
minecraft.mined.white_concrete: #6, 1598(3%)
minecraft.picked_up.elytra: #7, 52(6%)
minecraft.mined.fern: #6, 80(3%)
minecraft.mined.deepslate_tiles: #7, 434(7%)
minecraft.mined.furnace: #7, 92(6%)
minecraft.used.stone_slab: #7, 1596(7%)
minecraft.used.polished_blackstone_button: #6, 138(4%)
minecraft.crafted.charcoal: #6, 32(4%)
minecraft.dropped.gray_wool: #6, 14(4%)
minecraft.mined.blue_orchid: #6, 24(5%)
minecraft.used.iron_chestplate: #6, 1(6%)
minecraft.picked_up.music_disc_13: #6, 1(6%)
minecraft.used.gold_block: #6, 147(3%)
minecraft.used.dirt: #7, 17871(5%)
minecraft.crafted.polished_blackstone_button: #6, 152(4%)
minecraft.picked_up.stone_sword: #6, 11(2%)
minecraft.crafted.barrel: #7, 192(6%)
minecraft.picked_up.firework_rocket: #7, 2615(6%)
minecraft.dropped.spruce_button: #6, 4(5%)
minecraft.crafted.oak_pressure_plate: #6, 1(4%)
minecraft.picked_up.trident: #6, 4(3%)
minecraft.picked_up.bucket: #6, 33(2%)
minecraft.custom.damage_absorbed: #6, 100(4%)
minecraft.used.water_bucket: #7, 1418(5%)
minecraft.picked_up.blue_orchid: #6, 25(4%)
minecraft.picked_up.netherite_hoe: #6, 1(6%)
minecraft.picked_up.yellow_concrete: #6, 80(3%)
minecraft.used.painting: #6, 43(2%)
minecraft.picked_up.black_concrete: #7, 1153(6%)
minecraft.custom.inspect_dispenser: #7, 387(5%)
minecraft.mined.oak_log: #7, 4095(6%)
minecraft.mined.warped_planks: #6, 47(4%)
minecraft.mined.anvil: #7, 18(6%)
minecraft.picked_up.red_concrete: #6, 362(2%)
minecraft.used.spruce_pressure_plate: #6, 3(3%)
minecraft.crafted.hopper: #7, 688(5%)
minecraft.picked_up.smooth_quartz_slab: #6, 46(3%)
minecraft.mined.loom: #6, 3(3%)
minecraft.picked_up.golden_carrot: #7, 1250(5%)
minecraft.used.glow_berries: #7, 205(6%)
minecraft.used.light_blue_concrete_powder: #6, 64(4%)
minecraft.mined.crimson_trapdoor: #6, 5(3%)
minecraft.custom.open_enderchest: #7, 1746(5%)
minecraft.picked_up.crimson_trapdoor: #6, 5(3%)
minecraft.custom.interact_with_anvil: #7, 223(5%)
minecraft.used.nether_brick_slab: #6, 34(4%)
minecraft.used.yellow_terracotta: #6, 48(3%)
minecraft.used.cod: #6, 3(4%)
minecraft.crafted.compass: #6, 12(2%)
minecraft.dropped.podzol: #6, 13(4%)
minecraft.used.mossy_cobblestone_stairs: #6, 15(3%)
minecraft.crafted.light_blue_concrete_powder: #6, 64(3%)
minecraft.mined.nether_brick_slab: #6, 3(3%)
minecraft.crafted.warped_stairs: #6, 80(2%)
minecraft.used.polished_blackstone_bricks: #6, 293(2%)
minecraft.used.tripwire_hook: #6, 7(2%)
minecraft.used.white_candle: #6, 12(4%)
minecraft.crafted.chest: #7, 1616(5%)
minecraft.crafted.observer: #7, 270(5%)
minecraft.used.lava_bucket: #6, 179(1%)
minecraft.mined.melon_stem: #6, 2(3%)
minecraft.used.black_wool: #6, 189(2%)
minecraft.dropped.azure_bluet: #6, 2(2%)
minecraft.custom.player_kills: #7, 8(6%)
minecraft.picked_up.end_crystal: #6, 29(3%)
minecraft.mined.brown_carpet: #6, 5(3%)
minecraft.mined.red_carpet: #6, 4(3%)
minecraft.used.beacon: #7, 18(5%)
minecraft.mined.bamboo_sapling: #6, 2(2%)
minecraft.crafted.mossy_cobblestone_slab: #6, 36(2%)
minecraft.dropped.golden_sword: #6, 2(2%)
minecraft.mined.red_concrete_powder: #6, 3(3%)
minecraft.picked_up.glow_item_frame: #7, 10(6%)
minecraft.mined.glass: #7, 554(5%)
minecraft.picked_up.stone: #7, 82895(5%)
minecraft.used.clay: #6, 33(2%)
minecraft.crafted.cracked_deepslate_tiles: #6, 71(3%)
minecraft.picked_up.golden_sword: #6, 2(2%)
minecraft.crafted.polished_blackstone_brick_slab: #6, 32(2%)
minecraft.crafted.yellow_concrete_powder: #6, 72(2%)
minecraft.used.blackstone_wall: #6, 17(2%)
minecraft.used.yellow_concrete_powder: #6, 72(2%)
minecraft.mined.purpur_pillar: #7, 38(7%)
minecraft.picked_up.light_gray_wool: #6, 36(1%)
minecraft.picked_up.red_carpet: #6, 4(2%)
minecraft.dropped.snowball: #6, 68(1%)
minecraft.picked_up.lava_bucket: #6, 4(1%)
minecraft.crafted.cracked_deepslate_bricks: #6, 64(2%)
minecraft.dropped.andesite: #7, 803(5%)
minecraft.dropped.oak_fence: #7, 23(5%)
minecraft.crafted.yellow_shulker_box: #6, 1(1%)
minecraft.dropped.dandelion: #7, 31(5%)
minecraft.used.mossy_cobblestone_wall: #6, 4(2%)
minecraft.crafted.beacon: #6, 1(1%)
minecraft.picked_up.raw_gold: #7, 928(4%)
minecraft.dropped.copper_ingot: #6, 8(1%)
minecraft.dropped.golden_helmet: #7, 16(6%)
minecraft.dropped.nether_wart_block: #6, 1(1%)
minecraft.picked_up.spruce_trapdoor: #7, 275(5%)
minecraft.picked_up.amethyst_block: #7, 975(5%)
minecraft.used.hopper: #7, 695(4%)
minecraft.picked_up.stripped_birch_wood: #6, 3(1%)
minecraft.mined.stripped_birch_wood: #6, 3(2%)
minecraft.used.brick_stairs: #6, 11(1%)
minecraft.used.blue_bed: #6, 2(1%)
minecraft.used.fire_coral_block: #6, 8(1%)
minecraft.mined.lime_concrete_powder: #6, 1(1%)
minecraft.mined.cracked_polished_blackstone_bricks: #6, 4(1%)
minecraft.used.yellow_carpet: #6, 6(1%)
minecraft.dropped.white_concrete: #6, 12(1%)
minecraft.picked_up.barrel: #7, 78(4%)
minecraft.mined.raw_copper_block: #6, 1(1%)
minecraft.mined.jungle_wall_sign: #6, 1(1%)
minecraft.crafted.cobblestone_slab: #7, 384(5%)
minecraft.picked_up.gray_concrete_powder: #6, 10(1%)
minecraft.dropped.acacia_sapling: #6, 5(1%)
minecraft.used.anvil: #7, 56(4%)
minecraft.picked_up.anvil: #7, 20(4%)
minecraft.used.birch_sign: #7, 67(4%)
minecraft.crafted.birch_sign: #7, 66(5%)
minecraft.mined.sweet_berry_bush: #7, 65(7%)
minecraft.used.cracked_polished_blackstone_bricks: #6, 28(1%)
minecraft.mined.spruce_log: #7, 4409(4%)
minecraft.used.snow: #6, 52(0%)
minecraft.dropped.diamond_pickaxe: #7, 8(4%)
minecraft.dropped.snow_block: #6, 9(0%)
minecraft.picked_up.iron_sword: #7, 8(4%)
minecraft.used.piston: #7, 211(4%)
minecraft.picked_up.lime_concrete_powder: #6, 1(0%)
minecraft.picked_up.dragon_head: #7, 7(5%)
minecraft.picked_up.glow_berries: #7, 289(4%)
minecraft.dropped.diamond_helmet: #7, 3(6%)
minecraft.crafted.bucket: #7, 158(3%)
minecraft.picked_up.sea_lantern: #7, 82(4%)
minecraft.mined.sugar_cane: #7, 1779(3%)
minecraft.crafted.smooth_stone_slab: #7, 258(4%)
minecraft.picked_up.tnt: #7, 60(4%)
minecraft.crafted.lime_terracotta: #7, 136(5%)
minecraft.picked_up.dark_oak_slab: #7, 84(4%)
minecraft.mined.cyan_terracotta: #7, 85(5%)
minecraft.crafted.deepslate_brick_stairs: #7, 36(4%)
minecraft.picked_up.cut_copper_stairs: #7, 15(7%)
minecraft.crafted.stone_axe: #7, 4(3%)
minecraft.picked_up.porkchop: #7, 49(3%)
minecraft.killed_by.magma_cube: #7, 2(5%)
minecraft.dropped.diamond_boots: #7, 3(4%)
minecraft.crafted.shears: #7, 64(3%)
minecraft.used.diamond_helmet: #7, 3(5%)
minecraft.killed.sheep: #7, 14(3%)
minecraft.picked_up.potion: #7, 27(3%)
minecraft.mined.quartz_stairs: #7, 12(5%)
minecraft.dropped.iron_bars: #7, 40(7%)
minecraft.used.quartz_stairs: #7, 48(5%)
minecraft.mined.bamboo: #7, 212(3%)
minecraft.used.nether_brick_fence: #7, 32(5%)
minecraft.mined.budding_amethyst: #7, 15(3%)
minecraft.custom.open_shulker_box: #8, 15376(6%)
minecraft.used.light_gray_stained_glass: #7, 313(4%)
minecraft.crafted.stone_pickaxe: #7, 4(2%)
minecraft.mined.red_mushroom_block: #7, 310(3%)
minecraft.used.damaged_anvil: #7, 3(3%)
minecraft.mined.white_wool: #7, 45(2%)
minecraft.mined.light_gray_stained_glass: #7, 30(3%)
minecraft.mined.kelp: #8, 228(6%)
minecraft.dropped.jungle_planks: #7, 20(5%)
minecraft.mined.damaged_anvil: #7, 3(3%)
minecraft.mined.polished_blackstone_slab: #7, 28(4%)
minecraft.picked_up.damaged_anvil: #7, 3(3%)
minecraft.used.red_concrete_powder: #7, 331(3%)
minecraft.mined.dark_oak_fence_gate: #7, 4(3%)
minecraft.used.deepslate_tile_slab: #8, 1688(6%)
minecraft.mined.chorus_plant: #7, 13(3%)
minecraft.dropped.grass: #7, 10(3%)
minecraft.mined.oak_door: #7, 2(4%)
minecraft.crafted.red_concrete_powder: #7, 392(3%)
minecraft.mined.andesite_stairs: #7, 5(4%)
minecraft.mined.red_concrete: #7, 330(2%)
minecraft.crafted.red_terracotta: #7, 96(3%)
minecraft.custom.sneak_time: #9, 1987239(4%)
minecraft.used.written_book: #7, 181(2%)
minecraft.dropped.player_head: #7, 73(2%)
minecraft.custom.play_noteblock: #7, 36(3%)
minecraft.dropped.copper_block: #7, 48(4%)
minecraft.crafted.leather_boots: #7, 8(3%)
minecraft.picked_up.rose_bush: #8, 326(6%)
minecraft.mined.yellow_concrete: #7, 81(2%)
minecraft.dropped.stone_hoe: #7, 1(3%)
minecraft.mined.spruce_pressure_plate: #7, 1(4%)
minecraft.custom.open_chest: #8, 17498(5%)
minecraft.used.diamond_sword: #7, 8452(1%)
minecraft.custom.sleep_in_bed: #8, 785(5%)
minecraft.used.blackstone_slab: #7, 95(3%)
minecraft.used.red_candle: #7, 5(4%)
minecraft.used.azure_bluet: #7, 4(3%)
minecraft.picked_up.netherite_boots: #7, 3(2%)
minecraft.dropped.gold_ore: #7, 2(4%)
minecraft.mined.scaffolding: #8, 2203(5%)
minecraft.dropped.axolotl_bucket: #7, 1(3%)
minecraft.picked_up.blaze_powder: #7, 5(2%)
minecraft.used.cyan_shulker_box: #7, 10(3%)
minecraft.used.barrel: #8, 207(5%)
minecraft.mined.spruce_stairs: #8, 99(5%)
minecraft.crafted.diamond: #8, 567(6%)
minecraft.picked_up.cyan_shulker_box: #7, 9(3%)
minecraft.used.red_concrete: #7, 151(2%)
minecraft.crafted.painting: #7, 15(1%)
minecraft.used.lime_terracotta: #7, 31(2%)
minecraft.used.stripped_jungle_log: #7, 13(3%)
minecraft.crafted.piston: #8, 359(5%)
minecraft.dropped.bowl: #7, 1(3%)
minecraft.crafted.light_gray_carpet: #7, 99(2%)
minecraft.used.obsidian: #7, 394(1%)
minecraft.mined.dirt: #8, 19504(4%)
minecraft.crafted.sugar: #7, 96(1%)
minecraft.mined.cyan_shulker_box: #7, 8(3%)
minecraft.mined.barrel: #8, 70(5%)
minecraft.crafted.jungle_sign: #7, 6(2%)
minecraft.picked_up.iron_door: #8, 12(7%)
minecraft.crafted.brown_carpet: #7, 60(2%)
minecraft.used.jungle_sign: #7, 8(2%)
minecraft.picked_up.birch_planks: #8, 165(5%)
minecraft.mined.lily_pad: #7, 12(1%)
minecraft.picked_up.iron_block: #8, 1884(5%)
minecraft.crafted.gold_block: #7, 86(1%)
minecraft.mined.amethyst_block: #8, 929(5%)
minecraft.used.blue_orchid: #7, 3(2%)
minecraft.dropped.deepslate_tiles: #7, 5(1%)
minecraft.crafted.birch_planks: #8, 3784(4%)
minecraft.dropped.powered_rail: #7, 2(1%)
minecraft.mined.cracked_deepslate_tiles: #7, 2(1%)
minecraft.killed.player: #8, 8(6%)
minecraft.dropped.glass_bottle: #7, 55(0%)
minecraft.mined.blackstone_wall: #7, 1(1%)
minecraft.picked_up.iron_chestplate: #8, 9(5%)
minecraft.used.orange_shulker_box: #7, 11(1%)
minecraft.picked_up.orange_shulker_box: #7, 10(1%)
minecraft.picked_up.spruce_log: #8, 5421(4%)
minecraft.crafted.smooth_quartz_slab: #7, 12(1%)
minecraft.custom.eat_cake_slice: #7, 1(1%)
minecraft.crafted.green_shulker_box: #7, 1(1%)
minecraft.picked_up.warped_fence_gate: #7, 1(1%)
minecraft.mined.orange_shulker_box: #7, 9(1%)
minecraft.used.pumpkin_pie: #7, 4(1%)
minecraft.dropped.cobbled_deepslate_slab: #7, 1(1%)
minecraft.dropped.shroomlight: #7, 1(1%)
minecraft.picked_up.dark_oak_log: #8, 3054(4%)
minecraft.mined.warped_stairs: #7, 3(1%)
minecraft.dropped.rose_bush: #7, 1(1%)
minecraft.picked_up.emerald_block: #7, 20(1%)
minecraft.picked_up.exposed_cut_copper_stairs: #7, 1(1%)
minecraft.used.polished_blackstone_brick_slab: #7, 68(1%)
minecraft.picked_up.blackstone_wall: #7, 1(1%)
minecraft.picked_up.allium: #7, 32(0%)
minecraft.picked_up.scaffolding: #8, 4445(4%)
minecraft.mined.blue_bed: #7, 1(1%)
minecraft.mined.lantern: #8, 27(5%)
minecraft.picked_up.oak_sapling: #8, 748(4%)
minecraft.mined.dead_horn_coral_block: #7, 1(1%)
minecraft.dropped.magma_cream: #8, 39(5%)
minecraft.mined.crying_obsidian: #7, 2(0%)
minecraft.picked_up.warped_stairs: #7, 2(0%)
minecraft.dropped.red_dye: #7, 1(0%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #7, 4(0%)
minecraft.picked_up.dead_horn_coral_block: #7, 1(0%)
minecraft.used.dead_bush: #7, 6(0%)
minecraft.dropped.deepslate_bricks: #7, 1(0%)
minecraft.used.crying_obsidian: #7, 3(0%)
minecraft.used.bamboo: #8, 123(4%)
minecraft.crafted.sticky_piston: #8, 111(4%)
minecraft.dropped.wheat_seeds: #8, 3006(4%)
minecraft.custom.fall_one_cm: #9, 5368122(4%)
minecraft.dropped.cooked_beef: #8, 75(5%)
minecraft.mined.birch_wall_sign: #8, 17(4%)
minecraft.used.iron_block: #8, 1834(4%)
minecraft.killed_by.zombie: #8, 5(5%)
minecraft.dropped.tuff: #8, 65(4%)
minecraft.used.scaffolding: #8, 3907(4%)
minecraft.crafted.bow: #8, 57(4%)
minecraft.killed.zombie_villager: #8, 9(4%)
minecraft.dropped.granite: #8, 738(3%)
minecraft.dropped.golden_boots: #8, 14(4%)
minecraft.used.cobblestone_stairs: #8, 98(4%)
minecraft.picked_up.sugar_cane: #8, 3469(3%)
minecraft.picked_up.white_wool: #8, 415(3%)
minecraft.mined.nether_gold_ore: #8, 122(4%)
minecraft.used.mossy_cobblestone: #8, 210(5%)
minecraft.dropped.oak_sapling: #8, 38(4%)
minecraft.mined.black_concrete: #8, 764(3%)
minecraft.picked_up.apple: #8, 152(3%)
minecraft.crafted.lantern: #8, 199(3%)
minecraft.used.stone_stairs: #8, 137(4%)
minecraft.used.dark_oak_fence: #8, 115(4%)
minecraft.picked_up.bone_block: #8, 242(3%)
minecraft.mined.stone_bricks: #8, 846(3%)
minecraft.crafted.birch_stairs: #8, 68(5%)
minecraft.mined.lily_of_the_valley: #8, 10(5%)
minecraft.crafted.book: #8, 134(3%)
minecraft.crafted.wooden_pickaxe: #8, 1(3%)
minecraft.dropped.stone: #8, 5232(3%)
minecraft.crafted.light_gray_stained_glass: #8, 512(4%)
minecraft.picked_up.crimson_stem: #8, 226(3%)
minecraft.used.cobblestone_slab: #8, 197(3%)
minecraft.killed.slime: #8, 258(3%)
minecraft.crafted.yellow_dye: #8, 194(3%)
minecraft.crafted.ender_chest: #8, 8(3%)
minecraft.crafted.diamond_hoe: #8, 2(3%)
minecraft.mined.stone_brick_stairs: #8, 45(3%)
minecraft.crafted.deepslate_tile_stairs: #8, 39(3%)
minecraft.crafted.stone_bricks: #8, 3380(3%)
minecraft.crafted.bread: #8, 373(3%)
minecraft.picked_up.vine: #8, 351(3%)
minecraft.killed.pig: #8, 15(3%)
minecraft.used.cooked_cod: #8, 30(4%)
minecraft.dropped.item_frame: #8, 3(4%)
minecraft.picked_up.emerald_ore: #8, 7(4%)
minecraft.used.glass_bottle: #8, 150(2%)
minecraft.dropped.netherite_pickaxe: #8, 3(3%)
minecraft.used.cobblestone_wall: #8, 82(2%)
minecraft.mined.crimson_nylium: #8, 47(2%)
