stat, rank, value, (percentage) 
minecraft.mined.polished_deepslate_slab: #17, 3(0%)
minecraft.dropped.blackstone: #17, 5(0%)
minecraft.mined.deepslate_tile_slab: #18, 33(1%)
minecraft.picked_up.deepslate_tile_slab: #18, 44(1%)
minecraft.picked_up.shield: #18, 1(1%)
minecraft.used.polished_deepslate: #18, 213(0%)
minecraft.crafted.deepslate_tile_stairs: #18, 7(1%)
minecraft.dropped.paper: #18, 10(0%)
minecraft.picked_up.nether_brick_fence: #18, 2(0%)
minecraft.mined.deepslate_bricks: #18, 14(0%)
minecraft.picked_up.deepslate_tile_stairs: #18, 9(0%)
minecraft.mined.lightning_rod: #18, 1(0%)
minecraft.used.lightning_rod: #18, 3(0%)
minecraft.picked_up.polished_deepslate_slab: #18, 4(0%)
minecraft.used.potato: #18, 7(0%)
minecraft.picked_up.black_concrete: #18, 8(0%)
minecraft.mined.jungle_planks: #18, 1(0%)
minecraft.used.deepslate_coal_ore: #18, 1(0%)
minecraft.mined.black_concrete: #18, 8(0%)
minecraft.picked_up.red_wool: #18, 2(0%)
minecraft.custom.traded_with_villager: #18, 25(0%)
minecraft.mined.fire: #19, 80(1%)
minecraft.used.cobbled_deepslate: #19, 278(1%)
minecraft.dropped.diamond_sword: #19, 1(1%)
minecraft.mined.lantern: #19, 3(1%)
minecraft.used.redstone_lamp: #19, 9(0%)
minecraft.crafted.scaffolding: #19, 60(0%)
minecraft.picked_up.deepslate_bricks: #19, 13(0%)
minecraft.crafted.polished_deepslate_slab: #19, 14(0%)
minecraft.mined.scaffolding: #19, 76(0%)
minecraft.used.tuff: #19, 27(0%)
minecraft.used.scaffolding: #19, 158(0%)
minecraft.dropped.magma_cream: #19, 1(0%)
minecraft.picked_up.lightning_rod: #19, 1(0%)
minecraft.picked_up.deepslate_brick_slab: #19, 2(0%)
minecraft.picked_up.polished_blackstone_button: #19, 1(0%)
minecraft.custom.deaths: #20, 20(2%)
minecraft.crafted.diamond_boots: #20, 1(1%)
minecraft.mined.stonecutter: #20, 11(1%)
minecraft.picked_up.stonecutter: #20, 11(1%)
minecraft.used.stonecutter: #20, 10(1%)
minecraft.used.deepslate_tiles: #20, 159(0%)
minecraft.used.spruce_door: #20, 2(0%)
minecraft.mined.polished_deepslate: #20, 16(0%)
minecraft.mined.birch_wall_sign: #20, 1(0%)
minecraft.picked_up.scaffolding: #20, 222(0%)
minecraft.crafted.cobblestone_wall: #20, 6(0%)
minecraft.picked_up.white_dye: #20, 3(0%)
minecraft.mined.cobblestone_wall: #20, 1(0%)
minecraft.picked_up.pumpkin: #20, 5(0%)
minecraft.mined.warped_stem: #20, 1(0%)
minecraft.picked_up.warped_stem: #20, 1(0%)
minecraft.dropped.grass_block: #20, 1(0%)
minecraft.mined.iron_bars: #21, 3(0%)
minecraft.used.potion: #21, 2(0%)
minecraft.used.deepslate_tile_slab: #21, 58(0%)
minecraft.used.cobblestone_slab: #21, 11(0%)
minecraft.crafted.spruce_trapdoor: #21, 16(0%)
minecraft.used.grass_block: #21, 114(0%)
minecraft.picked_up.glowstone: #21, 4(0%)
minecraft.used.cobblestone_wall: #21, 2(0%)
minecraft.used.blackstone: #21, 6(0%)
minecraft.mined.stone_slab: #21, 1(0%)
