stat, rank, value, (percentage) 
minecraft.picked_up.blue_concrete: #4, 12(3%)
minecraft.dropped.brown_concrete: #4, 2(3%)
minecraft.used.spruce_door: #5, 29(6%)
minecraft.dropped.leather_helmet: #5, 13(5%)
minecraft.used.light_blue_stained_glass_pane: #4, 36(1%)
minecraft.used.petrified_oak_slab: #4, 5(2%)
minecraft.used.blue_concrete: #4, 2(1%)
minecraft.dropped.glass_pane: #4, 39(0%)
minecraft.picked_up.polished_andesite: #5, 129(5%)
minecraft.crafted.dark_prismarine_stairs: #4, 1(0%)
minecraft.crafted.soul_torch: #5, 196(7%)
minecraft.picked_up.mossy_stone_brick_stairs: #4, 2(0%)
minecraft.crafted.spruce_door: #5, 21(5%)
minecraft.used.polished_basalt: #5, 524(5%)
minecraft.custom.boat_one_cm: #6, 7656667(7%)
minecraft.mined.hay_block: #5, 92(4%)
minecraft.dropped.stone_pickaxe: #5, 4(5%)
minecraft.picked_up.grindstone: #5, 35(4%)
minecraft.dropped.stone_hoe: #5, 2(6%)
minecraft.used.soul_lantern: #5, 73(4%)
minecraft.crafted.deepslate_tile_stairs: #5, 45(3%)
minecraft.used.note_block: #5, 92(4%)
minecraft.killed.elder_guardian: #5, 3(12%)
minecraft.crafted.apple: #5, 184(6%)
minecraft.crafted.soul_lantern: #5, 72(5%)
minecraft.picked_up.oxidized_cut_copper_stairs: #5, 67(8%)
minecraft.dropped.wooden_axe: #5, 1(12%)
minecraft.crafted.jungle_boat: #5, 3(8%)
minecraft.used.tinted_glass: #6, 1202(8%)
minecraft.dropped.porkchop: #5, 11(6%)
minecraft.crafted.polished_basalt: #5, 424(4%)
minecraft.mined.grindstone: #5, 22(3%)
minecraft.mined.kelp: #6, 237(6%)
minecraft.mined.diorite_wall: #5, 6(9%)
minecraft.used.sunflower: #5, 5(3%)
minecraft.used.dark_oak_stairs: #6, 346(8%)
minecraft.mined.polished_deepslate_stairs: #6, 118(7%)
minecraft.mined.oak_slab: #6, 86(6%)
minecraft.dropped.spruce_door: #5, 2(6%)
minecraft.picked_up.warped_wart_block: #6, 1024(6%)
minecraft.used.light_blue_shulker_box: #5, 25(3%)
minecraft.mined.cracked_stone_bricks: #5, 30(3%)
minecraft.used.jungle_door: #5, 7(8%)
minecraft.mined.mossy_cobblestone_stairs: #5, 5(4%)
minecraft.used.spruce_button: #5, 26(2%)
minecraft.picked_up.honey_block: #5, 21(3%)
minecraft.mined.piston: #6, 105(6%)
minecraft.crafted.dark_oak_stairs: #6, 360(7%)
minecraft.crafted.iron_chestplate: #6, 5(6%)
minecraft.used.tuff: #6, 865(6%)
minecraft.picked_up.glass_pane: #5, 193(2%)
minecraft.used.oak_door: #6, 6(8%)
minecraft.crafted.mossy_cobblestone_wall: #5, 12(5%)
minecraft.dropped.pointed_dripstone: #5, 22(2%)
minecraft.crafted.golden_leggings: #5, 1(4%)
minecraft.crafted.jungle_door: #5, 3(5%)
minecraft.crafted.jungle_wood: #5, 24(3%)
minecraft.mined.dark_prismarine_stairs: #5, 1(5%)
minecraft.picked_up.mossy_stone_bricks: #5, 93(2%)
minecraft.picked_up.bamboo: #6, 5188(5%)
minecraft.picked_up.dark_prismarine_stairs: #5, 1(4%)
minecraft.mined.fletching_table: #5, 3(3%)
minecraft.picked_up.azalea: #6, 555(5%)
minecraft.picked_up.diamond_chestplate: #6, 7(6%)
minecraft.picked_up.totem_of_undying: #5, 3(2%)
minecraft.dropped.jungle_fence: #5, 4(2%)
minecraft.used.jungle_planks: #5, 114(1%)
minecraft.picked_up.diamond_axe: #6, 26(5%)
minecraft.crafted.cracked_stone_bricks: #5, 128(1%)
minecraft.mined.mossy_stone_brick_stairs: #5, 2(1%)
minecraft.used.blue_concrete_powder: #5, 8(1%)
minecraft.picked_up.spruce_door: #6, 22(6%)
minecraft.picked_up.brown_concrete: #5, 13(1%)
minecraft.picked_up.mossy_cobblestone_wall: #5, 2(1%)
minecraft.mined.lime_bed: #5, 2(1%)
minecraft.mined.brown_concrete: #5, 11(1%)
minecraft.dropped.blue_dye: #5, 1(1%)
minecraft.used.polished_andesite: #6, 447(5%)
