stat, rank, value, (percentage) 
minecraft.picked_up.book: #14, 54(0%)
minecraft.mined.stripped_dark_oak_log: #14, 13(0%)
minecraft.mined.polished_deepslate_slab: #14, 8(0%)
minecraft.crafted.raw_copper: #14, 72(0%)
minecraft.mined.brown_mushroom_block: #14, 59(0%)
minecraft.picked_up.stripped_dark_oak_log: #14, 10(0%)
minecraft.mined.polished_granite: #14, 1(0%)
minecraft.killed.wither_skeleton: #14, 36(0%)
minecraft.used.podzol: #14, 7(0%)
minecraft.crafted.polished_blackstone_button: #14, 8(0%)
minecraft.used.nether_bricks: #14, 5(0%)
minecraft.mined.acacia_leaves: #14, 35(0%)
minecraft.used.andesite_wall: #14, 3(0%)
minecraft.custom.damage_resisted: #14, 14(0%)
minecraft.mined.sweet_berry_bush: #14, 1(0%)
minecraft.mined.red_concrete: #14, 11(0%)
minecraft.crafted.birch_trapdoor: #14, 2(0%)
minecraft.mined.oxidized_copper: #14, 7(0%)
minecraft.crafted.black_stained_glass: #14, 32(0%)
minecraft.dropped.potato: #14, 10(0%)
minecraft.custom.damage_taken: #15, 92146(2%)
minecraft.used.cobblestone: #15, 2440(3%)
minecraft.mined.barrel: #15, 37(3%)
minecraft.used.diamond_axe: #15, 9596(2%)
minecraft.used.player_head: #15, 27(2%)
minecraft.picked_up.stone: #15, 41754(2%)
minecraft.used.barrel: #15, 90(2%)
minecraft.crafted.chest: #15, 682(2%)
minecraft.used.beacon: #15, 7(2%)
minecraft.crafted.cooked_beef: #15, 154(2%)
minecraft.custom.fly_one_cm: #16, 34657498(3%)
minecraft.picked_up.deepslate_tiles: #15, 140(2%)
minecraft.used.redstone: #15, 404(2%)
minecraft.mined.shroomlight: #15, 43(2%)
minecraft.picked_up.chainmail_leggings: #15, 2(2%)
minecraft.crafted.hopper: #15, 184(1%)
minecraft.mined.dark_oak_trapdoor: #15, 12(2%)
minecraft.used.glow_ink_sac: #15, 27(1%)
minecraft.used.diamond_ore: #15, 25(2%)
minecraft.used.minecart: #15, 20(1%)
minecraft.mined.player_head: #15, 5(1%)
minecraft.picked_up.netherrack: #15, 3803(1%)
minecraft.used.cactus: #15, 81(1%)
minecraft.dropped.wheat_seeds: #15, 989(1%)
minecraft.mined.sticky_piston: #15, 14(1%)
minecraft.picked_up.red_shulker_box: #15, 27(1%)
minecraft.used.basalt: #15, 246(1%)
minecraft.picked_up.chainmail_chestplate: #15, 1(1%)
minecraft.used.comparator: #15, 35(1%)
minecraft.used.red_shulker_box: #15, 26(1%)
minecraft.mined.red_shulker_box: #15, 25(1%)
minecraft.picked_up.glow_item_frame: #15, 2(1%)
minecraft.picked_up.dark_oak_planks: #15, 54(1%)
minecraft.picked_up.gold_ingot: #15, 32(1%)
minecraft.picked_up.glowstone: #15, 55(1%)
minecraft.picked_up.poisonous_potato: #15, 4(1%)
minecraft.used.smooth_basalt: #15, 47(1%)
minecraft.crafted.moss_carpet: #15, 105(1%)
minecraft.dropped.netherrack: #15, 1260(1%)
minecraft.mined.stone_brick_stairs: #15, 12(1%)
minecraft.crafted.spruce_fence_gate: #15, 16(1%)
minecraft.mined.powered_rail: #15, 27(1%)
minecraft.picked_up.flower_pot: #15, 4(1%)
minecraft.crafted.red_bed: #15, 1(1%)
minecraft.used.deepslate_diamond_ore: #15, 6(1%)
minecraft.used.bookshelf: #15, 42(1%)
minecraft.picked_up.netherite_leggings: #15, 1(1%)
minecraft.picked_up.filled_map: #15, 6(1%)
minecraft.used.smoker: #15, 1(1%)
minecraft.picked_up.andesite_slab: #15, 6(1%)
minecraft.mined.dark_oak_fence_gate: #15, 1(1%)
minecraft.picked_up.acacia_log: #15, 119(1%)
minecraft.used.spruce_sign: #15, 16(0%)
minecraft.mined.birch_trapdoor: #15, 2(1%)
minecraft.picked_up.rooted_dirt: #15, 14(0%)
minecraft.crafted.oak_boat: #15, 4(0%)
minecraft.picked_up.yellow_concrete: #15, 13(0%)
minecraft.mined.lily_of_the_valley: #15, 1(0%)
minecraft.picked_up.birch_trapdoor: #15, 2(0%)
minecraft.mined.yellow_concrete: #15, 11(0%)
minecraft.used.dark_oak_button: #15, 1(0%)
minecraft.crafted.oak_fence_gate: #15, 1(0%)
minecraft.mined.light_gray_stained_glass: #15, 2(0%)
minecraft.used.polished_blackstone_button: #15, 8(0%)
minecraft.dropped.magma_block: #15, 1(0%)
minecraft.mined.soul_soil: #15, 16(0%)
minecraft.dropped.stone_button: #15, 3(0%)
minecraft.dropped.cactus: #15, 3(0%)
minecraft.crafted.deepslate_tiles: #15, 15(0%)
minecraft.dropped.spruce_sapling: #15, 1(0%)
minecraft.used.white_terracotta: #15, 2(0%)
minecraft.dropped.bone_meal: #15, 87(0%)
minecraft.used.cocoa_beans: #15, 5(0%)
minecraft.used.orange_terracotta: #15, 2(0%)
minecraft.used.birch_trapdoor: #15, 2(0%)
minecraft.crafted.red_concrete_powder: #15, 8(0%)
minecraft.used.smooth_stone_slab: #15, 7(0%)
minecraft.picked_up.oxidized_copper: #15, 7(0%)
minecraft.used.acacia_log: #15, 2(0%)
minecraft.mined.white_terracotta: #15, 2(0%)
minecraft.picked_up.white_terracotta: #15, 2(0%)
minecraft.picked_up.gold_nugget: #15, 70(0%)
minecraft.dropped.slime_ball: #15, 1(0%)
minecraft.picked_up.barrel: #16, 42(2%)
minecraft.used.chest: #16, 445(2%)
minecraft.picked_up.diamond_helmet: #16, 7(2%)
minecraft.picked_up.minecart: #16, 31(2%)
minecraft.picked_up.blaze_rod: #16, 61(2%)
minecraft.picked_up.spruce_planks: #16, 303(2%)
minecraft.crafted.dark_oak_slab: #16, 270(2%)
minecraft.custom.interact_with_stonecutter: #16, 103(2%)
minecraft.dropped.water_bucket: #16, 1(2%)
minecraft.crafted.birch_planks: #16, 1248(1%)
minecraft.picked_up.diamond_leggings: #16, 6(2%)
minecraft.custom.pot_flower: #16, 9(2%)
minecraft.used.andesite: #16, 491(1%)
minecraft.used.hopper: #16, 189(1%)
minecraft.picked_up.diamond_ore: #16, 25(1%)
minecraft.picked_up.beef: #16, 175(1%)
minecraft.mined.oak_fence: #16, 31(1%)
minecraft.picked_up.dark_oak_trapdoor: #16, 13(1%)
minecraft.used.oak_boat: #16, 11(1%)
minecraft.crafted.red_shulker_box: #16, 1(1%)
minecraft.dropped.diamond: #16, 21(1%)
minecraft.mined.carrots: #16, 174(1%)
minecraft.picked_up.oak_boat: #16, 10(1%)
minecraft.crafted.acacia_planks: #16, 464(1%)
minecraft.picked_up.shroomlight: #16, 43(1%)
minecraft.mined.podzol: #16, 77(1%)
minecraft.crafted.smoker: #16, 1(1%)
minecraft.picked_up.sticky_piston: #16, 13(1%)
minecraft.picked_up.spruce_sign: #16, 9(1%)
minecraft.used.dark_oak_planks: #16, 54(1%)
minecraft.mined.smooth_basalt: #16, 85(1%)
minecraft.used.stone_brick_stairs: #16, 45(1%)
minecraft.crafted.iron_door: #16, 3(1%)
minecraft.crafted.lectern: #16, 2(1%)
minecraft.picked_up.deepslate_diamond_ore: #16, 6(1%)
minecraft.picked_up.nether_wart: #16, 119(0%)
minecraft.mined.comparator: #16, 3(0%)
minecraft.used.oak_planks: #16, 163(0%)
minecraft.killed.chicken: #16, 6(0%)
minecraft.mined.iron_trapdoor: #16, 5(0%)
minecraft.picked_up.gold_block: #16, 14(0%)
minecraft.dropped.gunpowder: #16, 42(0%)
minecraft.mined.spruce_leaves: #16, 297(0%)
minecraft.mined.cocoa: #16, 5(0%)
minecraft.picked_up.dark_oak_fence_gate: #16, 1(0%)
minecraft.mined.mushroom_stem: #16, 12(0%)
minecraft.dropped.grass_block: #16, 105(0%)
minecraft.used.tnt: #16, 22(0%)
minecraft.picked_up.polished_deepslate_slab: #16, 9(0%)
minecraft.picked_up.amethyst_cluster: #16, 15(0%)
minecraft.picked_up.copper_ingot: #16, 51(0%)
minecraft.used.red_bed: #16, 2(0%)
minecraft.crafted.smooth_stone_slab: #16, 12(0%)
minecraft.used.shroomlight: #16, 11(0%)
minecraft.picked_up.cooked_porkchop: #16, 3(0%)
minecraft.used.oak_fence_gate: #16, 1(0%)
minecraft.picked_up.pointed_dripstone: #16, 41(0%)
minecraft.crafted.warped_planks: #16, 76(0%)
minecraft.killed.cod: #16, 2(0%)
minecraft.used.polished_deepslate_slab: #16, 33(0%)
minecraft.picked_up.soul_soil: #16, 15(0%)
minecraft.dropped.glow_ink_sac: #16, 2(0%)
minecraft.picked_up.black_concrete: #16, 12(0%)
minecraft.picked_up.red_concrete: #16, 11(0%)
minecraft.mined.packed_ice: #16, 15(0%)
minecraft.used.red_concrete: #16, 3(0%)
minecraft.picked_up.light_gray_wool: #16, 1(0%)
minecraft.crafted.gold_nugget: #16, 9(0%)
minecraft.mined.smooth_sandstone: #16, 1(0%)
minecraft.picked_up.oak_log: #17, 1838(2%)
minecraft.killed.magma_cube: #17, 169(2%)
minecraft.killed.spider: #17, 46(2%)
minecraft.mined.lantern: #17, 11(2%)
minecraft.dropped.cobblestone: #17, 1326(1%)
minecraft.used.stone: #17, 6970(1%)
minecraft.picked_up.spruce_sapling: #17, 191(1%)
minecraft.crafted.diamond_hoe: #17, 1(2%)
minecraft.dropped.andesite: #17, 211(1%)
minecraft.dropped.granite: #17, 262(1%)
minecraft.used.deepslate: #17, 510(1%)
minecraft.picked_up.iron_boots: #17, 4(1%)
minecraft.dropped.shulker_box: #17, 4(1%)
minecraft.crafted.sticky_piston: #17, 32(1%)
minecraft.mined.netherrack: #17, 4959(1%)
minecraft.picked_up.observer: #17, 34(1%)
minecraft.used.flower_pot: #17, 10(1%)
minecraft.custom.interact_with_grindstone: #17, 12(1%)
minecraft.used.sticky_piston: #17, 31(1%)
minecraft.mined.cactus: #17, 42(1%)
minecraft.crafted.coal: #17, 576(1%)
minecraft.picked_up.golden_chestplate: #17, 3(1%)
minecraft.picked_up.glow_berries: #17, 51(1%)
minecraft.used.glass_bottle: #17, 45(1%)
minecraft.mined.vine: #17, 85(1%)
minecraft.picked_up.brewing_stand: #17, 2(1%)
minecraft.mined.ender_chest: #17, 27(1%)
minecraft.crafted.cyan_dye: #17, 34(1%)
minecraft.used.cobblestone_slab: #17, 31(0%)
minecraft.mined.glass: #17, 46(0%)
minecraft.picked_up.iron_trapdoor: #17, 5(0%)
minecraft.dropped.shears: #17, 2(0%)
minecraft.picked_up.vine: #17, 55(0%)
minecraft.crafted.light_gray_dye: #17, 32(0%)
minecraft.used.birch_boat: #17, 1(0%)
minecraft.crafted.cobblestone_slab: #17, 30(0%)
minecraft.used.composter: #17, 7(0%)
minecraft.dropped.bone: #17, 104(0%)
minecraft.crafted.lightning_rod: #17, 7(0%)
minecraft.crafted.cobblestone_wall: #17, 12(0%)
minecraft.crafted.flower_pot: #17, 4(0%)
minecraft.broken.iron_shovel: #17, 1(0%)
minecraft.dropped.iron_ore: #17, 3(0%)
minecraft.mined.potatoes: #17, 24(0%)
minecraft.picked_up.comparator: #17, 4(0%)
minecraft.used.lapis_ore: #17, 2(0%)
minecraft.picked_up.polished_deepslate_wall: #17, 4(0%)
minecraft.picked_up.bread: #17, 7(0%)
minecraft.crafted.raw_iron: #17, 63(0%)
minecraft.picked_up.cocoa_beans: #17, 22(0%)
minecraft.dropped.spider_eye: #17, 24(0%)
minecraft.picked_up.saddle: #17, 1(0%)
minecraft.picked_up.sunflower: #17, 6(0%)
minecraft.picked_up.glass_bottle: #17, 4(0%)
minecraft.picked_up.azure_bluet: #17, 2(0%)
minecraft.mined.smooth_stone_slab: #17, 4(0%)
minecraft.used.diamond_block: #17, 2(0%)
minecraft.used.pumpkin: #17, 3(0%)
minecraft.mined.ancient_debris: #17, 1(0%)
minecraft.mined.nether_sprouts: #17, 1(0%)
minecraft.mined.large_amethyst_bud: #17, 1(0%)
minecraft.used.red_concrete_powder: #17, 8(0%)
minecraft.mined.black_concrete: #17, 10(0%)
minecraft.crafted.polished_blackstone: #17, 12(0%)
minecraft.picked_up.lily_of_the_valley: #17, 1(0%)
minecraft.used.birch_leaves: #17, 4(0%)
minecraft.picked_up.orange_terracotta: #17, 4(0%)
minecraft.dropped.gold_nugget: #17, 2(0%)
minecraft.crafted.black_concrete_powder: #17, 8(0%)
minecraft.picked_up.torch: #18, 2086(2%)
minecraft.mined.oak_log: #18, 1347(2%)
minecraft.mined.stone: #18, 48869(2%)
minecraft.custom.drop: #18, 1665(2%)
minecraft.picked_up.magma_cream: #18, 61(2%)
minecraft.used.shulker_box: #18, 449(2%)
minecraft.mined.shulker_box: #18, 432(2%)
minecraft.picked_up.shulker_box: #18, 437(2%)
minecraft.picked_up.player_head: #18, 110(1%)
minecraft.picked_up.furnace: #18, 20(1%)
minecraft.mined.white_bed: #18, 25(1%)
minecraft.killed_by.player: #18, 2(1%)
minecraft.killed.cow: #18, 80(1%)
minecraft.picked_up.white_bed: #18, 26(1%)
minecraft.crafted.stick: #18, 3720(1%)
minecraft.used.golden_carrot: #18, 387(1%)
minecraft.crafted.bone_meal: #18, 8352(1%)
minecraft.picked_up.basalt: #18, 748(1%)
minecraft.picked_up.oak_planks: #18, 132(1%)
minecraft.mined.observer: #18, 22(1%)
minecraft.crafted.iron_bars: #18, 80(1%)
minecraft.crafted.lapis_lazuli: #18, 99(1%)
minecraft.picked_up.paper: #18, 43(1%)
minecraft.dropped.dandelion: #18, 5(1%)
minecraft.mined.spruce_planks: #18, 91(1%)
minecraft.crafted.oak_trapdoor: #18, 26(1%)
minecraft.picked_up.gunpowder: #18, 135(1%)
minecraft.mined.iron_bars: #18, 7(1%)
minecraft.picked_up.deepslate: #18, 795(1%)
minecraft.mined.flower_pot: #18, 1(1%)
minecraft.custom.damage_dealt: #18, 234129(1%)
minecraft.used.dark_oak_trapdoor: #18, 31(1%)
minecraft.picked_up.dark_oak_sapling: #18, 41(1%)
minecraft.used.spruce_fence: #18, 73(1%)
minecraft.picked_up.cobblestone_slab: #18, 14(1%)
minecraft.picked_up.ender_chest: #18, 29(1%)
minecraft.killed.phantom: #18, 6(1%)
minecraft.used.spruce_fence_gate: #18, 13(1%)
minecraft.mined.calcite: #18, 174(1%)
minecraft.dropped.ender_pearl: #18, 764(1%)
minecraft.crafted.iron_shovel: #18, 3(1%)
minecraft.picked_up.clay_ball: #18, 64(0%)
minecraft.mined.cave_vines: #18, 3(0%)
minecraft.crafted.blast_furnace: #18, 2(1%)
minecraft.dropped.iron_ingot: #18, 38(0%)
minecraft.picked_up.lapis_ore: #18, 7(0%)
minecraft.used.iron_shovel: #18, 397(0%)
minecraft.crafted.comparator: #18, 15(0%)
minecraft.picked_up.calcite: #18, 146(0%)
minecraft.picked_up.feather: #18, 8(0%)
minecraft.mined.dark_oak_planks: #18, 7(0%)
minecraft.picked_up.composter: #18, 3(0%)
minecraft.crafted.flint_and_steel: #18, 2(0%)
minecraft.mined.warped_stem: #18, 32(0%)
minecraft.picked_up.shears: #18, 2(0%)
minecraft.used.iron_door: #18, 1(0%)
minecraft.picked_up.sweet_berries: #18, 10(0%)
minecraft.picked_up.grass_block: #18, 731(0%)
minecraft.crafted.composter: #18, 4(0%)
minecraft.picked_up.warped_stem: #18, 32(0%)
minecraft.dropped.carved_pumpkin: #18, 2(0%)
minecraft.picked_up.tnt: #18, 3(0%)
minecraft.mined.crimson_nylium: #18, 3(0%)
minecraft.picked_up.pumpkin: #18, 21(0%)
minecraft.mined.azure_bluet: #18, 1(0%)
minecraft.mined.red_bed: #18, 1(0%)
minecraft.picked_up.lily_pad: #18, 2(0%)
minecraft.picked_up.red_bed: #18, 1(0%)
minecraft.dropped.sandstone: #18, 4(0%)
minecraft.picked_up.ancient_debris: #18, 1(0%)
minecraft.picked_up.packed_ice: #18, 12(0%)
minecraft.dropped.baked_potato: #18, 2(0%)
minecraft.mined.warped_roots: #18, 1(0%)
minecraft.used.black_concrete_powder: #18, 8(0%)
minecraft.used.black_concrete: #18, 2(0%)
minecraft.picked_up.smooth_sandstone: #18, 1(0%)
minecraft.mined.diorite: #19, 2399(2%)
minecraft.custom.open_barrel: #19, 865(1%)
minecraft.crafted.diamond_pickaxe: #19, 4(2%)
minecraft.crafted.coal_block: #19, 221(2%)
minecraft.picked_up.diorite: #19, 2258(1%)
minecraft.picked_up.coal_ore: #19, 543(1%)
minecraft.used.bone_meal: #19, 1780(1%)
minecraft.crafted.spruce_planks: #19, 3940(1%)
minecraft.crafted.observer: #19, 64(1%)
minecraft.broken.iron_pickaxe: #19, 4(1%)
minecraft.used.bow: #19, 422(1%)
minecraft.picked_up.golden_carrot: #19, 226(1%)
minecraft.used.iron_pickaxe: #19, 1148(1%)
minecraft.used.shears: #19, 928(1%)
minecraft.used.brewing_stand: #19, 3(1%)
minecraft.crafted.book: #19, 37(1%)
minecraft.picked_up.chest: #19, 84(1%)
minecraft.picked_up.phantom_membrane: #19, 7(1%)
minecraft.mined.dark_oak_log: #19, 446(1%)
minecraft.dropped.redstone: #19, 27(1%)
minecraft.custom.inspect_hopper: #19, 128(1%)
minecraft.dropped.dirt: #19, 301(1%)
minecraft.mined.basalt: #19, 751(1%)
minecraft.picked_up.elytra: #19, 5(1%)
minecraft.dropped.iron_sword: #19, 1(1%)
minecraft.crafted.spruce_fence: #19, 66(1%)
minecraft.used.ender_chest: #19, 27(1%)
minecraft.dropped.lead: #19, 1(1%)
minecraft.dropped.string: #19, 25(0%)
minecraft.picked_up.brown_mushroom: #19, 17(0%)
minecraft.dropped.golden_carrot: #19, 27(0%)
minecraft.picked_up.redstone_block: #19, 20(0%)
minecraft.killed.enderman: #19, 1634(0%)
minecraft.used.glass: #19, 133(0%)
minecraft.mined.hopper: #19, 19(0%)
minecraft.picked_up.smooth_basalt: #19, 72(0%)
minecraft.mined.dark_oak_wall_sign: #19, 2(0%)
minecraft.mined.brewing_stand: #19, 1(0%)
minecraft.picked_up.hopper: #19, 18(0%)
minecraft.mined.cobblestone_wall: #19, 4(0%)
minecraft.mined.composter: #19, 2(0%)
minecraft.used.powered_rail: #19, 33(0%)
minecraft.used.iron_trapdoor: #19, 10(0%)
minecraft.picked_up.carved_pumpkin: #19, 9(0%)
minecraft.mined.dead_bush: #19, 11(0%)
minecraft.mined.nether_gold_ore: #19, 8(0%)
minecraft.used.dark_oak_log: #19, 53(0%)
minecraft.custom.horse_one_cm: #19, 264376(0%)
minecraft.mined.birch_leaves: #19, 83(0%)
minecraft.used.grass_block: #19, 221(0%)
minecraft.mined.spruce_fence_gate: #19, 1(0%)
minecraft.used.lava_bucket: #19, 18(0%)
minecraft.picked_up.spruce_fence_gate: #19, 1(0%)
minecraft.crafted.brown_dye: #19, 5(0%)
minecraft.used.deepslate_iron_ore: #19, 1(0%)
minecraft.picked_up.sandstone: #19, 63(0%)
minecraft.picked_up.smooth_stone_slab: #19, 2(0%)
minecraft.mined.stone_brick_slab: #19, 1(0%)
minecraft.mined.white_concrete: #19, 10(0%)
minecraft.dropped.sugar_cane: #19, 1(0%)
minecraft.crafted.white_concrete_powder: #19, 8(0%)
minecraft.custom.play_time: #20, 16135425(2%)
minecraft.custom.total_world_time: #20, 16135425(2%)
minecraft.mined.diamond_ore: #20, 92(2%)
minecraft.mined.deepslate_copper_ore: #20, 21(2%)
minecraft.crafted.diamond_shovel: #20, 2(1%)
minecraft.picked_up.raw_gold: #20, 278(1%)
minecraft.mined.andesite: #20, 2213(1%)
minecraft.crafted.blue_dye: #20, 100(1%)
minecraft.used.white_bed: #20, 27(1%)
minecraft.crafted.dark_oak_planks: #20, 1016(1%)
minecraft.crafted.iron_pickaxe: #20, 5(1%)
minecraft.custom.interact_with_beacon: #20, 6(1%)
minecraft.mined.rose_bush: #20, 2(1%)
minecraft.picked_up.dark_oak_log: #20, 509(1%)
minecraft.dropped.netherite_pickaxe: #20, 1(1%)
minecraft.picked_up.ink_sac: #20, 84(1%)
minecraft.picked_up.ladder: #20, 41(1%)
minecraft.picked_up.copper_ore: #20, 68(1%)
minecraft.mined.amethyst_block: #20, 120(1%)
minecraft.broken.shears: #20, 2(1%)
minecraft.picked_up.amethyst_block: #20, 110(1%)
minecraft.picked_up.ender_pearl: #20, 834(0%)
minecraft.used.rose_bush: #20, 1(1%)
minecraft.custom.animals_bred: #20, 53(0%)
minecraft.mined.lever: #20, 3(0%)
minecraft.dropped.oak_fence: #20, 2(0%)
minecraft.picked_up.glass: #20, 83(0%)
minecraft.dropped.flint: #20, 7(0%)
minecraft.crafted.gray_dye: #20, 28(0%)
minecraft.picked_up.white_banner: #20, 1(0%)
minecraft.crafted.cobbled_deepslate_slab: #20, 6(0%)
minecraft.picked_up.bone_meal: #20, 190(0%)
minecraft.crafted.blaze_powder: #20, 4(0%)
minecraft.dropped.potion: #20, 1(0%)
minecraft.mined.white_wool: #20, 3(0%)
minecraft.crafted.iron_trapdoor: #20, 5(0%)
minecraft.used.cobblestone_wall: #20, 4(0%)
minecraft.used.oak_leaves: #20, 45(0%)
minecraft.crafted.glass_bottle: #20, 21(0%)
minecraft.mined.smooth_sandstone_stairs: #20, 1(0%)
minecraft.mined.sandstone: #20, 59(0%)
minecraft.crafted.hay_block: #20, 3(0%)
minecraft.crafted.brick: #20, 30(0%)
minecraft.dropped.egg: #20, 1(0%)
minecraft.picked_up.white_concrete: #20, 10(0%)
minecraft.picked_up.warped_roots: #20, 1(0%)
minecraft.crafted.sugar: #20, 1(0%)
minecraft.used.smooth_sandstone_stairs: #20, 1(0%)
minecraft.dropped.poppy: #20, 3(0%)
minecraft.used.white_concrete_powder: #20, 8(0%)
minecraft.used.white_concrete: #20, 2(0%)
minecraft.used.pointed_dripstone: #20, 1(0%)
minecraft.custom.interact_with_crafting_table: #21, 891(2%)
minecraft.picked_up.coal: #21, 3142(2%)
minecraft.picked_up.andesite: #21, 2176(1%)
minecraft.crafted.diamond_leggings: #21, 1(1%)
minecraft.mined.dirt: #21, 5375(1%)
minecraft.mined.deepslate_coal_ore: #21, 159(1%)
minecraft.picked_up.stick: #21, 636(1%)
minecraft.picked_up.gravel: #21, 2093(1%)
minecraft.crafted.furnace: #21, 26(1%)
minecraft.used.stone_pickaxe: #21, 97(1%)
minecraft.picked_up.wheat_seeds: #21, 2116(1%)
minecraft.mined.gravel: #21, 1775(1%)
minecraft.picked_up.spider_eye: #21, 42(1%)
minecraft.custom.enchant_item: #21, 17(1%)
minecraft.mined.chest: #21, 46(1%)
minecraft.crafted.stone: #21, 131(1%)
minecraft.crafted.redstone_torch: #21, 140(1%)
minecraft.picked_up.birch_log: #21, 209(1%)
minecraft.picked_up.iron_sword: #21, 1(1%)
minecraft.crafted.minecart: #21, 6(0%)
minecraft.mined.sugar_cane: #21, 250(0%)
minecraft.used.granite: #21, 93(0%)
minecraft.picked_up.obsidian: #21, 139(0%)
minecraft.mined.spruce_fence: #21, 12(0%)
minecraft.crafted.writable_book: #21, 1(0%)
minecraft.crafted.white_dye: #21, 158(0%)
minecraft.dropped.torch: #21, 19(0%)
minecraft.picked_up.spruce_fence: #21, 14(0%)
minecraft.used.ender_pearl: #21, 20(0%)
minecraft.picked_up.netherite_pickaxe: #21, 1(0%)
minecraft.crafted.powered_rail: #21, 18(0%)
minecraft.mined.dark_oak_leaves: #21, 41(0%)
minecraft.picked_up.cobblestone_wall: #21, 3(0%)
minecraft.picked_up.dark_oak_sign: #21, 2(0%)
minecraft.custom.mob_kills: #21, 5276(0%)
minecraft.custom.aviate_one_cm: #21, 8549906(0%)
minecraft.used.nether_wart: #21, 8(0%)
minecraft.dropped.player_head: #21, 4(0%)
minecraft.mined.pointed_dripstone: #21, 7(0%)
minecraft.picked_up.smooth_sandstone_stairs: #21, 1(0%)
minecraft.crafted.cobblestone_stairs: #21, 1(0%)
minecraft.used.dark_oak_sign: #21, 1(0%)
minecraft.used.cauldron: #21, 1(0%)
minecraft.crafted.cauldron: #21, 1(0%)
minecraft.mined.orange_terracotta: #21, 2(0%)
minecraft.crafted.deepslate_bricks: #21, 1(0%)
minecraft.custom.sprint_one_cm: #22, 23775239(2%)
minecraft.custom.open_chest: #22, 6860(2%)
minecraft.used.torch: #22, 3148(2%)
minecraft.custom.interact_with_anvil: #22, 79(2%)
minecraft.mined.coal_ore: #22, 1761(2%)
minecraft.custom.interact_with_furnace: #22, 489(1%)
minecraft.custom.open_shulker_box: #22, 2772(1%)
minecraft.picked_up.granite: #22, 1520(1%)
minecraft.mined.gold_ore: #22, 123(1%)
minecraft.crafted.diamond_sword: #22, 1(1%)
minecraft.picked_up.oak_sapling: #22, 158(1%)
minecraft.mined.wheat: #22, 496(1%)
minecraft.picked_up.leather: #22, 123(1%)
minecraft.picked_up.wheat: #22, 560(1%)
minecraft.custom.open_enderchest: #22, 189(1%)
minecraft.picked_up.sugar_cane: #22, 544(1%)
minecraft.mined.dispenser: #22, 3(0%)
minecraft.mined.lilac: #22, 1(0%)
minecraft.mined.tall_grass: #22, 48(0%)
minecraft.picked_up.quartz: #22, 203(0%)
minecraft.mined.obsidian: #22, 63(0%)
minecraft.crafted.ender_chest: #22, 1(0%)
minecraft.crafted.shears: #22, 7(0%)
minecraft.mined.dandelion: #22, 6(0%)
minecraft.picked_up.lever: #22, 6(0%)
minecraft.picked_up.iron_bars: #22, 7(0%)
minecraft.mined.nether_quartz_ore: #22, 91(0%)
minecraft.mined.redstone_block: #22, 5(0%)
minecraft.killed.squid: #22, 7(0%)
minecraft.crafted.diamond: #22, 27(0%)
minecraft.mined.clay: #22, 16(0%)
minecraft.custom.interact_with_smithing_table: #22, 1(0%)
minecraft.mined.oak_planks: #22, 30(0%)
minecraft.used.coal_ore: #22, 40(0%)
minecraft.used.writable_book: #22, 3(0%)
minecraft.used.obsidian: #22, 60(0%)
minecraft.mined.oak_stairs: #22, 1(0%)
minecraft.killed.witch: #22, 1(0%)
minecraft.crafted.magenta_dye: #22, 2(0%)
minecraft.crafted.dark_oak_trapdoor: #22, 4(0%)
minecraft.picked_up.iron_ingot: #22, 76(0%)
minecraft.picked_up.lilac: #22, 1(0%)
minecraft.used.cobblestone_stairs: #22, 1(0%)
minecraft.picked_up.grass: #22, 1(0%)
minecraft.custom.interact_with_blast_furnace: #22, 1(0%)
minecraft.mined.dripstone_block: #22, 2(0%)
minecraft.crafted.yellow_dye: #22, 1(0%)
minecraft.mined.glow_lichen: #22, 4(0%)
minecraft.crafted.green_dye: #22, 1(0%)
minecraft.used.written_book: #22, 1(0%)
minecraft.used.sandstone: #22, 2(0%)
minecraft.used.white_wool: #22, 1(0%)
minecraft.picked_up.lapis_lazuli: #23, 801(2%)
minecraft.mined.wall_torch: #23, 130(2%)
minecraft.picked_up.diamond: #23, 199(1%)
minecraft.picked_up.dirt: #23, 5870(1%)
minecraft.custom.crouch_one_cm: #23, 1359615(1%)
minecraft.mined.granite: #23, 1616(1%)
minecraft.mined.deepslate_gold_ore: #23, 33(1%)
minecraft.used.dirt: #23, 2996(1%)
minecraft.used.furnace: #23, 22(1%)
minecraft.mined.oak_leaves: #23, 653(1%)
minecraft.mined.copper_ore: #23, 174(1%)
minecraft.crafted.white_bed: #23, 2(0%)
minecraft.crafted.repeater: #23, 24(0%)
minecraft.used.anvil: #23, 5(0%)
minecraft.picked_up.string: #23, 65(0%)
minecraft.used.iron_bars: #23, 19(0%)
minecraft.mined.anvil: #23, 1(0%)
minecraft.crafted.anvil: #23, 4(0%)
minecraft.crafted.copper_ingot: #23, 135(0%)
minecraft.mined.birch_log: #23, 100(0%)
minecraft.mined.spruce_wall_sign: #23, 1(0%)
minecraft.picked_up.dispenser: #23, 2(0%)
minecraft.used.wheat_seeds: #23, 292(0%)
minecraft.picked_up.anvil: #23, 1(0%)
minecraft.picked_up.oak_leaves: #23, 189(0%)
minecraft.dropped.oak_sapling: #23, 2(0%)
minecraft.crafted.paper: #23, 237(0%)
minecraft.crafted.bookshelf: #23, 9(0%)
