stat, rank, value, (percentage) 
minecraft.picked_up.gold_nugget: #5, 1491(0%)
minecraft.picked_up.lime_stained_glass_pane: #5, 1(1%)
minecraft.mined.lime_stained_glass_pane: #5, 1(1%)
minecraft.used.lime_stained_glass_pane: #5, 1(1%)
minecraft.picked_up.nether_brick_fence: #6, 28(5%)
minecraft.picked_up.glowstone_dust: #6, 185(4%)
minecraft.killed.vindicator: #5, 2(0%)
minecraft.crafted.air: #5, 0(0%)
minecraft.used.spruce_door: #6, 25(5%)
minecraft.crafted.chiseled_deepslate: #6, 17(6%)
minecraft.crafted.netherite_pickaxe: #6, 3(7%)
minecraft.used.lightning_rod: #6, 86(4%)
minecraft.killed.squid: #6, 92(3%)
minecraft.picked_up.feather: #6, 65(3%)
minecraft.crafted.lightning_rod: #6, 73(4%)
minecraft.picked_up.iron_trapdoor: #6, 41(4%)
minecraft.picked_up.nether_bricks: #6, 268(4%)
minecraft.mined.nether_bricks: #6, 269(4%)
minecraft.picked_up.red_dye: #6, 33(6%)
minecraft.killed.cave_spider: #6, 274(3%)
minecraft.killed.chicken: #6, 36(3%)
minecraft.picked_up.nether_wart_block: #6, 166(2%)
minecraft.crafted.stone_sword: #6, 2(3%)
minecraft.custom.enchant_item: #7, 158(6%)
minecraft.used.black_carpet: #6, 154(5%)
minecraft.crafted.fishing_rod: #6, 1(4%)
minecraft.used.crimson_nylium: #6, 21(3%)
minecraft.mined.horn_coral_block: #6, 80(4%)
minecraft.crafted.gray_shulker_box: #6, 1(4%)
minecraft.used.purpur_block: #6, 30(2%)
minecraft.mined.red_shulker_box: #7, 134(6%)
minecraft.picked_up.red_shulker_box: #7, 134(6%)
minecraft.picked_up.chiseled_deepslate: #6, 17(2%)
minecraft.crafted.black_carpet: #6, 144(3%)
minecraft.dropped.weeping_vines: #6, 1(4%)
minecraft.crafted.heavy_weighted_pressure_plate: #6, 3(2%)
minecraft.picked_up.string: #7, 936(5%)
minecraft.used.nether_brick_stairs: #6, 6(3%)
minecraft.dropped.brown_mushroom: #6, 3(1%)
minecraft.crafted.crossbow: #6, 1(2%)
minecraft.used.weeping_vines: #6, 19(1%)
minecraft.used.nether_brick_wall: #6, 3(2%)
minecraft.mined.polished_deepslate: #7, 281(4%)
minecraft.crafted.nether_brick_wall: #6, 5(2%)
minecraft.picked_up.petrified_oak_slab: #6, 2(1%)
minecraft.used.wheat: #6, 1(1%)
minecraft.used.soul_torch: #6, 2(1%)
minecraft.used.end_stone_bricks: #6, 7(1%)
minecraft.picked_up.deepslate_tile_slab: #7, 261(4%)
minecraft.mined.petrified_oak_slab: #6, 1(1%)
minecraft.mined.nether_brick_fence: #7, 27(5%)
minecraft.dropped.emerald_block: #6, 1(0%)
minecraft.custom.interact_with_stonecutter: #7, 227(4%)
minecraft.used.deepslate_tile_stairs: #7, 668(4%)
minecraft.picked_up.redstone_block: #7, 175(4%)
minecraft.picked_up.spruce_door: #7, 17(5%)
minecraft.crafted.coal_block: #7, 481(3%)
minecraft.mined.purpur_stairs: #7, 12(6%)
minecraft.mined.infested_stone: #7, 20(5%)
minecraft.mined.iron_trapdoor: #7, 37(4%)
minecraft.mined.weeping_vines_plant: #7, 13(4%)
minecraft.picked_up.ink_sac: #7, 330(3%)
minecraft.picked_up.stone_pressure_plate: #7, 12(4%)
minecraft.crafted.blackstone_stairs: #7, 15(6%)
minecraft.mined.nether_wart_block: #7, 168(2%)
minecraft.picked_up.deepslate_brick_wall: #7, 16(4%)
minecraft.killed.ghast: #7, 14(3%)
minecraft.used.iron_trapdoor: #7, 99(3%)
minecraft.crafted.iron_trapdoor: #7, 66(2%)
minecraft.custom.interact_with_blast_furnace: #8, 191(6%)
minecraft.crafted.deepslate_brick_wall: #7, 15(3%)
minecraft.picked_up.cobblestone: #8, 39580(5%)
minecraft.used.cobbled_deepslate_stairs: #7, 52(2%)
minecraft.used.polished_blackstone_bricks: #7, 252(2%)
minecraft.used.lava_bucket: #7, 169(1%)
minecraft.picked_up.copper_ingot: #7, 320(1%)
minecraft.used.shield: #7, 72(1%)
minecraft.mined.black_carpet: #7, 7(2%)
minecraft.picked_up.polished_blackstone_bricks: #7, 36(2%)
minecraft.picked_up.black_carpet: #7, 11(2%)
minecraft.crafted.cooked_beef: #8, 404(5%)
minecraft.dropped.bread: #7, 74(1%)
minecraft.crafted.cracked_deepslate_bricks: #7, 64(2%)
minecraft.used.crimson_fungus: #7, 2(1%)
minecraft.picked_up.black_concrete_powder: #7, 114(1%)
minecraft.mined.nether_brick_stairs: #7, 2(2%)
minecraft.picked_up.nether_brick_stairs: #7, 2(2%)
minecraft.used.golden_apple: #7, 1(2%)
minecraft.crafted.beacon: #7, 1(1%)
minecraft.picked_up.polished_blackstone_brick_slab: #7, 17(1%)
minecraft.picked_up.blackstone: #8, 2255(4%)
minecraft.used.gray_stained_glass: #7, 87(1%)
minecraft.mined.gray_stained_glass: #7, 5(0%)
minecraft.mined.turtle_egg: #7, 7(1%)
minecraft.picked_up.turtle_egg: #7, 7(1%)
minecraft.dropped.sugar: #7, 38(0%)
minecraft.used.petrified_oak_slab: #7, 1(0%)
minecraft.picked_up.filled_map: #8, 38(4%)
minecraft.picked_up.polished_deepslate: #8, 279(3%)
minecraft.mined.deepslate_tile_slab: #8, 156(4%)
minecraft.used.iron_hoe: #8, 245(5%)
minecraft.mined.lightning_rod: #8, 28(4%)
minecraft.picked_up.salmon: #8, 18(4%)
minecraft.used.redstone_lamp: #8, 70(3%)
minecraft.mined.weeping_vines: #8, 11(4%)
minecraft.picked_up.deepslate_tile_stairs: #8, 120(3%)
minecraft.mined.cobbled_deepslate: #8, 147(2%)
minecraft.mined.deepslate_tile_stairs: #8, 102(3%)
minecraft.crafted.stone_pickaxe: #8, 4(2%)
minecraft.picked_up.powder_snow_bucket: #8, 2(4%)
minecraft.crafted.spruce_door: #8, 12(3%)
minecraft.used.cobbled_deepslate_wall: #8, 115(3%)
minecraft.mined.end_rod: #8, 95(3%)
minecraft.used.map: #8, 6(3%)
minecraft.picked_up.lapis_block: #8, 23(3%)
minecraft.crafted.cauldron: #8, 70(2%)
minecraft.mined.oak_button: #8, 1(4%)
minecraft.picked_up.crimson_roots: #8, 39(2%)
minecraft.dropped.porkchop: #8, 6(3%)
minecraft.dropped.magma_block: #8, 9(2%)
minecraft.mined.cobbled_deepslate_stairs: #8, 5(2%)
minecraft.crafted.black_shulker_box: #8, 1(2%)
minecraft.custom.damage_blocked_by_shield: #8, 2950(1%)
minecraft.used.emerald_ore: #8, 1(2%)
minecraft.mined.polished_blackstone_bricks: #8, 15(1%)
minecraft.crafted.quartz_stairs: #8, 8(1%)
minecraft.dropped.golden_carrot: #9, 269(5%)
minecraft.picked_up.basalt: #9, 3669(5%)
minecraft.mined.chiseled_deepslate: #8, 7(1%)
minecraft.picked_up.cobbled_deepslate_stairs: #8, 5(1%)
minecraft.crafted.gold_block: #8, 46(0%)
minecraft.crafted.glowstone: #8, 44(0%)
minecraft.picked_up.brown_wool: #8, 6(0%)
minecraft.crafted.red_wool: #8, 3(0%)
minecraft.custom.fish_caught: #8, 2(0%)
minecraft.mined.horn_coral: #8, 1(0%)
