stat, rank, value, (percentage) 
minecraft.picked_up.diamond_helmet: #23, 1(0%)
minecraft.crafted.observer: #23, 16(0%)
minecraft.dropped.sand: #23, 32(0%)
minecraft.used.beacon: #23, 1(0%)
minecraft.picked_up.obsidian: #23, 70(0%)
minecraft.crafted.item_frame: #23, 10(0%)
minecraft.used.dispenser: #23, 4(0%)
minecraft.used.andesite: #23, 76(0%)
minecraft.picked_up.oak_planks: #23, 27(0%)
minecraft.picked_up.oak_boat: #23, 2(0%)
minecraft.mined.oak_planks: #23, 24(0%)
minecraft.picked_up.enchanted_book: #23, 1(0%)
minecraft.crafted.dark_oak_planks: #23, 148(0%)
minecraft.picked_up.cactus: #23, 34(0%)
minecraft.dropped.dirt: #23, 69(0%)
minecraft.picked_up.dark_oak_log: #23, 100(0%)
minecraft.mined.dark_oak_log: #23, 82(0%)
minecraft.crafted.oak_sign: #23, 3(0%)
minecraft.picked_up.dark_oak_sapling: #23, 8(0%)
minecraft.mined.iron_bars: #23, 1(0%)
minecraft.dropped.stone: #23, 171(0%)
minecraft.used.obsidian: #23, 37(0%)
minecraft.picked_up.hopper: #23, 5(0%)
minecraft.used.cobblestone_slab: #23, 6(0%)
minecraft.picked_up.dark_oak_sign: #23, 1(0%)
minecraft.picked_up.iron_ingot: #23, 71(0%)
minecraft.mined.birch_planks: #23, 1(0%)
minecraft.used.writable_book: #23, 1(0%)
minecraft.picked_up.bucket: #23, 1(0%)
minecraft.crafted.composter: #23, 1(0%)
minecraft.used.spruce_stairs: #23, 5(0%)
minecraft.dropped.cobbled_deepslate: #23, 4(0%)
minecraft.picked_up.diamond_ore: #23, 1(0%)
minecraft.used.composter: #23, 1(0%)
minecraft.mined.amethyst_block: #23, 7(0%)
minecraft.picked_up.hay_block: #23, 1(0%)
minecraft.mined.calcite: #23, 8(0%)
minecraft.picked_up.calcite: #23, 8(0%)
minecraft.dropped.bone: #23, 6(0%)
minecraft.custom.talked_to_villager: #23, 8(0%)
minecraft.dropped.iron_ingot: #23, 1(0%)
minecraft.dropped.spider_eye: #23, 1(0%)
minecraft.picked_up.warped_wart_block: #23, 1(0%)
minecraft.custom.traded_with_villager: #23, 6(0%)
minecraft.custom.sprint_one_cm: #24, 17162838(1%)
minecraft.used.torch: #24, 2772(2%)
minecraft.mined.wall_torch: #24, 92(1%)
minecraft.used.diamond_shovel: #24, 13260(1%)
minecraft.mined.gold_ore: #24, 117(1%)
minecraft.picked_up.raw_gold: #24, 210(1%)
minecraft.picked_up.diamond: #24, 136(1%)
minecraft.used.diamond_pickaxe: #24, 29101(1%)
minecraft.used.bucket: #24, 321(1%)
minecraft.custom.damage_taken: #24, 20979(0%)
minecraft.picked_up.copper_ore: #24, 53(0%)
minecraft.picked_up.bow: #24, 11(0%)
minecraft.used.chest: #24, 85(0%)
minecraft.picked_up.item_frame: #24, 9(0%)
minecraft.used.diamond_axe: #24, 1150(0%)
minecraft.mined.kelp_plant: #24, 11(0%)
minecraft.picked_up.redstone_torch: #24, 9(0%)
minecraft.picked_up.diamond_boots: #24, 1(0%)
minecraft.used.barrel: #24, 8(0%)
minecraft.dropped.oak_planks: #24, 3(0%)
minecraft.picked_up.diamond_axe: #24, 1(0%)
minecraft.picked_up.lead: #24, 4(0%)
minecraft.mined.shulker_box: #24, 35(0%)
minecraft.picked_up.shulker_box: #24, 36(0%)
minecraft.dropped.torch: #24, 8(0%)
minecraft.used.shulker_box: #24, 35(0%)
minecraft.used.stone: #24, 596(0%)
minecraft.picked_up.elytra: #24, 1(0%)
minecraft.mined.dirt_path: #24, 10(0%)
minecraft.mined.ladder: #24, 1(0%)
minecraft.dropped.coal: #24, 3(0%)
minecraft.crafted.glass: #24, 238(0%)
minecraft.crafted.shears: #24, 2(0%)
minecraft.killed.slime: #24, 8(0%)
minecraft.used.spruce_slab: #24, 15(0%)
minecraft.mined.ender_chest: #24, 4(0%)
minecraft.picked_up.ladder: #24, 5(0%)
minecraft.dropped.stick: #24, 10(0%)
minecraft.picked_up.white_wool: #24, 8(0%)
minecraft.crafted.barrel: #24, 2(0%)
minecraft.mined.glass: #24, 6(0%)
minecraft.picked_up.paper: #24, 3(0%)
minecraft.mined.spruce_stairs: #24, 1(0%)
minecraft.used.coal_ore: #24, 8(0%)
minecraft.picked_up.iron_bars: #24, 1(0%)
minecraft.picked_up.glow_berries: #24, 3(0%)
minecraft.mined.carrots: #24, 7(0%)
minecraft.picked_up.spruce_stairs: #24, 1(0%)
minecraft.dropped.redstone: #24, 1(0%)
minecraft.mined.spruce_slab: #24, 1(0%)
minecraft.picked_up.bone_meal: #24, 25(0%)
minecraft.picked_up.baked_potato: #24, 2(0%)
minecraft.used.stone_button: #24, 2(0%)
minecraft.mined.sandstone: #24, 4(0%)
minecraft.crafted.stone_button: #24, 1(0%)
minecraft.custom.walk_on_water_one_cm: #25, 489246(1%)
minecraft.custom.interact_with_crafting_table: #25, 523(1%)
minecraft.custom.open_chest: #25, 4256(1%)
minecraft.custom.drop: #25, 918(1%)
minecraft.mined.crafting_table: #25, 29(1%)
minecraft.crafted.torch: #25, 1252(1%)
minecraft.used.crafting_table: #25, 34(1%)
minecraft.picked_up.crafting_table: #25, 29(1%)
minecraft.custom.sleep_in_bed: #25, 92(1%)
minecraft.mined.dirt: #25, 2338(1%)
minecraft.used.furnace: #25, 14(1%)
minecraft.used.water_bucket: #25, 133(0%)
minecraft.crafted.crafting_table: #25, 7(0%)
minecraft.mined.grass: #25, 197(0%)
minecraft.picked_up.oak_sapling: #25, 70(0%)
minecraft.crafted.furnace: #25, 10(0%)
minecraft.used.player_head: #25, 3(0%)
minecraft.crafted.chest: #25, 84(0%)
minecraft.picked_up.iron_ore: #25, 65(0%)
minecraft.mined.dandelion: #25, 5(0%)
minecraft.mined.tall_seagrass: #25, 4(0%)
minecraft.picked_up.stone: #25, 1958(0%)
minecraft.picked_up.oak_sign: #25, 1(0%)
minecraft.used.ender_chest: #25, 5(0%)
minecraft.picked_up.birch_sapling: #25, 8(0%)
minecraft.custom.inspect_hopper: #25, 18(0%)
minecraft.used.bone_meal: #25, 99(0%)
minecraft.picked_up.ender_chest: #25, 4(0%)
minecraft.used.shears: #25, 63(0%)
minecraft.crafted.white_dye: #25, 23(0%)
minecraft.used.oak_sign: #25, 1(0%)
minecraft.mined.kelp: #25, 2(0%)
minecraft.picked_up.slime_ball: #25, 11(0%)
minecraft.used.carrot: #25, 10(0%)
minecraft.used.hopper: #25, 6(0%)
minecraft.crafted.birch_planks: #25, 28(0%)
minecraft.picked_up.carrot: #25, 30(0%)
minecraft.picked_up.cod: #25, 3(0%)
minecraft.crafted.bone_meal: #25, 144(0%)
minecraft.picked_up.spruce_slab: #25, 1(0%)
minecraft.used.grass_block: #25, 26(0%)
minecraft.picked_up.glass: #25, 4(0%)
minecraft.mined.tall_grass: #25, 1(0%)
minecraft.used.golden_carrot: #25, 2(0%)
minecraft.custom.walk_under_water_one_cm: #26, 458235(0%)
minecraft.used.dirt: #26, 1358(0%)
minecraft.crafted.stick: #26, 908(0%)
minecraft.picked_up.diamond_pickaxe: #26, 2(0%)
minecraft.crafted.oak_planks: #26, 332(0%)
minecraft.picked_up.stick: #26, 99(0%)
minecraft.used.flint_and_steel: #26, 9(0%)
minecraft.mined.oak_log: #26, 81(0%)
minecraft.picked_up.oak_log: #26, 81(0%)
minecraft.picked_up.kelp: #26, 40(0%)
minecraft.crafted.oak_slab: #26, 12(0%)
minecraft.used.glow_ink_sac: #26, 1(0%)
minecraft.mined.rail: #26, 7(0%)
minecraft.mined.oak_leaves: #26, 40(0%)
minecraft.mined.birch_log: #26, 11(0%)
minecraft.picked_up.birch_log: #26, 11(0%)
minecraft.picked_up.carved_pumpkin: #26, 1(0%)
minecraft.crafted.hopper: #26, 2(0%)
minecraft.picked_up.cooked_beef: #26, 2(0%)
minecraft.picked_up.potato: #27, 4(0%)
minecraft.custom.time_since_rest: #30, 115310(0%)
minecraft.custom.fly_one_cm: #31, 13012231(1%)
minecraft.custom.play_time: #35, 6829559(1%)
minecraft.custom.total_world_time: #35, 6829559(1%)
