stat, rank, value, (percentage) 
minecraft.used.cobblestone_stairs: #4, 133(5%)
minecraft.crafted.loom: #4, 19(8%)
minecraft.mined.small_dripleaf: #4, 3(10%)
minecraft.used.azalea: #4, 251(5%)
minecraft.picked_up.sandstone: #5, 10632(9%)
minecraft.dropped.green_stained_glass: #3, 1(2%)
minecraft.picked_up.spruce_slab: #5, 544(8%)
minecraft.dropped.acacia_sapling: #3, 9(2%)
minecraft.dropped.birch_leaves: #4, 64(9%)
minecraft.picked_up.pink_candle: #3, 3(2%)
minecraft.picked_up.scaffolding: #5, 8843(8%)
minecraft.picked_up.magenta_terracotta: #3, 9(2%)
minecraft.picked_up.birch_sapling: #5, 695(8%)
minecraft.crafted.light_blue_bed: #3, 1(2%)
minecraft.crafted.yellow_glazed_terracotta: #3, 4(1%)
minecraft.crafted.pink_stained_glass: #4, 124(10%)
minecraft.used.netherite_hoe: #4, 7442(14%)
minecraft.dropped.flowering_azalea: #4, 24(7%)
minecraft.mined.dark_oak_fence: #4, 44(5%)
minecraft.dropped.dark_oak_fence: #4, 13(12%)
minecraft.used.dragon_egg: #4, 5(7%)
minecraft.broken.shears: #5, 27(8%)
minecraft.used.scaffolding: #5, 8479(8%)
minecraft.crafted.birch_planks: #5, 6472(7%)
minecraft.crafted.yellow_bed: #4, 3(10%)
minecraft.used.orange_wool: #4, 113(11%)
minecraft.picked_up.white_stained_glass: #5, 186(11%)
minecraft.picked_up.netherite_chestplate: #4, 1(14%)
minecraft.picked_up.orange_shulker_box: #4, 94(7%)
minecraft.dropped.gold_ingot: #4, 128(5%)
minecraft.used.pumpkin_pie: #4, 44(8%)
minecraft.picked_up.dragon_egg: #4, 5(6%)
minecraft.killed.cow: #5, 483(7%)
minecraft.mined.orange_shulker_box: #4, 94(8%)
minecraft.mined.diorite_wall: #4, 8(12%)
minecraft.picked_up.jungle_sapling: #4, 99(4%)
minecraft.mined.green_wool: #4, 9(7%)
minecraft.mined.lime_terracotta: #4, 12(8%)
minecraft.used.stripped_jungle_wood: #4, 15(9%)
minecraft.picked_up.glow_berries: #5, 524(7%)
minecraft.mined.birch_trapdoor: #4, 13(5%)
minecraft.crafted.jungle_planks: #4, 2592(4%)
minecraft.mined.rose_bush: #5, 13(7%)
minecraft.used.sandstone: #5, 1879(7%)
minecraft.dropped.deepslate_iron_ore: #4, 4(10%)
minecraft.used.diamond_ore: #5, 112(7%)
minecraft.picked_up.prismarine: #4, 284(4%)
minecraft.picked_up.green_stained_glass_pane: #4, 22(8%)
minecraft.crafted.sandstone_stairs: #4, 44(9%)
minecraft.crafted.birch_slab: #5, 672(7%)
minecraft.picked_up.birch_trapdoor: #4, 15(3%)
minecraft.mined.spruce_sapling: #5, 23(7%)
minecraft.used.lime_dye: #4, 2(7%)
minecraft.mined.yellow_concrete_powder: #4, 1(11%)
minecraft.crafted.green_terracotta: #4, 600(4%)
minecraft.crafted.crossbow: #4, 3(6%)
minecraft.mined.deepslate_gold_ore: #5, 177(5%)
minecraft.picked_up.yellow_concrete_powder: #4, 1(10%)
minecraft.mined.white_stained_glass_pane: #5, 28(9%)
minecraft.picked_up.yellow_stained_glass: #4, 17(5%)
minecraft.mined.raw_gold_block: #4, 3(5%)
minecraft.used.mushroom_stem: #4, 62(3%)
minecraft.used.granite_stairs: #4, 39(4%)
minecraft.mined.melon: #4, 52(2%)
minecraft.dropped.rail: #5, 44(6%)
minecraft.mined.magenta_wool: #4, 1(7%)
minecraft.crafted.cobblestone_stairs: #5, 148(6%)
minecraft.used.birch_trapdoor: #4, 55(2%)
minecraft.picked_up.gilded_blackstone: #4, 16(6%)
minecraft.used.diorite_wall: #5, 33(11%)
minecraft.used.jungle_log: #5, 299(6%)
minecraft.mined.warped_fungus: #5, 34(6%)
minecraft.used.deepslate_copper_ore: #5, 20(10%)
minecraft.dropped.green_wool: #4, 64(3%)
minecraft.picked_up.snow_block: #4, 256(1%)
minecraft.used.gilded_blackstone: #4, 6(5%)
minecraft.mined.crimson_fungus: #5, 20(6%)
minecraft.crafted.green_stained_glass_pane: #4, 64(3%)
minecraft.used.wither_rose: #4, 23(2%)
minecraft.picked_up.stripped_jungle_log: #5, 54(9%)
minecraft.picked_up.white_tulip: #4, 38(1%)
minecraft.broken.iron_sword: #5, 3(9%)
minecraft.picked_up.yellow_bed: #5, 16(6%)
minecraft.mined.stripped_jungle_log: #5, 55(9%)
minecraft.mined.red_wool: #5, 388(7%)
minecraft.used.quartz_pillar: #4, 18(2%)
minecraft.mined.azure_bluet: #5, 38(6%)
minecraft.used.warped_nylium: #5, 33(8%)
minecraft.mined.light_blue_terracotta: #4, 2(1%)
minecraft.dropped.blue_orchid: #4, 1(2%)
minecraft.dropped.lapis_block: #4, 2(2%)
minecraft.custom.raid_trigger: #4, 1(1%)
minecraft.picked_up.netherite_boots: #5, 10(7%)
minecraft.mined.cyan_stained_glass: #4, 2(1%)
minecraft.used.lime_stained_glass: #4, 91(0%)
minecraft.mined.yellow_bed: #5, 15(6%)
minecraft.picked_up.light_blue_terracotta: #4, 2(0%)
minecraft.dropped.birch_log: #5, 76(6%)
minecraft.used.purple_stained_glass: #4, 5(0%)
minecraft.used.lapis_block: #4, 1(0%)
minecraft.crafted.andesite: #4, 30(0%)
minecraft.killed.vindicator: #4, 4(0%)
minecraft.custom.climb_one_cm: #6, 3190928(7%)
