stat, rank, value, (percentage) 
minecraft.mined.soul_sand: #11, 252(3%)
minecraft.picked_up.spruce_fence: #11, 107(3%)
minecraft.used.soul_sand: #11, 128(2%)
minecraft.mined.clay: #11, 146(2%)
minecraft.crafted.iron_chestplate: #11, 2(2%)
minecraft.picked_up.dark_oak_sapling: #11, 146(2%)
minecraft.mined.observer: #11, 52(2%)
minecraft.dropped.lead: #11, 4(2%)
minecraft.picked_up.lever: #11, 43(2%)
minecraft.used.wheat_seeds: #11, 2327(2%)
minecraft.crafted.cobblestone_slab: #11, 164(2%)
minecraft.used.iron_ore: #11, 319(2%)
minecraft.picked_up.grass: #11, 52(2%)
minecraft.mined.weeping_vines_plant: #11, 7(2%)
minecraft.picked_up.nether_quartz_ore: #11, 166(2%)
minecraft.picked_up.warped_roots: #11, 75(2%)
minecraft.picked_up.cobweb: #11, 51(2%)
minecraft.picked_up.iron_trapdoor: #11, 17(2%)
minecraft.dropped.netherrack: #11, 2327(1%)
minecraft.broken.iron_shovel: #11, 5(2%)
minecraft.crafted.polished_basalt: #11, 220(2%)
minecraft.crafted.hopper_minecart: #11, 8(2%)
minecraft.mined.cobblestone_wall: #11, 18(1%)
minecraft.crafted.netherite_pickaxe: #11, 1(2%)
minecraft.picked_up.diamond_block: #11, 18(1%)
minecraft.picked_up.gray_carpet: #11, 18(2%)
minecraft.used.hopper_minecart: #11, 7(1%)
minecraft.used.warped_trapdoor: #11, 18(2%)
minecraft.mined.white_shulker_box: #11, 31(1%)
minecraft.picked_up.white_banner: #11, 5(1%)
minecraft.picked_up.white_dye: #11, 22(1%)
minecraft.crafted.warped_trapdoor: #11, 18(2%)
minecraft.used.white_dye: #11, 7(1%)
minecraft.used.netherite_pickaxe: #11, 34432(1%)
minecraft.mined.spruce_button: #11, 1(1%)
minecraft.mined.hay_block: #11, 23(1%)
minecraft.mined.cut_copper_slab: #11, 3(1%)
minecraft.picked_up.yellow_terracotta: #11, 4(1%)
minecraft.picked_up.twisting_vines: #11, 47(1%)
minecraft.crafted.stone_brick_wall: #11, 12(1%)
minecraft.custom.bell_ring: #11, 8(1%)
minecraft.used.sandstone_slab: #11, 22(1%)
minecraft.picked_up.netherite_helmet: #11, 1(1%)
minecraft.dropped.glass: #11, 48(1%)
minecraft.used.cocoa_beans: #11, 40(1%)
minecraft.used.bee_nest: #11, 1(1%)
minecraft.crafted.jack_o_lantern: #11, 17(1%)
minecraft.dropped.glow_berries: #11, 1(1%)
minecraft.crafted.lime_dye: #11, 38(1%)
minecraft.picked_up.cut_copper_slab: #11, 3(1%)
minecraft.used.cornflower: #11, 1(1%)
minecraft.picked_up.ghast_tear: #11, 3(1%)
minecraft.picked_up.nether_star: #11, 1(1%)
minecraft.crafted.stone_button: #11, 114(0%)
minecraft.crafted.red_stained_glass: #11, 24(1%)
minecraft.dropped.calcite: #11, 3(0%)
minecraft.used.smooth_sandstone_slab: #11, 33(0%)
minecraft.dropped.spruce_sapling: #11, 3(0%)
minecraft.mined.pumpkin_stem: #11, 3(0%)
minecraft.used.yellow_terracotta: #11, 8(0%)
minecraft.mined.jack_o_lantern: #11, 2(0%)
minecraft.picked_up.blue_orchid: #11, 3(0%)
minecraft.picked_up.jungle_fence: #11, 2(0%)
minecraft.mined.red_concrete: #11, 40(0%)
minecraft.picked_up.jack_o_lantern: #11, 2(0%)
minecraft.used.crimson_stem: #11, 5(0%)
minecraft.used.smooth_sandstone_stairs: #11, 22(0%)
minecraft.crafted.red_terracotta: #11, 8(0%)
minecraft.picked_up.oak_log: #12, 3134(4%)
minecraft.used.smooth_quartz_slab: #11, 20(0%)
minecraft.crafted.light_gray_wool: #11, 6(0%)
minecraft.mined.magenta_stained_glass: #11, 1(0%)
minecraft.mined.stripped_spruce_wood: #11, 1(0%)
minecraft.used.cyan_stained_glass: #11, 3(0%)
minecraft.crafted.apple: #11, 4(0%)
minecraft.mined.gray_stained_glass: #11, 1(0%)
minecraft.mined.brain_coral_wall_fan: #11, 1(0%)
minecraft.picked_up.brain_coral_fan: #11, 1(0%)
minecraft.dropped.warped_wart_block: #11, 1(0%)
minecraft.used.dirt: #12, 10911(3%)
minecraft.picked_up.diamond_helmet: #12, 11(4%)
minecraft.picked_up.crafting_table: #12, 108(3%)
minecraft.picked_up.spruce_sapling: #12, 430(3%)
minecraft.mined.sticky_piston: #12, 28(3%)
minecraft.used.bone_meal: #12, 2926(2%)
minecraft.picked_up.firework_rocket: #12, 970(2%)
minecraft.used.iron_pickaxe: #12, 2553(2%)
minecraft.used.diorite: #12, 208(2%)
minecraft.dropped.dirt: #12, 942(2%)
minecraft.picked_up.shroomlight: #12, 94(2%)
minecraft.crafted.dark_oak_sign: #12, 51(2%)
minecraft.used.pumpkin: #12, 55(2%)
minecraft.custom.leave_game: #13, 439(3%)
minecraft.picked_up.deepslate_coal_ore: #12, 80(2%)
minecraft.crafted.diamond_block: #12, 32(2%)
minecraft.crafted.spruce_door: #12, 9(2%)
minecraft.picked_up.diamond_hoe: #12, 4(2%)
minecraft.dropped.firework_rocket: #12, 207(2%)
minecraft.used.iron_shovel: #12, 1463(2%)
minecraft.custom.sprint_one_cm: #13, 45351175(4%)
minecraft.crafted.pink_dye: #12, 31(2%)
minecraft.used.potato: #12, 222(2%)
minecraft.crafted.powered_rail: #12, 120(2%)
minecraft.picked_up.stone_pickaxe: #12, 1(2%)
minecraft.dropped.netherite_pickaxe: #12, 2(2%)
minecraft.picked_up.shears: #12, 9(2%)
minecraft.picked_up.soul_sand: #12, 240(1%)
minecraft.crafted.yellow_dye: #12, 95(2%)
minecraft.used.polished_andesite: #12, 140(2%)
minecraft.used.amethyst_block: #12, 110(1%)
minecraft.used.iron_trapdoor: #12, 56(1%)
minecraft.crafted.deepslate_brick_slab: #12, 18(2%)
minecraft.mined.dark_oak_wall_sign: #12, 7(1%)
minecraft.dropped.sandstone: #12, 64(2%)
minecraft.dropped.oak_fence: #12, 6(1%)
minecraft.mined.iron_trapdoor: #12, 15(1%)
minecraft.dropped.diamond_helmet: #12, 1(2%)
minecraft.picked_up.cobblestone_wall: #12, 18(1%)
minecraft.picked_up.white_shulker_box: #12, 32(2%)
minecraft.used.white_shulker_box: #12, 32(1%)
minecraft.used.diamond_boots: #12, 1(2%)
minecraft.killed.silverfish: #12, 6(1%)
minecraft.mined.weeping_vines: #12, 3(1%)
minecraft.mined.birch_sapling: #12, 2(1%)
minecraft.picked_up.pumpkin: #12, 118(1%)
minecraft.picked_up.crimson_roots: #12, 20(1%)
minecraft.dropped.stone_axe: #12, 1(1%)
minecraft.mined.warped_trapdoor: #12, 2(1%)
minecraft.crafted.sugar: #12, 65(1%)
minecraft.used.sweet_berries: #12, 13(1%)
minecraft.used.pumpkin_seeds: #12, 15(1%)
minecraft.dropped.egg: #12, 22(1%)
minecraft.mined.cyan_terracotta: #12, 14(1%)
minecraft.used.written_book: #12, 56(1%)
minecraft.crafted.slime_ball: #12, 45(1%)
minecraft.picked_up.cocoa_beans: #12, 61(1%)
minecraft.mined.sandstone_slab: #12, 4(1%)
minecraft.picked_up.oxeye_daisy: #12, 13(1%)
minecraft.mined.red_mushroom: #12, 1(1%)
minecraft.crafted.leather_boots: #12, 2(1%)
minecraft.picked_up.warped_trapdoor: #12, 2(1%)
minecraft.picked_up.lapis_block: #12, 5(1%)
minecraft.picked_up.polished_diorite: #12, 9(0%)
minecraft.crafted.white_shulker_box: #12, 1(1%)
minecraft.mined.soul_lantern: #12, 2(1%)
minecraft.used.stripped_oak_log: #12, 10(0%)
minecraft.dropped.amethyst_shard: #12, 2(0%)
minecraft.picked_up.nautilus_shell: #12, 1(1%)
minecraft.dropped.spruce_trapdoor: #12, 2(0%)
minecraft.picked_up.soul_lantern: #12, 2(0%)
minecraft.picked_up.light_blue_wool: #12, 8(0%)
minecraft.used.jack_o_lantern: #12, 7(0%)
minecraft.picked_up.red_concrete: #12, 40(0%)
minecraft.picked_up.cauldron: #12, 4(0%)
minecraft.dropped.snowball: #12, 16(0%)
minecraft.crafted.polished_blackstone: #12, 52(0%)
minecraft.picked_up.cooked_chicken: #12, 3(0%)
minecraft.used.stripped_dark_oak_log: #12, 4(0%)
minecraft.crafted.light_blue_stained_glass: #12, 16(0%)
minecraft.crafted.mossy_stone_bricks: #12, 32(0%)
minecraft.mined.beehive: #12, 1(0%)
minecraft.used.light_blue_stained_glass: #12, 7(0%)
minecraft.mined.horn_coral_wall_fan: #12, 1(0%)
minecraft.dropped.potato: #12, 22(0%)
minecraft.mined.brain_coral_block: #12, 2(0%)
minecraft.picked_up.dirt: #13, 16941(3%)
minecraft.mined.redstone_ore: #13, 761(3%)
minecraft.picked_up.water_bucket: #13, 12(3%)
minecraft.mined.player_head: #13, 11(3%)
minecraft.used.stone_axe: #13, 135(2%)
minecraft.picked_up.wheat_seeds: #13, 5801(2%)
minecraft.dropped.diorite: #13, 483(2%)
minecraft.mined.wheat: #13, 1654(2%)
minecraft.crafted.diamond_sword: #13, 2(2%)
minecraft.killed.husk: #13, 4(2%)
minecraft.crafted.scaffolding: #13, 324(2%)
minecraft.crafted.diamond_chestplate: #13, 1(2%)
minecraft.used.spruce_fence_gate: #13, 42(2%)
minecraft.crafted.polished_deepslate: #13, 712(2%)
minecraft.picked_up.dark_oak_sign: #13, 22(2%)
minecraft.used.dark_oak_sign: #13, 48(2%)
minecraft.crafted.oak_trapdoor: #13, 56(2%)
minecraft.mined.glass: #13, 168(2%)
minecraft.picked_up.observer: #13, 52(1%)
minecraft.picked_up.glow_item_frame: #13, 3(2%)
minecraft.mined.spruce_trapdoor: #13, 54(1%)
minecraft.mined.birch_wall_sign: #13, 6(2%)
minecraft.picked_up.stone_axe: #13, 1(2%)
minecraft.crafted.spruce_fence_gate: #13, 32(2%)
minecraft.mined.seagrass: #13, 71(1%)
minecraft.picked_up.deepslate_copper_ore: #13, 7(2%)
minecraft.picked_up.weeping_vines: #13, 12(1%)
minecraft.crafted.red_shulker_box: #13, 1(1%)
minecraft.mined.redstone_block: #13, 19(1%)
minecraft.dropped.iron_pickaxe: #13, 1(2%)
minecraft.crafted.iron_shovel: #13, 6(1%)
minecraft.used.white_stained_glass_pane: #13, 42(1%)
minecraft.used.apple: #13, 4(1%)
minecraft.dropped.flint: #13, 25(1%)
minecraft.mined.dropper: #13, 7(1%)
minecraft.crafted.iron_trapdoor: #13, 33(1%)
minecraft.used.white_wool: #13, 131(1%)
minecraft.crafted.white_carpet: #13, 57(1%)
minecraft.crafted.netherite_scrap: #13, 12(1%)
minecraft.killed.cod: #13, 12(1%)
minecraft.custom.minecart_one_cm: #13, 110697(1%)
minecraft.dropped.oak_slab: #13, 4(1%)
minecraft.picked_up.netherite_leggings: #13, 1(1%)
minecraft.dropped.magma_cream: #13, 5(1%)
minecraft.picked_up.netherite_shovel: #13, 1(1%)
minecraft.mined.carved_pumpkin: #13, 18(1%)
minecraft.picked_up.netherite_sword: #13, 1(1%)
minecraft.mined.fern: #13, 16(1%)
minecraft.used.quartz_slab: #13, 11(1%)
minecraft.used.hay_block: #13, 11(0%)
minecraft.used.deepslate_lapis_ore: #13, 1(1%)
minecraft.crafted.warped_planks: #13, 220(0%)
minecraft.mined.sea_pickle: #13, 7(0%)
minecraft.crafted.cauldron: #13, 15(0%)
minecraft.used.soul_lantern: #13, 8(0%)
minecraft.crafted.baked_potato: #13, 30(1%)
minecraft.crafted.oak_fence_gate: #13, 2(0%)
minecraft.used.cooked_cod: #13, 4(1%)
minecraft.used.oak_fence_gate: #13, 2(0%)
minecraft.mined.stripped_dark_oak_log: #13, 13(0%)
minecraft.used.red_concrete_powder: #13, 40(0%)
minecraft.picked_up.cyan_terracotta: #13, 14(0%)
minecraft.picked_up.stripped_dark_oak_log: #13, 12(0%)
minecraft.mined.light_gray_stained_glass: #13, 3(0%)
minecraft.picked_up.light_gray_stained_glass: #13, 3(0%)
minecraft.picked_up.light_gray_concrete_powder: #13, 4(0%)
minecraft.crafted.red_concrete_powder: #13, 40(0%)
minecraft.crafted.cyan_stained_glass: #13, 8(0%)
minecraft.custom.traded_with_villager: #13, 644(0%)
minecraft.picked_up.prismarine_bricks: #13, 16(0%)
minecraft.crafted.yellow_terracotta: #13, 8(0%)
minecraft.used.black_wool: #13, 12(0%)
minecraft.dropped.gold_nugget: #13, 10(0%)
minecraft.mined.sweet_berry_bush: #13, 1(0%)
minecraft.used.coal_block: #13, 4(0%)
minecraft.crafted.gold_nugget: #13, 45(0%)
minecraft.crafted.snow_block: #13, 8(0%)
minecraft.picked_up.dandelion: #14, 71(3%)
minecraft.picked_up.diamond: #14, 382(3%)
minecraft.mined.redstone_wire: #14, 147(3%)
minecraft.crafted.shield: #14, 2(3%)
minecraft.crafted.iron_pickaxe: #14, 11(3%)
minecraft.custom.swim_one_cm: #14, 1166171(2%)
minecraft.picked_up.stick: #14, 1284(2%)
minecraft.crafted.copper_ingot: #14, 839(2%)
minecraft.picked_up.bone_block: #14, 148(2%)
minecraft.mined.oak_sapling: #14, 9(2%)
minecraft.picked_up.wheat: #14, 1624(2%)
minecraft.picked_up.raw_copper: #14, 1976(2%)
minecraft.picked_up.sticky_piston: #14, 28(2%)
minecraft.crafted.oak_sign: #14, 36(2%)
minecraft.dropped.crafting_table: #14, 2(2%)
minecraft.used.glow_ink_sac: #14, 29(1%)
minecraft.used.piston: #14, 78(2%)
minecraft.used.wooden_pickaxe: #14, 8(2%)
minecraft.mined.amethyst_block: #14, 281(2%)
minecraft.used.sticky_piston: #14, 46(1%)
minecraft.mined.red_shulker_box: #14, 34(2%)
minecraft.used.red_shulker_box: #14, 35(2%)
minecraft.custom.interact_with_smithing_table: #14, 6(2%)
minecraft.picked_up.red_shulker_box: #14, 34(2%)
minecraft.crafted.diamond_hoe: #14, 1(2%)
minecraft.picked_up.white_wool: #14, 155(1%)
minecraft.dropped.elytra: #14, 2(2%)
minecraft.picked_up.dragon_head: #14, 2(2%)
minecraft.mined.repeater: #14, 23(1%)
minecraft.picked_up.spruce_trapdoor: #14, 60(1%)
minecraft.crafted.iron_leggings: #14, 1(1%)
minecraft.dropped.diamond_leggings: #14, 1(1%)
minecraft.custom.walk_one_cm: #15, 41924777(3%)
minecraft.picked_up.ancient_debris: #14, 14(1%)
minecraft.mined.white_wool: #14, 19(1%)
minecraft.crafted.polished_andesite: #14, 140(1%)
minecraft.dropped.tuff: #14, 16(1%)
minecraft.mined.ancient_debris: #14, 14(1%)
minecraft.mined.end_stone: #14, 80(1%)
minecraft.mined.end_rod: #14, 36(1%)
minecraft.picked_up.end_stone: #14, 77(1%)
minecraft.picked_up.spruce_boat: #14, 8(1%)
minecraft.crafted.netherite_ingot: #14, 3(1%)
minecraft.picked_up.carved_pumpkin: #14, 26(1%)
minecraft.used.stone_brick_wall: #14, 15(1%)
minecraft.dropped.carved_pumpkin: #14, 6(1%)
minecraft.crafted.polished_granite: #14, 36(1%)
minecraft.mined.bee_nest: #14, 1(1%)
minecraft.mined.stone_brick_wall: #14, 2(1%)
minecraft.picked_up.bee_nest: #14, 1(1%)
minecraft.used.cobblestone_wall: #14, 18(1%)
minecraft.dropped.bone: #14, 140(0%)
minecraft.crafted.glass_bottle: #14, 123(0%)
minecraft.mined.bookshelf: #14, 24(0%)
minecraft.custom.talked_to_villager: #14, 162(0%)
minecraft.custom.walk_on_water_one_cm: #15, 1325813(2%)
minecraft.crafted.oak_boat: #14, 4(0%)
minecraft.picked_up.nether_bricks: #14, 25(0%)
minecraft.picked_up.polished_granite: #14, 4(0%)
minecraft.crafted.soul_lantern: #14, 7(0%)
minecraft.used.polished_granite: #14, 7(0%)
minecraft.used.vine: #14, 7(0%)
minecraft.crafted.grindstone: #14, 5(0%)
minecraft.custom.interact_with_smoker: #14, 2(0%)
minecraft.crafted.cyan_terracotta: #14, 120(0%)
minecraft.crafted.soul_torch: #14, 8(0%)
minecraft.crafted.crimson_planks: #14, 36(0%)
minecraft.crafted.emerald: #14, 393(0%)
minecraft.crafted.gray_concrete_powder: #14, 48(0%)
minecraft.picked_up.beehive: #14, 1(0%)
minecraft.used.acacia_log: #14, 2(0%)
minecraft.used.light_gray_stained_glass: #14, 3(0%)
minecraft.used.gray_concrete: #14, 1(0%)
minecraft.killed.zombified_piglin: #14, 2(0%)
minecraft.mined.deepslate_lapis_ore: #15, 38(3%)
minecraft.picked_up.diamond_sword: #15, 14(2%)
minecraft.mined.deepslate_copper_ore: #15, 32(2%)
minecraft.mined.grass_block: #15, 10508(2%)
minecraft.used.item_frame: #15, 101(2%)
minecraft.dropped.diamond_sword: #15, 3(2%)
minecraft.crafted.barrel: #15, 65(2%)
minecraft.picked_up.coal_ore: #15, 733(2%)
minecraft.picked_up.diamond_shovel: #15, 11(2%)
minecraft.picked_up.iron_ore: #15, 449(2%)
minecraft.used.moss_carpet: #15, 339(2%)
minecraft.crafted.shears: #15, 39(2%)
minecraft.used.oak_sign: #15, 31(2%)
minecraft.picked_up.elytra: #15, 13(2%)
minecraft.used.white_bed: #15, 37(2%)
minecraft.picked_up.arrow: #15, 824(1%)
minecraft.picked_up.birch_sign: #15, 14(1%)
minecraft.picked_up.white_bed: #15, 33(1%)
minecraft.picked_up.deepslate: #15, 1731(1%)
minecraft.picked_up.copper_ore: #15, 159(1%)
minecraft.picked_up.flint: #15, 136(1%)
minecraft.used.oak_boat: #15, 14(1%)
minecraft.used.chain: #15, 105(1%)
minecraft.dropped.andesite: #15, 218(1%)
minecraft.used.writable_book: #15, 19(1%)
minecraft.crafted.piston: #15, 84(1%)
minecraft.dropped.leather_boots: #15, 4(1%)
minecraft.picked_up.oak_boat: #15, 12(1%)
minecraft.picked_up.black_wool: #15, 24(1%)
minecraft.dropped.scaffolding: #15, 46(1%)
minecraft.crafted.stone_hoe: #15, 1(1%)
minecraft.used.flint_and_steel: #15, 54(1%)
minecraft.picked_up.iron_pickaxe: #15, 2(1%)
minecraft.used.bamboo: #15, 28(1%)
minecraft.used.glass: #15, 294(1%)
minecraft.crafted.stone_bricks: #15, 1208(1%)
minecraft.picked_up.oak_stairs: #15, 10(1%)
minecraft.mined.vine: #15, 119(1%)
minecraft.used.dark_oak_log: #15, 199(1%)
minecraft.picked_up.hay_block: #15, 26(1%)
minecraft.mined.budding_amethyst: #15, 5(1%)
minecraft.killed_by.zombie: #15, 1(1%)
minecraft.mined.cocoa: #15, 16(1%)
minecraft.picked_up.tnt: #15, 13(1%)
minecraft.custom.player_kills: #15, 1(1%)
minecraft.picked_up.tinted_glass: #15, 26(1%)
minecraft.picked_up.dropper: #15, 7(1%)
minecraft.killed.player: #15, 1(1%)
minecraft.dropped.ender_chest: #15, 1(1%)
minecraft.mined.bamboo: #15, 47(1%)
minecraft.used.snowball: #15, 29(1%)
minecraft.killed.endermite: #15, 1(1%)
minecraft.crafted.flint_and_steel: #15, 3(1%)
minecraft.picked_up.written_book: #15, 1(1%)
minecraft.picked_up.sweet_berries: #15, 20(1%)
minecraft.picked_up.polished_basalt: #15, 12(1%)
minecraft.picked_up.pumpkin_seeds: #15, 73(1%)
minecraft.picked_up.sandstone_slab: #15, 4(1%)
minecraft.used.shield: #15, 30(1%)
minecraft.mined.comparator: #15, 3(0%)
minecraft.crafted.cobblestone_wall: #15, 18(0%)
minecraft.custom.damage_blocked_by_shield: #15, 1425(1%)
minecraft.mined.nether_bricks: #15, 29(0%)
minecraft.crafted.raw_iron_block: #15, 24(0%)
minecraft.crafted.deepslate_tile_slab: #15, 24(0%)
minecraft.mined.potatoes: #15, 32(0%)
minecraft.dropped.chicken: #15, 1(0%)
minecraft.mined.stripped_oak_log: #15, 25(0%)
minecraft.used.andesite_slab: #15, 23(0%)
minecraft.dropped.spruce_slab: #15, 2(0%)
minecraft.crafted.brown_dye: #15, 15(0%)
minecraft.mined.tinted_glass: #15, 5(0%)
minecraft.picked_up.acacia_sapling: #15, 16(0%)
minecraft.used.carved_pumpkin: #15, 1(0%)
minecraft.used.lectern: #15, 12(0%)
minecraft.crafted.stone_brick_slab: #15, 30(0%)
minecraft.used.cyan_terracotta: #15, 67(0%)
minecraft.used.podzol: #15, 6(0%)
minecraft.dropped.feather: #15, 1(0%)
minecraft.mined.orange_terracotta: #15, 20(0%)
minecraft.dropped.white_wool: #15, 1(0%)
minecraft.crafted.dark_oak_fence_gate: #15, 1(0%)
minecraft.mined.deepslate_brick_stairs: #15, 1(0%)
minecraft.mined.acacia_leaves: #15, 24(0%)
minecraft.mined.smooth_sandstone_slab: #15, 1(0%)
minecraft.picked_up.smooth_sandstone_slab: #15, 1(0%)
minecraft.picked_up.deepslate_brick_stairs: #15, 1(0%)
minecraft.dropped.carrot: #15, 15(0%)
minecraft.used.acacia_sapling: #15, 2(0%)
minecraft.mined.large_fern: #15, 1(0%)
minecraft.used.gray_concrete_powder: #15, 10(0%)
minecraft.picked_up.gray_concrete: #15, 1(0%)
minecraft.mined.gray_concrete: #15, 1(0%)
minecraft.custom.crouch_one_cm: #16, 4889918(3%)
minecraft.mined.deepslate_coal_ore: #16, 273(2%)
minecraft.used.barrel: #16, 85(2%)
minecraft.custom.sneak_time: #17, 1248245(3%)
minecraft.picked_up.oak_sapling: #16, 369(2%)
minecraft.killed.enderman: #16, 7507(2%)
minecraft.picked_up.writable_book: #16, 3(2%)
minecraft.picked_up.redstone_torch: #16, 55(2%)
minecraft.picked_up.raw_iron: #16, 1915(2%)
minecraft.mined.white_bed: #16, 32(1%)
minecraft.dropped.golden_carrot: #16, 87(1%)
minecraft.used.observer: #16, 94(1%)
minecraft.used.golden_carrot: #16, 503(1%)
minecraft.crafted.ender_chest: #16, 4(1%)
minecraft.picked_up.amethyst_block: #16, 283(1%)
minecraft.custom.inspect_dispenser: #16, 86(1%)
minecraft.mined.shroomlight: #16, 35(1%)
minecraft.crafted.chain: #16, 101(1%)
minecraft.crafted.iron_helmet: #16, 1(1%)
minecraft.used.redstone_block: #16, 33(1%)
minecraft.used.oak_trapdoor: #16, 41(1%)
minecraft.killed.skeleton: #16, 302(1%)
minecraft.mined.kelp_plant: #16, 40(1%)
minecraft.picked_up.iron_nugget: #16, 82(1%)
minecraft.crafted.diamond: #16, 99(1%)
minecraft.picked_up.phantom_membrane: #16, 8(1%)
minecraft.picked_up.enchanted_book: #16, 5(1%)
minecraft.crafted.stone_axe: #16, 1(1%)
minecraft.mined.warped_stem: #16, 66(1%)
minecraft.crafted.deepslate_brick_stairs: #16, 8(1%)
minecraft.used.kelp: #16, 63(1%)
minecraft.mined.sea_lantern: #16, 7(1%)
minecraft.used.ender_pearl: #16, 44(1%)
minecraft.used.powered_rail: #16, 69(0%)
minecraft.used.smooth_basalt: #16, 30(1%)
minecraft.picked_up.smooth_basalt: #16, 89(0%)
minecraft.crafted.cyan_dye: #16, 34(1%)
minecraft.picked_up.bamboo: #16, 461(0%)
minecraft.mined.dripstone_block: #16, 49(0%)
minecraft.used.sea_lantern: #16, 36(0%)
minecraft.used.end_stone: #16, 13(0%)
minecraft.dropped.shears: #16, 2(0%)
minecraft.used.milk_bucket: #16, 1(1%)
minecraft.used.nether_wart: #16, 29(0%)
minecraft.mined.polished_basalt: #16, 8(0%)
minecraft.picked_up.iron_axe: #16, 1(0%)
minecraft.dropped.apple: #16, 4(0%)
minecraft.mined.stone_bricks: #16, 87(0%)
minecraft.crafted.hay_block: #16, 17(0%)
minecraft.custom.fill_cauldron: #16, 2(0%)
minecraft.crafted.raw_iron: #16, 90(0%)
minecraft.picked_up.comparator: #16, 4(0%)
minecraft.dropped.basalt: #16, 23(0%)
minecraft.picked_up.potato: #16, 144(0%)
minecraft.picked_up.name_tag: #16, 3(0%)
minecraft.mined.polished_andesite: #16, 4(0%)
minecraft.crafted.orange_dye: #16, 11(0%)
minecraft.used.smithing_table: #16, 2(0%)
minecraft.dropped.smooth_basalt: #16, 2(0%)
minecraft.used.dark_oak_fence_gate: #16, 1(0%)
minecraft.mined.smooth_sandstone_stairs: #16, 2(0%)
minecraft.picked_up.smooth_sandstone_stairs: #16, 2(0%)
minecraft.picked_up.sea_pickle: #16, 19(0%)
minecraft.dropped.baked_potato: #16, 3(0%)
minecraft.picked_up.snowball: #16, 44(0%)
minecraft.dropped.bread: #16, 2(0%)
minecraft.picked_up.spruce_leaves: #16, 16(0%)
minecraft.mined.snow: #16, 12(0%)
minecraft.used.spruce_leaves: #16, 1(0%)
minecraft.custom.interact_with_crafting_table: #17, 1277(3%)
minecraft.used.torch: #17, 3970(2%)
minecraft.custom.open_shulker_box: #17, 5627(2%)
minecraft.custom.boat_one_cm: #17, 2311769(2%)
minecraft.crafted.torch: #17, 2872(2%)
minecraft.used.diamond_shovel: #17, 25004(2%)
minecraft.picked_up.andesite: #17, 3133(2%)
minecraft.picked_up.iron_chestplate: #17, 4(2%)
minecraft.mined.andesite: #17, 3165(2%)
minecraft.picked_up.oak_sign: #17, 17(2%)
minecraft.mined.copper_ore: #17, 582(2%)
minecraft.mined.barrel: #17, 24(2%)
minecraft.crafted.item_frame: #17, 73(2%)
minecraft.picked_up.golden_carrot: #17, 341(1%)
minecraft.custom.aviate_one_cm: #17, 92224764(1%)
minecraft.picked_up.glass: #17, 386(1%)
minecraft.used.lantern: #17, 51(1%)
minecraft.picked_up.ladder: #17, 73(1%)
minecraft.picked_up.rose_bush: #17, 65(1%)
minecraft.crafted.iron_boots: #17, 1(1%)
minecraft.crafted.white_bed: #17, 5(1%)
minecraft.mined.piston: #17, 21(1%)
minecraft.crafted.bone_meal: #17, 8804(1%)
minecraft.dropped.diamond_boots: #17, 1(1%)
minecraft.crafted.dispenser: #17, 16(1%)
minecraft.used.firework_rocket: #17, 2190(1%)
minecraft.picked_up.poppy: #17, 88(1%)
minecraft.used.glow_item_frame: #17, 5(1%)
minecraft.used.stone_bricks: #17, 701(1%)
minecraft.mined.kelp: #17, 26(1%)
minecraft.picked_up.diamond_chestplate: #17, 1(1%)
minecraft.crafted.lantern: #17, 43(1%)
minecraft.crafted.minecart: #17, 8(1%)
minecraft.crafted.paper: #17, 1155(1%)
minecraft.dropped.ender_pearl: #17, 940(1%)
minecraft.dropped.diamond_axe: #17, 1(1%)
minecraft.picked_up.slime_ball: #17, 126(1%)
minecraft.picked_up.redstone_block: #17, 26(1%)
minecraft.crafted.deepslate_tile_stairs: #17, 8(1%)
minecraft.crafted.brewing_stand: #17, 1(1%)
minecraft.used.birch_sapling: #17, 25(1%)
minecraft.used.stone_sword: #17, 7(1%)
minecraft.crafted.gray_dye: #17, 66(1%)
minecraft.picked_up.warped_stem: #17, 65(1%)
minecraft.picked_up.white_concrete: #17, 205(1%)
minecraft.mined.bone_block: #17, 13(0%)
minecraft.mined.oxeye_daisy: #17, 3(1%)
minecraft.mined.amethyst_cluster: #17, 52(0%)
minecraft.used.baked_potato: #17, 36(0%)
minecraft.used.dropper: #17, 9(0%)
minecraft.mined.white_concrete: #17, 206(0%)
minecraft.picked_up.nether_wart: #17, 81(0%)
minecraft.crafted.lead: #17, 2(0%)
minecraft.crafted.moss_carpet: #17, 39(0%)
minecraft.used.white_concrete: #17, 194(0%)
minecraft.dropped.iron_boots: #17, 1(0%)
minecraft.picked_up.stone_brick_wall: #17, 2(0%)
minecraft.crafted.wheat: #17, 27(0%)
minecraft.used.grindstone: #17, 5(0%)
minecraft.mined.acacia_log: #17, 44(0%)
minecraft.mined.cobblestone_slab: #17, 5(0%)
minecraft.picked_up.stripped_oak_log: #17, 22(0%)
minecraft.crafted.quartz_block: #17, 49(0%)
minecraft.crafted.stone_slab: #17, 24(0%)
minecraft.used.white_concrete_powder: #17, 184(0%)
minecraft.dropped.arrow: #17, 84(0%)
minecraft.crafted.oak_stairs: #17, 4(0%)
minecraft.crafted.white_concrete_powder: #17, 184(0%)
minecraft.used.blackstone: #17, 29(0%)
