stat, rank, value, (percentage) 
minecraft.picked_up.stripped_oak_wood: #14, 5(0%)
minecraft.used.string: #14, 77(0%)
minecraft.custom.tune_noteblock: #14, 18(0%)
minecraft.mined.quartz_stairs: #14, 1(0%)
minecraft.picked_up.warped_sign: #14, 1(0%)
minecraft.picked_up.lava_bucket: #14, 1(0%)
minecraft.dropped.polished_deepslate: #14, 1(0%)
minecraft.used.red_wool: #14, 25(0%)
minecraft.used.cobweb: #14, 1(0%)
minecraft.used.gray_wool: #14, 9(0%)
minecraft.used.quartz_stairs: #14, 1(0%)
minecraft.mined.prismarine: #14, 2(0%)
minecraft.used.amethyst_cluster: #14, 1(0%)
minecraft.dropped.ladder: #14, 1(0%)
minecraft.picked_up.torch: #15, 2915(3%)
minecraft.custom.interact_with_anvil: #15, 120(3%)
minecraft.picked_up.oak_log: #15, 2195(3%)
minecraft.mined.deepslate_redstone_ore: #15, 285(3%)
minecraft.used.bucket: #15, 1112(2%)
minecraft.picked_up.diamond_axe: #15, 14(2%)
minecraft.broken.iron_pickaxe: #15, 7(2%)
minecraft.picked_up.chainmail_boots: #15, 3(3%)
minecraft.crafted.white_bed: #15, 9(2%)
minecraft.crafted.item_frame: #15, 87(2%)
minecraft.picked_up.raw_gold: #15, 378(2%)
minecraft.custom.inspect_dispenser: #15, 121(2%)
minecraft.picked_up.warped_fungus: #15, 18(2%)
minecraft.dropped.iron_leggings: #15, 2(2%)
minecraft.mined.stonecutter: #15, 17(2%)
minecraft.dropped.flint_and_steel: #15, 1(3%)
minecraft.picked_up.iron_boots: #15, 5(2%)
minecraft.crafted.oak_trapdoor: #15, 49(1%)
minecraft.killed.cow: #15, 93(1%)
minecraft.dropped.bow: #15, 23(1%)
minecraft.picked_up.poppy: #15, 113(1%)
minecraft.dropped.oak_fence: #15, 5(1%)
minecraft.mined.birch_slab: #15, 9(1%)
minecraft.custom.leave_game: #16, 376(2%)
minecraft.used.spruce_boat: #15, 5(1%)
minecraft.used.redstone_ore: #15, 48(1%)
minecraft.used.stone_bricks: #15, 752(1%)
minecraft.mined.oak_slab: #15, 12(1%)
minecraft.used.polished_deepslate: #15, 342(1%)
minecraft.used.end_rod: #15, 49(1%)
minecraft.dropped.iron_ingot: #15, 67(1%)
minecraft.picked_up.slime_ball: #15, 152(1%)
minecraft.killed.ghast: #15, 4(1%)
minecraft.picked_up.smooth_basalt: #15, 115(1%)
minecraft.dropped.moss_carpet: #15, 13(1%)
minecraft.used.polished_basalt: #15, 72(1%)
minecraft.picked_up.netherite_sword: #15, 1(1%)
minecraft.killed.chicken: #15, 7(1%)
minecraft.used.glowstone: #15, 27(0%)
minecraft.crafted.tripwire_hook: #15, 4(1%)
minecraft.picked_up.dripstone_block: #15, 59(0%)
minecraft.mined.gray_wool: #15, 1(0%)
minecraft.dropped.brown_mushroom: #15, 1(0%)
minecraft.custom.walk_on_water_one_cm: #16, 1296241(2%)
minecraft.killed.cave_spider: #15, 24(0%)
minecraft.picked_up.copper_ingot: #15, 65(0%)
minecraft.dropped.leather: #15, 4(0%)
minecraft.picked_up.warped_wart_block: #15, 37(0%)
minecraft.crafted.birch_fence: #15, 3(0%)
minecraft.crafted.grindstone: #15, 4(0%)
minecraft.mined.pointed_dripstone: #15, 25(0%)
minecraft.crafted.orange_dye: #15, 12(0%)
minecraft.picked_up.stone_stairs: #15, 7(0%)
minecraft.picked_up.cooked_cod: #15, 1(0%)
minecraft.picked_up.black_concrete: #15, 25(0%)
minecraft.dropped.crimson_roots: #15, 1(0%)
minecraft.crafted.sandstone: #15, 9(0%)
minecraft.mined.black_concrete: #15, 25(0%)
minecraft.mined.white_stained_glass: #15, 2(0%)
minecraft.used.stone_button: #15, 32(0%)
minecraft.picked_up.twisting_vines: #15, 6(0%)
minecraft.used.birch_fence: #15, 1(0%)
minecraft.used.smooth_sandstone_stairs: #15, 8(0%)
minecraft.used.black_concrete: #15, 16(0%)
minecraft.crafted.crimson_planks: #15, 16(0%)
minecraft.used.red_concrete: #15, 7(0%)
minecraft.used.black_concrete_powder: #15, 24(0%)
minecraft.crafted.black_concrete_powder: #15, 24(0%)
minecraft.used.crafting_table: #16, 107(3%)
minecraft.mined.oak_log: #16, 1757(2%)
minecraft.picked_up.magma_cream: #16, 81(2%)
minecraft.custom.deaths: #16, 24(2%)
minecraft.picked_up.iron_chestplate: #16, 5(3%)
minecraft.picked_up.cobblestone: #16, 16815(2%)
minecraft.picked_up.stone: #16, 37206(2%)
minecraft.crafted.blue_dye: #16, 165(2%)
minecraft.used.item_frame: #16, 90(2%)
minecraft.picked_up.iron_helmet: #16, 3(2%)
minecraft.crafted.oak_slab: #16, 246(2%)
minecraft.crafted.shears: #16, 38(2%)
minecraft.killed.blaze: #16, 33(2%)
minecraft.picked_up.bow: #16, 38(2%)
minecraft.picked_up.item_frame: #16, 44(2%)
minecraft.mined.gravel: #16, 3496(1%)
minecraft.dropped.shulker_box: #16, 5(2%)
minecraft.crafted.hopper: #16, 166(1%)
minecraft.picked_up.netherrack: #16, 3681(1%)
minecraft.picked_up.oak_slab: #16, 27(1%)
minecraft.used.blast_furnace: #16, 6(1%)
minecraft.dropped.chainmail_boots: #16, 2(2%)
minecraft.picked_up.gold_ore: #16, 36(1%)
minecraft.used.anvil: #16, 14(1%)
minecraft.dropped.iron_pickaxe: #16, 1(2%)
minecraft.picked_up.deepslate_copper_ore: #16, 6(1%)
minecraft.picked_up.birch_slab: #16, 9(1%)
minecraft.picked_up.lapis_ore: #16, 14(1%)
minecraft.used.iron_ore: #16, 134(1%)
minecraft.crafted.cobblestone_slab: #16, 66(1%)
minecraft.crafted.paper: #16, 1248(1%)
minecraft.dropped.iron_boots: #16, 2(1%)
minecraft.picked_up.trident: #16, 1(1%)
minecraft.used.cobblestone_slab: #16, 33(0%)
minecraft.picked_up.netherite_boots: #16, 1(1%)
minecraft.crafted.polished_deepslate_stairs: #16, 8(0%)
minecraft.crafted.green_dye: #16, 30(0%)
minecraft.used.deepslate_iron_ore: #16, 5(0%)
minecraft.mined.twisting_vines_plant: #16, 3(0%)
minecraft.picked_up.cobweb: #16, 6(0%)
minecraft.picked_up.light_gray_stained_glass: #16, 2(0%)
minecraft.mined.stone_brick_slab: #16, 6(0%)
minecraft.picked_up.soul_lantern: #16, 1(0%)
minecraft.crafted.purple_dye: #16, 4(0%)
minecraft.crafted.compass: #16, 1(0%)
minecraft.picked_up.packed_ice: #16, 35(0%)
minecraft.crafted.stone_stairs: #16, 8(0%)
minecraft.dropped.soul_sand: #16, 2(0%)
minecraft.picked_up.white_stained_glass: #16, 2(0%)
minecraft.mined.twisting_vines: #16, 1(0%)
minecraft.dropped.iron_block: #16, 4(0%)
minecraft.used.podzol: #16, 2(0%)
minecraft.picked_up.glass_pane: #16, 7(0%)
minecraft.used.white_stained_glass: #16, 4(0%)
minecraft.used.black_wool: #16, 3(0%)
minecraft.mined.prismarine_bricks: #16, 2(0%)
minecraft.used.polished_blackstone: #16, 3(0%)
minecraft.crafted.glass_pane: #16, 16(0%)
minecraft.crafted.cyan_terracotta: #16, 1(0%)
minecraft.crafted.shield: #17, 2(3%)
minecraft.used.diamond_pickaxe: #17, 74320(2%)
minecraft.picked_up.diamond_boots: #17, 11(2%)
minecraft.picked_up.blaze_rod: #17, 56(2%)
minecraft.picked_up.flint_and_steel: #17, 3(2%)
minecraft.used.iron_pickaxe: #17, 1970(2%)
minecraft.crafted.book: #17, 74(2%)
minecraft.used.dispenser: #17, 26(1%)
minecraft.picked_up.arrow: #17, 678(1%)
minecraft.picked_up.basalt: #17, 814(1%)
minecraft.custom.sneak_time: #18, 1023380(2%)
minecraft.picked_up.firework_rocket: #17, 398(1%)
minecraft.killed_by.skeleton: #17, 1(1%)
minecraft.picked_up.deepslate: #17, 994(1%)
minecraft.picked_up.calcite: #17, 294(1%)
minecraft.mined.calcite: #17, 237(1%)
minecraft.crafted.blast_furnace: #17, 3(1%)
minecraft.mined.redstone_block: #17, 12(1%)
minecraft.used.bread: #17, 22(1%)
minecraft.used.copper_ore: #17, 57(1%)
minecraft.picked_up.iron_nugget: #17, 51(1%)
minecraft.picked_up.netherite_leggings: #17, 1(1%)
minecraft.dropped.coal_ore: #17, 11(1%)
minecraft.mined.bamboo: #17, 41(0%)
minecraft.picked_up.feather: #17, 9(0%)
minecraft.used.diamond_ore: #17, 8(1%)
minecraft.crafted.copper_block: #17, 102(0%)
minecraft.crafted.pink_dye: #17, 8(0%)
minecraft.picked_up.gold_block: #17, 13(0%)
minecraft.picked_up.podzol: #17, 21(0%)
minecraft.dropped.leather_chestplate: #17, 1(0%)
minecraft.mined.stone_stairs: #17, 4(0%)
minecraft.crafted.raw_iron_block: #17, 22(0%)
minecraft.used.deepslate_coal_ore: #17, 7(0%)
minecraft.picked_up.crimson_nylium: #17, 7(0%)
minecraft.mined.podzol: #17, 21(0%)
minecraft.mined.end_stone: #17, 20(0%)
minecraft.picked_up.end_stone: #17, 20(0%)
minecraft.crafted.gold_block: #17, 22(0%)
minecraft.crafted.stone_brick_slab: #17, 30(0%)
minecraft.crafted.bread: #17, 21(0%)
minecraft.mined.polished_blackstone: #17, 3(0%)
minecraft.dropped.cactus: #17, 3(0%)
minecraft.used.polished_deepslate_stairs: #17, 9(0%)
minecraft.used.spyglass: #17, 3(0%)
minecraft.mined.packed_ice: #17, 14(0%)
minecraft.killed.wither_skeleton: #17, 10(0%)
minecraft.used.grass: #17, 1(0%)
minecraft.used.deepslate_tile_wall: #17, 2(0%)
minecraft.used.smooth_stone: #17, 3(0%)
minecraft.killed.drowned: #17, 13(0%)
minecraft.custom.interact_with_crafting_table: #18, 1178(3%)
minecraft.crafted.enchanting_table: #18, 1(3%)
minecraft.crafted.iron_pickaxe: #18, 8(2%)
minecraft.mined.gold_ore: #18, 181(2%)
minecraft.killed.zombie_villager: #18, 4(2%)
minecraft.used.chest: #18, 292(1%)
minecraft.mined.oak_leaves: #18, 1516(1%)
minecraft.used.stone: #18, 5514(1%)
minecraft.picked_up.spider_eye: #18, 59(1%)
minecraft.picked_up.golden_helmet: #18, 3(1%)
minecraft.mined.cobweb: #18, 36(1%)
minecraft.used.potion: #18, 6(1%)
minecraft.dropped.minecart: #18, 1(1%)
minecraft.used.redstone_block: #18, 21(1%)
minecraft.mined.oak_planks: #18, 93(1%)
minecraft.mined.basalt: #18, 770(1%)
minecraft.dropped.elytra: #18, 1(1%)
minecraft.dropped.ender_chest: #18, 1(1%)
minecraft.picked_up.redstone_ore: #18, 48(1%)
minecraft.picked_up.netherite_pickaxe: #18, 2(1%)
minecraft.killed.piglin: #18, 4(0%)
minecraft.picked_up.amethyst_shard: #18, 204(0%)
minecraft.picked_up.white_banner: #18, 2(0%)
minecraft.used.milk_bucket: #18, 1(1%)
minecraft.picked_up.deepslate_lapis_ore: #18, 2(0%)
minecraft.picked_up.chicken: #18, 5(0%)
minecraft.crafted.gold_ingot: #18, 467(0%)
minecraft.used.grass_block: #18, 402(0%)
minecraft.picked_up.stone_slab: #18, 18(0%)
minecraft.picked_up.name_tag: #18, 3(0%)
minecraft.mined.stone_slab: #18, 9(0%)
minecraft.dropped.arrow: #18, 84(0%)
minecraft.crafted.deepslate_tile_wall: #18, 2(0%)
minecraft.crafted.brown_dye: #18, 8(0%)
minecraft.picked_up.crimson_roots: #18, 3(0%)
minecraft.picked_up.polished_blackstone: #18, 3(0%)
minecraft.picked_up.stone_brick_slab: #18, 6(0%)
minecraft.picked_up.lily_of_the_valley: #18, 1(0%)
minecraft.crafted.tnt: #18, 5(0%)
minecraft.dropped.gold_nugget: #18, 2(0%)
minecraft.picked_up.gold_nugget: #18, 18(0%)
minecraft.custom.crouch_one_cm: #19, 3394348(2%)
minecraft.used.torch: #19, 3733(2%)
minecraft.mined.rose_bush: #19, 4(2%)
minecraft.crafted.iron_ingot: #19, 4169(2%)
minecraft.killed.magma_cube: #19, 148(2%)
minecraft.crafted.diamond_chestplate: #19, 1(2%)
minecraft.mined.deepslate_gold_ore: #19, 50(2%)
minecraft.crafted.redstone_block: #19, 266(1%)
minecraft.killed.spider: #19, 34(1%)
minecraft.picked_up.lead: #19, 31(1%)
minecraft.picked_up.sand: #19, 9245(1%)
minecraft.crafted.cooked_beef: #19, 108(1%)
minecraft.custom.interact_with_stonecutter: #19, 74(1%)
minecraft.mined.dandelion: #19, 23(1%)
minecraft.mined.sand: #19, 6415(1%)
minecraft.crafted.copper_ingot: #19, 436(1%)
minecraft.mined.anvil: #19, 3(1%)
minecraft.mined.dispenser: #19, 6(1%)
minecraft.killed.squid: #19, 26(1%)
minecraft.picked_up.raw_copper: #19, 981(1%)
minecraft.mined.soul_sand: #19, 80(1%)
minecraft.used.moss_carpet: #19, 151(1%)
minecraft.used.cooked_beef: #19, 108(1%)
minecraft.picked_up.beef: #19, 119(1%)
minecraft.mined.spruce_planks: #19, 88(1%)
minecraft.mined.netherrack: #19, 3403(1%)
minecraft.mined.iron_bars: #19, 7(1%)
minecraft.picked_up.deepslate_gold_ore: #19, 8(1%)
minecraft.picked_up.anvil: #19, 3(1%)
minecraft.dropped.bucket: #19, 2(1%)
minecraft.crafted.stone_bricks: #19, 740(1%)
minecraft.picked_up.netherite_shovel: #19, 1(1%)
minecraft.mined.blackstone: #19, 208(0%)
minecraft.dropped.golden_chestplate: #19, 2(1%)
minecraft.mined.birch_wall_sign: #19, 2(1%)
minecraft.picked_up.iron_pickaxe: #19, 1(1%)
minecraft.picked_up.diamond_ore: #19, 8(0%)
minecraft.crafted.cyan_dye: #19, 24(0%)
minecraft.picked_up.deepslate_iron_ore: #19, 10(0%)
minecraft.picked_up.shears: #19, 2(0%)
minecraft.dropped.golden_helmet: #19, 1(0%)
minecraft.used.white_dye: #19, 2(0%)
minecraft.crafted.iron_block: #19, 191(0%)
minecraft.crafted.yellow_dye: #19, 18(0%)
minecraft.used.sand: #19, 320(0%)
minecraft.dropped.shears: #19, 1(0%)
minecraft.mined.end_rod: #19, 8(0%)
minecraft.mined.amethyst_cluster: #19, 26(0%)
minecraft.dropped.apple: #19, 2(0%)
minecraft.picked_up.deepslate_coal_ore: #19, 7(0%)
minecraft.dropped.player_head: #19, 7(0%)
minecraft.mined.lightning_rod: #19, 1(0%)
minecraft.dropped.rotten_flesh: #19, 121(0%)
minecraft.used.deepslate_tile_stairs: #19, 18(0%)
minecraft.used.stone_stairs: #19, 4(0%)
minecraft.crafted.wheat: #19, 9(0%)
minecraft.dropped.dark_oak_planks: #19, 1(0%)
minecraft.crafted.smooth_stone_slab: #19, 4(0%)
minecraft.used.tnt: #19, 4(0%)
minecraft.picked_up.amethyst_cluster: #19, 1(0%)
minecraft.dropped.bread: #19, 1(0%)
minecraft.custom.jump: #20, 90971(2%)
minecraft.custom.sleep_in_bed: #20, 319(2%)
minecraft.custom.damage_taken: #20, 55317(1%)
minecraft.mined.deepslate_iron_ore: #20, 144(2%)
minecraft.mined.stone: #20, 42015(2%)
minecraft.mined.deepslate_lapis_ore: #20, 20(2%)
minecraft.picked_up.raw_iron: #20, 1711(1%)
minecraft.mined.deepslate_diamond_ore: #20, 33(1%)
minecraft.picked_up.coal_ore: #20, 463(1%)
minecraft.picked_up.dandelion: #20, 24(1%)
minecraft.picked_up.iron_shovel: #20, 2(1%)
minecraft.custom.interact_with_smithing_table: #20, 4(1%)
minecraft.crafted.chest: #20, 268(1%)
minecraft.custom.interact_with_grindstone: #20, 11(1%)
minecraft.crafted.stick: #20, 2747(1%)
minecraft.picked_up.spruce_slab: #20, 51(1%)
minecraft.used.diorite: #20, 80(1%)
minecraft.used.soul_sand: #20, 38(1%)
minecraft.dropped.diamond: #20, 15(1%)
minecraft.picked_up.deepslate_redstone_ore: #20, 25(1%)
minecraft.mined.sugar_cane: #20, 291(1%)
minecraft.picked_up.soul_sand: #20, 83(0%)
minecraft.custom.aviate_one_cm: #20, 24612181(0%)
minecraft.mined.dirt_path: #20, 24(0%)
minecraft.picked_up.bone_block: #20, 20(0%)
minecraft.picked_up.dark_oak_boat: #20, 1(0%)
minecraft.mined.dark_oak_stairs: #20, 2(0%)
minecraft.used.firework_rocket: #20, 573(0%)
minecraft.picked_up.bucket: #20, 4(0%)
minecraft.killed.witch: #20, 2(0%)
minecraft.mined.iron_block: #20, 53(0%)
minecraft.used.spruce_slab: #20, 28(0%)
minecraft.crafted.spruce_boat: #20, 1(0%)
minecraft.picked_up.iron_ingot: #20, 143(0%)
minecraft.picked_up.grass_block: #20, 436(0%)
minecraft.mined.crimson_nylium: #20, 3(0%)
minecraft.picked_up.diamond_block: #20, 2(0%)
minecraft.picked_up.gold_ingot: #20, 4(0%)
minecraft.picked_up.lightning_rod: #20, 1(0%)
minecraft.mined.crimson_stem: #20, 5(0%)
minecraft.mined.scaffolding: #20, 34(0%)
minecraft.mined.birch_leaves: #20, 41(0%)
minecraft.used.azalea: #20, 4(0%)
minecraft.used.calcite: #20, 10(0%)
minecraft.mined.crimson_roots: #20, 1(0%)
minecraft.used.scaffolding: #20, 57(0%)
minecraft.mined.polished_deepslate_stairs: #20, 1(0%)
minecraft.used.stone_brick_slab: #20, 15(0%)
minecraft.picked_up.nether_bricks: #20, 4(0%)
minecraft.crafted.lime_dye: #20, 4(0%)
minecraft.crafted.white_stained_glass: #20, 8(0%)
minecraft.picked_up.polished_deepslate_stairs: #20, 1(0%)
minecraft.used.hay_block: #20, 1(0%)
minecraft.used.stone_slab: #20, 7(0%)
minecraft.used.magma_block: #20, 3(0%)
minecraft.custom.walk_one_cm: #21, 28242435(2%)
minecraft.custom.sprint_one_cm: #21, 24520045(2%)
minecraft.custom.fall_one_cm: #21, 1552151(1%)
minecraft.picked_up.diamond: #21, 235(2%)
minecraft.mined.redstone_ore: #21, 422(2%)
minecraft.mined.diamond_ore: #21, 80(1%)
minecraft.custom.climb_one_cm: #21, 549788(1%)
minecraft.used.dirt: #21, 4002(1%)
minecraft.picked_up.barrel: #21, 22(1%)
minecraft.crafted.diamond_pickaxe: #21, 3(1%)
minecraft.crafted.red_shulker_box: #21, 1(1%)
minecraft.picked_up.leather_chestplate: #21, 3(1%)
minecraft.mined.redstone_torch: #21, 5(1%)
minecraft.picked_up.leather: #21, 168(1%)
minecraft.mined.copper_ore: #21, 265(1%)
minecraft.crafted.iron_bars: #21, 64(1%)
minecraft.picked_up.ink_sac: #21, 80(1%)
minecraft.picked_up.dispenser: #21, 5(1%)
minecraft.picked_up.copper_ore: #21, 67(1%)
minecraft.crafted.red_dye: #21, 61(1%)
minecraft.picked_up.string: #21, 106(1%)
minecraft.picked_up.iron_ore: #21, 134(1%)
minecraft.used.iron_bars: #21, 30(1%)
minecraft.picked_up.golden_chestplate: #21, 2(1%)
minecraft.killed.glow_squid: #21, 1(1%)
minecraft.picked_up.spruce_planks: #21, 82(1%)
minecraft.picked_up.gunpowder: #21, 86(0%)
minecraft.mined.moss_block: #21, 198(0%)
minecraft.used.deepslate: #21, 165(0%)
minecraft.picked_up.blackstone: #21, 188(0%)
minecraft.picked_up.oak_leaves: #21, 236(0%)
minecraft.mined.spruce_sapling: #21, 1(0%)
minecraft.used.oak_log: #21, 31(0%)
minecraft.used.gravel: #21, 33(0%)
minecraft.crafted.scaffolding: #21, 30(0%)
minecraft.picked_up.end_rod: #21, 8(0%)
minecraft.used.flowering_azalea: #21, 3(0%)
minecraft.used.oak_slab: #21, 10(0%)
minecraft.used.oak_planks: #21, 53(0%)
minecraft.picked_up.dark_oak_stairs: #21, 1(0%)
minecraft.mined.nether_gold_ore: #21, 3(0%)
minecraft.used.lightning_rod: #21, 2(0%)
minecraft.used.basalt: #21, 18(0%)
minecraft.picked_up.ender_pearl: #21, 118(0%)
minecraft.killed.pillager: #21, 3(0%)
minecraft.picked_up.scaffolding: #21, 71(0%)
minecraft.crafted.stone_slab: #21, 12(0%)
minecraft.picked_up.crimson_stem: #21, 5(0%)
minecraft.custom.interact_with_blast_furnace: #21, 2(0%)
minecraft.crafted.lightning_rod: #21, 1(0%)
minecraft.crafted.stone_button: #21, 13(0%)
minecraft.mined.sandstone: #21, 42(0%)
minecraft.mined.nether_bricks: #21, 2(0%)
minecraft.used.birch_sapling: #21, 1(0%)
minecraft.mined.warped_stem: #21, 1(0%)
minecraft.used.sandstone: #21, 3(0%)
minecraft.picked_up.warped_stem: #21, 1(0%)
minecraft.custom.play_time: #22, 16039548(2%)
minecraft.custom.total_world_time: #22, 16039548(2%)
minecraft.crafted.wooden_pickaxe: #22, 1(3%)
minecraft.picked_up.dirt: #22, 8498(1%)
minecraft.crafted.torch: #22, 1796(1%)
minecraft.used.diamond_shovel: #22, 13965(1%)
minecraft.mined.dirt: #22, 4657(1%)
minecraft.mined.grass: #22, 413(1%)
minecraft.crafted.coal_block: #22, 105(1%)
minecraft.picked_up.leather_leggings: #22, 2(1%)
minecraft.custom.enchant_item: #22, 17(1%)
minecraft.killed.creeper: #22, 36(1%)
minecraft.picked_up.golden_boots: #22, 2(1%)
minecraft.dropped.lead: #22, 1(1%)
minecraft.picked_up.tuff: #22, 196(0%)
minecraft.used.granite: #22, 89(0%)
minecraft.used.flint_and_steel: #22, 26(0%)
minecraft.picked_up.birch_sign: #22, 4(0%)
minecraft.killed.zombie: #22, 115(0%)
minecraft.mined.moss_carpet: #22, 27(0%)
minecraft.picked_up.flowering_azalea: #22, 15(0%)
minecraft.picked_up.moss_carpet: #22, 77(0%)
minecraft.used.shears: #22, 296(0%)
minecraft.picked_up.moss_block: #22, 204(0%)
minecraft.picked_up.clay_ball: #22, 32(0%)
minecraft.picked_up.ender_chest: #22, 12(0%)
minecraft.mined.flowering_azalea: #22, 3(0%)
minecraft.killed.skeleton: #22, 60(0%)
minecraft.crafted.lapis_lazuli: #22, 24(0%)
minecraft.mined.spruce_slab: #22, 9(0%)
minecraft.used.ender_chest: #22, 9(0%)
minecraft.mined.budding_amethyst: #22, 1(0%)
minecraft.mined.ender_chest: #22, 8(0%)
minecraft.mined.birch_planks: #22, 2(0%)
minecraft.picked_up.hay_block: #22, 4(0%)
minecraft.mined.spruce_leaves: #22, 104(0%)
minecraft.used.spruce_sapling: #22, 6(0%)
minecraft.picked_up.rose_bush: #22, 4(0%)
minecraft.picked_up.spruce_trapdoor: #22, 4(0%)
minecraft.picked_up.bread: #22, 2(0%)
minecraft.picked_up.dark_oak_planks: #22, 3(0%)
minecraft.dropped.bone: #22, 13(0%)
minecraft.picked_up.sandstone: #22, 44(0%)
minecraft.mined.deepslate_tile_stairs: #22, 1(0%)
minecraft.picked_up.deepslate_tile_stairs: #22, 1(0%)
minecraft.used.smooth_basalt: #22, 1(0%)
minecraft.used.amethyst_block: #22, 1(0%)
minecraft.dropped.ender_pearl: #22, 15(0%)
minecraft.used.deepslate_bricks: #22, 2(0%)
minecraft.dropped.grass_block: #22, 1(0%)
minecraft.killed.enderman: #22, 4(0%)
minecraft.mined.cobblestone: #23, 553(1%)
minecraft.mined.coal_ore: #23, 1383(1%)
minecraft.mined.iron_ore: #23, 826(1%)
minecraft.picked_up.diorite: #23, 1516(1%)
minecraft.mined.diorite: #23, 1349(1%)
minecraft.crafted.crafting_table: #23, 11(1%)
minecraft.used.diamond_axe: #23, 2675(1%)
minecraft.custom.interact_with_lectern: #23, 10(1%)
minecraft.mined.barrel: #23, 8(1%)
minecraft.mined.tuff: #23, 154(0%)
minecraft.custom.open_barrel: #23, 212(0%)
minecraft.mined.tall_grass: #23, 45(0%)
minecraft.used.barrel: #23, 12(0%)
minecraft.broken.shears: #23, 1(0%)
minecraft.crafted.barrel: #23, 9(0%)
minecraft.picked_up.rotten_flesh: #23, 225(0%)
minecraft.custom.damage_dealt: #23, 93738(0%)
minecraft.picked_up.shulker_box: #23, 65(0%)
minecraft.mined.shulker_box: #23, 60(0%)
minecraft.used.shulker_box: #23, 60(0%)
minecraft.used.diamond_sword: #23, 1138(0%)
minecraft.crafted.birch_sign: #23, 3(0%)
minecraft.crafted.lantern: #23, 12(0%)
minecraft.picked_up.birch_sapling: #23, 15(0%)
minecraft.dropped.coal: #23, 4(0%)
minecraft.mined.spruce_trapdoor: #23, 4(0%)
minecraft.picked_up.azalea: #23, 12(0%)
minecraft.crafted.magenta_dye: #23, 2(0%)
minecraft.mined.azalea: #23, 2(0%)
minecraft.mined.deepslate_bricks: #23, 2(0%)
minecraft.custom.mob_kills: #23, 1478(0%)
minecraft.mined.hay_block: #23, 1(0%)
minecraft.used.spruce_trapdoor: #23, 4(0%)
minecraft.picked_up.grass: #23, 1(0%)
minecraft.crafted.gray_dye: #23, 2(0%)
minecraft.custom.horse_one_cm: #23, 18087(0%)
minecraft.crafted.diamond_leggings: #24, 1(1%)
minecraft.used.cobblestone: #24, 1204(1%)
minecraft.custom.walk_under_water_one_cm: #24, 599682(1%)
minecraft.crafted.diamond_helmet: #24, 1(1%)
minecraft.picked_up.cobbled_deepslate: #24, 3122(1%)
minecraft.crafted.ladder: #24, 57(1%)
minecraft.custom.open_shulker_box: #24, 1568(1%)
minecraft.picked_up.stick: #24, 311(1%)
minecraft.mined.grass_block: #24, 2633(0%)
minecraft.custom.open_enderchest: #24, 122(0%)
minecraft.used.bone_meal: #24, 405(0%)
minecraft.picked_up.glow_ink_sac: #24, 11(0%)
minecraft.picked_up.bone: #24, 91(0%)
minecraft.used.birch_sign: #24, 2(0%)
minecraft.mined.clay: #24, 8(0%)
minecraft.picked_up.spruce_sapling: #24, 14(0%)
minecraft.mined.spruce_log: #24, 41(0%)
minecraft.crafted.spruce_trapdoor: #24, 4(0%)
minecraft.crafted.light_gray_dye: #24, 2(0%)
minecraft.crafted.black_dye: #24, 8(0%)
minecraft.crafted.bone_meal: #24, 153(0%)
minecraft.picked_up.iron_block: #24, 4(0%)
minecraft.used.moss_block: #24, 6(0%)
minecraft.dropped.poppy: #24, 2(0%)
minecraft.used.iron_block: #24, 1(0%)
minecraft.mined.deepslate_copper_ore: #25, 14(1%)
minecraft.mined.deepslate: #25, 3635(1%)
minecraft.picked_up.coal: #25, 1627(1%)
minecraft.picked_up.granite: #25, 1049(1%)
minecraft.crafted.diamond_axe: #25, 1(1%)
minecraft.picked_up.andesite: #25, 1050(1%)
minecraft.mined.granite: #25, 930(1%)
minecraft.mined.andesite: #25, 892(1%)
minecraft.crafted.flint_and_steel: #25, 1(0%)
minecraft.mined.deepslate_coal_ore: #25, 20(0%)
minecraft.dropped.tuff: #25, 2(0%)
minecraft.used.glow_ink_sac: #25, 2(0%)
minecraft.picked_up.birch_log: #25, 36(0%)
minecraft.dropped.stick: #25, 8(0%)
minecraft.picked_up.birch_planks: #25, 2(0%)
minecraft.mined.birch_log: #25, 14(0%)
minecraft.picked_up.deepslate_bricks: #25, 2(0%)
minecraft.picked_up.spruce_log: #25, 39(0%)
minecraft.crafted.coal: #25, 18(0%)
minecraft.mined.dead_bush: #25, 1(0%)
minecraft.picked_up.dark_oak_log: #25, 12(0%)
minecraft.crafted.dark_oak_planks: #25, 4(0%)
minecraft.mined.glow_lichen: #25, 1(0%)
minecraft.mined.dark_oak_log: #25, 1(0%)
minecraft.used.andesite: #26, 23(0%)
minecraft.crafted.spruce_planks: #26, 60(0%)
minecraft.crafted.birch_planks: #26, 16(0%)
minecraft.crafted.diamond_boots: #27, 1(1%)
minecraft.used.cobbled_deepslate: #27, 2(0%)
minecraft.crafted.air: #27, 0(0%)
minecraft.custom.time_since_rest: #32, 53320(0%)
minecraft.custom.fly_one_cm: #37, 9186441(1%)
minecraft.custom.time_since_death: #41, 53466(0%)
