stat, rank, value, (percentage) 
minecraft.mined.turtle_egg: #2, 190(21%)
minecraft.picked_up.blast_furnace: #3, 22(13%)
minecraft.used.furnace: #3, 238(9%)
minecraft.dropped.oak_trapdoor: #2, 25(11%)
minecraft.mined.magenta_wool: #2, 5(36%)
minecraft.dropped.light_blue_stained_glass: #2, 72(36%)
minecraft.used.lever: #3, 291(9%)
minecraft.mined.purple_wool: #2, 27(23%)
minecraft.used.cooked_chicken: #2, 173(9%)
minecraft.dropped.yellow_wool: #2, 362(27%)
minecraft.picked_up.bowl: #2, 7(19%)
minecraft.crafted.stone_sword: #3, 8(12%)
minecraft.crafted.bowl: #2, 8(33%)
minecraft.custom.clean_armor: #2, 2(33%)
minecraft.picked_up.apple: #3, 433(8%)
minecraft.dropped.polished_blackstone_pressure_plate: #2, 2(40%)
minecraft.dropped.stone_bricks: #2, 171(6%)
minecraft.used.melon_slice: #2, 142(29%)
minecraft.used.light_blue_banner: #2, 6(23%)
minecraft.dropped.powder_snow_bucket: #2, 3(19%)
minecraft.dropped.redstone_torch: #3, 47(14%)
minecraft.dropped.blue_dye: #2, 20(22%)
minecraft.dropped.prismarine_crystals: #2, 135(11%)
minecraft.dropped.light_gray_wool: #2, 141(11%)
minecraft.killed_by.hoglin: #2, 1(50%)
minecraft.crafted.yellow_concrete: #2, 8(50%)
minecraft.crafted.orange_concrete: #2, 8(50%)
minecraft.crafted.iron_hoe: #3, 4(11%)
minecraft.dropped.nether_wart: #2, 140(14%)
minecraft.picked_up.cooked_rabbit: #2, 58(48%)
minecraft.crafted.glistering_melon_slice: #3, 73(15%)
minecraft.dropped.yellow_concrete: #2, 9(32%)
minecraft.picked_up.rabbit: #2, 86(8%)
minecraft.picked_up.light_blue_shulker_box: #3, 115(14%)
minecraft.dropped.redstone: #4, 454(12%)
minecraft.mined.light_blue_shulker_box: #3, 111(13%)
minecraft.dropped.fermented_spider_eye: #2, 134(44%)
minecraft.used.enchanting_table: #3, 5(9%)
minecraft.crafted.light_blue_banner: #2, 4(16%)
minecraft.crafted.deepslate_tile_slab: #3, 588(8%)
minecraft.crafted.orange_wool: #2, 6(15%)
minecraft.used.melon: #2, 24(8%)
minecraft.used.light_blue_shulker_box: #3, 110(12%)
minecraft.mined.melon_stem: #3, 12(19%)
minecraft.mined.lime_wool: #2, 22(14%)
minecraft.picked_up.fermented_spider_eye: #2, 44(18%)
minecraft.picked_up.white_wool: #3, 836(7%)
minecraft.dropped.cyan_wool: #2, 255(23%)
minecraft.picked_up.lime_wool: #3, 493(14%)
minecraft.dropped.target: #2, 3(33%)
minecraft.dropped.oak_button: #3, 11(23%)
minecraft.picked_up.jack_o_lantern: #3, 73(12%)
minecraft.dropped.green_wool: #2, 187(8%)
minecraft.used.wooden_axe: #3, 30(19%)
minecraft.dropped.white_glazed_terracotta: #2, 1(25%)
minecraft.used.white_glazed_terracotta: #2, 1(25%)
minecraft.picked_up.fletching_table: #2, 7(7%)
minecraft.dropped.stone_hoe: #3, 4(12%)
minecraft.picked_up.melon_seeds: #3, 18(9%)
minecraft.crafted.stone_pressure_plate: #3, 66(7%)
minecraft.picked_up.smooth_quartz_stairs: #3, 109(16%)
minecraft.dropped.stone_shovel: #3, 15(10%)
minecraft.dropped.oak_slab: #3, 39(9%)
minecraft.dropped.smooth_quartz: #2, 6(9%)
minecraft.crafted.wooden_hoe: #3, 3(14%)
minecraft.used.cauldron: #4, 438(11%)
minecraft.picked_up.green_wool: #3, 414(10%)
minecraft.dropped.lime_wool: #2, 221(9%)
minecraft.picked_up.cyan_stained_glass: #2, 19(5%)
minecraft.crafted.quartz_pillar: #3, 280(17%)
minecraft.used.oak_boat: #4, 93(9%)
minecraft.dropped.dried_kelp: #2, 53(6%)
minecraft.crafted.leather_helmet: #3, 12(16%)
minecraft.picked_up.smooth_quartz_slab: #3, 138(10%)
minecraft.picked_up.light_blue_banner: #3, 3(25%)
minecraft.crafted.cooked_cod: #3, 68(11%)
minecraft.dropped.crimson_nylium: #3, 7(17%)
minecraft.dropped.composter: #2, 2(10%)
minecraft.dropped.stone_pickaxe: #3, 6(7%)
minecraft.dropped.cobblestone_slab: #3, 140(9%)
minecraft.picked_up.prismarine_crystals: #2, 135(1%)
minecraft.used.wooden_sword: #3, 51(12%)
minecraft.used.diamond_helmet: #3, 5(9%)
minecraft.crafted.light_blue_dye: #4, 280(9%)
minecraft.dropped.sugar: #2, 133(1%)
minecraft.crafted.target: #3, 72(8%)
minecraft.dropped.written_book: #3, 5(8%)
minecraft.used.redstone: #4, 2031(8%)
minecraft.crafted.saddle: #2, 1(4%)
minecraft.mined.brewing_stand: #4, 25(10%)
minecraft.used.target: #3, 64(10%)
