stat, rank, value, (percentage) 
minecraft.used.jack_o_lantern: #2, 657(33%)
minecraft.mined.green_stained_glass_pane: #1, 49(65%)
minecraft.used.ice: #2, 6683(31%)
minecraft.used.honeycomb: #1, 1508(28%)
minecraft.used.bow: #1, 6223(15%)
minecraft.crafted.orange_glazed_terracotta: #1, 925(97%)
minecraft.custom.fish_caught: #2, 317(41%)
minecraft.picked_up.twisting_vines: #2, 1475(27%)
minecraft.mined.dead_bubble_coral_block: #1, 258(64%)
minecraft.picked_up.smooth_basalt: #2, 3799(21%)
minecraft.picked_up.polished_andesite: #2, 608(22%)
minecraft.crafted.torch: #1, 20230(15%)
minecraft.used.orange_glazed_terracotta: #1, 1198(95%)
minecraft.crafted.red_dye: #1, 1600(15%)
minecraft.used.light_blue_concrete_powder: #1, 608(34%)
minecraft.mined.brain_coral_fan: #1, 106(42%)
minecraft.picked_up.cooked_mutton: #1, 51(22%)
minecraft.used.torch: #1, 24557(13%)
minecraft.used.big_dripleaf: #2, 663(32%)
minecraft.picked_up.orange_glazed_terracotta: #1, 353(93%)
minecraft.dropped.orange_terracotta: #1, 261(29%)
minecraft.custom.sprint_one_cm: #1, 121351940(10%)
minecraft.killed.spider: #1, 362(15%)
minecraft.mined.deepslate_lapis_ore: #1, 192(15%)
minecraft.used.brain_coral_fan: #1, 265(52%)
minecraft.mined.birch_slab: #2, 165(22%)
minecraft.mined.dirt_path: #2, 1656(18%)
minecraft.picked_up.deepslate_tile_wall: #1, 240(24%)
minecraft.custom.jump: #1, 388306(9%)
minecraft.mined.orange_glazed_terracotta: #1, 356(90%)
minecraft.mined.crafting_table: #1, 414(13%)
minecraft.picked_up.clay: #1, 793(21%)
minecraft.used.smooth_red_sandstone_slab: #1, 438(89%)
minecraft.used.lapis_ore: #1, 137(21%)
minecraft.mined.twisting_vines_plant: #2, 194(27%)
minecraft.mined.clay: #1, 936(14%)
minecraft.picked_up.cooked_cod: #1, 104(23%)
minecraft.used.potion: #2, 146(19%)
minecraft.used.smooth_red_sandstone_stairs: #1, 313(87%)
minecraft.mined.blast_furnace: #1, 25(17%)
minecraft.used.smooth_sandstone_stairs: #2, 2401(22%)
minecraft.picked_up.dead_bubble_coral_block: #1, 247(57%)
minecraft.mined.fire_coral_fan: #1, 112(34%)
minecraft.custom.interact_with_lectern: #2, 279(16%)
minecraft.dropped.powder_snow_bucket: #1, 9(56%)
minecraft.used.purple_carpet: #1, 109(56%)
minecraft.picked_up.crafting_table: #1, 427(12%)
minecraft.picked_up.weeping_vines: #1, 144(15%)
minecraft.custom.inspect_dropper: #1, 805(13%)
minecraft.used.amethyst_cluster: #2, 1033(31%)
minecraft.used.horn_coral: #1, 145(65%)
minecraft.used.deepslate_lapis_ore: #1, 37(23%)
minecraft.picked_up.raw_gold_block: #1, 34(36%)
minecraft.used.redstone: #1, 3097(12%)
minecraft.picked_up.smooth_red_sandstone_stairs: #1, 28(80%)
minecraft.crafted.light_blue_concrete_powder: #1, 608(32%)
minecraft.picked_up.mossy_cobblestone: #1, 514(16%)
minecraft.used.crafting_table: #1, 463(12%)
minecraft.used.quartz_block: #2, 1598(28%)
minecraft.used.pumpkin: #1, 379(15%)
minecraft.picked_up.coal_ore: #1, 4710(13%)
minecraft.picked_up.soul_lantern: #2, 138(26%)
minecraft.picked_up.nether_sprouts: #1, 218(62%)
minecraft.crafted.smooth_stone: #2, 3077(20%)
minecraft.dropped.lapis_lazuli: #1, 115(21%)
minecraft.picked_up.bowl: #1, 16(44%)
minecraft.used.white_candle: #1, 121(44%)
minecraft.dropped.sandstone: #2, 846(20%)
minecraft.mined.chiseled_polished_blackstone: #1, 21(51%)
minecraft.picked_up.popped_chorus_fruit: #1, 656(51%)
minecraft.used.smooth_red_sandstone: #1, 612(61%)
minecraft.used.oak_pressure_plate: #1, 8(28%)
minecraft.dropped.bamboo: #2, 1231(25%)
minecraft.killed.piglin_brute: #1, 32(60%)
minecraft.mined.granite: #1, 18146(12%)
minecraft.mined.smooth_red_sandstone_slab: #1, 18(60%)
minecraft.used.polished_andesite: #2, 1686(20%)
minecraft.used.light_blue_bed: #1, 496(74%)
minecraft.picked_up.diamond: #1, 1600(11%)
minecraft.mined.pink_glazed_terracotta: #1, 330(99%)
minecraft.mined.nether_bricks: #2, 1390(19%)
minecraft.mined.purple_carpet: #1, 17(59%)
minecraft.used.bone_meal: #2, 19877(16%)
minecraft.used.dried_kelp_block: #1, 288(97%)
minecraft.picked_up.cobweb: #1, 400(18%)
minecraft.mined.powder_snow: #1, 16(73%)
minecraft.used.chiseled_nether_bricks: #1, 434(97%)
minecraft.used.chipped_anvil: #1, 15(16%)
minecraft.picked_up.glowstone_dust: #2, 715(17%)
minecraft.mined.nether_brick_fence: #2, 103(21%)
minecraft.crafted.smooth_red_sandstone_slab: #1, 504(96%)
minecraft.dropped.big_dripleaf: #1, 115(57%)
minecraft.picked_up.nether_bricks: #2, 1330(18%)
minecraft.dropped.dirt: #2, 7113(15%)
minecraft.used.fire_coral_fan: #1, 331(48%)
minecraft.used.mossy_cobblestone: #1, 731(17%)
minecraft.used.crimson_door: #1, 9(47%)
minecraft.picked_up.cracked_nether_bricks: #1, 343(94%)
minecraft.used.golden_helmet: #1, 12(71%)
minecraft.crafted.red_sandstone_stairs: #1, 620(94%)
minecraft.mined.blue_carpet: #1, 67(70%)
minecraft.used.honey_bottle: #1, 120(70%)
minecraft.picked_up.blue_carpet: #1, 67(69%)
minecraft.used.red_sandstone_stairs: #1, 666(92%)
minecraft.dropped.end_stone_bricks: #1, 64(25%)
minecraft.used.pink_glazed_terracotta: #1, 572(90%)
minecraft.crafted.purple_carpet: #1, 99(54%)
minecraft.mined.red_sandstone_stairs: #1, 62(90%)
minecraft.mined.crimson_slab: #1, 23(38%)
minecraft.custom.sleep_in_bed: #1, 1569(10%)
minecraft.mined.cauldron: #2, 89(22%)
minecraft.mined.lapis_block: #1, 64(67%)
minecraft.used.netherite_chestplate: #1, 10(67%)
minecraft.used.apple: #2, 68(19%)
minecraft.dropped.stone: #2, 26705(15%)
minecraft.picked_up.smooth_red_sandstone_slab: #1, 18(53%)
minecraft.picked_up.iron_door: #1, 26(15%)
minecraft.picked_up.dried_kelp: #1, 2547(53%)
minecraft.crafted.sandstone_slab: #1, 450(20%)
minecraft.picked_up.chiseled_polished_blackstone: #1, 19(43%)
minecraft.used.diamond_chestplate: #1, 4(24%)
minecraft.mined.quartz_block: #2, 399(26%)
minecraft.picked_up.cyan_shulker_box: #1, 86(29%)
minecraft.picked_up.nether_brick_fence: #2, 96(19%)
minecraft.used.cut_red_sandstone: #1, 204(51%)
minecraft.crafted.polished_diorite_stairs: #1, 40(37%)
minecraft.crafted.mossy_cobblestone: #1, 1137(17%)
minecraft.used.white_dye: #2, 105(17%)
minecraft.crafted.cooked_salmon: #1, 76(64%)
minecraft.mined.smooth_red_sandstone: #1, 54(51%)
minecraft.used.acacia_leaves: #1, 7(64%)
minecraft.mined.iron_door: #1, 23(14%)
minecraft.picked_up.bone_block: #2, 1127(15%)
minecraft.dropped.polished_blackstone_stairs: #1, 42(84%)
minecraft.crafted.crimson_trapdoor: #1, 186(23%)
minecraft.used.deepslate_redstone_ore: #2, 285(18%)
minecraft.crafted.chiseled_deepslate: #2, 63(22%)
minecraft.mined.pink_concrete: #1, 168(50%)
minecraft.picked_up.phantom_membrane: #2, 127(14%)
minecraft.used.pink_concrete_powder: #1, 160(49%)
minecraft.used.cyan_shulker_box: #1, 85(27%)
minecraft.used.crimson_button: #1, 121(49%)
minecraft.picked_up.pink_concrete: #1, 168(49%)
minecraft.used.netherite_hoe: #1, 18303(35%)
minecraft.mined.cyan_shulker_box: #1, 86(30%)
minecraft.mined.red_sandstone_wall: #1, 57(80%)
minecraft.mined.cut_copper_stairs: #1, 47(22%)
minecraft.used.tropical_fish_bucket: #1, 14(40%)
minecraft.crafted.magenta_wool: #1, 6(60%)
minecraft.mined.diorite_slab: #1, 39(48%)
minecraft.mined.light_blue_bed: #1, 490(79%)
minecraft.crafted.acacia_slab: #1, 822(18%)
minecraft.picked_up.light_blue_bed: #1, 491(79%)
minecraft.mined.torch: #1, 2037(9%)
minecraft.killed.trader_llama: #1, 21(12%)
minecraft.used.nether_sprouts: #1, 55(77%)
minecraft.crafted.pink_concrete_powder: #1, 152(46%)
minecraft.mined.exposed_cut_copper_slab: #1, 37(46%)
minecraft.used.blue_dye: #1, 5(38%)
minecraft.picked_up.chiseled_red_sandstone: #1, 36(77%)
minecraft.picked_up.red_sandstone_wall: #1, 55(76%)
minecraft.used.cut_copper_slab: #1, 271(19%)
minecraft.mined.light_blue_terracotta: #1, 67(38%)
minecraft.used.baked_potato: #2, 1338(15%)
minecraft.custom.fly_one_cm: #2, 78646593(6%)
minecraft.crafted.cut_copper: #2, 320(23%)
minecraft.mined.seagrass: #2, 740(13%)
minecraft.dropped.packed_ice: #2, 213(36%)
minecraft.used.deepslate_iron_ore: #2, 225(17%)
minecraft.custom.play_time: #3, 75314116(8%)
minecraft.custom.total_world_time: #3, 75314116(8%)
minecraft.custom.interact_with_crafting_table: #1, 3423(8%)
minecraft.picked_up.cut_copper_stairs: #1, 43(19%)
minecraft.used.melon_slice: #1, 259(53%)
minecraft.used.crimson_fence_gate: #1, 8(53%)
minecraft.mined.red_nether_brick_slab: #1, 17(71%)
minecraft.picked_up.red_nether_brick_slab: #1, 17(71%)
minecraft.killed.wandering_trader: #1, 10(12%)
minecraft.picked_up.purple_carpet: #1, 17(42%)
minecraft.picked_up.glow_ink_sac: #2, 561(12%)
minecraft.used.clay: #2, 445(24%)
minecraft.broken.flint_and_steel: #2, 19(31%)
minecraft.picked_up.red_sandstone_stairs: #1, 62(70%)
minecraft.used.moss_carpet: #2, 2353(13%)
minecraft.used.chiseled_red_sandstone: #1, 168(70%)
minecraft.picked_up.exposed_cut_copper_slab: #1, 50(53%)
minecraft.mined.black_candle: #1, 11(52%)
minecraft.mined.deepslate_iron_ore: #2, 1068(12%)
minecraft.picked_up.dark_oak_pressure_plate: #1, 9(26%)
minecraft.dropped.birch_sign: #2, 31(22%)
minecraft.picked_up.smooth_stone: #2, 966(14%)
minecraft.used.pink_concrete: #1, 149(51%)
minecraft.used.glowstone: #2, 964(14%)
minecraft.mined.chipped_anvil: #2, 17(15%)
minecraft.used.deepslate_tile_slab: #2, 3446(13%)
minecraft.used.gilded_blackstone: #1, 63(50%)
minecraft.mined.dead_fire_coral_wall_fan: #1, 4(67%)
minecraft.crafted.cut_red_sandstone: #1, 320(67%)
minecraft.dropped.melon_seeds: #1, 16(33%)
minecraft.picked_up.crimson_door: #1, 4(67%)
minecraft.crafted.chiseled_red_sandstone: #1, 263(100%)
minecraft.crafted.chiseled_nether_bricks: #1, 516(100%)
