stat, rank, value, (percentage) 
minecraft.picked_up.red_terracotta: #4, 130(1%)
minecraft.used.polished_diorite_slab: #4, 45(3%)
minecraft.dropped.dark_oak_boat: #4, 3(4%)
minecraft.crafted.brown_stained_glass: #4, 288(2%)
minecraft.picked_up.white_bed: #5, 110(5%)
minecraft.crafted.map: #4, 57(2%)
minecraft.used.kelp: #5, 519(6%)
minecraft.mined.polished_blackstone_brick_slab: #4, 29(2%)
minecraft.mined.white_bed: #5, 104(5%)
minecraft.mined.polished_blackstone_pressure_plate: #4, 2(4%)
minecraft.picked_up.polished_granite_stairs: #4, 7(4%)
minecraft.used.iron_sword: #5, 1045(6%)
minecraft.dropped.birch_boat: #4, 4(2%)
minecraft.crafted.black_wool: #4, 89(2%)
minecraft.crafted.red_nether_brick_wall: #4, 6(5%)
minecraft.crafted.stone_bricks: #5, 6620(5%)
minecraft.picked_up.polished_blackstone_brick_wall: #4, 1(4%)
minecraft.mined.polished_blackstone_brick_wall: #4, 1(4%)
minecraft.dropped.andesite_stairs: #4, 2(5%)
minecraft.crafted.white_stained_glass_pane: #5, 272(7%)
minecraft.dropped.water_bucket: #5, 3(6%)
minecraft.mined.poppy: #5, 121(5%)
minecraft.used.pointed_dripstone: #4, 333(1%)
minecraft.mined.purple_carpet: #4, 1(3%)
minecraft.picked_up.deepslate_diamond_ore: #5, 63(6%)
minecraft.picked_up.stone_brick_stairs: #5, 112(6%)
minecraft.mined.purple_wool: #4, 3(3%)
minecraft.crafted.furnace: #5, 129(4%)
minecraft.used.acacia_trapdoor: #5, 300(9%)
minecraft.mined.pink_concrete: #4, 9(3%)
minecraft.picked_up.pink_concrete: #4, 9(3%)
minecraft.picked_up.blast_furnace: #5, 10(6%)
minecraft.mined.sandstone: #6, 10475(9%)
minecraft.picked_up.nether_sprouts: #4, 9(3%)
minecraft.used.end_stone_bricks: #4, 15(1%)
minecraft.used.red_nether_brick_wall: #4, 2(3%)
minecraft.used.cracked_deepslate_bricks: #5, 452(10%)
minecraft.used.stripped_warped_stem: #4, 19(2%)
minecraft.picked_up.sandstone_wall: #4, 5(2%)
minecraft.dropped.book: #4, 5(2%)
minecraft.used.pink_concrete: #4, 7(2%)
minecraft.mined.quartz_slab: #5, 23(8%)
minecraft.killed.guardian: #4, 17(2%)
minecraft.picked_up.sea_lantern: #5, 103(5%)
minecraft.dropped.soul_torch: #4, 1(2%)
minecraft.used.purple_concrete_powder: #4, 48(1%)
minecraft.mined.purple_concrete: #4, 49(1%)
minecraft.used.magenta_stained_glass: #4, 12(1%)
minecraft.dropped.andesite_slab: #4, 1(1%)
minecraft.used.purple_concrete: #4, 18(1%)
minecraft.picked_up.oak_fence_gate: #5, 24(7%)
minecraft.used.magenta_terracotta: #4, 5(1%)
minecraft.used.daylight_detector: #4, 11(0%)
minecraft.used.raw_iron_block: #4, 16(0%)
minecraft.mined.lapis_block: #4, 1(1%)
minecraft.dropped.beetroot_seeds: #4, 9(0%)
minecraft.crafted.crimson_stairs: #5, 64(10%)
minecraft.mined.oak_planks: #5, 572(4%)
minecraft.picked_up.prismarine_shard: #4, 45(0%)
minecraft.broken.stone_axe: #5, 2(6%)
minecraft.crafted.andesite_slab: #5, 126(6%)
minecraft.crafted.black_stained_glass_pane: #5, 456(8%)
minecraft.used.deepslate_tile_wall: #5, 385(6%)
minecraft.used.axolotl_bucket: #5, 23(5%)
minecraft.picked_up.note_block: #5, 46(7%)
minecraft.crafted.oak_fence_gate: #5, 25(6%)
minecraft.picked_up.bow: #6, 181(7%)
minecraft.crafted.lightning_rod: #5, 82(4%)
minecraft.picked_up.netherite_pickaxe: #5, 17(4%)
minecraft.mined.deepslate: #6, 27019(7%)
minecraft.crafted.diamond_block: #6, 147(8%)
minecraft.mined.birch_fence: #5, 31(6%)
minecraft.used.diamond_axe: #6, 28260(6%)
minecraft.used.stone_brick_slab: #6, 2312(9%)
minecraft.picked_up.waxed_copper_block: #5, 17(9%)
minecraft.used.polished_diorite: #5, 444(7%)
minecraft.used.acacia_planks: #5, 241(7%)
minecraft.used.hanging_roots: #5, 29(6%)
minecraft.picked_up.glow_ink_sac: #6, 329(7%)
minecraft.crafted.iron_trapdoor: #5, 137(4%)
minecraft.mined.warped_wart_block: #6, 1350(7%)
minecraft.picked_up.soul_lantern: #5, 27(5%)
minecraft.used.scaffolding: #6, 7834(8%)
minecraft.used.crimson_slab: #5, 52(9%)
minecraft.picked_up.name_tag: #5, 49(4%)
minecraft.used.exposed_copper: #5, 21(6%)
minecraft.used.stripped_dark_oak_log: #5, 104(5%)
minecraft.used.egg: #5, 173(3%)
minecraft.used.cobbled_deepslate_wall: #5, 159(4%)
minecraft.used.blast_furnace: #5, 16(4%)
minecraft.used.shulker_box: #6, 1761(7%)
minecraft.picked_up.scaffolding: #6, 7349(7%)
minecraft.used.loom: #5, 8(4%)
minecraft.dropped.sweet_berries: #5, 26(6%)
minecraft.picked_up.shulker_box: #6, 1748(6%)
minecraft.picked_up.calcite: #6, 2474(7%)
minecraft.picked_up.iron_ore: #6, 1648(7%)
minecraft.mined.pumpkin_stem: #5, 33(5%)
minecraft.picked_up.coal_ore: #6, 2535(7%)
minecraft.custom.inspect_hopper: #6, 1271(6%)
minecraft.crafted.polished_granite: #6, 420(9%)
minecraft.picked_up.jungle_boat: #5, 5(6%)
minecraft.picked_up.dark_oak_log: #6, 4758(7%)
minecraft.custom.sneak_time: #7, 2184272(5%)
minecraft.crafted.clock: #5, 43(6%)
minecraft.picked_up.acacia_stairs: #5, 13(6%)
minecraft.crafted.warped_sign: #5, 36(6%)
minecraft.mined.shulker_box: #6, 1573(6%)
minecraft.used.andesite_stairs: #5, 44(4%)
minecraft.picked_up.brown_stained_glass: #5, 23(9%)
minecraft.custom.walk_one_cm: #7, 87765876(6%)
minecraft.picked_up.enchanted_book: #6, 38(7%)
minecraft.mined.green_concrete_powder: #5, 14(8%)
minecraft.mined.granite_stairs: #5, 5(8%)
minecraft.custom.minecart_one_cm: #5, 386219(2%)
minecraft.crafted.prismarine_brick_stairs: #5, 8(11%)
minecraft.mined.diamond_ore: #6, 342(6%)
minecraft.mined.nether_quartz_ore: #6, 2015(6%)
minecraft.dropped.torch: #6, 336(6%)
minecraft.picked_up.phantom_membrane: #6, 54(6%)
minecraft.dropped.rotten_flesh: #6, 6230(6%)
minecraft.picked_up.netherite_hoe: #5, 1(6%)
minecraft.used.written_book: #5, 209(2%)
minecraft.picked_up.polished_granite_slab: #5, 17(5%)
minecraft.custom.sleep_in_bed: #6, 861(5%)
minecraft.crafted.fishing_rod: #5, 1(4%)
minecraft.dropped.emerald: #5, 145(3%)
minecraft.mined.iron_bars: #6, 60(6%)
minecraft.dropped.nether_gold_ore: #5, 6(5%)
minecraft.custom.damage_resisted: #5, 351(3%)
minecraft.used.obsidian: #5, 773(2%)
minecraft.mined.dark_oak_trapdoor: #6, 48(7%)
minecraft.custom.walk_on_water_one_cm: #7, 2996568(5%)
minecraft.mined.tripwire: #5, 45(2%)
minecraft.dropped.red_mushroom_block: #5, 17(9%)
minecraft.used.dragon_head: #5, 1(4%)
minecraft.used.beehive: #5, 49(3%)
minecraft.mined.acacia_leaves: #5, 624(2%)
minecraft.picked_up.iron_helmet: #6, 9(6%)
minecraft.picked_up.green_carpet: #5, 9(4%)
minecraft.mined.cracked_polished_blackstone_bricks: #5, 17(5%)
minecraft.picked_up.flowering_azalea: #6, 264(6%)
minecraft.mined.dead_bubble_coral_block: #5, 23(6%)
minecraft.crafted.book: #6, 245(6%)
minecraft.picked_up.string: #6, 1010(5%)
minecraft.crafted.brick_wall: #5, 12(5%)
minecraft.used.oak_sapling: #6, 466(5%)
minecraft.mined.cobweb: #6, 224(6%)
minecraft.mined.polished_blackstone_brick_stairs: #5, 9(4%)
minecraft.picked_up.black_banner: #5, 1(5%)
minecraft.mined.cave_vines: #6, 36(6%)
minecraft.picked_up.diamond_leggings: #6, 21(5%)
minecraft.used.grass: #6, 146(8%)
minecraft.crafted.polished_diorite: #6, 480(8%)
minecraft.crafted.lever: #6, 145(5%)
minecraft.mined.andesite_wall: #5, 16(3%)
minecraft.crafted.detector_rail: #5, 6(3%)
minecraft.picked_up.mossy_cobblestone: #6, 205(6%)
minecraft.mined.sandstone_stairs: #5, 24(3%)
minecraft.used.fletching_table: #5, 4(3%)
minecraft.used.red_carpet: #5, 23(2%)
minecraft.used.chiseled_polished_blackstone: #5, 10(3%)
minecraft.mined.red_carpet: #5, 4(3%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #5, 33(4%)
minecraft.used.granite: #6, 992(5%)
minecraft.mined.bamboo_sapling: #5, 2(2%)
minecraft.mined.hanging_roots: #5, 40(2%)
minecraft.used.white_bed: #6, 116(5%)
minecraft.mined.tinted_glass: #6, 121(6%)
minecraft.dropped.iron_pickaxe: #6, 5(8%)
minecraft.used.experience_bottle: #5, 123(2%)
minecraft.picked_up.dark_oak_trapdoor: #6, 58(6%)
minecraft.picked_up.polished_blackstone_pressure_plate: #5, 2(4%)
minecraft.dropped.gray_dye: #5, 3(3%)
minecraft.dropped.sandstone: #6, 250(6%)
minecraft.used.pink_stained_glass: #5, 23(3%)
minecraft.dropped.flower_pot: #5, 2(3%)
minecraft.picked_up.sandstone_stairs: #5, 24(2%)
minecraft.mined.polished_deepslate: #6, 305(5%)
minecraft.used.birch_boat: #6, 13(6%)
minecraft.mined.dark_oak_sign: #6, 3(7%)
minecraft.picked_up.red_carpet: #5, 4(2%)
minecraft.picked_up.spruce_log: #6, 5940(5%)
minecraft.dropped.fishing_rod: #5, 1(3%)
minecraft.dropped.cracked_stone_bricks: #5, 1(3%)
minecraft.picked_up.polished_blackstone_brick_slab: #5, 27(1%)
minecraft.picked_up.warped_button: #5, 1(2%)
minecraft.crafted.acacia_boat: #5, 1(2%)
minecraft.mined.green_stained_glass_pane: #5, 2(3%)
minecraft.mined.end_rod: #6, 202(5%)
minecraft.picked_up.oak_planks: #6, 678(4%)
minecraft.used.stone_brick_stairs: #6, 402(6%)
minecraft.crafted.beacon: #5, 1(1%)
minecraft.picked_up.acacia_sapling: #6, 359(7%)
minecraft.used.dead_brain_coral_block: #5, 10(2%)
minecraft.crafted.oak_sign: #6, 102(5%)
minecraft.mined.dead_brain_coral_block: #5, 11(2%)
minecraft.picked_up.purple_carpet: #5, 1(2%)
minecraft.picked_up.black_wool: #6, 107(6%)
minecraft.used.gravel: #6, 766(4%)
minecraft.picked_up.green_concrete_powder: #5, 13(1%)
minecraft.mined.netherrack: #6, 21428(4%)
minecraft.picked_up.cracked_deepslate_bricks: #5, 28(1%)
minecraft.mined.stone_brick_stairs: #6, 78(5%)
minecraft.dropped.purpur_slab: #5, 1(1%)
minecraft.used.large_amethyst_bud: #5, 10(1%)
minecraft.dropped.andesite_wall: #5, 2(1%)
minecraft.crafted.quartz_block: #6, 1513(5%)
minecraft.picked_up.fletching_table: #5, 1(1%)
minecraft.used.turtle_egg: #5, 4(1%)
minecraft.crafted.brown_terracotta: #5, 64(1%)
minecraft.picked_up.lever: #6, 89(4%)
minecraft.picked_up.green_stained_glass_pane: #5, 2(1%)
minecraft.crafted.purple_concrete_powder: #5, 48(1%)
minecraft.killed.llama: #5, 2(1%)
minecraft.mined.lapis_ore: #6, 169(4%)
minecraft.mined.glowstone: #6, 208(4%)
minecraft.dropped.diamond_pickaxe: #6, 8(4%)
minecraft.dropped.nether_wart: #5, 3(0%)
minecraft.used.polished_blackstone_brick_wall: #5, 3(0%)
minecraft.mined.polished_andesite: #6, 94(5%)
minecraft.used.dark_prismarine_slab: #5, 1(0%)
minecraft.picked_up.map: #5, 1(0%)
minecraft.dropped.polished_blackstone_bricks: #5, 1(0%)
minecraft.used.green_stained_glass_pane: #5, 2(0%)
minecraft.used.deepslate_brick_stairs: #6, 382(5%)
minecraft.mined.dark_oak_wall_sign: #6, 22(5%)
minecraft.mined.iron_trapdoor: #6, 49(5%)
minecraft.used.golden_carrot: #7, 2727(8%)
minecraft.used.polished_deepslate_wall: #6, 344(5%)
minecraft.mined.smithing_table: #6, 8(7%)
minecraft.picked_up.powered_rail: #6, 407(4%)
minecraft.used.iron_trapdoor: #6, 168(4%)
minecraft.killed.endermite: #6, 7(6%)
minecraft.crafted.iron_door: #6, 24(5%)
minecraft.picked_up.dark_oak_sign: #6, 49(4%)
minecraft.crafted.player_head: #6, 143(5%)
minecraft.picked_up.cut_copper_slab: #6, 26(8%)
minecraft.picked_up.warped_trapdoor: #6, 19(6%)
minecraft.crafted.cobbled_deepslate_stairs: #6, 38(6%)
minecraft.used.cobblestone_wall: #6, 138(4%)
minecraft.crafted.deepslate_brick_stairs: #6, 41(5%)
minecraft.crafted.light_blue_wool: #6, 18(9%)
minecraft.used.yellow_bed: #6, 12(4%)
minecraft.dropped.oak_stairs: #6, 16(7%)
minecraft.picked_up.lantern: #6, 118(3%)
minecraft.custom.play_noteblock: #6, 77(6%)
minecraft.used.prismarine: #6, 372(7%)
minecraft.dropped.spruce_slab: #6, 31(5%)
minecraft.dropped.flint_and_steel: #6, 2(5%)
minecraft.crafted.lead: #6, 22(4%)
minecraft.used.packed_ice: #6, 403(5%)
minecraft.dropped.coal_ore: #6, 64(3%)
minecraft.used.acacia_sapling: #6, 153(5%)
minecraft.used.nether_quartz_ore: #6, 246(5%)
minecraft.picked_up.polished_andesite: #6, 91(3%)
minecraft.mined.light_gray_concrete_powder: #6, 30(5%)
minecraft.picked_up.gray_concrete: #6, 417(5%)
minecraft.used.oak_sign: #7, 126(7%)
minecraft.used.redstone: #7, 1635(7%)
minecraft.mined.oak_door: #6, 3(6%)
minecraft.dropped.netherite_pickaxe: #6, 4(4%)
minecraft.crafted.warped_planks: #6, 1756(4%)
minecraft.crafted.green_carpet: #6, 72(6%)
minecraft.dropped.written_book: #6, 3(5%)
minecraft.used.ladder: #7, 303(6%)
minecraft.used.quartz_stairs: #6, 49(5%)
minecraft.dropped.purpur_block: #6, 16(7%)
minecraft.picked_up.yellow_bed: #6, 9(3%)
minecraft.custom.interact_with_crafting_table: #7, 2523(6%)
minecraft.used.green_concrete_powder: #6, 90(7%)
minecraft.dropped.stone_pressure_plate: #6, 4(6%)
minecraft.picked_up.smithing_table: #6, 9(5%)
minecraft.crafted.polished_deepslate_stairs: #6, 61(4%)
minecraft.crafted.pink_shulker_box: #6, 1(7%)
minecraft.used.orange_terracotta: #6, 111(3%)
minecraft.mined.cobbled_deepslate_wall: #6, 20(5%)
minecraft.used.magenta_shulker_box: #6, 18(7%)
minecraft.used.furnace: #7, 153(6%)
minecraft.used.crimson_fence: #6, 7(7%)
minecraft.picked_up.bone_meal: #6, 2685(2%)
minecraft.mined.yellow_bed: #6, 8(3%)
minecraft.picked_up.magenta_shulker_box: #6, 16(7%)
minecraft.dropped.iron_boots: #6, 8(3%)
minecraft.mined.deepslate_tile_wall: #6, 32(4%)
minecraft.mined.stone_brick_wall: #6, 9(3%)
minecraft.mined.birch_trapdoor: #6, 10(3%)
minecraft.used.andesite_slab: #6, 189(3%)
minecraft.mined.deepslate_brick_stairs: #6, 30(3%)
minecraft.used.oxidized_copper: #6, 248(3%)
minecraft.mined.large_fern: #6, 54(3%)
minecraft.picked_up.wheat: #7, 5568(6%)
minecraft.picked_up.sticky_piston: #7, 101(6%)
minecraft.mined.fire: #7, 420(5%)
minecraft.crafted.acacia_door: #6, 3(6%)
minecraft.mined.gray_concrete: #6, 418(3%)
minecraft.mined.lime_shulker_box: #6, 98(3%)
minecraft.dropped.salmon: #6, 2(4%)
minecraft.used.red_dye: #6, 4(4%)
minecraft.picked_up.lime_shulker_box: #6, 98(3%)
minecraft.crafted.crimson_fence: #6, 12(6%)
minecraft.used.coal_block: #6, 111(3%)
minecraft.crafted.jungle_planks: #6, 1732(2%)
minecraft.mined.granite_wall: #6, 2(6%)
minecraft.mined.comparator: #7, 39(6%)
minecraft.custom.damage_blocked_by_shield: #6, 5355(2%)
minecraft.crafted.polished_granite_slab: #6, 18(5%)
minecraft.mined.dark_oak_pressure_plate: #6, 1(5%)
minecraft.picked_up.bricks: #6, 81(3%)
minecraft.mined.magenta_shulker_box: #6, 10(4%)
minecraft.crafted.smithing_table: #6, 21(2%)
minecraft.crafted.beehive: #6, 37(3%)
minecraft.used.oxidized_cut_copper_slab: #6, 82(3%)
minecraft.used.stripped_oak_log: #6, 52(2%)
minecraft.crafted.iron_bars: #7, 512(6%)
minecraft.crafted.pink_stained_glass: #6, 40(3%)
minecraft.used.dripstone_block: #6, 804(2%)
minecraft.mined.allium: #6, 19(3%)
minecraft.dropped.red_mushroom: #6, 6(4%)
minecraft.dropped.gold_ore: #6, 2(4%)
minecraft.crafted.andesite_stairs: #6, 15(3%)
minecraft.mined.quartz_block: #6, 35(2%)
minecraft.crafted.gray_concrete_powder: #6, 712(2%)
minecraft.dropped.magma_cream: #7, 49(7%)
minecraft.used.gray_concrete_powder: #6, 527(2%)
minecraft.picked_up.dead_bubble_coral_block: #6, 22(5%)
minecraft.mined.stripped_spruce_log: #6, 71(1%)
minecraft.mined.acacia_sapling: #6, 7(3%)
minecraft.used.honeycomb_block: #6, 24(3%)
minecraft.dropped.cobblestone_slab: #6, 34(2%)
minecraft.used.acacia_boat: #6, 2(3%)
minecraft.dropped.deepslate_redstone_ore: #6, 2(4%)
minecraft.dropped.basalt: #7, 574(6%)
minecraft.used.bell: #6, 2(2%)
minecraft.mined.warped_sign: #6, 1(3%)
minecraft.dropped.warped_wart_block: #6, 85(2%)
minecraft.picked_up.dropper: #7, 61(6%)
minecraft.picked_up.tuff: #7, 1923(5%)
minecraft.used.spruce_planks: #7, 2473(5%)
minecraft.picked_up.glowstone: #7, 351(6%)
minecraft.mined.polished_diorite: #6, 19(2%)
minecraft.crafted.red_carpet: #6, 24(2%)
minecraft.mined.acacia_fence_gate: #6, 1(4%)
minecraft.mined.warped_stairs: #6, 10(2%)
minecraft.dropped.spruce_door: #6, 1(3%)
minecraft.dropped.crossbow: #6, 3(1%)
minecraft.mined.acacia_log: #7, 1171(7%)
minecraft.mined.diorite_wall: #6, 2(3%)
minecraft.used.red_stained_glass_pane: #6, 4(3%)
minecraft.picked_up.blaze_rod: #7, 135(5%)
minecraft.dropped.beef: #6, 11(2%)
minecraft.mined.medium_amethyst_bud: #6, 25(1%)
minecraft.used.medium_amethyst_bud: #6, 21(2%)
minecraft.used.cyan_stained_glass: #6, 29(1%)
minecraft.used.diorite_slab: #6, 12(2%)
minecraft.mined.spawner: #6, 1(1%)
minecraft.picked_up.warped_stairs: #6, 10(2%)
minecraft.mined.nether_brick_stairs: #6, 2(2%)
minecraft.mined.stripped_warped_stem: #6, 25(1%)
minecraft.used.writable_book: #7, 73(5%)
minecraft.picked_up.stripped_warped_stem: #6, 25(1%)
minecraft.picked_up.nether_brick_stairs: #6, 2(2%)
minecraft.used.light_gray_carpet: #6, 50(1%)
minecraft.used.golden_apple: #6, 1(2%)
minecraft.custom.interact_with_furnace: #7, 1514(4%)
minecraft.used.jungle_log: #7, 275(5%)
minecraft.picked_up.dead_brain_coral_block: #6, 11(2%)
minecraft.crafted.light_gray_wool: #6, 32(1%)
minecraft.crafted.slime_block: #6, 227(1%)
minecraft.used.furnace_minecart: #6, 1(2%)
minecraft.crafted.furnace_minecart: #6, 1(2%)
minecraft.crafted.light_blue_shulker_box: #6, 1(1%)
minecraft.custom.interact_with_grindstone: #7, 58(5%)
minecraft.dropped.wheat: #6, 56(1%)
minecraft.crafted.dripstone_block: #6, 613(1%)
minecraft.mined.smooth_sandstone: #6, 50(1%)
minecraft.picked_up.white_stained_glass: #7, 112(7%)
minecraft.picked_up.acacia_log: #7, 1166(6%)
minecraft.used.warped_hyphae: #6, 23(2%)
minecraft.crafted.warped_hyphae: #6, 24(1%)
minecraft.dropped.dark_oak_leaves: #6, 1(2%)
minecraft.crafted.redstone_block: #7, 781(4%)
minecraft.picked_up.honeycomb_block: #6, 4(1%)
minecraft.picked_up.gray_shulker_box: #6, 6(1%)
minecraft.dropped.crimson_roots: #6, 3(1%)
minecraft.picked_up.grass: #7, 148(5%)
minecraft.mined.deepslate_redstone_ore: #7, 435(4%)
minecraft.used.lever: #7, 131(4%)
minecraft.picked_up.iron_leggings: #7, 8(5%)
minecraft.dropped.sunflower: #6, 2(1%)
minecraft.dropped.gray_carpet: #6, 3(1%)
minecraft.dropped.dark_oak_fence: #6, 1(1%)
minecraft.dropped.purpur_stairs: #6, 1(1%)
minecraft.crafted.green_shulker_box: #6, 1(1%)
minecraft.mined.turtle_egg: #6, 9(1%)
minecraft.picked_up.turtle_egg: #6, 9(1%)
minecraft.crafted.polished_diorite_stairs: #6, 1(1%)
minecraft.used.quartz_slab: #7, 117(7%)
minecraft.dropped.cobblestone_wall: #6, 3(1%)
minecraft.crafted.daylight_detector: #6, 10(0%)
minecraft.mined.blue_bed: #6, 1(1%)
minecraft.used.red_nether_bricks: #6, 5(1%)
minecraft.dropped.polished_diorite: #6, 2(1%)
minecraft.used.crimson_planks: #6, 6(1%)
minecraft.picked_up.blue_bed: #6, 1(1%)
minecraft.used.small_amethyst_bud: #6, 15(0%)
minecraft.used.purple_carpet: #6, 1(1%)
minecraft.mined.emerald_block: #6, 7(0%)
minecraft.used.deepslate_coal_ore: #7, 116(5%)
minecraft.dropped.diamond_axe: #7, 7(5%)
minecraft.mined.gold_ore: #7, 446(4%)
minecraft.picked_up.beef: #7, 593(4%)
minecraft.picked_up.stone_slab: #7, 325(5%)
minecraft.dropped.arrow: #7, 2618(4%)
minecraft.used.polished_andesite: #7, 412(5%)
minecraft.mined.oak_wall_sign: #7, 12(5%)
minecraft.dropped.scaffolding: #7, 175(5%)
minecraft.picked_up.polished_deepslate: #7, 300(4%)
minecraft.used.polished_deepslate_slab: #7, 1081(4%)
minecraft.used.deepslate_brick_slab: #7, 347(5%)
minecraft.picked_up.birch_boat: #7, 17(5%)
minecraft.picked_up.stone_bricks: #7, 1076(4%)
minecraft.picked_up.salmon: #7, 20(4%)
minecraft.mined.stone_bricks: #7, 1015(4%)
minecraft.crafted.polished_blackstone: #7, 1168(4%)
minecraft.custom.sprint_one_cm: #8, 61835974(5%)
minecraft.picked_up.clay: #7, 195(5%)
minecraft.picked_up.dripstone_block: #7, 632(4%)
minecraft.used.birch_fence: #7, 56(6%)
minecraft.used.comparator: #7, 120(4%)
minecraft.used.andesite_wall: #7, 139(6%)
minecraft.used.end_stone: #7, 113(4%)
minecraft.crafted.composter: #7, 60(3%)
minecraft.used.bread: #7, 118(4%)
minecraft.killed_by.creeper: #7, 5(4%)
minecraft.crafted.iron_axe: #7, 13(3%)
minecraft.mined.dripstone_block: #7, 384(4%)
minecraft.dropped.oak_slab: #7, 22(5%)
minecraft.crafted.light_gray_stained_glass: #7, 584(5%)
minecraft.mined.polished_deepslate_wall: #7, 36(4%)
minecraft.crafted.ladder: #7, 273(3%)
minecraft.used.white_carpet: #7, 99(4%)
minecraft.crafted.wooden_pickaxe: #7, 1(3%)
minecraft.used.ender_pearl: #7, 245(3%)
minecraft.crafted.cut_copper: #7, 72(5%)
minecraft.picked_up.gravel: #7, 6511(3%)
minecraft.mined.red_mushroom: #7, 7(5%)
minecraft.crafted.spruce_door: #7, 15(3%)
minecraft.picked_up.quartz_slab: #7, 25(5%)
minecraft.picked_up.stone_axe: #7, 2(4%)
minecraft.mined.cobblestone_slab: #7, 75(3%)
minecraft.mined.deepslate_brick_slab: #7, 48(4%)
minecraft.used.beetroot_seeds: #7, 143(7%)
minecraft.crafted.acacia_trapdoor: #7, 188(5%)
minecraft.crafted.acacia_fence_gate: #7, 11(7%)
minecraft.mined.deepslate_tile_stairs: #7, 107(3%)
minecraft.crafted.stone_slab: #7, 446(3%)
minecraft.mined.stripped_dark_oak_log: #7, 117(3%)
minecraft.dropped.ender_chest: #7, 4(3%)
minecraft.picked_up.cobbled_deepslate_slab: #7, 44(3%)
minecraft.crafted.soul_torch: #7, 104(4%)
minecraft.picked_up.shulker_shell: #7, 254(3%)
minecraft.used.oak_planks: #7, 799(2%)
minecraft.crafted.deepslate: #7, 46(5%)
minecraft.mined.dark_oak_leaves: #7, 409(2%)
minecraft.picked_up.smoker: #7, 4(4%)
minecraft.dropped.carved_pumpkin: #7, 19(2%)
minecraft.crafted.white_shulker_box: #7, 6(4%)
minecraft.picked_up.deepslate_tile_wall: #7, 31(3%)
minecraft.picked_up.iron_horse_armor: #7, 1(3%)
minecraft.used.sandstone: #7, 529(2%)
minecraft.mined.twisting_vines_plant: #7, 19(3%)
minecraft.picked_up.bell: #7, 6(4%)
minecraft.mined.grindstone: #7, 16(2%)
minecraft.used.acacia_door: #7, 2(5%)
minecraft.crafted.crimson_planks: #7, 512(2%)
minecraft.picked_up.polished_granite: #7, 26(2%)
minecraft.dropped.blackstone: #7, 129(2%)
minecraft.used.birch_log: #7, 144(2%)
minecraft.mined.orange_terracotta: #7, 285(2%)
minecraft.dropped.deepslate_tile_slab: #7, 14(3%)
minecraft.picked_up.green_shulker_box: #7, 17(4%)
minecraft.crafted.cyan_terracotta: #7, 881(2%)
minecraft.used.lime_shulker_box: #7, 88(2%)
minecraft.mined.green_shulker_box: #7, 16(4%)
minecraft.picked_up.orange_terracotta: #7, 299(2%)
minecraft.crafted.oak_boat: #7, 18(1%)
minecraft.picked_up.birch_trapdoor: #7, 10(2%)
minecraft.killed.skeleton: #8, 1549(5%)
minecraft.used.green_shulker_box: #7, 17(3%)
minecraft.used.stone_axe: #8, 321(5%)
minecraft.picked_up.stripped_spruce_log: #7, 70(2%)
minecraft.crafted.ender_eye: #7, 21(2%)
minecraft.mined.polished_blackstone_bricks: #7, 29(2%)
minecraft.custom.drop: #8, 4658(5%)
minecraft.mined.gray_wool: #7, 5(2%)
minecraft.used.diamond_pickaxe: #8, 160652(5%)
minecraft.dropped.flowering_azalea: #7, 7(2%)
minecraft.crafted.brown_dye: #7, 85(2%)
minecraft.dropped.copper_ore: #7, 16(2%)
minecraft.picked_up.amethyst_cluster: #7, 96(1%)
minecraft.crafted.gray_stained_glass_pane: #7, 80(3%)
minecraft.dropped.cooked_chicken: #7, 7(2%)
minecraft.picked_up.stripped_birch_log: #7, 48(2%)
minecraft.dropped.golden_carrot: #8, 300(5%)
minecraft.picked_up.granite_wall: #7, 2(3%)
minecraft.mined.tuff: #8, 1817(5%)
minecraft.dropped.podzol: #7, 9(3%)
minecraft.crafted.red_sandstone: #7, 241(2%)
minecraft.crafted.powered_rail: #8, 414(6%)
minecraft.picked_up.acacia_fence_gate: #7, 1(3%)
minecraft.dropped.white_wool: #7, 9(1%)
minecraft.crafted.black_shulker_box: #7, 1(2%)
minecraft.crafted.gray_wool: #7, 34(1%)
minecraft.picked_up.ender_pearl: #8, 8004(5%)
minecraft.crafted.jungle_boat: #7, 1(2%)
minecraft.dropped.hopper: #7, 2(1%)
minecraft.picked_up.stone: #8, 80685(5%)
minecraft.picked_up.sea_pickle: #7, 192(1%)
minecraft.killed.pillager: #7, 33(1%)
minecraft.mined.target: #7, 2(2%)
minecraft.picked_up.hanging_roots: #7, 35(1%)
minecraft.used.blackstone_wall: #7, 16(2%)
minecraft.used.ice: #7, 256(1%)
minecraft.crafted.birch_boat: #7, 3(1%)
minecraft.custom.walk_under_water_one_cm: #9, 4256143(4%)
minecraft.mined.red_terracotta: #7, 88(1%)
minecraft.mined.stone_pressure_plate: #7, 2(1%)
minecraft.picked_up.redstone_torch: #8, 155(5%)
minecraft.picked_up.polished_blackstone_brick_stairs: #7, 7(1%)
minecraft.picked_up.medium_amethyst_bud: #7, 24(1%)
minecraft.used.stripped_birch_log: #7, 35(1%)
minecraft.mined.piston_head: #8, 5(6%)
minecraft.used.cobblestone: #8, 4142(4%)
minecraft.crafted.melon_seeds: #7, 12(1%)
