stat, rank, value, (percentage) 
minecraft.crafted.brewing_stand: #2, 26(17%)
minecraft.dropped.moss_block: #2, 785(15%)
minecraft.picked_up.sugar: #1, 112(17%)
minecraft.mined.spruce_stairs: #2, 249(13%)
minecraft.used.target: #2, 194(29%)
minecraft.mined.oxidized_copper: #2, 2838(18%)
minecraft.used.spruce_sign: #2, 461(14%)
minecraft.mined.fern: #2, 421(18%)
minecraft.picked_up.player_head: #2, 1127(11%)
minecraft.picked_up.golden_boots: #2, 45(14%)
minecraft.used.enchanting_table: #1, 6(11%)
minecraft.dropped.diamond_ore: #1, 6(55%)
minecraft.crafted.diamond: #2, 1404(14%)
minecraft.crafted.polished_blackstone_brick_slab: #2, 450(32%)
minecraft.mined.prismarine_bricks: #2, 1722(20%)
minecraft.mined.crimson_stem: #3, 930(19%)
minecraft.used.crimson_fungus: #2, 38(26%)
minecraft.crafted.warped_stairs: #2, 768(24%)
minecraft.used.netherrack: #2, 6453(12%)
minecraft.picked_up.leather_leggings: #2, 36(12%)
minecraft.dropped.diamond_chestplate: #1, 4(19%)
minecraft.mined.crimson_fence: #1, 5(42%)
minecraft.mined.horn_coral_fan: #2, 68(26%)
minecraft.picked_up.iron_shovel: #2, 26(13%)
minecraft.crafted.diamond_helmet: #2, 10(13%)
minecraft.picked_up.purpur_slab: #2, 47(25%)
minecraft.used.oak_fence: #2, 549(13%)
minecraft.picked_up.golden_leggings: #2, 41(13%)
minecraft.picked_up.leather_boots: #2, 44(13%)
minecraft.mined.chiseled_sandstone: #1, 3(25%)
minecraft.picked_up.chiseled_sandstone: #1, 3(25%)
minecraft.picked_up.prismarine_wall: #1, 16(33%)
minecraft.dropped.netherite_ingot: #1, 10(33%)
minecraft.killed.spider: #2, 296(12%)
minecraft.crafted.diamond_boots: #2, 10(11%)
minecraft.crafted.red_shulker_box: #2, 11(14%)
minecraft.picked_up.prismarine_brick_slab: #1, 91(98%)
minecraft.mined.prismarine_brick_slab: #1, 85(98%)
minecraft.custom.interact_with_stonecutter: #2, 689(12%)
minecraft.dropped.pumpkin: #2, 2504(37%)
minecraft.mined.enchanting_table: #1, 4(14%)
minecraft.used.warped_stairs: #2, 749(24%)
minecraft.used.purple_banner: #1, 7(64%)
minecraft.crafted.red_nether_brick_slab: #1, 42(64%)
minecraft.picked_up.weeping_vines: #2, 126(13%)
minecraft.mined.weeping_vines_plant: #2, 53(17%)
minecraft.crafted.chiseled_sandstone: #1, 16(94%)
minecraft.crafted.diamond_hoe: #2, 9(14%)
minecraft.dropped.crimson_stem: #1, 244(46%)
minecraft.crafted.golden_carrot: #2, 6267(14%)
minecraft.mined.fire_coral_block: #2, 701(32%)
minecraft.crafted.copper_block: #3, 4103(15%)
minecraft.crafted.smooth_sandstone: #2, 2368(28%)
minecraft.used.dropper: #2, 312(15%)
minecraft.mined.cartography_table: #2, 42(28%)
minecraft.used.orange_stained_glass_pane: #1, 14(29%)
minecraft.mined.bubble_coral_fan: #2, 75(27%)
minecraft.dropped.polished_blackstone_slab: #1, 39(57%)
minecraft.used.dark_oak_fence: #2, 407(13%)
minecraft.mined.brown_stained_glass: #1, 30(24%)
minecraft.picked_up.chainmail_helmet: #2, 15(19%)
minecraft.mined.brain_coral_fan: #2, 75(30%)
minecraft.picked_up.light_blue_banner: #1, 4(33%)
minecraft.picked_up.amethyst_block: #2, 2302(11%)
minecraft.dropped.white_stained_glass_pane: #1, 50(82%)
minecraft.dropped.brain_coral: #1, 6(55%)
minecraft.picked_up.soul_sand: #2, 1864(11%)
minecraft.mined.crimson_nylium: #2, 239(11%)
minecraft.picked_up.crimson_nylium: #2, 295(14%)
minecraft.used.filled_map: #1, 41(40%)
minecraft.mined.warped_door: #1, 4(27%)
minecraft.mined.jungle_pressure_plate: #1, 4(80%)
minecraft.picked_up.pointed_dripstone: #3, 4579(16%)
minecraft.used.red_nether_brick_slab: #1, 33(52%)
minecraft.picked_up.crimson_stem: #3, 1144(16%)
minecraft.used.cornflower: #2, 26(20%)
minecraft.picked_up.feather: #3, 282(15%)
minecraft.dropped.chainmail_boots: #2, 18(16%)
minecraft.crafted.granite_stairs: #1, 41(26%)
minecraft.crafted.dropper: #2, 303(13%)
minecraft.picked_up.nether_gold_ore: #2, 255(16%)
minecraft.crafted.cake: #2, 27(23%)
minecraft.used.dark_oak_log: #3, 3432(17%)
minecraft.mined.polished_blackstone: #2, 267(13%)
minecraft.dropped.enchanted_book: #2, 61(17%)
minecraft.dropped.ancient_debris: #1, 5(50%)
minecraft.mined.red_banner: #1, 6(30%)
minecraft.picked_up.warped_door: #1, 5(25%)
minecraft.mined.anvil: #2, 31(10%)
minecraft.mined.oak_sapling: #2, 51(11%)
minecraft.picked_up.cartography_table: #2, 39(22%)
minecraft.mined.copper_block: #2, 249(12%)
minecraft.dropped.player_head: #2, 447(10%)
minecraft.used.red_shulker_box: #2, 252(12%)
minecraft.used.purple_shulker_box: #2, 92(35%)
minecraft.used.birch_button: #2, 31(22%)
minecraft.crafted.brick: #3, 15242(16%)
minecraft.picked_up.red_shulker_box: #2, 243(11%)
minecraft.mined.emerald_ore: #2, 69(15%)
minecraft.picked_up.warped_fungus: #2, 100(12%)
minecraft.picked_up.dark_oak_button: #2, 24(21%)
minecraft.used.lectern: #3, 864(15%)
minecraft.crafted.glistering_melon_slice: #2, 87(18%)
minecraft.killed_by.zombified_piglin: #1, 2(33%)
minecraft.crafted.purple_banner: #1, 4(33%)
minecraft.dropped.polished_diorite_stairs: #1, 2(67%)
minecraft.used.brain_coral_block: #2, 289(23%)
minecraft.picked_up.chainmail_leggings: #2, 12(12%)
minecraft.mined.tube_coral: #2, 74(19%)
minecraft.dropped.iron_chestplate: #2, 8(12%)
minecraft.dropped.lead: #2, 18(10%)
minecraft.mined.sweet_berry_bush: #2, 143(15%)
minecraft.mined.red_shulker_box: #2, 229(11%)
minecraft.mined.dark_oak_stairs: #2, 76(10%)
minecraft.mined.tube_coral_fan: #2, 55(25%)
minecraft.picked_up.white_carpet: #2, 114(12%)
minecraft.crafted.prismarine_brick_slab: #1, 30(62%)
minecraft.mined.prismarine_brick_stairs: #2, 76(37%)
minecraft.picked_up.tube_coral: #2, 74(20%)
minecraft.used.warped_trapdoor: #2, 150(15%)
minecraft.picked_up.acacia_trapdoor: #2, 119(18%)
minecraft.crafted.iron_chestplate: #2, 8(9%)
minecraft.crafted.black_banner: #2, 40(27%)
minecraft.mined.bricks: #2, 82(18%)
minecraft.picked_up.polished_blackstone_stairs: #2, 139(14%)
minecraft.picked_up.copper_ingot: #3, 3885(15%)
minecraft.picked_up.writable_book: #2, 15(10%)
minecraft.mined.purple_shulker_box: #2, 92(35%)
minecraft.picked_up.purple_shulker_box: #2, 92(35%)
minecraft.crafted.orange_stained_glass_pane: #1, 16(18%)
minecraft.mined.warped_stem: #2, 810(10%)
minecraft.dropped.dark_oak_log: #2, 134(11%)
minecraft.used.nether_wart: #3, 964(14%)
minecraft.crafted.lectern: #3, 54(15%)
minecraft.crafted.orange_shulker_box: #2, 8(21%)
minecraft.picked_up.brick_slab: #2, 20(26%)
minecraft.crafted.terracotta: #2, 45(34%)
minecraft.used.prismarine_slab: #2, 121(40%)
minecraft.dropped.cocoa_beans: #2, 34(25%)
minecraft.used.polished_deepslate_stairs: #3, 1744(15%)
minecraft.custom.clean_shulker_box: #1, 11(100%)
minecraft.mined.potted_red_mushroom: #1, 1(50%)
minecraft.mined.purple_wall_banner: #1, 3(100%)
minecraft.picked_up.purple_banner: #1, 3(100%)
minecraft.picked_up.jungle_pressure_plate: #1, 4(100%)
minecraft.crafted.warped_fungus_on_a_stick: #1, 1(50%)
minecraft.crafted.flower_banner_pattern: #1, 1(50%)
minecraft.dropped.red_nether_bricks: #1, 48(100%)
minecraft.dropped.black_shulker_box: #1, 1(50%)
minecraft.dropped.pink_terracotta: #1, 1(50%)
minecraft.dropped.soul_lantern: #1, 1(20%)
minecraft.dropped.yellow_shulker_box: #1, 1(100%)
minecraft.dropped.deepslate_diamond_ore: #1, 10(100%)
minecraft.killed.strider: #1, 2(100%)
minecraft.used.black_dye: #1, 1(33%)
minecraft.mined.potted_cornflower: #1, 1(17%)
minecraft.dropped.light_blue_banner: #1, 1(33%)
minecraft.dropped.music_disc_cat: #1, 1(33%)
minecraft.used.cut_copper: #2, 185(17%)
minecraft.dropped.stone_pickaxe: #2, 10(12%)
minecraft.used.oak_boat: #3, 120(12%)
minecraft.picked_up.iron_ingot: #2, 8065(7%)
minecraft.dropped.iron_trapdoor: #2, 16(22%)
minecraft.used.piston: #3, 611(12%)
minecraft.used.brick_slab: #2, 234(24%)
minecraft.crafted.diamond_shovel: #2, 10(7%)
minecraft.picked_up.netherrack: #2, 21954(7%)
minecraft.picked_up.oak_boat: #3, 128(12%)
minecraft.used.diorite_wall: #2, 50(17%)
minecraft.used.lilac: #2, 21(11%)
minecraft.used.brick_stairs: #2, 209(19%)
minecraft.mined.prismarine_wall: #2, 16(31%)
minecraft.picked_up.crimson_roots: #3, 335(13%)
minecraft.used.oak_trapdoor: #3, 449(11%)
minecraft.mined.prismarine: #2, 814(13%)
minecraft.mined.oak_trapdoor: #3, 153(11%)
minecraft.mined.lectern: #3, 817(15%)
minecraft.picked_up.petrified_oak_slab: #2, 53(26%)
minecraft.killed.salmon: #2, 19(13%)
minecraft.dropped.iron_helmet: #2, 7(12%)
minecraft.used.smooth_stone: #2, 2110(10%)
minecraft.mined.brain_coral: #2, 82(16%)
minecraft.dropped.axolotl_bucket: #2, 6(20%)
minecraft.crafted.stone_axe: #3, 15(12%)
minecraft.picked_up.nether_quartz_ore: #3, 1211(13%)
minecraft.picked_up.enchanting_table: #2, 4(12%)
minecraft.used.petrified_oak_slab: #2, 82(25%)
minecraft.crafted.enchanting_table: #2, 3(10%)
minecraft.crafted.petrified_oak_slab: #2, 121(43%)
minecraft.killed.wandering_trader: #2, 8(10%)
minecraft.crafted.smoker: #3, 14(17%)
minecraft.picked_up.polished_blackstone: #3, 355(13%)
minecraft.picked_up.cracked_deepslate_tiles: #2, 40(17%)
minecraft.mined.oak_fence_gate: #2, 24(11%)
minecraft.mined.barrel: #3, 152(11%)
minecraft.mined.brick_stairs: #2, 14(21%)
minecraft.crafted.spruce_sign: #3, 402(12%)
minecraft.dropped.bow: #3, 193(10%)
minecraft.used.cooked_salmon: #2, 16(16%)
minecraft.crafted.oak_slab: #3, 1416(10%)
minecraft.crafted.crimson_trapdoor: #2, 120(15%)
minecraft.crafted.piston: #3, 755(11%)
minecraft.mined.redstone_block: #2, 119(6%)
minecraft.used.peony: #2, 9(12%)
minecraft.picked_up.prismarine: #2, 836(12%)
minecraft.crafted.oak_fence: #2, 300(8%)
minecraft.mined.granite_slab: #2, 25(27%)
minecraft.picked_up.stone_stairs: #2, 328(8%)
minecraft.picked_up.nether_brick: #2, 550(13%)
minecraft.crafted.nether_brick_slab: #2, 276(16%)
minecraft.mined.composter: #3, 83(12%)
minecraft.used.lantern: #3, 448(11%)
minecraft.crafted.iron_block: #4, 10259(14%)
minecraft.picked_up.purpur_block: #2, 158(9%)
minecraft.mined.purpur_block: #2, 162(9%)
minecraft.mined.spruce_trapdoor: #3, 385(10%)
minecraft.picked_up.fern: #2, 505(15%)
minecraft.mined.deepslate_tile_slab: #3, 453(10%)
minecraft.dropped.shield: #2, 4(10%)
minecraft.mined.petrified_oak_slab: #2, 48(25%)
minecraft.dropped.iron_bars: #2, 91(16%)
minecraft.crafted.stone_hoe: #3, 10(13%)
minecraft.picked_up.sweet_berries: #3, 419(12%)
minecraft.dropped.stone_hoe: #2, 4(12%)
minecraft.crafted.nether_brick_wall: #2, 80(24%)
minecraft.picked_up.spruce_stairs: #3, 289(10%)
minecraft.used.warped_door: #2, 9(18%)
