stat, rank, value, (percentage) 
minecraft.mined.spruce_fence: #2, 446(18%)
minecraft.mined.smooth_quartz: #1, 97(21%)
minecraft.broken.stone_axe: #1, 6(18%)
minecraft.picked_up.netherite_axe: #2, 36(25%)
minecraft.crafted.spruce_slab: #1, 3358(13%)
minecraft.crafted.anvil: #2, 197(15%)
minecraft.mined.green_carpet: #1, 28(36%)
minecraft.mined.gray_concrete_powder: #1, 31(29%)
minecraft.mined.granite_slab: #1, 45(48%)
minecraft.picked_up.tinted_glass: #2, 660(18%)
minecraft.picked_up.spruce_fence_gate: #2, 197(20%)
minecraft.crafted.orange_terracotta: #1, 304(26%)
minecraft.killed.glow_squid: #2, 29(18%)
minecraft.crafted.red_nether_bricks: #1, 457(40%)
minecraft.used.pink_stained_glass: #1, 322(46%)
minecraft.picked_up.glow_berries: #2, 1172(16%)
minecraft.mined.player_wall_head: #2, 32(18%)
minecraft.mined.potted_azalea_bush: #1, 6(55%)
minecraft.mined.granite_wall: #1, 14(39%)
minecraft.picked_up.spruce_sapling: #2, 2134(15%)
minecraft.picked_up.lapis_ore: #2, 248(17%)
minecraft.crafted.player_head: #2, 570(22%)
minecraft.used.anvil: #2, 194(14%)
minecraft.dropped.brown_stained_glass: #1, 24(89%)
minecraft.mined.cocoa: #2, 315(20%)
minecraft.killed.cod: #2, 257(21%)
minecraft.mined.jungle_door: #1, 27(66%)
minecraft.used.stripped_jungle_wood: #1, 57(33%)
minecraft.picked_up.spruce_stairs: #2, 426(15%)
minecraft.dropped.orange_shulker_box: #1, 9(64%)
minecraft.picked_up.lead: #2, 327(14%)
minecraft.crafted.cut_copper_slab: #1, 180(25%)
minecraft.mined.blackstone: #2, 5953(14%)
minecraft.custom.interact_with_blast_furnace: #2, 481(16%)
minecraft.crafted.cyan_carpet: #1, 45(62%)
minecraft.crafted.yellow_bed: #1, 8(28%)
minecraft.picked_up.barrel: #2, 251(14%)
minecraft.picked_up.netherite_sword: #2, 28(23%)
minecraft.picked_up.netherite_pickaxe: #2, 65(16%)
minecraft.picked_up.polished_blackstone: #2, 455(17%)
minecraft.used.orange_candle: #1, 27(82%)
minecraft.used.nether_wart_block: #2, 227(25%)
minecraft.dropped.cyan_terracotta: #2, 323(35%)
minecraft.mined.gray_concrete: #2, 3115(23%)
minecraft.picked_up.stripped_jungle_log: #2, 161(27%)
minecraft.picked_up.orange_terracotta: #3, 3774(22%)
minecraft.dropped.dark_oak_planks: #2, 241(18%)
minecraft.used.polished_blackstone_slab: #2, 1295(21%)
minecraft.picked_up.brown_concrete_powder: #1, 146(49%)
minecraft.used.red_terracotta: #2, 718(24%)
minecraft.used.brown_terracotta: #2, 3555(26%)
minecraft.used.birch_planks: #2, 1013(15%)
minecraft.used.acacia_slab: #1, 763(22%)
minecraft.mined.stripped_jungle_log: #2, 168(26%)
minecraft.mined.potted_poppy: #1, 4(40%)
minecraft.picked_up.iron_bars: #2, 340(14%)
minecraft.used.flower_pot: #2, 141(15%)
minecraft.used.snowball: #1, 504(12%)
minecraft.dropped.elytra: #1, 16(13%)
minecraft.crafted.smooth_basalt: #1, 295(58%)
minecraft.custom.sneak_time: #3, 3534812(8%)
minecraft.used.emerald_ore: #1, 12(29%)
minecraft.mined.small_dripleaf: #1, 6(21%)
minecraft.used.netherite_boots: #1, 12(38%)
minecraft.crafted.gray_shulker_box: #1, 6(25%)
minecraft.picked_up.iron_hoe: #1, 4(25%)
minecraft.crafted.spruce_sign: #2, 495(15%)
minecraft.used.cyan_carpet: #1, 42(56%)
minecraft.picked_up.deepslate_gold_ore: #2, 161(15%)
minecraft.picked_up.iron_pickaxe: #2, 28(17%)
minecraft.used.stone_axe: #2, 772(12%)
minecraft.picked_up.spruce_slab: #2, 816(13%)
minecraft.mined.deepslate_gold_ore: #2, 398(12%)
minecraft.broken.iron_axe: #2, 19(16%)
minecraft.used.netherite_helmet: #1, 9(36%)
minecraft.mined.cyan_terracotta: #2, 342(20%)
minecraft.dropped.spruce_slab: #2, 120(20%)
minecraft.mined.spruce_wall_sign: #2, 44(14%)
minecraft.crafted.light_gray_shulker_box: #1, 5(36%)
minecraft.picked_up.granite_wall: #1, 16(27%)
minecraft.mined.acacia_planks: #2, 400(26%)
minecraft.picked_up.orange_carpet: #1, 36(71%)
minecraft.crafted.oak_trapdoor: #2, 438(12%)
minecraft.picked_up.lantern: #3, 580(17%)
minecraft.crafted.written_book: #1, 14(70%)
minecraft.picked_up.quartz: #2, 6540(12%)
minecraft.picked_up.deepslate_lapis_ore: #2, 70(16%)
minecraft.picked_up.shroomlight: #2, 595(12%)
minecraft.picked_up.birch_boat: #2, 58(18%)
minecraft.picked_up.string: #2, 2316(11%)
minecraft.used.stone: #2, 57770(12%)
minecraft.picked_up.coal_ore: #2, 4562(12%)
minecraft.picked_up.polished_blackstone_slab: #2, 181(20%)
minecraft.crafted.brown_terracotta: #2, 3880(38%)
minecraft.used.diamond_ore: #2, 215(14%)
minecraft.mined.spruce_planks: #2, 1466(12%)
minecraft.picked_up.andesite_wall: #2, 431(23%)
minecraft.dropped.pink_stained_glass: #1, 64(98%)
minecraft.dropped.oak_wood: #1, 64(98%)
minecraft.mined.deepslate_diamond_ore: #2, 293(11%)
minecraft.mined.orange_carpet: #1, 36(97%)
minecraft.picked_up.flint: #2, 1120(11%)
minecraft.mined.deepslate_redstone_ore: #2, 1173(11%)
minecraft.used.iron_axe: #2, 5560(11%)
minecraft.used.stripped_jungle_log: #2, 151(32%)
minecraft.used.netherite_leggings: #1, 12(48%)
minecraft.used.spruce_fence: #2, 1416(13%)
minecraft.dropped.spruce_planks: #2, 350(14%)
minecraft.picked_up.andesite_slab: #2, 135(17%)
minecraft.mined.red_wool: #2, 991(19%)
minecraft.picked_up.moss_block: #2, 8862(11%)
minecraft.picked_up.snow_block: #2, 3745(20%)
minecraft.used.nether_brick_slab: #2, 265(28%)
minecraft.used.andesite_wall: #2, 451(18%)
minecraft.crafted.barrel: #2, 352(11%)
minecraft.mined.diamond_ore: #2, 611(11%)
minecraft.mined.amethyst_block: #2, 2222(12%)
minecraft.picked_up.diamond: #2, 1455(10%)
minecraft.picked_up.netherite_helmet: #2, 20(19%)
minecraft.picked_up.flower_pot: #2, 68(12%)
minecraft.picked_up.red_carpet: #2, 58(24%)
minecraft.mined.polished_blackstone_slab: #2, 143(19%)
minecraft.crafted.black_terracotta: #2, 968(26%)
minecraft.used.jungle_door: #1, 29(33%)
minecraft.crafted.diamond_block: #2, 203(11%)
minecraft.dropped.gray_wool: #2, 64(20%)
minecraft.mined.blast_furnace: #2, 19(13%)
minecraft.mined.iron_bars: #2, 107(11%)
minecraft.crafted.nautilus_shell: #1, 13(32%)
minecraft.picked_up.brown_carpet: #2, 144(26%)
minecraft.mined.polished_granite_stairs: #1, 9(31%)
minecraft.picked_up.diamond_ore: #2, 215(11%)
minecraft.picked_up.ancient_debris: #2, 151(13%)
minecraft.mined.glass_pane: #2, 127(18%)
minecraft.broken.leather_boots: #1, 2(50%)
minecraft.crafted.brown_bed: #1, 4(50%)
minecraft.dropped.red_shulker_box: #1, 3(75%)
minecraft.mined.orange_terracotta: #3, 2500(17%)
minecraft.mined.stone_stairs: #2, 143(12%)
minecraft.used.spruce_trapdoor: #3, 1866(13%)
minecraft.killed.phantom: #2, 112(11%)
minecraft.mined.dirt_path: #3, 1240(13%)
minecraft.picked_up.deepslate_brick_wall: #2, 66(17%)
minecraft.mined.mossy_cobblestone_stairs: #2, 31(27%)
minecraft.crafted.netherite_scrap: #2, 150(19%)
minecraft.picked_up.spruce_pressure_plate: #2, 14(27%)
minecraft.mined.ancient_debris: #2, 151(13%)
minecraft.used.green_concrete_powder: #2, 351(27%)
minecraft.picked_up.smithing_table: #2, 35(18%)
minecraft.picked_up.calcite: #2, 3417(9%)
minecraft.crafted.spruce_fence: #2, 1158(11%)
minecraft.used.smooth_basalt: #2, 577(11%)
minecraft.mined.potted_lily_of_the_valley: #1, 2(67%)
minecraft.broken.shield: #1, 2(67%)
minecraft.crafted.rooted_dirt: #1, 20(67%)
minecraft.mined.nether_wart_block: #3, 919(13%)
minecraft.crafted.yellow_concrete_powder: #2, 760(19%)
minecraft.dropped.dark_oak_trapdoor: #2, 21(16%)
minecraft.dropped.shulker_box: #2, 32(11%)
minecraft.dropped.netherite_pickaxe: #2, 13(11%)
minecraft.picked_up.gray_shulker_box: #2, 144(23%)
minecraft.used.green_wool: #2, 286(20%)
minecraft.custom.eat_cake_slice: #2, 28(28%)
minecraft.crafted.cyan_terracotta: #2, 5200(14%)
minecraft.mined.torch: #2, 1908(8%)
minecraft.dropped.spruce_log: #3, 928(18%)
minecraft.picked_up.light_gray_bed: #1, 15(39%)
minecraft.dropped.name_tag: #2, 35(22%)
minecraft.picked_up.smooth_quartz_stairs: #2, 163(24%)
minecraft.dropped.andesite_wall: #2, 63(36%)
minecraft.used.campfire: #3, 204(14%)
minecraft.dropped.mossy_cobblestone_wall: #1, 15(58%)
minecraft.picked_up.cooked_cod: #3, 93(21%)
minecraft.used.spruce_sign: #3, 449(14%)
minecraft.crafted.acacia_slab: #2, 736(16%)
minecraft.crafted.polished_diorite_stairs: #2, 33(30%)
minecraft.picked_up.yellow_concrete: #3, 528(18%)
minecraft.mined.jungle_sapling: #2, 40(19%)
minecraft.picked_up.birch_planks: #3, 424(12%)
minecraft.dropped.stone_slab: #2, 358(11%)
minecraft.picked_up.diamond_hoe: #2, 20(11%)
minecraft.used.cyan_terracotta: #2, 3917(13%)
minecraft.dropped.netherite_shovel: #2, 6(15%)
minecraft.crafted.green_concrete_powder: #2, 384(23%)
minecraft.mined.acacia_leaves: #2, 3295(12%)
minecraft.picked_up.mossy_cobblestone_stairs: #2, 43(20%)
minecraft.picked_up.powder_snow_bucket: #2, 7(13%)
minecraft.crafted.spruce_fence_gate: #3, 295(14%)
minecraft.picked_up.iron_door: #2, 20(11%)
minecraft.picked_up.netherite_boots: #3, 29(19%)
minecraft.dropped.diamond_axe: #2, 14(11%)
minecraft.crafted.netherite_ingot: #2, 36(13%)
minecraft.mined.soul_sand: #3, 1174(12%)
minecraft.broken.diamond_hoe: #1, 1(100%)
minecraft.mined.potted_crimson_roots: #1, 1(100%)
minecraft.mined.potted_crimson_fungus: #1, 2(100%)
minecraft.mined.orange_candle: #1, 6(100%)
minecraft.picked_up.netherite_scrap: #1, 4(100%)
minecraft.picked_up.orange_candle: #1, 13(100%)
minecraft.crafted.gunpowder: #1, 8(100%)
minecraft.crafted.orange_tulip: #1, 3(100%)
minecraft.dropped.smooth_red_sandstone_slab: #1, 1(100%)
minecraft.dropped.music_disc_far: #1, 1(100%)
minecraft.dropped.waxed_copper_block: #1, 3(100%)
minecraft.dropped.brown_bed: #1, 2(100%)
minecraft.dropped.lectern: #1, 1(50%)
minecraft.dropped.cut_copper: #1, 10(100%)
minecraft.dropped.brown_shulker_box: #1, 1(100%)
minecraft.dropped.bee_nest: #1, 1(50%)
minecraft.dropped.gray_shulker_box: #1, 4(100%)
minecraft.dropped.light_gray_bed: #1, 1(100%)
minecraft.killed.polar_bear: #1, 3(100%)
minecraft.crafted.magenta_carpet: #1, 3(33%)
minecraft.picked_up.nether_wart_block: #3, 832(12%)
minecraft.used.spruce_slab: #3, 2247(12%)
minecraft.crafted.brown_dye: #2, 579(10%)
minecraft.picked_up.lectern: #3, 814(16%)
minecraft.used.glow_berries: #3, 425(13%)
minecraft.used.stone_shovel: #2, 1643(9%)
minecraft.crafted.jungle_sign: #2, 51(16%)
minecraft.picked_up.leather_horse_armor: #2, 5(31%)
minecraft.crafted.arrow: #2, 336(23%)
minecraft.crafted.jungle_fence_gate: #2, 25(18%)
minecraft.crafted.smooth_quartz_stairs: #2, 133(23%)
minecraft.picked_up.polished_granite_slab: #2, 66(20%)
minecraft.used.spruce_boat: #3, 60(13%)
minecraft.used.dark_oak_sapling: #3, 606(16%)
minecraft.crafted.compass: #3, 96(18%)
minecraft.custom.sprint_one_cm: #3, 92205099(7%)
minecraft.picked_up.dark_oak_log: #3, 7918(11%)
minecraft.mined.dark_oak_log: #3, 6685(11%)
minecraft.dropped.stick: #3, 1479(11%)
minecraft.picked_up.baked_potato: #3, 1344(11%)
minecraft.used.netherite_shovel: #2, 121897(14%)
minecraft.crafted.blackstone_wall: #2, 126(34%)
minecraft.used.light_gray_bed: #2, 14(34%)
minecraft.mined.spore_blossom: #2, 8(13%)
minecraft.mined.blackstone_wall: #2, 18(24%)
minecraft.picked_up.gold_ore: #3, 362(11%)
minecraft.dropped.netherrack: #2, 12032(7%)
minecraft.picked_up.dark_oak_sapling: #3, 733(12%)
minecraft.picked_up.jungle_fence: #2, 64(13%)
minecraft.crafted.cyan_dye: #3, 806(12%)
minecraft.used.mossy_stone_brick_slab: #2, 133(28%)
minecraft.picked_up.diamond_horse_armor: #2, 6(21%)
minecraft.mined.brown_concrete_powder: #2, 35(33%)
minecraft.mined.redstone_ore: #3, 2609(10%)
minecraft.picked_up.painting: #2, 300(8%)
minecraft.used.quartz_pillar: #2, 283(32%)
minecraft.used.coarse_dirt: #3, 4082(12%)
minecraft.dropped.diamond_chestplate: #2, 3(14%)
minecraft.picked_up.amethyst_block: #3, 2221(11%)
minecraft.used.jungle_sign: #2, 60(13%)
minecraft.mined.amethyst_cluster: #3, 1438(12%)
minecraft.used.cut_copper_slab: #2, 180(13%)
minecraft.custom.crouch_one_cm: #3, 12636787(8%)
minecraft.used.powder_snow_bucket: #2, 117(12%)
minecraft.used.written_book: #2, 671(7%)
minecraft.used.brown_carpet: #2, 350(14%)
minecraft.mined.oak_button: #2, 4(17%)
minecraft.mined.deepslate_coal_ore: #3, 1259(10%)
minecraft.custom.pig_one_cm: #2, 257333(19%)
minecraft.picked_up.deepslate: #3, 11773(10%)
minecraft.mined.deepslate_copper_ore: #3, 128(10%)
minecraft.used.deepslate_diamond_ore: #3, 98(13%)
minecraft.used.hay_block: #2, 178(7%)
minecraft.used.yellow_concrete_powder: #2, 517(12%)
minecraft.used.yellow_concrete: #2, 383(13%)
minecraft.picked_up.oak_stairs: #3, 113(11%)
minecraft.used.stone_stairs: #3, 434(12%)
minecraft.crafted.fletching_table: #2, 5(16%)
minecraft.crafted.lapis_lazuli: #3, 1215(11%)
minecraft.mined.tuff: #3, 3509(9%)
minecraft.picked_up.mossy_cobblestone_wall: #2, 43(29%)
minecraft.used.weathered_cut_copper: #2, 6(29%)
minecraft.picked_up.brown_dye: #2, 42(20%)
minecraft.mined.yellow_concrete: #3, 528(14%)
minecraft.broken.stone_shovel: #2, 12(9%)
minecraft.dropped.leather_horse_armor: #2, 6(46%)
minecraft.picked_up.emerald_ore: #2, 18(11%)
minecraft.used.snow_block: #3, 9318(17%)
minecraft.mined.jungle_leaves: #2, 1710(8%)
minecraft.crafted.polished_granite_slab: #2, 66(17%)
minecraft.picked_up.iron_ore: #3, 2292(9%)
minecraft.used.gray_concrete: #3, 2842(17%)
minecraft.used.gold_ore: #3, 286(12%)
minecraft.used.moss_carpet: #3, 1762(10%)
minecraft.used.red_carpet: #2, 115(10%)
minecraft.picked_up.stick: #3, 5237(9%)
minecraft.mined.nether_gold_ore: #3, 338(11%)
minecraft.crafted.stone_brick_stairs: #3, 252(12%)
minecraft.dropped.diamond_pickaxe: #3, 18(9%)
minecraft.picked_up.mossy_stone_brick_wall: #2, 38(43%)
minecraft.mined.acacia_fence_gate: #2, 6(21%)
minecraft.dropped.oak_log: #3, 258(11%)
minecraft.crafted.spruce_boat: #2, 36(6%)
minecraft.used.mossy_stone_brick_stairs: #2, 133(16%)
minecraft.dropped.white_shulker_box: #2, 2(25%)
minecraft.dropped.diamond_hoe: #2, 5(18%)
minecraft.mined.potted_flowering_azalea_bush: #2, 4(25%)
minecraft.custom.fill_cauldron: #2, 38(7%)
minecraft.used.acacia_log: #3, 664(13%)
minecraft.picked_up.green_carpet: #2, 30(14%)
minecraft.used.birch_leaves: #3, 1333(13%)
minecraft.dropped.iron_hoe: #2, 2(15%)
minecraft.used.black_terracotta: #2, 174(20%)
minecraft.mined.calcite: #3, 2984(9%)
minecraft.dropped.spruce_trapdoor: #3, 68(16%)
minecraft.mined.coal_ore: #3, 9670(9%)
minecraft.picked_up.cooked_chicken: #3, 174(14%)
minecraft.picked_up.granite_slab: #2, 45(20%)
minecraft.picked_up.cocoa_beans: #3, 1148(12%)
minecraft.mined.weathered_cut_copper: #2, 6(24%)
minecraft.picked_up.weathered_cut_copper: #2, 6(24%)
minecraft.dropped.ender_pearl: #3, 13841(9%)
minecraft.used.netherite_hoe: #2, 8896(17%)
minecraft.used.lectern: #4, 823(14%)
minecraft.crafted.cyan_stained_glass: #2, 200(8%)
