stat, rank, value, (percentage) 
minecraft.picked_up.cyan_dye: #2, 96(30%)
minecraft.crafted.red_stained_glass: #2, 840(21%)
minecraft.killed.vex: #1, 15(83%)
minecraft.dropped.spruce_pressure_plate: #1, 5(42%)
minecraft.picked_up.coarse_dirt: #2, 1726(11%)
minecraft.crafted.magenta_stained_glass: #2, 832(33%)
minecraft.broken.golden_chestplate: #1, 2(40%)
minecraft.crafted.pink_stained_glass: #2, 320(26%)
minecraft.mined.nether_brick_slab: #2, 23(23%)
minecraft.crafted.blue_stained_glass: #2, 384(28%)
minecraft.broken.chainmail_chestplate: #1, 3(75%)
minecraft.broken.iron_chestplate: #1, 2(50%)
minecraft.mined.jungle_stairs: #2, 57(19%)
minecraft.picked_up.crimson_fungus: #2, 67(12%)
minecraft.picked_up.bricks: #2, 564(21%)
minecraft.crafted.purple_stained_glass: #2, 672(31%)
minecraft.crafted.yellow_dye: #3, 982(16%)
minecraft.crafted.gray_glazed_terracotta: #1, 512(73%)
minecraft.used.glass_bottle: #2, 682(11%)
minecraft.broken.chainmail_leggings: #1, 2(67%)
minecraft.dropped.target: #1, 6(67%)
minecraft.crafted.light_blue_dye: #2, 302(10%)
minecraft.picked_up.gray_stained_glass_pane: #2, 61(19%)
minecraft.used.brown_glazed_terracotta: #1, 28(65%)
minecraft.used.weathered_cut_copper_slab: #2, 83(32%)
minecraft.used.crossbow: #2, 75(32%)
minecraft.mined.clay: #3, 868(13%)
minecraft.dropped.nautilus_shell: #1, 7(41%)
minecraft.dropped.furnace: #2, 8(22%)
minecraft.picked_up.jungle_stairs: #2, 71(17%)
minecraft.picked_up.raw_gold_block: #2, 23(24%)
minecraft.used.loom: #2, 24(13%)
minecraft.mined.weathered_copper: #2, 116(12%)
minecraft.dropped.crossbow: #2, 32(15%)
minecraft.picked_up.weathered_copper: #2, 116(12%)
minecraft.crafted.red_sandstone: #2, 2326(20%)
minecraft.dropped.filled_map: #2, 10(12%)
minecraft.used.green_shulker_box: #2, 111(21%)
minecraft.dropped.fermented_spider_eye: #1, 172(56%)
minecraft.dropped.dropper: #2, 33(35%)
minecraft.mined.raw_copper_block: #2, 26(26%)
minecraft.used.composter: #3, 269(13%)
minecraft.picked_up.cooked_rabbit: #1, 62(52%)
minecraft.dropped.red_dye: #2, 64(25%)
minecraft.picked_up.jungle_slab: #2, 165(15%)
minecraft.broken.iron_leggings: #1, 1(100%)
minecraft.broken.stone_sword: #1, 1(100%)
minecraft.broken.chainmail_helmet: #1, 1(100%)
minecraft.used.lingering_potion: #1, 3(100%)
minecraft.used.spider_eye: #1, 983(100%)
minecraft.crafted.tipped_arrow: #1, 2016(100%)
minecraft.crafted.weathered_cut_copper_slab: #1, 22(100%)
minecraft.killed.donkey: #1, 241(100%)
minecraft.picked_up.purple_glazed_terracotta: #1, 1(100%)
minecraft.picked_up.lingering_potion: #1, 481(100%)
minecraft.dropped.chiseled_red_sandstone: #1, 1(100%)
minecraft.dropped.purple_glazed_terracotta: #1, 1(100%)
minecraft.dropped.green_shulker_box: #1, 1(100%)
minecraft.dropped.pink_glazed_terracotta: #1, 1(100%)
minecraft.dropped.red_glazed_terracotta: #1, 1(100%)
minecraft.dropped.jungle_wood: #1, 3(100%)
minecraft.dropped.blue_terracotta: #1, 1(100%)
minecraft.dropped.gray_glazed_terracotta: #1, 1(100%)
minecraft.dropped.black_glazed_terracotta: #1, 1(100%)
minecraft.dropped.cyan_stained_glass: #1, 37(100%)
minecraft.dropped.yellow_glazed_terracotta: #1, 1(100%)
minecraft.dropped.prismarine_slab: #1, 6(100%)
minecraft.dropped.purple_stained_glass: #1, 1(100%)
minecraft.dropped.black_terracotta: #1, 1(100%)
minecraft.dropped.lingering_potion: #1, 389(100%)
minecraft.dropped.purple_terracotta: #1, 2(100%)
minecraft.dropped.smooth_red_sandstone: #1, 1(100%)
minecraft.dropped.brown_glazed_terracotta: #1, 1(100%)
minecraft.killed_by.endermite: #1, 1(50%)
minecraft.dropped.dispenser: #2, 8(38%)
minecraft.killed.skeleton: #3, 3372(11%)
minecraft.dropped.cooked_cod: #2, 13(17%)
minecraft.dropped.fishing_rod: #2, 10(30%)
minecraft.mined.smooth_stone: #3, 681(15%)
minecraft.dropped.smooth_stone: #2, 67(15%)
minecraft.picked_up.jungle_wood: #2, 46(30%)
minecraft.crafted.yellow_stained_glass: #2, 832(19%)
minecraft.dropped.gold_ingot: #3, 443(16%)
minecraft.dropped.sandstone_slab: #2, 12(34%)
minecraft.crafted.red_dye: #3, 1122(11%)
minecraft.picked_up.pink_dye: #2, 64(27%)
minecraft.dropped.flint_and_steel: #2, 4(11%)
minecraft.mined.dead_bush: #3, 517(10%)
minecraft.mined.waxed_copper_block: #2, 21(16%)
minecraft.dropped.sticky_piston: #2, 19(25%)
minecraft.used.bee_nest: #2, 13(12%)
minecraft.used.weathered_cut_copper_stairs: #2, 38(24%)
minecraft.picked_up.honey_block: #2, 83(11%)
minecraft.dropped.dragon_head: #2, 2(29%)
minecraft.picked_up.azalea: #3, 1112(10%)
minecraft.picked_up.tipped_arrow: #2, 134(20%)
minecraft.crafted.dark_oak_boat: #3, 22(16%)
minecraft.dropped.netherite_boots: #2, 3(15%)
minecraft.picked_up.enchanted_book: #3, 56(10%)
minecraft.dropped.leather_helmet: #3, 27(11%)
minecraft.used.water_bucket: #3, 2204(8%)
minecraft.dropped.rabbit_foot: #2, 54(32%)
minecraft.mined.lilac: #3, 21(10%)
minecraft.used.weathered_copper: #2, 44(9%)
minecraft.used.light_gray_terracotta: #2, 588(13%)
minecraft.picked_up.red_sand: #2, 10007(10%)
minecraft.killed.guardian: #2, 230(21%)
minecraft.dropped.warped_roots: #3, 270(17%)
minecraft.dropped.pink_dye: #2, 64(25%)
minecraft.picked_up.weathered_cut_copper_slab: #2, 9(20%)
minecraft.crafted.lime_dye: #3, 788(11%)
minecraft.dropped.cod: #2, 167(7%)
minecraft.picked_up.smooth_stone_slab: #3, 410(11%)
minecraft.picked_up.sugar_cane: #3, 8939(9%)
minecraft.mined.red_sand: #2, 10229(10%)
minecraft.mined.bell: #2, 10(11%)
minecraft.used.stone_sword: #3, 122(13%)
minecraft.mined.sugar_cane: #3, 4375(8%)
minecraft.dropped.golden_boots: #3, 34(11%)
minecraft.picked_up.blue_dye: #3, 83(19%)
minecraft.killed.axolotl: #2, 6(12%)
minecraft.crafted.mossy_cobblestone: #3, 892(13%)
minecraft.broken.leather_chestplate: #2, 1(50%)
minecraft.dropped.pink_terracotta: #2, 1(50%)
minecraft.picked_up.heart_of_the_sea: #2, 9(14%)
minecraft.mined.green_glazed_terracotta: #2, 1(50%)
minecraft.crafted.spruce_fence_gate: #4, 290(14%)
minecraft.dropped.bone_block: #2, 128(10%)
minecraft.mined.bee_nest: #3, 16(12%)
minecraft.crafted.green_dye: #3, 748(9%)
minecraft.dropped.hanging_roots: #2, 23(47%)
minecraft.picked_up.chainmail_leggings: #3, 10(10%)
minecraft.dropped.twisting_vines: #2, 101(9%)
minecraft.picked_up.prismarine_slab: #2, 7(23%)
minecraft.crafted.weathered_cut_copper_stairs: #2, 4(31%)
minecraft.crafted.hay_block: #3, 495(9%)
minecraft.used.brick_wall: #2, 78(11%)
minecraft.dropped.redstone_lamp: #2, 4(17%)
minecraft.crafted.arrow: #3, 336(23%)
minecraft.picked_up.bee_nest: #3, 16(12%)
minecraft.mined.target: #3, 19(20%)
minecraft.mined.light_gray_terracotta: #3, 2149(18%)
minecraft.mined.prismarine_slab: #2, 5(21%)
minecraft.dropped.coarse_dirt: #3, 180(13%)
minecraft.dropped.sweet_berries: #3, 64(14%)
minecraft.used.smooth_stone: #3, 2078(10%)
minecraft.crafted.green_terracotta: #2, 1088(6%)
minecraft.picked_up.light_gray_terracotta: #3, 2123(18%)
minecraft.crafted.cracked_stone_bricks: #2, 752(6%)
minecraft.dropped.iron_chestplate: #3, 6(9%)
minecraft.picked_up.sea_pickle: #3, 1675(9%)
minecraft.crafted.redstone_lamp: #3, 260(9%)
minecraft.used.chainmail_leggings: #2, 1(33%)
minecraft.dropped.blue_stained_glass: #2, 1(33%)
minecraft.dropped.cut_red_sandstone: #2, 1(33%)
minecraft.crafted.brown_stained_glass: #2, 832(7%)
minecraft.picked_up.nether_brick_slab: #3, 21(16%)
minecraft.dropped.water_bucket: #3, 4(8%)
minecraft.dropped.crafting_table: #3, 8(7%)
minecraft.used.cooked_cod: #3, 83(12%)
minecraft.picked_up.dead_bush: #3, 469(12%)
minecraft.used.bell: #3, 11(12%)
minecraft.broken.iron_sword: #3, 4(12%)
minecraft.dropped.brick_wall: #2, 3(17%)
minecraft.picked_up.totem_of_undying: #2, 8(4%)
minecraft.crafted.birch_trapdoor: #2, 98(3%)
minecraft.used.trident: #3, 747(13%)
minecraft.crafted.glass_bottle: #3, 1821(6%)
minecraft.dropped.leather_leggings: #4, 27(10%)
minecraft.mined.bamboo: #4, 842(10%)
minecraft.mined.brown_mushroom_block: #4, 3056(15%)
minecraft.picked_up.exposed_copper: #3, 47(8%)
minecraft.used.green_glazed_terracotta: #2, 1(14%)
minecraft.mined.exposed_copper: #3, 47(8%)
minecraft.dropped.raw_copper_block: #2, 11(13%)
minecraft.used.lilac: #3, 15(8%)
minecraft.mined.magenta_shulker_box: #3, 38(17%)
minecraft.mined.blue_ice: #2, 79(3%)
minecraft.used.exposed_copper: #3, 36(9%)
minecraft.dropped.bone_meal: #3, 6671(6%)
minecraft.picked_up.magenta_shulker_box: #3, 38(16%)
minecraft.mined.brown_stained_glass: #3, 23(19%)
minecraft.crafted.lime_shulker_box: #3, 74(11%)
minecraft.picked_up.blue_ice: #2, 70(3%)
minecraft.crafted.chainmail_chestplate: #2, 2(14%)
minecraft.used.magenta_shulker_box: #3, 39(16%)
minecraft.picked_up.light_gray_stained_glass: #3, 70(8%)
minecraft.custom.raid_win: #2, 1(11%)
minecraft.dropped.brown_stained_glass: #2, 2(7%)
minecraft.picked_up.yellow_glazed_terracotta: #2, 1(11%)
minecraft.dropped.leather_chestplate: #3, 17(7%)
minecraft.used.jungle_log: #4, 531(10%)
minecraft.dropped.orange_stained_glass: #2, 1(9%)
minecraft.used.spyglass: #4, 433(12%)
minecraft.crafted.dispenser: #4, 146(9%)
minecraft.picked_up.bamboo: #4, 9281(9%)
minecraft.used.jungle_stairs: #3, 137(9%)
minecraft.crafted.lapis_lazuli: #4, 1062(9%)
minecraft.picked_up.raw_copper_block: #3, 28(10%)
minecraft.dropped.gray_dye: #3, 16(16%)
minecraft.used.raw_copper_block: #2, 26(1%)
minecraft.dropped.packed_ice: #3, 72(12%)
minecraft.mined.sponge: #3, 348(10%)
minecraft.dropped.lime_stained_glass: #2, 1(4%)
minecraft.dropped.stonecutter: #3, 2(13%)
minecraft.picked_up.player_head: #4, 719(7%)
minecraft.picked_up.gray_glazed_terracotta: #2, 1(2%)
minecraft.dropped.pink_stained_glass: #2, 1(2%)
minecraft.crafted.spruce_slab: #4, 2294(9%)
minecraft.picked_up.rotten_flesh: #4, 6805(7%)
minecraft.killed.cow: #4, 551(8%)
minecraft.broken.leather_leggings: #3, 1(33%)
minecraft.mined.daylight_detector: #3, 7(11%)
minecraft.picked_up.daylight_detector: #3, 7(11%)
minecraft.killed.glow_squid: #4, 15(9%)
minecraft.used.cooked_beef: #4, 1063(8%)
minecraft.crafted.copper_ingot: #4, 3481(8%)
minecraft.crafted.activator_rail: #3, 18(16%)
minecraft.picked_up.oxidized_cut_copper_stairs: #3, 99(12%)
minecraft.dropped.dark_oak_boat: #3, 11(13%)
minecraft.picked_up.magenta_dye: #3, 66(13%)
minecraft.mined.jungle_sapling: #3, 17(8%)
minecraft.crafted.orange_dye: #3, 256(4%)
minecraft.mined.beehive: #3, 43(7%)
minecraft.dropped.smooth_stone_slab: #3, 41(8%)
minecraft.crafted.polished_diorite: #4, 676(11%)
minecraft.used.brown_mushroom: #3, 69(6%)
minecraft.mined.weathered_cut_copper_slab: #3, 5(13%)
minecraft.picked_up.beehive: #3, 44(5%)
minecraft.dropped.jungle_slab: #3, 6(11%)
minecraft.picked_up.redstone: #4, 9861(6%)
minecraft.used.leather_chestplate: #3, 1(25%)
minecraft.mined.lime_terracotta: #3, 13(8%)
minecraft.broken.iron_boots: #3, 1(25%)
minecraft.crafted.gray_stained_glass: #3, 800(5%)
minecraft.used.ender_pearl: #4, 574(7%)
minecraft.used.wet_sponge: #3, 344(10%)
minecraft.picked_up.birch_stairs: #4, 26(9%)
minecraft.mined.stone_pressure_plate: #3, 8(4%)
minecraft.dropped.leather_boots: #4, 24(8%)
minecraft.killed.ravager: #3, 5(8%)
minecraft.used.big_dripleaf: #3, 94(5%)
minecraft.mined.red_terracotta: #3, 336(4%)
minecraft.dropped.shulker_box: #4, 23(8%)
minecraft.crafted.brick_slab: #3, 42(9%)
minecraft.picked_up.lava_bucket: #3, 15(4%)
minecraft.picked_up.red_terracotta: #3, 318(4%)
minecraft.used.sunflower: #3, 6(4%)
minecraft.picked_up.target: #3, 25(6%)
minecraft.dropped.lime_terracotta: #3, 1(14%)
minecraft.dropped.golden_helmet: #4, 22(8%)
minecraft.crafted.green_stained_glass: #3, 696(4%)
minecraft.killed_by.skeleton: #4, 7(9%)
minecraft.picked_up.jungle_leaves: #4, 252(10%)
minecraft.dropped.prismarine_crystals: #3, 68(5%)
minecraft.used.bucket: #4, 2596(6%)
minecraft.picked_up.red_glazed_terracotta: #3, 1(17%)
minecraft.picked_up.lapis_block: #4, 88(10%)
minecraft.crafted.mossy_stone_bricks: #3, 704(3%)
minecraft.crafted.cooked_salmon: #3, 14(12%)
minecraft.used.flowering_azalea_leaves: #4, 179(7%)
minecraft.used.jungle_slab: #4, 280(10%)
minecraft.used.soul_sand: #5, 528(9%)
minecraft.picked_up.hopper: #4, 337(6%)
minecraft.dropped.mossy_cobblestone: #4, 54(10%)
minecraft.mined.wither_skeleton_skull: #3, 3(8%)
minecraft.crafted.redstone: #4, 6489(5%)
minecraft.dropped.andesite_stairs: #3, 4(10%)
minecraft.dropped.orange_tulip: #3, 2(8%)
minecraft.picked_up.brown_mushroom_block: #4, 1276(10%)
minecraft.dropped.andesite_slab: #3, 6(8%)
minecraft.used.cornflower: #4, 14(11%)
minecraft.used.acacia_leaves: #3, 1(9%)
minecraft.picked_up.potion: #4, 56(6%)
minecraft.picked_up.red_dye: #4, 64(11%)
minecraft.picked_up.ender_eye: #3, 5(7%)
minecraft.used.purple_terracotta: #3, 10(8%)
minecraft.killed.endermite: #4, 10(8%)
minecraft.dropped.saddle: #4, 10(13%)
minecraft.mined.brown_concrete_powder: #3, 7(7%)
minecraft.used.fire_charge: #3, 1(8%)
minecraft.used.ender_eye: #3, 2(6%)
minecraft.dropped.orange_bed: #3, 2(5%)
minecraft.dropped.totem_of_undying: #3, 3(4%)
minecraft.dropped.ender_eye: #3, 3(7%)
minecraft.picked_up.birch_slab: #4, 54(6%)
minecraft.picked_up.bone_meal: #4, 6103(5%)
minecraft.dropped.lightning_rod: #3, 1(6%)
minecraft.picked_up.raw_iron_block: #3, 46(2%)
minecraft.dropped.light_gray_dye: #3, 12(5%)
minecraft.used.lead: #4, 7(8%)
minecraft.dropped.magenta_terracotta: #3, 1(7%)
minecraft.dropped.red_stained_glass: #3, 1(7%)
minecraft.mined.terracotta: #4, 8765(6%)
minecraft.picked_up.terracotta: #4, 8568(6%)
minecraft.crafted.light_gray_stained_glass: #4, 832(7%)
minecraft.picked_up.brown_concrete_powder: #3, 7(2%)
minecraft.picked_up.music_disc_13: #4, 2(11%)
minecraft.crafted.prismarine_slab: #3, 6(4%)
minecraft.dropped.oak_fence_gate: #3, 2(3%)
minecraft.custom.raid_trigger: #3, 2(2%)
minecraft.picked_up.prismarine_crystals: #3, 75(1%)
minecraft.crafted.jungle_wood: #4, 108(14%)
minecraft.picked_up.brown_glazed_terracotta: #3, 1(2%)
minecraft.killed.vindicator: #3, 32(1%)
minecraft.mined.sunflower: #4, 24(6%)
minecraft.picked_up.chiseled_red_sandstone: #3, 1(2%)
minecraft.picked_up.waxed_copper_block: #4, 21(11%)
minecraft.mined.brick_slab: #4, 7(13%)
minecraft.dropped.yellow_terracotta: #3, 1(1%)
minecraft.picked_up.purple_terracotta: #3, 2(2%)
minecraft.picked_up.sponge: #4, 412(9%)
minecraft.killed.evoker: #3, 8(1%)
minecraft.dropped.shears: #4, 22(5%)
minecraft.dropped.tipped_arrow: #3, 34(1%)
minecraft.picked_up.prismarine_shard: #3, 266(0%)
minecraft.crafted.raw_copper: #4, 1539(6%)
minecraft.dropped.prismarine_shard: #3, 246(1%)
minecraft.dropped.red_sandstone: #3, 1(1%)
minecraft.dropped.light_blue_stained_glass: #3, 1(0%)
minecraft.picked_up.bell: #4, 14(8%)
minecraft.used.jungle_sapling: #4, 80(6%)
minecraft.picked_up.gray_dye: #4, 16(11%)
minecraft.picked_up.twisting_vines: #4, 302(6%)
minecraft.dropped.glow_lichen: #4, 20(14%)
minecraft.picked_up.redstone_torch: #5, 265(8%)
minecraft.mined.light_gray_stained_glass: #4, 54(6%)
minecraft.custom.inspect_hopper: #5, 1481(7%)
minecraft.crafted.smooth_sandstone: #4, 797(9%)
minecraft.dropped.bowl: #4, 4(10%)
minecraft.crafted.redstone_torch: #5, 2008(7%)
minecraft.used.beehive: #4, 108(6%)
minecraft.used.lime_terracotta: #4, 102(7%)
minecraft.crafted.light_gray_shulker_box: #4, 2(14%)
minecraft.crafted.magenta_shulker_box: #4, 2(11%)
minecraft.used.stripped_dark_oak_log: #4, 112(6%)
minecraft.picked_up.brick_slab: #4, 8(10%)
minecraft.dropped.chainmail_leggings: #4, 5(5%)
minecraft.crafted.jungle_stairs: #4, 88(6%)
minecraft.custom.walk_under_water_one_cm: #6, 5463427(5%)
minecraft.used.stripped_oak_log: #4, 117(4%)
minecraft.picked_up.bone: #5, 2954(6%)
minecraft.used.raw_gold_block: #4, 23(9%)
minecraft.dropped.amethyst_shard: #5, 52(11%)
minecraft.mined.jungle_slab: #5, 96(13%)
minecraft.dropped.iron_door: #4, 2(11%)
minecraft.picked_up.lime_terracotta: #4, 20(7%)
minecraft.dropped.clay: #4, 3(11%)
minecraft.killed.salmon: #5, 17(12%)
minecraft.crafted.beehive: #4, 67(5%)
minecraft.mined.bamboo_sapling: #4, 5(6%)
minecraft.picked_up.brown_stained_glass: #4, 24(9%)
minecraft.dropped.moss_block: #5, 388(8%)
minecraft.crafted.cyan_dye: #5, 484(7%)
minecraft.used.jungle_wood: #4, 38(7%)
minecraft.dropped.ice: #4, 33(7%)
minecraft.used.brown_mushroom_block: #4, 439(5%)
minecraft.custom.interact_with_furnace: #5, 2022(6%)
minecraft.dropped.golden_leggings: #5, 23(8%)
minecraft.dropped.stripped_oak_wood: #4, 1(10%)
minecraft.crafted.raw_copper_block: #4, 150(3%)
minecraft.picked_up.red_shulker_box: #5, 151(7%)
minecraft.mined.red_shulker_box: #5, 148(7%)
minecraft.used.oxidized_cut_copper_slab: #4, 102(3%)
minecraft.dropped.golden_chestplate: #5, 24(7%)
minecraft.dropped.stripped_dark_oak_log: #4, 4(7%)
