stat, rank, value, (percentage) 
minecraft.used.jungle_planks: #9, 44(0%)
minecraft.picked_up.cartography_table: #9, 1(1%)
minecraft.used.birch_wood: #9, 6(0%)
minecraft.picked_up.pink_stained_glass: #9, 1(1%)
minecraft.picked_up.snow_block: #9, 68(0%)
minecraft.picked_up.blue_terracotta: #9, 1(0%)
minecraft.dropped.white_stained_glass: #9, 1(0%)
minecraft.mined.crying_obsidian: #9, 2(0%)
minecraft.used.brown_concrete_powder: #9, 7(0%)
minecraft.dropped.clock: #9, 1(0%)
minecraft.custom.fish_caught: #9, 2(0%)
minecraft.picked_up.lead: #10, 95(4%)
minecraft.dropped.black_stained_glass: #9, 1(0%)
minecraft.dropped.prismarine_bricks: #9, 1(0%)
minecraft.dropped.snow: #9, 15(0%)
minecraft.dropped.cyan_terracotta: #9, 1(0%)
minecraft.dropped.brick: #9, 1(0%)
minecraft.used.cut_sandstone: #9, 1(0%)
minecraft.used.iron_sword: #10, 835(4%)
minecraft.mined.dirt_path: #10, 340(4%)
minecraft.picked_up.sticky_piston: #10, 63(4%)
minecraft.mined.spruce_slab: #10, 173(4%)
minecraft.picked_up.spruce_log: #10, 4518(4%)
minecraft.dropped.diamond_sword: #10, 5(4%)
minecraft.picked_up.golden_helmet: #10, 11(4%)
minecraft.mined.repeater: #10, 78(4%)
minecraft.mined.spruce_log: #10, 3679(3%)
minecraft.picked_up.redstone_block: #10, 160(3%)
minecraft.used.bow: #10, 1345(3%)
minecraft.picked_up.spruce_fence: #10, 134(3%)
minecraft.mined.tuff: #10, 1124(3%)
minecraft.picked_up.spruce_slab: #10, 200(3%)
minecraft.dropped.iron_helmet: #10, 3(5%)
minecraft.mined.lightning_rod: #10, 26(4%)
minecraft.used.spruce_trapdoor: #10, 406(3%)
minecraft.custom.pot_flower: #10, 20(3%)
minecraft.mined.birch_wall_sign: #10, 13(3%)
minecraft.dropped.diamond_boots: #10, 3(4%)
minecraft.picked_up.chainmail_boots: #10, 4(4%)
minecraft.picked_up.ender_chest: #10, 155(3%)
minecraft.used.comparator: #10, 97(3%)
minecraft.mined.sandstone: #10, 3288(3%)
minecraft.used.tinted_glass: #10, 497(3%)
minecraft.picked_up.podzol: #10, 187(3%)
minecraft.crafted.book: #10, 119(3%)
minecraft.picked_up.hay_block: #10, 82(3%)
minecraft.mined.furnace: #10, 36(3%)
minecraft.picked_up.lightning_rod: #10, 27(3%)
minecraft.crafted.spruce_door: #10, 12(3%)
minecraft.mined.copper_block: #10, 55(3%)
minecraft.picked_up.piston: #10, 69(2%)
minecraft.killed.slime: #10, 192(2%)
minecraft.crafted.oak_pressure_plate: #10, 1(4%)
minecraft.used.diamond_boots: #10, 2(3%)
minecraft.used.sea_lantern: #10, 168(2%)
minecraft.crafted.tinted_glass: #10, 578(3%)
minecraft.picked_up.flowering_azalea_leaves: #10, 295(2%)
minecraft.crafted.lightning_rod: #10, 37(2%)
minecraft.picked_up.shulker_shell: #10, 192(2%)
minecraft.crafted.raw_iron_block: #10, 122(2%)
minecraft.used.note_block: #10, 47(2%)
minecraft.mined.flowering_azalea_leaves: #10, 315(2%)
minecraft.crafted.tnt: #10, 324(2%)
minecraft.killed.piglin: #10, 11(1%)
minecraft.dropped.chest: #10, 6(1%)
minecraft.mined.andesite_stairs: #10, 3(2%)
minecraft.custom.damage_dealt: #10, 368647(1%)
minecraft.crafted.orange_shulker_box: #10, 1(3%)
minecraft.crafted.bone_block: #10, 922(1%)
minecraft.crafted.charcoal: #10, 14(2%)
minecraft.used.diamond_sword: #10, 5723(1%)
minecraft.crafted.crafting_table: #11, 67(5%)
minecraft.crafted.baked_potato: #10, 90(2%)
minecraft.broken.stone_shovel: #10, 2(2%)
minecraft.picked_up.dripstone_block: #10, 161(1%)
minecraft.picked_up.bread: #10, 34(1%)
minecraft.dropped.glow_ink_sac: #10, 17(1%)
minecraft.used.andesite_stairs: #10, 13(1%)
minecraft.used.birch_log: #10, 64(1%)
minecraft.mined.polished_granite: #10, 4(1%)
minecraft.dropped.quartz: #10, 24(1%)
minecraft.crafted.dark_oak_wood: #10, 87(1%)
minecraft.custom.damage_absorbed: #10, 32(1%)
minecraft.mined.oak_fence_gate: #10, 2(1%)
minecraft.mined.slime_block: #10, 34(1%)
minecraft.picked_up.acacia_boat: #10, 1(1%)
minecraft.used.dark_oak_wood: #10, 68(1%)
minecraft.picked_up.cooked_porkchop: #10, 11(1%)
minecraft.picked_up.smooth_sandstone: #10, 91(1%)
minecraft.used.acacia_sapling: #10, 27(1%)
minecraft.used.slime_block: #10, 47(1%)
minecraft.crafted.spruce_planks: #11, 13866(4%)
minecraft.picked_up.note_block: #10, 6(1%)
minecraft.dropped.orange_terracotta: #10, 8(1%)
minecraft.mined.stripped_birch_log: #10, 18(1%)
minecraft.crafted.gold_block: #10, 40(0%)
minecraft.mined.large_fern: #10, 7(0%)
minecraft.picked_up.cooked_chicken: #10, 4(0%)
minecraft.used.dripstone_block: #10, 124(0%)
minecraft.picked_up.jungle_sign: #10, 1(0%)
minecraft.dropped.deepslate_tiles: #10, 1(0%)
minecraft.picked_up.cut_sandstone: #10, 5(0%)
minecraft.used.brick_stairs: #10, 3(0%)
minecraft.dropped.flowering_azalea_leaves: #10, 1(0%)
minecraft.used.twisting_vines: #10, 2(0%)
minecraft.dropped.glowstone_dust: #10, 5(0%)
minecraft.dropped.snow_block: #10, 5(0%)
minecraft.dropped.stone_brick_slab: #10, 1(0%)
minecraft.dropped.warped_wart_block: #10, 2(0%)
minecraft.used.fern: #10, 1(0%)
minecraft.used.diamond_axe: #11, 14391(3%)
minecraft.used.hopper: #11, 593(4%)
minecraft.crafted.torch: #11, 4996(4%)
minecraft.mined.iron_block: #11, 1039(4%)
minecraft.picked_up.stick: #11, 1930(3%)
minecraft.picked_up.sandstone: #11, 4163(3%)
minecraft.crafted.diamond_axe: #11, 4(3%)
minecraft.picked_up.diamond_shovel: #11, 17(3%)
minecraft.mined.spruce_planks: #11, 365(3%)
minecraft.used.ender_chest: #11, 147(3%)
minecraft.picked_up.bone_block: #11, 230(3%)
minecraft.picked_up.oak_trapdoor: #11, 48(3%)
minecraft.mined.ender_chest: #11, 140(3%)
minecraft.crafted.diamond_leggings: #11, 2(3%)
minecraft.used.observer: #11, 176(3%)
minecraft.crafted.spruce_trapdoor: #11, 376(3%)
minecraft.picked_up.birch_sign: #11, 25(3%)
minecraft.crafted.ender_chest: #11, 8(3%)
minecraft.mined.oak_wall_sign: #11, 8(3%)
minecraft.used.piston: #11, 132(3%)
minecraft.used.moss_carpet: #11, 474(3%)
minecraft.used.bamboo: #11, 76(3%)
minecraft.crafted.oak_trapdoor: #11, 86(2%)
minecraft.crafted.gray_dye: #11, 310(2%)
minecraft.used.grass_block: #11, 4001(2%)
minecraft.picked_up.dragon_head: #11, 4(3%)
minecraft.picked_up.dark_oak_planks: #11, 129(2%)
minecraft.used.cactus: #11, 131(2%)
minecraft.used.coarse_dirt: #11, 833(2%)
minecraft.mined.podzol: #11, 201(2%)
minecraft.dropped.paper: #11, 65(2%)
minecraft.used.spruce_planks: #11, 1000(2%)
minecraft.dropped.coal_ore: #11, 41(2%)
minecraft.picked_up.oak_wood: #11, 46(3%)
minecraft.used.diamond_helmet: #11, 2(4%)
minecraft.used.cobweb: #11, 15(3%)
minecraft.crafted.spyglass: #11, 1(3%)
minecraft.used.oak_fence: #11, 72(2%)
minecraft.mined.amethyst_cluster: #11, 225(2%)
minecraft.crafted.coarse_dirt: #11, 512(2%)
minecraft.picked_up.golden_apple: #11, 6(2%)
minecraft.picked_up.bookshelf: #11, 23(2%)
minecraft.picked_up.chainmail_helmet: #11, 2(3%)
minecraft.picked_up.gold_ingot: #11, 54(2%)
minecraft.crafted.golden_apple: #11, 17(2%)
minecraft.dropped.iron_ore: #11, 19(2%)
minecraft.crafted.moss_carpet: #11, 189(2%)
minecraft.used.dropper: #11, 37(2%)
minecraft.dropped.sandstone: #11, 68(2%)
minecraft.mined.azalea_leaves: #11, 844(1%)
minecraft.killed.ghast: #11, 8(2%)
minecraft.used.stone_shovel: #11, 248(1%)
minecraft.mined.smithing_table: #11, 2(2%)
minecraft.picked_up.acacia_sapling: #11, 75(1%)
minecraft.used.axolotl_bucket: #11, 5(1%)
minecraft.mined.note_block: #11, 5(1%)
minecraft.used.hay_block: #11, 20(1%)
minecraft.custom.interact_with_smoker: #11, 6(1%)
minecraft.crafted.gold_ingot: #11, 1064(1%)
minecraft.picked_up.rooted_dirt: #11, 25(1%)
minecraft.picked_up.smithing_table: #11, 2(1%)
minecraft.mined.jungle_planks: #11, 13(1%)
minecraft.dropped.piston: #11, 1(1%)
minecraft.used.diamond_pickaxe: #12, 134828(4%)
minecraft.used.spruce_button: #11, 6(0%)
minecraft.picked_up.magenta_stained_glass: #11, 1(1%)
minecraft.dropped.birch_sapling: #11, 4(1%)
minecraft.crafted.leather_chestplate: #11, 1(1%)
minecraft.used.birch_leaves: #11, 43(0%)
minecraft.used.warped_nylium: #11, 2(1%)
minecraft.dropped.redstone_block: #11, 2(0%)
minecraft.mined.light_blue_shulker_box: #11, 3(0%)
minecraft.picked_up.light_blue_shulker_box: #11, 3(0%)
minecraft.used.light_blue_shulker_box: #11, 3(0%)
minecraft.mined.beetroots: #11, 2(0%)
minecraft.dropped.terracotta: #11, 2(0%)
minecraft.picked_up.prismarine: #11, 8(0%)
minecraft.dropped.deepslate_bricks: #11, 1(0%)
minecraft.picked_up.beetroot: #11, 3(0%)
minecraft.mined.prismarine: #11, 4(0%)
minecraft.crafted.bricks: #11, 14(0%)
minecraft.picked_up.orange_tulip: #11, 2(0%)
minecraft.used.brown_terracotta: #11, 3(0%)
minecraft.crafted.observer: #12, 192(4%)
minecraft.picked_up.iron_block: #12, 1444(4%)
minecraft.custom.interact_with_beacon: #12, 19(4%)
minecraft.picked_up.diamond: #12, 448(3%)
minecraft.picked_up.leather_boots: #12, 12(4%)
minecraft.picked_up.shulker_box: #12, 828(3%)
minecraft.mined.shulker_box: #12, 784(3%)
minecraft.mined.ladder: #12, 33(3%)
minecraft.picked_up.oak_sign: #12, 28(3%)
minecraft.used.brewing_stand: #12, 10(3%)
minecraft.picked_up.iron_shovel: #12, 6(3%)
minecraft.dropped.cobblestone: #12, 2389(3%)
minecraft.killed.creeper: #12, 161(3%)
minecraft.picked_up.furnace: #12, 46(3%)
minecraft.used.player_head: #12, 29(2%)
minecraft.picked_up.stone_axe: #12, 2(4%)
minecraft.killed_by.creeper: #12, 4(3%)
minecraft.used.iron_block: #12, 1203(3%)
minecraft.picked_up.iron_helmet: #12, 4(3%)
minecraft.dropped.diamond_axe: #12, 4(3%)
minecraft.crafted.spruce_stairs: #12, 212(2%)
minecraft.picked_up.flint_and_steel: #12, 4(3%)
minecraft.crafted.iron_helmet: #12, 2(2%)
minecraft.crafted.iron_boots: #12, 2(2%)
minecraft.used.furnace: #12, 51(2%)
minecraft.used.spruce_stairs: #12, 191(2%)
minecraft.crafted.lead: #12, 14(3%)
minecraft.used.lever: #12, 60(2%)
minecraft.crafted.stone_bricks: #12, 2488(2%)
minecraft.picked_up.porkchop: #12, 30(2%)
minecraft.picked_up.iron_horse_armor: #12, 1(3%)
minecraft.picked_up.grass_block: #12, 5700(2%)
minecraft.crafted.oak_fence: #12, 78(2%)
minecraft.used.flint_and_steel: #12, 95(2%)
minecraft.picked_up.cobweb: #12, 51(2%)
minecraft.picked_up.gunpowder: #12, 270(1%)
minecraft.used.oak_slab: #12, 103(2%)
minecraft.picked_up.poisonous_potato: #12, 7(2%)
minecraft.picked_up.azalea_leaves: #12, 676(2%)
minecraft.mined.dropper: #12, 10(2%)
minecraft.picked_up.cooked_mutton: #12, 4(2%)
minecraft.used.birch_sapling: #12, 59(1%)
minecraft.dropped.polished_blackstone_button: #12, 2(2%)
minecraft.used.apple: #12, 5(1%)
minecraft.used.hopper_minecart: #12, 7(1%)
minecraft.crafted.hopper_minecart: #12, 7(1%)
minecraft.mined.acacia_log: #12, 259(2%)
minecraft.crafted.light_gray_dye: #12, 91(1%)
minecraft.crafted.blaze_powder: #12, 26(1%)
minecraft.picked_up.tnt: #12, 18(1%)
minecraft.used.end_stone: #12, 33(1%)
minecraft.picked_up.sandstone_slab: #12, 8(1%)
minecraft.dropped.oak_stairs: #12, 4(2%)
minecraft.mined.smoker: #12, 1(2%)
minecraft.used.tnt: #12, 90(1%)
minecraft.crafted.stone_slab: #12, 144(1%)
minecraft.mined.dark_oak_leaves: #12, 157(1%)
minecraft.picked_up.bucket: #12, 11(1%)
minecraft.dropped.dark_oak_sign: #12, 1(1%)
minecraft.used.honeycomb: #12, 53(1%)
minecraft.crafted.beacon: #12, 1(1%)
minecraft.crafted.ender_eye: #12, 9(1%)
minecraft.dropped.birch_log: #12, 9(1%)
minecraft.custom.play_noteblock: #12, 11(1%)
minecraft.picked_up.warped_sign: #12, 2(1%)
minecraft.picked_up.book: #12, 72(0%)
minecraft.picked_up.red_stained_glass: #12, 1(1%)
minecraft.mined.rooted_dirt: #12, 14(0%)
minecraft.picked_up.emerald_ore: #12, 1(1%)
minecraft.picked_up.honeycomb: #12, 108(1%)
minecraft.dropped.calcite: #12, 3(0%)
minecraft.used.podzol: #12, 11(0%)
minecraft.mined.acacia_leaves: #12, 95(0%)
minecraft.dropped.oak_trapdoor: #12, 1(0%)
minecraft.picked_up.glow_lichen: #12, 69(0%)
minecraft.dropped.polished_granite: #12, 1(0%)
minecraft.picked_up.glass_pane: #12, 32(0%)
minecraft.killed.wither_skeleton: #12, 38(0%)
minecraft.mined.chiseled_deepslate: #12, 2(0%)
minecraft.used.acacia_log: #12, 11(0%)
minecraft.used.smooth_sandstone_stairs: #12, 18(0%)
minecraft.used.cooked_chicken: #12, 4(0%)
minecraft.dropped.bread: #12, 11(0%)
minecraft.used.jungle_sign: #12, 1(0%)
minecraft.mined.prismarine_bricks: #12, 5(0%)
minecraft.used.weeping_vines: #12, 1(0%)
minecraft.picked_up.light_blue_stained_glass: #12, 1(0%)
minecraft.picked_up.green_stained_glass: #12, 1(0%)
minecraft.picked_up.emerald_block: #12, 1(0%)
minecraft.used.raw_iron_block: #12, 1(0%)
minecraft.custom.sleep_in_bed: #13, 521(3%)
minecraft.custom.damage_taken: #13, 106846(2%)
minecraft.mined.deepslate_redstone_ore: #13, 314(3%)
minecraft.used.diamond_shovel: #13, 36893(3%)
minecraft.killed.trader_llama: #13, 7(4%)
minecraft.picked_up.chest: #13, 328(3%)
minecraft.used.shulker_box: #13, 755(3%)
minecraft.mined.deepslate_iron_ore: #13, 259(3%)
minecraft.custom.open_shulker_box: #13, 7043(3%)
minecraft.picked_up.spruce_planks: #13, 452(3%)
minecraft.mined.lantern: #13, 17(3%)
minecraft.crafted.lever: #13, 70(2%)
minecraft.crafted.diamond_helmet: #13, 2(3%)
minecraft.used.spruce_log: #13, 313(2%)
minecraft.picked_up.oak_door: #13, 3(3%)
minecraft.mined.spruce_stairs: #13, 42(2%)
minecraft.mined.copper_ore: #13, 649(2%)
minecraft.picked_up.spruce_sapling: #13, 288(2%)
minecraft.broken.stone_axe: #13, 1(3%)
minecraft.mined.mossy_cobblestone: #13, 55(2%)
minecraft.used.rose_bush: #13, 3(2%)
minecraft.picked_up.carrot: #13, 1538(1%)
minecraft.mined.player_wall_head: #13, 3(2%)
minecraft.picked_up.spruce_door: #13, 7(2%)
minecraft.mined.flower_pot: #13, 2(2%)
minecraft.custom.sprint_one_cm: #14, 43963765(4%)
minecraft.killed.phantom: #13, 15(1%)
minecraft.crafted.polished_andesite: #13, 192(2%)
minecraft.picked_up.baked_potato: #13, 150(1%)
minecraft.picked_up.spruce_sign: #13, 15(1%)
minecraft.picked_up.acacia_log: #13, 261(1%)
minecraft.picked_up.gold_block: #13, 34(1%)
minecraft.used.baked_potato: #13, 94(1%)
minecraft.picked_up.dropper: #13, 11(1%)
minecraft.used.mossy_cobblestone: #13, 51(1%)
minecraft.picked_up.spruce_button: #13, 3(1%)
minecraft.picked_up.filled_map: #13, 7(1%)
minecraft.crafted.iron_block: #13, 397(1%)
minecraft.crafted.deepslate_bricks: #13, 128(1%)
minecraft.custom.talked_to_villager: #13, 268(0%)
minecraft.dropped.stone_bricks: #13, 19(1%)
minecraft.picked_up.smoker: #13, 1(1%)
minecraft.mined.twisting_vines_plant: #13, 5(1%)
minecraft.dropped.poisonous_potato: #13, 1(1%)
minecraft.mined.yellow_concrete: #13, 18(0%)
minecraft.picked_up.polished_granite: #13, 5(0%)
minecraft.crafted.spruce_boat: #13, 2(0%)
minecraft.crafted.grindstone: #13, 6(0%)
minecraft.used.terracotta: #13, 23(0%)
minecraft.custom.interact_with_cartography_table: #13, 1(0%)
minecraft.picked_up.acacia_planks: #13, 6(0%)
minecraft.crafted.spruce_button: #13, 3(0%)
minecraft.dropped.cooked_porkchop: #13, 1(0%)
minecraft.picked_up.brick: #13, 3(0%)
minecraft.crafted.cooked_chicken: #13, 2(0%)
minecraft.crafted.sandstone_slab: #13, 6(0%)
minecraft.dropped.glass_bottle: #13, 13(0%)
minecraft.used.prismarine_bricks: #13, 4(0%)
minecraft.dropped.oak_boat: #13, 1(0%)
minecraft.crafted.enchanted_book: #13, 6(0%)
minecraft.dropped.spruce_leaves: #13, 2(0%)
minecraft.mined.cracked_stone_bricks: #13, 1(0%)
minecraft.picked_up.mossy_stone_bricks: #13, 1(0%)
minecraft.used.snow_block: #13, 2(0%)
minecraft.used.torch: #14, 5880(3%)
minecraft.custom.open_enderchest: #14, 1014(3%)
minecraft.used.crafting_table: #14, 114(3%)
minecraft.crafted.iron_ingot: #14, 7337(3%)
minecraft.crafted.hopper: #14, 368(3%)
minecraft.picked_up.coal: #14, 4873(3%)
minecraft.killed.spider: #14, 66(3%)
minecraft.killed.wandering_trader: #14, 3(4%)
minecraft.mined.iron_ore: #14, 1960(2%)
minecraft.crafted.cooked_beef: #14, 209(3%)
minecraft.picked_up.iron_chestplate: #14, 5(3%)
minecraft.used.spruce_slab: #14, 427(2%)
minecraft.dropped.cooked_beef: #14, 41(3%)
minecraft.mined.wheat: #14, 1575(2%)
minecraft.mined.enchanting_table: #14, 1(3%)
minecraft.picked_up.calcite: #14, 615(2%)
minecraft.mined.dark_oak_sign: #14, 1(2%)
minecraft.dropped.stick: #14, 213(2%)
minecraft.picked_up.beef: #14, 232(2%)
minecraft.mined.nether_quartz_ore: #14, 510(2%)
minecraft.picked_up.anvil: #14, 6(1%)
minecraft.used.flower_pot: #14, 13(1%)
minecraft.picked_up.phantom_membrane: #14, 11(1%)
minecraft.picked_up.egg: #14, 77(1%)
minecraft.dropped.spruce_planks: #14, 34(1%)
minecraft.used.redstone_ore: #14, 60(1%)
minecraft.used.flowering_azalea: #14, 23(1%)
minecraft.killed.zombie: #14, 379(1%)
minecraft.picked_up.dark_oak_sapling: #14, 75(1%)
minecraft.used.map: #14, 3(1%)
minecraft.crafted.flower_pot: #14, 12(1%)
minecraft.mined.birch_sapling: #14, 2(1%)
minecraft.picked_up.oak_button: #14, 1(1%)
minecraft.crafted.flint_and_steel: #14, 4(1%)
minecraft.dropped.stone_axe: #14, 1(1%)
minecraft.picked_up.slime_block: #14, 54(1%)
minecraft.mined.dragon_wall_head: #14, 1(1%)
minecraft.used.deepslate_redstone_ore: #14, 13(1%)
minecraft.crafted.dark_oak_sign: #14, 15(1%)
minecraft.used.dark_oak_sapling: #14, 28(1%)
minecraft.mined.potatoes: #14, 50(0%)
minecraft.picked_up.yellow_concrete: #14, 18(1%)
minecraft.dropped.dark_oak_planks: #14, 7(1%)
minecraft.picked_up.nether_star: #14, 1(1%)
minecraft.used.jungle_fence: #14, 5(1%)
minecraft.picked_up.tropical_fish: #14, 1(1%)
minecraft.used.dandelion: #14, 1(0%)
minecraft.picked_up.polished_andesite: #14, 8(0%)
minecraft.mined.polished_blackstone: #14, 6(0%)
minecraft.dropped.phantom_membrane: #14, 1(0%)
minecraft.picked_up.chiseled_deepslate: #14, 3(0%)
minecraft.mined.sandstone_slab: #14, 2(0%)
minecraft.picked_up.polished_blackstone: #14, 6(0%)
minecraft.dropped.redstone_torch: #14, 1(0%)
minecraft.dropped.cactus: #14, 4(0%)
minecraft.picked_up.cauldron: #14, 3(0%)
minecraft.mined.glow_lichen: #14, 36(0%)
minecraft.dropped.baked_potato: #14, 5(0%)
minecraft.dropped.pumpkin_seeds: #14, 4(0%)
minecraft.used.crimson_nylium: #14, 1(0%)
minecraft.picked_up.candle: #14, 1(0%)
minecraft.used.red_terracotta: #14, 3(0%)
minecraft.mined.horn_coral_wall_fan: #14, 1(0%)
minecraft.picked_up.horn_coral_fan: #14, 1(0%)
minecraft.picked_up.cracked_stone_bricks: #14, 1(0%)
minecraft.crafted.slime_block: #14, 7(0%)
minecraft.dropped.emerald: #14, 1(0%)
minecraft.picked_up.black_stained_glass: #14, 1(0%)
minecraft.crafted.snow_block: #14, 4(0%)
minecraft.custom.open_chest: #15, 10197(3%)
minecraft.picked_up.glow_ink_sac: #15, 107(2%)
minecraft.mined.diamond_ore: #15, 128(2%)
minecraft.mined.lever: #15, 16(2%)
minecraft.mined.blast_furnace: #15, 4(3%)
minecraft.picked_up.sand: #15, 14542(2%)
minecraft.used.carrot: #15, 441(2%)
minecraft.killed.zombie_villager: #15, 5(2%)
minecraft.crafted.diamond_pickaxe: #15, 5(2%)
minecraft.picked_up.cobbled_deepslate: #15, 5713(2%)
minecraft.custom.interact_with_grindstone: #15, 24(2%)
minecraft.picked_up.blast_furnace: #15, 4(2%)
minecraft.mined.deepslate_diamond_ore: #15, 44(2%)
minecraft.picked_up.enchanting_table: #15, 1(3%)
minecraft.picked_up.item_frame: #15, 49(2%)
minecraft.picked_up.birch_sapling: #15, 146(2%)
minecraft.used.splash_potion: #15, 13(2%)
minecraft.crafted.golden_helmet: #15, 1(2%)
minecraft.mined.oak_fence: #15, 41(2%)
minecraft.mined.calcite: #15, 484(1%)
minecraft.used.oak_log: #15, 215(1%)
minecraft.mined.amethyst_block: #15, 275(1%)
minecraft.picked_up.kelp: #15, 524(1%)
minecraft.used.diamond_leggings: #15, 1(2%)
minecraft.used.oak_trapdoor: #15, 50(1%)
minecraft.mined.peony: #15, 2(2%)
minecraft.used.cobbled_deepslate: #15, 332(1%)
minecraft.mined.flowering_azalea: #15, 17(1%)
minecraft.picked_up.ender_pearl: #15, 1980(1%)
minecraft.crafted.black_dye: #15, 422(1%)
minecraft.used.cooked_mutton: #15, 5(2%)
minecraft.used.redstone_block: #15, 34(1%)
minecraft.dropped.sand: #15, 101(1%)
minecraft.used.diamond_hoe: #15, 4084(1%)
minecraft.picked_up.oak_leaves: #15, 756(1%)
minecraft.mined.redstone_block: #15, 15(1%)
minecraft.dropped.stone: #15, 1275(1%)
minecraft.mined.damaged_anvil: #15, 1(1%)
minecraft.picked_up.damaged_anvil: #15, 1(1%)
minecraft.picked_up.emerald: #15, 96(1%)
minecraft.picked_up.melon_seeds: #15, 2(1%)
minecraft.dropped.carved_pumpkin: #15, 6(1%)
minecraft.mined.warped_nylium: #15, 10(1%)
minecraft.picked_up.lily_pad: #15, 10(1%)
minecraft.picked_up.chorus_fruit: #15, 28(1%)
minecraft.used.lapis_ore: #15, 4(1%)
minecraft.used.cooked_porkchop: #15, 11(0%)
minecraft.mined.bookshelf: #15, 23(0%)
minecraft.used.potato: #15, 49(0%)
minecraft.mined.chorus_plant: #15, 2(0%)
minecraft.used.deepslate_iron_ore: #15, 5(0%)
minecraft.mined.andesite_slab: #15, 2(0%)
minecraft.used.bone_block: #15, 15(0%)
minecraft.crafted.andesite_slab: #15, 8(0%)
minecraft.picked_up.warped_nylium: #15, 5(0%)
minecraft.used.lava_bucket: #15, 32(0%)
minecraft.used.oak_stairs: #15, 6(0%)
minecraft.mined.large_amethyst_bud: #15, 3(0%)
minecraft.used.diamond_block: #15, 3(0%)
minecraft.mined.emerald_ore: #15, 1(0%)
minecraft.crafted.compass: #15, 1(0%)
minecraft.crafted.warped_trapdoor: #15, 2(0%)
minecraft.used.packed_ice: #15, 10(0%)
minecraft.picked_up.beetroot_seeds: #15, 6(0%)
minecraft.crafted.golden_carrot: #15, 36(0%)
minecraft.picked_up.gray_stained_glass: #15, 1(0%)
minecraft.mined.lily_pad: #15, 1(0%)
minecraft.dropped.iron_block: #15, 5(0%)
minecraft.mined.twisting_vines: #15, 1(0%)
minecraft.used.sandstone_slab: #15, 2(0%)
minecraft.picked_up.polished_diorite: #15, 1(0%)
minecraft.used.chiseled_deepslate: #15, 2(0%)
minecraft.used.stripped_spruce_log: #15, 1(0%)
minecraft.crafted.map: #15, 1(0%)
minecraft.used.sea_pickle: #15, 1(0%)
minecraft.crafted.wooden_pickaxe: #16, 1(3%)
minecraft.custom.open_barrel: #16, 1494(2%)
minecraft.mined.stone: #16, 65905(2%)
minecraft.crafted.diamond_boots: #16, 2(2%)
minecraft.mined.dirt: #16, 8736(2%)
minecraft.crafted.diamond_sword: #16, 2(2%)
minecraft.crafted.chest: #16, 639(2%)
minecraft.mined.gold_ore: #16, 221(2%)
minecraft.crafted.item_frame: #16, 85(2%)
minecraft.crafted.stone_pickaxe: #16, 3(2%)
minecraft.picked_up.flowering_azalea: #16, 78(2%)
minecraft.picked_up.dark_oak_log: #16, 1143(2%)
minecraft.mined.dark_oak_log: #16, 962(2%)
minecraft.picked_up.stonecutter: #16, 16(2%)
minecraft.picked_up.stone_pickaxe: #16, 1(2%)
minecraft.mined.moss_carpet: #16, 115(1%)
minecraft.used.lantern: #16, 57(1%)
minecraft.mined.anvil: #16, 4(1%)
minecraft.crafted.stone_sword: #16, 1(1%)
minecraft.used.birch_sign: #16, 18(1%)
minecraft.picked_up.gravel: #16, 2457(1%)
minecraft.picked_up.lantern: #16, 35(1%)
minecraft.used.bread: #16, 33(1%)
minecraft.picked_up.spyglass: #16, 1(1%)
minecraft.used.damaged_anvil: #16, 1(1%)
minecraft.picked_up.glow_berries: #16, 60(1%)
minecraft.crafted.lantern: #16, 48(1%)
minecraft.mined.oak_slab: #16, 10(1%)
minecraft.dropped.bucket: #16, 2(1%)
minecraft.used.smoker: #16, 1(1%)
minecraft.crafted.stone_shovel: #16, 2(1%)
minecraft.dropped.iron_nugget: #16, 18(1%)
minecraft.used.sand: #16, 713(0%)
minecraft.used.stone_stairs: #16, 20(1%)
minecraft.picked_up.chicken: #16, 6(0%)
minecraft.picked_up.cocoa_beans: #16, 42(0%)
minecraft.dropped.magma_cream: #16, 3(0%)
minecraft.used.white_banner: #16, 1(0%)
minecraft.picked_up.white_shulker_box: #16, 9(0%)
minecraft.dropped.stone_sword: #16, 2(0%)
minecraft.mined.nether_bricks: #16, 23(0%)
minecraft.used.candle: #16, 4(0%)
minecraft.mined.white_shulker_box: #16, 7(0%)
minecraft.mined.gold_block: #16, 4(0%)
minecraft.picked_up.andesite_slab: #16, 2(0%)
minecraft.custom.fall_one_cm: #17, 2828363(2%)
minecraft.dropped.spider_eye: #16, 26(0%)
minecraft.dropped.birch_planks: #16, 2(0%)
minecraft.picked_up.pumpkin: #16, 24(0%)
minecraft.used.polished_granite: #16, 4(0%)
minecraft.picked_up.coal_block: #16, 7(0%)
minecraft.custom.interact_with_blast_furnace: #16, 4(0%)
minecraft.mined.diamond_block: #16, 2(0%)
minecraft.crafted.slime_ball: #16, 9(0%)
minecraft.used.stone_button: #16, 30(0%)
minecraft.crafted.smithing_table: #16, 1(0%)
minecraft.crafted.brick: #16, 72(0%)
minecraft.mined.fern: #16, 2(0%)
minecraft.picked_up.prismarine_bricks: #16, 5(0%)
minecraft.used.grass: #16, 1(0%)
minecraft.custom.traded_with_villager: #16, 134(0%)
minecraft.dropped.wheat: #16, 3(0%)
minecraft.dropped.bamboo: #16, 2(0%)
