stat, rank, value, (percentage) 
minecraft.dropped.brown_mushroom: #11, 2(1%)
minecraft.mined.bell: #11, 1(1%)
minecraft.used.andesite_slab: #11, 41(1%)
minecraft.picked_up.lily_of_the_valley: #11, 10(0%)
minecraft.picked_up.cooked_chicken: #11, 4(0%)
minecraft.used.rooted_dirt: #11, 8(0%)
minecraft.crafted.brick: #11, 160(0%)
minecraft.mined.stripped_dark_oak_wood: #11, 1(0%)
minecraft.picked_up.stripped_dark_oak_wood: #11, 1(0%)
minecraft.used.stripped_dark_oak_wood: #11, 1(0%)
minecraft.used.ladder: #12, 178(4%)
minecraft.mined.shroomlight: #12, 91(3%)
minecraft.picked_up.barrel: #12, 58(3%)
minecraft.crafted.diamond_axe: #12, 4(3%)
minecraft.mined.farmland: #12, 70(3%)
minecraft.used.spore_blossom: #12, 12(3%)
minecraft.picked_up.tuff: #12, 883(2%)
minecraft.dropped.oak_log: #12, 65(3%)
minecraft.picked_up.white_bed: #12, 44(2%)
minecraft.picked_up.deepslate_copper_ore: #12, 12(3%)
minecraft.used.wooden_pickaxe: #12, 10(2%)
minecraft.picked_up.white_carpet: #12, 23(2%)
minecraft.crafted.campfire: #12, 29(2%)
minecraft.used.spruce_door: #12, 11(2%)
minecraft.dropped.coal: #12, 52(2%)
minecraft.picked_up.iron_door: #12, 4(2%)
minecraft.mined.spruce_door: #12, 5(2%)
minecraft.used.birch_sign: #12, 24(1%)
minecraft.dropped.oak_sapling: #12, 17(2%)
minecraft.mined.podzol: #12, 127(1%)
minecraft.mined.birch_sign: #12, 2(2%)
minecraft.killed.pig: #12, 8(1%)
minecraft.mined.smithing_table: #12, 2(2%)
minecraft.mined.lily_of_the_valley: #12, 3(1%)
minecraft.crafted.polished_granite: #12, 52(1%)
minecraft.mined.yellow_bed: #12, 3(1%)
minecraft.mined.sunflower: #12, 4(1%)
minecraft.used.vine: #12, 19(1%)
minecraft.picked_up.birch_leaves: #12, 166(1%)
minecraft.mined.carved_pumpkin: #12, 20(1%)
minecraft.mined.birch_leaves: #12, 282(1%)
minecraft.picked_up.smithing_table: #12, 2(1%)
minecraft.dropped.feather: #12, 4(1%)
minecraft.used.cobbled_deepslate_wall: #12, 27(1%)
minecraft.mined.deepslate_brick_wall: #12, 1(1%)
minecraft.crafted.baked_potato: #12, 32(1%)
minecraft.picked_up.big_dripleaf: #12, 62(0%)
minecraft.picked_up.bell: #12, 1(1%)
minecraft.crafted.lime_terracotta: #12, 12(0%)
minecraft.picked_up.white_terracotta: #12, 22(0%)
minecraft.mined.blue_orchid: #12, 1(0%)
minecraft.mined.white_terracotta: #12, 11(0%)
minecraft.picked_up.beetroot: #12, 2(0%)
minecraft.used.iron_hoe: #13, 181(3%)
minecraft.picked_up.redstone_block: #13, 116(2%)
minecraft.mined.tuff: #13, 856(2%)
minecraft.used.splash_potion: #13, 18(3%)
minecraft.crafted.diamond_pickaxe: #13, 6(2%)
minecraft.picked_up.shroomlight: #13, 91(2%)
minecraft.crafted.rail: #13, 400(2%)
minecraft.broken.shears: #13, 6(2%)
minecraft.picked_up.chain: #13, 46(2%)
minecraft.crafted.iron_axe: #13, 6(1%)
minecraft.picked_up.oak_leaves: #13, 1348(2%)
minecraft.mined.spruce_wall_sign: #13, 5(2%)
minecraft.picked_up.flowering_azalea_leaves: #13, 238(2%)
minecraft.used.tuff: #13, 214(1%)
